Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Delorentz & Partners B.V.;;;;;;;;1;1
Desan Marktonderzoek B.V.;1;;;1;;;;;1
Desan Resarch solutions;;5;3;;;;;;5
Detron ICT Infra Support Services;;1;;;;;;;1
DGMR Raadgevende Ingenieurs B.V.;;;1;;;;;;1
Dimension Data Nederland B.V.;;;1;;;;;;1
Disc B.V.;;;;1;;;;;1
DNDi Drugs for Neglected Diseases Initiative;;;;;;;;7;7
Dreamlab;;;;1;;;;;1
DTT Multimedia B.V.;;;;1;;;;;1
Dyzle Operations B.V.;;;;;;;2;;2
E.Novation CRM Solutions B.V.;;;;1;;;;;1
Easy Ergonomics B.V.;;;;;;;1;;1
Ecommany B.V.;;;2;2;;;;;2
E-Office B.V.;;;1;1;;;;;1
Equa;;1;;;;;;;1
Equinix (Netherlands) B.V.;;3;;;;;1;5;5
Esri Nederland;;;1;3;;;;;3
Ettu Configuration B.V.;;;;2;;;;;2
EuroFIR AISBL;;;;1;;;;;1
Exact Software;;;;2;;;;;2
Exact Software Nederland B.V.;;;;2;;;;;2
ezCompany B.V.;;;;2;;;;;2
E-Zorg;;;;1;;;;1;1
F.M. Floris de Graaf;;1;;;;;;;1
FACTS Online Veiligheidskundig Adviesbureau;;;;;;;;1;1
Falck Prevention B.V. (alle vestigingen);;;1;;;;;;1
Farnell (Netherlands) B.V.;;1;;;;;;;1
Fenêtre B.V.;;2;1;;;;;;2
Flash Services Nederland;;;1;;;;2;;2
Flashpoint-Security B.V.;;;;;;;1;;1
Flycatcher Internet Research B.V.;;;;1;;;;;1
Foto en inlijsterij de Geus;;1;;;;;;;1
Fox IT BV;;;5;;;;;;5
Freshheads B.V.;;;1;;;;;;1
Fugro NL Land B.V.;;;;5;;;;;5
Fujitsu Technology Solutions B.V.;;5;1;;;;;;5
Full.Finance Consultants B.V.;;;;1;;;;;1
G. Bakker en Zn. B.V.;;1;;;;;;;1
Gartner Nederland B.V.;;;;3;;;;;3
GeoCat B.V.;;;1;;;;;;1
Geodan B.V.;;;;1;;;;;1
GetApped;;;;;;;;1;1
Greater Good;;;;1;;;;;1
Gwenn Beheer B.V.;;;1;;;;;;1
Haai B.V.;;;;1;;;;;1
Hecla Electronics B.V.;;1;1;1;;;;;1
Helder Resultaat;;;;;;;;1;1
HKV Lijn in Water B.V.;;;;2;;;;;2
Hoeksma, Homans & Menting Organisat.adv. B.V.;;;;;;;;3;3
Hoekstra Portofoons B.V.;;;;;;;1;;1
Hogeschool van Arnhem en Nijmegen (alle vestigingen);;;2;1;;;;;2
Hostnet B.V.;;;;;;1;;;1
I & O Research B.V.;;;;;;;;1;1
IBM Nederland B.V.;;;;2;;;;;2
Idee Brouwerij;;;;2;;;;;2
In2ition Academy;;;;1;;;;;1
Inconnect Faculty B.V.;;;;1;;;;;1
Informatiebeveiliging Nederland B.V.;;2;;1;;;;;2
Infotheek ICT Services BV;;5;3;1;;;;;5
Innova Market Insights B.V.;;;;;;;;1;1
Innovero Software Solutions B.V.;;;1;2;;;;;2
Insiders Online B.V.;;;;1;;;;;1
Instant Magazine B.V.;;;;1;;;;;1
Intermax B.V.;;;2;;;;;;2
International Safety Research Europe B.V.;;;2;;;;;;2
Internedservices;;;;1;;;;;1
Inventeers;;;;1;;;;;1
ISS Nederland B.V.;;;1;;;;;;1
IT Services eXperts BV Madison Gurkha B.V.;;;;1;;;;;1
iWelcome B.V.;;;1;;;;;;1
J2 Global Ireland Ltd;;;;;;;1;;1
Jongens van Beheer B.V.;;;;4;;;;;4
JS Consultancy;;;1;;;;;;1
KIT Karlsruhe Institute of Technology;;;1;2;;;;;2
Klinkende Taal B.V.;;;;1;;;;;1
KNMvD;;1;;;;;;;1
Knowledge Exchange B.V.;;;;2;;;;;2
Kodak Alaris NL BV;;;1;;;;;;1
Koning & Hartman B.V.;;1;2;;;;;;2
KPN B.V.;;1;3;;;;2;;4
KPN BV adm-175;;;;;;;2;;2
KPN BV. ADM 160. Groningen;;;;;;;2;;2
KPN BV. ADM 175. Groningen;;;;;;;3;;3
KPN CM BV - Consulting;;;5;;;;;;5
KPN Contact lokatie Eindhoven;;;;;;;1;;1
KPN Den Haag servicenrs;;;;;;;2;;2
KPN EuroRings Germany B.V.;;;;;;;1;;1
KPN FACTURERING VASTE TELEFONIE;;;;;;;1;;1
KPN infrastructure Services & project BV;;5;;;;;;;5
KPN Mobile N.V.;;;;;;;1;;1
KPN Telecom B.V.;;1;;;;;2;1;2
KPN Telecom B.V. Business Service Desk;;;2;;;;1;;2
KPN Telecom B.V. Landelijk Beheer Bijzondere Netten;;;;2;;;4;1;4
KPN Telecom B.V. Utrecht;;;;;;;1;;1
KPN Telecom Facturering Vast Telefonie;;;;;;;1;;1
KPN Telecom Vaste Telefonie;;;;;;;1;;1
KPN XL;;;;;;;1;;1
KPN-Mobiel;;;;;;;1;;1
Land. Ver. van Vrijg. Psychol. & Psychother.;;;;;1;;;;1
Lenovo Services B.V.;;1;;;;;;;1
LimoenGroen B.V.;;;2;;;;;;2
Lodamind;;;;2;;;;;2
Mailcamp B.V.;;1;;;;;;;1
Mansveld Projecten & Services B.V.;;;;;;;1;;1
Manutan B.V.;;;;;;;1;;1
Mapbox;;;;1;;;;;1
Mavention Beheer en Producten B.V.;;;;1;;;;;1
Mavim Holding B.V.;;;;1;;;;;1
M-Consultants BV hodn Supply Value;;;;2;;;;;2
Medworq Participatie B.V.;;;;;;;;1;1
Mettler-Toledo B.V.;;1;;;;;;;1
Microsoft Ireland Operations Limited;;;1;1;;;;;1
Misco Solutions B.V.;;7;5;1;;;;;7
Modelec Data-Industrie;;1;;;;;;;1
Mproof Beheer B.V.;;;;2;;;;;2
National Institute for Health and Welfare;;;;;;;;1;1
NBC & Van der Meer incasso;;;;;;;1;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;;;5;5
Nederland ICT;;;;1;;;;;1
Negometrix B.V.;;;;2;;;;;2
Network Innovations;;1;;;;;;;1
Network Innovations Services;;;;;;;1;;1
Networking4all B.V.;;;;1;;;;;1
Nieuwland Automatisering;;;1;;;;;;1
NIVEL Nat. Instituut voor Beleidsonderz.;;;;;;;;2;2
NRG Petten;;;1;1;;;;;2
Odura advies en projecten B.V.;;;;1;;;;;1
Onestopsourcing B.V.;;;2;;;;;3;3
Onsite360;;;;1;;;;;1
Oracle Nederland;;;2;;;;;;2
Orange Pharma B.V.;;;;;;;;5;5
OrangeValley Consultancy;;;;1;;;;1;1
Ordina Technologie & Competenties B.V.;;;1;7;;;;;7
Oribi Software B.V.;;;1;;;;;;1
PADACO Automatisering B.V.;;1;;;;;;;1
Paree B.V.;;;;;;;1;;1
Paul Ehrlich Institut;;1;;;;;;;1
PCextreme B.V.;;;;1;;;;;1
PerkinElmer Nederland B.V.;;;1;1;;;;;2
Personeelsver. 4fun Communication Solutions;;;1;;;;;;1
Pharmo;;;;;;;;2;2
Planon B.V.;;;2;;;;;;2
Pondres Direct Mail B.V.;;;;1;;;1;;1
PPTstudios B.V.;;;;1;;;;;1
PQR B.V.;;;1;;;;;;1
Premotec GmbH;;;2;;;;;;2
Pro Conference B.V.;;;;;;;1;;1
Procyon Networks B.V.;;;;;;;2;;2
Promista B.V.;;;1;;;;;;1
Protinus IT B.V.;;7;6;6;;;1;;7
Q Delft B.V.;;;;1;;;;;1
Qiagen Benelux B.V.;;;;2;;;;;2
Questback AS Arvato Finance AS;;;2;1;;;1;;2
Quis Products B.V.;;;;2;;;;;2
QuoVadis Trustlink B.V.;;1;1;2;;;;;2
Qweb Internet Services;;1;;1;;;;;1
Red Five B.V.;;;2;;;;;;2
RedNose IT B.V.;;;1;;1;;;;2
Regel Partners B.V.;;;;;;;1;;1
Relatics B.V.;;;;1;;;;;1
Remyx;;;;1;;;;;1
Resource Strategies Inc Gateway Information Services;;;;1;;;;;1
Rhenus Fresh B.V.;;;;;;;;1;1
RS Components B.V.;;1;;;;;;;1
SAP Nederland B.V.;;;4;1;;;;;5
Scholten Awater B.V.;;2;4;5;;;;;6
SEEBURGER Benelux;;;1;;;;;;1
Shimadzu Benelux;;;1;;;;;;1
Siemens Industry Software B.V.;;;;2;;;;;2
Siemens Nederland N.V.;;;;2;;;;;2
SIMPoint B.V.;;;;;;;1;;1
Site 4 All;;;;;;;;2;2
Siteimprove B.V.;;;1;;;;;;1
SmartDocuments Nederland B.V.;;;;1;;;;;1
SoftVision Development GmbH;;;;1;;;;;1
SoftwareONE B.V.;;;2;4;;;;;4
Sogeti Nederland B.V.;;;7;2;;;;;7
Spotler Nederland B.V.;;;;1;;;;;1
Stg. Fds. voor het Dove en Slechthorende Kind;;;;;;;;1;1
Stichting 1940-1945;;;;;;;;2;2
Stichting Accessibility;;;;1;;;;;1
Stichting Beheer Derdengelden X Pact;;;;;;3;;;3
stichting government roaming nederland;;;;;;1;;;1
Stichting Qiy Foundation;;;;;2;;;;2
Stichting voor Duurzame Ontwikkeling;;;;1;;;;;1
Stichting VZVZ Derdengelden;;;;;;;;4;4
Strak;;;;1;;;;;1
Studio2 Communications B.V.;;;1;;;;;;1
Sumatra Software B.V.;;;1;;;;;;1
Superoffice Benelux B.V.;;;;1;;;;;1
SURFmarket;;;2;4;;;;;4
SURFnet B.V.;;;;;;2;5;1;5
SURFsara B.V.;;;2;;;;;;2
Survey Monkey Europe;;;;1;;;;;1
SynMind Holding B.V.;;;;1;;;;;1
Systeemhuis Compri B.V.;;;1;1;;;;;1
T&T Compet&t.b.v.;;;;3;;4;;1;4
Tangram B.V.;;;;1;;;;;1
Teamwork.com;;;;1;;;;;1
Technolution B.V.;;;4;;;;;;4
Tele2 Nederland B.V.;;;;;;;2;;2
Telecom Service Leek B.V.;;1;;;;;1;;1
Telegrootgebruik B.V.;;1;1;;;;5;2;5
Telindus-ISIT B.V.;;3;1;2;;;;;4
Tentoo Directors Cast & Crew B.V.;;;;;;;;2;2
The Courseware Company B.V.;;;2;2;;;;1;2
The Voip Company;;;;;;;1;;1
TimeTell B.V.;;;;1;;;;;1
Tinqwise B.V.;;;;1;;;;;1
Tjoa Design;;;;1;;;;;1
TNO B.V.;;;;2;;;;;2
Topdesk B.V.;;;2;2;;;;;3
TOPdesk Nederland B.V.;;;;2;;;;;2
Topicus Zorg Holding;;;;5;;;;5;6
Total Identity B.V.;;;;2;;;;;2
Transfer Consulting B.V.;;;;2;;;;;2
Transfer Managed Services B.V.;;;1;;;;;;1
Triple P Nederland B.V.;;;2;1;;;2;;2
Triptic B.V.;;;;;;;;1;1
Triv Internet Solutions;;;;2;;;;;2
Two Kings B.V.;;;;1;;;;;1
Tygron B.V.;;;;1;;;;;1
Unica Security B.V.;;;2;;;;1;;2
UNICOM Global;;;;1;;;;;1
Upstream B.V.;;;1;;;;;;1
Utica B.V.;;;;1;;;;;1
Van Opstal Consulting B.V.;;;;1;;;;;1
VanMensConsultancy;;;;;;;;1;1
VCD Business Solutions B.V.;;;;;3;;;;3
VCD Healthcare B.V.;;5;;1;;;;;5
Vektis C.V.;;;;;;;;1;1
Verdonck, Klooster & Associates B.V.;;;;3;;;2;;3
Verenso;;;;;;;;1;1
Via Futura;;;;1;;;;;1
Vicrea Solutions B.V.;;;1;;;;;;1
Virtus Solutions B.V.;;;3;;;;;;3
VitalHealth Software Holding B.V.;;;1;;;;;;1
Vodafone;;;;;;;2;;2
Vodafone Libertel B.V.;;;;;;;6;;6
Web Integration B.V.;;;;1;;;;;1
Web-Beest;;;2;;;;;;2
WebEx Communications B.V.;;;;;;;1;;1
WhiteVision Software Bedenkers B.V.;;;1;;;;;1;1
WING Process Consultancy B.V.;;;;7;;;;;7
WorkFlowWise IP B.V.;;;1;;;;;;1
XMARK B.V.;;;;;;;1;;1
Xolphin B.V.;;;;1;;;1;;1
XS4ALL Internet B.V.;;;;1;;;1;;1
Zet Solutions B.V.;;1;;;;;;;1
Zorgverzekeraars Nederland;;5;;;;;;;5
Eindtotaal;1;8;8;9;4;5;7;7;10
