Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
CSU Groep B.V.;;;4;;;;;;;4
Cyklop Nederland B.V.;;;;;1;;;;;1
Datona B.V.;;;;;;;1;;;1
De Kunstrijders;;;;;;;1;;;1
De Stempelplaats B.V.;;;;;;;;1;;1
Deac Nederland B.V.;1;;;;;;;;;1
Defibrion;;4;;;;;;;;4
Dell Benelux Call Centre;;;;;;;;1;;1
Denios B.V.;;;;;;;2;;;2
Destil B.V.;;;;;;;1;;;1
Detecto-Command-Systems B.V.;;;;;;;1;;;1
DHL International B.V.;;;;6;;;;;;6
Discountoffice.nl B.V.;;;;;;;;1;;1
Douwe Egberts Horeca;7;;;;;;;;;7
Drentea Kantoormeubelen;;;;;;;1;;;1
Eden Springs Nederland B.V.;1;;;;;;;;;1
Eenmalige crediteur;;;;1;;1;;;;1
Engels;;;;;;;;1;;1
equensWorldline SE;;;;;;;;;4;4
Ergo2Work B.V.;;;;;;;1;;;1
Ergobrain B.V.;;;;;;;;3;;3
Esra B.V.;;;;2;;;;;;2
Esra Handelmaatschappij B.V.;;;;3;;;;;;3
ESV Sign & Safety Products BV;;;;;;1;;;;1
Etikettenkoning B.V.;;;;;;;;1;;1
Eurovacuum B.V.;;;;;;;;2;;2
EVC (Verpakking) B.V.;;;;;;;;1;;1
Ex-Ox-Tox;;;;;;;;1;;1
Facilicom PPS Doetinchem Exploitatie B.V.;2;;;;;;;;;2
Flash Rental Services B.V.;;;;;;;1;;;1
Foto Linthout;;;;;;;2;;;2
Frabema B.V.;;;;;;;2;;;2
FRAMO C.V.;;;;;;;;1;;1
G.S.A. Facilitaire Diensten;;;1;;;;;;;1
G4M B.V.;;;;;;;2;;;2
G4S Security Services B.V.;;2;;;;;;;;2
Giant Security B.V.;;1;;;;;;;;1
Giftsware;;;;;;;;1;;1
Glasatelier De Horizon;;;;;;;1;;;1
Groenendijk Bedrijfskleding B.V.;;;;;;;;2;;2
Groningen Airport Eelde N.V.;;1;;;;;;;;1
GS1 Nederland B.V.;;;;;;;;1;;1
Gullimex B.V.;1;;;;;;;;;1
HÃ¤fele Nederland B.V.;;;;;;;1;;;1
Hagisto;;;;2;;;;;;2
Handboekbinderij Bronsgeest-Habi;;;;;;;;1;;1
HD Cotterell B.V.;;;;1;;;;;;1
Hectas Facility Services C.V.;;;2;;;;;;;2
Heras B.V.;;1;;;;;;;;1
Het Financieele Dagblad B.V.;;;;;1;;;;;1
Het Stille Verzet;;;;;;;2;;;2
Hobeka B.V.;1;;;;;;;;;1
Hof Catering B.V.;6;;;;;;;;;6
Honeywell Building Solutions;;5;;;;;;;;5
I.T.S. International Technical Service;;1;;;;;;;;1
ICON Protect B.V.;;;;;;;;2;;2
ID Ware International B.V.;;3;;;;;;;;3
Iedema Projectstoffering;;;;;;;4;;;4
ikwileenhorloge.nl;;;;;;;;1;;1
Imotron Instruments International B.V.;;;;;;;;1;;1
ING Bank N.V.;;;;;;;;;7;7
Initial B.V.;;;6;;;;;;;6
Inspiration Office;;;;;;;5;;;5
International Security Consultants B.V.;;;;;;;;1;;1
Internorm Roestvaststaal B.V.;;;;;;;1;;;1
Iolan B.V.;;2;;;;;;;;2
i-POS.nl B.V.;;;;;;;;1;;1
Iris Huys;;;;;;;;1;;1
ISS Nederland B.V.;;;2;;;;;;;2
Issis B.V.;;;;;;1;;1;;1
Jacobs Douwe Egberts Nl B.V.;2;;;;;;;;;2
JÃ©vÃ© Verpakkingen V.O.F.;;;;;;;1;;;1
JBM Koeriers B.V.;;;;4;;;;;;4
JD Knowledge B.V.;;;;;1;;;1;;1
Jopak Packaging Solutions;;;;;;1;;;;1
Jungheinrich Nederland B.V.;;;;1;;;;;;1
Kardex Systemen B.V.;;;;;;;3;;;3
Kerkvoorde Dienstverlening;1;;;;;;;;;1
Kerstma-Heida;;;1;;;;;;;1
keyence International;;;;;;;;3;;3
KLM Passagekantoor Rotterdam;;;;;;;;1;;1
Kolibri Labels B.V.;;;;;;;;1;;1
Koninklijke Academie van Beeldende Kunsten;;;;;;;1;;;1
Koninklijke Fabrieken Posthumus B.V.;;;;;;;;2;;2
Koninklijke PostNL B.V.;;;;11;;;;;;11
Koninklijke van der Most B.V.;;;;;;;;7;;7
Kooning Schiphol B.V.;;;;;;;1;;;1
KPN Consulting B.V.;;;;;;;;2;;2
KPN Winkel;;1;;;;;;;;1
LECO Instrumente GmbH;;;;;;;;2;;2
Leenheer B.V.;;1;;;;;;;;1
Linia B.V.;;;;;;;1;;;1
Logicx Berging B.V.;;;;6;;;;;;6
Logistiekconcurrent;;;;1;;;;;;1
Lumidee B.V.;;;;;;;;3;;3
Lyreco Nederland B.V.;;;1;;;;;4;;4
M.V. Retail B.V.;;;;;;;;3;;3
Maatschap A.Z. en I.N. de Buck;;;;1;;;;;;1
Made by Mombers;;;;;;;1;;;1
Mainpress B.V.;;;;;1;;;;;1
Manutan B.V.;;1;1;;;;1;1;;2
Masterkey-Plus B.V.;;;1;;;;;;;1
Meesterbakker Roodenrijs;1;;;;;;;;;1
MegaSnel B.V.;;;;;;;;1;;1
Meldkamer MG;;1;;;;;;;;1
Metalet B.V.;;;;;;;;1;;1
Milestone Fresh B.V.;;;;1;;;;;;1
Misco Solutions B.V.;;;;;;;1;;;1
MJ Service;;;;;;;;1;;1
Mmax Interieurbouw/ Between Projectstoelen;;;;;;;;1;;1
Modern Materieel B.V.;;;;1;;;;;;1
Moduli Print B.V.;;;;;;;;7;;7
Multicopy Utr. Centr. Hoog Catharijne B.V.;;;;;;;;1;;1
MultiCopy Utrecht Centrum B.V.;;;;;;;;1;;1
MyBadge B.V.;;1;;;;;;;;1
N.V. HVC;;;;;;2;;;;2
Ned. ICT, V.b. Inf.techn., Telec.&aanv. sect.;;;;1;;;;;;1
Neopost;;;;4;;;;;;4
Neuland Nederland;;;;;;;;1;;1
Nooter Technische Installaties B.V.;;1;;;;;;;;1
OmniCard B.V.;;1;;;;;;;;1
Orde van organisatiekundigen en -adviseurs;;;;;;;;2;;2
Paagman B.V.;;;;;;;;1;;1
Papyrus Groep Nederland B.V.;;;;;;;;2;;2
Pauzesoftware Nederland B.V.;;;;;;;;4;;4
Paviljoen Sterrebos B.V.;3;;;;;;;;;3
PayPlaza B.V.;;;;;;;;;2;2
PaySquare SE;;;;;;;;;1;1
PCE Brookhuis B.V.;;;;;;;;1;;1
Pepperl + Fuchs B.V.;;;;;;;;1;;1
POL Heteren B.V.;;;;;;;;1;;1
Pomweld Las- en Snijtechniek B.V.;;;;;;;;1;;1
PontMeyer Brielle;;;;;;;;1;;1
Presswood Verkoopmaatschappij B.V.;;;;;;1;;;;1
Promohouse B.V.;;;;;;;;1;;1
Protekt Nederland;;1;;;;;;;;1
Protinus IT B.V.;;;;;;;2;1;;2
Quinton Brandveiligheid B.V.;;1;;;;;;;;1
R Design B.V.;;;;;;;;1;;1
Raatwerk B.V.;;3;;;;;;;;3
Rajapack Benelux;;;;;;;;1;;1
Reaktie Safety Shops B.V.;;;;;;;;2;;2
Redwoods People Services;;;;;;1;;;;1
Reisswolf Nederland B.V.;;;;;;4;;;;4
Remotec BVBA;;;;;;;1;;;1
Renewi Nederland B.V.;;;;;;1;;;;1
Re-on B.V.;;2;;;;;;;;2
Rever B.V.;;;;;;;5;;;5
Rhenus Logistics B.V.;;;;1;;;;;;1
Rijksgebouwendienst;2;2;;;;;;;;2
Rijksmuseum Volkenkunde;1;;;;;;;;;1
Rimax advice;;;;;;;1;;;1
Robijns B.V.;;;;;;;;1;;1
Robitex B.V.;;;;;;;;1;;1
Roessingh Revalidatie Techniek;;;;;;;;1;;1
ROHDE & GRAHL B.V.;;;;;;;7;;;7
Rondo Afvalbeheer B.V.;;;;;;1;;;;1
Rosier Bedrijfshulpverlening;;2;;;;;;;;2
Rotterdam Airport B.V.;;1;;;;;;;;1
S.P.E. B.V.;;;;;;;;1;;1
Safire B.V.;;;;;;;7;;;7
Sandd B.V.;;;;9;;;;;;9
SCAN COIN Netherlands;;;;;;;;1;;1
Schans B.V.;;;;;;;;1;;1
Scheeres Handelmaatschappij B.V.;;;;;;;;1;;1
Schiphol Nederland B.V.;;4;;;;;;;;4
Schiphorst Transport- en Opslagtechniek B.V.;;;;;;;1;;;1
Scholten Awater B.V.;;;;;;;;6;;6
Schoonmaakbedrijf Beercoo B.V.;;;2;;;;;;;2
Schotpoort Connect B.V.;;;;7;;;;;;7
Sdu Uitgevers B.V.;;;;;1;;;;;1
SDX Consultancy B.V.;;;;;1;;;;;1
SecurCash Nederland B.V.;;;;;;;;;1;1
Secure Logistics B.V.;;1;;;;;;;;1
Securitas Beveiliging B.V.;;2;;;;;;;;2
Security Monitoring Centre;;3;;;;;;;;3
Security Press B.V.;;1;;;;;;;;1
Sensz B.V.;1;;;;;;;;;1
Service Equipe Nederland B.V.;1;;;;;;;;;1
Siemens Nederland N.V.;;1;;;;;;;;1
Siemens Vestiging Noord;;1;;;;;;;;1
Sita Ecoservice;;;;;;2;;;;2
SITA Industrie & Ziekenhuizen;;;;;;2;;;;2
SITA National Sales;;;;;;6;;;;6
Sita Recycling Services West;;;;;;2;;;;2
Smid Beheer B.V.;;;;;;;;1;;1
Smit & Dorlas Koffiebranders B.V.;1;;;;;;;;;1
Snel-Braber Bathmen;;;;;;;;1;;1
s-Peer Catering;1;;;;;;;;;1
Staples Nederland B.V.;;;;;;;;6;;6
Stg. Org. Redd.w. & E.H.B.O. Het Oranje Kruis;;1;;;;;;;;1
Stichting Federatie Mediatorsverenigingen;;;;;;2;;;;2
Stichting Spaarnestad Photo;;;;;;;1;;;1
Still Intern Transport B.V.;;;;2;;;;;;2
Stomerij Peeters;;;;;;;;1;;1
Stow Nederland B.V.;;;;;;;2;;;2
Strayshop B.V.;;;;;;;;1;;1
Stultiens Group V.O.F.;;;;;;;1;;;1
Sweco Nederland B.V.;;1;;;;;;;;1
Sweeltex;;;1;;;;;;;1
SWIFT SCRL;;;;;;;;;2;2
Sytec B.V.;;2;;;;;;;;2
t Smoske;1;;;;;;;;;1
Tapes Amsterdam B.V.;;;;;;;;2;;2
Tawi B.V.;;;;;;;;1;;1
Technicon;;;;;;;;1;;1
Technisch Bureau Magema B.V.;;;;;;;;1;;1
Tennant N.V.;;;1;;;;;;;1
TES-CO;;;;;;;1;;;1
Tiemens Beheer B.V.;;;;;;1;;;;1
Tool Com B.V.;;;;;;;1;;;1
TOP Technisch Beheer B.V.;;1;;;;;;;;1
Totaal-Gereedschap;;;;;;;;1;;1
Totdrukwerk;;;;;;;;1;;1
TPG Post Holdings;;;;1;;;;;;1
Traiteur- Vleeswarenhandel 'Gillissen';1;;;;;;;;;1
Transposafe Systems;;;;;;;1;1;;1
Trigion Alarmcentrale B.V.;;1;;;;;;;;1
Trigion Beveiliging B.V.;;1;;;;;;;;1
Trigion Brand- en Beveiligingstechniek B.V.;;1;;;;;;;;1
Trigion Services B.V.;;2;;;;;;;;2
Trots Solutions B.V.;;;;;;;1;;;1
Unica Installatietechniek;;1;;;;;;;;1
Unique Articles;;;;;;;;1;;1
V.O.F. Bloemsierkunst Ogenlust;;;;;;;;1;;1
V.O.F. De Sleutelkoning;;;;;;;1;;;1
Valor Compostering B.V.;;;;;;1;;;;1
Vendor B.V.;;;2;;;;;;;2
VHD Alarmcentrale B.V.;;;;7;;;;;;7
Vink Lisse B.V.;;;;;;;1;3;;3
Virol B.V.;;;;;;1;;;;1
Vitam Catering;7;;1;;;;;;;7
Voets Tractoren en Werktuigen B.V.;;;;;;;;1;;1
Wolters Kluwer Nederland B.V.;;;;;1;;;;;1
Xerox (Nederland) B.V.;;;;;;;;7;;7
X-FITT B.V.;;;;;;;;1;;1
Zavin B.V.;;;;;;1;;;;1
Zolemba B.V.;;;;;;;;1;;1
Anoniem 100;;;;;;1;;;;1
Anoniem 101;;;;;;;;1;;1
Anoniem 102;;;;;;;;1;;1
Anoniem 103;;;1;;;;;;;1
Anoniem 104;;;;8;;;;;;8
Anoniem 105;;;;;;;;1;;1
Anoniem 106;;;;;;;1;;;1
Anoniem 107;;;;1;;;;;;1
Anoniem 108;;;;;;;;1;;1
Anoniem 109;;;;;;;;1;;1
Anoniem 110;;;;;;;1;;;1
Anoniem 111;;;;;;;;1;;1
Anoniem 149;;;;1;;;;;;1
Anoniem 226;;6;;;;;;;;6
Anoniem 272;1;;;;;;;;;1
Anoniem 297;1;;;;;;;;;1
Anoniem 44;;;;;;;1;;;1
Anoniem 52;;;;5;;;;;;5
Anoniem 53;;;;1;;;;;;1
Anoniem 54;1;;;;;;;;;1
Anoniem 55;;;;;;;;1;;1
Anoniem 56;;;;;;;1;;;1
Anoniem 57;;;;;;;4;;;4
Anoniem 58;;1;;;;;;;;1
Anoniem 59;;;;;;;;1;;1
Anoniem 60;;;;;;;;7;;7
Anoniem 61;;;;;;;1;;;1
Anoniem 62;;;;1;;;;;;1
Anoniem 63;;;;;;;;1;;1
Anoniem 64;;;;;;;1;;;1
Anoniem 65;;;;;;;1;;;1
Anoniem 66;;;;1;;;;;;1
Anoniem 67;;;;;;;1;;;1
Anoniem 68;;;;1;;;;;;1
Anoniem 69;;;;;;;;1;;1
Anoniem 70;;;;;;;;1;;1
Anoniem 71;;2;;;;;;;;2
Anoniem 72;;1;;;;;;;;1
Anoniem 73;;;;1;;;;;;1
Anoniem 74;;;;;;;1;;;1
Anoniem 75;;;;1;;;;;;1
Anoniem 76;2;;;;;;;;;2
Anoniem 77;;;;;;;;1;;1
Anoniem 78;;;1;;;;;;;1
Anoniem 79;;;;;;;;2;;2
Anoniem 80;;;;;;;;1;;1
Anoniem 81;;;;1;;7;;;;7
Anoniem 82;;;;;;;;1;;1
Anoniem 83;;;;;;;;1;;1
Anoniem 84;;;;;;;1;;;1
Anoniem 85;;;;;;;1;;;1
Anoniem 86;1;;;;;;;;;1
Anoniem 87;;;;;;;1;;;1
Anoniem 88;;;;;;;;1;;1
Anoniem 89;;;;;;;1;;;1
Anoniem 90;;;;;;;1;;;1
Anoniem 91;;2;;;;;;;;2
Anoniem 92;;;1;;;;;;;1
Anoniem 93;;;;;;;1;;;1
Anoniem 94;;;;;;;;1;;1
Anoniem 95;;;;1;;;;;;1
Anoniem 96;;;;1;;;;;;1
Anoniem 97;;;;;;;;1;;1
Anoniem 98;1;;;;;;;;;1
Anoniem 99;;;;;;;1;;;1
Eindtotaal;8;7;7;11;3;8;8;9;7;12
