Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-Communicatie
Cobi Natuurlijk Bijzonder;1;;;;1
COELO Centrum voor Onderzoek van de Economie van de Lagere Overheden;1;;;;1
COMMUNICATIETEAM X HOOGTE BV;;;;1;1
ComScore (vh Nedstat);2;;;;2
Congres4U;;;1;;1
Congresbureau Stichting Derdengelden;;;1;;1
Consumentenbond;1;;;;1
Coolblue - Pda Shops;;;;1;1
Coosto;;;;2;2
Covra - Centr. Organ. V. Radio-Aktief Afval;;;1;;1
Creaim Gemnet;1;;;;1
Crisisplan;;;1;;1
CrisisTox Consult;1;;;;1
CrossBizz;;;;1;1
Damen van Deventer;;;;1;1
Dapper's Kantoorvakhandel;;;1;;1
Dbf Communicatie;;;;1;1
De Argumentenfabriek;1;;;1;1
De communicatiepraktijk;1;;;;1
De Congresbalie (Deelnemersgelden);;;1;;1
De Observant Stadscafé;;;1;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;;1;1
De Perslijst;1;;;;1
De Totem Productontwerpen;;;;1;1
De Witte Zwaan Restaurant;;;1;;1
Defence For Children International Nederland;;;;1;1
Dekra;1;;;;1
Den Haag Marketing & Events;;1;;;1
Digisterker (Digitale Overheid);;;1;;1
Domus Medica;;;1;;1
Doxis;;;1;;1
Drums And Barrels;;;1;;1
EBG Verhuur;;;1;;1
EBSCO Europe;4;;;;4
ECS secretariële diensten;;;;1;1
Elita Zoer Congressen Incentives;;;4;;4
En/Of Ontwerp;;;;3;3
Entopic;;;1;;1
Epona Software Productions;;;;2;2
ER (Piktsjers);;;;1;1
Erdee Media;;;;1;1
Erik Hartman Communicatie;1;;;;1
Euro Events;;;1;;1
Euro-Logo;;;;1;1
Euromast;;;1;;1
European Forum for Primary Care;1;;;;1
European Public Health Association;1;;1;;1
Evert van Rijssel Beelden;;;;1;1
Experian Nederland;;;;1;1
Face Two;;;2;;2
Facilion;;;;2;2
Faydherbe / De Vringer;;;;1;1
Felix Kalkman fotografie;;;;1;1
Fietsenstalling Laag Catharijne;;1;;;1
Fleuribelli;;1;;;1
Floris de Graaf;;;1;;1
Flyers Online;;;;1;1
Fotografie Jurgen Huiskes;;;;1;1
FREDERIEK VOSKENS;;;1;;1
Frismedia BV;;;;2;2
Future Consult;;1;;;1
G. Bakker & Zn.;;;2;;2
Gaetano Productions;;;;1;1
Galema Cross Cultural Coaching;;;1;;1
Geert Snoeijer Fotografie;;;;1;1
GGN (incl. van Mastrigt & Partners, Tijhuis & Partners);;;;1;1
Grafisch Bedrijf Tuijtel;;;;1;1
Grand Kasteel Woerden;;;2;;2
Green Valley;;;;1;1
Greenhost;;;;1;1
GUSSENHOVEN GRAFISCHE COMMUNICATIE;;;;1;1
H2O (vh Nijgh Periodieken);;;;1;1
Haai;;;;2;2
Hans Oostrum Fotografie;;;;1;1
Hans Roggen Fotografie;;;;1;1
Hanzehogeschool Groningen (incl. Hanze Connect);;;;1;1
Havenbedrijf Rotterdam;;;1;;1
Heden Kunst van Nu;;;;1;1
Henk van Esch Foto;;;;1;1
HESTEKST.COM;;;;1;1
Het Feestbeest;;1;;;1
Heuvelman Sound & Vision;;;2;;2
Hilton;;;2;;2
Hollandse Hoogte;;;;2;2
HowAboutYou;;;1;;1
Humor Werkt producties (vh Pietje Bella Producties);;;;1;1
Hutten Exclusieve Catering;;;1;;1
HVR Groep Nederland;;;;3;3
In2Content;;;1;1;1
INFOBUS.NL;;;1;;1
Infor Global Solutions;1;;;;1
Infotrading;1;;;2;2
Ingressus;;;;1;1
Ingrid Brons;;;;2;2
Innovero Software Solutions (incl. FormDesk);;;;1;1
Interuniversitair Cardio- Logisch Instituut Nederland;;;1;;1
Ipskamp Drukkers;;;;1;1
Iron Mountain Nederland;2;;;;2
Ivo Broekhuizen Communicatie;;;;2;2
J. BOUT&ZONEN;;;1;;1
J.F.M. van Litsenburg h.o.d.n. Casa Barista;;;1;;1
Jaarbeurs Utrecht;;;2;;2
Ja-Maar;;;1;;1
Jamin Winkelbedrijf;;;1;;1
Janneke Mulder Beheer B.V.;;;1;;1
Jemi Bloemsierkunst;;;1;;1
KANTOORBOEKHANDEL BOERSEN;1;;;1;1
Kapteyn Bloemen;;1;;;1
Kees Kaptein Teksten;;;;1;1
Keijser Mischa Fotografie;;;;1;1
Kessels & Smit Learning Company;;;1;;1
Kick Smeets Fotografie;;;;1;1
KIMPACT;;;;1;1
Kloosterhof acquisitie services uitgeverij;1;;;;1
KNMP;1;;;1;1
Knowledge Exchange (incl. Howardshome, Finchline Media);2;;;2;2
KNVI Verenigingsbureau (vh NVB Ned Ver van Biblioth Doc en Literatuurond);;;;1;1
KNW Koninklijk Nederlands Waternetwerk;;;1;;1
Kochstudios;;;;1;1
Koninklijke van den Boer Groep (incl. Oseven, happening and food);;;;2;2
Koninklijke van der Most;;;;1;1
Krabbendam Kadoverpakking en Kado;;;;1;1
KRACHTVANBELEVING.NL;;;1;;1
Kris Kras Design;;;;1;1
LAPIDAIR TEKSTEN;;;;1;1
LCR - Les Couvreurs Reunis;1;;;;1
Leene Communicatie (incl. Leene.txt);;;;1;1
LETTERLIJK EN FIGUURLIJK;;;;1;1
Lexis Nexis;;;;2;2
Linsen Communicatie;;;;1;1
Logeion Vereniging Voor Communicatie;1;;;;1
Louwke Meinardi;;;1;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;;1;1
Maklu;1;;;1;1
ManagementMedia (GrafiCom);1;;;;1
Manifesta;;;;1;1
Mannen Met Plannen;;;2;;2
Marcel Hammink Media;;;;2;2
Marcel Uljee Teksten;;;1;1;1
Marcela Kruger Communicatie;;;;1;1
Marieke Duijsters Fotografie Studio Billie Alice;;;;1;1
Martijn Beekman Fotografie;;;1;;1
Mathilde Dusol Fotografie;;;;1;1
Maxilia (incl. Greengiving.nl);;;;1;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);;;;1;1
Media Post Sanoma Uitgevers;;;;1;1
Medlaw Consult;;;1;;1
Meltwater the Netherlands;2;;;;2
Mens in de Maak;;;1;;1
Mensys (incl. Computercollectief);1;;;;1
Metamorfose Vertalingen;;;;1;1
Midget Video;;;;1;1
MOBIEL PLEEGZORG;;;;1;1
Motivaction;;;;2;2
Movisie Fulfilment;;;1;;1
MT Abonnementenland;1;;;1;1
Multicopy (incl. Andre Cossee);;;1;;1
Multigift Relatiegeschenken;;;;1;1
Museum Catering;;;1;;1
MYbusinessmedia (vh Media Business Press);1;;;1;1
Nationale Beeldbank;;;;1;1
Nederlands Debat Instituut;;;;1;1
Nederlands Huisartsen Genootschap;;;1;;1
Nederlandse Vereniging van Radiologie;1;;;;1
Nederlandse Vereniging Voor Toxicologie;1;;;;1
NegoMetrix;2;;;;2
NEO EN CO;;;;2;2
Network Innovations (vh 2connect-IT);1;;;;1
Nevi/Neho;1;;;;1
NFMD Nederlandse Stichting voor Management Development;;;;1;1
NFU Nederlandse Federatie van Universitair Medisch Centra;;;;1;1
NH Hotels (incl. Nhow hotels);;;3;;3
NHL Noordelijke Hogeschool Leeuwarden;;;;1;1
Nibud Nationaal Instituut voor Budgetvoorlichting ;1;;;;1
Nictiz;;;1;;1
Nieuwspoort;;;1;;1
NIK COMMUNICATIE & EVENTS;;;2;;2
Novum Foto;;;;1;1
NRC Handelsblad;;;;1;1
OCLC (incl. PICA);2;;;1;2
OGH Oracle Gebruikersclub Holland;1;;;;1
Ontwerpwerk multidisciplinary design;;;;1;1
Oosterhof Organizing;;;2;;2
Openbare Bibliotheek Almere;;;;1;1
Optima Forma;;;;1;1
Or.nl Internetdiensten;;;;1;1
Oranje van Loon Grafisch Bedrijf;;;;1;1
Ovid Technologies;2;;;;2
Palladio Groep;;;;1;1
Pardon Consult (vh Wassenaar Consult);1;;;;1
Parthen (incl. Meeting Essentials, Presentatie, R&S, Impact);;;1;;1
Party Planners;;;1;;1
PATRICIA NAUTA;;;1;1;1
Paulcoumans;;;1;;1
Pelican Rouge (vh Autobar Holland, Cafe Bar);;;2;;2
Pharma Publishers;1;;;;1
Phit;;;1;;1
Photo Designs;;;;1;1
Pieter Glerum Fotografie;;;;1;1
Plaggemars & Co Incassobureau;1;;;1;1
Plus Producties (incl. 50 Plus Beurs);;;;1;1
Pom Hospitality;;;1;;1
Prelum Uitgevers;1;;;;1
Profess Medical Consultancy;;;1;;1
Promopodium;;;1;;1
Publicount;1;;;;1
Pulchri Studio;;;1;;1
Puur Inspiratie, nu;1;;;;1
Rafaël Hekker Music Productions;;;1;;1
Rakos Beheer;;;1;;1
RDM Campus;;;1;;1
RDM Makerspace;;;1;;1
Really Really Nice Place CV;;1;;;1
Reclamestudio Guthschmidt;;;;1;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);1;;;2;2
Regardz (incl. Iassociate);;;2;;2
Rekel Producties;;;;1;1
Rendement;1;;;1;1
Rene Verleg Fotografie;;;1;2;2
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;2;;2
Reprorecht;;;;1;1
Reset Partners (vh S&B Smits & Beerends);;;1;;1
Restauratie Atelier Sterken;1;;;;1
Ricardo Balans Communicatie;;;;1;1
ROADBURN PRODUTIONS;;;1;1;1
Rob Gieling Fotografie;;;;1;1
Robin Utrecht Fotografie;;;;1;1
Ruben Jorksveld Fotografie;;;;1;1
Samen voor de Bilt;1;;;;1
SAVR Consultancy;;;1;;1
Schuttelaar & Partners;;;1;;1
Schwandt Infographics;;;;1;1
SCI SERVICES BV;;;;1;1
SDU - Service Centrum Uitgevers;1;;;1;2
Sebes & van Gelderen;;;1;;1
Segeren Tekst;;;;1;1
Signs All Over;;;1;;1
Sip Signproductions;;;;1;1
Smile Licht en Geluid Utrecht;;;2;;2
SOA Aids Nederland;;;2;;2
SoftDirect;1;;;;1
SP Abonneeservice Handicap & Beleid;;;;1;1
Sports Design Textieldrukkers;;;;1;1
Springer Media (vh Uitgeverij, Bohn Stafleu van Loghum);2;;;1;2
Stek STichting Emissiepreventie Koudetechniek;1;;;;1
Stg Boekman;1;;;;1
Stg Voedingscentrum;1;;;;1
Stg. Vakblad Natuur Bos Landschap;1;;;;1
Stichting HL7 Nederland;1;;;;1
Stichting Immuno Valley;1;;;;1
Stichting Lareb Nederlands Bijwerkingen Centrum;;1;;;1
Stichting Nederlands Gebarencentrum;;;;1;1
Stichting Orgcomm;;;;1;1
Stichting Utrechts Centrum Voor De Kunsten;;1;;;1
Strak Grafische Realisatie & Apple Systeembeheer;;;;1;1
Studio Flip;;;;1;1
STUDIO KOELEWIJN BRUGGENWIRTH;;;;1;1
Studio Rogier Bos;;;;1;1
Studio Tint;;;;1;1
Studystore Studieboekencentrale;;;;1;1
SunSeaBar;;;1;;1
Surfmarket (vh surfdiensten);1;;;;1
Surfnet;;;1;;1
Swets Info Services (incl. Blackwell, Zeitlinger);2;;;1;3
SWP Uitgeverij;;;;1;1
T Winkeltje;;;1;;1
Taartenwinkel.nl;;;;1;1
Tangram Automatisering;1;;;;1
Thalassa Rederij;;;1;;1
The Harbour Club;;1;1;;1
The People's Valley;;;;1;1
Things To Make And Do;;;;2;2
TIVI Producties;;;1;1;1
Tjitske Sluis Foto's;;;;1;1
TMG - de Telegraaf Media Group;1;;;;1
Tochtstrips.nl;;;1;;1
Today's Media/Subb4;;;1;;1
Tolenaar Paul Fotografie;;;;1;1
Tower Leisure (Haagse Toren);;;;1;1
Transmedia;2;;;2;2
Two Kings;;;;1;1
Utrecht's Rondvaartbedrijf Rederij Schuttevaer;;;1;;1
Van der Linde Catering + Evenementen;;;2;;2
VAN DER VEEN RAAD & TOEZICHT;;;1;;1
Van Deventer Drukkerij;;;;1;1
Van Galen Fotostudio;;;;1;1
Van Miltenburg Café;;;1;;1
Van Stockum;1;;;2;2
VCCN Vereniging Contamination Control Nederland;1;;;;1
Veen Magazines;;;;1;1
Veilingmeester;;1;;;1
Ventoux Audivisuele communicatie;;;;2;2
Vereniging Voor Bestuurskunde;;;;1;1
Verkadefabriek;;;1;;1
Verschoor Boekbinderij;;;;1;1
Viadesk;;;;2;2
Vidal;1;;;;1
VideoWerkt;;;;1;1
Vidiline Voting;;;;1;1
VNSG Vereniging Nederlandstalige SAP Gebruikers;1;;1;;1
VNU Exhibitions;;;1;;1
Vorm Vijf Ontwerpteam;;;;2;2
Vuursteen Communicatie;;;;1;1
VVM Netwerk van Milieuprofessionals;1;;1;;1
W.J. van Hoogstraten Boekhandel;;;;1;1
Weekbladpers Tijdschriften;1;;;1;1
Welstad Welzijnsorganisatie;;;;1;1
Wolters Kluwer (incl. Kluwer);1;;;1;2
Young Works;1;;;;1
Zaaks;;;;2;2
Zanders Consulting & Training;1;;;;1
Zanskar Training & Consultancy;;;1;;1
Zeggenschap Uitgeverij;1;;;;1
Ziggo (vh Casema);1;;;;1
Z-Index;2;;;;2
Zoom Media;;;;2;2
Zorgmarktadvies;;;1;;1
Eindtotaal;6;2;6;7;7
