Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Aziatische Bloemsierkunst V.O.F.;;;1;;;;;;1
B & B Feestartikelen;;;1;;;;;;1
B.G.L. & Partners B.V.;;;;;1;;;;1
B.T.S. Bedrijfswagens & Trailer Service B.V.;;;1;;;;;;1
B.V. Driessen Juweliers, sinds 1776;;;1;;;;;;1
B.V. Glashandel Markendaal;;;1;;;;;;1
B.V. Panorama Mesdag;;;1;;;;;;1
B.V. Perscentrum Nieuwspoort;;;1;;;;1;1;1
B.V. Rederij G. Doeksen en Zonen;;;;;;;;1;1
B.V.D.A. International B.V.;;;;;1;;;;1
Bakker & Schnabel Training B.V.;;;;;1;;1;;1
Bakker Derks 'Der Deutsche Backer';;;1;;;;;;1
Bakker in Vorden;;;1;;;;;;1
Bakker Prins;;;1;;;;;;1
Bakkerij Bril;;;1;;;;;;1
Bakkerij Lubbers;;;1;;;;;;1
Bakkerij Overzet;;;1;;;;;;1
Bakkerij van der Wal Jolink;;;1;;;;;;1
Balance Financieel Management;;;;;2;;;;2
Balans & Impuls B.V.;;2;;2;1;;;;2
Balkan Grill Boro;;;1;;;;;;1
Balkan Specialiteiten Restaurant Ohrid;;;;;;1;;;1
Banierhuis;;;;;;1;;;1
Banketbakkerij Boheemen;;;1;;;;;;1
Banketbakkerij De Kruyter;;;1;;;;;;1
Banketbakkerij Firma Jullens;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;;1
Banketbakkerij Rijkhoff B.V.;;;1;;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;1;;;;;;1
Banketbakkerij Van Bragt;;;1;;;;;;1
Banketbakkerij-Partyservice Van den Berg;;;1;;;;;;1
Bar Bistro 'Pieke Potloed';;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;1;;;;1
Barefeet Company;;;;;1;;;;1
Bart van Doesburg Consultancy B.V.;;1;;;;;;;1
Bascule Groep;;;;;1;;;;1
Basic Fit International B.V.;;;1;;;;;;1
BASIS ONTWERP GUSTO ITALIANO;;;1;;;;;;1
Bastion Hotel Maastricht B.V. Bastion hotel groep;;;;;;;;1;1
BBWC B.V.;;;1;;;;;;1
BCM Academy B.V.;;1;;;1;;;;1
BCN B.V.;;;;;;;;2;2
Bdankt;;;7;;1;;;;7
Bea Crouwers Coaching;;;;;1;;;;1
Beach Club Royal;;;1;;;;;;1
Beach Experience Scheveningen B.V.;;;1;;;1;;;1
Bedrijfsartspraktijk Mallant;;1;;;;;;;1
Bekking & Blitz Uitgevers B.V.;;;1;;;;;;1
Beleef Concepts v.o.f.;;;1;;;;;;1
Ben van der Heiden Optiek Tholen B.V.;;1;;;;;;;1
Ber.ver. Arb.- en Organis.deskund. (BA&O);;;;;1;;;;1
Berenschot Interim Management B.V.;;;;;2;;;;2
Bernisse Molen;;;1;;;;;;1
Beroepsopleiding Makelaars B.V.;;;;;2;;;;2
Beroepsorganisatie Nederlandse Ontwerpers;;;;;1;;;;1
Beroepsvereniging Vide;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;1;;;;1
Beuk Touringcars;;;;;;;;1;1
Beukenhof Biezenmortel Holding B.V.;;;1;;;;;;1
Beursgebouw Eindhoven B.V.;;;;;1;;;;1
Bever Andelst B.V.;;;1;;;;;;1
Bever Bodegraven B.V.;;;;;1;;;;1
Bewust Zoo!;;;;;1;;;;1
Bezemer Kuiper & Schubad B.V.;;;;;1;;;;1
Biemond & Van Wijk;;;1;;;;;;1
Bijles Company;;;;;1;;;;1
BijzonderStrafrecht B.V.;;;;;1;;;;1
Bilderberg Europa Hotel Scheveningen;;;;;1;;;1;1
Bilt en Bahadoer Opleidingsinstituut B.V.;;;;;1;;;;1
BirdView Expertises B.V.;;;;1;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;;3;;;;3
Bistro Bij Ons;;;1;;;;;;1
Bistro Chez Jacqueline;;;1;;;;;;1
Bistro De Eeterij B.V.;;;1;;;;;;1
Bistro De Zoete Inval V.O.F.;;;1;;;;;;1
Bistro Het Koetshuis Enschede B.V.;;;1;;;;;;1
Bizzdesign;;;;;1;;;;1
Bizzdesign Consultancy B.V.;;;;;4;;;;4
Bizzoscope B.V.;;;;;1;;;;1
BKFF bas kijzers fotografie en film;;;;;;1;;;1
Blad Truck- & Autobusopleidingen;;;;;2;;;;2
Blauw Research B.V.;;;;;2;;;;2
Bleekemolen Indoor Kart Planet B.V.;;;1;;;;;;1
Bloem- en Tuincentrum Van der Maat B.V.;;;1;;;;;;1
Bloem Nr. 61;;;1;;;;;;1
Bloematelier Rosas;;;1;;;;;;1
Bloembinderij De Eeuwige Lente;;;1;;;;;;1
Bloembinderij van der Maat;;;1;;;;;;1
Bloemen en Planten Peter Kramer;;;1;;;;;;1
Bloemenatelier 'Klimop';;;1;;;;;;1
Bloemenboot 'De Watertuin';;;1;;;;;;1
Bloemenhuis Duivenvoorden;;;1;;;;;;1
Bloemenhuis 'Edelweiss';;;1;;;;;;1
Bloemenhuis Habets;;;1;;;;;;1
Bloemenhuis Jan Schuiten;;;1;;;;;;1
Bloemenhuis 'Meindert';;;1;;;;;;1
Bloemenland;;;1;;;;;;1
Bloemenshop Rozeneiland;;;1;;1;;;;1
Bloemisterij Labberton;;;1;;;;;;1
Bloemisterij 'Melia';;;1;;;;;;1
Bloemisterij Pasmans;;;1;;;;;;1
Bloemsierkunst Daan Meurs;;;1;;;;;;1
Bloemsierkunst De Klerk B.V.;;;1;;1;;;;1
Bloemsierkunst Ilyas;;;1;;;;;;1
Bloemsierkunst Krayenhoff B.V.;;;1;;;;;;1
Bloemsierkunst Peter Geene;;;1;;;;;;1
Bloemsierkunst 't Mekkelholt;;;1;;;;;;1
Bloemsierkunst-Kunstnijverheid Ed Heuvelmans;;;1;;;;;;1
Bloemwinkeltje 't Singeltje;;;1;;;;;;1
BlomBerg Society B.V.;;;;;1;;;;1
Blond lunch & diner;;;1;;;;;;1
BLOSSOM bloemisterij;;;1;;;;;;1
Blox Xtraopslag;;;1;;;;;;1
Blue Sakura B.V.;;;1;;;;;;1
Bockholts HR Advies;;;;;1;;;1;1
Boertien Vergouwen Overduin B.V.;;;;;4;;;;4
Bofit Burnout begeleiding en Stressmanagement;;;;1;;;;;1
bol.com B.V.;;;;;1;;;;1
Bonbonnerie Victor;;;1;;;;;;1
Bongo's Ancari Bar;;;1;;;;;;1
Bonheur Horeca Exploitaties B.V.;;;2;;;;;;2
Bonsai 517 Wok;;;1;;;;;;1
Bonusan B.V.;;;;;1;;;;1
Boogh Arbeidsre-integratie;;;;1;;;;;1
Booming B.V.;;;;;2;;;;2
Boon V.O.F.;;;1;;;;;;1
Boost Events;;;;;;1;;;1
BO-Rent Successful Party B.V.;;;1;;;;;;1
Bos Training & Consultancy B.V.;;;;;1;;;;1
Bosma & Van der Lans Lutherie;;;1;;;;;;1
Bosma Direct Marketing Consultancy;;;;;1;;;;1
Botenverhuur De Rijnstroom;;;1;;;;;;1
Boterhal;;;1;;;;;;1
Bots Watersport B.V.;;;;;;1;;;1
Bouvigne Paradijs B.V.;;;1;;;;;;1
Bouwbedrijf Salverda B.V.;;;;;1;;;;1
Bouwlijn Van Dijk B.V.;;;1;;;;;;1
Bowling & Party Centrum Noordwijk B.V.;;;2;;;;;;2
Bowling- & Partycentrum Groningen B.V.;;;1;;;;;;1
Bowling Administratie;;;1;;;;;;1
Bowling Almere B.V.;;;1;;;;;;1
Bowling en Party Centrum Breda;;;1;;;;;;1
Bowling- en Partycentrum Krimpenhof B.V.;;;1;;;;;;1
Bowling Harderwijk B.V.;;;1;;;;;;1
Bowling Hattem;;;1;;;;;;1
Bowling Kartcentrum Westfriesland B.V.;;;1;;;;;;1
Bowlo B.V.;;;1;;;;;;1
Braams & Partners B.V.;;1;;;;;;;1
BrainStudio International B.V.;;;;;2;;;;2
Brasserie Buitenhof;;;1;;;;;;1
Brasserie de Eyserhof;;;1;;;;;;1
Brasserie d'Oude Veiling;;;1;;;;;;1
Brasserie Hermes B.V.;;;1;;;;;;1
Brasserie 'Het Vliegerhuys';;;1;;;;;;1
Brasserie Lodge Visdonk;;;1;;;;;;1
Brasserie Mijn Streek;;;1;;;;;;1
Brasserie Restaurant De Jouster Toer;;;1;;;;;;1
Brasserie Soho B.V.;;;1;;;;;;1
Brasserie Spiegelaar;;;1;;;;;;1
Brasserie 't HeereHuys V.O.F.;;;1;;;;;;1
Brasserie 't Raethuys;;;1;;;;;;1
Brasserie 'T Stief Kwartierke;;;1;;;;;;1
Brasserie The Wing;;;1;;;;;;1
Brasserie Vrienden;;1;1;;;;;;1
Brasserie Waalhaven;;;1;;;;;;1
Brasserie Wildervanck;;;1;;;;;;1
Brasserie/Restaurant Babbilage;;;1;;;;;;1
Break Free Fun Company hodn Total Blue Events;;;;;;1;;;1
Breijer Technisch Beheer Rotterdam;;;;;1;;;;1
BreinCoaching en Training;;;;;1;;;;1
Bricks Almere B.V.;;;1;;;;;;1
Broekhuis Training;;;;;2;;;;2
Brofa V.O.F.;;;;;;;;1;1
Broodjeslijn De Klink;;;1;;;;;;1
Brookhuis Reizen;;;;;;;;1;1
Brouwerij de Prael;;;1;;;;;;1
BR-Platform Nederland;;;;;;;1;;1
Buitengoed Uylenburg B.V.;;;1;;;;;;1
Buitenhuis Solexverhuur;;;1;;;;;;1
Buitenplaats Vaeshartelt B.V.;;;1;;;;;;1
Buitenpoort Gelredome B.V.;;;2;;;;;;2
Buitensport B.V.;;;1;;;;;;1
Buko Infrasupport B.V.;;;;;1;;;;1
Bulgarian Language Centre;;;;;1;;;;1
Bureau Boelens;;;;;1;;;;1
Bureau de Bakker;;;1;;;;;;1
Bureau eMMe;;1;;1;;1;;;1
Bureau Mouton B.V.;;;1;;3;;;;3
Bureau Optimaal Presteren;;1;;;;;;;1
Bureau Schijf, Partner in Leiderschap;;;;;1;;;;1
Bureau voor Beeldzaken;;;;;1;;;;1
Bureau voor Management & ICT Coöperatie UA;;;;;2;;;;2
Bureau Zinrijk;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;4;;;;4
BURGER COACHING & ADVIES;;;;;1;;;;1
Burghoorn Trainingen;;;;;2;;;;2
Buro Rood;;;;;4;;;;4
Buro van Oranje;;;;;1;;;;1
BuroKracht;;;;;3;;;;3
Buschman Consultancy B.V.;;;;;1;;;;1
Business Class Chauffeursdiensten;;;;2;1;;;;2
Business Flowers Zwolle;;;1;;;;;;1
Businessbloemist De Lotus;;;1;;1;;;;1
BVA bond van adverteerders;;;;;1;;;;1
BVO Opleidingen B.V.;;;;;4;;;;4
C&T Ontwikkeling B.V.;;;;;1;;;;1
C.A.C. Events & Productions La Zia Maria;;;1;;;;;;1
C.V. La Galleria-Chicoleo Kijkduin;;;1;;;;;;1
Cadeau Concepten B.V.;;;1;;;;;;1
Cafe Bar De Paddestoel;;;1;;;;;;1
Café Brasserie 't Gerucht;;;1;;;;;;1
Café De Eerste Aanleg;;;1;;;;;;1
Café De IJzeren Klap;;;1;;;;;;1
Café D'n Engel;;;1;;;;;;1
Café Restaurant De Biechtstoel;;;1;;;;;;1
Café Restaurant De Rietstulp;;;;;;;;1;1
Café Restaurant Van Veen Witten;;;1;;;;;;1
Cafe Restaurant Vandaag B.V.;;;;;;1;;;1
Café ''t Vonderke';;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;;1
Café-Cafetaria De Kneut;;;1;;;;;;1
Café-Restaurant 'Het Wapen van Beckum' B.V.;;;1;;;;;;1
Café-Restaurant Poelwijk;;;1;;;;;;1
Café-Restaurant Reimink B.V.;;;1;;;;;;1
Café-Restaurant Riva B.V.;;;;;;1;;;1
Café-Restaurant 'Stad Parijs';;;;;;1;;;1
Café-Restaurant Steakhouse Hotel Boschzicht;;;;;;1;;;1
Camera Tools B.V.;;;2;;;;;;2
Camiel Mikily B.V.;;;1;;;;;;1
Canal Bus B.V.;;;1;;;;;;1
Canast B.V.;;;;;2;;;;2
Canon Nederland;;;;;2;;;;2
Cantina Mexicana B.V.;;;1;;;;;;1
Capgemini Educational Services B.V.;;;;2;7;;;;7
Capgemini Nederland B.V.;;;;;4;;;;4
Capo Cucina;;;;;;1;;;1
Cappon Coaching & Training;;;;;1;;;;1
Capricio;;;1;;;;;;1
Captain Cook's;;;1;;;;;;1
Caringe Chocoladewerken;;;1;;;;;;1
Carlton Ambassador Hotel B.V.;;;1;;;;;1;1
Carlton Beach Club;;;;;;;;1;1
Carmiggelt Consultancy;;;;;1;;;;1
CasaGrande B.V.;;;;;2;;;;2
Caseware Idea B.V.;;;;;1;;;;1
CaseWare Nederland;;1;;;;;;;1
Catch;;;;;1;;;;1
Cater King van Waas;;;1;;;;;;1
Cavari Clinics Groningen B.V.;;1;;1;;;;;2
Central Point Software;;;;;2;;;;2
Centrale Wapenhandel Dorhout Mees B.V.;;;1;;;;;;1
Centric Netherlands B.V.;;;;;1;;;;1
Centric Training;;;;;6;;;;6
Centrum Hoger Onderwijs Informatie B.V.;;;;;1;;;;1
Centrum voor online onderzoek B.V.;;;;;2;;;;2
Certus arbo;;1;;;;;;;1
Challenge Learning;;;;;1;;;;1
Charelli B.V.;;;1;;;;;;1
Chassé Theater N.V.;;;1;;2;;;;2
Cheyenne Indian & Western Store;;;1;;;;;;1
Chez Dick B.V.;;;1;;;;;;1
Chin. Special. Restaurant 'Empire Palace';;;1;;;;;;1
Chin.-Ind. Rest. Sonsbeekpaviljoen V.O.F.;;;1;;;;;;1
Chin.-Ind. Spec. Restaurant Malakka B.V.;;;1;;;;;;1
Chinees Indisch Restaurant 'Mandarin';;;1;;;;;;1
Chinees Indisch Restaurant Nieuw China;;;1;;;;;;1
Chinees Indisch Restaurant Tai Soen;;;;;1;;;;1
Chinees Japans Rest. Paradijs Oosterhout B.V.;;;1;;;;;;1
Chinees Restaurant Wok Euroborg;;;1;;;;;;1
Chinees-Indisch Restaurant 'Happy Garden';;;1;;;;;;1
Chinees-Indisch Restaurant Kota Radja;;;1;;;;;;1
Chinees-Japans Rest. De Blauwe Pauw;;;1;;;;;;1
Chr.J. Straus;;;;1;;;;;1
Christelijke Hogeschool Ede;;;;;1;;;;1
CIBIT Adviseurs/Opleiders;;;;;6;;;;6
CIBT Netherlands;;;;;;;;1;1
CIO Platform Nederland;;;;;;;1;;1
Cirquest B.V.;;;;;1;;;;1
Claus Hoofddorp B.V.;;;1;;;;;;1
Clean Service Products V.O.F.;;;1;;;;;;1
Cloose;;;1;;;;;;1
CM Partners B.V.;;;;;2;;;;2
Coach in' Company;;;;1;;;;;1
Coachingsburo Kimado;;;;;1;;;;1
College of Multimedia;;;;;1;;;;1
Color Utrecht Presentaties B.V.;;;1;;;;;;1
Com-Connect B.V.;;;;;1;;;;1
Comic House;;;1;;;;;;1
Common Eye B.V.;;;;;1;;;;1
Company of Gifts B.V.;;;3;;;;;;3
Company Webcast B.V.;;;;;2;;;;2
COMPAREX Nederland B.V.;;;;;2;;;;2
Competence Factory;;;;;1;;;;1
Compu'Train Opleidingen B.V.;;;;;4;;;;4
comScore B.V.;;;;1;;;;;1
Condite B.V.;;;;;1;;;;1
Congres- en Verblijfcentr. De Hamermolen B.V.;;;;;;1;;;1
Congres4U;;;;;1;;;;1
Connact t.h.o.d.n. CINX;;;;;1;;;;1
Connexxion Taxi Services;;;;;;;;1;1
Connexxion Taxi Services B.V.;;;;;;1;;2;2
Constitute B.V.;;;;;1;;;;1
Construct Bedrijfspsychologie;;;;;4;;;;4
Coöperat. Rabobank Amersfoort en omstreken UA;;;;;1;;;;1
Coöperatie ACS partners UA;;;;;1;;;;1
Coöperatie Ambulancezorg Maasvlakte UA;;1;;;;;;;1
Coöperatief Adviesbureau Van den Berge UA;;;;;1;;;;1
Cor Molenaar Consultancy B.V.;;;;;1;;;;1
CORION Management Holding B.V.;;;;;1;;;;1
Cornelese Technical Systems B.V.;;;;;1;;;;1
Cortex B.V.;;;;;1;;;;1
CoThink B.V.;;;;;2;;;;2
Country Golf Ees;;;1;;;;;;1
CQT Zorg & Gezondheid B.V.;;;;;1;;;;1
Cratos;;;;;;;;1;1
Crazy Holding;;;1;;;;;;1
Creapolis Media;;;;;2;;;;2
Creatiebureau De Leth B.V.;;;;;1;;;;1
Creation Coaching;;1;;;;;;;1
Crowne Plaza Hotel Maastricht;;;1;;;;;;1
CS Factoring;;;1;;;;;;1
CSR Centrum B.V.;;1;;1;1;;;;1
Cucina del Mondo V.O.F.;;;1;;;;;;1
Culinair Centrum Aarle-Rixtel;;;1;;;;;;1
Culpepper B.V.;;;;;;1;;;1
Customer Contact Career Portal B.V.;;;;;2;;;;2
Customeyes B.V.;;;2;;;;;;2
CVA Informatica Opleidingen B.V.;;;;;1;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;2;;;;2
Dailyfresh Logistics C.V.;;;1;;;;;;1
Dalstra Reizen;;;1;;;;;;1
Dassen Bouw B.V.;;;;;1;;;;1
DataExpert B.V.;;;;;4;;;;4
DBC Reïntegratie B.V.;;1;;1;;;;;2
DCE Nederland B.V.;;;;;1;;;;1
De Ander;;;;;1;;;;1
De Argumentenfabriek B.V.;;;;;1;;;;1
De Argumentenfabriek Denkacademie B.V.;;;;;2;;;;2
De Baak Administratie;;;;;3;;1;2;3
De Baak Noordwijk B.V.;;1;;1;2;;;;2
De Bakgigant;;;1;;;;;;1
De Bakkerswinkel Den Haag;;;1;;;;;;1
De Bakkerswinkel Utrecht;;;1;;;;;;1
De Ballentent;;;1;;;;;;1
De Baron B.V.;;;1;;;;;;1
De Bebsel;;;1;;;;;;1
De Belgische Keizer B.V.;;;1;;;;;;1
De Bierelier B.V.;;;1;;;;;;1
De Bloem Bloem;;;1;;;;;;1
De Bloemist;;;1;;;;;;1
de Burgemeester;;;1;;;;;;1
De Buurtboer B.V.;;;1;;;;;;1
De Byzantijn;;;1;;;;;;1
De Eendenkooi;;1;;;;;;;1
De Efteling B.V.;;;;;;;;1;1
De Fiscount Adviesgroep B.V.;;;;;1;;;;1
De Gezonde Zaak B.V.;;2;;;;;;;2
De Glascentrale Tilburg B.V.;;;1;;;;;;1
De Gouden Bock;;;1;;;;;;1
De Gouden Wok Zuiderpark;;;1;;;;;;1
De Graaf Van Vlaanderen B.V.;;;2;;;;;;2
De Haven van Texel;;;1;;;;;;1
De Herberg;;;1;;;;;;1
De Hertenkamp Assen B.V.;;;1;;;;;;1
De Hofnar Scheveningen B.V.;;;1;;;;;;1
De Holland Winkel;;;1;;;;;;1
De Hooge Vuursche B.V.;;;;;1;;;;1
De Kakelhof;;;1;;;;;;1
De Kiewit Search B.V.;;;;2;;;;;2
De Kleine Engel;;;1;;;;;;1
De Kloveniersdoelen B.V.;;;1;;;;;;1
De Kookfabriek Rotterdam B.V.;;;;;;1;;;1
De Koperen Hoogte;;;1;;;;;;1
De Koperen Tuin B.V.;;;1;;;;;;1
De Lachende Vis;;;1;;;;;;1
De Landgoederij B.V.;;;;;;2;;;2
De Lange Muur B.V.;;;1;;;;;;1
De Lunchboxx;;;;;;1;;;1
De Makelaarsshop;;;1;;;;;;1
De Matroos en het Meisje;;;1;;;;;;1
DE NED ORDE VAN BELASTINGADVISEURS;;;;;1;;;;1
De Nederlandse Orde van Belastingadviseurs;;;;;2;;;;2
De Nieuwe Bierton;;;1;;;;;;1
De Nieuwe Kracht B.V.;;;;1;;;;;1
De Nonnen in Vught;;;;;3;;;;3
de Persgroep Nederland B.V.;;;1;;;;;;1
De Processpecialisten B.V.;;;;;1;;;;1
DE PUBQUIZMASTER;;;;;;1;;;1
De Pudding;;;;;1;;;;1
De Rotterdam B.V.;;;1;;;;;;1
De Schildhoeve;;;1;;;;;;1
de Schulenburch;;;1;;;;;;1
De Sleutel Culinair B.V.;;;1;;;;;;1
De Smaeck van Brielle;;;1;;;;;;1
De Smidse;;;1;;;;;;1
De Spits Horeca;;;1;;;1;;;1
De Steengroeve;;;1;;;;;;1
De Stentor;;;1;;;;;;1
De Taalcoach;;;;;1;;;;1
De Tapuit;;;1;;;;;;1
De Tombe Consultancy B.V.;;;;;1;;;;1
De Tuinderij;;;;;;2;;;2
De Tuynkamer;;;1;;;;;;1
De Vereniging De Jonge Balie Te Gelderland;;;;;1;;;;1
De Waterburcht Eelde B.V.;;;1;;;;;;1
De Watertuin Schiedam B.V.;;;1;;;;;;1
De Wilgenweard;;;1;;;;;;1
De Winkel van Sinkel B.V.;;;2;;;;;;2
De Winter Holding B.V.;;;1;;;;;;1
De Witte Aap B.V.;;;1;;;;;;1
DE YSBREKER BV cafe restaurant;;;;;;;;1;1
De Zaak Hermelink;;1;;;;;;;1
De Zonnehoek Chr. Sch. v VSO ZMLK;;;;1;;;;;1
Debatacademie;;;;;1;;;;1
Dede & Söner V.O.F.;;;1;;;;;;1
Degros;;;1;;;;;;1
Deiputs B.V.;;;;;1;;;;1
DeJong boekingen;;;;;1;;;;1
Dekker Zoetermeer;;;1;;;;;;1
Dekxels B.V.;;;1;;;;;;1
Dell Benelux Call Centre;;;;;1;;;;1
Deloitte Accountants;;;;;2;;;;2
Deloitte Consulting B.V.;;;;;2;;;;2
