Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9580 - SZW specifiek;Eindtotaal
Agens Social Return B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ahoy Rotterdam N.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ahrend Nederland B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
AIVB Adviesbureau;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ajms Management Advies;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Albron Travel Catering;;1;;;;;;;;;;;4;;;;;;;;;;;;;;;;1;;;;;;;;4
Aliza Art;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
All Pensions Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7
Alliance Francaise de La Haye;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alsare B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
ALTER - HAAGLANDEN sleutels - sloten;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Alting Montage Vollenhove;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alura Hekwerk B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
AL-West B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Amaze Escape Events;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambius B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Amos Milieutechniek B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Amstel Car Shine;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Amstel Graphics B.V.;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1
Andes B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Andriessen & Partners B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
annatommie - centra voor orthopedie - B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Anne&Max Utrecht;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Annelies Kraan Beheer B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Antoine Productions;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Antoinette Faciliteert;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AOB Compaz;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
APE Public Economics B.V.;;;;;;;5;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;5
Apple Retail Netherlands B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Arbo en Personeel Advies Centrum (Apac) B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Arbo Unie B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ArboNed II B.V.;4;1;;;;;;;;;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;4
Archie Europe B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
ARCO Sociale Zekerheid;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ardis Organisatieontwikkeling B.V.;;2;;6;;;2;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;6
Arenda Oomen Fotografie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arian Valk Consultancy;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A-Risc;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARISTO UTRECHT BV;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aroma Kamille;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Art 4 You Decorations;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Artiestenbureau van Otterloo B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artiestenverloningen B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Asp4all Hosting B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;5;;;;;;;;;5
Asstex;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Athlon Car Lease Rental Services B.V.;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;7
Atlantic Hotel Exploitatie B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atlas voor Gemeenten B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Atos Nederland B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
Atrium Groep B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AukjeNauta.eu;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aurium Commerce B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Auto Cleaning 013;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Auto- en Bergingsbedr. Van den Boogaard B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Autobekleding Kees van Hoof;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Automotive Publishing B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Avans Hogeschool B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AVEQ Creatieve Producties B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AVI Algemeen Veiligheids Instituut B.V.;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
AVision;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AWVN (Algemene Werkg.ver. Nederland);;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Axiell ALM Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;2
Axum Import/Export;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ayit Consultancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
B en W huisartsen;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
B&A Werk;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
B.&V. Media B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Exploitatiemaatschappij Museumstoomtram;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Hotel De Gouden Karper;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Ingenieursbureau M.U.C.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
B.V. Van Vliet Groep Milieu-Dienstverleners;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
B+B Vakmedianet B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Babbels;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Van Maanen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bakkerij Ammerlaan B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij De Jong B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Balance is Beautiful!;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BAM Techniek - Fire Protection;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Boheemen;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij De Vlaam B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Jansen-de Koning;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Maison Kelder B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bar Restaurant La Vina;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bar Restaurant Pavlov B.V.;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1
Bart Samsom Enterprises;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bartolomeus Productions;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bastion Hotels;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bea Crouwers Coaching;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beachclub Copacabana B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beauty Instituut Nina K;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BECO Groep B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Bedrijfsartsen-flex B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Bedrijfsopleidingen Midden Nederland B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Beeldinzicht;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beheermaatschappij Gulbergen B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beleidstheater;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2
Belgisch Biercafé Olivier B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bella Vista Opticien;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ben Blaauw Music;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ben van der Heiden zien & zorg;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berenschot Interim Management B.V.;;;;2;;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
Beroepsvereniging Vide;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Best Western Hotel 't Loo;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bestuurskundig Adviesbureau Peter Hovens;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beta Media Groep B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Betapress B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Between B.V.;;;;;;;;;;3;;;;;;;;;;;;;;;;5;;;;;;;;;;;5
Beuk;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beware Beach;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bex*communicatie;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Bezemer Kuiper & Schubad B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bierbrouwerij De Koningshoeven B.V.;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Biercafé 't Locomotiefke;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bij de Buurvrouw;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bilderberg Hotel De Buunderkamp;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bilderberg Hotel De Keizerskroon;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bilderberg Hotel De Klepperman;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bilderberg Hotel Wolfheze;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Binnenlands Bestuur B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bison Bowling;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro Chez Jacqueline;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BKFF bas kijzers fotografie en film;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blendle B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bloemsierkunst Flierman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blom Group B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
blooming trainingsbureau B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
BMC Management B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
BME Opleidingen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BOAT Coaching;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bobbe International B.V.;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;2;;;1;3
Boek en Service;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boekhandel Douwes;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Boekhandel Van Stockum;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boertiengroep;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bofit Burnout begeleiding en Stressmanagement;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
bol.com B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Bon Vivant B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boom B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Boom Distributie Centrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boom uitgevers Den Haag;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;5
Boost Events;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boshotel Utrechtse Heuvelrug;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Bosman Wijnkopers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boterwaag Den Haag B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Bourgonje Geluid- en Lichtservice B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bouwbedrijf Jacobs B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bouwbedrijf Wessels Rijssen B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bouwgroep Dijkstra Draisma;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bowling Scheveningen B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BPF Bouwinvest Services B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BPI Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;2
BPP Hyperion B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brainwork B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Branch Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Brasserie Buitenhof;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie 'De Mallemok';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie De Vierbannen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie Sequenza;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie Soho B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie/Restaurant Babbilage;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Break NL Schermclinics;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Breakout Rotterdam;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brilmij Groep B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brink's Nederland B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
British Language Training Centre B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Brug in Bedrijf;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BS&F B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buchen ICS B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buchrnhornen-Klomp;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Budget Rent a Car;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Buena Vista Beach Club B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buitenhek Management & Consult B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Bartels B.V.;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5
Bureau Beeley;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Blanco B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bureau op zolder;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Schijf, Partner in Leiderschap;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau voor Interculturele Evaluatie B.V.;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;7
Bureau voor oplossingsgericht werken;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Zuidema B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
BureauSterk B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Burgers Ergon bv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;6
Burn Out Poli;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Buschman Consultancy B.V.;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Café Restaurant Dunya Lokanta;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Rootz B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Selina;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe Sportpaleis;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Zomers & Zomers;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe/Restaurant Schlemmer;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant Amier B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant De Prinsenkelder;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant Leopold;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant ''t Koetshuis';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Canal Company B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Cao-recht Advies en Opleiding;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Capgemini Educational Services B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Capgemini Nederland B.V.;;;;1;;2;7;;;;;;;;;;;;;;;;;;;1;3;;;;;;1;;;5;7
Capriole Coffee Service;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Carat Nederland B.V.;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Carbonfilters B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Card Vision B.V.;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Cardano Risk Management B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carglass B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Carlson Wagonlit Nederland B.V.;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
