Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;8-Communicatie
Koninklijke Schippersvereniging;1;;1
Koninklijke Vereniging van Nederlandse Reders;2;;2
Kop Beveiliging;2;;2
Kreisler Import;1;;1
Kunsthal Rotterdam;1;;1
KVSA van Halverhout & Zwart en Zurmühlen;1;;1
Kwaliteitskring Zuid Holland;1;;1
Laverbe;;1;1
Legal Intelligence/Quay Consult;1;;1
Liander;1;;1
LIEVENS COMMUNICATIE;;2;2
Locatienet;1;;1
Logeion Vereniging Voor Communicatie;1;;1
Louwers Uitgeversorganisatie;1;;1
MAATSCHAP A. EN C. WASSINK-TER MATE;;1;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);1;;1
ManagementMedia (GrafiCom);1;;1
MANSCHOT BOEKHANDEL;1;;1
Matrijs Stichting;1;;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);1;;1
Meer Effect Qualitytime;1;;1
Meteo Consult;1;;1
METT;1;;1
MIJNTIJDSCHRIFT;1;;1
Misset;1;;1
MT Abonnementenland;1;;1
MYbusinessmedia (vh Media Business Press);1;;1
Naf - Nederlands Architectuur Forum;1;;1
Nationale Bond Voor Ehbo;1;;1
Natuurhistorisch Genootschap;1;;1
Nederlands Fotogenootschap;1;;1
Nederlands Instituut voor Navigatie;1;;1
Nederlandsche Uitgeversmaatschappij;1;;1
Nederlandse Beroepsvereniging voor Contractmanagement;1;;1
Nederlandse EMC-ESD Vereniging;1;;1
Nederlandse Hydrologische Vereniging;1;;1
Nederlandse Vereniging tot Bescherming van Vogels;1;;1
Nevi/Neho;1;;1
NFC Index;1;;1
NFMD Nederlandse Stichting voor Management Development;1;;1
NGFG Nederlands Genootschap van Functionarissen Voor De Gegevensbescherm;1;;1
NGI Ned Genootschap voor Informatica - Platform voor ICT-Professionals;1;;1
Nic Best Deal;1;;1
Nieuwland Advies, Opleiding, Automatisering;1;;1
Nieuwsbank;1;;1
NJV Nederlandse Juristen Vereniging;1;;1
Noloc;1;;1
Noordhoek Uitgeverij;1;;1
Noordhoff Uitgevers (incl. Wolters-Noordhoff);1;;1
Novagraaf Nederland;1;1;1
Novius;1;;1
NSCU;1;;1
NSVV Nederlandse Stichting voor Verlichtingskunde;1;;1
NT Publishers;1;;1
NTG Nederlandstalige Tex Gebruikersgroep;1;;1
NTI-NLP Nederlands Trainingsinstituut voor Neurolinguistisch Programmeren;1;;1
NVB Federatie Nederlandse Verenigingsbureau;1;;1
NVD Beveiligingen;1;;1
NVR Nederlandse Vereniging van Rentmeesters;1;;1
NVRD Vereniging Voor Afval en Reinigingsmanagement;1;;1
NVS Nederlandse Vereniging voor Stralingshygiene;1;;1
NVVK Nederlandse Vereniging Voor Veiligheidskunde;1;;1
OCLC (incl. PICA);2;;2
Openbare Bibliotheek Amsterdam;1;;1
Or.nl Internetdiensten;1;;1
OV Magazine;1;;1
P1 Off Street/On Street;1;;1
Paagman Kantoorbenogigdheden;1;;1
Paint It Blue Magazines;1;;1
Performa Uitgeverij;1;;1
Plaggemars & Co Incassobureau;1;;1
Platform Outsourcing Nederland;1;;1
Postcode.nl;1;;1
PPO Praktijkonderzoek Plant & Omgeving;1;;1
Prince User Group NL;1;;1
Puur Events;;1;1
PVIB Platform Voor Informatiebeveiliging;1;;1
Quovadis Trustlink;1;;1
RAI Amsterdam;1;;1
Railforum Nederland;2;;2
RDMG Uitgeverij;1;;1
RechtNet Advocaten (recht.nl);1;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);1;;1
Reismedia;1;;1
Renaissance IT;1;;1
Rendement;1;;1
Restauratie Atelier Sterken;1;;1
Rom;1;;1
Sabel Communicatie;;2;2
Sam Electronics Nederland;;1;1
Scenter;1;;1
Scope Business Media;1;;1
SDO Stichting Deeltijd Opleidingen;1;;1
SDU - Service Centrum Uitgevers;2;;2
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);1;;1
Security Press;1;;1
SENET EINDHOVEN;1;;1
SHAREALL;1;;1
Shipping & Signalling Services;1;;1
SMC Security Monitoring Centre;1;;1
SOD Opleidingen;1;;1
SPECIALISTEN VERVOER GEVAARLIJKE;1;;1
Stg SAB Afvalstoffen & Vaardocumenten Binnenvaart;1;;1
Stg. Vakblad Natuur Bos Landschap;1;;1
Stichting Fonds Hartman;1;;1
Stichting Hulpverleners Magazine;1;;1
Stichting ISSO;1;;1
Stichting Lean Management Instituut;1;;1
STICHTING RUIMTE VOOR DE JEUGD;1;;1
Stichting SqEME;1;;1
Stichting Sterkin;1;;1
Studystore Studieboekencentrale;1;;1
Sumo Sushi & Grill Restaurant;;1;1
Surfmarket (vh surfdiensten);1;;1
Swets Info Services (incl. Blackwell, Zeitlinger);3;;3
'T Smoske;1;;1
Tamminga en Verweij;;1;1
Tappan Communicatie;;3;3
Tekst & Uitleg;1;;1
Tias Nimbas Business School Utrecht;1;;1
TMG - de Telegraaf Media Group;1;;1
Top Movers;;1;1
Triadesk.Communicatie;;2;2
Triomf Tours;;1;1
UPC Nederland;1;;1
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;1;;1
Vakmedianet Management;1;;1
Van Beek & Specker Banketbakkerij;1;;1
Van De Sande Drukkerij;1;;1
Van Dijk Zakelijk (incl. Selexyz, Donner, Scholtens, Scheltema, Kooyker, de Tille, Gianotte, Broese,...);1;;1
VAN EGERAAT VERHUIZINGEN;1;;1
Van Haren Publishing;1;;1
Van Hulzen Public Relations;;2;2
Van Stockum;3;;3
Van Zandbeek Corporate Communicatie;;1;1
Var Ver Voor Bestuursrecht;1;;1
Vasmo Vereniging van Ambtelijk Secretarissen van Medezeggenschapsorganen in Nederland;1;;1
Vastgoed Cert (Stichting);1;;1
Vastgoed Journaal;1;;1
VBR Vereniging Voor Bouwrecht;1;;1
VDLC van der Linden Communicatie Publishers/Consultants;1;;1
Vereniging van Griffiers;1;;1
VERENIGING VOOR ONTEIGENINGSRECHT V;1;;1
Vide Beroepsvereniging;1;;1
Vingerling Boek en Kantoor;1;;1
Virtual Printer;;1;1
Virtumedia;1;;1
Visserijnieuws;1;;1
VLIEGCLUB ROTTERDAM;1;;1
VMR Vereniging voor Milieurecht;1;;1
Voc Uitgevers;1;;1
VOP VERZEKERINGSPLATFORM OVERHEDEN;1;;1
VPV VER PUBLIEK VERVOERRECHT;1;;1
VVK Vereniging Voor Klachtrecht in De Publieke Sector;1;;1
VVM Netwerk van Milieuprofessionals;1;;1
Watersportvereniging Yerseke;1;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);1;;1
Weka Uitgeverij;1;;1
Werkgemeenschap Landschapsecologisch Onderzoek;1;;1
Wolters Kluwer (incl. Kluwer);2;;2
Ziggo (vh Casema);1;;1
Eindtotaal;7;5;7
