Handelsnaam;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
ACS audiovisual solutions B.V.;;;;;;;;1;;1
Active Collecting Control & Services B.V.;;;;;;;;;1;1
Activo;;;;;1;;;;;1
ACV Beveiligingstechniek B.V.;;1;;;;;;1;;1
A'damse Med. Speciaalz. Fa. A. Vos & Zoons;;;;1;;;;;;1
ADC Reproservice B.V.;;;;;1;;;;;1
Adinda Calbo t.h.o.d.n. Bagels & Beans IJdock Amsterdam;;;;;1;;;;;1
Ad-Just Bouwman;;;;;1;;;;;1
Adv. en Evenementen Organisatiebureau Jerrink;1;;;;;;1;;;1
Adversa Communicatie;;;;;;;1;;;1
Advocatenkantoor Oudegracht;;;;;;;;;1;1
AED Solutions B.V.;;1;;1;;;;1;;1
AEDcompany.nl;;1;;1;;;;;;1
Aegon Nederland N.V.;1;;;;;;;;;1
Afd. Eelde/Paterswolde vd Kon. Ned. Ver. EHBO;;1;;;;;;;;1
AGC Gerechtsdeurwaarders & Incasso Groningen;;;;;;;;;1;1
AGH Support;;;;;;;;1;;1
Agilent Technologies Netherlands B.V.;;;;;;;;2;;2
AgiliX Agile Development Consulting B.V.;;;;;;;1;;;1
Agrifirm Winkel B.V.;;;;;;;1;;;1
Aha Drukwerk;;;;;;;;1;;1
Ahrend Inrichten;;;;;;;3;;;3
Ahrend Inrichten BV;;;;;;;1;;;1
Ahrend Nederland B.V.;;;;;;;5;3;;5
AimAtArt;;;;;1;;;;;1
Air Products Nederland B.V.;;;;1;;;;1;;1
Akoestiek Comfort B.V.;;;;;;;1;2;;2
Akse Media B.V.;;;;;;;1;;;1
Al-Andaluz International B.V.;;;;;1;;;;;1
Alanya Kebab;1;;;;;;;;;1
Albert Heijn B.V.;1;;;;1;;;;;1
Alberts Kunsthandel;;;;;;;1;;;1
Albert-Schweitzergroep - Scouts Troep;;;;;1;;;;;1
Albron Nederland B.V.;7;;;;1;;;;;7
Albyco Nederland B.V.;;;;;1;;;1;;1
Alequam;;;;;1;;;;;1
Alert Teleservices B.V.;;1;;;;;;;;1
Alewijnse Holding B.V.;;;;;;;1;;;1
Alewijnse Utrecht;;;;;;;2;;;2
Alfa Glas B.V.;;;;;;;1;;;1
Alga B.V.;;;;;;;1;1;;1
Algemene Amersfoortse Glaswacht B.V.;;;;;;;1;;;1
All Dent B.V.;;;;;;;1;1;;1
All Tactical;;1;;1;;;;;;1
Allekabels B.V.;;;;1;;;;1;;1
Allekante B.V.;;;;;1;;;;;1
Allround Service Overwijk;;;;;;;;1;;1
ALM Afbouwgroep;;;;;;;3;;;3
Almeva B.V.;;1;;;;;;;;1
Alp Lift B.V.;;;;;;;1;1;;1
Alpheios B.V.;;;1;;;;1;1;;1
Alphense Sleutel & Sloten Service;;1;;;;;1;1;;1
Altec Industriële Identificatie;;;;;;;;1;;1
ALTEREGO S.A.;;;;;;;1;;;1
Alup-Kompressoren B.V.;;;;;;;;1;;1
Alvero Kantoormeubelverhuur B.V.;;;;;;;1;;;1
Amaze Escape Events;;;;;1;;;;;1
Amazing Bread Company B.V.;;;;;1;;;;;1
Ambachtelijke Slagerij Kevelam;1;;;;;;;;;1
Ambachttechniek;;;;;;;;1;;1
Ambala Tandoori Take-Away & Sweets;1;;;;;;;;;1
Ambius B.V.;;;1;;;;1;;;1
Ã–mer Balli t.h.o.d.n. Döner Company;1;;;;;;;;;1
American Dental Trading B.V.;;;;1;;;;;;1
AMETEK B.V.;;;;;;;;1;;1
Amstel Printing Group;;;;;1;;;;;1
Amstelparkrestaurant Rosarium B.V.;;;;;1;;;;;1
Amsterdam Boat Experience B.V.;;;;;1;;;;;1
Amsterdam Boats B.V.;;;;;1;;;;;1
Andrews Sykes B.V.;;;;;;;2;;;2
Anja's Broodjesdienst;1;;;;;;;;;1
Anke Boelens Interieurvormgeving;;;;;;;1;1;;2
Anne Boermans Coaching en Counseling;;;;;1;;;;;1
Annemarie Willems Producties;;;;;1;;;;;1
ANP Photo;;;;;1;;;;;1
Antalis B.V.;;;;1;;;;1;;1
Antea Group;;;;;;;1;;;1
Anticimex;;;2;;;;;;;2
AON Nederland C.V.;;;;1;;;;;;1
APAC Services B.V.;;;;;;;2;2;;2
apetito B.V.;1;;;;;;;;;1
Applied Biosystems;;;;;;;;4;;4
Applied Research Laboratory Eur. (ARLE) B.V.;;;;1;;;;;;1
Aqua Chain Holland;1;;;;;;;;;1
Aqua Chain Holland B.V.;1;;;;;;1;;;1
Aqua Flor Bloembinderij;;;;;1;;1;;;1
Aquacare Europe B.V.;;;;;;;1;;;1
Aquaco B.V.;;;;;;;;1;;1
Arap Relatiegeschenken B.V.;;;;;;;;1;;1
Arbo Safe B.V.;;1;;;;;;;;1
Arehbo (Service & Advies);;1;;;;;;;;1
Arendje Verhuur B.V.;;;;;1;;;;;1
Arian Tuintechniek;;;1;;;;1;;;1
Aristo Amsterdam B.V.;;;;;1;;;;;1
Arma Verhuur Horeca B.V.;;;;;1;;1;;;1
Armada (Haaglanden) Catering;;;;;1;;;;;1
Arnage Horeca B.V.;;;;;1;;;;;1
Arnauld Geschenken B.V.;;;;;1;;1;;;1
Arob Antennebouw B.V.;;;;;;;1;1;;1
Arseus Dental Nederland B.V.;;;;;;;1;;;1
Art & Dining;1;;;;;;;;;1
Art 4 U;;;;;;;2;;;2
Art for More B.V.;;;;;;;1;;;1
Art. en Evenement. Stef Arntz/Streetwise B.V.;;;;;1;;;;;1
Artiestenverloningen B.V.;;;;;1;;;;;1
Artige B.V.;;;;;1;;;;;1
Artihove Regina B.V.;;;;1;1;;;1;;1
Artikraak;2;;;;;;;;;2
Artimat B.V.;;;;;;;;1;;1
Arts & Dennissen Catering;1;;;;;;;;;1
Artsen Zonder Grenzen;;;;;1;;;;;1
arvato Finance B.V.;;;;;1;;;1;1;1
ASB Security B.V.;;1;;;;;;;;1
Ascom (Nederland) B.V.;;2;;;;;2;1;;2
Asp4all Hosting B.V.;;;;;;;;1;;1
ASSA ABLOY Nederland B.V.;;1;;;;;1;1;;2
ASTERIA Ardennes-Etape;;;;;1;;;;;1
Atal B.V.;;;;;;;1;1;;1
Atelier Beeld & Ruimte;;;;;1;;;;;1
Atelier Henk de Bouter;;;;;;;;1;;1
Atelier Iconic;;;;;1;;;;;1
Atelier 'in Beeld';;;;;1;;;;;1
Atelier Wenzel & van de Geer;;;;;1;;;;;1
Athenaeum Boekhandel B.V.;;;;;1;;;;;1
Athene Palace B.V.;;;;;1;;;;;1
ATK Grootkeukentechniek B.V.;;;;;;;;1;;1
Atlantic Hotel Exploitatie B.V.;1;;;;1;;;;;1
Atlas Copco Tools Nederland;;;;;;;;1;;1
ATS Systems B.V.;;2;;;;;;;;2
Attero;;;;;;1;;;;1
Attractiepark en Camping Duinrell B.V.;;;;;1;;;;;1
Audio Video Wolbers;;;;;;;;1;;1
Audion Elektro B.V.;;;;;;;;1;;1
Audiovisueel Productiebedrijf De Organisatie;;;;;1;;;;;1
August;1;;;;;;;;;1
Ausma Vorkheftrucks B.V.;;;;;;;;1;;1
Auto Munsterhuis;;;;;1;;;;;1
Automatic Signal Rijsenhout B.V.;;3;;;;;;;;3
AV Partners;;;;;1;;;;;1
AV Point Europe B.V.;;;;;;;;1;;1
AVB Language Group B.V.;;;;;1;;;;;1
AVDD B.V.;;2;;;;;;;;2
Avex B.V.;;;;;;;1;1;;1
Aviste B.V.;;;;;;;;1;;1
AXA;;;;;;;1;;;1
AZ Barbecue & Gourmet Partyservice B.V.;1;;;;;;;;;1
Aziatische Bloemsierkunst V.O.F.;;;;;1;;;;;1
Azion;;;;;;;1;;;1
B & V Bedrijfshulpverlening B.V.;;1;;;;;;;;1
B & V Brandbeveiliging B.V.;;2;;;;;;;;2
B&D Creative;;;;;;;;1;;1
B&G Catering Service;1;;;;;;;;;1
B. en S. Luxe Verhuur V.O.F.;;;;1;;;;;;1
B. van Loon Groentechniek B.V.;;;;;;;;1;;1
B.J. Bontekoe;;;;;1;;;;;1
B.L. Mulder B.V.;;;;;;;;1;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;;;1;;;1
B.V. Fryslan Miljeu Bedrijfsservice (Omrin);;;2;;;;;;;2
B.V. Glashandel Markendaal;;;;;;;1;;;1
B.V. Haxpema;;;;;1;;;;;1
B.V. Hotel Bel Air Den Haag;;;;;1;;;;;1
B.V. Installatiebureau A.L. van Wijlen;;1;;;;;2;2;;2
B.V. Korthofah;;;;;;;;1;;1
B.V. Panorama Mesdag;;;;;1;;;;;1
B.V. Perscentrum Nieuwspoort;;;;;1;;;;;1
B.V. Princeville Exploitatie;;;;;1;;;;;1
B.V. Technisch Bureau Jacot;;;;1;;;;1;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;;;1;1;;1
B.V.D.A. International B.V.;;1;;;;;;1;;1
B+B Vakmedianet B.V.;;1;;;;;;;;1
B55;;;;;1;;;;;1
BA Repair B.V.;;;;;;;1;1;;1
Badge Promotions B.V.;;;;;;;;1;;1
bagsandboxes;;;;;1;;;;;1
Bakker Derks 'Der Deutsche Backer';1;;;;;;;;;1
Bakker Gerard;1;;;;;;;;;1
Bakker Groenvoorzieningen B.V.;;;;;;;1;;;1
Bakker Professional B.V.;1;;;;;;;1;;1
Bakker Wim;1;;;;;;;;;1
Bakkerij Aelbers IJsselstein B.V.;;;;;1;;;;;1
Bakkerij De Lekkerbek B.V.;1;;;;1;;;;;1
Bakkerij Deterd B.V.;1;;;;1;;;;;1
Bakkerij Jos Rood B.V.;;;;;1;;;;;1
Bakkerij Lubbers;1;;;;;;;;;1
Bakkerij Nijkamp;1;;;;;;;;;1
BalkTrade B.V.;;;;;;;1;;;1
Ballonnenservice.nl;;;;;1;;;;;1
Balloons 2 Go B.V.;;;;;1;;;;;1
BAM Bouw en Techniek regio Zuidwest;2;1;;;4;;2;;;4
Bamihuisje;1;;;;;;;;;1
Banketbakkerij Arnold Cornelis B.V.;;;;;1;;;1;;1
Banketbakkerij Boheemen;;;;;1;;;;;1
Banketbakkerij De Kruyter;;;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;;1;;;;;1
Banketbakkerij Nijstad;1;;;;1;;;;;1
Banketbakkerij Oorbeek;;;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;;;1;;;;;1
Banketbakkerij van Beek & Specker B.V.;1;;;;1;;;;;1
Banketbakkerij Van Dijk en Zoon;;;;;1;;;;;1
Bar Restaurant Pavlov B.V.;;;;;1;;;;;1
Barbarossa Beach B.V.;;;;;1;;;;;1
Barbecue Catering Nederland;1;;;;1;;;;;1
Barista Bandits;1;;;;;;;;;1
Barock Pinto Studbook;;;;;;;1;;;1
Bartholomeus Gasthuis;;;;;1;;;;;1
Basaal;;;;;1;;;;;1
Bashil B.V.;;;;;1;;;;;1
Bastard Club;;;;;1;;;;;1
Bastion Hotel Maastricht B.V.;;;;;1;;;;;1
BaSystemen;;;;;;;1;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;1;;;;;;;;1
Bavak Beveiligingsgroep B.V.;;5;;;;;2;2;;5
Bax-shop.nl B.V.;;;;;;;;1;;1
Bazuin & Partners B.V.;;;;;;;;;1;1
BCD Travel Nederland B.V.;;;;;2;;;;;2
BCN B.V.;1;;;;1;;;;;1
BCO Dental B.V.;;;;;;;;1;;1
BDGF B.V.;;;;;1;;;;;1
Be Now;;;;;1;;;;;1
Beachclub Titus B.V.;;;;;1;;;;;1
Becx Tuinmachines Moergestel B.V.;;;;;;;;1;;1
Behangersbedrijf Veltenaar;;;;;;;1;;;1
Beko-Interieurs;;;;;;;2;;;2
Belarto Nederland B.V.;;;;;1;;;1;;1
Beleg van Breda;1;;;;;;;;;1
Belfleur;;;;;1;;;;;1
Belgisch Biercafé Olivier B.V.;1;;;;;;;;;1
Bender Delft B.V.;1;;;;;;;;;1
Benelux Bureau Intellectuele Eigend;;;;;1;;;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;;;1;;;;;1
Benner Via Vecchia Exploitatie B.V.;;;;;1;;;;;1
Berbera.nl;;;;;1;;;;;1
Berendsen Textiel Service B.V.;;;1;;;1;;;;1
Bergh Brandkasten B.V.;;;;;;;;1;;1
Bergh Delisse Events;;;;;1;;;;;1
BERGSMA GROOTHANDEL;1;;1;;;;;;;1
Berkenplas V.O.F.;;;;;1;;;;;1
Berko Wijchen B.V.;;;;;;;1;;;1
Bermuda-Music;;;;;1;;;;;1
Bersih Products;;;;;;;;1;;1
Betty Blue;1;;;;;;;;;1
Beuk Horeca B.V.;;;;;;;1;;;1
Beukeveld;;;;;1;;;;;1
Beun- de Ronde B.V.;;;;;;;;1;;1
Beveiligingsbedrijf De Sleutelspecialist;;;;;;;1;;;1
Bever Assen B.V.;;;;;;;1;;;1
BHG Opleidingen;;1;;;;;;;;1
BHS Grootkeukentechniek B.V.;;;;;;;;1;;1
BHV Competent;;2;;;;;;;;2
Bhv-Specialist.Nl;;1;;1;;;;;;1
BHVstore B.V.;;1;;;;;;;;1
Biella Benelux Sales B.V.;;;;;;;;1;;1
Bierens Incasso Advocaten B.V.;;;;;;;;1;;1
BigaBeer t.h.o.d.n. De Bezorgbeer Zoetermeer;1;;;;;;;;;1
Bigoli;;;;;1;;;;;1
Bij Teus;;;;;1;;;;;1
Bij van Boven;;;;;1;;;;;1
bij VRIJ Culemborg;;;;;1;;;;;1
bijboom;;;;;;;1;;;1
Bijkantoor Dunea;;;;;1;;;;1;1
Bijzondere Locaties Groningen B.V.;;;;;1;;;;;1
Bike Totaal Steenbergen;;;;;;;1;;;1
Bilderberg Grand Hotel Wientjes;;;;;2;;;;;2
Bilderberg Hotel De Keizerskroon;;;;;1;;;;;1
Bilderberg Parkhotel Rotterdam;;;;;1;;;;;1
Bingham Schiedam B.V.;;;;;1;;;;;1
Binkies Food & Drinks B.V.;1;;;;1;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;;;;1;1;;1
Bistro 'Poortje van Verlaan';;;;;1;;;;;1
BitesWeLove B.V.;;;;;;;;1;;1
Bizasu B.V.;1;;;;;;;;;1
BKB;;;;;1;;;;;1
BKFF bas kijzers fotografie en film;;;;;1;;;;;1
bloem & styling aan de zeven alleetjes;;;;;1;;;;;1
Bloembinderij Calendula;;;;;1;;;;;1
Bloembinderij Cees Van Eijck;;;;;1;;;;;1
Bloembinderij De Mare;;;;;1;;;;;1
Bloembinderij Johnflora;;;;;1;;;;;1
Bloemboetiek Fuchsia;;;;;1;;;;;1
Bloemdesign Rotterdam;;;;;1;;;;;1
Bloemenatelier in de Roos;;;;;1;;;;;1
Bloemengalerie Het Kerkbrugje;;;;;1;;;;;1
Bloemenhuis 'De Narcis';;;;;1;;;;;1
Bloemenhuis Duivenvoorden;;;;;1;;;;;1
Bloemenhuis 'Meindert';;;;;1;;;;;1
Bloemenshop Schouten;;;;;1;;;;;1
Blomsma Signs & Safety;;;;;1;;;1;;1
BLOSSOM bloemisterij;;;;;1;;;;;1
Blue Wave Trade;;1;1;;;;;;;1
BNP Paribas Leasing Solutions N.V.;;;;;;;1;;;1
Boat Company;1;;;;;;;;;1
Boca Kaarsen B.V.;;;;1;;;;;;1
Böcker Nederland B.V.;;;;;;;;1;;1
Bocxe Biljarts V.O.F.;;;;;;;1;;;1
Boek- en Kantoorvakhandel Schipperheijn;;;;;;;;1;;1
Boek- en Offsetdrukkerij Morgenstond B.V.;;;;;1;;;;;1
Boeketcadeau.nl;;;;;1;;;;;1
Boels Verhuur;;;;;;;1;;;1
Boels Verhuur Lelystad;1;;1;;;;1;1;;1
Boerhof Projectinrichters;;;;;;;4;1;;4
Bohn Stafleu Van Loghum;;;;;1;;;1;;1
Bokhoven Bouw B.V.;;;;;;;1;;;1
Bolidt Kunststoftoepassing B.V.;;;;;;;1;;;1
Bo-Mij Beheer B.V.;;;;;;;;1;;1
Bon Bon Partyservice B.V.;;;;;2;;;;;2
Bond voor Materialenkennis;;;;;;;1;;;1
Boom uitgevers Amsterdam B.V.;;;;1;1;;;1;;1
Boom uitgevers Den Haag;;;;;2;;;;;2
Boom uitgevers Nieuwsmedia B.V.;;;;;1;;;;;1
Boon Edam Nederland B.V.;;;;;;;1;;;1
Boot 10 Amsterdam B.V.;;;;;1;;;;;1
Boot Akkrum;;;;;;;;1;;1
BO-Rent B.V.;;;;;;;1;;;1
Bos Incasso B.V.;;;;;;;;;1;1
Bos Tuingereedschappen;;;;1;;;;;;1
Bosan B.V.;;;;;;;1;1;;1
Bosch Security Systems B.V.;;1;;;;;;;;1
Bosveld Gerechtsdeurwaarders & Incasso's;;;;;1;;;;;1
Boterwaag Den Haag B.V.;1;;;;;;;;;1
Bouquetterie Fronita;;;;;1;;;;;1
Bourgonje Geluid- en Lichtservice B.V.;;;;;2;;;;;2
Bouter B.V.;1;;1;;;;1;2;;2
Bouw- en Aannemingsbedrijf L. Dijkxhoorn B.V.;;;;;;;1;1;;1
Bouwbedrijf Buiteveld B.V.;;;;;;;1;;;1
Bouwbedrijf De Zwart B.V.;;;;;;;2;1;;2
Bouwbedrijf Gebroeders Jansen B.V.;;;;;;;2;;;2
Bouwbedrijf Salverda B.V.;;;;;;;2;2;;2
Bouwonderneming Jager B.V.;;;;;;;1;;;1
Bouwonderneming Oude Wolbers Borne B.V.;;;;;;;2;;;2
Bouwservice Fons van der Heijden B.V.;;;;;;;2;1;;2
Bovenregionaal kantoor;;;;;;;;;1;1
Bowling en Partycentrum Heerenveen;;;;;1;;;;;1
Bowling Scheveningen B.V.;;;;;1;;;;;1
bpo-axsys B.V.;;;;;;;;1;;1
br&dh advocaten;;;;1;;;;;;1
Brabant Water N.V.;;;;;;;;;1;1
Brabanthallen;;;;;1;;;;;1
Brabantsche Worstenbroodjes B.V.;1;1;;;;;;;;1
Bragt Wonen;;;;;;;3;;;3
Brakel Totaal Project;;;;;;;1;;;1
Bram Ladage Verse Patat B.V.;;;;;1;;;;;1
Brandpreventie Kreuwel V.O.F.;;1;;;;;;;;1
Brandweertrainingscentrum Kleefse Waard B.V.;;2;;;;;;;;2
Brasserie Buitenhof;;;;;1;;;;;1
Brasserie de Koepel;;;;;1;;;;;1
Brasserie d'Oude Veiling;1;;;;;;;;;1
Brasserie in den Zevenden Hemel;;;;;1;;;;;1
Brasserie Méprise;;;;;1;;;;;1
Brasserie Soho B.V.;;;;;1;;;;;1
Brasserie Spiegelaar;;;;;1;;;;;1
Bravo-Preventie;1;1;;;;;;;;1
Breda Lighting BV;;;;;;;1;;;1
Bredzz;1;;;;;;;;;1
Breedveld Staal B.V.;;;;;;;1;1;;1
Breijer Contractonderhoud B.V.;;;;;;;2;;;2
Breman Zwolle B.V.;;;;;;;1;;;1
Brenntag Nederland B.V.;;;;;;;1;;;1
Breur Beveiligingen B.V.;;1;;;;;;;;1
Breur IJzerhandel Vlietlaan B.V.;1;1;1;1;1;;3;4;;4
Bribus B.V.;;;;;;;1;;;1
Bright Events;;;;;1;;;;;1
Brillat-Savarin B.V.;;;;;1;;;;;1
Brilservice;;;;;;;;1;;1
Brimos Borden B.V.;;;;1;;;;;;1
Brink Industrial B.V.;;;1;1;;2;;1;;2
Broekarts Graveerwerken V.O.F.;;;;;1;;;;;1
Broken Hill, Toneel en Techniek;;;;;1;;1;;;1
Brondool B.V.;;1;;1;;;1;2;;2
Brood- & Banketbakkerij Prins;1;;;;1;;;;;1
Brood en Banket Margriet;;;;;1;;;;;1
Brood- en banketbakkerij J.W. Blom B.V.;;;;;1;;;;;1
Brood- en Banketbakkerij Mulder;1;;;;;;;;;1
Brood- en Banketbakkerij P.A. Bliek;1;;;;1;;;;;1
Brood-en Banketbakkerij Bos;1;;;;;;;;;1
Broodje Ben;1;;;;;;;;;1
Broodje Frank;1;;;;;;;;;1
Broodje van Martin;1;;;;;;;;;1
Broodjeslijn;;;;;1;;;;;1
Brouwerij de Prael;;;;;1;;;;;1
Brouwmarkt B.V.;;;;1;;;;;;1
BRP Online B.V.;;;;1;;;;;;1
Bruker AXS B.V.;;;;;;;;1;;1
Brunschwig Chemie B.V.;;;;1;;;;;;1
BRUT Catering B.V.;;;;;1;;;;;1
Bruynzeel Storage Systems B.V.;;;;;;;1;;;1
Brynhild Incasso;;;;;;;;;1;1
BS Workspace Solutions;;;;;;;;1;;1
BSH Huishoudapparaten B.V.;;;;;;;;1;;1
BSR Incasso & Gerechtsdeurwaarders;;;;;;;;;1;1
B't Anders;;;;;1;;;;;1
Bubbels Events & Gifts B.V.;;;;;1;;;;;1
Buckaroo B.V.;;;;;;;;;2;2
Buitengoed Uylenburg B.V.;1;;;;;;;;;1
Buitenherberg Ter Linde;1;;;;;;;;;1
Bumicom Telecommunicatie B.V.;;1;;;;;;;;1
Bunderverwaltungsamt;;;;;1;;;;;1
Bureau BlauwGeel B.V.;;;;;2;;;;;2
Bureau Fris B.V.;1;;;;;;;;;1
Bureau G.I.T.;;;;;1;;;;;1
Buren Dental B.V.;;;;;;;;1;;1
BurgGolf Haverleij Den Bosch B.V.;;;;;1;;;;;1
Burgman Security B.V.;;1;;;;;;;;1
Buromac B.V.;;;;;1;;;;;1
Bus' Handelmaatschappij B.V.;;;;;;;;1;;1
Busch & Van der Worp;;;;;1;;;;;1
Business Graphics;;;;;1;;;;;1
Buxkin B.V.;;;;;;;2;;;2
BW Bedrijfsfitness B.V.;;;;;;;1;;;1
BWT Nederland B.V.;;;;;;;1;;;1
ByDirk;;;;;1;;;;;1
Bygo;;;;;;;1;;;1
Byou Centrum Holland;;;;;;;;1;;1
C & C Catering;;;;;1;;;;;1
C. Cure B.V.;;;;;;;1;;;1
C. Mulckhuyse Bouw- en Aannemingsbedrijf B.V.;;;;;;;1;;;1
C.G. Holthausen B.V.;;1;;;;;1;1;;1
Cadeau Concepten B.V.;;;;;2;;;1;;2
Café De Balie;;;;;1;;;;;1
Café Hekking C.V.;;;;;1;;;;;1
Café Restaurant Bokes;;;;;1;;;;;1
Café Restaurant De Beyerd;;;;;1;;;;;1
Café Restaurant 'De Hoeve' B.V.;;;;;1;;;;;1
Café Restaurant Piet Hein B.V.;2;;;;;;;;;2
Café Restaurant Rootz B.V.;;;;;1;;;;;1
Café Ristorante Claudio;;;;;1;;;;;1
Café Scorpio;;;;;1;;;;;1
Café Tapasbar Narbonne;;;;;1;;;;;1
Café Verheyden;;;;;1;;;;;1
Café Wouters;;;;;1;;;;;1
Café Zuid;;;;;1;;;;;1
Café-Restaurant De Plantage B.V.;;;;;1;;;;;1
Café-Restaurant 'De Roskam' B.V.;;;;;1;;;;;1
Café-Restaurant Hoogendam;;;;;1;;;;;1
Cafetaria De Violier;1;;;;;;;;;1
Cafetaria IJssalon de Molenhoek;1;;;;;;;;;1
CAG AMned B.V.;;1;;;;;1;;;1
Calertho Bouwkunde B.V.;;2;;;;;;1;;2
Caliz B.V.;;;;;;;;1;;1
Calluna Tuindesign;;;;1;;;;;;1
Camiel Mikily B.V.;;;;;1;;;;;1
Canal Company B.V.;;;;;1;;;;;1
Cannock Chase B.V.;;;;;;;;;1;1
Canon Nederland N.V.;;;;;1;;;;;1
Cantine Service;3;;;;;;2;1;;4
Capgemini Nederland B.V.;;;;;1;;;;;1
Caravanbedrijf De Schutskooi B.V.;;;;;;;1;;;1
Card ID Solutions;;;;1;;;;1;;1
Card Vision B.V.;;1;;1;;;;1;;1
Carex Beheer B.V.;;;;;1;;;;;1
Caribbean Association of Forensïc Sciences Ltd;;;;;;;1;;;1
Carl Michels Piano's;;;;;1;;;;;1
Carl Zeiss B.V.;;;;;;;;1;;1
Carlton Ambassador Hotel B.V.;;;;;2;;;;;2
Carlton Hotels Nederland B.V.;;;;;2;;;;;2
Carpo Trainingen;;1;;;;;;;;1
CARU Containers B.V.;;;;1;;;1;;;1
CARU Containers Rental B.V.;;;;;;;1;;;1
Cashless Solutions;;;;;;;1;1;;1
Caspar de Haan B.V.;;;;;;;1;;;1
Caterij Bielderman V.O.F.;1;;;;1;;;;;1
Catering & Events Guido van Wolven;;;;;1;;;;;1
Catering Company;1;;;;1;;;;;1
Catering de Commanderie B.V.;;;;;1;;;;;1
Catering- en Partyservice J. Breet;1;;;;;;;;;1
Catering Expresse Zaanstreek;1;;;;;;;;;1
Catering Oud London B.V.;;;;;2;;;;;2
Catering Service 't Ankertje;1;;;;;;;;;1
Cateringservice Op Dreef;1;;;;;;;;;1
CB Facturatie B.V.;;;;;1;;;;1;1
CCB Groep B.V.;;1;;;;;;;;1
CCV Group B.V.;;1;;;;;;1;1;1
Cees Oosterom Design;;;;;1;;;;;1
Celexon Netherlands B.V.;;;;;;;;1;;1
Centraal Boekhuis B.V.;;;;;;;1;;;1
Centraal Invorderings Bureau B.V.;;;;;;;;;1;1
Central Park, by Ron Blaauw;;;;;1;;;;;1
