Leverancier;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Dreamfactory V.O.F.;;;;;2;;;2
DTL Data Projects;;;;;1;;;1
Dudok Den Haag B.V.;;;1;;;;;1
Duwtje B.V.;;;;;2;;;2
Eatalia Delicatessen;;;1;;;;;1
Ebbinge & Company International Holding B.V.;;;;;1;;;1
Eco Warehouse B.V.;;;1;;;;;1
EcoGiving B.V.;;;1;;;;;1
E-Democracy B.V.;;;;;1;;;1
Eduvision B.V.;;;;;1;;;1
eenstemgeven.nl;;;;;1;;;1
Eetcafe Cloos;;;1;;;;;1
Eetcafe Joos;;;1;;;;;1
Eethuis Smaak;;;1;;;;;1
Eet-Idee;;;1;;;;;1
Effectyf B.V.;;;;;1;;;1
E-Flora B.V.;;;1;;;;;1
Elycio Talen B.V.;;;;;1;;;1
Emergenz. B.V.;;1;;;;;;1
Emoments B.V.;;;1;;;;;1
Entopic B.V.;;;;;1;;;1
ERA;;;;;1;;;1
Ergatis B.V.;;;;1;;;;1
Escape Room Scheveningen;;;1;;;;;1
Escape World Waterlooplein B.V.;1;;;;;;;1
ESWI;;;;;1;;;1
Euroforum;;;;;1;;;1
European Implementation Collaborative;;;;;1;;;1
European Leadership Platform B.V.;;;;;1;;;1
Eva Wiltingh BV;;;;1;;;;1
Evelution;;;;;1;;;1
Evers Research & Training;;;;;1;;;1
evofenedex;;1;;;1;;;1
Examenadviesburo B.V.;;;;1;;;;1
Experienze Coaching & Consulting;;;;;1;;;1
Expl. Maatsch. Heerlijkheid Mariënwaerdt VOF;;;1;;;;;1
Fa. van der Neut Uw Groene Vakwinkel;;;1;;;;;1
Face Two B.V.;;2;;;;;;2
Factor Vijf;;;;;2;;;2
Fast Lane Benelux B.V.;;;;;1;;;1
Federatie Medisch Specialisten;;;;;1;;;1
Feithhuis Exploitatie B.V.;;;1;;;;;1
Fidúsje;;;;;1;;;1
Fijbes Consultancy & Training;;;;;1;;;1
Firebrand Training BeNeLux B.V.;;;;;1;;;1
Firma Hof der Muzen;;;2;;;;;2
First 1 Bedrijfsfitness B.V.;;1;;;;;;1
Fleurop-Interflora Nederland B.V.;;;1;;;;;1
Florent;;;1;;;;;1
Floriënt Express B.V.;;;1;;;;;1
Florine Gregory - People Empowerment;;;;;1;;;1
FNV;;;;1;;;;1
Food For Thought/ Scripts-Productions;;;;;1;;;1
Fortune Factory B.V.;;;1;;;;;1
Frankwatching B.V.;;;;;1;;;1
Freudenberg;;;;;1;;;1
Frits Philips Jr. & Partners B.V.;;;;;2;;;2
Fysergo B.V.;;;;;1;;;1
Gartner Nederland B.V.;;;;;2;;;2
Gebr. Barendsen B.V.;;;1;;;;;1
Gebr. Grootscholten;;;1;;;;;1
gefeliciTAART B.V.;;;1;;;;;1
Geodan B.V.;;1;;;;;;1
Geschenk met Verhaal B.V.;1;;3;;;;;3
Get Events B.V.;1;;;;;;;1
Gewoon aan de slag;;;;;1;;;1
GH Catering B.V.;;;1;;;;;1
Gifts to Connect;;;1;;;;;1
Gilde coaching en implementaties;;;;;1;;;1
GITP Training & Opleiding B.V.;;;;;2;;;2
Global Knowledge;;;;;1;;;1
Global Knowledge Network Netherlands B.V.;;;;;2;;;2
Go B.V.;;;;;1;;;1
Golfbaan De Kogerdijk B.V.;;;1;;;;;1
Good e-Learning;;;;;1;;;1
Good Work Company B.V.;;;;;1;;;1
GoodHabitz Netherlands B.V.;;;;;2;;;2
GORTcoaching;;;;;1;;;1
Gouds Kaashuis;1;;1;;;;;1
GrachtenAtelier;;;1;;;;;1
Gran Mercado B.V.;;;1;;;;;1
Grand Café de Burcht B.V.;;;1;;;;;1
Grand Hotel Karel V;;;1;;;;;1
Grandcafe Haagsche Bluf;;;1;;;;;1
Granny's Corner;;;1;;;;;1
Greengiving B.V.;;;1;;;;;1
greenhabit B.V.;;;;;2;;;2
Greve & 't Hart Talentontwikkeling;;;;;1;;;1
Guus Essers Organisatieontwikkeling;;;;;1;;;1
Gwendel Kusters;;;;;1;;;1
GZ-psycholoog W. Schep;;;;1;;;;1
H2O Job B.V.;;;;4;;;;4
Haagse Hogeschool;;;;;2;;;2
Haegheborgh Beheer B.V.;;;;;1;;;1
Hapjes aan Huis B.V.;;;1;;;;;1
HappinessBureau;;;;;1;;;1
Happy Meat B.V.;;;1;;;;;1
Hart voor Projecten;;;;;1;;;1
Hartman Innovatie B.V.;;;;;1;;;1
HE Lancaster B.V.;1;;;;;;;1
Health2Work B.V.;;1;;;;;;1
Heerlijkheid Eck en Wiel v.o.f.;1;;;;;;;1
Heidi Nieboer training & coaching;;;;;1;;;1
Heidi Vijverberg;;;;;1;;;1
Heilig Vuur;;;;;1;;;1
Helder Werk B.V.;;3;;;;;;3
Hennekes Special Seating B.V.;;1;;;;;;1
Herberg Vlietzigt;;;1;;;;;1
Herfst & Partners BV (voor alle vestigingen);;;;1;;;;1
Het Groei Atelier;;;;;1;;;1
Het Heden;;;1;;;;;1
Het Kabinet, Eten en Drinken;;;1;;;;;1
Het Kookplein;;;2;;;;;2
Het Kookstation B.V.;;;1;;;;;1
Het Pleidooi;;;1;;;;;1
High Five Health Promotion B.V.;;3;;;;;;3
Hilton International Nederland B.V.;;;1;;;;;1
Hocus Pocus Zoetwaren;;;1;;;;;1
Hofstad Events B.V.;;;1;;;;;1
Hogesch. voor Toegepaste Filosofie (HTF) B.V.;;;;;1;;;1
Hogeschool Utrecht;;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;;;;;1
Holland By Mail;;;1;;;;;1
Holland Evenementen Groep B.V.;1;;1;;;;;1
Hollandse Hoogte B.V.;;;;;1;;;1
Home food & drinks;;;1;;;;;1
Hoogland & Co B.V.;;;;;1;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;1;;;;;1
Hortus;;;1;;;;;1
Hotel Contact B.V.;;;1;;;;3;3
Hotel 'De Sniep' B.V.;;;1;;;;;1
Hotel Des Indes B.V.;;;1;;;;;1
Hotel Mitland;;;1;;;;;1
Hotel-Restaurant 'Oud London';;;1;;;;;1
House of Deep Democracy The School;;;;;1;;;1
House of Lords B.V.;;;2;;;;;2
Houthoff Training & Coaching;;;;;1;;;1
HSK Interventie B.V.;1;2;;;1;;;2
Human Dimensions B.V.;;;;;1;;;1
Human Potential Development;;;;;1;;;1
Humphrey's Restaurant p/a Landgoedd Brakkesteyn;;;1;;;;;1
ICM Holding B.V.;;;;;1;;;1
ICM Opleidingen & Trainingen B.V.;;;;;2;;;2
Ictivity Trainingen B.V.;;;;;1;;;1
IK overtref me;;;;1;;;;1
IKNL;;2;;;;;;2
ilovespeelgoed.nl B.V.;;;1;;;;;1
IMK Opleidingen B.V.;;;;;1;;;1
Impulsus, Support & Facilities B.V.;;;;;2;;;2
In Pace B.V.;;;1;;;;;1
Inbrain B.V.;;;;;2;;;2
Inconnect Faculty B.V.;;;;;1;;;1
Industrieel Toerisme B.V.;;;1;;;;;1
Infoland;;;;;1;;;1
Information Security Academy B.V.;;;;;2;;;2
Ingeborg Bosch PRI B.V.;;;;;1;;;1
Ingrid Kerr Interim Management & Advies;;;;;1;;;1
Innovision Consult;;;;;1;;;1
InnU B.V.;;;;;;;2;2
Inprevo;;;;;2;;;2
InsightsWorld B.V.;;;;;1;;;1
Inspirae;;;;;1;;;1
Inspire Circle of Professionals;;;;;1;;;1
Instituut voor Juridische Opleidingen B.V.;;;;;1;;;1
Instituut voor Wijsbegeerte B.V.;;;;;;;1;1
Instock Den Haag;;;1;;;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;;1;;;1
Interparking Nederland B.V.;;;;;;;4;4
Inzicht Bureau voor Coaching en Communicatie;;;;;1;;;1
Ipse de Bruggen;;;2;;1;;;2
IPZO;;;;;1;;;1
Iresearch;;3;;;;;;3
ISS;;;1;;;;;1
ISS Integrated Facility Services B.V.;;;1;;;;;1
Istana Indonesisch Restaurant;;;1;;;;;1
IT Management Group;;;;;1;;;1
ITIP School voor Leven en Werk B.V.;;;;;1;;;1
J. van Deurzen;;;;;1;;;1
Jaarbeurs B.V.;;;1;;;;;1
Jack's restaurant B.V.;;;1;;;;;1
Jacleu B.V.;;;;;2;;;2
Jaime Nanoha;;;1;;;;;1
Ja-maarÂ® B.V.;;;1;;;;;1
Jans Consultancy Gezondheid en Milieu;;1;;;;;;1
Janskerkhof B.V.;;;1;;;;;1
Japas Café;1;;;;;;;1
Jawel B.V.;;1;;;;;;1
Jeu de Boulesbar B.V.;1;;1;;;;;1
Jo Bos & Co;;;;;1;;;1
Johansson Horeca B.V.;;;1;;;;;1
John Geven Studio's B.V.;;;1;;;;;1
Jopen Horeca Exploitatie B.V.;;;1;;;;;1
Jouw Liedje;;;1;;;;;1
JP Webshops;;1;;;;;;1
Judith de Bruijn B.V.;;;;1;;;;1
Julieta Restaurant;;;1;;;;;1
JY;;;1;;;;;1
JZZ - Denken, Documenteren, Doorlichten;;;;;1;;;1
Kantoorinrichter B.V.;;1;;;;;;1
Kapteyn Bloemen;1;;;;;;;1
Karaf Food & Drinks;;;1;;;;;1
Karsten en Kuiper B.V.;;;2;;;;;2
Kasteel Oud-Poelgeest B.V.;;;;;1;;;1
Keizer Culinair B.V.;;;1;;;;;1
Kerckebosch Holding B.V.;;;;;1;;;1
Kerteza bvba Advies en Management;;1;;;;;;1
Kessels & Smit, the Learning Company B.V.;;1;;;5;;;5
Kicks Promo B.V.;;;1;;;;;1
Kindercentrum Petito's B.V.;;1;;;;;;1
kinderopvang Hoi Pipeloi;;1;;;;;;1
Kivido B.V.;;1;;;;;;1
KNMG Accreditatiebureau cluster 1;;;;;1;;;1
KNRB;;;1;;;;;1
Koers Bedrijfspsychologie B.V.;;1;;;;;;1
Koffie- en Eetsalon 't Achterommetje;;;1;;;;;1
Kon. Ned. Mij. tot Bevord. der Geneeskunst;;;;;1;;;1
Koninklijke Van;;;;;1;;;1
KOOIMANBOERSMA Buro voor gezonde werkrelatie;;1;;;1;;;1
Kookmeesters B.V.;;;1;;;;;1
Kopi Kopi;;;1;;;;;1
Korte Poten 1-3 B.V.;;;1;;;;;1
KPMG Advisory N.V.;;3;;;;;;3
KSG Trainers & Consultants;;;;;1;;;1
Kwalit.instit. van Medisch Specialisten B.V.;;;;;1;;;1
Kwink Groep B.V.;;2;;;;;;2
L. Borst 'Adviezen en Trainingen';;1;;;2;;;2
La Parada;;;1;;;;;1
La Red B.V.;;;;;1;;;1
La Vina B.V.;;;1;;;;;1
Lab QAcademy;;;;;1;;;1
Labyrinth onderzoek & advies;;1;;;;;;1
Lagarde & You Loopbaanontwikkeling B.V.;;;;;1;;;1
Lagerweij & Partner Consultants B.V.;;;;1;;;;1
Lambert Mutsaers;;;;;1;;;1
Landhuis Eten en Drinken;1;;;;;;;1
Lasaulec B.V.;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;1
Le Jardin B.V.;;;1;;;;;1
LE:EN Restaurant B.V.;;;1;;;;;1
Lectric Opleidingen B.V.;;;;;1;;;1
Leeuwendaal Advies B.V.;;;;1;1;;;2
LegalPlanet B.V.;;;;;1;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;1
LeisureTeam B.V.;1;;1;;;;;1
LENGG;;;;2;;;;2
Lengkeek B.V.;;;;;1;;;1
Leonne Timmermans;;;;;1;;;1
Leoprinting Nederland B.V.;;;;;1;;;1
LEXXION VERLAGSGESELLSCHAFT;;;;;1;;;1
LHC Eploitatie BV Louis Hartlooper Complex;;;1;;;;;1
LifeGuard Health Services B.V.;;;;;1;;;1
Likewiseacademy for NLP & coaching;;;;;1;;;1
Linea Verde;;;1;;;;;1
Link Marketing Communicatie B.V.;2;;;;;;;2
LinQue Consult B.V.;;;;;2;;;2
Lisanne Spaander;;;1;;;;;1
Little V Den Haag B.V.;;;1;;;;;1
Livework Netherlands B.V.;;;;;1;;;1
Loetje Den Haag B.V.;;;1;;;;;1
Logeion;;;;;1;;;1
Lokaal 58 B.V.;;;;;1;;;1
LPMC;;1;;;;;;1
LSR B.V.;;;;;1;;;1
Luden Utrecht;;;1;;;;;1
Lumineux;;;1;;;;;1
Lunch van huis;1;;;;;;;1
Lunchtafel.nu B.V.;;;1;;;;;1
Lustibox;;;1;;;;;1
M. & B. Holding B.V.;;1;;;;;;1
M.M. Bellersen Holding B.V.;;;;;2;;;2
Management Drives Netherlands B.V.;;;;;1;;;1
Management Forum Limited;;;;;1;;;1
Mannen met plannen;;1;;;;;;1
Marcel Hammink Media;;;;;2;;;2
MARIA'S Biologische Catering en Eetwinkel;;;1;;;;;1
Mark van Duijn Horecadiensten;;;1;;;;;1
Marosel B.V.;;;;;1;;;1
Massage in Bedrijf;;1;;;;;;1
Massop Coaching;;;;;1;;;1
Master in Event Management B.V.;;;;;1;;;1
Maurits Woudenberg Producties;;;1;;;;;1
Mauritshuis;;;1;;;;;1
MC Tandheelkunde B.V.;;;;4;4;;;5
MdL-Coaching;;1;;;;;;1
Me Gusta! Zonnige eetwaren;;;1;;;;;1
Mediat. & Train. Network The Lime Tree B.V.;;;;;2;;;2
Mediavision B.V.;;;;;1;;;1
Mediavrouw;;;;;1;;;1
Medical Phit Services B.V.;;;;;1;;;1
Medilex B.V.;;;;;1;;;1
Mediq Nederland B.V.;;1;;;;;;1
Meelfabriek Zijlstroom B.V.;;;1;;;;;1
Meetingselect B.V.;1;;2;;1;1;2;3
Mentimeter AB;;;;;1;;;1
Mercure Den Haag Central;;;;;;;1;1
Merlijn B.V.;;;;;1;;;1
Metamorfase;;;;;1;;;1
MHJ Groep;;;1;;;;;1
Mid Sweden University;;;;;1;;;1
Middin;;;1;;;;;1
Mieke Posthumus;;;;;1;;;1
Mies/Tekst en Training;;;;;2;;;2
Millers;;;1;;;;;1
Mindful Leven en Werken;;1;;;;;;1
Mobiliteitsdiensten Nederland B.V.;;;;;;;1;1
Moestuin Maarschalkerweerd B.V.;;;1;;;;;1
Monsterevents;;;1;;;;;1
Mooii Eten & Drinken B.V.;;;1;;;;;1
Moon About;;;1;;;;;1
Moon HRM B.V.;;2;;;;;;2
Mpowering Potential;;;;;1;;;1
MultiVlaai Retail B.V.;1;;;;;;;1
Munckhof Business Travel Deventer;;;;;;;1;1
Munckhof Regie;;;;;;;3;3
Munckhof Reizen B.V.;;;;;;;1;1
Museumkwartier B.V.;;;1;;;;;1
MVB Horeca Den Haag B.V.;;;1;;;;;1
MVMZ (Maatschap voor Medezeggenschap);1;;;;2;;;2
MW & V;;;;;1;;;1
MW Consulting & Training B.V.;;;;;1;;;1
N.V. Koninklijke Porceleyne Fles;;;1;;;;;1
N.V. Luchthaven Schiphol;;;1;;;;1;1
Napule è By Donato Ristorante-Pizzeria;;;1;;;;;1
Nationaal PAO-Centrum Farmacie;;;;;1;;;1
NaVijfen B.V.;1;;1;;;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;1;;;1
Nederl. Ver. voor Medische Microbiologie;;1;;;;;;1
Nederlands Debat Instituut B.V.;;;;;1;;;1
Nederlands Huisartsen Genootschap;;;;;2;;;2
Nederlands Instituut voor Biologie;;;;;2;;;2
Nederlandse School voor Openbaar Bestuur B.V.;;;;;3;;;3
Nederlandse Stichting Geluidshinder;;;;;1;;;1
Nederlandse Vereniging voor Inkoopmanagement;;;;;1;;;1
Nederlandse Vereniging voor Urologie;;;;;1;;;1
NEDFAC B.V.;;;;;1;;;1
NedFac B.V. (NCOI / PRAEHEP en Computrain en BNO);;;;;2;;;2
NewConic B.V.;;7;;;;;;7
NHG Uitgeverij B.V.;;;;;1;;;1
Nicolette Ravelli, training, coaching, advies;;1;;;;;;1
Nienke Thurlings;;;;;1;;;1
Niets Is Wat Het Lijkt;1;;;;;;;1
Nieuw Perspectief;;;;;1;;;1
Nieuwhuis Consult B.V.;;;;;1;;;1
NIOW De Taal- en tekstexperts;;;;;1;;;1
NIVEL;;3;;;;;;3
NMU Nelson Mandela University;;1;;;;;;1
NOC*NSF;;1;;;;;1;1
Northwave BV;;;;;1;;;1
NS Reizigers B.V.;;;;;;;2;2
NS Vastgoed B.V.;;;;;;;1;1
NSCR Nederlands Studiecentrum Criminalit;;2;;;;;;2
Nsob;;;;;1;;;1
NSPOH;;;;;1;;;1
NVMM;;;;;1;;;1
NVvP B.V.;;;;;1;;;1
