OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,REF_TUNNELBUIS_PUIC,ROTATIE,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
25,c8a4c4bd-8190-4f4a-b3aa-cdc985f69b8d,,283,Onbekend,-1,,225,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,47.254458,"47,254458",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93421.411,437005.855,51.91812739,4.49211527
26,c2cb91e3-0216-4aa7-abb6-d3e60449d8d0,,283,Onbekend,-1,,300,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.395315,"49,395315",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155442.559,390687.259,51.50520107,5.39357398
27,bc3ba01f-df7f-4355-86ff-d95441f98338,,283,Onbekend,-1,,120,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,48.954744,"48,954744",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155203.368,391059.16,51.5085441,5.3901291
28,b4e9d18d-03ba-49b0-8d6a-7f5fc08fb1b9,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.5052,"39,505200",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97303.778,430313.067,51.85839171,4.5496634
29,331aa48a-219c-419c-bea9-535638ffa283,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,209.808133,"209,808133",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97298.495,430238.919,51.85772475,4.54959911
30,0f643f9f-cb1e-4911-9eb0-c6e94548f2b4,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.160708,"210,160708",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97473.027,429931.969,51.85498407,4.55218355
31,bba2dafb-0b84-4696-872a-e09cd84412f2,,283,Onbekend,-1,,215,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,15.545651,"15,545651",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,111312.1,479517.911,52.30189851,4.74669804
32,2a7d00e7-07cc-4191-9e1a-6176bfacf823,,283,Onbekend,-1,,230,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,12.617192,"12,617192",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,113253.602,481641.61,52.3211354,4.77489761
33,e44c7000-7e1c-486b-b666-ca0b0afb116c,,283,Onbekend,-1,,300,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.241803,"49,241803",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155355.986,390814.996,51.50634932,5.39232719
34,3de361c6-7f6d-484b-b97e-97e2fb70bc94,,283,Onbekend,-1,,120,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.242383,"49,242383",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155345.411,390808.333,51.50628943,5.39217486
35,fa9050ba-0117-4eb9-9312-9b86567ca427,,283,Onbekend,-1,,300,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.088566,"49,088566",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155280.982,390948.943,51.50755337,5.39124698
36,16f12500-c784-413a-92e2-2d468bc895e9,,283,Onbekend,-1,,300,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,48.954717,"48,954717",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155229.005,391073.774,51.50867545,5.39049839
37,26301f76-b10d-498e-8743-97af43e79b01,,283,Onbekend,-1,,30,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,16.259531,"16,259531",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,110690.822,479170.691,52.29872829,4.73763568
38,4d3f6530-ad75-4e97-996d-fab037a2d89c,,283,Onbekend,-1,,290,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,15.777054,"15,777054",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,111116.462,479394.265,52.30077171,4.74384606
39,059f01be-1e39-4a63-b924-d5f8317f216a,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,15.404602,"15,404602",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,111433.861,479589.176,52.30254863,4.74847386
40,b7bf211b-6ee4-4bc3-9d1e-14abe98ca7f1,,283,Onbekend,-1,,235,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,13.192756,"13,192756",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112934.147,481162.903,52.31680882,4.77027212
41,d75d902b-c12c-4663-a948-ca429f935c8e,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.683286,"38,683286",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97745.969,429624.103,51.8522452,4.55619604
42,1adbd72c-b8c2-4716-a0c5-96b11ad813d0,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.315799,"39,315799",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97393.689,430146.537,51.85690431,4.55099624
43,a4d645d6-345d-48e1-95be-aee653b272c4,,283,Onbekend,-1,,40,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,12.224432,"12,224432",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,113516.951,481934.84,52.32379065,4.7787239
44,7863a29a-9664-4ded-94d8-498a2458e869,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,209.55603,"209,556030",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97180.737,430461.822,51.8597159,4.54785255
45,7a40c1aa-7719-41fb-805a-ebbad84961c1,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,209.934494,"209,934494",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97357.999,430127.282,51.85672757,4.55048144
46,41508f36-b1ae-4f2b-9972-71efc2c87d13,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.443537,"210,443537",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97643.34,429705.313,51.85296453,4.5546931
47,5152e0f7-3124-4a82-ab90-81a3ed5d88cb,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.957007,"210,957007",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97981.328,429318.518,51.84952286,4.55966225
48,277a462b-d653-40a2-8452-4f921440061f,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.128295,"46,128295",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94169.185,436161.698,51.91062283,4.50313277
49,934d1cec-0a58-40e3-a92f-c0514c46aec4,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.5999,"172,599900",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115999.694,493302.88,52.42613901,4.81381989
50,d409a2db-91d7-408a-af44-54300c812e14,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.664774,"173,664774",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115571.653,492328.248,52.41734927,4.80764173
51,671e7501-d3b8-4126-8da1-aa89b7af95c1,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.746721,"38,746721",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97696.661,429665.529,51.85261246,4.55547356
52,599c4631-3411-434f-9de9-f9c42f26b197,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.810277,"38,810277",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97658.722,429716.722,51.85306865,4.55491444
53,40442e6d-8e8a-4976-a7ea-15d6328c8dfc,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.190348,"39,190348",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97436.756,430024.488,51.85581184,4.55164169
54,80c2a618-85a5-4024-ba17-40c40a5414e9,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.315477,"39,315477",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97383.201,430140.547,51.85684939,4.55084501
55,980ddccc-ddcd-4f67-8ea5-28d2d78b4450,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.568149,"39,568149",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97264.445,430363.473,51.85884066,4.54908405
56,459eb90b-db6d-428f-b58d-8bcf691a2267,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.128607,"46,128607",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94173.843,436165.678,51.91065911,4.50319975
57,4e5aa7ed-0242-4149-a86f-ac3a2e90df9a,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.428751,"38,428751",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97917.618,429439.507,51.85060374,4.55871769
58,31935508-7170-438d-81cc-9f0aac3baf38,,283,Onbekend,-1,,50,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,13.470474,"13,470474",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112783.763,480930.159,52.31470558,4.7680959
59,ae740122-36c2-430a-b1ed-bf20535aa9c5,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.555974,"38,555974",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97808.596,429511.647,51.85124093,4.55712357
60,fc04c6dd-0b6b-4b11-9907-4b1e0e05cc67,,283,Onbekend,-1,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.607042,"30,607042",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,227747.695,487080.204,52.36677813,6.45533134
61,c6fe8296-c5c6-4376-93dd-289b7f0f8dc6,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.270657,"173,270657",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115723.501,492691.744,52.42062695,4.80983109
62,d0267c12-1b5b-4d8b-aa34-937d3f698187,,283,Onbekend,-1,,45,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,12.617209,"12,617209",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,113257.865,481638.652,52.32110914,4.7749605
63,465adc5a-3d83-4cf5-b090-d72c27c7621b,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.951058,"173,951058",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115465.738,492061.864,52.41494762,4.80611635
