Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Bakker & Schnabel B.V.;;;;;;1;;;;1
Bakkerij Bornhijm B.V.;;;;1;;;;;;1
Bakkerij Job;;;;1;;;;;;1
Bakkerij Renders;;;;1;;;;;;1
Bakkerij Verkerk B.V.;;;;1;;;;;1;1
Balans & Impuls B.V.;;;1;;;1;;;;1
Ban Personeelsdiensten B.V.;;;2;;4;;;;;4
Banketbakkerij Boheemen;;;;1;;;;;;1
Banketbakkerij Borgman;;;;;;;;;1;1
Banketbakkerij en Chocolaterie Wesseling;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;1;1
Bar Aandacht;;;;;;;;;1;1
Bar Restaurant Pavlov B.V.;;;;1;;;1;;;1
Baston Service B.V.;;;;;;;;;1;1
Bazalt Educatieve Uitgaven;;;;;;1;;;;1
BCN B.V.;;;;;;;;;1;1
Beachcenter Oostvoorne;;;;;;;;;1;1
Beachclub Veranda B.V. i.o.;;;;1;;1;;;;1
Beauty Center Atlantic;;;;;;1;;;;1
BECCA Europe;;;;;;1;;;;1
Bedrijfsfitness Nederland B.V.;;;4;;;;;;;4
Belga Fietsen Sontplein B.V.;;;;;;;;;1;1
Belgisch Biercafé Olivier B.V.;;;;1;;;;;;1
Bemmel Zeefdruk;;;;1;;;;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;;1;;;;;;1
Berenschot Groep;;;;;;;;;1;1
Beroepsvereniging Vide;;;;;;1;;1;;1
Bert Hellinger Instituut Nederland;;;;;;1;;;;1
Bert Smits Art & Music;;;;1;;;;;;1
BestSales promotions;;;;1;;1;;;1;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;1;;;;1
Betapress B.V.;;;;1;;;;;;1
Beuk Travel Consultants B.V.;;;;1;;;;;;1
Bezemer Kuiper & Schubad B.V.;;;;;;1;;;;1
Bilderberg Grand Hotel Wientjes;;;;;;;;;1;1
Bilderberg Hotel De Buunderkamp;;;;;;1;;;;1
Bilderberg Residence Groot Heideborgh;;;;;;1;;;;1
Binkies Food & Drinks B.V.;;;;1;;;;;;1
Binnenlands Bestuur B.V.;;;;;;1;;;;1
Binoq B.V.;;;;;;1;;;;1
Bistro Basta;;;;1;;;;;;1
Bistro 't Kannetje B.V.;;;;1;;;;;1;1
Bistrot de la Place;;;;;;;;;1;1
Bizzdesign Academy B.V.;;;;;;1;;;;1
BiZZdesign Enterprise Architecture Solutions;;;;;;1;;;;1
Blauwestadhoeve B.V.;;;;1;;;;;;1
Bloembinderij All Seasons;;;;1;;;;;1;1
Bloembinderij De Korenschoof;;;;1;;;;;;1
Bloembinderij De Nobel;;;;1;;;;;;1
Bloembinderij de Violier;;;;1;;;;;;1
Bloembinderij Karel Smits;;;;1;;;;;;1
Bloemenboetiek Fluitekruid;;;;1;;;;;;1
Bloemenmagazijn Johan;;;;1;;;;;;1
Bloemsierkunst Artisjok;;;;1;;;;;;1
Bloemsierkunst De Klerk B.V.;;;;1;;;;;;1
Bloemsierkunst Flora Project;;;;1;;;;;;1
blooming trainingsbureau B.V.;;;;;;1;;;;1
BLOSSOM bloemisterij;1;;;1;;1;;;;1
blueriq;;;;;;1;;;;1
BMC Advies B.V.;;;;;;1;;;;1
Bob en Slee Bond Nederland;;;;;;1;;;;1
BOEi;;;;;;1;;;;1
Boek en Service;;;;;;1;;;;1
Boeketcadeau.nl;;;;1;;;;;;1
Boeketterie Binnenweg;;;;1;;;;;;1
bol.com B.V.;;;1;1;;1;;;1;1
Bonbon Atelier A3;;;;1;;;;;;1
Bos & Bos GAE B.V.;;;;1;;;;;;1
Boterwaag Den Haag B.V.;;;;;;;;;1;1
Bourguignon Leeuwarden B.V.;;;;;;;;;1;1
Boven Jan B.V.;;;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
Brabanthallen;;;;;;1;;;;1
Brain B.V.;;;;;;1;;;;1
Branchever. Archiefinstellingen Nederland;;;;;;;;1;;1
Brandid B.V.;;;;;;2;;;;2
Brasserie de Koepel;;;;1;;;;;;1
Brasserie Het Theater;;;;1;;;;;;1
Brasserie Soho B.V.;;;;1;;1;;;;1
Brasserie/Restaurant Babbilage;;;;1;;;;;;1
Brazzerie Abrona;;;;;;;;;1;1
Break-Out Gruno Park B.V.;;;;1;;;;;;1
Brinkhuis Management & Advies B.V.;;;;;;2;;;;2
Brocser Consult;;;;;;;;;1;1
Brood & Banketbakkerij Prins B.V.;;;;1;;;;;1;1
Bruker Nederland B.V.;;;;;;1;;;;1
Brussels Lof;;;;1;;;;;;1
Buckshot;;;;1;;;;;;1
Budget Rent a Car;;;;;;;;;2;2
Budo Academy Physical;;;;1;;;;;;1
Buena Vista Beach Club B.V.;;;;1;;;;;;1
Bureau de baas;;;;;;1;;;;1
Bureau Hoving & Van Bon B.V.;;;;;;1;;;;1
Bureau Mariet Thalens;;;;;;;;;2;2
Bureau Mouton B.V.;;;;;;1;;;;1
Bureau Schijf, Partner in Leiderschap;;;;;;1;;;;1
Bureau Spraakwater;;;;;;1;;;;1
Bureau Tromp;;;;;;2;;;;2
Bureau Veritas Industrial Services;;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;;3;;;;3
Buro Bombarie;;;;;;;2;;1;2
Buro van Oranje;;;;;;1;;;;1
Business Flowers Zwolle;;;;1;;;;;;1
BVO Opleidingen B.V.;;;;;;2;;;;2
by-wire.net;;;;;;;;;1;1
C.I.C. Company B.V.;;;;;;1;;;;1
C.V. La Galleria Plein;;;;;;;;;1;1
Cafe Blossom;;;;1;;;;;;1
Café Boonstra;;;;1;;;;;;1
Café De Huiskamer;;;;1;;;;;;1
Café de Klikspaan B.V.;;;;1;;;;;;1
Café De Minnaar;;;;1;;;;;;1
Café De Sigaar;;;;1;;;;;;1
Café Restaurant De Biechtstoel;;;;1;;;;;;1
Café Restaurant Huis de Beurs;;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;;1;;;;;1;1
Cafe Restaurant Vandaag B.V.;;;;1;;;;;1;1
Café Singelier;;;;1;;;;;;1
Café Tennispark 'Marlot';;;;1;;;;;1;1
Café 'Vroeger was je anders';;;;1;;;;;;1
Café XO Haarlem B.V.;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;;;;;;1;1
Café-Restaurant Hofsteenge;;;;1;;;;;;1
Cantina Italia B.V.;;;;;;;;;1;1
Cantina Mexicana B.V.;;;;1;;;;;;1
Cantine Service;;;;1;;;;;;1
Capgemini Nederland B.V.;;;;;;2;;;;2
Capo Cucina;;;;;;1;;;;1
Carl Michels Piano's;;;;;;;1;;;1
Carlton Hotels Nederland B.V.;;;;;;1;;;1;2
Caruso II;;;;;;;;;1;1
Case Communicatie B.V.;;;;;;1;;;;1
Cavari Clinics Nederland B.V.;;;1;;;;;;;1
Cave Oporto;;;;1;;;;;;1
Cedo Nulli;;;;;;1;;;;1
Center For Organizational Performance B.V.;;;;;;1;;;;1
Centrum Hoger Onderwijs Informatie B.V.;;;;;;1;;;;1
Centrum Quadraat;;;;;;1;;;;1
Cervantes B.V.;;;;1;;;;;;1
Chance;;;;;;1;;;;1
Charlotte Gmelig Meijling;;;;;;1;;;;1
Chinees Restaurant Wok Euroborg;;;;1;;;;;;1
Chinese Kunst Atelier Wupark;;;;1;;;;;;1
Chocolaterie Leonidas Leiden;;;;1;;;;;;1
Christelijke Hogeschool Windesheim;;;;;;1;;;;1
CIBT Netherlands;;;;;;;;;1;1
Cinop Advies B.V.;;;;;;1;;;;1
City Cleaning;;;;;;;1;;;1
City Tax B.V.;;;;1;;;;;1;1
Climate Neutral Group B.V.;;;;;;;;;1;1
CM Partners B.V.;;;;;;1;;;;1
CNV Publieke Zaak;;;1;;;;;;;1
CNV Vakmensen.nl;;;;1;;;;;;1
Coach to coach;;;;;;1;;;;1
Coach to coach B.V.;;;;;;1;;;;1
Communicatief Tekst & Training;;;;;;2;;;;2
Company Care Network;;;1;;;;;;;1
COMPAREX Nederland B.V.;;;;;;4;;;;4
Competence Factory;;;;;;1;;;;1
Compu'Train Opleidingen B.V.;;;;;;1;;;;1
Congres4U;;;;;;1;;;;1
Conrad Electronic Benelux B.V.;;;1;;;;;;;1
Contini;;;;1;;;;;;1
Coöperatie ACS partners UA;;;;;;1;;;;1
Coöperatie SURF UA;;;;;;;;2;;2
Coosto Holding B.V.;;;;;;1;;;;1
Corazon Bakery B.V.;;;;;;1;;;1;1
Cordes Organisatie Advies & Ontwikkeling;;;;;;2;;;;2
Cormet Schoolcatering B.V.;;;;1;;;;;1;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;;1;;;;1
Cre-Aid B.V.;;;;;;;;;1;1
Crisisplan B.V.;;;;;;2;;;;2
CRM Partners;;;;;;1;;;;1
Da Carlo;;;;1;;;;;;1
DARA B.V.;;;;1;;;;;;1
DataExpert B.V.;;;;;;1;;;;1
De Academy B.V.;;;;;;1;;;;1
De Activiteit B.V.;;;;;;1;;;;1
De Appel;;;;;;1;;;;1
De Baak Administratie;;;;;;1;;;;1
De Baak B.V.;;;;;;4;;;;4
De Ballonnenwinkel;;;;1;;;;;;1
DE BAND;;;;;;1;;;;1
De Barkel Dienstverlening;;;;;;;;;1;1
De Bloemenkar;;;;1;;;;;;1
De Branding Utrecht B.V.;;;;;;;;;1;1
De Gaffel;;;;1;;;;;;1
De Gelderlander;;;1;;;;;;;1
De Gezonde Zaak B.V.;;;;;;1;;;;1
De Greef Textiel B.V.;;;;1;;;;;;1
De Groene Smaeck B.V.;;;;1;;;;;;1
De Haan;;;;;;1;;;;1
De Holland Winkel;;;;1;;;;;;1
De Hulpsint;;;;;;;1;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;;1;;;1;;;;1
De Kookfabriek Den Haag B.V.;;;;1;;;;;;1
De MindfulnessFabriek;;;;;;1;;;;1
De Museumvereniging;;;;;;1;;;;1
De Nassau;;;;1;;;;;;1
De Nieuwe Tijd;;;;;;1;;;;1
De Onthaasting;;;;;;;;;1;1
De Overburen;;;;;;;;;1;1
De Pudding;;;;1;;;;;;1
De Rede van Batavia Haven B.V.;;;;1;;;1;;;1
De Rotterdam B.V.;;;;1;;;;;;1
De Singel Fysiotherapie;;;1;;;;;;;1
De Taaltrainer;;;;;;1;;;;1
De Toekomstbus;;;;;;1;;;;1
De Uurwerker;;;;1;;;;;;1
De Waterburcht Eelde B.V.;;;;1;;;;;;1
De Winkel van Sinkel B.V.;;;;1;;;;;;1
De Zwarte Vosch B.V.;;;;;;;;;1;1
De Zwarte Zwaan Rotterdam B.V.;;;;;;;1;;;1
De Zwerfsteen;;;;1;;;;;;1
Debatrix;;;;;;1;;;;1
DeCongresbalie;;;;;;2;;;;2
Deliziamo;;;;;;;1;;;1
Deloitte Accountants B.V.;;;;;;1;;;;1
Denk Producties B.V.;;;;;;2;;;;2
Dennis Cooking Place;;;;1;;;;;;1
Departyshop.nl B.V.;;;;;;;1;;;1
Design Coöperation Brainport U.A.;;;;;;;;;1;1
dewagt@work;;;;;;2;;;;2
Digital Ants;;;;;;1;;;;1
Dijkhof Tweewielers;;;;;;;;;1;1
Diner Thuis;;;;;;1;;;;1
Dinercafé Diep;;;;1;;;;;;1
Dining56;;;;1;;;;;;1
DIOR Opleidingen;;;;;;2;;;;2
Disgover B.V.;;;;;;1;;;;1
DO Consultancy;;;;;;1;;;;1
Doctus Onderwijsadvies B.V.;;;;;;;;;1;1
Domkerk Winkel;;;;1;;;;;;1
DOOR Training & Coaching Monsma;;;;;;1;;;;1
Double U Facility;;;;;;1;;;;1
Dranken- en Wijnhandel Versluis V.O.F.;;;;1;;;;;;1
Drenthe College locatie OCB;;;;;;1;;;;1
Dressme Clothing;;;;1;;;;;;1
Driessen B.V.;;;;1;;;;;;1
Drums and Barrels;;;;1;;;;;;1
Dudok Den Haag B.V.;;;;;;;1;;;1
Dun & Bradstreet B.V.;;;;;;1;;;;1
Duthler Associates;;;;;;1;;;;1
EAIR - The European Higher Education Society;;;;;;1;;;;1
Easy Way;;;1;;;;;;;1
Ebbinge & Company;;;;;;1;;;;1
Ecabo Services;;;;;;1;;;;1
ECM dialoog;;;;;;1;;;;1
Eden Springs Nederland B.V.;;;;1;;;;;;1
eendexperience;;;;1;;;;;;1
Eet- en Drinkhuis 'De Gulzige Kater';;;;1;;;;;;1
Eetcafé Daily Deli Rotterdam;;;;1;;;;;;1
Eetcafe de Stadstuin;;;;1;;;;;;1
Eetcafé Schuitendiep;;;;1;;;;;;1
Eetcafé 't Koetshuys;;;;1;;;;;;1
Eetwaar;;;;1;;;;;;1
Effectivents;;;;;;1;;;;1
Effectyf B.V.;;;;;;1;;;;1
Eijgendaal's Kantoorvakhandel;;;;1;;;;;;1
Ekkelboom Music;;;;;;;1;;;1
elasticsearch B.V.;;;;;;1;;;;1
Elenchis;;;;;;1;;;;1
Elsevier Congressen;;;;;;1;;;;1
Elycio Vertalers B.V.;;;;;;1;;;;1
EMMA Communicatie B.V.;;;;;;1;;;;1
Emtek Ergonomics B.V.;;;1;;;;;;;1
Engels & Partners B.V.;;;;;;1;;;;1
Enkzicht Restauratieatelier;;;;;;;;;1;1
Entopic B.V.;;;;;;1;;;;1
Equrion Services B.V.;;;;;;1;;;;1
Erasmus Training;;;;;;1;;;;1
erfgoedver. Bond Heemschut, ver. besch./ICEN;;;;;;;;1;;1
Ergatis B.V.;;;1;;;1;;;;1
Erik Hartman Communicatie;;;;;;1;;;;1
Estarippa Consultancy;;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;;;1;;;;;;1
Eten bij de Vereeniging;;;;;;;;;1;1
Eurest Services B.V.;;;;1;;;;;;1
Euroborg N.V.;;;;1;;;;;;1
Eurolinguist Nederland;;;;;;1;;;;1
Europa Nostra;;;;;;;;1;;1
Eussen Executive Development B.V.;;;;;;2;;;;2
Exotenhof;;;;1;;;;;1;1
Expat & Property Management;;1;;;;;;;;1
Experian Nederland B.V.;;;1;;;;;;;1
Exploit.maatsch. De Roode Schuur Nijkerk B.V.;;;;;;1;;;;1
Exploitatie Schimmelpenninckhuys B.V.;;;;1;;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;;1;;;;;1;1
Extended DISC The Netherlands B.V.;;;;;;2;;;;2
Eyes and More;;;1;;;;;;;1
F.J. de Reijdt Opt. thodn Eye Wish Groeneveld;;;1;;;;;;;1
Falck Nutec B.V.;;;;;;1;;;;1
Falke & Verbaan B.V.;;;;;;1;;;;1
Faro Architecten B.V.;;;;;;1;;;;1
Feithhuis Exploitatie B.V.;;;;1;;;;;;1
Firma Hof der Muzen;;;;1;;;;;1;1
Firma Vernooij thodn GroenRijk Leidsche Rijn;;;;;;;;;1;1
Fitbox B.V.;;;;1;;;;;;1
Fitland Leiden B.V.;;;;;;;;;1;1
Fletcher Familiehotel Paterswolde;;;;1;;1;;;;1
Fletcher Hotel-Restaurant De Zeegser Duinen;;;;;;;;;1;1
Fletcher Hotel-Restaurant Heiloo;;;;1;;;;;;1
Flevobird Koeriers;;;;;;;;;1;1
Flora Party & Event B.V.;;;;1;;;;;;1
Fluxicon;;;;;;1;;;;1
FMH Academy B.V.;;;;;;1;;;;1
Focus Conferences B.V.;;;;;;2;;;;2
Forsa Advies;;;;;;2;;;;2
Fort van de Verbeelding;;;;;;;1;;;1
Four Rose's;;;;1;;;;;;1
Frame B.V.;;;;;;1;;;;1
Francissen Communicatie;;;;;;1;;;;1
Frank Schaper;;;;;;1;;;;1
Fratelli D'Italia;;;;1;;;;;;1
Fresh Today;;;1;;;;;;;1
Frieda de Vries;;;;;;1;;;;1
Fujitsu Technology Solutions B.V.;;;;;;1;;;;1
Fysio Supplies;;;1;;;;;;;1
Fysiotherapeutisch Centrum Palenstein;;;1;;;;;;;1
G. Smit;;;;;;;;;1;1
Gaaf;;;;;;1;;;;1
Gall & Gall;;;;1;;;;;;1
Garnwerd aan Zee B.V.;;;;1;;;;;;1
GBT III B.V.;;;;;;;;;1;1
Gebr. Kras B.V.;;;;1;;;;;;1
gefeliciTAART B.V.;;;;1;;;;;1;1
Geling's Langste Autowasstraat B.V.;;;;;;;;;1;1
George Royal B.V.;;;;;;;;;1;1
Gerrit van der Heide;;;;;;1;;;;1
Geschenkbezorgen.nl B.V.;;;;1;;;;;;1
GITP B.V.;;;;;;1;;;;1
gjvl;;;;;;1;;;;1
Gladwell Academy B.V.;;;;;;2;;;;2
Global Knowledge;;;;;;3;;;;3
Global Project Performance;;;;;;1;;;;1
Glope Events B.V.;;;;1;;;;;;1
Go Ahead Eagles Holding B.V.;;;;;;;1;;;1
Go B.V.;;;;;;1;;;;1
Golden Tulip Epe;;;;;;;;;1;1
Golfbaan Het Rijk van Nunspeet B.V.;;;;1;;;;;;1
Goochelen met aandacht;;;;;;1;;;;1
Good Conditions B.V.;;;1;;;;;;;1
Goods Design Products & Concepts;;;;1;;;;;;1
Governance University Advisory B.V.;;;;;;1;;;;1
Graaf Floris V van Muiden B.V.;;;;1;;;;;;1
Grand café De Bastille;;;;1;;;;;;1
Grand Café Time Out B.V.;;;;1;;;;;;1
Grapes & Olives;;;;1;;;;;;1
Grieks Specialiteiten Restaurant Knossos;;;;1;;;;;;1
Grieks Specialiteitenrestaurant Poseidon B.V.;;;;1;;;;;;1
Groente- en Fruithandel Koos Bertels;;;;1;;;;;;1
Groninger Museumcafé B.V.;;;;1;;;;;;1
Gusto Mangia e Bevi;;;;;;;;;1;1
H. Koomans;;;;;;1;;;;1
Hageman Party Catering Haaglanden;;;;;;;1;;;1
Hajé Restaurant Ruijven B.V.;;;;1;;;;;;1
Hallmark Cards Nederland B.V.;;;;1;;;;;;1
Halmans&Bakker,opleiden en coachen met lef;;;;;;1;;;;1
Hapas;;;;1;;;;;;1
Happy Meat B.V.;;;;1;;;;;;1
Haptotherapie Den Haag;;;;;;1;;;;1
Havana Den Haag;;;;1;;;;;;1
Health2Work B.V.;;;2;;;1;;;;2
HEC B.V.;;;;;;1;;;;1
Hein Post Wijnen Gastronomie;;;;1;;;;;;1
Heliview Conferences en Training B.V.;;;;;;1;;;;1
Hendrikx van der Spek, Bur. voor Bedr.commun.;;;;;;1;;;;1
Henni van Beek Fotografie;;;;;;1;;;;1
Henry's Photodesign;;;;;;1;;;;1
Herberg De Klomp;;;;1;;;;;;1
Hermitage N.V.;;;;;;;;;1;1
Het Boze Wijf Café Restaurant;;;;1;;;;;;1
Het Drents Kwartiertje;;;;1;;;;;;1
Het Echte Werkt!;;;;;;1;;;;1
Het Effectieve Werken B.V.;;;;;;1;;;;1
Het Expertise Centrum;;;;;;2;;;;2
Het gele pakhuys;;;;;;;1;;;1
Het Glaslokaal;;;;;;;;;1;1
Het Goudkantoor;;;;1;;;;;;1
Het Heerenhuis, Grandcafé, Lunch, Diner, Zal.;;;;1;;;;;;1
Het Kabinet, Eten en Drinken;;;;;;1;;;;1
Het Kookplein;;;;1;;;;;1;1
Het NIC B.V.;;;;;;2;;;;2
Het Parool B.V.;;;;;;;;;1;1
Het Pleidooi;;;;;;;;;1;1
Het Prentenkabinet;;;;1;;;;;;1
Het Stalplein B.V.;;;;;;;1;;;1
Het Wantveld;;;;1;;;;;;1
Hi Amersfoort;;;;;;;;;1;1
High Five Health Promotion B.V.;;;3;;;1;;;;3
Hippo B.V.;;;;;;1;;;;1
Hoezee B.V.;;;;;;1;;;;1
Hoffmann Bedrijfsrecherche B.V.;;;;;;1;;;;1
Hofvlietvilla B.V.;;;;1;;;;;;1
Hogeschool Isbw B.V.;;;;;;1;;;;1
Hogeschool NOVI B.V.;;;;;;2;;;;2
Hogeschool van Amsterdam;;;;;;4;;;;4
Holding ID College B.V.;;;;;;1;;;;1
Holland Evenementen Groep B.V.;;;;1;;;;;;1
Hollandse Hoogte B.V.;;;;;;1;;;;1
Hollandse Nieuwe B.V.;;;;;;1;;;;1
Hollandsouvenirshop;;;;1;;;;;;1
Home of Image B.V.;;;;;;1;;;;1
Hoogeland Catering;;;;1;;;;;;1
Horeca Beheer Haren B.V.;;;;1;;;;;;1
Horeca Energiehuis B.V.;;;;1;;;;;;1
Hortus Botanicus Amsterdam;;;;;;;;;1;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;;;;;;1;1
Hotel Contact B.V.;;;;1;;2;1;;5;5
Hotel Corps de Garde;;;;1;;;;;;1
Hotel 'De Sniep' B.V.;;;;2;;;;;;2
Hotel De Ville B.V.;;;;;;;;;1;1
Hotel de Wageningsche Berg;;;;;;1;;;;1
Hotel DOM;;;;;;;;;1;1
Hotel Leusden B.V.;;;;;;;;;1;1
Hotel New York B.V.;;;;1;;;;;;1
Hotel Post Plaza B.V.;;;;1;;;1;;;1
Hotel Prinsenhof (Groningen);;;;1;;;;;;1
Hotel Van der Werff B.V.;;;;;;;;;1;1
Hotel-Café-Restaurant 'Zwolle' B.V.;;;;1;;;;;;1
Hotelschool The Hague;;;;;;;;;1;1
Houdt van Eten;;;;1;;;;;;1
House of Cooking;;;;;;1;;;1;1
House of Media;;;;;;1;;;;1
House of Shoes;;;;;;2;;;;2
House of Sports;;;;;;1;;;;1
Houtschild Internationale Boekhandel B.V.;;;;;;1;;;;1
HowAboutYou B.V.;;;;;;1;;;;1
HRD-group;;;;;;2;;;;2
HSK Groep;;;1;;;1;;;;2
HTM Specials B.V.;;;;1;;;;;;1
Hu Fusion;;;;;;;;;1;1
Hudson Danzig B.V.;;;;;;1;;;;1
Huis ten Haghe;;;;1;;;;;;1
Huis van Vertrouwen V.O.F.;;;;;;1;;;;1
Hulskamp Audiovisueel Utrecht;;;;;;;1;;1;1
Human Inference;;;;;;1;;;;1
Humanitas Oosterwiek;;;;1;;;;;;1
Humphrey's Restaurant;;;;1;;;;;;1
Huureendjes;;;;1;;;;;;1
HVB Constructie B.V.;;;;1;;;;;;1
IADA V.O.F.;;;;;;;;1;;1
IC academy;;;;;;1;;;;1
ICAM B.V.;;;;;;;;1;;1
ICM Opleidingen & Trainingen B.V.;;;;;;3;;;;3
Icomos-Nederland;;;;;;1;;1;;1
Ida Stroosnijder Teksten en Trainingen;;;;;;1;;;1;1
IG Learning B.V.;;;;;;2;;;;2
IIR B.V.;;;;;;1;;;;1
IJsselhotel B.V.;;;;2;;;;;;2
Il Lago B.V.;;;;1;;;;;;1
IMage.Inc;;;;;;1;;;;1
IMK Opleidingen B.V.;;;;;;1;;;;1
Improved Learning B.V.;;;;;;1;;;;1
In Touch Women Resource Management B.V.;;;;;;1;;;;1
In2Content B.V.;;;;;;2;;;;2
Ina Ebbinge Commercieel Consulent;;;;;;1;;;;1
InBetween Gifts;;;;1;;;;;;1
Indonesisch Restaurant Poentjak;;;;;;;;;1;1
Industox Consult;;;1;;;;;;;1
Info Training B.V.;;;;;;1;;;;1
Informagic;;;;;;1;;;;1
Informatica Nederland B.V.;;;;;;3;;;;3
Information Builders (Benelux) B.V.;;;;;;1;;;;1
Information Security Academy B.V.;;;;;;3;;;;3
