OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,OP_TALUD,Shape__Area,Shape__Length
11,2613417bb5e86803e05332a1e90a7128,2020/06/02 13:49:11+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,d,801,801_d,Moerdijk Industrieterrein,Mdk-Mdnw,Moerdijk (Racc.) - Industrie en Havenschap Moerdijk Middenweg ,301.234867,"301,234867",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,99646.342,410364.926529,51.67934141,4.58685026,1148.50075,283,,Nee,1148.5007495,458.629478743128
12,2613417aee806803e05332a1e90a7128,2015/12/06 19:44:30+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,b,801,801_b,Moerdijk Industrieterrein,Mdk-Ostlrw,Moerdijk (Racc.) - Oostelijke Randweg ,102.969177,"102,969177",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,100976.18635,412109.5825,51.69515189,4.60580584,82.196196,283,,Nee,82.1961955,37.2855023583994
13,2613417b05156803e05332a1e90a7128,2017/03/01 08:34:30+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,e,801,801_e,Moerdijk Industrieterrein,Mdw-Wstlih,Middenweg - Westelijke Insteekhaven ,400.141473,"400,141473",Zuid,Z,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,99655.9345,410253.82046,51.67834376,4.58700659,85.051313,283,,Nee,85.0513125,67.6787583615228
14,2613417be2116803e05332a1e90a7128,2015/12/06 19:44:30+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,a,801,801_a,Moerdijk Industrieterrein,Zlw-Mdk,Lage Zwaluwe - Moerdijk (Racc.) ,11.408528,"11,408528",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,97800.565,409237.920334,51.66902675,4.56035006,33.46792,283,,Nee,33.467939465,56.7107478751289
15,2613417bcdf66803e05332a1e90a7128,2017/03/01 08:34:30+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,b,801,801_b,Moerdijk Industrieterrein,Mdk-Ostlrw,Moerdijk (Racc.) - Oostelijke Randweg ,102.804299,"102,804299",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,101036.6215,411955.228167,51.69377041,4.60670383,424.94681,283,,Nee,424.90982585,385.051210077308
16,16fd016cce552cac9e050210a7e24119,2018/06/21 06:20:30+00,G0599,Rotterdam,bestaand,0,open verharding,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,Bd-Rtd,Breda - Rotterdam Centraal ,46.628406,"46,628406",Randstad Zuid,RZ,Rotterdam,3,BAAN,Rotterdam,BAAN,Randstad Zuid,RZ,ProRail,93869.735759,436561.6455,51.91418426,4.49871013,55.705652,283,,Nee,55.82232092,230.552722473445
17,3a99bde477904358a60fbb33941342d7,2019/11/20 13:20:15+00,L0004,Prorail,bestaand,0,groenvoorziening,822,a,822,822_a,Zwijndrecht Groote Lindt,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,102.343895,"102,343895",Randstad Zuid,RZ,Dordrecht,5,BAAN,Dordrecht,BAAN,Randstad Zuid,RZ,ProRail,102491.663853,424585.8035,51.80742974,4.62583576,10.121283,283,,Nee,10.121283,16.4743631856078
18,bb3d31d77afe4bf380d3c4a311406122,2015/10/27 12:55:23+00,L0004,Prorail,bestaand,0,groenvoorziening,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,211.510709,"211,510709",Randstad Zuid,RZ,HSL,70,BAAN,OPC: 70-HSL,BAAN,Randstad Zuid,RZ,ProRail,98391.142877,428944.737,51.84620531,4.56567029,353.662524,283,,Nee,353.6625245,367.859495851796
19,ce6c38a167484273a848001d4c30bcba,2021/12/23 10:28:06+00,L0004,Prorail,bestaand,0,onverhard,924,a,924,924_a,Kijfhoek,Kfhz-Kfhn,Kijfhoek Zuid - Kijfhoek Noord ,34.302766,"34,302766",Randstad Zuid,RZ,Kijfhoek,99,BAAN,Zee-Zevenaar,BAAN,Randstad Zuid,RZ,ProRail,101190.441,426937.475916,51.82844191,4.60660386,304.56681,283,,Nee,304.5668095,360.119582319646
20,caffbfe1b11b49bfba1553b8a072d08b,2015/10/27 12:55:23+00,L0004,Prorail,bestaand,0,groenvoorziening,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,211.109959,"211,109959",Randstad Zuid,RZ,HSL,70,BAAN,OPC: 70-HSL,BAAN,Randstad Zuid,RZ,ProRail,98079.542245,429199.007,51.84845885,4.56110673,120.680688,283,,Nee,120.680688,76.6422865990001
21,05f61ea7c5af43fa95e8e4c006dc70da,2015/11/11 10:16:49+00,L0004,Prorail,bestaand,0,groenvoorziening,924,a,924,924_a,Kijfhoek,Kfhz-Kfhn,Kijfhoek Zuid - Kijfhoek Noord ,34.015813,"34,015813",Randstad Zuid,RZ,Kijfhoek,99,BAAN,Zee-Zevenaar,BAAN,Randstad Zuid,RZ,ProRail,101412.333804,426747.058,51.82675186,4.60985203,15.936579,283,,Nee,15.936579,65.1612003331629
22,022e0749b7f0490ead5391dce5149701,2022/11/08 11:47:14+00,G1900,Súdwest Fryslân,bestaand,0,groenvoorziening: gras- en kruidachtigen,008,,8,008__,Leeuwarden - Stavoren,Lw-Stv,Leeuwarden - Stavoren ,45.986702,"45,986702",Noord-Oost,NO,Friesland,36,BAAN,Wadden,BAAN,Noord-Oost,NO,ProRail,156580.904855,546210.715,52.90300373,5.41070217,10.039206,283,,Nee,10.039206,31.3366442156589
23,be5aea6c5ef842d6e0531529a8c06edb,2021/04/06 14:09:11+00,P0023,Overijssel,bestaand,0,gesloten verharding,024,,24,024__,Deventer - Wierden,Dv-Aml,Deventer - Almelo ,20.370285,"20,370285",Noord-Oost,NO,IJsselstreek,31,BAAN,Veluwe,BAAN,Noord-Oost,NO,ProRail,227144.595333,478331.841333,52.28824132,6.44460323,0.456781,283,,,0.4567815,3.26925178879973
24,be5aea6c5f7342d6e0531529a8c06edb,2021/04/06 14:09:33+00,G0189,Wierden,bestaand,0,gesloten verharding,024,,24,024__,Deventer - Wierden,Dv-Aml,Deventer - Almelo ,29.864182,"29,864182",Noord-Oost,NO,IJsselstreek,31,BAAN,Veluwe,BAAN,Noord-Oost,NO,ProRail,234441.832,483992.477304,52.33810355,6.55287058,2.09544,283,,,2.09544,7.62434090934449
25,d662708ead184906b4c5c4e0c923662b,2022/08/31 11:42:16+00,L0004,Prorail,bestaand,0,gesloten verharding,164,,164,164__,Prinsenbeek - Hazeldonk Grens,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,249.709552,"249,709552",Zuid,Z,HSL,70,BAAN,OPC: 70-HSL,BAAN,Randstad Zuid,RZ,ProRail,110308.7515,393428.244035,51.52806483,4.74317123,31.439699,283,,Nee,31.4396985,50.20507541095
26,29d823718a934a1a9d1a84e693dc7bf5,2023/01/18 08:46:04+00,L0004,Prorail,bestaand,0,groenvoorziening,122,,122,122__,Roosendaal - Breda,Rsd-Bd,Roosendaal - Breda ,8.399223,"8,399223",Zuid,Z,Breda,20,BAAN,Brabant,BAAN,Zuid,Z,ProRail,97846.949007,397233.836,51.56114116,4.56298403,23.565968,283,,Nee,23.565968,33.2520771879037
27,fff3f68eb58041029a8aba2f517daa3a,2016/07/29 14:49:15+00,L0004,Prorail,bestaand,0,gesloten verharding,614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,47.823319,"47,823319",Zuid,Z,Den Bosch,21,BAAN,Betuwe,BAAN,Zuid,Z,ProRail,148550.380371,411401.415,51.69135514,5.2939241,67.44119,283,,Nee,67.44119,161.062606125346
28,9457a06a9c85475cb88f416aa6cae70f,2021/03/08 10:19:04+00,G0757,Boxtel,bestaand,0,groenvoorziening,213,,213,213__,Boxtel - Uden,Btl-Veg,Boxtel - Veghel ,5.201441,"5,201441",Zuid,Z,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,154546.122078,399866.5415,51.58771035,5.38065222,15.254173,283,,Nee,15.254173,26.5346592365909
29,6066cc233c294c598bc4dac3cb557384,2016/05/26 05:28:51+00,G0180,Staphorst,bestaand,0,groenvoorziening: gras- en kruidachtigen,013,,13,013__,Herfte Aansl. - Meppel,Zl-Lw,Zwolle - Leeuwarden ,88.321077,"88,321077",Noord-Oost,NO,Overijssel,34,BAAN,Drenthe,BAAN,Noord-Oost,NO,ProRail,211779.4645,511617.50661,52.58916831,6.22507314,458.234294,283,,Nee,458.234294,399.115585085325
30,ac08a6fd2cf045d89a856981e325fc88,2023/01/24 06:16:01+00,L0004,Prorail,bestaand,0,groenvoorziening,122,,122,122__,Roosendaal - Breda,Rsd-Bd,Roosendaal - Breda ,19.859122,"19,859122",Zuid,Z,Breda,20,BAAN,Brabant,BAAN,Zuid,Z,ProRail,108806.073,400478.847818,51.59131506,4.72058855,2.715432,283,,Nee,2.715432,6.98574787744526
31,53b64a201b334c408fcd28fce7e505c3,2016/08/04 16:01:26+00,L0004,Prorail,bestaand,0,onverhard,124,a,124,124_a,Tilburg - Vught Aansl.,Tb-Vga,Tilburg - Vught Aansluiting ,15.339348,"15,339348",Zuid,Z,Den Bosch,21,BAAN,Betuwe,BAAN,Zuid,Z,ProRail,145347.3725,406107.848422,51.64372797,5.24774715,9.060703,283,,Nee,9.060703,13.8714784475865
32,9b626558c1614ae2a0854d35bead3130,2023/01/24 06:16:01+00,L0004,Prorail,bestaand,0,groenvoorziening,122,,122,122__,Roosendaal - Breda,Rsd-Bd,Roosendaal - Breda ,17.034343,"17,034343",Zuid,Z,Breda,20,BAAN,Brabant,BAAN,Zuid,Z,ProRail,106048.204361,399938.0905,51.58622112,4.68086889,35.21941,283,,Nee,35.21941,34.9871802680696
33,5c01c31205674f1b85268f075d87009f,2021/09/15 08:36:49+00,L0004,Prorail,bestaand,0,groenvoorziening,122,,122,122__,Roosendaal - Breda,Rsd-Bd,Roosendaal - Breda ,14.404333,"14,404333",Zuid,Z,Breda,20,BAAN,Brabant,BAAN,Zuid,Z,ProRail,103587.2115,398995.854959,51.57753248,4.64550004,7.495346,283,,Nee,7.495346,17.4880422826854
34,069a56f935614764babf3b50bdcc1068,2023/01/18 08:46:04+00,L0004,Prorail,bestaand,0,groenvoorziening,122,,122,122__,Roosendaal - Breda,Rsd-Bd,Roosendaal - Breda ,8.399584,"8,399584",Zuid,Z,Breda,20,BAAN,Brabant,BAAN,Zuid,Z,ProRail,97848.732475,397228.608,51.56109435,4.5630106,53.546032,283,,Nee,53.5460315,37.3108218968693
35,eac84312e9fc47949c841dd07d3ad36a,2020/04/07 04:47:45+00,L0004,Prorail,bestaand,0,groenvoorziening,125,,125,125__,Tilburg - Boxtel,Bd-Ehv,Breda - Eindhoven ,30.01814,"30,018140",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,141403.076944,399185.152,51.5814215,5.19103215,8.165525,283,,Nee,8.16550392,11.942557939016
36,1b098d7547684572ab5f66c973ab3746,2016/09/26 15:21:55+00,L0004,Prorail,bestaand,0,groenvoorziening,226,,226,226__,Gouda - Alphen a/d Rijn,Gd-Apn,Gouda - Alphen a/d Rijn ,7.261172,"7,261172",Randstad Zuid,RZ,Rijn en Gouwe,81,BAAN,Rijn en Gouwe,BAAN,Randstad Zuid,RZ,ProRail,104400.8005,450117.811189,52.03707865,4.64976,419.45732,283,,Nee,419.45732,184.348839323519
37,fbf131f97690445c9ae4c5feca5d09be,2021/01/08 15:20:40+00,L0004,Prorail,bestaand,0,groenvoorziening,625,b,625,625_b,Lage Zwaluwe,Bd-Rtd,Breda - Rotterdam Centraal ,13.975788,"13,975788",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,105290.3955,410640.827635,51.68235044,4.66841106,43.581429,283,,Nee,43.581429,108.568621043971
38,695befe831894c16a86b9e3c3473ec1a,2022/03/23 13:29:25+00,G0281,Tiel,bestaand,0,groenvoorziening: gras- en kruidachtigen,155,a,155,155_a,Meteren Aansl. - Ressen = Bemmel,Brgnd-Brech,Betuweroute Giessendam - Betuweroute Echteld ,52.892482,"52,892482",Randstad Zuid,RZ,A15trace,71,BAAN,Zee-Zevenaar,BAAN,Randstad Zuid,RZ,ProRail,152261.474908,431898.8555,51.87562469,5.34743443,1388.030547,283,,Nee,1388.121988785,1923.98665093298
39,6f7c62f17f2e4534a6ba2268e9f8e408,2022/11/02 12:13:43+00,L0004,Prorail,bestaand,0,groenvoorziening,057,,57,057__,Eindhoven - Weert,Ehv-Wt,Eindhoven - Weert ,24.724788,"24,724788",Zuid,Z,Eindhoven,24,BAAN,De Peel,BAAN,Zuid,Z,ProRail,173939.8435,364315.823099,51.26783975,5.65858133,14.92688,283,gerealiseerd,Nee,14.92688,19.555666339671
40,882bdecb832b4e61af17ef0289dc8c86,2022/11/02 12:13:43+00,L0004,Prorail,bestaand,0,groenvoorziening,057,,57,057__,Eindhoven - Weert,Ehv-Wt,Eindhoven - Weert ,24.727826,"24,727826",Zuid,Z,Eindhoven,24,BAAN,De Peel,BAAN,Zuid,Z,ProRail,173929.308449,364307.303,51.26776352,5.65842993,2.033017,283,gerealiseerd,Nee,2.033017,5.87472546307114
41,206377b56e0940cda4288095aee00000,2022/01/25 10:36:47+00,G0160,Hardenberg,bestaand,0,groenvoorziening,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,40.040577,"40,040577",Noord-Oost,NO,Overijssel,34,BAAN,Drenthe,BAAN,Noord-Oost,NO,ProRail,238768.940507,507860.558,52.55193313,6.62232312,35.555345,283,,Nee,35.555345,42.7708322324311
42,f5383bb19c664dda88910a1f649354f9,2022/01/25 10:36:47+00,G0160,Hardenberg,bestaand,0,groenvoorziening,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,38.269092,"38,269092",Noord-Oost,NO,Overijssel,34,BAAN,Drenthe,BAAN,Noord-Oost,NO,ProRail,238488.500348,506110.1135,52.53624739,6.61775024,376.519376,283,,Nee,376.508144615,253.6511750571
43,6f7df782e4f441b59a6e91e8024d68ed,2022/02/02 12:01:35+00,G0160,Hardenberg,bestaand,0,groenvoorziening,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,35.618293,"35,618293",Noord-Oost,NO,Overijssel,34,BAAN,Drenthe,BAAN,Noord-Oost,NO,ProRail,236706.217,504356.008043,52.52075509,6.59105655,1490.988883,283,,Nee,1491.00612909,1170.64746884958
44,2613417b9de66803e05332a1e90a7128,2017/03/01 08:34:27+00,G1709,Moerdijk,bestaand,0,groenvoorziening: gras- en kruidachtigen,801,a,801,801_a,Moerdijk Industrieterrein,Zlw-Mdk,Lage Zwaluwe - Moerdijk (Racc.) ,2.282318,"2,282318",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,103400.1985,413993.272321,51.71231085,4.64058421,3.461239,283,,Nee,3.461239,9.50329037048939
45,2613417aea8e6803e05332a1e90a7128,2015/12/04 16:48:32+00,G1709,Moerdijk,bestaand,0,onverhard,121,b,121,121_b,Breda - Lage Zwaluwe,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,232.92722,"232,927220",Zuid,Z,HSL,70,BAAN,OPC: 70-HSL,BAAN,Randstad Zuid,RZ,ProRail,105725.5135,409414.596774,51.67136759,4.67487578,442.635619,283,,Nee,442.6356195,113.79281970999
46,2613417b7a806803e05332a1e90a7128,2022/07/04 12:18:41+00,G1709,Moerdijk,bestaand,0,groenvoorziening: gras- en kruidachtigen,120,a,120,120_a,Lage Zwaluwe - Roosendaal,Zlw-Np,Lage Zwaluwe - Nispen ,3.913617,"3,913617",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,103972.453,408329.848041,51.66146107,4.64969383,8.746731,283,,Nee,8.746731,15.5788895507566
47,2613417aeae76803e05332a1e90a7128,2022/06/27 12:23:20+00,G1709,Moerdijk,bestaand,0,groenvoorziening: gras- en kruidachtigen,119,b,119,119_b,Lage Zwaluwe - Dordrecht,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,228.162199,"228,162199",Zuid,Z,HSL,70,BAAN,OPC: 70-HSL,BAAN,Randstad Zuid,RZ,ProRail,103968.059997,413842.611,51.71100879,4.64882228,88.051729,283,,Nee,88.0517295,102.129190118097
48,2613417b511c6803e05332a1e90a7128,2015/12/04 16:48:32+00,G1709,Moerdijk,bestaand,0,groenvoorziening: gras- en kruidachtigen,801,a,801,801_a,Moerdijk Industrieterrein,Zlw-Mdk,Lage Zwaluwe - Moerdijk (Racc.) ,1.911582,"1,911582",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,103752.063518,413923.396,51.71171514,4.64568538,2669.057418,283,,Nee,2669.04837612,1164.62663311698
49,3abd9d570ec5439595d402efd954fb4b,2022/04/13 08:01:18+00,G0399,,bestaand,0,open verharding: tegels,075,,75,075__,Alkmaar - Uitgeest,Hdr-Zd,Den Helder - Zaandam ,47.382228,"47,382228",Randstad Noord,RN,Alkmaar,7,BAAN,Hollands Noorderkwartier,BAAN,Randstad Noord,RN,ProRail,108311.259325,512407.029,52.59722254,4.69811878,3.095406,283,,Nee,3.095406,7.17783431567735
50,2613417bee156803e05332a1e90a7128,2015/12/06 19:44:30+00,G1709,Moerdijk,bestaand,0,open verharding,801,k,801,801_k,Moerdijk Industrieterrein,Ostlrw-Apw,Oostelijke Randweg - Apolloweg ,775.387135,"775,387135",Zuid,Z,n.v.t.,,,n.v.t.,,n.v.t.,,Strukton Rail Short Line,101063.951023,411331.7055,51.68816893,4.60719569,80.284041,283,,Nee,80.284041,68.7117257955354
51,0316b279d075cfcfe0535c02ef0a0ba2,2023/01/24 06:16:01+00,G0777,Etten-Leur,bestaand,0,groenvoorziening: gras- en kruidachtigen,122,,122,122__,Roosendaal - Breda,Rsd-Bd,Roosendaal - Breda ,15.462617,"15,462617",Zuid,Z,Breda,20,BAAN,Brabant,BAAN,Zuid,Z,ProRail,104581.576448,399361.506062,51.58090906,4.65979137,536.342095,283,,Nee,536.341975375,261.764438600183
52,d966580d15234cd784a8e9b501c93c5d,2016/08/30 14:14:50+00,L0004,Prorail,bestaand,0,groenvoorziening,124,a,124,124_a,Tilburg - Vught Aansl.,Tb-Vga,Tilburg - Vught Aansluiting ,15.333752,"15,333752",Zuid,Z,Den Bosch,21,BAAN,Betuwe,BAAN,Zuid,Z,ProRail,145342.453,406105.040661,51.64370265,5.24767615,2.678168,283,,Nee,2.6781685,9.63060717345149
53,56f102af06df40d78a8c0a6c2f4e7826,2023/01/18 08:46:04+00,L0004,Prorail,bestaand,0,groenvoorziening,122,,122,122__,Roosendaal - Breda,Rsd-Bd,Roosendaal - Breda ,8.446407,"8,446407",Zuid,Z,Breda,20,BAAN,Brabant,BAAN,Zuid,Z,ProRail,97892.322312,397245.7555,51.5612529,4.56363636,150.601315,283,,Nee,150.6013155,155.902272729426
54,3dda81bc9cc84cdf93ea58bacb5c7cd7,2022/07/04 12:18:41+00,L0004,Prorail,bestaand,0,groenvoorziening,120,a,120,120_a,Lage Zwaluwe - Roosendaal,Zlw-Np,Lage Zwaluwe - Nispen ,5.071859,"5,071859",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,102981.691252,407728.795,51.6559678,4.63546507,3.244868,283,,Nee,3.244868,7.35847844974196
55,0cead4e37e8a4f28b0a8f2b11f679600,2021/05/27 13:25:05+00,L0004,Prorail,bestaand,0,groenvoorziening,618,a,618,618_a,Eindhoven,Ehv-Wt,Eindhoven - Weert ,1.852174,"1,852174",Zuid,Z,Eindhoven,24,BAAN,De Peel,BAAN,Zuid,Z,ProRail,163258.9275,383960.460415,51.44467603,5.50599851,10.765395,283,,Nee,10.7653945,19.1390293984446
56,1f63a12962af464d912da96ae71bc4d9,2022/02/03 11:27:05+00,L0004,Prorail,bestaand,0,groenvoorziening,125,,125,125__,Tilburg - Boxtel,Bd-Ehv,Breda - Eindhoven ,25.108683,"25,108683",Zuid,Z,Breda,20,BAAN,Brabant,BAAN,Zuid,Z,ProRail,136794.068016,397480.4,51.56596792,5.12462498,298.630705,283,,Nee,298.630705,611.089553752111
57,49010210dd2d48998e39cce242e93297,2020/12/09 11:00:45+00,L0004,Prorail,bestaand,0,groenvoorziening,105,,105,105__,Woerden - Gouda,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,21.045317,"21,045317",Randstad Noord,RN,Woerden,14,BAAN,Neerlands Midden,BAAN,Randstad Noord,RN,ProRail,118215.9525,450948.830467,52.04563628,4.85100543,2.554876,283,,Ja,2.5548755,6.63386715997038
58,6fb83396fe0f4f52bbbb9fec49a52b75,2016/09/02 10:55:14+00,L0004,Prorail,bestaand,0,groenvoorziening,134,,134,134__,Gouda - Moordrecht Aansl.,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,33.3625,"33,362500",Randstad Zuid,RZ,Rijn en Gouwe,81,BAAN,Rijn en Gouwe,BAAN,Randstad Zuid,RZ,ProRail,106992.6665,447969.794937,52.01800368,4.68783304,27.357018,283,,Nee,27.3570175,38.7037208324242
