Leveranciers;6110 Aanschaf hardware;6120 Beheer en onderhoud hardware;6210 Aanschaf programmatuur & software;6220 Beheer, onderhoud programmatuur & software;6310 Aanschaf, beheer en onderhoud infrastructuur;6410 Spraak en dataverbindingen;6510 Uitbesteding ICT;6-ICT
HP Hewlett Packard (incl. Autonomy, Verity);;7;;7;;;;7
I3-groep;9;;;;;;;9
IBM (incl. Cognos);;7;;9;6;;;9
Infopact Netwerkdiensten;;;;;;2;;2
Infor Global Solutions;;;;5;;;;5
Insight Enterprises Netherlands;;;;;;;4;4
Intermax;;;;;;1;;1
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;;;;;4;4
ITAQ Interim Professionals;;;;;;;3;3
IVR Rijn-En Binnenvaarthuis;;;1;;;;;1
iWelcome;;;;2;;;;2
JDAK B.V.;1;;;;;;;1
JSKS Administratie & Fiscaal Advies;;;4;;;;;4
Kampert en Helm (incl. K&H, Rotaform);;3;;;;;;3
Kern Nederland;;6;;;;;;6
Knowledge Plaza;;;;1;;;;1
Kodision;;;;3;;;;3
KommaGo (incl. Netwekshop.nl, Portofoon.nl, Headset.nl, Vergadertelefonie.nl, Routershop.nl, Wifishop.nl);;;;;;1;;1
Koning & Hartman;;;;;;1;;1
Kop Beveiliging;;;1;;;;;1
KPN (incl. Getronics, PTT Telecom);;;;1;;9;4;9
Leaseweb;1;;;;1;;;1
Lexis Nexis;;;2;;;;;2
Lexmark International (incl. Perceptive Software);;;;1;;;;1
Lydia Jumelet;;;;;;1;;1
Maykin VOF;;;;;;;4;4
Meezun2en;1;;;;;;;1
Mensys (incl. Computercollectief);;;2;;;;;2
Microsoft (incl. Technet);;5;7;7;;;;8
MMM Interactieve Communicatie;;;1;;;;1;1
MQSYSTEMS;;;;1;;;;1
Nedgraphics;;;1;;;;;1
Noorloos Specialist Equipment;;;;;;1;;1
NOREA Nederlandse Orde van Register EDP-Auditors;;;1;;;;;1
OGZ - Organisatie Groep Zuid;;;;;;1;;1
Onmicard;;1;;;;;;1
Opal (incl. Direct Identification);;;2;;;;;2
OpenSesame ICT;;;2;;;;;2
Optelec Nederland;;4;;;;;;4
OrangeValley Consultancy;;;;;;2;;2
OV Software;;;;7;;;;7
Phonak BV;1;;;;;;;1
Pimm Solutions;;;1;;;;;1
PINK WEB APPLICATIONS;;;;;;2;;2
Postcode.nl;;;;;;1;;1
PQR;;;;1;;;;1
Protinus It;2;;;;;;;2
QPR CostControl;;;;3;;;;3
Quadia;;;;1;;;;1
Quovadis Trustlink;;;;2;;;;2
RAM Infotechnology;;;;;;1;;1
Ram Mobile Data;;;;;;1;;1
Ripe Ncc;;;;;;1;;1
Routz;;;3;;;;;3
SA KEY BUSINESS NV;;;;;;;2;2
SAP Nederland;;;2;4;;;;4
Schiphol Telematics;;;;;;2;;2
Schneider Electric (incl. MGE UPS Systems);;1;;;;;;1
Scholten Awater & Partners;6;2;;;;3;2;6
SDL Tridion;;;;2;;;;2
Sectra Communications;;;;;;2;;2
Securelink Nederland;;4;3;7;;;;7
SIDN Stg. Internet Domein;;;;;;1;;1
Simplexxion ICT Solutions;;;;;;1;;1
SLTN (vh Inter Access);;;;;;;2;2
SmartDC;;;;;;1;;1
Sogeti Nederland;;;;;;;1;1
Spie Nederland;;;;2;;;;2
SRC SYSTEMS INTEGRATORS BV;;;;1;;;;1
Stg Rinis;;;;;;5;;5
Stroomt interactions;;;2;;;;;2
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);;;;;1;1;;1
TBM Technisch Bureau Muller H.A.;;;;;;1;;1
TECHNICON B.V.;;1;;;;;;1
Tectrade;;2;;;;;;2
Tele2 (incl. Versatel, BBeyond);;;;;;7;;7
Telindus (incl. ISIT, 2-Store);;9;;1;;;;9
Tetracom - consultancy;;;;;;1;;1
The Mobile Company;1;;1;;;;;2
TIE Nederland;;;;;;1;;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;;1;;;;;1
Unisys Nederland;;6;;4;;;;6
UPC Nederland;;;1;;;1;;1
Verhage;1;;;;;;;1
Verhuurbedrijf Zuid-Holland;1;;;;;;;1
VERIFICATIE INFORMATIE SYSTEMEN BV.;;;;1;;;;1
VICUS BUSINES SOLUTIONS BV;;;;1;;;;1
Vodafone (incl. Libertel);;;;;;5;;5
Webgenerator;;;;;;1;;1
Webverzorgers vof.;;;;;;1;;1
Widexs;;;;;;1;;1
Wolters Kluwer (incl. Kluwer);;;5;;;;;5
Xerox;7;;;;;;;7
XS4ALL Internet;;;;1;;1;;1
Yorcom Computers;;;;;;1;;1
Zcene Moving media company;;;;;;2;;2
Zenitel;;;;;;2;;2
Zetacom;;;;;;2;;2
Ziggo (vh Casema);;;;;;1;;1
ZyLAB Benelux;;;1;;;;;1
Eindtotaal;9;9;7;11;6;10;7;12
