Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Balans & Impuls;;;;;2;;;;2
Bang on the Beach;;;1;;;;;;1
Banketbakkerij Brokking;;;1;;;;;;1
Banketbakkerij Maison Kelder;;;1;;;;;;1
Banketbakkerij Nijstad;;;1;;;;;;1
Banketbakkerij Prins;;;1;;;;;1;1
Banketbakkerij Salverda;;;1;;;;;;1
Banketbakkerij Theo Blom;;;1;;;;;;1
Banketbakkery Plasman;;;1;;;;;;1
Barbarossa;;;1;;;;;;1
Barkasbus V.O.F.;;;1;;;;;;1
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;;;1;;;;;;1
Bas Bakker;;;1;;;;;;1
Basaal Restaurant;;;1;;;;;;1
BASTIAANSE MENSHOP;;1;;;;;;;1
Bastion Hotels;;;1;;1;;;2;2
Bataviawerf Restaurant;;;1;;1;;;;1
Bax Verkeersscholen;;;;;1;;;;1
BBC Belgian Beer Cafe Belvedere;;;1;;;;;;1
BCT Automatisering;;;;;1;;;;1
BDS Borsch Duikservice;;;1;;;;;;1
Beach Experience Scheveningen;;;1;;;;;;1
Beaumont Hotel Restaurant;;;;;;;;1;1
BEDRIJFSKUNDE ERASMUS MAN;;;;;1;;;;1
Bedrijfsuitjes Groep;;;1;;;;;;1
Bellagio Restaurant;;;1;;;;;;1
Belle van Zuylen Restaurant;;;1;;;;;;1
Bellevue Groothoofd Hotel Culinair;;;1;;;;;;1
Belvedere Hotel Restaurant;;;1;;;;;;1
Bender Coaching;;;;;1;;;;1
Benner Exploitatie (Kaap Hoorn, Via Vecchia);;;1;;;;;;1
Benten Water Solutions;;;;;1;;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;;1;2;;;;2
BERGDAL EXPLOITATIE B.V.;;;;;1;;;;1
Berghauser Pont;;;;;2;;;;2
BERGSCHE PLAS EXPLOITATIE;;;1;;;;;;1
Berlage Brasserie;;;1;;;;;;1
Bespaar Bazaar;;;1;;;;;;1
Besseling Vervoert;;;;;;;;1;1
Best Western Hotels;;;1;;;;;1;1
Bestax;;;;;;;;1;1
Bestelbroodje.nl;;;1;;;;;;1
Beto;;1;;;;;;;1
Betonvereniging;;;;;1;;;;1
Beuk Touringcars;;;;;;;;1;1
Beurs van Berlage;;;1;;;;;;1
Bex Communicatie;;;;;2;;;;2
Beyond Loopbaan & Leven;;;;;1;;;;1
Biardo Survival Suits;;1;;;;;;;1
Bierviltje;;;1;;;;;;1
Biesbosch Museum;;;1;;;;;;1
Biga Groep (Sociale Werkgroep);;;1;;;;;;1
Bij Jou & Bij Hem;;;1;;;;;;1
Bilderberg Hotels;;;1;;;;;1;1
Binnenlands Bestuur;;;;;1;;;;1
Binoq Atana;;;;;1;;;;1
BioRomeo B.V.;;;1;;;;;;1
BISTRO LA ROUTE;;;1;;;;;;1
BISTRO MAMA'S VOLLEN POT;;;1;;;;;;1
Bistro Mer;;;1;;;;;;1
BLANKEN JAN DROOGDOK;;;1;;;;;;1
Blankestijn en Partners;;;;;1;;;;1
Blixem;;;1;;;;;;1
Bloem;;;1;;;;;;1
Bloemenhuis De Narcis;;;1;;;;;;1
Blom Verkeersveiligheidstrainingen;;;;;1;;;;1
Blomberg Congres Instituut;;;1;;1;;;;1
Blooming Hotels;;;1;;;;;1;1
Blooming Trainingsbureau;;;;;1;;;;1
Blossom Café-Restaurant;;;1;;;;;;1
Blue Cab Taxi en Transport;;;1;;;;;;1
Blue Lagoon Grill Restaurant;;;2;;;;;;2
BLUESTREAM ROV;;;;;2;;;;2
Bluevents B.V.;;;1;;;;;;1
BME Opleidingen;;;;;2;;;;2
Bo & Ro Restaurant;;;1;;;;;;1
BOB Opleiding, Training en Advies;;;;;1;;;;1
Boek en Service;;;;;1;;;;1
Boekhandel van der Velde;;;;;1;;;;1
Boerderij Mereveld Partycentrum-Restaurant;;;1;;;;;;1
BOERDERIJ MISSIEKLOOSTER G. S. MIGC;;;1;;;;;;1
Boertiengroep (incl. Ncatb);;;;;1;;;;1
Boholka;;;1;;;;;;1
BOKA BIZARRO BEACH;;;1;;;;;;1
Bol.Com;;;1;;;;;;1
Bolle Boel;;;1;;;;;;1
Bommel Cafetaria, Eetcafé;;;1;;;;;;1
BON INVEST B.V.;;;1;;;;;;1
Bon Vivant;;;1;;;;;;1
Bookit (Business Reservations Centre Holland);;;1;;;;;;1
Bookx;;;1;;;;;;1
Boomerang Beach (vh Billabong Beach);;;2;;;;;;2
Boost Events;;;1;;;;;;1
Bora Bora Strandpaviljoen;;;1;;;;;;1
Bos Vlaggen;;;1;;;;;;1
Bosgoed Restaurant;;;1;;;;;;1
Botenverhuur De Rijnstroom;;;1;;;;;;1
BOTS WATERSPORT B.V.;;;2;;;;;;2
Boulevard Hotel;;;1;;;;;;1
Bouwen Met Staal;;;;;1;;;;1
Bouwend Ned Ver Bouw- En;;;;;1;;;;1
Bovo Tours;;;1;;;;;;1
Bowling Nieuwegein;;;1;;;;;;1
Bowling Scheveningen;;;1;;;;;;1
Bowork Handelsonderneming;;1;;;;;;;1
BOXING HAARLEM;;;1;;;;;;1
Brabant Hotel;;;1;;;;;1;1
Brabants Lederwarenhuis;;;1;;;;;;1
Brady Groupe (incl. Seton, Transposafe);;1;;;;;;;1
Brain Box Mediatraining;;;;;2;;;;2
Brainwork Communicatie;;;1;;1;;;;1
Brandid;;;;;1;;;;1
BrandMission;;;1;;;;;;1
BRASSERIE & ZO;;;1;;;;;;1
Brasserie Bubbles & Blessings;;;1;;;;;;1
Brasserie De Boerderij;;;1;;;;;;1
BRASSERIE EIGGENWIJZZ;;;1;;;;;;1
Brasserie Ome Bernard;;;1;;;;;;1
BRASSERIE PAARDENBURG B.V.;;;1;;;;;;1
Brasserie Panneke;;;1;;;;;;1
Brasserie Stadhuis Schiedam;;;1;;;;;;1
Break Out Events;;;1;;;;;;1
Brennels;;;1;;;;;;1
BREUKINK PEARL MANAGEMENT B.V.;;;;;1;;;;1
Bright Events (incl. Uitjes & Eten);;;1;;;;;;1
Britstra Foto Video;;1;;;;;;;1
BROODHUYS ZIEZO B.V.;;;1;;;;;;1
Broodje van Martin;;;1;;;;;;1
Broodje van Willem;;;1;;;;;;1
Broodjesexpress;;;1;;;;;;1
Brouwers Tours;;;1;;;;;;1
Brouwersdam Zeil- en Surfcentrum;;;1;;;;;;1
BROUWERSHUYS MOOREES B.V.;;;1;;;;;;1
Bucky's Grill en Cateringservice;;;1;;;;;;1
Buisleidingen Industrie Gilde;;;1;;;;;;1
Buiten Strandpaviljoen;;;1;;;;;;1
Buitengoed Hagenhorst;;;1;;1;;;;1
Buitenplaats Amerongen;;;1;;;;;;1
Buitenplaats Slangevegt;;;1;;;;;;1
Buma Stemra;;;1;;;;;;1
Bureau Beysterveld;;;;;1;;;;1
Bureau de Boer-Kruyt;;;;;1;;;;1
Bureau Mouton;;;;;1;;;;1
Bureau Veritas;;;;;1;;;;1
Burghoorn J. Trainingen;;;;;2;;;;2
Business Openers Innovaction;;;1;;;;;;1
Bussemaker Dinercafé;;;1;;;;;;1
By Jills B.V.;;;1;;;;;;1
Byblos Grand Café-Restaurant (vh de tijd);;;1;;;;;1;1
C&S Communicatie Coaching;;;;;1;;;;1
C2L Nederland;;;;;1;;;;1
Café Banka;;;1;;;;;;1
Cafe Du Midi;;;1;;1;;;;1
CAFÉ RESTAURANT OP D'N BERG B.V;;;1;;;;;;1
CAFÉ ROOTHANS;;;1;;;;;;1
CAFÉ THEMBI;;;1;;;;;;1
Café Waalzicht;;;1;;;;;;1
CAFÉ-RESTAURANT CORNELIS;;;1;;;;;;1
CAFETARIA 'T HOEKJE;;;1;;;;;;1
Campanile Hotel & Restaurant;;;;;;;;1;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;;1;;;2;;;;2
Capabel Onderwijs Groep;;;;;1;;;;1
Capgemini;;;1;;2;;;;2
CapitalP;;;;;1;;;2;2
Carepack Holland;;1;;;;;;;1
Carlson Wagonlit Travel;;;;;;;;1;1
Carlton Hotel;;;2;;;;;1;2
Carpe Diem Catering;;;1;;;;;;1
Carrousel;;;1;;;;;;1
Casa Caroni den Haag Restaurant;;;1;;;;;;1
Castel International publishers;;;1;;;;;;1
CASTELEIJN BROOD;;;1;;;;;;1
Casu Utrecht;;;;;1;;;;1
Catering2U / Lunchnu.nl;;;1;;;;;;1
Cateringservice De Kroon;;;;;;;;1;1
CB Centraal Boekhuis (incl. Facturatie);;;;;1;;;;1
CCV Services;;1;;;;;;;1
Cedere;;;;;1;;;;1
Centennium Bi Expertisehuis;;;;;1;;;;1
Central Studios Nederland;;;2;;;;;;2
Centurio;;;;;1;;;;1
Chateau Neercanne;;;1;;;;;;1
Chauffeurstelefoon;;;1;;;;;1;1
Chinees-Indisch Restaurant China-Pa;;;1;;;;;;1
Chinese School Hoofddorp;;;;;1;;;;1
Chorda Safety Solutions;;;;;2;;;;2
Christian Restaurant;;;1;;;;;;1
CHRISTIS PERRON;;;1;;;;;;1
CIBT/V&V Visumdienst;;;;;;;;1;1
Cinop;;;;;4;;;;4
Ciran;;;;;1;;;;1
CITRA LESTARI;;;1;;;;;;1
City Inn;;;1;;;;;;1
Cloos Eetcafé;;;1;;;;;;1
CLOUDYDAY;;;1;;;;;;1
CLS Computertraining;;;;;1;;;;1
CM Partners;;;;;1;;;;1
CME DISPUUT;;;1;;;;;;1
Coach To Coach;;;;;1;;;;1
Coachboulevard;;;;;1;;;;1
Coaching Nederland;;;;;1;;;;1
Cocody Partycentrum;;;1;;;;;;1
Codecentric Nederland;;;;;1;;;;1
Colibri Advies;;;;;1;;;;1
Collabo;;;2;;2;;;;2
Color Utrecht;;;;;1;;;;1
Com Connect;;;;;1;;;;1
Comm BV;;;;;1;;;;1
Commanderie Catering;;;1;;;;;1;1
Common Eye;;;;;1;;;;1
Compacon & Partners;;;1;;;;;;1
Comparex (incl. PC-Ware);;;;;1;;;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;;1;;;;;;1
CompLions B.V.;;;;;1;;;;1
Compu Act Opleidingen;;;;;1;;;;1
Compu'Train;;;;;1;;;;1
Conclusion;;;;;8;;;;8
Conducto;;;;;1;;;;1
Conferentiecentrum Kapellerput;;;1;;1;;;;2
Congresbureau Stichting Derdengelden;;;;;1;;;;1
Congrestolken;;;1;;;;;;1
Connexxion;;;1;;;;;1;1
Contiki Holland / Atlas Reizen;;;1;;;;;;1
COÖPERATIEVE VERENIGING KOOTSJ;;;;;1;;;;1
Coöperatieve Vereniging van Vletterlieden;;;;;;;;1;1
Copla Opleiding & Training;;;;;1;;;;1
Coronel Kartracing;;;1;;;;;;1
Courzand Cafe Restaurant;;;1;;;;;;1
CREATING CHANGE;;;;;1;;;;1
Crevecoer;;;1;;;;;;1
Crimpert Salm Grand Cafe;;;1;;;;;;1
Croissanterie Reijerwaard;;;;;1;;;;1
Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte;;;;;3;;;;3
Crowne Plaza;;;;;;;;1;1
Croy-De Goffert;;;1;;;;;;1
CULINAIRATHOME;;;1;;;;;;1
CVD Centrum Voor Dienstverlening;;;1;;;;;;1
Da Pietro;;;1;;;;;;1
Da Sebastiano Cucina Italiana;;;1;;;;;;1
Dace, Dutch Association of Cost Engineers Icec Member.;;;;;1;;;;1
Dalstra Reizen;;;;;;;;1;1
Dam Bakkerij;;;1;;;;;;1
Danner Boekbinderij;;;1;;;;;;1
Danza Tapasbar;;;1;;;;;;1
DAT.Mobility (vh Goudappel, Omnitrans International);;;;;1;;;;1
Dauphine Cafe Restaurant;;;1;;;;;;1
Dazzling Cocktails;;;1;;;;;;1
Dbf Communicatie;;;1;;;;;;1
DBR De Boer, Ritsema & van Eck;;;;;1;;;;1
De Argumentenfabriek;;;;;1;;;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;;;4;;;1;4
De Baeckermat;;;1;;;;;;1
De Bakkerswinkel (incl. Geelhoed Eetwinkel);;;1;;;;;;1
De Basiliek Restaurant;;;1;;;1;;;1
De Bastaard;;;1;;;;;;1
DE BEREN ROOSENDAAL B.V.;;;1;;;;;;1
De Betuwe Restaurant;;;1;;;;;;1
De Betuwse Stromen;;;1;;;;;;1
De Beukenhof Restaurant Hotel;;;1;;;;;1;1
De Bieb Café;;;1;;;;;;1
De Bierelier Muziekcafé;;;1;;;;;;1
De Bieslandse Heerlijkheid;;;1;;;;;;1
De Boeketterie;;;1;;;;;;1
De Bonte Wever Assen (De Smelt);;;1;;;;;;1
De Bourgondier Restaurant;;;1;;;;;;1
De Broodfabriek;;;2;;;;;;2
De Dakdokters;;;1;;;;;;1
De Doelen Hotel-Grand Café;;;1;;;;;1;1
De Drukkerij;;;1;;1;;;;1
De Emauspoort Hotel;;;;;;;;1;1
De Engel Restaurant;;;1;;;;;;1
De Fabrique;;;1;;;;;;1
De Federatie;;;;;2;;;;2
De Ferrante Secretariaten en Opl B.;;;;;1;;;;1
DE GECROONDE LIEFDE;;;1;;;;;;1
De Gevangentoren Cafe Restaurant;;;1;;;;;;1
De Goederenloods;;;1;;;;;;1
De Goedheyd Restaurant;;;1;;;;;;1
De Gouden Wok;;;1;;;;;;1
De Griffel Groot Café-Restaurant;;;1;;;;;;1
De Groene Betuwe Taxi;;;;;;;;1;1
De Groot Taxibedrijf;;;;;;;;1;1
De Haagsche Beek Restaurant;;;1;;;;;;1
De Haarlemse Bakker;;;1;;;;;;1
De Haas Restaurant;;;1;;;;;;1
De Halve Maan;;;1;;;;;;1
De Hamermolen;;;1;;;;;;1
De Harmonie Restaurant;;;1;;;;;;1
De Heerenkeet Café-Restaurant;;;1;;;;;;1
De Heische Hoeve;;;;;;;;1;1
De Herberg;;;1;;;;;;1
De Hof Restaurant;;;1;;;;;;1
De Hofstad Taxicentrale;;;;;;;;1;1
De Hoofdige Boer Landhotel;;;1;;;;;;1
De Houtrib Brasserie;;;1;;;;;;1
De Japanse Watertuin;;;1;;;;;;1
De Jaren Café-Restaurant;;;1;;;;;;1
De Karpendonkse Hoeve Restaurant;;;1;;;;;;1
De Kikker Café-Restaurantbedrijf;;;1;;;;;;1
De Klokkenstoel Cafe Restaurant;;;1;;;;;;1
De Klomp Restaurant;;;1;;;;;;1
De Kloveniersdoelen;;;1;;;;;;1
De Koepoort Hotel-Café-Restaurant;;;;;;;;1;1
De Kookfabriek;;;1;;;;;;1
De Koperen Kop Cafe Restaurant;;;1;;;;;;1
DE KOPEREN PAN;;;1;;;;;;1
De Koperen Ploeg Boot- en stuurliedencoöperatief;;;;;;;;1;1
De Koperen Tuin Grand Cafe Res;;;1;;;;;;1
De Kurk Eet & Proeflokaaltje;;;1;;;;;;1
De Kwikkel Eetcafe;;;1;;;;;;1
De Lage Vuursche Restaurant;;;1;;;;;;1
De Landbouw Café-Restaurant-Brasserie (incl. Rat Pack);;;1;;;;;;1
De Lange Muur;;;1;;;;;;1
De Lekkerbek Bakkerij;;;1;;;;;;1
De Lekkernij Utrecht;;;1;;;;;;1
De Linde Bloemsierkunst;;;1;;;;;;1
De Lindenhof;;;1;;;;;;1
De Lof der Zotheid Restaurant Café Diner;;;1;;;;;;1
De Loopbaanstudio (Christel Langejan);;;;;1;;;;1
DE MAARTENSHOF;;;1;;;;;;1
De Markies Restaurant;;;1;;;;;;1
De Meisjes van Spijs;;;1;;;;;;1
De Monnikendam Restaurant;;;1;;;;;;1
De Nachtegaal Hotel-Restaurant;;;1;;;;;;1
De Nieuwe Zweep;;;1;;;;;;1
De Olifant Evenementenlokatie;;;1;;;;;;1
De Onthaasting;;;1;;;;;;1
De Ooievaart - Ga Den Haag;;;1;;1;;;;1
De Paddestoel Restaurant;;;1;;;;;;1
De Palatijn Zorghotel Alkmaar;;;1;;;;;;1
De Pannenkoeken Saloon;;;1;;;;;;1
De Pannenkoekenboot;;;1;;;;;;1
De Pelicaan Cafe;;;1;;;;;;1
De Plannensmederij;;;;;1;;;;1
De Pont;;;1;;;;;;1
De Poort Brasserie;;;1;;;;;;1
De Poort van Kleef Café-Restaurant;;;1;;;;;;1
De Postelse Hoeve Hotel-Café-Restaurant;;;;;;;;1;1
De Posthoorn Hotel-Café-Restaurant;;;1;;;;;1;1
De Proeftuin Bergpaviljoen;;;1;;;;;;1
De Prom Utrecht (incl. Vredenburg);;;;;1;;;;1
De Rede van Batavia Haven;;;1;;;;;;1
De Ridder van Asenrode Restaurant;;;1;;;;;;1
De Ringweg Cafe-Restaurant;;;1;;;;;;1
De Rosmolen Restaurant Eetcafe;;;1;;;;;;1
De Rotterdam;;;1;;;;;;1
De Ruif Restaurant-Café-Catering;;;1;;;;;;1
De Ruyter Training en Consultancy;;;;;1;;;;1
De Schildkamp;;;1;;;;;;1
De Sluiskop Hotel Restaurant;;;1;;;;;;1
De Smidse Restaurant Hotel;;;1;;;;;;1
De Sniep Restaurant & Hotel;;;1;;;;;1;1
De Spelerij;;;1;;;;;;1
DE SPRINGER;;;1;;;;;;1
De Staat Strandpaviljoen;;;1;;;;;;1
De Stadsgehoorzaal;;;1;;;;;;1
De Steenen Tafel Restaurant;;;1;;;;;;1
De Steiger Catering;;;1;;;;;;1
De Tapperij Restaurant;;;1;;;;;;1
De Tapuit;;;1;;;;;;1
De Tramhalte Café;;;1;;;;;;1
De Utrechtse Haven;;;1;;;;;;1
De Veldkeuken;;;1;;;;;;1
De Verandercentrale;;;1;;;;;;1
De Verbeeldingh;;;;;2;;;;2
De Vingerhoed Eetcafé;;;1;;;;;;1
DE VOGEL HORECABEHEER;;;1;;;;;;1
De Voortse Herberg;;;1;;;;;;1
De Vossenberg Hotel Restaurant;;;1;;;;;1;1
De Vreugdehoeve;;;1;;;;;;1
De Waag Restaurant;;;1;;;;;;1
De Waal Restaurant;;;1;;;;;;1
De Walrus Restaurant;;;1;;;;;;1
De Wijnhaven Café-Restaurant;;;1;;;;;;1
De Wijnhuistoren Restaurant;;;1;;;;;;1
De Zaak Brasserie-Café;;;1;;;;;;1
De Zakkendrager Restaurant;;;1;;;;;;1
De Zalm Restaurant Cafe;;;1;;;;;;1
De Zeemeeuw Strandpaviljoen;;;1;;;;;;1
De Zoete Inval;;;1;;;;;;1
De Zoute Zoen Bistro-Restaurant;;;1;;;;;;1
DE ZWARTE RUITER OP 'T WITTE PAART;;;1;;;;;;1
Debat Nl;;;;;1;;;;1
Debatrix;;;;;1;;;;1
Dehaco;;1;;;;;;;1
Dehora Consultancy Group;;;;;1;;;;1
Dek Verkeersopleidingen;;;;;1;;;;1
Dekxels Restaurant;;;1;;;;;;1
Delflandhoeve/Kemps en Geraeds;;;1;;;;;;1
Deloitte Consulting;;;;;2;;;;2
Delta Hotel;;;1;;;;;;1
Delta Pi;;;;;2;;;;2
Deltares;;;;1;;;;;1
Den Haag Marketing & Events;;;2;;;;;;2
Den Hartogh Liquid Logistics B.V.;;;;;1;;;;1
Den Tol Cafe-Restaurant;;;1;;;;;;1
Dendy Bar Restaurant;;;1;;;;;;1
Deto;;;;;;;;1;1
Dewi Sri Indonesisch Restaurant;;;1;;;;;;1
DFG De Facilitators Groep;;;;;2;;;;2
DFI Dutch Fashion Incasso;;;;;;;;1;1
Dhirata;;;;;1;;;;1
DHTC Den Helder Training Centre;;;;;1;;;;1
Dialogue;;;;;1;;;;1
D-ICT Solutions/Slim Bekeken;;;;;1;;;;1
DIEHL;;;1;;;;;;1
Dierenpark Amersfoort;;;1;;;;;;1
Dikke van Dale Grand Cafe;;;1;;;;;;1
Dinertijd;;;1;;;;;;1
Direct2Improve;;;1;;2;;;;2
Dirksen Bedrijfsopleidingen;;;;;1;;;;1
DNV Det Norske Veritas;;;;;3;;;;3
Docdata Payments;;;1;;;;;;1
Doeksen, G. en Zonen Rederij;;;;;;;;1;1
DoeNederland.nl;;;1;;;;;;1
DOERAK BIERCAFE;;;1;;;;;;1
DOK 28;;;1;;;;;;1
DOMANI FOUNDATION VENLO ST;;;2;;;;;;2
Domstad Evenementen (incl. Tours & Events);;;1;;;;;;1
DopHert;;;1;;;;;;1
Dor;;;;;1;;;;1
Dorhout Mees Centrale Wapenhandel;;;1;;;;;;1
Down Under Horeca;;;1;;;;;;1
Drager Safety & Medical;;1;;;;;;;1
DRAGON CHEN B.V.;;;1;;;;;;1
DRANKENHANDEL KOLIJN;;;1;;;;;;1
Dreamfactory;;;;;1;;;;1
Drs H.M. Bakker Organisatie Adviseu;;;;;1;;;;1
DTC De Tombe Consultancy;;;;;1;;;;1
Dtv Consultants;;;;;1;;;;1
Ducktrail;;;1;;;;;;1
Dudok (Horeca Exploitatie WWZ IV);;;1;;;;;;1
Duinzicht Hotel;;;;;;;;1;1
DULK EN ZONEN JAC DEN;;;1;;;;;;1
Dusecon;;;;;1;;;;1
Dusschoten & van Ginkel Van;;;;1;;;;;1
Dutch Aviation Group;;;;;1;;;;1
Dyna Vision;;;;2;1;;;;2
Dzb Party Catering;;;1;;;;;;1
E dynamics;;;;;1;;;;1
E T R Jansen op de Haar Mindful tra;;;;;1;;;;1
Easybookings;;;1;;;;;;1
Ebbinge & Company;;;;;2;;;;2
Eburon Uitgeverij;;;;;2;;;;2
Ecabo Services Stichting;;;;;1;;;;1
Echte Bakker Piet Daane;;;1;;;;;;1
Eden Hotels;;;1;;;;;1;1
