;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal;
APPM Management Consultants B.V.;;;;;1;;;;1;
Arab. Translation Service;1;;;;;;;;1;
ArboNed B.V.;;;;;1;;;;1;
ARCADIS Nederland B.V.;;;;;1;;;;1;
Archer' Advies;;;;;1;;;;1;
Ardis Opleidingen B.V.;;;;;3;;;;3;
Ardis Organisatieontwikkeling B.V.;1;;1;;2;;;;2;
Arnage Horeca B.V.;;;;;;1;;;1;
Around Media;;;1;;;;;;1;
Art and the City;;;;;1;;;;1;
Artiestenbureau van Otterloo B.V.;;;1;;;;;;1;
Ashana Holistic Care;;;;;1;;;;1;
Aspen Network of Development;;;;;1;;;;1;
Asstex;;;;;;1;;;1;
AstroTec Holding B.V.;;;;;1;;;;1;
At Computing B.V.;;;;;1;;;;1;
Athene Palace B.V.;;;1;;;;;;1;
Atos Nederland B.V.;4;;;;;;;;4;
Au Lapin Agile B.V.;;;;;;1;;;1;
Auberge du Bonheur B.V.;;;;;;;;1;1;
August;;;1;;;;;;1;
Autax;;;;;;;;1;1;
Authentiek;;;;;1;;;;1;
AutiTalent B.V.;;;;;;;;1;1;
Automotive Publishing B.V.;;;;1;1;;;;1;
Avans Hogeschool B.V.;;;;;1;;;;1;
Avisita;;;;;1;;;;1;
AVK Training & Coaching;;;;;2;;;;2;
B+B Vakmedianet B.V.;1;;;;1;;;;2;
Babycompany.nl;;;1;;;;;;1;
Bacco Perbacco;;;;;;1;;;1;
Badhotel Bruin;;;1;;;;;;1;
Bakker Klink;;;1;;;;;;1;
Bakx & Meijer B.V.;;;1;;;1;;;1;
Balans in Beweging Hattem;;1;;;;;;;1;
Balansgroep B.V.;;;;;1;;;;1;
Balkan Grill Restaurant;;;;;;1;;;1;
Banketbakkerij Boheemen;;;1;;;1;;;1;
Banketbakkerij Borgman;;;1;;;;;;1;
Banketbakkerij Maison Kelder B.V.;;;1;;;;;;1;
Bar Restaurant Pavlov B.V.;;;1;;;;;;1;
Barbarossa Beach B.V.;;;1;;;;;;1;
Barbecue-Exclusief;;;;;;1;;;1;
Barcelona Graduate School of Economics;;;;;1;;;;1;
Bart van Vliet Freelance Fotograaf;;;1;;;;;;1;
Bas Koopman;;;1;;;;;;1;
Battlefield Live Nederland B.V.;;;1;;;;;;1;
BCN B.V.;;;;;;;;1;1;
Beach Professionals B.V.;;;1;;;;;;1;
Beach Stadium B.V.;;;2;;;;;;2;
Beachclub Copacabana B.V.;;;1;;;;;;1;
Beachclub Indigo B.V.;;;;;;1;;;1;
Bedrijfsuitjes Groningen;;;1;;;;;;1;
Beer&;;;;;;1;;;1;
Behavior Change Group B.V.;;;;;1;;;;1;
Behavioral Insight;;;;;1;;;;1;
Beheer Centrum voor Mindfulness;;;;;1;;;;1;
Bekedam Food en Events;;;;;;1;;;1;
Beleving aan zee;;;1;;;;;;1;
Belgisch Biercafé Olivier Leiden B.V.;;;;;;1;;;1;
Ben Kei Den Haag;;;1;;;;;;1;
Bending Perspective;;;1;;;;;;1;
Benner Kaap Hoorn Exploitatie B.V.;;;1;;;1;;;1;
Berenschot B.V.;;;;;2;;;;2;
Berenschot Groep B.V.;;;;;2;;;;2;
Berghauser Pont Academy B.V.;;;;;1;;;;1;
Berlitz Schools of Languages B.V.;;;;;1;;;;1;
Beroepsorganisatie Nederlandse Ontwerpers;;;;;1;;;;1;
Beroepsvereniging Vide;;;;;1;;1;;1;
Bestia et Lex, Luuk Boerema Juridisch adv.;;;;;1;;;;1;
Bestuursacademie;;;;;1;;;;1;
Bestuursacademie Nederland Opleidingen B.V.;;;;;2;;;;2;
Betaalbarekunst.nl;;;1;;;;;;1;
BHVNederland Opleidingen B.V.;;;;;1;;;;1;
Big Dipper;;;;;1;;;;1;
Big Sur B.V.;;;1;;;;;;1;
Bij Broeders;;;;;;1;;;1;
Bij Lucet;;;1;;;;;;1;
Bijl Brothers thodn Smoothie Company Den Haag;1;;;;;;;;1;
Bijzondere Locaties Groningen B.V.;;;1;;;;;;1;
Bilderberg Grand Hotel Wientjes;;;1;;1;1;;1;2;
Bink Rooftop;;;;;;1;;;1;
Binnenlands Bestuur B.V.;;;;;1;;;1;1;
BirdView Expertises B.V.;;1;;;;;;;1;
Bison Bowling;;;;;;1;;;1;
Bistro Pampus;;;;;;1;;;1;
Bleijenberg t.h.o.d.n. TOP 1 TOYS;;;1;;;;;;1;
Blijst;;;;;1;;;;1;
Bloei Company B.V.;;;;;;;;1;1;
BLOEM!;;;1;;;;;;1;
Blue Billywig B.V.;;;;;2;;;;2;
Blue Pelican Sustainability Services;;;;;1;;;;1;
BlueCity010 B.V.;;;;;1;1;;;1;
Bluemark Innovations B.V.;2;;;;;;;;2;
BlueTerra Energy Experts;;;;;1;;;1;1;
BodemenergieNL;;;;;;;;1;1;
Body Language Academy;;;;;1;;;;1;
Body motion;;;;;1;;;;1;
Boeii Persoonlijke Organisatieopleidingen;;;;;1;;;;1;
BOEL;;;1;;;;;;1;
Boer & Croon Executive Management B.V.;;;;1;;;;;1;
Boerderij de Diek'n;;;1;;;;;;1;
Boergondineren.nl;;;1;;;;;;1;
Boerhaarshoeve;;;;;;1;;;1;
Boertien Vergouwen Overduin B.V.;;;;;2;;;;2;
bol.com B.V.;;;1;;;;;;1;
Bollenstreekhout Coöperatie UA;;;;;1;;;;1;
BOMEN, communicatie in relatie;;;;;1;;;;1;
Bond Solon Wilmington Professional;;;;;1;;;;1;
Boost Events;;;;;;1;;;1;
Boot Varen Den Haag;;;1;;;;;;1;
Bopp Solutions;;;;;1;;;;1;
Bos & Bos Catering B.V.;;;1;;;;;;1;
Botenverhuur De Rijnstroom;;;;;;1;;;1;
Boterwaag Den Haag B.V.;1;;1;;;;;;1;
Boulevardtrein;;;1;;;;;;1;
Bout Advocaten B.V.;;;;;;;;1;1;
Boutique Hotel De Eilanden;;;;;;;;1;1;
Bowlen & Zo B.V.;;;;;;1;;;1;
Bowling- & Partycentrum Groningen B.V.;;;1;;;1;;;1;
Bowling Scheveningen B.V.;;;1;;;1;;;1;
Bowling Westland B.V.;;;1;;;;;;1;
BraboTax;;;;;1;;;;1;
Brafoer B.V.;;;;;;;;1;1;
Brain Box Mediatraining B.V.;;;;;1;;;;1;
Brass Boer Zwolle B.V.;;;;;;1;;;1;
Brasserie de Koepel;;;1;;;;;;1;
Brasserie Down Town;;;1;;;;;;1;
Brasserie Sequenza;;;1;;;;;;1;
Brasserie Soho B.V.;;;1;;;1;;;1;
Breinkorf;;;;;2;;;;2;
Brilmode Verhey Van Wijk;;1;;;;;;;1;
Brouwer Tours;;;1;;;;;;1;
Brouwerij de Prael;;;1;;;;;;1;
Brouwerij Pronck;;;;;;1;;;1;
Brownies&downieS Deventer;;;;;;1;;;1;
Brug in Bedrijf;;;;;2;;;;2;
Bruggink Communicatie Support;;;;;1;;;;1;
Brunel Nederland B.V.;4;;;;;;;1;4;
Brussels School of Competition Foundation;;;;;1;;;;1;
Budget Rent a Car;;;;;;;;1;1;
Buitensociëteit Deventer sedert 1865;;;;;;1;;;1;
Buitensportavontuur;;;1;;;;;;1;
BUNKER Theaterzaken B.V.;;;1;;;;;;1;
Bureau Boeiend;;;;;;1;;;1;
Bureau Land Holding B.V.;;;;;1;;;;1;
Bureau Lemniscaat;;;;;1;;;;1;
Bureau Spraakwater;;;;;1;;;;1;
Bureau Tw!st;;;;;1;;;;1;
Bureau voor Overheidscommunicatie B.V.;3;;;;;;;;3;
Bureau Zuidema B.V.;;;;;2;;;;2;
Bureau Zuidema Learning Solutions B.V.;;;;;1;;;;1;
Bureautaal B.V.;;;;;1;;;;1;
Burgundy Street B.V.;;;;;;1;;;1;
Buro Beeldkracht;;1;;;;;;;1;
Buro BRAND Creative Factory B.V.;;;;;1;;;;1;
Buro Q B.V.;;;1;;;;;;1;
Burrata Turfmarkt B.V.;;;1;;;;;;1;
Business Matchmaker;;;;;;;;1;1;
BV&T Opleiding & Advies;;;;;1;;;;1;
C.R.M. van Veen B.V.;;;;;1;;;;1;
C.V. La Galleria Plein;;;1;;;;;;1;
Café 2005;;;1;;;;;;1;
Café de Harmonie;;;;;;1;;;1;
Café 'De Wolthoorn';;;1;;;;;;1;
Café Mano;;;1;;;;;;1;
Café Restaurant De Biechtstoel;;;;;;1;;;1;
Café Restaurant Rootz B.V.;;;1;;;;;;1;
Café Restaurant van Puffelen Café Restaurant;;;;;;1;;;1;
Café 't Keerpunt;;;1;;;;;;1;
Café Van Beek;;;1;;;;;;1;
Cafe/Restaurant Schlemmer;;;;;;;;1;1;
Café-Restaurant Pan;;;1;;;1;;;1;
Camuse;;;;;1;;;;1;
CAOP;;;;;1;;;;1;
Capgemini Nederland B.V.;;;;;4;;;1;4;
Capriole Coffee Café B.V.;;;1;;;;;;1;
Carnavalsland;;;1;;;;;;1;
Carucha Schwencke, Psychosociale Therapie, Mindfulness & Coaching;;;;;1;;;;1;
Centennium Advies en Opleidingen B.V.;;;;;1;;;;1;
Centralpoint Nijmegen B.V.;3;;;;2;;;;3;
Centre de Cours Alliance Française de La Haye;;;;;1;;;;1;
Centre for Economic Policy Research CEPR;;;;;1;;;;1;
Centre for International Forestry Research (CIFOR);;;;;;;;1;1;
Centric;;;;;3;;;;3;
Centrum Heartwork;;;;;1;;;;1;
Cesar Moerman Communicatie;;;;;1;;;;1;
CFS;;1;;;;;;;1;
Change a lot;;;;;1;;;;1;
Chinees Indisch Restaurant De Lange Muur;;;;;;1;;;1;
Chinees Indisch Restaurant Tai Soen;;;;;;1;;;1;
Chinees Indisch Wokrestaurant 'Golden City';;;1;;;;;;1;
Chinees/Japans Restaurant Momiji;;;1;;;;;;1;
Chris Bos & partners;;;;;1;;;;1;
Christian Dol;;;1;;;;;;1;
CIANO Trading & Services;;;1;;;;;;1;
Ciao! Ciao! B.V.;;;1;;;;;;1;
CIBIT Adviseurs/Opleiders;;;;;1;;;;1;
Cibum Bonum B.V.;;;;;;1;;;1;
CIFS Copenhagen Institute of Futures Studies;;;;;1;;;;1;
Cimsolutions;2;;;;;;;;2;
Classic Incasso B.V.;;;;;1;;;;1;
Claus Hoofddorp B.V.;;;;;;1;;;1;
Cloose;;;1;;;;;;1;
CM Partners B.V.;;;;;2;;;;2;
Cnxtd Inc.;;;;;1;;;;1;
Coaching in Organisaties;;;;;1;;;;1;
COCD Opleidingen;;;;;1;;;;1;
College of Multimedia;;;;;1;;;;1;
Colorado Charlie;;;1;;;;;;1;
Colour Me Beautiful;;;1;;;;;;1;
Communicatiebureau De Walvis;;;;;;;;1;1;
Compass Group Nederland B.V.;;;;;1;1;;;1;
Competence Factory;;;;;1;;;;1;
Compu'Train;;;;;2;;;;2;
Computrain Opleidingen;;;;;1;;;;1;
Conclusion Implementation B.V.;1;;;;;;;;1;
Congruent Managementsupport;;;;;1;;;;1;
Connecting Colours Non-profit B.V.;;;;;;1;;;1;
CONNECTION Ontwik. van persoon, team en Org.;;1;;;1;;;;1;
Conscious Hotel Westerpark B.V.;;;;;;;;1;1;
Consensus Economics Inc;;;;;1;;;;1;
Considerati B.V.;;;;;1;;;;1;
Consumer Centric;;;;;2;;;;2;
Conveno B.V.;;1;;;1;;;;2;
Coosto B.V.;;;;;1;;;;1;
Copenhagen Economics A/S;;;;;1;;;;1;
Corinne Keijzer;;;;;1;;;;1;
Coronel Kartracing B.V.;;;1;;;;;;1;
CorpTV;;;;;1;;;;1;
Correct Incasso;;;1;;;;;;1;
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;1;;;;1;
Crazy Holding;;;;;;1;;;1;
CRFS Limited;;;;;1;;;;1;
Crisisplan B.V.;;;;;2;;;;2;
Croissanterie Pigalle;;;;;;1;;1;1;
Crowne Plaza Brussels - Le Palace;;;;;;;;1;1;
Culpepper B.V.;;;1;;;;;;1;
CURA Preventie B.V.;;1;;;;;;;1;
D.C. Vogelaar;;;1;;;;;;1;
D.H.T.C. Den Helder Training Centre B.V.;;;;;1;;;;1;
Da Lina Lunchroom;;;;;;1;;;1;
Daalman Train. Adv. & Organis.ontwikkel. B.V.;;;;;2;;;;2;
Dacajami B.V.;;;;;1;;;;1;
Dagger Coffee;;;;;;1;;;1;
Dammers Opleiding & Advies;;;;;1;;;;1;
DAVO Bieren Holding B.V.;;;;;;1;;;1;
DDD Europe B.V.;;;;;1;;;;1;
De Aanjagers;;;;;;1;;;1;
De Argumentenfabriek B.V.;;;;;2;;;;2;
De Baak Administratie;;;;;4;;;;4;
De Baak B.V.;;;;;3;;;;3;
De Baak Noordwijk B.V.;;;;;2;;;;2;
De Bagatelle B.V.;;;;;;1;;;1;
De Barbecue en Buffettenboer;;;1;;;;;;1;
De Bazel B.V.;;;1;;;;;;1;
De Beken B.V.;;;;;;;;1;1;
De Bergse Bossen;1;;;;;;;;1;
De Betere Tijden;;;;;1;;;;1;
De Beweging;;;;;1;;;;1;
De Bierelier B.V.;;;1;;;1;;;1;
De Boerinn B.V.;;;1;;;;;;1;
De Bokkenpiloot;;;1;;;;;;1;
De Branding Utrecht B.V.;;;;;;1;;;1;
De Drentse Zaak B.V.;;;1;;;;;;1;
De Drie Gezusters;;;1;;;;;;1;
De Efteling B.V.;;;2;;;;;;2;
De Ferrante Holding B.V.;;;;;2;;;;2;
De Galan Groep B.V.;;;;;3;;;;3;
de galan school voor training;;;;;1;;;;1;
De Gebouwengids;;;;;;1;;;1;
De Goudse Lichtfabriek B.V.;;;1;;;;;;1;
de Graaf - Proeflokaal;;;;;;1;;;1;
De Grenadier interieur & wijn;;;1;;;;;;1;
De Grietmanswijk B.V.;;;;;;1;;;1;
De Groene Stoel B.V.;;;1;;;;;;1;
De GrootMeister Horeca B.V.;;;;;;1;;;1;
De Heeren Hofsteenge;;;1;;;;;;1;
De Holland Winkel;;;;;1;;;;1;
De Investeringsmaatschappij B.V.;;;;;2;;;;2;
De Kampanje;;;;;;;;1;1;
De Kleine Tiki;;;;;1;;;;1;
De kookstudio van Zwolle;;;1;;;;;;1;
de l'Association des Instituts Européens de Conjoncture Economique (AIECE);;;;;1;;;;1;
De Leckere B.V.;;;1;;;;;;1;
De Moor Tekst & Uitleg;;;;;2;;;;2;
De Nonnen in Vught;;;;;2;;;;2;
De Ontmanager;;;;;1;;;;1;
De Oude Bibliotheek B.V.;;;1;;1;;;;1;
De Overburen;;;1;;;;;;1;
De Peizer Hopbel B.V.;;;1;;;;;;1;
De Pier Horeca B.V.;;;2;;;;;1;2;
De Roos Geschenken B.V.;;;2;;;1;;;2;
De Rotterdam B.V.;;;;;;;;1;1;
De SkinFit Kliniek;;;1;;;;;;1;
De Slener Deel B.V.;;;;;;1;;;1;
De Sleutel Culinair B.V.;;;1;;;1;;;1;
De Smelt B.V.;;;1;;;1;;;1;
De Staffing Groep Nederland B.V.;5;;;;;;;;5;
De Sterke;;;;;2;;;;2;
De Tombe Consultancy B.V.;;1;;;2;;;;2;
De TrainAcademie;;;;;2;;;;2;
De Uurwerker;;;1;;;;;;1;
De Vesting;;;1;;;;;;1;
De Waldhoorn B.V.;;;;;;1;;;1;
De Waterreus;;;1;;;1;;;1;
De Wilgenweard;;;;;;1;;1;1;
De Winkel van Sinkel B.V.;;;1;;;1;;1;2;
De Witterbrug B.V.;;;;;;1;;;1;
DeBallonnenpret.nl;;;1;;;;;;1;
Debatrix;;;;;1;;;;1;
DEEP Underground Engineering GmbH;;;;;1;;;;1;
Dekxels B.V.;;;1;;;1;;;1;
deLex Media en Management B.V.;;;;;1;;;;1;
Delft Congress Support B.V.;;;;;1;;;1;1;
Deloitte Accountants;;;;;1;;;;1;
Deloitte Risk Advisory B.V.;4;;;;;;;;4;
Denk Producties B.V.;;;;;1;;;;1;
Denkproducties V.O.F.;;;;;1;;;;1;
Dennenoord;;;;;1;;;;1;
Dennis advies en organisatie;;;;;;1;;;1;
Dennis Cooking Place;;;;;;1;;;1;
DesignThinkers B.V.;;;;;1;;;;1;
Deutsche Energie-Agentur GmbH;;;;;;;;1;1;
Dikscommuniceert;;;;;1;;;;1;
DIOR Opleidingen;;;;;1;;;;1;
Direct Dutch B.V.;;;;;1;;;;1;
Direction Briefings for Business Leaders;;;;;1;;;;1;
Dirksen Opleidingen B.V.;;;;;1;;;;1;
Djembé - AGOGÓ;;;;;1;;;;1;
Djembe defi;;;1;;;;;;1;
Djihn Personal and Team Development B.V.;;;;;1;;;;1;
DO Consultancy;;;;;1;;;;1;
Dodo Essentiecoach;;;;;1;;;;1;
Doenederland.nl B.V.;;;1;;;;;;1;
DOJA Plein 9 B.V.;;;;;;1;;;1;
Dolfinarium Harderwijk B.V.;;;1;;;;;;1;
Domstad Evenementen B.V.;;;;;;1;;;1;
donkergroen;;;1;;;;;;1;
Dorenbos Vervoer Management B.V.;;;;;;;;1;1;
Double A Exploitatie B.V.;;;1;;1;;;;1;
Double Healix Educational Media B.V.;;;;;1;;;;1;
D'Oude Brandweer Exploitatie B.V.;;;1;;;;;;1;
Down Under BEACH B.V.;;;1;;;;;;1;
DPA Legal Services B.V.;2;;;;;;;1;2;
Dr. Ten B.V.;;;;;1;;;;1;
Drawup!;;;;;1;;;;1;
DRB Martial Arts;;1;;;;;;;1;
Dream!mages (DreamImages);;;1;;;;;;1;
DRFIP Midi-Pyrenees Haute-Garonne;;;;;1;;;;1;
Duckcity B.V.;;;1;;;1;;;1;
Dudok Den Haag B.V.;;;1;;;;;;1;
Dudok Rotterdam B.V.;;;1;;;;;;1;
Dukers & Baelemans Opleiding en Advies B.V.;;;;;2;;;;2;
Dulang Indonesische Lekkernijen;;;1;;;1;;1;1;
Dununba Percussie Workshops;;;;;;1;;;1;
Dutch Lessons with Roos Naeff;;;;;1;;;;1;
Duwtje B.V.;;;;;3;;;;3;
Ebbinge B.V.;;;;4;1;;;;4;
Ebbinge International B.V.;;;;;1;;;;1;
EBD GmbH;;;;;;;;1;1;
Echt Duurzaam;;;;;1;;;;1;
EcoGiving B.V.;;;1;1;;;;;1;
Ecologica B.V.;;;;;1;;;;1;
ECV CONSULTANCY LIMITED;;;;;1;;;;1;
Eddie Futselaar;;;1;;;;;;1;
Edith Brocken Ergo & Arbeid;;1;;;;;;;1;
Editio B.V.;;;;;1;;;;1;
Educat. Tuinderij & Thee terras 'De Weitens';;;;;;1;;;1;
Eduvision B.V.;;;;;1;;;;1;
Een wereld van verschil;;;;;1;;;;1;
Eerste Hulp Groep B.V.;;;;;1;;;;1;
Eetcafé de Gans B.V.;;;1;;;;;;1;
Eetcafé Het Hert Naarden-Vesting B.V.;;;1;;;;;;1;
Eetcafé Het Zwarte Schaap;;;;;;1;;;1;
Effect Business Events B.V.;;;1;;;;;;1;
Effectivents;;;;;1;;;;1;
Effectivitijd;;;;;1;;;;1;
Effectory Holding B.V.;;;;;1;;;;1;
Effectyf B.V.;;1;;;;;;;1;
EGN Nederland B.V.;;;;;1;;;;1;
El Qatarijne;;;;;;1;;;1;
Elan Training B.V.;;;;;1;;;;1;
Elja Daae Marketingadvies;;;;;1;;;;1;
Ellen Pennings Backoffice;;;;;1;;;;1;
Elycio Talen B.V.;;;;;4;;;;4;
Emeritor Procurement Services B.V.;;;;;;;;1;1;
EMERITUS institute of Management PTE. LTD.;;;;;1;;;;1;
EMMA Communicatie B.V.;;;;2;;;;;2;
Emtek Ergonomics B.V.;;1;;;;;;;1;
Energeia B.V.;;;;;1;;;;1;
Energy Delta Institute B.V.;;;;;3;;;1;4;
Enterprise Summit B.V.;;;1;;;;;;1;
Entopic B.V.;;;;;1;;;1;1;
Equinix (Netherlands) B.V.;;;;;1;;;;1;
Equipoise B.V.;;;;;1;;;1;1;
Ergatis B.V.;;2;;;;;;;2;
Escape Hunt Groningen;;;;;;1;;;1;
Esri Nederland;;;;;2;;;;2;
Essence Trainingen Amsterdam B.V.;;;;;1;;;;1;
Esther Roelofs coaching & training;;;;;1;;;;1;
Eta Florence Renewable Energies;;;;;;;;1;1;
Eten & Zo Zoetermeer B.V.;;;1;;;;;;1;
Etop;;;;;2;;;;2;
Eur. Instit. voor Certified Public Controll.;;;;;1;;;;1;
Euro Events B.V.;;;1;;;;;;1;
Euroforum;;;;;2;;;1;2;
European Academy for Taxes, Economics & Law Brauner Klingenberg GmbH;;;;;;;;1;1;
European University Institute;;;;;1;;;;1;
Evangelische Gemeente Ten Boer;;;1;;;;;;1;
EVE Tilburg B.V.;;;;;;;;1;1;
Evenementenhal Hardenberg I B.V.;;;;;;;;1;1;
Event Point;;;;;;1;;;1;
Evers Research & Training;;;;;1;;;;1;
EVO Fenedex;;;;;2;;;;2;
Evolve B.V.;;;;;1;;;;1;
Evorsa;;;1;;;;;;1;
EVW Creations;;;1;;;;;;1;
Exact Netherlands B.V.;;;;;1;;;;1;
Excelsior Sport B.V.;;;1;;;;;;1;
Expat Preventive Training B.V.;;;;;3;;;;3;
Explainit Company;;;;;1;;;;1;
Exploit.maatsch. Boerderij Meijendel B.V.;;;1;;;;;;1;
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;1;;;;1;
ExpoCoach;;;;;1;;;;1;
F.A.J. Veerman Holding B.V.;;;;;1;;;;1;
Falke & Verbaan B.V.;;;;;2;;;;2;
Fast Lane Benelux B.V.;;;;;2;;;;2;
FEDB.co;;;;;1;;;;1;
Feestverhuur Westland;1;;;;;;;;1;
Feithhuis Exploitatie B.V.;;;1;;;;;;1;
Film Atelier Den Haag;;;;;;;;1;1;
Fire and Medical Training Centre B.V.;;;;;1;;;;1;
Firecom B.V.;;1;;;;;;;1;
Firma Hof der Muzen;;;2;;;;;;2;
First 1 Bedrijfsfitness B.V.;;2;;;;;;;2;
First Class Amersfoort;;;1;;;;;;1;
FitnessStoffering.nl;;;1;;;;;;1;
Fletcher Hotel-Restaurant Amersfoort;;;1;;;;;;1;
Flevum-Loenermark B.V.;;;;;;;;1;1;
Flitz-Events;;;1;;;1;;1;1;
Floating Farm Rotterdam B.V.;;;;;;1;;;1;
FLOC Restaurant;;;1;;;;;;1;
Flow Events;;;;;;1;;;1;
Focal Meditech B.V.;;1;;;;;;;1;
Focus Academy;;;;;2;;;;2;
Focus op Tekst;;;;;2;;;;2;
Fonk Beach B.V.;;;1;;;;;;1;
Forum Europe Ltd;;;;;1;;;;1;
Forum Institut für Management GmbH;;;;;1;;;;1;
Forumbibliotheek Lewenborg;;;1;;;;;;1;
Frame B.V.;;;;;1;;;;1;
Frank van Ormondt Services B.V.;;;;;1;;;;1;
Frankwatching B.V.;;;;;1;;;;1;
Frederik B.V.;;;1;;;;;;1;
Frieda de Vries;;;;;1;;;;1;
Frisse Blikken ondernemen met talent B.V.;;;2;;2;;;;2;
FutureFood Chickpea;;;;;2;;;;2;
G&IT;;;;;;;;1;1;
G. de Wit Juridisch Advies;;1;;;;;;;1;
G4S Training & Safety B.V.;;;;;3;;;;3;
Gajes in de Bajes;;;1;;;;;;1;
Gall & Gall;;;1;;;;;;1;
Ganzenmarkt 24-26 Horeca Exploitatie;;;1;;;;;;1;
Gaperbol Noordwijkerhout B.V.;;;1;;;;;;1;
Gartner Nederland B.V.;;;;;2;;;;2;
Gasterij 't Karrewiel B.V.;;;1;;;;;;1;
Gauchos Nederland B.V.;;;;;;1;;;1;
Gebr. Barendsen B.V.;;;2;;;;;;2;
Geling Advies B.V.;;;1;;;;;;1;
Gestalttherapie De Limes;;;;;1;;;;1;
Get Events B.V.;;;1;;;;;;1;
gfa-consulting gmbh;;;;;;;;1;1;
Gh Catering B.V.;;;1;;;;;;1;
Gielissen Holding B.V.;;;;;;;;1;1;
Gifts to Connect;;;;;;1;;;1;
Gilde Utrecht;;;1;;;;;;1;
Gispen Groningen;;1;;;;;;;1;
GITP B.V.;;;;1;;;;;1;
GITP Breda;;;;;1;;;;1;
GJM Communicatie B.V.;;;;;1;;;;1;
Gladwell Academy B.V.;;;;;2;;;;2;
Global Business Academy;;;;;1;;;;1;
Global Knowledge Network Netherlands B.V.;;;;;2;;;;2;
Glope Events B.V.;;;1;;;1;;;1;
Go B.V.;;;;;1;;;;1;
Goal Trainingen B.V.;;;;;;1;;;1;
Good Conditions B.V.;;1;;;;;;;1;
Good! B.V.;;;;;1;;;;1;
GoodHabitz Netherlands B.V.;;;;;2;;;;2;
Gooiconsult Academie B.V.;;;;;2;;;;2;
Gran Mercado B.V.;1;;1;;;1;;;1;
Gran tour in Italia;;;1;;;;;;1;
