Staatscourant indeling,Tariefclustering,Omschrijving,Eenheid,Tarief
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Erkenning GWC uitsluitend voor keuring van snor- naar bromfiets,WP,"227,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Erkenning als installateur of reparateur van een Tachograaf, als bedoeld in de Binnenvaartregeling",STK,uurtarieven zoals vermeld in artikel 3
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Erkenning leveren pasfoto en handtekening voor het elektronisch aanvragen van rijbewijzen,STK,"0,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Afmelding gasinstallatie,STK,"5,55"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Afmelding gasinstallatie (via rdw.nl),STK,"6,10"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Herkeuring in beroep APK (klacht),STK,"49,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,"Afmelding APK, bij goedkeuring",STK,"4,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,"Afmelding APK, bij goedkeuring (via rdw.nl)",STK,"4,55"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Oproepbrief APK-mailing,STK,"0,55"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Vermeend onterechte goedkeuring APK,STK,"49,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,"Melding export, ED",STK,"10,55"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Afmelding TA,STK,"5,55"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Afmelding TA (via rdw.nl),WP /ME,"6,10"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Melding GWC brom -snorfietsen,STK,"2,10"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,"Melding demontage, ORAD (via provider en rdw.nl)",STK,"0,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Aanvraag kenteken bij bevoegdheid VI (via provider),STK,"0,28"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,"Aanvraag kenteken bij bevoegdheid VI, indien gedaan via de RDW-website (RDW.nl)",STK,"1,37"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Aanvraag kenteken bij bevoegdheid VI (via provider met gebruik RDW-applicatie),STK,"0,55"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,"Tenaamstelling bij RDW erkenninghouder, exclusief identiteitsvaststelling en administratieve handelingen",STK,"6,82"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Maximaal tarief (inclusief BTW) dat een erkenninghouder voor een tenaamstelling aan de aanvrager in rekening mag brengen voor identiteitsvaststelling en administratieve handelingen,STK,"4,58"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Optioneel: card voor voertuig in bedrijfsvoorraad,STK,"3,32"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Tenaamstelling ten behoeve van een bedrijfsvoorraad,STK,"3,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,Tenaamstelling ten behoeve van een bedrijfsvoorraad (via rdw.nl),STK,"3,90"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,"Melding OREH, voorgoed buiten Nederland brengen van in de bedrijfsvoorraad geregistreerde voertuigen",STK,"10,55"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Variabele (toezicht) kosten,"Melding OREH, voorgoed buiten Nederland brengen van in de bedrijfsvoorraad geregistreerde voertuigen (via rdw.nl)",STK,"10,95"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),Maximaal tarief (inclusief BTW) dat een erkenninghouder voor een schorsing aan de aanvrager in rekening mag brengen voor identiteitsvaststelling en administratieve handelingen,Inschrijving,"6,16"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),"voertuig licht, jonger dan 15 jaar voor de duur van 1 jaar",Inschrijving,"74,04"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),"voertuig licht, jonger dan 15 jaar voor de duur van 2 jaar",Inschrijving,"100,54"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),"voertuig licht, jonger dan 15 jaar voor de duur van 3 jaar",Inschrijving,"127,04"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),"voertuigen licht en zwaar ouder dan 15 jaar en voertuig zwaar en motorfietsen, jonger dan 15 jaar, voor de duur van 1 jaar",Inschrijving,"20,34"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),"voertuigen licht en zwaar ouder dan 15 jaar en voertuig zwaar en motorfietsen, jonger dan 15 jaar voor de duur van 2 jaar",Inschrijving,"46,84"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),"voertuigen licht en zwaar ouder dan 15 jaar en voertuig zwaar en motorfietsen, jonger dan 15 jaar, voor de duur van 3 jaar",Inschrijving,"73,34"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),Brom- of snorfiets en voertuig LRV voor de duur van 1 jaar,Inschrijving,"6,04"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),Brom- of snorfiets en voertuig LRV voor de duur van 2 jaar,Inschrijving,"18,24"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),Brom- of snorfiets en voertuig LRV voor de duur van 3 jaar,Inschrijving,"30,44"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),Vernieuwing schorsing voor 1 jaar op of binnen 6 weken vóór de laatste dag waarop een eerdere schorsing van de tenaamstelling van kracht is,Inschrijving,"20,34"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),Vernieuwing schorsing voor 2 jaar op of binnen 6 weken vóór de laatste dag waarop een eerdere schorsing van de tenaamstelling van kracht is,Inschrijving,"46,84"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),Vernieuwing schorsing voor 3 jaar op of binnen 6 weken vóór de laatste dag waarop een eerdere schorsing van de tenaamstelling van kracht is,Inschrijving,"73,34"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Schorsing tenaamstelling bij een erkend bedrijf (exclusief identiteitsvaststelling en administratieve handelingen),"Schorsing zesde en volgende motorrijtuig of aanhangwagen /oplegger ouder dan 15 jaar van dezelfde eigenaar/ houder, mits er 5 betaalde actuele schorsingen staan geregistreerd",Inschrijving,"0,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding erkenning gasinstallatie,WP,"210,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding erkenning APK,KI /ME,"210,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding erkenning BCT,WP /MAE,"204,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding erkenning TA (tachograaf),WP /ME,"185,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding inrichtingen bij ME / MAE/MOE,Inrichting,"120,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,"Instandhouding erkenning BV, ongeacht of er bevoegdheden aan verbonden zijn",VE / NVE,"106,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding handelaarskenteken,VE / NVE,"106,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding bevoegdheid ORAD,VE / NVE,"106,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding bevoegdheid OREH,VE / NVE,"59,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding bevoegdheid VI,VE / NVE,"106,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,"Instandhouding erkenning, ED",VE / NVE,"59,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding bevoegdheid TV,VE / NVE,"149,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding RTL,VE / NVE,"302,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding erkenning Kentekenloket,VE / NVE,"1.663,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Jaarlijks onderzoek EETS -aanbieder,VE / NVE,"7.205,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding erkenning GAIK,VE / NVE,"446,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhouding erkenning aanbrengen waarmerk in blanco kentekenplaten,VE / NVE,"446,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Instandhoudingskosten erkenning GWC,WP,"542,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Erkenning GWC reiskosten per auto tot en met 225 km,Autoreis,"122,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Erkenning GWC reiskosten auto van 225 km of meer,Autoreis,"342,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Erkenning GWC reisuren,Uur,"74,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Vaste (instandhouding) kosten,Erkenning GWC verblijfskosten,Persoon,Daadwerkelijke kosten
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Algemeen,"Aanvraag wijziging / overname erkenningen, bevoegdheid of handelaarskenteken",STK,"73,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Algemeen,Instandhouding datacommunicatie met de RDW via een beveiligde aansluiting (certificaat) exclusief verzendkosten per post,VE / NVE / WP / KI / ME /MAE/MOE,"21,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Algemeen,"Bezoekkosten in kader van naleven erkenningsverplichtingen bij aanvraag, wijziging /overname erkenningen bevoegdheid of handelaarskenteken",Bezoek,"120,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Algemeen,Gecommitteerde examens,UUR,"120,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Algemeen,Aanvraag verklaring APK-keurmeesterexamen,STK,"60,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Algemeen,Bevoegdheidspas,STK,"13,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Algemeen,"Tellerstandenrapport t.b.v. erkenning bedrijfsvoorraad, BV",STK,"0,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Algemeen,"Erkenning BV, tweede, volgende of vervangende bedrijfsvoorraadpas",STK,"24,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Algemeen,Reisuren,Uur,"74,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Algemeen,Controlekeuring schadevoertuig op grond van artikel 106 van de Wet,STK,"33,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Algemeen,Controlekeuring,STK,"33,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Algemeen,Zichtkeuring,STK,"15,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Algemeen,Voorrijkosten keuren aan huis,Uur,"122,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Identiteitsonderzoeken,Identificatie voertuig licht,STK,"52,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Identiteitsonderzoeken,Identificatie voertuig zwaar,STK,"96,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Identiteitsonderzoeken,Identificatie LRV,STK,"96,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Identiteitsonderzoeken,Nader identiteitsonderzoek VIN eenvoudig,STK,"47,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Identiteitsonderzoeken,Nader identiteitsonderzoek t.b.v. toekomstige keuring,STK,"120,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Identiteitsonderzoeken,"Vervolgonderzoek uitgebreid VIN fiets, snor- en bromfiets en lichte aanhangwagens",STK,"172,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Identiteitsonderzoeken,"Vervolgonderzoek uitgebreid VIN voertuig licht, zwaar, LRV en overig",STK,"305,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Identiteitsonderzoeken,(her) inslag VIN,STK,"47,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Verklaring van geen bezwaar,STK,"47,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,COP/CEMT Document,STK,"16,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Inschrijving in het kentekenregister zonder tenaamstelling op grond van art. 21 Kentekenreglement bij RDW locatie,STK,"17,45"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Inschrijving in het kentekenregister zonder tenaamstelling op grond van art. 21 Kentekenreglement bij keuren aan huis,STK,"30,20"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Vervangend goedkeuringsbewijs taxi,STK,"16,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Eerste Keuring Taxi,STK,"37,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Afgifte certificaat in het kader van Kaderverordening 2018/858,STK,"60,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling gebruiksdoel voertuig licht,STK,"50,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling gebruiksdoel zwaar,STK,"90,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling gebruiksdoel LRV,STK,"90,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring minder dan 5 aspecten voertuig licht,STK,"30,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 5–9 aspecten voertuig licht,STK,"60,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 10–14 aspecten voertuig licht,STK,"90,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 15–19 aspecten voertuig licht,STK,"120,00"
