Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9303 - Laboratoriuminstrumenten;Eindtotaal
Alk-Abello B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Al-Ko Kober B.V.;;;;;;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1
All Care B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
All Golf;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
All In Techniek Nunspeet B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
All In Verhuur B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1
All Music Publishing B.V.;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;1
All Pensions Group;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
All Risk B.V.;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2
Alle Ophangsystemen;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Allekabels B.V.;;;1;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Allergan B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allergopharma B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allers;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alles Kids Family Events V.O.F.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alles voor je truck B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allfence B.V.;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allgifts.nl B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alliance Francaise de La Haye;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alliance Healthcare;;;8;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;8
Allinco Business Solutions B.V.;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allpa B.V.;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
All-Round Printing B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AllweCare medical B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Almelose Borstelindustrie B.V.;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Almeva B.V.;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Alp Lift B.V.;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Alpha Techniek B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alphatron Marine B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Alphatron Security Systems B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alprovi;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ALSTOM Power Nederland;;;;;;;;;;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
Altec Industriële Identificatie;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Altena Cleaning B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Alternate Computerversand Nederland;;;;;;1;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;2
AlterNET Internet B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Altijddebestewijn.Nl;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Altop Kunststoftechniek B.V.;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Altrex B.V.;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alura Hekwerk B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alvero Kantoormeubelverhuur B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amarant Groep;;;;;;;;;;;2;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;3
Amari Metals B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amaze Escape Events;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amazing Bread Company B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amazing Flowers;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambius B.V.;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambroise Holland B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambu B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AMC Centre;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AmeComputers;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
American Hotel Exploitatie B.V.;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
American Roadhouse B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
amerplastics B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Amethist Developing People B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ameuro Metals B.V.;;;;;;;;;;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;4
AMH Dienstenmakelaar B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amigo-Produkties;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2
Amilco Benelux B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AMO Netherlands B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ampco Flashlight Rental B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
AM-Solution International B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amstel Graphics B.V.;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Amstel Vote B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam & more B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Airport Schiphol;;;;;;;;;;;;;;;;;;;;;;;2;1;;1;;;;;;;;;;;;;;2
Amsterdam Bassoon Center;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Experience;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2
Amsterdams ADR Instituut B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdamse Bloemenmarkt;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
AnalitiQs B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anamet Europe B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
André Molenaar Zonwering;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
André Motors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Anemoon;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anette Brolenius Photography;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Animo B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anja bloem en trends;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ankersmid Process B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
annatommie - centra voor orthopedie - B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anne Frank Stichting;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anneke Ingwersen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem;;;;;;;;;;;;;;;;;;;;;7;4;6;9;1;3;6;;;;;;;;;;;;;9
Antalis B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Antargaz Nederland B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anthos Labtec B.V.;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Anton Paar Benelux BVBA;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Antonides;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Antratek Electronics;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ANWB B.V.;;;;;;;;;;;1;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;4
ANWB Test- en Trainingscentrum V.O.F.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ANWB-Rijopleiding;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
AOG Contractonderwijs B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AON Ned. Makel. in Assurant.-Risico-Adviser.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1
Ap-Art;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Aparthotel Delden;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apartt Rotterdam Horeca B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
APCOA Parking Nederland B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apenheul;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;2
Apex Global B.V.;;;;;;1;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
API-Schmidt-Bretten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Apotheek Fellenoord;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apotheekhoudende Huisartsenprkt. Exloo-Valthe;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apox B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
APP A Perfect Promotion;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Appartementenhotel Jan van Scorel B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Applied Research Laboratory Eur. (ARLE) B.V.;;;;;;;;;;;4;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;5
Applikon B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Applus RTD Certification;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
APPLY Opleidingen en Advies B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
APS Aqua Pool Sports;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aqua Flor Bloembinderij;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aqua Light Nederland B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AquaBubble;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aquafix Milieu Verkoopmaatschappij B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
A-quality Direct B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AR Benelux;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
ARAMEX;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
ArboNed B.V.;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Arbor Media B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;3
Archie Europe B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ardea Auto Den Haag;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;7
Ardea Auto Rotterdam-West;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Ardyn B.V.;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
Arend Auto B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Arendje Verhuur B.V.;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arends Houten Emballage B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Arexx Engineering;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Argentina;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Argo B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Argos Service Stations;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arion;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arjan Erkel Advies;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArjoHuntleigh Nederland B.V.;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2
Arko Sports Media B.V.;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arli B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arma Verhuur Horeca B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1
Arnesco B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arnhemse Borduurcentrale B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Arpo Entertainment;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArrangeGroup B.V.;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Arseus Dental Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Art & Allposters International B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Art & Dining;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ART At Work B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Art Company;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Art Print Design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
ARTECEF B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Artemet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Artenweb.nl;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arthrex Nederland B.V.;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Arthur Meyer ontwerper;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;3
Artiestenbureau van Otterloo B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artiestenverloningen B.V.;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
Artifac B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artigroen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Artihove Regina B.V.;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Artilex B.V.;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artilla B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artisante;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arts Sportiek B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Artsenpraktijk de Spil;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artu Biologicals Europe;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arvelo;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
As Verdediging en Veiligheid;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ascent Safety B.V.;;;;;;3;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;3
Ascom (Nederland) B.V.;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3
Ashland Nederland B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Asito B.V.;;;;;;;1;;;;2;;;6;;;;;;;;;;;;;;;1;;;1;;;;;;;;6
Askove Kunststof Industrie B.V.;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
ASP Adventure B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ass. Autofauteuils B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
ASSA Abloy Nederland B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Associatie Uitvaartverzorging;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Assurantiekantoor SH de Boer;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
AST Audiovisueel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Astec B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Astrid Sportprijzen;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1
Astro Controls B.V.;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
ASV Automobielbedrijven B.V.;;;;;;;;;;;2;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;4
At Computing B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Atal B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Atelier van Kedoes;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Atemi Sport;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Athlete.nl B.V.;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Athletic Skills Track (AST) B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Athlon Car Lease Nederland B.V.;;;;;;;;;;;1;;;;6;;;;;8;;;;;;;;;;;;;;;;;;;;8
ATIM Opleidingen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ATIS;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atlantis Arnhem B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atlas Copco Nederland B.V.;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2
Atlas Copco Tools Nederland;;;;;;;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2
Atlas Portable Sanitation B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
ATO-Bedrijfstrainingen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atos Medical B.V.;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atos Origin;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;2
ATOS ORIGIN NEDERLAND B.V.;;;;;;;;;;;;;;;;;;;;;7;;;7;;;8;;;;;;;;;;;;;8
ATP Business Travel B.V.;;;;;;2;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2
Atria-Eindhoven Sportmassage Opleidingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Attingo Datarecovery B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Attractie Verhuur Moonen B.V.;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2
Auberge De Zwaan Oirschot B.V.;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Auberge 't Asje;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Audion Elektro B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Auke Herrema Cartoons/Illustraties;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Auma Benelux B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Auris Dienstverlening Houten;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ausma De Jong Advocaten B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ausma Motorenrevisie B.V.;;;;;;;;;;;3;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;3
Autec Hefbruggen B.V.;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;1
Authentiek leiderschap B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Auto Arena B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Auto- en Motorrijschool 'Actief';;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Auto Hobby Club 'De Peel';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Auto Muntstad Zeist;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Auto Rega B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Auto ReGa Noord;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Auto Wessel B.V.;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedrijf Bouwman B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedrijf Hans Versteden B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Autobedrijf Hartgerink;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedrijf Hölscher;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Autobedrijf P.W.Y. Zantingh;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedrijf Preuninger Haagland B.V.;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;7
Autobedrijf van den Udenhout B.V.;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Autobedrijf Van Mourik Culemborg B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedrijf Wagenmaker B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Autobedrijven Noorderpoort;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Autocentrum Castricum B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Autodemontagebedrijf K. Boer;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autogros Noord B.V.;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Automatic Signal Rijsenhout B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Automator B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Automob.bedr. Van der Horst Leeuwarden B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Automobielbedrijf Stoomberg B.V.;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Automotions MB Roosendaal;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Automotive Equipm. Security Tyre Suppl. Ned.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Automotive Publishing B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autoplex Zevenaar B.V.;;;;;;;;;;;1;;;;;;1;;;3;;;;;;;;;;;;;;;;;;;;3
Autopoetsbedrijf Kleiboer V.O.F.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
