Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3160 - Uitbesteden accountancy en financien;3-Uitbesteden
Antea (vh Oranjewoud, Save);;;2;;;2
AOC-Raad;;;2;;;2
Ape /Aarts, De Jong, Wilms & Goudriaan Public Economics;;;2;;;2
APPM Management Consultants;;;2;;;2
Apps & Us Consultancy;1;;;;;1
Aqua For All;;;2;;;2
Ara Groep (incl. HFM\Bovaco);;;3;;;3
Arcadis (incl. Prc./Bouwcentrum, Alkyon);;;7;;;7
Architectuur Lokaal;;;1;;;1
Arcusplus Europe;;;2;;;2
Ardagh Glass Dongen;;;2;;;2
Arenda Oomen Fotografie;;;1;;;1
Arjan Klopstra;;;2;;;2
Artikraak;;;1;;;1
Arvalis;;;1;;;1
Arvato Services Nederland;;;5;;;5
At Osborne;;;2;;;2
ATG Europe (AOES);;;4;;;4
Atlantico Business Development;;;2;;;2
ATM Holding B.V.;;;2;;;2
Atomos Applications;;;2;;;2
Atos;7;;6;;;7
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;;2;;;2
Atrive;;;2;;;2
Atticus Uitgeverij;;;1;;;1
Auberge Visvliet;;;1;;;1
Aubergine Cuisine;;;1;;;1
Auditconnect;2;;;;;2
Avantes;;;1;;;1
Aviareps Tourism;;;2;;;2
Axolution;;;1;;;1
B & H Projecten;;;1;;;1
B&A Groep;;;2;;;2
B2B Productions;;;1;;;1
B3Partners;;;1;;;1
Badhotel;;;1;;;1
Bakkerij Spanjer;;;1;;;1
Bamboe 8;;;2;;;2
Bamboo Business Acceleratie;;;2;;;2
Barbara Alberts Office Support;;;2;;;2
Barnel;;;2;;;2
Bartimeus (incl. Stichting Bartiméus Accessibility);;;1;;;1
Bas van Lier schrijft;;;1;;;1
Bastion Hotels;;;1;;;1
Bau+mm;;;1;;;1
Bauke Ter Braak Communicatie (Da Costa Beheer);;;1;;;1
BBA - Boerstra Binnenmilieu Advies;;;2;;;2
BBK/Door Vriendschap;;;2;;;2
BBN Belangenvereniging Bedrijfshulpverlening Nederland;;;2;;;2
BCGA;;;1;;;1
Beagle Sustainable Solutions (A.J. Brasser);;;2;;;2
Beaumont;;;1;;;1
BECO Groep;;;2;;;2
Beech Business Promotion B.V.;;;3;;;3
Bekijk Het Media;;;1;;;1
Belevenisonderwijs;;;1;;;1
Belmont Innovations & Sustainability;;;2;;;2
Benefit Inkoop Adviesgroep;4;;;;;4
Benelux - Bureau Voor De Intellectuele Eigendom;;;2;;;2
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);3;1;6;;;6
Berg Sustainable Strategy Consultancy;;;3;;;3
Bestuursadviesgroep ZPG;;;1;;;1
Bestwerk;;;1;;;1
Beter Samenwerken;;;1;;;1
Betuwe Express Touringcarbedrijf;;;1;;;1
Between;7;;3;;;7
Beurs Rotterdam;;;2;;;2
BFP International B.V.;;;2;;;2
Bijlmer Development Cooperation Consultancies;;;1;;;1
Bijnsdorp Communicatie Projecten;;;2;;;2
Bikker & Company;;;5;;;5
Bilderberg Hotels;;;1;;;1
Bilfinger (incl. Tebodin, Real Estate);;;1;;;1
Binnenlands Bestuur;;;1;;;1
Bio Based Economy Magazine (EG Media);;;1;;;1
Bio Trading Benelux;;;1;;;1
Biobased Press;;;1;;;1
Biomass Research;;;1;;;1
Biomass Solutions;;;1;;;1
Biomimicry NL;;;3;;;3
BIOnetWORKS;;;2;;;2
Bioniers;;;2;;;2
Birch Impact;;;4;;;4
Bird's Eye Communications;;;1;;;1
BiZZPro/Myler;7;;1;;;7
BK Bouw van Dorp Installaties Bouwcombinatie;;;2;;;2
Blaauw Space Affairs;;;2;;;2
Blankwaardt Consult;;;2;;;2
Blauw Research;;;3;;;3
Blix Consultancy BV;;;4;;;4
Blix Renewable Energy;;;3;;;3
Bloemsierkunst Veronique;;;1;;;1
Blooming Bizz Management;;;2;;;2
Bloomz;;;1;;;1
BLWG Bryologische Lichenologische Werkgroep van De KNNV;;;1;;;1
BMC Groep (Advies, Verandermanagement & Coaching);1;;;;;1
Bodytext;;;1;;;1
Boer & Croon;;;3;;;3
Boer Bos Management van natuurtalent;;;1;;;1
Boerenverstand Consultancy;;;2;;;2
Boerhof Projectinrichting Heeten;;;1;;;1
Boertiengroep (incl. Ncatb);;;1;;;1
Bolster (vh Jaap Stronks Communicatie & Strategie);;;2;;;2
BOM;;;1;;;1
Bond voor Materialenkennis;;;1;;;1
Bons Negocios!;;;1;;;1
Bont Consult;;;2;;;2
Bontemantel;;;4;;;4
Booij Klusman en van Bruggen;;;2;;;2
Boom S/I;;;2;;;2
Boosten Consultancy;;;2;;;2
Boot Advocaten;;;1;;;1
BoP Innovation Center;;;2;;;2
Bos & Van der Burg;;;;1;;1
Bosch & van Rijn;;;2;;;2
Boskalis (incl. Royal Boskalis Westminster, Boskalis Dolman);;;1;;;1
Boslaan B.V.;;;1;;;1
Bouwend Ned Ver Bouw- En;;;1;;;1
Bovenkamers;;;1;;;1
Brainport Development;;;2;;;2
Bram & Aagie;;;1;;;1
Branchewerk;;;1;;;1
Brandambassadors B.V.;;;2;;;2
Brandsen Rondeel;;;1;;;1
Bregman Advisering;;;2;;;2
Breugel Kunstbenodigheden;;;1;;;1
Brinkmann Consultancy;;;3;;;3
Brink's Nederland;;;1;;;1
Bro Adviseurs;;;4;;;4
Bruggink & Van De Velden Advocaten;;;1;;;1
Brunel Nederland (incl. Legal, IT);2;;;;;2
BSS Beheer & Management;;;2;;;2
BT Global Services (incl. Syntegra);7;;2;;;7
BTC Twente Beheer B.V.;;;1;;;1
BTG - Biomass Technology Group;;;2;;;2
Buck Consultants International;;;4;;;4
Bugelhajema Adviseurs;;;1;;;1
Builddesk;;;3;;;3
Building Vision;;;3;;;3
Buildsigh;;;2;;;2
Buiten-Beeld;;;1;;;1
Bureau Berdt;;;1;;;1
Bureau De Heer;;;4;;;4
Bureau Dirk Hilbers;;;2;;;2
Bureau Leeters;;;1;;;1
Bureau Middelkoop;;;2;;;2
Bureau Mozaïek;;;3;;;3
Bureau Stroming;;;4;;;4
Buro MW;;;4;;;4
Burosa coaching & co-creatie;;;2;;;2
Burson Marsteller;;;2;;;2
Buutvrij for life B.V.;;;2;;;2
BVOR Branche Vereniging Organische Reststoffen;;;2;;;2
Byosis;;;2;;;2
Byte Internet;;;1;;;1
C.S.G. 't Noordik;;;1;;;1
Cabi Nederland;;;4;;;4
Café Morgen;;;1;;;1
Cailin Partners;;;2;;;2
Calcasa B.V.;;;2;;;2
Campman Cafe- Restaurant;;;1;;;1
Campus Orleon;;;1;;;1
Cantina Mexicana (incl.Tapasco);;;1;;;1
Capgemini;6;;4;;;7
CAPRA Centraal Adviesbureau voor Publiek Recht en Administratie;;;1;;;1
Carlson Wagonlit Travel;;;2;;;2
Carwei Communications;;;3;;;3
CASA Centrum voor Achitectuur en Stedenbouw Arnhem;;;1;;;1
Cauberg-Huygen Raadgevende Ingenieurs;;;1;;;1
CB Centraal Boekhuis (incl. Facturatie);;;1;;;1
CE Delft Onderzoek Advies en Consultancy voor Duurzaamheid;;;6;;;6
Celsian Glass & Solar;;;4;;;4
Center for International Legal Cooperation;;;4;;;4
Center For People And Buildings;;;2;;;2
Centerdata;;;2;;;2
Central Veterinary Institute;;;3;;;3
Certiq;;;2;;;2
CGI Group (incl. Logica CMG);5;;4;;;6
Chain Partners in water;;;1;;;1
Chanzo;;;1;;;1
Checkit;;;1;;;1
Chris Eveleens Consultancy;;;1;;;1
Chris Westra Consulting;;;1;;;1
Christian Restaurant;;;1;;;1
Ciezo B.V.;;;1;;;1
Cimsolutions;7;;;;;7
Climate Neutral Group;;;2;;;2
Clipit Nieuws;;;1;;;1
Clm Onderzoek en Advies;;;2;;;2
CNV Vakmensen;;;;1;;1
Co Motion Consult;;;2;;;2
Co2 Servicepunt (incl. DWA Installatie- en Energieadvies);;;3;;;3
Co-Capacity B.V.;;;2;;;2
Code Zero;;;1;;;1
Coehoorn Centraal;;;1;;;1
Coen Mulder;;;1;;;1
Colibri Advies;;;2;;;2
Color & Brain B.V.;;;2;;;2
Combustic;;;1;;;1
Comichouse;;;1;;;1
Commedia Consult;;;1;;;1
Commissie voor de Milieueffectrapportage;;;4;;;4
Communicatie Bureau De Lynx;;;2;;;2
Communitas;;;1;;;1
Compásq;;;2;;;2
Competition Economists Group Europe;;;3;;;3
Computerplan;;1;2;;;2
Concepts To Go;;;2;;;2
Conchita de Roba Advies;;;2;;;2
Concorde Group;;;1;;;1
Confius B.V.;;;1;;;1
Congrestolken;;;2;;;2
Connekt;;;5;;;5
Connexxion;;;2;;;2
Conquaestor Management Consulting;2;;;;;2
Consens;;;2;;;2
Consolair;;;2;;;2
Controplex;;;2;;;2
Conversum Tolken & Vertalen;;;1;;;1
Coöperatie Energy Fast Forward;;;1;;;1
Coöperatief Regionaal Opleidingsbedrijf Installatietechniek;;;1;;;1
Coöperatieve Unie van Bosgroepen Ua;;;3;;;3
Coöperatieve vereniging Natlab U.A.;;;1;;;1
Coördesign;2;;;;;2
Cordaid Stg;;;1;;;1
Coriolis EPC;;;1;;;1
Corporate Facility Partners;;;2;;;2
Corrino Media Group;;;2;;;2
Corso Informatica;;;4;;;4
Corten Marine Research;;;2;;;2
Courage Hotel Restaurant;;;4;;;4
Covision;;;3;;;3
Covra - Centr. Organ. V. Radio-Aktief Afval;;;3;;;3
Cozien;;;1;;;1
Crayenstein Training en Advies;;;1;;;1
Cream Consult, Creativiteit & Innovatie;;;1;;;1
Creatz;;;2;;;2
Crem;;;5;;;5
Critical Distance;;;1;;;1
Croon Advocaten;;;1;;;1
Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte;;;1;;;1
CrowdAboutNow;;;2;;;2
Crux Engineering;;;2;;;2
CSTM;;;2;;;2
Cultissima;;;1;;;1
Curtus;;;1;;;1
CVI Centraal Veterinair Instituut;;;2;;;2
CWTS;;;2;;;2
D.A.P. Bommelerwaard-Zuid;;;1;;;1
D.B. van den Brink;;;3;;;3
Daily Business;;;2;;;2
Daily Deli Catering;;;1;;;1
Damen van Deventer;;;1;;;1
Dara;;;1;;;1
DAT.Mobility (vh Goudappel, Omnitrans International);;;3;;;3
Dataland;;;2;;;2
DBH International;;;2;;;2
Dconsult;;;1;;;1
De Argumentenfabriek;;;2;;;2
De Boer & van Teylingen;;;1;;;1
De Bomen;;;2;;;2
De Brauw Blackstone Westbroek;;;;2;;2
De Caboceer;;;2;;;2
De Context;;;2;;;2
De Energie Ambassadeur;;;1;;;1
De Galan Groep (incl. Opleidingen);;3;4;;;4
De Gemeynt Coöperatie U.A.;;;2;;;2
De Haan Advocaten & Notarissen;2;;;;;2
De Haas & Partners;;;2;;;2
De Heer & Co Environment and communication;;;1;;;1
De Hoeve B.V.;;;3;;;3
De Jonge MilieuAdvies;;;2;;;2
De Klik;;;1;;;1
De Krom Advies;;;2;;;2
de Laar;;;2;;;2
De Lof der Zotheid Restaurant Café Diner;;;1;;;1
De Markies Restaurant;;;1;;;1
De Merkplaats;;;2;;;2
De Nieuwe Jutter Stg;;;1;;;1
De Nieuwe Lijn;;;1;;;1
De Nieuwe Stad;;;1;;;1
De Nobel Bloembinderij (Duurzame Bloemisten);;;1;;;1
De Observant Stadscafé;;;1;;;1
De Onderzoekspartner;;;1;;;1
De Produktiewinkel;;;3;;;3
De Pudding/Saroma [Puddingfabriek];;;1;;;1
De Resolutie;;;1;;;1
De Rijtuigenloods;;;2;;;2
De Rode Hoed;;;2;;;2
De Rooie Cent;;;1;;;1
De Rotterdam II C.V.;;;1;;;1
De Swarte Ruijter;;;1;;;1
De Tenders Rondvaart;;;1;;;1
De Tolkencentrale;;;1;;;1
De Vale Ouwe Culinair Projectmanagement;;;2;;;2
De Vlinderstichting;;;3;;;3
De Voort Hermes De Bont / Advocaten;;;2;;;2
De Wijde Blik;;;1;;;1
De Wijkplaats;;;1;;;1
De Wildernis;;;1;;;1
De Zevensprong;;;1;2;;2
Debat Nl;;;1;;;1
Decisio;;;2;;;2
Deerns Raadgevende Ingenieurs;;;1;;;1
Dekra;;;1;;;1
Delany Environmental;;;1;;;1
Deloitte Consulting;;;6;;;6
Deltalinqs;;;2;;;2
Deltares;;;6;;;6
Deltion College;;;2;;;2
Den Haag Marketing & Events;;;1;;;1
Design Coöperatie Brainport;;;1;;;1
Designthinkers;;;2;;;2
Dewerking;;;1;;;1
DFI Dutch Fashion Incasso;;;1;;;1
DGMR Raadgevend Ingenieurs (incl. Bouw, Industrie en Milieu, Software);;;5;;;5
DHC Holland;;;1;;;1
Dialogic Innovatie & Interactie;;;5;;;5
Diana Bak Procesgeografie;;;1;;;1
Dick Allewijn, mediator-trainer;;;;1;;1
Dick Brandt Advies;;;2;;;2
Dierenartsenpraktijk Elst B.V.;;;1;;;1
Dierenartsenpraktijk Schiffelers;;;1;;;1
Dierenartspraktijk T Leijdal;;;1;;;1
Dierenkliniek De Lingehoeve;;;1;;;1
Diergaarde Blijdorp;;;5;;;5
Dietz Dröge & Van Loo;;;2;;;2
Difco International;;;1;;;1
DIG - Design Innovation Group;;;4;;;4
Digidentity;;;1;;;1
Digital Intelligence Training;;;3;;;3
Dimark Solar;;;2;;;2
Direct Current B.V.;;;2;;;2
Direction East;;;2;;;2
DLV Intensief Advies;;;1;1;;1
DLV Plant;;;4;;;4
DM executive services;;;1;;;1
DNV Det Norske Veritas;;;2;;;2
DNV GL (vh GL Garrad Hassan);;;2;;;2
Dokkumer Vlaggen;;;1;;;1
Domkerk Winkel;;;1;;;1
Door De Wind Advies;;;1;;;1
Douwe Egberts;;;2;;;2
Down To Earth;;;1;;;1
DPA Supply Chain (incl. Conink Consultants, Dpa Flex);4;;4;;;5
DPI Value Centre;;;1;;;1
Dr. M.J.L. Kik, dierenarts voor reptielen;;;1;;;1
Dr. O.D. Van Batenburg;;;1;;;1
Dr. van Haeringen Laboratorium;;;1;;;1
DR3 B.V.;;;1;;;1
Drecomm;;;2;;;2
Driebit;;;1;;;1
Drift Bureau;;;1;;;1
Drijver Bloemsierkunst;;;1;;;1
Driven By Values;;;2;;;2
Driving 4U;;;2;;;2
Droge & van Drimmelen;;;3;;;3
Ducares;;;1;;;1
Dudok (Horeca Exploitatie WWZ IV);;;1;;;1
Duisenberg School of Finance;;;2;;;2
Dun & Bradstreet;;;2;;;2
DunES Executive Support;;;2;;;2
Duok;;;3;;;3
Dutch Association Geothermal Operators (DAGO);;;2;;;2
Dutch Institute for Advance Logistics (Dinalog);;;2;;;2
Dutch Moldovan Business Council (DMBC);;;2;;;2
Dutch3M De Drie Musketiers;2;;;;;2
Duthler Associates;;;3;;;3
Duurzaam Vooruit;;;2;;;2
Duurzaamheid4all;;;2;;;2
D'Vijff Vlieghen Restaurant;;;1;;;1
E&E Advies (Van Werven Economische Ontwikkeling);;;2;;;2
E.J.M. Eggink Beheer B.V.;;;2;;;2
E.T.S.;;;1;;;1
E4S Consult B.V.;;;1;;;1
EBSCO Europe;;;1;;;1
E-CK Energie en Milieu;;;1;;;1
ECN Energieonderzoek Centrum Nederland;;;5;;;5
EcoChain Technologies  B.V.;;;2;;;2
Ecofys;;;5;;;5
Ecommany;;;1;;;1
Ecorys Nederland (incl. Ecorys-Kolpron);;;6;;;6
Ecospace;;;2;;;2
Ecovalue;;;1;;;1
EDC Environmental & Dredging Consultancy;;;2;;;2
Efectis Nederland;;;2;;;2
EGDAM B.V.;;;3;;;3
Eiffel Legal Center;3;;;;;3
Elannet B.V.;;;2;;;2
Elba Media;;;1;;;1
Element Advocaten;;;1;;;1
Elmekanic B.V.;;;1;;;1
Elzinga & Oterdoom Procesmanagement;;;1;;;1
Emma Communicatie;;;3;;;3
EMS Event Medical Service;;;1;;;1
Enclude B.V.;;;3;;;3
Endre Timar Journalist;;;2;;;2
Enerdeco;;;1;;;1
Energeia;;;1;;;1
Energiemedia;;;1;;;1
Energy Delta Institute Stg;;;3;;;3
Energy Engineering Solutions (EES) Holland B.V.;;;2;;;2
Energy Experts International;;;4;;;4
Energy Matters;;;2;;;2
EnergyGo;;;2;;;2
Engelsetrouwtaxi.com;;;1;;;1
Enhus Coaching & Training;;;2;;;2
Entocare C.V.;;;1;;;1
Entopic;;;2;;;2
Entry Technology Support;;;3;;;3
Environment, Product & Market (E.P.M.);;;1;;;1
Epro Consult;;;2;;;2
ERAC - European Regional Affairs Consultants;;;4;;;4
Eric Luiten;;;4;;;4
ERM Media;;;1;;;1
Ernst & Young;;;6;;;6
ERS Railways B.V.;;;2;;;2
Esther Wouters;;;1;;;1
ETC Editorial Services;;;1;;;1
Eurocon Management Consultants;;;1;;;1
Euromast;;;1;;;1
Eurotext Vertaalbureau;;;1;;;1
Evconsult;;;2;;;2
Evelien Nijeboer;;;1;;;1
Everest;;;4;;;4
Everts & De Vries Ecologisch Advies en Onderzoek;;;2;;;2
Everybody Likes Penguins;;;2;;;2
evhoppe;;;2;;;2
Evite Services;;;2;;;2
Exact Software, Online;;;2;;;2
Exlan Consultants;;;1;;;1
Experience;;;2;;;2
EYE Bar Restaurant;;;1;;;1
F.H.L. Maatschap Voor Communicatie;;;1;;;1
F.T. Tiegelaar;;;1;;;1
Fabrique Communicatie & Design;;;2;;;2
Favela Fabric;;;4;;;4
Feature Talent;;;1;;;1
Feest & Culinair;;;1;;;1
FEL Concepts B.V.;1;;;;;1
Femke Wouters Communicatie;;;1;;;1
Financieele Dagblad;;;1;;;1
Finco Management;;;2;;;2
Finnovare Foods Innovation & Rsearch;;;2;;;2
Five Spices;;;4;;;4
Fletcher Hotel Restaurant;;;1;;;1
Floor Oudshoorn;;;2;;;2
Flora Holland;;;2;;;2
Flow Resulting;;;3;;;3
Fluor Infrastructure;;;3;;;3
FMA;;;2;;;2
FMN Facility Management Nederland;;;1;;;1
Fon ten Thij Procesontwikkeling;;;3;;;3
Fondsenbeheer Nederland B.V.;;;2;;;2
Food & Biobased Research;;;3;;;3
Food Cabinet;;;3;;;3
Foodventures BV;;;2;;;2
Forestry Service Group;;;1;;;1
Fort Voordorp;;;2;;;2
Fortuin Instituut voor Sociale Gebiedsontwikkeling;;;1;;;1
Frank en Frens;;;2;;;2
Franke Interim Management;;;2;;;2
Fredeshiem Buitengoed;;;1;;;1
Freihov;;;2;;;2
FrieslandCampina Nederland;;;3;;;3
Frimout Music;;;1;;;1
Frits H. Emmerik Concept & Copy;;;1;;;1
Frugi Venta;;;1;;;1
Fruit voor School B.V.;;;3;;;3
Fruittelers Organisatie Nederland;;;2;;;2
Fryslân Foar De Wyn;;;2;;;2
FTN - Federatie Textielbeheer Nederland;;;2;;;2
Fugro (incl. EcoPlan, Aerial Mapping, Ingenieursbureau, Inpark);;;3;;;3
Fujitsu Technology Solutions (vh Fujitsu Siemens);2;;;;;2
FutureFood Chickpea;;;2;;;2
Futurevision;;;1;;;1
Futurewater;;;2;;;2
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;;4;;;4
Gaiapark Kerkrade Zoo;;;4;;;4
Galerie Hier;;;2;;;2
Gartner;4;;;;;4
Gasunie Engineering & Technology;;;2;;;2
Gem.schappelijke Reg. Werkorg. gem. D.E.A.L.;;;1;;;1
Gemeentemuseum den Haag;;;2;;;2
Gen Nederland;;;2;;;2
GeoControl;;;2;;;2
Geodan Holding;3;;;;;3
Geonius Geotechniek;;;2;;;2
Geonovum;;;1;;;1
GeoSpatie;;;2;;;2
Geveke plus (sloeponderhoud.nl);;;1;;;1
Gezondheidsdienst Voor Dieren;;;7;;;7
Gezondverkeer;;;3;;;3
GFK Group (incl. Panel Services, Intomart);;;4;;;4
GGN (incl. van Mastrigt & Partners, Tijhuis & Partners);;;1;;2;2
GH+O;;;2;;;2
Gielissen;;;6;;;6
Gilde Amersfoort;;;1;;;1
GiMaRIS;;;4;;;4
Glaswerk Gouda;;;1;;;1
Gloudemans Taxatie- en Adviesbureau;;;2;;;2
GMSP Sustainability;;;2;;;2
Go! Goodopportunity;;;2;;;2
Goeije Communicatie;;;1;;;1
Golden Tulip;;;2;;;2
Goud & Wijs;;;2;;;2
Graaf Bernstorff Hotel;;;1;;;1
Grant Thornton;;;3;;;3
Grapefish;;;1;;;1
Greenwish;;;3;;;3
GripNet (incl. Grip Multimedia);;;1;;;1
Groeisaam;;;2;;;2
Groeneveld Grand Cafe;;;1;;;1
Groenfonds St;;;1;;;1
Groningen Seaports;;;1;;;1
Grontmij;5;;7;;;7
Groupe De Bruges;;;2;;;2
GS Gresita;;;3;;;3
Gt Advies;;;2;;;2
Guido Ypenburg advies;;;1;;;1
Gusto Mangia E Bevi;;;1;;;1
Gyrinus Advies;;;1;;;1
H&S Adviesgroep;;;2;;;2
H.A. Luten, dierenarts;;;1;;;1
Haarlem Hydraulics;;;1;;;1
Hackwerk Advies;;;2;;;2
Haesje Claes Restaurant;;;1;;;1
Halm Schoolfruit B.V.;;;3;;;3
Hamers Beheer;;;1;;;1
Hampshire Hotel;;;2;;;2
Hanneke Mijnster - Handmade Stories;;;1;;;1
Hans Alders Procesregie & Advies;;;2;;;2
Hans Bouma Informatieve Communicatie;;;1;;;1
Hans Roggen Fotografie;;;1;;;1
Hans Vos Advies;;;1;;;1
Hansimprovisatie;;;1;;;1
Hapjes enzo;;;1;;;1
Happy Customers;;;1;;;1
Happy Meat;;;1;;;1
Harmelink Consulting & Projectmanagement;;;1;;;1
Harvey Nash;4;;;;;4
Has Hogeschool den Bosch;;;3;;;3
HAS Kennistransfer;;;2;;;2
Haseltine Lake LLP;;;1;;;1
HCP International;;;1;;;1
HCSS The Hague Centre for Strategic Studies;;;4;;;4
Headfirst;9;;7;;;9
Heij Financial Advisory;;;1;;;1
Heijkoop Beheer en Advies;;;1;;;1
Heinis Waterbeheer en Ecologie;;;1;;;1
Helder Verhaal;;;1;;;1
Henk Bouwmeester, Tekstschrijver;;;2;;;2
Hermess;;;3;;;3
Hesselink Consultancy;1;;;;;1
Het Groene Brein;;;3;;;3
Het Groninger Landschap Stg;;;1;;;1
Het Havengebouw Amsterdam;;;1;;;1
Het Huis Utrecht;;;1;;;1
Het Kookplein Kookschool en Lunchrestaurant;;;1;;;1
Het NIC - Nederlands Inkoop Centrum;;;2;;;2
Het Pleidooi/Lancee Café-Restaurant;;;1;;;1
Het Stormt;;;3;;;3
Het Venster in Waterland;;;1;;;1
Hettich Benelux;;;1;;;1
Hezelburcht;;;1;;;1
HIER Klimaatbureau;;;3;;;3
Hier Opgewekt Stg;;;2;;;2
Hilbrands Laboratorium B.V.;;;1;;;1
Hilhorst Grafische Vormgeving;;;1;;;1
Hilton;;;1;;;1
HKV Lijn in Water;;;2;;;2
HMC-Advies;;1;;;;1
Hocarest;;;1;;;1
Hoeve de Hulsdonk;;;1;;;1
Hof van Wageningen Hotel en Congrescentrum;;;1;;;1
Hoffmann Strategisch Risk Management;;;2;;;2
Hofker Hotel;;;1;;;1
Hogeschool van Utrecht;;;1;;;1
Hogeschool Zuyd;;;2;;;2
Hokra Below the Line;;;1;;;1
Holland Consulting Group;1;;;;;1
Holland Promotion;;;1;;;1
Holland Reklame en Standbouw;;;1;;;1
Holland Solar;;;2;;;2
Hollandse Meesters;;;1;;;1
Hoogstraat Productions;;;1;;;1
Horeca Adviescentrum HTC;;;1;;;1
Horizon Design en Development;;;1;;;1
Horvat & Partners;;;1;;;1
Host;;;2;;;2
Hotel De Valk;;;1;;;1
Hotel Steigenberger Kurhaus;;;4;;;4
Houtekamer coaching en begeleiding;;;2;;;2
HP Hewlett Packard (incl. Autonomy, Verity);1;;;;;1
HPVL Consult;;;2;;;2
HTA Software;;;2;;;2
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;;2;;;2
Huize Molenaar Cuisinier;;;1;;;1
Hulskamp Audiovisueel;;;1;;;1
Huna Pluimvee B.V.;;;1;;;1
Huygen Ingenieurs & Adviseurs B.V.;;;2;;;2
Huygen Installatie Adviseurs;;;1;;;1
Huygens Xc;;;1;;;1
Hygear Fuel Cell Systems;;;1;;;1
I2L, Instituut voor Innovatie en Leren;;;2;;;2
Ibg Advies/Kunstkamer;;;1;;;1
IBM (incl. Cognos);6;;;;;6
Ibou;1;;;;;1
IBR Instituut Voor Bouwrecht;;;2;;;2
ICC Ned., Ond. v. ICC, The World Bus. Organ.;;;1;;;1
ICM Holding;;;2;;;2
ID Consultancy;;;2;;;2
Id&Dn;;;2;;;2
IF Technology;;;2;;;2
Igo Post Internationale Geschenken Organisatie;;;1;;;1
IIW;;;2;;;2
IJB Groep;;;1;;;1
IJzersterk;;;1;;;1
Imagro;;;2;;;2
