Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6-ICT
Cisco Systems International (incl. Webex);;;;;;;1;1
Cit-Group;;;;;4;;;4
City Outdoor Signs (vh Citytec, Agmi Signsdirect);;;;;;3;;3
CIV Cooperatieve In- en Verkoopvereniging /Den Oever;;;;;;1;;1
CIV Cooperatieve In- en Verkoopvereniging Lauwerszee;;;;;;1;;1
CIVIEL TECHNISCH BUREAU HAAGLANDEN;;;;;;1;;1
CLIENT AUTOMATISERING B.V.;1;;;;2;;;2
Climber Benelux;;;;;2;;;2
Clockwise;;;;;1;1;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);2;;2;;6;1;;6
COGITATIO ADVIES;;;;;3;;;3
Combi Gas;;;;;;1;;1
Commanderie Catering;1;;;;;;;1
Company.Info;;;;;1;;;1
Comparex (incl. PC-Ware);5;;3;;8;6;;9
Compu'Train;2;;;;;;;2
Comsenso;;;;;;1;;1
CONFIGO MANAGEMENT B.V.;3;;;;;;;3
Conrad Electronic;;;1;;1;1;1;1
Coolblue - Pda Shops;;;;;;1;1;1
COOLWORKS;;;;;;1;;1
Coolworld Nederland;;1;;;;;;1
CORPORATE SERVICES GROUP;;;;;;;2;2
Corvers Procurement Services;2;;;;;;;2
Cosetec;;;;;;1;;1
CPI International;;;1;;;;;1
CRAYESTEIN GOLF;1;;;;;;;1
Creaim Gemnet;;;;;;1;;1
Creon Meldkamerinrichting;1;;;;;;;1
CSC Computer Sciences;6;;;;;1;;6
CTS Nederland;;;1;;;;;1
Cu4IT/S/M;;;;;1;1;;1
Cyclomedia Tech;;;;;2;;;2
Cytobuoy;;;2;;;;;2
D&F Consulting;4;;;;;;;4
Da Vinci Europe Laboratory Solution;;;1;;;1;;1
Darpo Reklame;;;;;;1;;1
DARWIN RECRUITMENT B.V.;1;;;;;;;1
DAT.Mobility (vh Goudappel, Omnitrans International);4;;1;;2;;;4
Data Display Ned;;;;;;4;;4
Dataweb Internetdiensten;;;;;1;;;1
Davilex Business;;;;;1;;;1
DCI Electronics;;;;;;2;;2
DDS Electronics Europe;;;;;;1;;1
DE BOVENVERDIEPING;1;;;;;;;1
De Haas Maassluis;;;;;;1;;1
De Jong en Zoon Beesd;;;;;;1;;1
De Lage Landen (incl. Trade Finance/Plantijn/Vendorlease/Oce Finance);;4;;;;;;4
De Lekkernij Utrecht;1;;;;;;;1
''''''DE LOODSEN'''''';2;;;;;;;2
De Rede van Batavia Haven;1;;;;;;;1
DE TELECOM ADVISEUR;;;;;;1;;1
DE ULEBELT;;;;;;1;;1
De Wilt Cyrox Groep;;;1;;;;;1
De Witte Raaf Hotel-Restaurant;1;;;;;;;1
DEEGE METAALFINISHING;;;;;;1;;1
Dell Computer;;;;;;1;;1
Deloitte Consulting;5;;;;2;6;;6
Delta Pi;2;;;;;;;2
Deltares;4;;;;1;;;4
Destil;1;;;;;;;1
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);3;;1;;1;6;;6
DETRON DATACENTER DIENSTEN;;;;;;2;;2
DGMR Raadgevend Ingenieurs (incl. Bouw, Industrie en Milieu, Software);2;;;;;;;2
DIALXS;1;;;;;;;1
Dijkstra Vereenigde;;;1;;;1;;1
DIR ACTIVITY;;;;;1;;;1
DMi Data Mining Innovators  (Vista Online);;;;;;1;;1
Dotka Software;;;;;1;;;1
Double Design;;;;;1;;;1
DOUBLESENSE;;;;;;2;;2
Dr. Hach Lange Nederland;;;;;;2;;2
Drager Safety & Medical;;;;;;1;;1
Dtv Consultants;;;;;2;;;2
Du Nord Rijwielen;;;;;;1;;1
DUDEGODIGO IT / MICHELANGELO;2;;;;;;;2
DUFACO BUSINESS CENTER;;;;;;;1;1
DULK EN ZONEN JAC DEN;;;;;;1;;1
Dunea (Duinwaterbedrijf Zuid-Holland);;;;;;1;;1
Dupa Veiligheidstechniek;;;;;;1;;1
Duursma W&O;;;;;;1;;1
DWI SYSTEMS B.V.;1;;;;;;;1
Dysi Software Innovations;4;;;;;;;4
E dynamics;;;;;;1;;1
Easy Comp B.V.;;;;;;1;;1
Ebo van Weel;;;;;;;1;1
Eco Services;2;;;;;;;2
Ecofide;;;1;;;;;1
ECOSYS;;;3;;2;;;3
Edwin Snulders Catering;1;;;;;;;1
Eet Holland;;;1;;;;;1
EGALIT COÖPERATIE;5;;;;;;;5
EHM Hotels (incl. Apollo Hotels & Resorts);1;;;;;;;1
EIGHT MEDIA;2;;;;;;;2
Eijkelkamp Agrisearch Equipment;;;;;;2;;2
Enable - U;1;;;;;;;1
Endinet;;;;;;1;;1
Endress en Hauser;;;1;;;;;1
ENORM RUITERMAN IJZERWAREN GEREEDSC;;;1;;;;;1
Enrise;;;;;;2;;2
Ensior;1;;;;;;;1
Enternext Communications;;;;;1;;;1
E-Office (incl. Work21);;;;;;2;;2
EP Tol;;;1;;;;;1
Epona Software Productions;;;;;;1;;1
Equinix;5;;;;;2;;5
Escape Challenge;1;;;;;;;1
Escape Mobility Company (vh H. van Leeuwen, van Leeuwen Companies, CURA Safety Solutions);;;;;;1;;1
Escrow Europa;1;;;;;;;1
E-Semble;;;;;2;;;2
Esprit Telecom (vh EspritXB);;;;;1;3;;3
Esra Intern Transport;;;;;;1;;1
Esri Nederland;3;;;;7;1;1;7
Essencia Communicatie;1;;;;;;;1
E-Storage;;;;;1;;;1
ETTU Portal Development;;;;;;2;;2
EUCHNER BENELUX;;;;;;2;;2
Eurofiber Nederland;2;;;;;;4;4
Eurofins C-Mark;2;;;;;;;2
Exact Software, Online;;;;;1;;1;1
Experian Nederland;;;;;;;1;1
Expert Shops Nederland;;;;;;1;;1
Exxellence Solutions;2;;;;;;;2
Fabory Nederland;;;;;;1;;1
Fabrique Communicatie & Design;2;;;;;1;;2
Facilitor Software;;;1;;2;2;;3
Faes Group;;;1;;;2;;2
Falck Group;1;;;;;;;1
Falkplan-Andes;4;;;;;;;4
Farnell Electronic Components;;;;;;1;;1
Fedex - Federal Express;;;;;;1;;1
FIJNMECHANISCHE TECHNIEK UTRECHT (F;;;;;;1;;1
FILELINX BENELUX;1;;;;;;;1
FILERADAR;2;;;;;;;2
FIRMA KLAAS KEPPEL;;;;;;1;;1
Fixet (incl. Grottendieck);;;;;;1;;1
Flash Services Nederland;;;;;;2;1;2
FLEXXER B.V.;2;;;;;;;2
For Conference;;;;;;;1;1
FOTO REMBRANDT MAASTRICHT B.V.;;;;;1;;;1
FOTOSTUDIO J. VAN HOUDT;;;1;;;;;1
Fox-IT, Crypto;1;;;;;2;;2
Frontier;;;;;1;;;1
Fugro (incl. EcoPlan, Aerial Mapping, Ingenieursbureau, Inpark);;;;;2;;;2
Fujitsu Technology Solutions (vh Fujitsu Siemens);4;;2;;;1;;4
FUNDAT@;;;1;;1;1;;1
G Willemse - De Nederlandse Provinc;;;;;;1;;1
GARAGE FAM. SCHELLENBOOM V.O.F.;;;;;;1;;1
GASTANK VERHUUR EDERVEEN;;;;;;1;;1
GECO VERHUUR EN VERKOOP;;1;;;;;;1
Gefelicitaart;1;;;;;;;1
Geka Bouw;;;;;;2;;2
Gemaco (vh Jos Premiums & Gifts);;;;;;1;;1
GENETICS;2;;;;;;;2
Geodan Holding;;;;;2;2;;3
GEOTAX VASTGOEDINFORMATIE;;;;;2;;;2
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;;;;;1;;1
Gilson International;;;1;;;;;1
Gjaltema Montage Bedrijf;;;;;;1;;1
GLOBECAT;1;;;;;;;1
GOBAR ADVISEURS;2;;;;1;;;2
GOEDINVORM GRAFISCHE PRODUCTIES B.V;;;;;1;;;1
Golfbaan Delfland (Schipluiden);1;;1;;;1;;1
GPO SOLUTIONS;1;;;;;;;1
Grassair Compressoren;;;;;;1;;1
GRIGNION HOLDING;2;;;;;;;2
Groeneveld;;;;;;2;;2
Grontmij;5;;;;4;1;;5
H Venema Technisch Bedrijf;;;2;;;;;2
H. De Vries Kärcher Center;;;;;;1;;1
Habo;;;;;;1;;1
Hartman Direct B.V.;;;1;;;;;1
Hatech Gasdectietech;;;;;;1;;1
HCR Wilhelmina;1;;;;;;;1
Hectas Bedrijfsdiensten;;;2;;;;;2
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);5;;;;;7;;7
Hero Detachering;;;;;;2;;2
Hesje Com;1;;;;;;;1
Hesselink Consultancy;;;;;1;;;1
Het Gesprek Restaurant;1;;;;;1;;1
HET GULDEN ABC;1;;;;;;;1
High Security International;1;;;;;;;1
HILLSAFETY;;;1;;;;;1
Hitt Holland Institute of Traffic Technology;2;;;;;;;2
Hobru Wegenonderhoud;;;;;;1;;1
Hoeflake Electrotech;;;;;;1;;1
Hoeven van der Scheepsreparatie;;;;;;1;;1
Holland Air Pumps;;;;;;1;;1
HOLLAND MARINE HARDWARE;1;;;;;;;1
HOOGWERKERVERHUUR VAN DER VOORT;;;;;;1;;1
Hoppinger;;;;;1;;1;1
HORST MIRJAM VAN DER PRODUCTIES;;;;;;1;;1
Hot Item Informatica;6;;;;3;;;6
HP Hewlett Packard (incl. Autonomy, Verity);2;;5;;7;;;7
HPR Techniek;;;;;;1;;1
HR Groep;;;;;;6;;6
HR Telecom;;;;;;;1;1
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;;;;;1;;1
Ibis Software (vh Brink Automatisering, KPD Automatisering);;;;;2;;;2
IBM (incl. Cognos);5;;;;7;2;;7
ICT Automatisering (vh Humiq);;;;;2;;;2
Idétrading Electronics;;;1;;;1;;1
IF Technology;;;;;3;;;3
IIR Institute For International Research;2;;;;;;;2
Ilionx Software Solutions;;;;;2;;;2
IMAGINE SOLUTIONS;;;;;;2;;2
Imares;;;1;;;;;1
Imtech (incl. Radio Holland, Bostec);2;;4;;3;2;;5
IN2DOCUMENTS;2;;;;3;;;3
INBUSINESS TELECOM;;;;;;;1;1
Incentro;;;;;1;;;1
Incognito Kledingverhuur;;;;;;1;;1
Indes-IDS B.V. - Indes Integrated;;;;;1;;;1
Infict;;;;;;2;;2
Infinite Simulation systems;;;;;2;;;2
Info Support;;;;;6;;;6
INFOMINDS;;;;;1;;;1
Infoplaza;;;;;1;;;1
Infoprojects;3;;;;4;;;4
Informaat;;;;;;2;;2
Informaxion;1;;;;;;;1
Infostrait;2;;;;2;;;3
Infotheek Groep;1;;1;;;;;1
Infram;1;;;;;;;1
INNOVACTORY INTERNATIONAL B.V.;1;;;;;;;1
Innovero Software Solutions (incl. FormDesk);;;;;1;1;;1
Inquest;2;;;;;;;2
Insight Enterprises Netherlands;;;;;1;;;1
Instrument Solutions;;;3;;;1;;3
INTER ACT INDUSTRIAL AUTOMATION;;;2;;2;;;2
Inter Visual Systems;2;;1;;;;;2
Interdata;;;;;1;1;;1
Intermax;;;1;;1;;;1
Intersafe Groeneveld;2;;;;;1;;2
Interscience;;;1;;;;;1
Intraffic;2;;4;;;;;4
Intragen;1;;;;;;;1
Intronics;1;;;;;1;;1
INTUS WORKFORCE SOLUTIONS;1;;2;;2;;;3
I-REAL;;;;;;1;;1
IRIS VISION;;;;;;1;;1
Iris-International;;;;;1;;;1
ISAH;1;;;;1;2;;2
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;;;;6;;6
IT Works;3;;;;;;;3
ITAQ Interim Professionals;3;;;;;5;;5
ITER FIDELIS;2;;;;;;;2
Itera;;;;;;2;;2
IV Groep (incl. Infra, Software, Oil&Gaz);;;;;2;;;2
IVIZI XL;;;;;;1;;1
iWelcome;;;;;3;;;3
JITSCALE B.V.;;;;;3;;;3
JOTRONICS;1;;;;;;;1
JT CHECKMADE;;;;;;1;;1
Jungheinrich Nederland;;;;;;1;;1
Kaal Masten;;;;;;1;;1
KÄRCHER CENTER RHOWAX B.V.;;;;;;1;;1
Kardex Systemen;;;;;;1;;1
Kemetyl Nederland;;;;;;1;;1
KEMO;;;;;;1;;1
Kienia B.V.;3;;;;;;;3
KILOBYTE SYSTEMS HOLDING;;;;;2;;;2
Kipp en Zonen;;;;;;1;;1
Kivi Niria Congresbureau;;;;;;1;;1
Kiwa Groep (incl. Gas Technology, Prismant, Certification);;;;;;1;;1
KLAVER INFRATECHNIEK B.V.;;;;;;1;;1
KLM;;;;;;;2;2
KNOWGISTICS HOLDING;2;;;;;;;2
Knowmax;;;;;2;;;2
KO HARTOG VERKEERSTECHNIEK;;;2;;1;;;2
Kodision;1;;;;2;;;2
Koenders Instruments;;;;;;1;;1
KommaGo (incl. Netwekshop.nl, Portofoon.nl, Headset.nl, Vergadertelefonie.nl, Routershop.nl, Wifishop.nl);1;;1;;;1;1;1
Kongsberg Defence & Aerospace, Maritime;;;;;;1;;1
Koning & Hartman;;;;;;1;;1
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;;;;;1;;1
Koninklijke Maatschap De Wilhelminapolder;;;;;;1;;1
Koninklijke Visio;5;;;;1;1;;5
Koudasfalt Van den Broek Heteren;;;;;;1;;1
KPMG;5;;;;1;;;5
KPN (incl. Getronics, PTT Telecom);7;;7;;6;5;3;8
KPN Lokale Overheid (vh Gemnet);;;;;2;1;;2
Kragten;1;;;;;;;1
KVSA van Halverhout & Zwart en Zurmühlen;;;;;1;;;1
KWR Water;;;2;;;;;2
Laboratorium Apparatuur Wijkstra;;;2;;;;;2
Landustrie Sneek;;;;;;1;;1
LBVD informatiebeveiligers;3;;;;;;;3
LCS Systems;1;;;;;;;1
Leaseplan Nederland;;;;;1;;;1
Leica Microsystems & Geosystems;;;1;;;;;1
LGS Laboratory Glass Specialists;;;1;;;;;1
Liander;;;;;;1;;1
LIBRT;2;;;;;;;2
LicenseConsult;1;;;;2;;;2
LIEVENS COMMUNICATIE;2;;;;;;;2
Linde Gas (incl. Cryoservice en Therapeutics);;;2;;;1;;2
LNR Global Com;;;;;1;;;1
Logi Label;1;;1;;;;;1
Login Consultants Nederland;2;;;;;;;2
LPS Laboratory and Process Services;;;1;;;1;;1
LRE Weegtechniek;;;;;;1;;1
Luyt Machinefabriek;;;;;;1;;1
M&I Partners;;;;;2;;;2
Maas Energy Systems B.V.;;;;;;1;;1
MAATSCHAP TEN CATE-SCHURER;;;;;;1;;1
MAATSCHAP WISMEIJER- STELLING;;;;;;1;;1
MacArtney;;;;;;1;;1
MAGIC HANDS;;;;;1;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;1;;;;;1
Manpower (incl. TVcN Tolk- en Vertaalcentrum Nederland);2;;;;;;;2
Manutan (vh Overtoom International);;;1;;;1;;1
MaraSoft;;;;;2;;;2
MARITIEM SERVICE CENTER A. BRAND B.;;;;;;1;;1
Markus Aannemingsmaatschappij;;;;;;1;;1
Master IT;;;;;1;;;1
MATTHIJS INDUSTRIAL SUPPLIES;;;1;;;;;1
Mavim Holding;;;;;;1;;1
ME Design & Safety;;;;;;1;;1
MECHANISATIEBEDRIJF TIJMS V.O.F.;;;;;;1;;1
Meeting Plaza;;;;;;1;;1
Meetpapier;;;;;;1;;1
Melles Griot;;;;;;1;;1
Mennens;;;;;;1;;1
Mercure Hotels;1;;;;;;;1
MERKATOR;1;;;;;;;1
METAALBEWERKINGSBEDRIJF WEGGEMANS B;;;;;;1;;1
METORX;;;2;;;;;2
Metri Group;2;;;;;;;2
Metrohm Applikon;;;1;;;1;;1
METT;1;;;;;;;1
Mettrop Kantoorvakhandel;;;;;;1;;1
MICRO ELEKTRONISCHE PRODUCTEN;3;;;;;;;3
Microlan;;;1;;;;;1
Miele;;;1;;;;;1
MII;;;;;;1;;1
Misco Nederland;;;1;;;1;;1
Misco Solutions (vh SCC Services);2;;4;;4;5;;6
Mitutoyo Nederland;;;;;;1;;1
MK Partners;3;;;;;;;3
MNO Vervat Grond-Weg- en Waterbouw;;;;;;1;;1
Modelec Data-Industrie;;;1;;;2;;2
More Turn International;;;;;1;;;1
Movares Nederland;2;;;;;1;;2
Mparts (vh Systomatic);;;;;;1;;1
MSA Nederland;;;;;;1;;1
Mulder-Hardenberg;;;;;;1;;1
MULTRIX BENELUX;;;;;;;2;2
Munters Nederland;;;;;;1;;1
Mur Conditioning;;;;;;1;;1
MUZA HOLDING B.V.;2;;;;;;;2
MyMicro Group (incl. ReplaceDirect);;;1;;;;;1
NAK Nederlandse Algemene Kwaliteitsdienst Tuinbouw;;;;;;1;;1
National Instruments;;;;;1;;;1
Nazca IT Solutions;1;;;;3;;;3
NBC - Nieuwegeins Business Center, De Blokhoeve, Exploitatie;1;;;;;;;1
NBTC-NIPO Research;;;;;2;;;2
Nedap Ideas;;2;;;;;;2
NEDBASE ICT;2;;;;2;;;2
Nedgraphics;;;;;4;1;;4
NESMA Ned. Software metrieken Gebruikers ass.;1;;;;;;;1
Nestle Waters Direct (incl. Nutrition, Aqua System);;;;;;1;;1
Net Ground;;;;;;1;;1
Nextiraone Nederland;;;;;;1;1;2
NFGD Audiovisuele Technieken;;;;;;1;;1
Nic Best Deal;;;1;;;;;1
Nines;;;;;;1;;1
Novagraaf Nederland;;;;;1;;;1
Novi Verkeersacademie;;;;;;1;;1
NPSP Composieten;;;;;;3;;3
Nspyre;4;;;;;;;4
Nykampnyboer;;;;;;1;;1
Obsermet;;;;;;2;;2
OBUS GROUP DE;1;;;;;;;1
OCS CONSULTING;1;;;;;;;1
ODINK & KOENDERINK;;;;;;1;;1
ODS;;;;;;1;;1
OGH Oracle Gebruikersclub Holland;1;;;;;;;1
Ogone (incl. Ingenico);;;;;;1;;1
Olympus;;;1;;;;;1
Omnivision;;;;;1;;;1
On Board On Shore;1;;;;;;;1
One Shoe;;;;;;2;;2
Opatel open ateliers;;;1;;;;;1
OpenGeoGroep;2;;;;;;;2
Oracle;;;;;7;;;7
Ordina (incl. Be Value, Clockwork);7;;;;7;7;;7
Oryon KMD;;;;;;2;;2
Oudaen Stadskasteel;;;;;;1;;1
Outline Consultancy;;;;;;1;;1
Outpost24;1;;;;;;;1
OV Software;5;;;;;;;5
P M F MACHINEFABRIEK BERGUM;;;;;;7;;7
Pacer Logística De Entregas;2;;;;;;;2
Partycentrum Open Huis;;;1;;;;;1
Peek Traffic;;;7;;;;;7
Peinemann Heftrucks;;;;;;1;;1
PHOENIX CONTACT B.V.;;;;;;1;;1
PILZ Nederland;4;;;;;1;;4
Pine Digital Security;;;;;;1;;1
PLAZA PRODUCTIONS;;;;;1;1;1;1
Plus Power Group (Qualitylamps, VervangJeLamp);;;1;;;;;1
PM Komponenten;;;;;;1;;1
Pol.nl Wegbebakening, Bewegwijzering, Politietechniek;;;;;;2;;2
Post technische groothandel;;;;;;1;;1
Postcode.nl;1;;;;;;;1
Powertec Diesel Services;;;;;;1;;1
PQR;3;;;;;;;3
PREBASE DEVELOPMENT;;;;;;1;;1
PRINSEN THODN FIXET PRINSEN;;;;;;1;;1
Priority Telecom Netherlands;1;;;;;1;;1
Probus Consulting Group;3;;;;;;;3
PRODICOM;2;;;;4;;;4
PROFESSIONAL TESTING;1;;;;;;;1
Proteon Communication Builders;;;;;;1;1;1
Protinus It;6;5;4;1;2;4;4;7
Prowareness Group iSense;1;;;;;;;1
PW Consulting;2;;;;;;;2
PWN Waterleidingbedrijf Noord-Holland;;;;;;1;;1
PYTON COMM SERVICES;;;;;1;;;1
Qi Ict;;;2;;;;;2
QNH Consulting Noord;;;;;;2;2;2
Qolor;2;;;;;;;2
Qpit;3;;;;;;;3
QPS Quality Position Services;1;;1;;4;1;;4
Quovadis Trustlink;;;;;;1;;1
Ram Mobile Data;2;;;;;;;2
Randstad Group (incl. Tempo Team, P/Flex);2;;;;;;;2
Rapenburg Plaza;;;;;;1;;1
RB & H MEDIAPROJECTEN;;;;;;1;;1
RECHTSDRAAIENDE ORGANISATIE;3;;;;;;;3
RedNose Ict Training en Advies;1;;2;;;;;2
Relatics;2;;;;2;;;3
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;2;;;;;2
Repromat;;;2;;;;;2
Retsoft;;;;;1;;;1
Rexel Nederland;;;;;;1;;1
Rhoon Verkeers Management Centrale;4;;;;;;;4
Ricoh Groep (incl. Nashuatec, NRG);;;;;1;;;1
Ripe Ncc;1;;;;;;;1
Rittal;;;;;;1;;1
Rontgen Technische Dienst;;;1;;;1;;1
Roodbeen (Jongensboek);;;1;;;;;1
RoosRoos Uitgevers;1;;;;;;;1
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);2;;;;;;;2
RS Components;;;1;;;1;;1
Rubox;;;1;;;;;1
Sabel Communicatie;2;;;;;;;2
Safety Masters;;;;;;1;;1
Salm en Kipp;;;1;;;;;1
Salomon's metalen;;;;;;1;;1
Saltrans;;;;;;1;;1
SAP Nederland;;;;;7;;;7
SAPA PROFILES NL;;;;;;4;;4
Sas Institute;4;;;;;;;4
Satfa (Vsat);;;;;;;4;4
SBC SOLUTIONS;3;;;;;;;3
SBRCURnet Stg Bouwresearch;1;;;;1;;;2
SCHEEPSB ADV REK CENTR SARC;;;;;1;;;1
SCHEPENS T AUTOBEDRIJF;;;;;;1;;1
Scholten Awater & Partners;6;;1;;4;2;;7
SCIA NEDERLAND;;;;;2;;;2
Scorpion Nederland;;;;;;1;;1
SDL Tridion;;;1;;;;;1
SENET EINDHOVEN;;;;;1;;;1
Sense Organisatie & Coaching;1;;;;;;;1
