Leverancier;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Advocatenkantoor mr. A.J. van de Rakt B.V.;;;;;;;1;1
Advocatenkantoor Steenbrink;;;1;;;;;1
Advocatenkantoor Thomas van Dijk B.V.;;;1;;;;;1
Advocatenkantoor Van der Woning;;;;;;;1;1
Advocatenpraktijk Prins;;;1;;;;;1
Advokatenkollektief Rotterdam B.V.;;;1;;;;;1
AED Solutions B.V.;;1;;;;;;1
Aegis Advocaten Noord B.V.;;;1;;;;;1
Aenova B.V.;;;;;1;;;1
AEROCOOPE;;;;;;;1;1
AEVES B.V.;;;;1;;;;1
AG Staffing & Development;;;;;1;;;1
Agathon Coaching & Loopbaanadvies V.O.F.;;;;;2;;;2
Agathos M&O;;;;;5;;;5
Agile Scrum Group B.V.;;;;;1;;;1
Agnes Wijma Coaching;;;;;1;;;1
Agrip Advies;;;1;;;;;1
Ahcs;;;;;1;;;1
Aidsfonds;;;;;1;;;1
Aiki Coaching;;;;;1;;;1
Aiki-Training;;;1;;1;;;1
AIVP R.K. Snijder;;;;;;;1;1
AKD N.V.;;;;;;;1;1
Akkermans Leisure & Golf;;;1;;;;;1
Akoestiek Comfort B.V.;;2;;;;;;2
Akousate;;;1;;;;;1
Akropolis;;;;;;;;
Aktief Overijssel B.V.;;;1;;;;;1
AL HAYAT restaurant;;;1;;;;1;1
Al Mundo;;;;;;;1;1
Alamori Catering;;;;;;;1;1
Alavanca;;;;;;;1;1
Albert Heijn B.V.;;;1;;;;;1
Albertema Peize Partyservice;;;1;;;;1;1
Albert-Schweitzergroep - Scouts Troep;;1;1;;;;;1
Albron CP Nederland B.V.;;;;;;;1;1
Albron Nederland B.V.;;1;1;;1;;1;2
Albus Bakboord B.V.;;;;;;;1;1
Aldeneikerhof;;;;;;;1;1
Alert Promotie;;;1;;;;;1
Aletrino Mediations;;;;;1;;;1
Aletta Vlaardingerbroek;;;;;;;1;1
Alex Aalders Bloemist;;;1;;;;;1
Alex Boon;;;;1;;;;1
Alexander Hotel B.V.;;;;;1;;;1
Alfa Omnia;;;;;;;1;1
Alfa-college, locatie Leek;;;1;;1;;1;1
ALFACONTROL B.V.;;;;;1;;;1
Alfred's Holding B.V.;;;;;;;1;1
Alho- Events;;;2;;;;;2
Aliquis;;;;;;;2;2
All-4-Music Events;;;1;;;;;1
Allekabels B.V.;;;1;;;;;1
Allgifts.nl B.V.;;;1;;;;;1
Allianz Global Assistance;;;;;;;;
Allium;;;;;1;;;1
Allkoestiek B.V.;;1;;;;;;1
All-round Catering Service Hapjesgigant M & M;;;1;;;;;1
Allround DJ Service;;;1;;;;;1
AlmaMedia;;;;;1;;;1
Almere Business Center B.V.;;;;;;;1;1
Almusica;;;1;;;;;1
Alpha Tours Hem B.V.;;;1;;;;;1
Alphen aan den Rijn Taxi Service;;;;;;;1;1
Altaee Training & Tolken;;;;;;;1;1
altijdhr B.V.;;;;2;;;;2
Amaze Escape Events;;;1;;;;1;1
Amazing Bread Company B.V.;;;;;;;2;2
Ambachtelijke Chocolade Enzo;;;1;;;;;1
Ambachtelijke Slagerij van Elten;;;;;;;1;1
Ambitious;;;1;;;;1;1
Ambius B.V.;;;;;;;;
Ambulance Amsterdam B.V.;;;1;;;;;1
Ambulance Oost locatie Almelo;;;;;1;;;1
Ameland Adventure;;;1;;1;;;1
American Roadhouse B.V.;;;1;;;;;1
Amerik Horeca Exploitatie B.V.;;;;;;;1;1
Amero B.V.;;;1;;;;;1
Amerpodia B.V.;;;;;1;;;1
Amethist Developing People B.V.;;;;;1;;;1
Amice Opleidingscentrum B.V.;;;;;1;;;1
Amler B.V.;;;;;;;1;1
Amplixs Interaction Management B.V.;;;;;1;;;1
Amplooi;;1;1;;1;;;2
Amstelparkrestaurant Rosarium B.V.;;;;;2;;;2
Amstelplein 4 B.V.;;;1;;;;;1
Amsterdam Boat Experience B.V.;;;1;;;;;1
Amsterdam Boats B.V.;;;1;;;;;1
Amsterdam Crusaders;;;1;;;;;1
Amsterdam Experience;;;1;;;;;1
Amsterdam Film School B.V.;;;;;1;;;1
Amsterdam Hospitality Development II B.V.;;;;;;;1;1
Amsterdam School of Real Estate B.V.;;;;;1;;;1
Amsterdam Underground Coöperatie UA;;;1;;;;;1
Amsterdams ADR Instituut B.V.;;;;;2;;;2
Anaguía;;;;;1;;;1
Anahata Personal Coaching;;;;;1;;;1
Ana's Kuzin;;;;;1;;;1
Ancher Training en Coaching;;;;;2;;;2
Andalus Fish;;;;;;;1;1
AndereStart;;;;;5;;;5
Andersson Elffers Felix;;;;;2;;;2
Anderzzz;;;1;;;;;1
Andija B.V.;;;;;1;;;1
Andre Kerstens B.V.;;;1;;;;;1
Andrea Saes;;;;;2;;1;2
Angela Wijers Trainingen;;;;;2;;;2
ANIMoACT;;;;;1;;;1
Anita Hubner Msc - Stigmareduction & Mental Health Consultancy;;;;;;;1;1
Anje-Marijcke van Boxtel;;;;;1;;;1
Anker Boten B.V.;;;1;;;;;1
Ankerslot B.V.;;1;;;;;;1
Annage Skutsjesilen;;;;;1;;;1
Annage Skûtsjesilen;;;1;;;;;1
Anne Boermans Coaching en Counseling;;;;;1;;;1
Anne van Dijk;;1;;;;;;1
Anne van Weeghel Training & Coaching;;;;;1;;;1
Anne-Greet W. van Rootselaar;;;;;;;1;1
Annelies Straub Konsult;;;;;1;;;1
Annemarie Wijnbergen, coaching, Train. & Med.;;;;;;;1;1
Annemarijn Training & Coaching;;;;;1;;;1
Annemiek van Dongen trainingen;;;;;;;1;1
Anniek Bakker;;;;;1;;;1
Annyta Lolyta;;;;;;;1;1
Anoek.nu;;;;;1;;;1
anoniem_JenV_1112;;;;;;;1;1
anoniem_JenV_2223;;;;;;;1;1
anoniem_JenV_3334;;;;;;;1;1
anoniem_JenV_4445;;;;;;;1;1
anoniem_JenV_5556;;;;;;;1;1
anoniem_JenV_6030;;;;;;;1;1
anoniem_JenV_6031;;;;;;;1;1
anoniem_JenV_6039;;;;;;;1;1
anoniem_JenV_6040;;;;;;;1;1
anoniem_JenV_6041;;;1;;;;1;1
anoniem_JenV_6042;;;;;;;1;1
anoniem_JenV_6043;;;;;;;1;1
anoniem_JenV_6044;;;1;;;;;1
anoniem_JenV_6045;;;;;;;1;1
anoniem_JenV_6047;;;;;;;1;1
anoniem_JenV_6048;;;;;;;1;1
anoniem_JenV_6049;;;;;;;1;1
anoniem_JenV_6050;;;;;;;1;1
anoniem_JenV_6051;;;1;;;;1;1
anoniem_JenV_6052;;;;;;;1;1
anoniem_JenV_6053;;;;;;;1;1
anoniem_JenV_6054;;;;;1;;1;1
anoniem_JenV_6055;;;;;;;1;1
anoniem_JenV_6056;;;;;;;1;1
anoniem_JenV_6058;;;;;;;1;1
anoniem_JenV_6059;;;;;1;;1;1
anoniem_JenV_6060;;;;;;;1;1
anoniem_JenV_6061;;;;;;;1;1
anoniem_JenV_6062;;;;;;;1;1
anoniem_JenV_6063;;;1;;;;1;1
anoniem_JenV_6064;;;1;;;;;1
anoniem_JenV_6065;;;;;;;1;1
anoniem_JenV_6066;;;;;;;1;1
anoniem_JenV_6067;;;;;;;1;1
anoniem_JenV_6069;;;;;;;1;1
anoniem_JenV_6070;;;1;;;;;1
anoniem_JenV_6071;;;;;;;1;1
anoniem_JenV_6072;;;1;;;;;1
anoniem_JenV_6073;;;;;;;1;1
anoniem_JenV_6074;;;;;;;1;1
anoniem_JenV_6075;;;;;;;1;1
anoniem_JenV_6096;;;;;;;1;1
anoniem_JenV_6097;;;;;;;1;1
anoniem_JenV_6098;;;;;;;1;1
anoniem_JenV_6099;;;;;;;1;1
anoniem_JenV_6107;;;;;1;;1;1
anoniem_JenV_6108;;;;;;;1;1
Anthea Training & Coaching;;;;;3;;;3
Antje van de Statie B.V.;;;;;;;1;1
ANWB B.V.;;;1;;;;;1
ANWB-Rijopleiding;;;;;1;;;1
AOG Contractonderwijs B.V.;;;;;4;;;4
Aon Global Risk Consulting B.V.;;;;;2;;;2
APCOA Parking Nederland B.V.;;;;;;;1;1
APG Service Partners B.V.;;;2;;3;;;3
Apollo13;;;;;1;;;1
Apozem B.V.;;;;;1;;;1
Appelhof Bedrijfsfysiotherapie;;1;;;;;;1
Appelscha-Outdoor;;;;;1;;;1
Applaus B.V.;;;;;;;1;1
Applied AI;;;;;1;;;1
Apport Hondesport;;;;;1;;;1
Apricot;;;;;;;1;1
Aqua Sailing Business Events;;;1;;;;;1
Aquarius Praktijk;;;;;1;;;1
AR Citygame B.V.;;;1;;;;1;1
AR Updates B.V.;;;;;1;;;1
Arabisch Tolk & Communicaties;;;;;;;1;1
ARAG SE Nederland;;;1;;;;;1
ARAM Academy B.V.;;;;;1;;;1
Arb.psych. Adv.bureau J.J. van den Broek B.V.;;1;2;;1;;;2
Arbeidspsychologen Midden Nederland;;;;;1;;;1
Arbeidspsychologisch Advies (APA) B.V.;;;1;;;;;1
Arbies Beachhouse B.V.;;;1;;;;;1
Arbitrage Wassenaar;;;1;;;;1;1
ARBO centrum;;;;;1;;;1
Arbo Unie B.V.;;4;1;;1;;;4
ArboNed B.V.;;;;;1;;;1
ArboVitale B.V.;;1;;;;;;1
Architectuurcentrum Aorta;;;;;1;;;1
Ardis Opleidingen B.V.;;;;;4;;;4
Ardis Organisatieontwikkeling B.V.;;;;;3;;1;3
Arehbo (Service & Advies);;;;;1;;;1
ArendSmits;;;;;2;;;2
Argentijns Grill Restaurant Rancho Bravo;;;;;;;1;1
Arjan Erkel Advies;;;;;1;;;1
Arjan&;;;;;1;;;1
Arjen Banach Company;;;;;1;;;1
Arkiva Horeca B.V.;;;1;;;;1;1
Arnauld Geschenken B.V.;;;2;;;;;2
Arne Vissers Beheer B.V.;;;;;;;1;1
Arnhemse Taxi Service;;;1;;;;1;1
Arnold Roos;;;;;2;;;2
AroundTown;;;1;;;;;1
ARQ IVP B.V.;;3;3;;3;;;4
Array Media B.V.;;;;;1;;;1
Arro Tentverhuur;;;;;;1;;1
ARSAMIRO Rotterdam B.V.;;;;;;;1;1
Arsenaal 1824 B.V.;;;1;;;;;1
Art Hotel Eindhoven;;;;;;;1;1
Art of Events;;;1;;;;;1
Art of Movement;;;;;1;;;1
ART2ART;;;;;1;;;1
Artemas Coöperatie UA;;;;;1;;;1
Arthotel Amsterdam B.V.;;;;;;;1;1
Artiestenbureau van Otterloo B.V.;;;1;;;;;1
Artiestenverloningen B.V.;;;1;;;;;1
Artige B.V.;;;1;;;;;1
Artihove Regina B.V.;;;1;;;;;1
Artizani;;;1;;;;;1
Artpub B.V.;;;1;;;;;1
ARTS of Lecadre AS3;;;1;;;;;1
Artsenpraktijkvoorziening Oostvoorne B.V.;;;;;;;1;1
arvato Finance B.V.;;;1;;;;;1
AS 21 B.V.;;;;;;;1;1
Asana Trainingen;;;1;;;;;1
ASBR HR Solutions B.V.;;;;4;;;;4
Ascender B.V.;;;1;;;;;1
Ascom (Nederland) B.V.;;;;;2;;;2
Asessor B.V.;;;;;1;;;1
Asian Glories B.V.;;;;;;;1;1
Asmani Project Management;;;;;3;;;3
Assyrtiko B.V.;;;1;;;;;1
Astare B.V.;;;;;;;1;1
Astrid van Assen, Prakt. v. Zang & Stemcoach.;;;1;;;;;1
At Noon Breda B.V.;;;;;;;1;1
ATA Tech B.V.;;;1;;;;;1
Atal' Tolk-Vertaalbureau;;;;;;;2;2
Atelier de Pleijsterplaats;;;1;;1;;;1
Atelier Dennis;;;;;1;;;1
Atelier DroomVilt;;;;;1;;;1
Atelier Henk de Bouter;;;1;;;;;1
Athenas B.V.;;;;;;;;
Athene Palace B.V.;;;;;;;1;1
Athene Palace Den Haag B.V.;;;;;;;1;1
Atlantic Hotel Exploitatie B.V.;;;;;2;;;2
Atlantis Almere B.V.;;;1;;;;1;1
Atlas Reizen B.V.;;;;;;;1;1
Atos Nederland B.V.;;;;1;2;;;2
Attractiepark en Camping Duinrell B.V.;;;1;;;;;1
Attractiepark Toverland;;;2;;;;;2
Auberge de Veste;;;;;;;1;1
Audio Video Wolbers;;;;1;;;;1
Augeo academy B.V.;;;;;1;;;1
Augie;;;;;;;;
August;;;1;;;;1;1
Augustijnen Kerk Maastricht;;;2;;;;;2
Auke Smits Publiciteit B.V.;;;;2;;;;2
Aukje Bakker;;;;;1;;;1
Aukje Reinders Coaching, Supervisie en Train.;;;;;1;;;1
Aula Smilde;;;;;1;;;1
Auri Signum Mani;;;;;1;;;1
Aurora Online B.V.;;;1;;;;;1
Authentic Outdoor B.V.;;;1;;;;;1
Autismeacademie Nederland;;;;;1;;;1
Autobedrijf Wessels Dedemsvaart B.V.;;;;;;;1;1
Automotive Publishing B.V.;;;;;1;;;1
Autorijschool Bruinsma B.V.;;;;;1;;;1
Auto-Taxi Zenuni Sacir;;;;;;;1;1
Autoverhuur Abbink B.V.;;;;;;;1;1
Autoverhuur Bultman B.V.;;;;;;;1;1
AV Bloemsierkunst;;;1;;;;;1
AV Partners;;;1;;;;;1
Avans Hogeschool B.V.;;;;;2;;;2
Avans Hogeschool MB B.V.;;;;;1;;;1
Avanteers;;;;;2;;;2
Avetica B.V.;;;;;2;;;2
AVK Training & Coaching;;;1;;2;;;2
AVS Mens en Werk;;1;;;;;;1
Aware Online;;;;;1;;;1
aware4youth;;;;;1;;;1
A-Way Events & Wellness B.V.;;;1;;;;;1
AWVN;;;1;;;;;1
Axiell ALM Netherlands B.V.;;;;;1;;;1
Axis into Management B.V.;;;;;1;;;1
Axle B.V.;;;;;4;;;4
AXVECO B.V.;;;;;2;;;2
Ayers Rock Island B.V.;;1;;;;;;1
Ayla B.V.;;;1;;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;;;;;1;1
Azizzada;;;;;;;2;2
B & T Expo Consultants;;;2;;;;;2
B & T Productions;;;1;;;;;1
B & V Bedrijfshulpverlening B.V.;;;;;1;;;1
B mobility;;;;;;;1;1
B&S Rental Service B.V.;;1;;;;;;1
B. de Metz;;;;;;;1;1
B.A.S. Concepts B.V.;;;;;;;1;1
B.C. van den Adel Beheer B.V.;;;2;;;;;2
B.E.A.C.H. B.V.;;;1;;;;1;1
B.H. Gotink;;;;;;;1;1
B.J. Bontekoe;;;1;;;;;1
B.V. De Vooruitgang;;;;;;;1;1
B.V. Het Refter;;;1;;;;1;1
B.V. Houdstermaatschappij Gebr. W.G. en G.W. Geeve;;;;;;;1;1
B.V. Inuk;;;;;;;1;1
B.V. Le Souk d'Orient;;;1;;;;;1
B.V. Panorama Mesdag;;;1;;;;;1
B.V. Princeville Exploitatie;;;;;1;;1;1
B.V. Rederij G. Doeksen en Zonen;;;1;;;;;1
B+B Vakmedianet B.V.;;;;;4;;;4
BA van Doorn B.V.;;;;;;;1;1
Baat accountants en adviseurs;;;1;;;;;1
BAB TOUMA B.V.;;;;;;;1;1
Babs Asselbergs;;;;;1;;;1
Babycompany.nl;;;1;;;;;1
Babylon B.V.;;;1;;;;1;1
Backshop B.V.;;1;;;;;;1
Bad Monkey;;;;;;;1;1
Bad News B.V.;;;;;1;;;1
Badhu B.V.;;;;;;;1;1
BAG Office B.V.;;;;;1;;;1
Bagatelle Petit Restaurant Bar;;;;;;;1;1
Bagels & Beans IJburg;;;;1;;;;1
Baker Tilly Berk Eindhoven;;;;;;;;
Bakery Cafe Kottier;;;1;;;;;1
Bakker & Schnabel B.V.;;;;;;;1;1
Bakker Derks 'Der Deutsche Backer';;;;;;;1;1
Bakker Dick Wanningen;;;1;;;;;1
Bakker Jeroen;;;1;;;;;1
Bakker Klink;;;1;;;;;1
Bakker Toet B.V.;;;;;;;1;1
Bakker Travel B.V.;;;1;;;;;1
Bakkerij Beukeveld B.V.;;;;;;;1;1
Bakkerij Bongaards V.O.F.;;;1;;;1;1;1
Bakkerij Braam;;;1;;;;;1
Bakkerij C.J. van Kempen;;;1;;;;;1
Bakkerij de Havenzathe B.V.;;;;;;;1;1
Bakkerij De Lekkerbek B.V.;;;1;;;;;1
Bakkerij Deterd B.V.;;;1;;;;;1
Bakkerij Ercan;;;1;;;;;1
Bakkerij Gommans B.V.;;;;;;;1;1
Bakkerij Hilvers B.V.;;;1;;;;;1
Bakkerij Jos Rood B.V.;;;1;;;;;1
Bakkerij Koppejan B.V.;;;1;;;;;1
Bakkerij Lubbers;;;;;;;1;1
Bakkerij Oegema;;;1;;;;1;1
Bakkerij Pots;;;1;;;;;1
Bakkerij 't Zand B.V.;;;;;;;1;1
Bakkerij Timmer;;;;;;;1;1
Bakkie Fietsen B.V.;;;1;;;;;1
Bakx & Meijer B.V.;;;2;;;;1;2
Balabanova B.V.;;;;;1;;;1
Balans & Impuls B.V.;;1;1;;2;;;2
Balans & Motivatie;;;;;;;1;1
Balans in jezelf Arnhem;;;1;;;;;1
Balans in zicht voor jou;;1;;;;;;1
Balanzs Den Haag B.V.;;1;1;;;;;1
Balkan Grill Boro;;;;;;;1;1
Balkan Grill Restaurant;;;;;;;1;1
Balkan Restaurant Makedonia;;;;;;;1;1
Balkangrill;;;;;;;1;1
Ballaró Ristorante Italiano;;;1;;;;;1
Balls and Arrows;;;1;;;;;1
Bally's Bowling;;;1;;;;;1
BAM Bouw en Techniek regio Zuidwest;;;2;;;;;2
Banfi B.V.;;;;;;;1;1
Banka Hattem B.V.;;;;;;;1;1
Banketbakkerij A.H.E. van der Breggen;;;1;;;;;1
Banketbakkerij Arnold Cornelis B.V.;;;1;;;;;1
Banketbakkerij Boheemen;;1;1;;1;;1;1
Banketbakkerij Burgt;;;1;;;;;1
Banketbakkerij Cees Blom;;;1;;;;;1
Banketbakkerij Dorgelo;;;1;;;;;1
Banketbakkerij Gosselaar;;;1;;;;;1
Banketbakkerij Herfst;;;1;;;;;1
Banketbakkerij Jan de Groot;;;1;;;;1;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;1;1
Banketbakkerij Maison Pierre;;;1;;;;;1
Banketbakkerij Nijstad;;;1;;;;;1
Banketbakkerij Salverda;;;1;;;;;1
Banketbakkerij Steentjes V.O.F.;;;1;;;;;1
Banketbakkerij Stevers B.V.;;;1;;;;;1
Banketbakkerij Tamminga en Verwey;;;1;;;;;1
Banketbakkerij Teunissen;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;1;;;;1;1
Banketbakkerij van Beek & Specker B.V.;;;2;;;;1;2
Banketbakkerij van Dijk;;;1;;;;1;2
Banketbakkerij Vlaar B.V.;;;1;;;;1;1
Banketbakkerij-Salon De Thee 'Christiaan';;;1;;;;;1
Banning N.V.;;;;;;;1;1
Bannink Coaching & Consultancy;;;;;1;;;1
Bap Boumans Bedrijfstraining, Actie en Perf.;;;;;;;1;1
Bar Bistro De Twee Heeren;;;;;;;1;1
Bar Bistro 'Pieke Potloed';;;;;;;1;1
Bar Bistro Speakers;;;1;;;;;1
Bar Company B.V.;;;1;;;;;1
Bar Italia B.V.;;;1;;;;;1
Bar restaurant La Casita;;;;;;;1;1
Bar Restaurant Lely;;;1;;;;1;1
Bar Restaurant Pavlov B.V.;;;1;;;;2;2
Barbacoa;;;;;;;1;1
Barbara Benet Coaching;;;;;1;;;1
Barber School Amsterdam B.V.;;;;;1;;;1
Bar-Bistro 't Bruggetje;;;1;;;;;1
Barceloneta Gastro;;;;;;;1;1
Bardak;;;;;;;1;1
Barista Café Rotterdam B.V.;;;1;;;;;1
Barlow;;;1;;;;;1
Barn47 B.V.;;;1;;;;2;2
Barouda Advies;;;;;1;;;1
Bar-Restaurant Villeneuve;;;;;;;1;1
Barrevoets;;;1;;;;;1
Barsingerhorn Beheer B.V.;;;;;1;;;1
