Leverancier;1000 - Personele exploitatie overig;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
De Ruiter Catering;;1;;;;;;1
De Rustende Jager Beheer B.V.;;1;;;;;;1
De Ruyter Training & Consultancy B.V.;;;;1;;;;1
De Schenker B.V.;2;3;;1;;;;3
De Snoepwinkel V.O.F.;;1;;;;;;1
De Spreeuwel B.V.;;1;;1;;;;1
De Stad B.V.;;1;;;;;;1
De Stadstuin II B.V.;;1;;;;;;1
De StressOntknoping;;;;1;;;;1
De Succesvolle Introvert;;;;1;;;;1
De Taaltrainer;;;;1;;;;1
De Teamcoach;;;;2;;;;2
De thee van mijn tante;;1;;;;;;1
De Toezichtsfluisteraar;1;;;;;;;1
De Tombe Consultancy B.V.;;;1;;;;;1
De tuin van de smid;;1;;;;;;1
De Tuinderij;;1;;;;;;1
De Utrechtse Haven B.V.;;1;;;;;;1
De Utrechtse Watertoren B.V.;;1;;;;;;1
De Utrechtse Wijnkelder B.V.;;1;;;;;;1
De Veldkeuken Amelisweerd B.V.;;1;;;;;;1
De Vief Heringe;;1;;;;;;1
De Vijfhoeck B.V.;;1;;;;;;1
De VR Arcade B.V.;;1;;;;;;1
De Vrolijke Pater B.V.;;1;;;;;;1
De Vuurtoren;;1;;;;;;1
De Watertoren - Hotel & Restaurant;;1;;;;;;1
De Wijnkelder Barendrecht;;1;;;;;;1
De Winkel van Sinkel B.V.;;1;;;;;;1
De Xander Zone;;2;;;;;;2
De Zagerij Utrecht;;1;;;;;;1
De Zeeuw Facilitator Productions;;;1;1;;;;1
De Zoete Inval B.V.;;1;;;;;;1
De zoete verleiding;;1;;;;;;1
De Zwarte Ruiter op 't Witte Paart;;;;1;;;;1
debaasmanagement.nl;;;1;;;;;1
Debat.NL B.V.;1;;;1;;;;1
Debatacademie;;;1;;;;;1
DeDAKKAS B.V.;;1;;;;;;1
Dek Opleidingen B.V.;;;;;;;;
Dekker Warmond;;1;;;;;;1
Dekselslekker;;1;;;;;;1
Dekxels B.V.;;1;;;;;;1
Delft Congress Support B.V.;;1;;1;;;;1
Deli Cafe Dordrecht Centrum B.V.;;;;1;;;;1
Delibert B.V.;;1;;;;;;1
Delicious Sweetness;;1;;;;;;1
Délifrance Lelystad Noordersluis B.V.;;1;;;;;;1
Dell' Italia;;1;;;;;;1
Deloitte Accountants;;;;2;;;;2
Delta PI;;;;1;;;;1
Den Bosch Evenementen B.V.;;1;;;;;;1
Den Engh B.V.;;1;;;;;;1
Den Hartog & Van Heijst;;;1;;;;;1
Depaus Interim, Consultancy & Training B.V.;;1;;;;;;1
Destil;;;;;;;;
Deuts;;1;;;;;;1
DEVELOPMENT OFFICE - COLLEGE OF EUR;;;;1;;;;1
Development Works;1;;;;;;;1
Develpaviljoen Exploitatie B.V.;;1;;;;;;1
deVernieuwers;;;;1;;;;1
DeWaalCoaching;;;;1;;;;1
DeWorkshopRuimte;;;;1;;;;1
DFG;;;;1;;;;1
DGA Horeca Pop-up B.V.;;;;1;;;;1
D-Hits;;;;;;;;
Di Niente;;1;;;;;;1
Dialogis;;;;1;;;;1
Dialogue;;;;1;;;;1
Dialogue B.V.;;;2;1;;;;2
Diana's Servicediensten;;1;;;;;;1
Dickens Horecabedrijven B.V.;;1;;;;;;1
Didgames;;1;;;;;;1
Diemen & Van Gestel Select B.V.;;;;1;;;;1
Dienstverlening Verbond B.V.;;;;1;;;;1
Dierenpark 'Amersfoort' B.V.;;1;;;;;;1
Dignitas Mediation & Conflict Management;;;1;;;;;1
DIKW Consulting B.V.;;;;1;;;;1
DIOR Opleidingen;;;;1;;;;1
Dipam;1;;;;;;;1
Discountoffice.nl B.V.;1;;;;;;;1
Disgover B.V.;;;;1;;;;1
DiVetro B.V.;;;;1;;;;1
DNA coaching;;;;1;;;;1
DNV GL Business Assurance;;;;2;;;;2
Doctor Watsons B.V.;;1;;;;;;1
Dodidop B.V.;;1;;;;;;1
Doemijmaarwijn;;1;;;;;;1
Doenederland.nl B.V.;;1;;;;;;1
Doghouse Recruitment & Partners;;;2;;;;;2
Dok du Nord;;1;;;;;;1
Dolfinarium Harderwijk B.V.;;1;;;;;;1
Dolphinflow;;;;1;;;;1
Domstad Evenementen B.V.;;1;;;;;;1
Donconsult;;1;;;;;;1
Dordts Genoegen;;1;;;;;;1
Dots & Tango bvba;;;;1;;;;1
Down Under BEACH B.V.;;1;;;;;;1
Down Under Horecaexploitatie B.V.;;1;;;;;;1
Doxis;;;;1;;;;1
Doyo Trainingen;;;;1;;;;1
DPG Media B.V.;1;;;;;;;1
Dr. M.P. Schinkel;2;;;;;;;2
Draw for Good;;1;;;;;;1
Drone Flight Academy B.V.;;;;2;;;;2
Drs. Willem v. Spijker Adv. en Verandering BV;;2;;;;;;2
Drukkerij Holland B.V.;;1;;;;;;1
Drukkerij Koopmans B.V.;;1;;;;;;1
DS Sustainable Entrepreneurs B.V.;;1;;;;;;1
DTV Consultants B.V.;;;;2;;;;2
Duckcity B.V.;;;;1;;;;1
Dudok Den Haag B.V.;;1;;;;;;1
Dudok Rijnstraat B.V.;;1;;;;;;1
Duinpaviljoen De Linde;;1;;;;;;1
Dukino Business Events;;1;;;;;;1
Dunea N.V.;;;;1;;;;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;1;;;;;;;1
Dutch Boosting Group;;;;2;;;;2
Dutch Design Sketching;1;;;;;;;1
Dutch Drone Company B.V.;;;;1;;;;1
Dutch Drone Group B.V.;1;;;1;;;;1
Dutch Pinball Museum;;1;;;;;;1
Dutch Research Institute for Transitions B.V.;;1;;2;;;;2
Duurzaam Gebouwd B.V.;;;;1;;;;1
Dynamika;;;;1;;;;1
DynaVision B.V.;1;;1;1;;;;1
Dzjeng;;;;1;;;;1
Eastern Plaza;;1;;;;;;1
Easy Actors B.V.;;;;1;;;;1
Ebbinge International B.V.;;;;1;;;;1
Echt Genieten B.V.;;1;;;;;;1
Echt Waar;1;;;;;;;1
Echt Welschap B.V.;;1;;;;;;1
Ecologica B.V.;;;;1;;;;1
Eden Oranje Hotel B.V.;;;1;;;;;1
edith TAAL;;;;1;;;;1
E-Drivers;;1;;;;;;1
Eduact B.V.;;;;1;;;;1
Education Abroad;;;;1;;;;1
Edumar vaaropleidingen B.V.;;;;1;;;;1
Edwin Smulders Catering;;1;;;;;;1
eelloo;;;2;;;;;2
Eenden Verhuur Westland;;1;;;;;;1
Eerst doen, dan denken;;;2;;;;;2
Eetbar De Wagon B.V.;;1;;;;;;1
Eetcafé aon 't Bat B.V.;;1;;;;;;1
Eetcafé Club Casco;;1;;;;;;1
Eetcafé H41 B.V.;;1;;;;;;1
Eetcafé Joos;1;;;;;;;1
Eetcafé Wiegman;;1;;1;;;;1
Eeterij-spelerij Vierlinden;;1;;;;;;1
Effectory Holding B.V.;1;;;;;;;1
EGN Nederland B.V.;1;;;;;;;1
Eindhoeve B.V.;;;;;;;1;1
El Qatarijne;;1;;;;;;1
Elektroraad Opleidingen B.V.;;;;2;;;;2
Elektrotechnische Studievereniging Thor;;;1;;;;;1
Elycio Talen B.V.;;;;1;;;;1
Elzenboom Online Retail B.V.;;1;;;;;;1
EMC Advies B.V.;;;;5;;;;5
Emeritor Procurement Services B.V.;;;;1;;;;1
EMMA Communicatie B.V.;;2;;;;;;2
Emplooi Werving & Selectie B.V.;;;1;;;;;1
Empóreuma;;;;1;;;;1
Empower 2 Improve B.V.;;;;3;;;;3
Energy Delta Institute B.V.;1;;;;;;;1
Energy Transport;;1;;;;;;1
Engelen en Partners Organisatieontwikk. B.V.;;;;1;;;;1
Engels Horeca Rotterdam B.V.;;1;;;;;;1
ENOVATION B.V.;;;;2;;;;2
Enpoco;;;;1;;;;1
Epic Agility Nederland B.V.;;;;1;;;;1
Epiphany Mindfulness;;;1;1;;;;2
Epona Software Productions B.V.;;1;;;;;;1
Erasmus Centre for Urban,Port&Transp.Ec. B.V.;;;;1;;;;1
ER-coaching;;;;1;;;;1
Ergatis B.V.;1;;1;;;;;1
Eric Baak Fotografie;;1;;;;;;1
Eridanos;;;1;2;;;;2
Ernst Sillem Hoeve B.V.;;;;;;;2;2
ESB B.V.;;;;1;;;;1
ESB Legal B.V.;;;;1;;;;1
Escape Challenge Zoetermeer B.V.;;1;;;;;;1
Escape Room Rijswijk;;;;1;;;;1
Escaping NL B.V.;;;;;;;;
Esri Nederland;;;;2;;;;2
Esri Nederland Groep;;;;2;;;;2
Eten & Drinken B.V.;;1;;;;;;1
Etiquette Bureau;1;;;1;;;;1
Etrias B.V.;;1;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;1;;;;1
EURIB/European Institute for Brand Management;;;;1;;;;1
Euroforum;;;;2;;;;2
Euromast Horeca B.V.;;1;;;;;;1
Europees Instituut De Baak B.V.;;;;1;;;;1
Eus.nl Zeilevents B.V.;;1;;;;;;1
Eva Versteeg Trainingen;;;;1;;;;1
EVC Centrum Nederland B.V.;;;1;1;;;;1
Event@Home Box;;1;;1;;;;1
Evera en Ondernemershuis Groningen;;1;;;;;;1
eX:plain;;;;2;;;;2
excap B.V.;;;;2;;;;2
EXKI S.A.;;1;;;;;;1
expertcoach;;;;1;;;;1
EXPERTYZ;;;;1;;;;1
Expl. Bergse Bossen B.V.;;;;;;;2;2
Expl.mij. Automobielmusea in Nederland B.V.;;1;;;;;;1
ExplainIT Company;;;;1;;;;1
ExplainIT Special Accounts B.V.;;;;1;;;;1
Exploit. Maatsch. De Nwe Poort Rotterdam B.V.;;1;;;;;;1
Exploitatie de Molenplas;;1;;;;;;1
Exploitatiemaatschappij Hoeve de Aar B.V.;;1;;;;;;1
Exploitatiemaatschappij Hotel Best B.V.;;;;1;;;1;1
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;;;;1
EY VODW B.V.;;;;1;;;;1
Eyescream Wolterinck;;1;;;;;;1
F.A.X. Translations B.V.;;1;;;;;;1
FA Kitchen;;1;;;;;;1
Fa. W.L. Molenaar en Zn.;;;;;;;1;1
Fabia Dance Center;;1;;;;;;1
FABRIEKFANATIEK;;;1;;;;;1
Factor Vijf;;;;1;;;;1
FactorVeermans Trainingsacteurs B.V.;;;;1;;;;1
Famous Flavours B.V.;;1;;;;;;1
Farasi-Rafiki;;;;1;;;;1
Fast Lane Benelux B.V.;;;;1;;;;1
FavoRent;;1;;;;;;1
Feddes/Olthof Landschapsarchitecten B.V.;1;;;1;;;;2
FEINGERÄTEBAU K. FISCHER GMBH;;1;;;;;;1
FEM Holding B.V.;1;;;;;;;1
Feriro.nl;1;;;;;;;1
Fico Urban Italian;;1;;;;;;1
Fijn Interieurarchitectuur;;;1;;;;;1
Fire and Medical Training Centre B.V.;;1;;4;;;1;4
Firm Ground;;;;1;;;;1
Firm of the Future B.V.;;;;1;;;;1
Firma Hof der Muzen;;1;;;;;;1
Firma Smeele Delicatessen;;1;;;;;;1
Firstword Media Limited;;;;1;;;;1
Fitt-recreatie B.V.;;1;;;;;;1
FitzMe Company B.V.;;1;;;;;;1
Flesjewijnbezorgd;;;1;;;;;1
Fletcher Hotel De Dikke Van Dale;;;;;;;1;1
Fletcher Hotel Heidehof;;;;;;;1;1
Fletcher Hotel Restaurant De Witte Raaf;;;;;;;1;1
Fletcher Hotel Restaurant Middelburg;;1;;;;;;1
Fletcher Hotel-Restaurant Carlton;;;;;;;1;1
Fletcher Hotel-Restaurant Heiloo;;;;1;;;;1
Fleurop-Interflora Nederland B.V.;;1;;;;;;1
Flitz-Events;1;1;;;;;;1
Floating Farm Rotterdam B.V.;1;1;;;;;;1
Flow d'Azur Management & Coaching B.V.;1;1;1;1;;;;1
Flow in Life;;;;1;;;;1
Fong Shou;;1;;;;;;1
Food Experience;;1;;;;;;1
Fooddock B.V.;;1;;;;;;1
For a Change;;;;;;;;
Formzet B.V.;1;;;;;;;1
Forsa Advies B.V.;;;;1;;;;1
Fort Altena B.V.;;;;1;;;;1
Fortune Factory B.V.;;2;;;;;;2
Fox-IT;;;;1;;;;1
Frank CS;;;;1;;;;1
Frankwatching B.V.;1;;;1;;;;1
Franky's Nieuwegein;;1;;;;;;1
Frans Hoebink Arbeidskundig Bureau B.V.;1;;;;;;;1
Franse & Zo Projectmatige Dienstverlening;;;;1;;;;1
Freedom Hotel Exploitatie B.V.;;1;;;;;;1
Free-Wheel Organisatiebureau;;1;;;;;;1
Frijters Personeelsadvies;;;;1;;;;1
Frisse Blikken ondernemen met talent B.V.;;2;2;2;;;;3
FRUIT OP JE WERK;1;1;;;;;;1
Fruitcup;;1;;;;;;1
Fruitschaal.nu;;1;;;;;;1
Fuiks Eten & Drinken;;1;;;;;;1
Fun and Fair Foodservice;;1;;;;;;1
Future Communication Consultants B.V.;;;;2;;;;2
Futureconsult Holding B.V.;;1;;;;;;1
FutureFlock;;;;1;;;;1
Fysergo B.V.;;;1;1;;;;1
Fysiotherapie Haaften;1;;;;;;;1
Ganspoort B.V.;;1;;;;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;;1;;1;;;;1
Gasterie De Knip;;1;;;;;;1
Gasterij De Kommensaal;;1;;;;;;1
Gastrobar Hartig;;1;;;;;;1
Gauchos Franchise Rotterdam-Centrum B.V.;;1;;;;;;1
GeboorteXpress;;1;;;;;;1
Gebr. Barendsen B.V.;;1;;;;;;1
Geef een Boompje.nl;;1;;;;;;1
gefeliciTAART B.V.;;1;;;;;;1
Gelato Burano De Bilt;;;;1;;;;1
Gelecon B.V.;;1;;;;;;1
Gelukmanagement Beheer B.V.;;;;1;;;;1
Gemeensch. v. Wiskunde en Inform. Studenten;;;1;;;;;1
Geoplan Nederland B.V.;;;;1;;;;1
Geschenk met Verhaal B.V.;;1;;;;;;1
Geschikt Groen Geschikt;;1;;;;;;1
Get Events B.V.;;1;;;;;;1
Get out of here B.V.;;1;;;;;;1
get the laugh flow;;1;;1;;;;1
Getting the picture B.V.;;1;;;;;;1
Gewoon aan de slag;;;;2;;;;2
Gezelschap Leeghwater;;;1;;;;;1
Gezond in Bedrijf;;;;1;;;;1
Gift en Co B.V.;;1;;;;;;1
Gifts to Connect;1;;;;;;;1
Gilde Utrecht;;1;;;;;;1
GITP Training & Opleiding B.V.;;;;2;;;;2
Glerum;;1;;;;;;1
Global Knowledge Network Netherlands B.V.;;;;2;;;;2
Global Project Performance;;;;1;;;;1
Glope Events B.V.;;1;;;;;;1
Goedemensen Projectprofessionals B.V.;;;;1;;;;1
Goenee-Inspirations;;;;1;;;;1
gofoto.nl;;1;;;;;;1
Golfbaan Het Rijk van Nijmegen B.V.;;1;;;;;;1
GoMaris;;;;1;;;;1
Good Company B.V.;1;;;;;;;1
Good Work Company B.V.;;;;3;;;;3
GoodHabitz B.V.;;;;2;;;;2
Goslinga;;;1;;;;;1
Gottschalk Amsterdam B.V.;;1;;;;;;1
Goudappel Coffeng B.V.;;;;1;;;;1
Gouds Kaashuis;;1;;;;;;1
GovernanceQ B.V.;;;;2;;;;2
Gran Mercado B.V.;;1;;;;;;1
Grand Café Arnhems Meisje;;1;;;;;;1
Grand cafe Barend;;1;;;;;;1
Grand Café De Wildeman Eindhoven B.V.;;1;;;;;;1
Grand Café Maastricht Soiron B.V.;;1;;;;;;1
Grand Café Metropole;;1;;;;;;1
Grand Café Silva Ducis B.V.;;1;;;;;;1
Grand-Cafe Restaurant Groeskamp;;1;;;;;;1
Grand-cafe/Restaurant Blij;;1;;;;;;1
Grandi Vini;;1;;;;;;1
Granny's Corner;;1;;;;;;1
Graphic Hunters;;;;1;;;;1
Graphic Services Bossers;;;;1;;;;1
Grazerij de Belhamel;;1;;;;;;1
Great Accompanied;;;1;1;;;1;1
Green Bridges;;;;2;;;;2
Greengiving B.V.;;2;;;;;;2
Greens in the Park B.V.;;1;;;;;;1
Greetz B.V.;;1;;;;;;1
Grey Matter Matters B.V.;;;;1;;;;1
Grieks Restaurant Delphi;;1;;;;;;1
Griekse Taverna Yamas;;1;;;;;;1
Griftpark 1;;1;;;;;;1
Grizzly B.V.;;1;;1;;;;1
GROEIBREIN;;;;1;;;;1
Groeneveld Horeca B.V.;;1;;;;;;1
Groentebroer B.V.;1;;;;;;;1
Groentehal De Goudreinet B.V.;;1;;;;;;1
Groningen Airport Eelde N.V.;;;;;;;1;1
Groningen Seaports N.V.;;1;;;;;;1
Grubben Ontwikkeling en Communicatie;;;;2;;;;2
Gyro Conference AS;;;;1;;;;1
H.B. Banket B.V.;;1;;;;;;1
H.J. Oostijen;;;1;;;;;1
Haagse Taxi Mobilofoon Centrale B.V.;;;;;;;1;1
Haai B.V.;1;;;;;;;1
Habilis Mens en Organisatie Eindhoven B.V.;;1;;;;;;1
Haiku Talentontwikkeling B.V.;1;;;;;;;1
Hajé Natuurpark B.V.;;1;;;;;;1
Hajé Nieuwegein B.V.;;1;;;;;;1
Hal 4 Exploitatie B.V.;;1;;;;;;1
Halfes;;1;;;;;;1
Halfland B.V.;;1;;;;;;1
HALITO!;;1;;1;;;;1
Han Vermeer Ontwikkel. van Mens & Organisatie;;;1;1;;;;1
Handelsonderneming Techno-Fashion B.V.;;;;;;;1;1
Hanneke Elich ... voor de Verandering;;;;1;;;;1
Han's Adviesbureau Mariene Ecologie (HAME);;1;;;;;;1
Hans Kreuning B.V.;;1;;;;;;1
Hapjes aan Huis B.V.;;1;;;;;;1
Happy Copy B.V.;1;1;;;;;;1
Happy Garden;;1;;;;;;1
Happy Meat B.V.;;1;;;;;;1
Happy Parents Coaching;;;;1;;;;1
Haptotherapie Praktijk G. Danser;;;1;1;;;;1
Harmotion;;;1;;;;;1
Harry Lintsen Consultancy;;;;2;;;;2
Hart Beach B.V.;;1;;;;;;1
Harte Producties;;1;;;;;;1
Hartelijk Gefaciliteerd;;;;1;;;;1
HaskoningDHV Nederland B.V.;1;;;2;;;;2
HCAN;;;;1;;;;1
HCR 't Langenbaergh vof;;1;;;;;;1
HE Den Haag B.V.;;1;;;;;1;1
Heemskerk Bloemisten;;1;;;;;;1
Heerlijkheid Eck en Wiel v.o.f.;;1;;;;;;1
Heerlijkheid Marienwaerdt B.V.;;1;;;;;;1
Heijnis Training, Coaching en Advies;;;;1;;;;1
Heilig Vuur;;;1;1;;;;1
Heinde & Ver Woerden;;1;;;;;;1
HELDER haptonomie;;;;1;;;;1
Hemingway Professional Governance B.V.;;;;2;;;;2
Henri Willig Kaas B.V.;;1;;;;;;1
Herberg Nuwenspete;;1;;;;;;1
HereITcomes B.V.;;;;1;;;;1
Herrot's;;;;1;;;;1
Herten en Wilde Zwijnen B.V.;;1;;;;;;1
Hesbak 2 B.V.;1;1;;;;;;1
Het Atma Instituut;;;;1;;;;1
Het Berlage Huis v.o.f.;;1;;;;;;1
Het Brouwcafé Scheveningen-Haven;;1;;;;;;1
Het Delftse Bloemenhuis;;1;;;;;;1
Het Eerste Huis B.V.;;;;1;;;;1
Het gezonde lichaam;;;;1;;;;1
Het Haringhuis B.V.;;1;;;;;;1
Het Hooghe Water B.V.;;1;;;;;;1
Het Hooihuis;;1;;;;;;1
Het Klooster;;1;;;;;;1
Het Klooster van Dalfsen;;1;;;;;;1
Het Kookplein;;1;;;;;;1
Het Lab grafisch ontwerpers B.V.;1;;;;;;;1
Het Muntgebouw-Utrecht B.V.;1;;;1;;;;2
Het Nederlands Openluchtmuseum;;1;;;;;;1
Het Netwerkcentrum Crisisbeheersing B.V.;;;;1;;;;1
Het Pleidooi;;1;;;;;;1
Het Projectenbureau;;;1;;;;;1
Het Wapen van Bronkhorst B.V.;;1;;;;;;1
Het Zuiderlicht Managementadviseurs B.V.;;;;1;;;;1
Hetty Jansen Training & Coaching;;;;1;;;;1
High Security International B.V.;1;;;;;;;1
Highland Touch Golf Events;;1;;;;;;1
Hildernisse;;1;;;;;;1
Hills & Mills;;1;;;;;;1
Himalayam B.V.;;1;;;;;;1
Hitjesvijver B.V.;;1;;;;;;1
HMM Exhibitions B.V.;;;;1;;;;1
HOC Opleiding & Training B.V.;;;;2;;;;2
Hof van Twello;;1;;;;;;1
Hofjes Horeca B.V.;;1;;;;;;1
Hofstad Catering;1;1;;;;;;1
Hofstad Events B.V.;1;;;;;;;1
Hogenboom Vakantieparken B.V.;;;;;;;1;1
Hogeschool NOVI B.V.;;;;2;;;;2
Hogeschool Schoevers;;;;1;;;;1
Hogeschool VHL;;;;1;;;;1
Hogeschool Windesheim;;;;1;;;;1
Hogeschool Zeeland/Hogeschool Zeeland (WEB);;1;;1;;;;2
Holding Beheermaatschappij Ropeni B.V.;1;1;;;;;;1
Holland Consulting Group;;;;1;;;;1
Holland Evenementen Groep B.V.;;1;;;;;;1
Hollen & STILSTAAN - Mindfulness & Coaching;;;1;;;;;1
Hooghiem Coaching;;;1;;;;;1
Hörchner Advocaten;1;;;;;;;1
Horeca Exploit. Maatschappij City Hall B.V.;1;;;;;;;1
Horeca van Bijsterveld;;1;;;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;;;;1;1
Hotel Amersfoort B.V.;;;;;;;1;1
Hotel Ara B.V.;;1;;;;;;1
Hotel De Koophandel B.V.;;1;;;;;;1
Hotel de Plataan B.V.;;1;;;;;;1
Hotel De Vigilante B.V.;;1;;;;;;1
Hotel Drachten B.V.;;1;;;;;;1
Hotel Exploit. Mij. Maarssenbr.B.V.;;;;;;;1;1
Hotel Exploitatie Kerckebosch B.V.;;1;;;;;;1
Hotel Goes;;1;;;;;;1
Hotel Groningen-Hoogkerk B.V.;;1;;;;;;1
Hotel Indigo The Haque - Palace Noordeinde;1;1;;;;;;1
Hotel Mitland;;1;;1;;;;1
Hotel New York B.V.;;1;;;;;;1
Hotel Post Plaza B.V.;;1;;;;;;1
Hotel restaurant TermunterzijI;;1;;;;;;1
Hotel Ridderkerk B.V.;;1;;;;;;1
Hotel Rotterdam-Blijdorp B.V.;;1;;;;;;1
Hotel Schylge B.V.;;;1;;;;1;1
Hotel Van der Werff B.V.;;;;1;;;;1
Hotel-Café-Rest. 'West-End' Exploitatie B.V.;;1;;;;;;1
Hotel-Café-Restaurant De Biltsche Hoek;;1;;;;;;1
Hotel-Café-Restaurant Solskin;;1;;;;;;1
Hotel-Congrescentrum De Zeeuwse Stromen;;;;;;;1;1
Hotel-Restaurant Sterrenberg Otterlo B.V.;;1;;;;;;1
House of Performance B.V.;;;;7;;;;7
Houthoff Training & Coaching;;;;1;;;;1
Houvast;;;;1;;;;1
Hoving & Povel;;;1;;;;;1
How Company Administratie B.V.;;;;1;;;;1
Hrd Groep Business;;;1;;;;;1
HR-ICT;;;;1;;;;1
HSE-NOW;;2;;;;;;2
HSK Interventie B.V.;1;1;2;1;;;;2
Hu Fusion;;1;;;;;;1
Hubermont NV;;;;1;;;;1
Hudson Cybertec B.V.;;;;1;;;;1
Hudson Danzig B.V.;;1;;;;;;1
Human Dimensions B.V.;;;2;1;;;;2
Huszár;;1;;;;;;1
I.T.P. Instituut Transformatie Psychologie;;;;1;;;;1
IAM NL;;;;1;;;;1
iBabs B.V.;1;1;;1;;;;2
Ibis Den Haag City Centre;;;;;;;1;1
IBN Battuta;;;1;;;;;1
ICARA B.V.;;;2;;;;;2
ICM Opleidingen & Trainingen B.V.;1;;;2;;;;2
IEP, Instituut voor Eclect. Psychologie B.V.;;;;1;;;;1
IES Asset Management;;;;3;;;;3
Ifekt;;;;1;;;;1
IJmuidense Rondvaart Maatschappij B.V.;;1;;;;;;1
Il Pozzo B.V.';;1;;;;;;1
iLLustratief;;;;1;;;;1
ILUMY Prototyping B.V.;;;;1;;;;1
ImpactAbility;;;;1;;;;1
Impero Romano Holding B.V.;;1;;;;;;1
In de Steigers B.V.;;1;;;;;;1
in dn awwe herberg;;1;;;;;;1
In Pace B.V.;1;1;;;;;;1
In Tune Consultancy;;;;1;;;;1
In2Coaching;;;;1;;;;1
In2motivation Beheer B.V.;;;;1;;;;1
Inaction4U;;;1;;;;;1
INBC Verhuur B.V.;;;;1;;;;1
Inbrain B.V.;;;;2;;;;2
Incassobureau Plaggemars;;;;1;;;;1
INCLUSIONCY;;;;1;;;;1
Indisch Restaurant Garoeda;;1;;;;;;1
Indonesisch Restaurant Poentjak;;1;;;;;;1
Infinite Simulation Systems B.V.;;;;2;;;;2
Infopact Netwerkdiensten B.V.;;;;1;;;;1
Information Security Academy B.V.;;;;1;;;;1
ING Bank N.V.;1;;;;;;;1
InkoopAcademie B.V.;;;;2;;;;2
Inlime;;;1;1;;;;1
Inner-Tree;;;1;1;;;;1
Innovam;;;;1;;;;1
Inrush B.V.;;;;1;;;;1
inSentis B.V.;;;1;;;;;1
InsightsWorld B.V.;;;;1;;;;1
Inspirae;;;;1;;;;1
Inspire Circle of Professionals;;;1;;;;;1
Inst. for Hous. and Urban Devel. Stud. B.V.;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;1;;;;1
Instituut voor Agrarisch Recht;;;;1;;;;1
Instituut voor interventiekunde;;;;2;;;;2
Instituut voor Juridische Opleidingen B.V.;;;;1;;;;1
Instituut voor Technische Vakexamens B.V.;;;;1;;;;1
Instituut voor Undefended Leadership;;;;1;;;;1
Instituut voor Wijsbegeerte B.V.;;;;1;;;1;1
Instock Hospitality B.V.;;1;;;;;;1
Instock Utrecht;;1;;;;;;1
Int. Ass. for Organ. and Soc. Developm. B.V.;;;;1;;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;2;;;;2
Intelligence Group B.V.;;;1;;;;;1
Intercontinental Paris Le Grand;;;;;;;1;1
Intermedius B.V.;;;;1;;;;1
INTERNATIONAL AIR TRANSPORT ASSOCIA;;;;1;;;;1
International Anti Crime Academy B.V.;;;;2;;;;2
INTERNATIONAL ASSOCIATION OF INFORM;;;;1;;;;1
International Maritime Organization;;1;;;;;;1
Interscience B.V.;;;;1;;;;1
Intertoys B.V.;;1;;;;;;1
Intop Mediationtoets;;;1;1;;;;1
Intus Workforce Solutions B.V.;;;;1;;;;1
Involve B.V.;;;;1;;;;1
Invorderingsbedrijf B.V.;;1;;;;;;1
Ipol B.V.;;;;5;;;;5
ISBW Trainingen B.V.;;;;1;;;;1
ISS Integrated Facility Services B.V.;1;1;;;;;;2
Istimewa Elektrotechniek B.V.;1;;;;;;;1
IT Dordrecht;;1;;;;;;1
IT Management Group;;;;2;;;;2
ITB B.V.;;;;1;;;;1
Itje Snaaijer Advies Coaching en Training;;;;2;;;;2
Ivar Jacobson Consulting Limited;;;;1;;;;1
J L Groentehal;;1;;;;;;1
J&S Lunches en more;;1;;;;;;1
J&V Horeca Exploitatie B.V.;;1;;;;;;1
Jaarbeurs Catering Services B.V.;;1;;;;;;1
Jaggerz;;1;;;;;;1
Jam Jamm Broodjeszaak;;1;;;;;;1
JAM visueel denken B.V.;;;1;;;;;1
Jan Beuving Tekst & Theater;1;;;;;;;1
Jan de Wit Autocars N.V.;;1;;;;;;1
JANS' B.V.;;1;;;;;;1
Janskerkhof B.V.;;1;;;;;;1
Janssen Training & Advies;;;;1;;;;1
JanStevens coaching, training & interimmanag.;;;;1;;;;1
Japas Café;;1;;;;;;1
Jargon Aviation Consultancy B.V.;;;;2;;;;2
Jazz-café Restaurant Desafinado;;1;;;;;;1
JBBX B.V.;;;;1;;;;1
Jeu de Boulesbar B.V.;;1;;;;;;1
jij bent beter dan je denkt;;;;1;;;;1
JIM (Jong IenM);2;;;;;;;2
Jin Lai B.V.;;1;;;;;;1
Jinc;;1;3;;;;;3
Job Boersma Producties;;;;1;;;;1
Jobmassage B.V.;;;;1;;;;1
JobUp B.V.;;;1;;;;;1
JoConnect;;;1;1;;;;1
Jofel aan de plas B.V.;;1;;;;;;1
Johansson Licht AB;;;;2;;;;2
