Rijlabels;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;Eindtotaal
De Vlinderstichting;;;;;2;;2
De Wit Aggregaten B.V.;;;1;;;;1
Deining;;;;;2;;2
Den Haag Centrum v. Strategische Studies B.V.;;;;;1;;1
Denios B.V.;;;1;;;;1
Dermatologie St. Antonius Ziekenhuis;1;;;;1;;1
Det Norske Veritas B.V.;;;;;2;;2
Devrimed B.V.;;6;;;;;6
DGMR Industrie Verkeer en Milieu B.V.;;;;;2;;2
DiaSorin SA/N.V.;;1;;;;;1
Dijkstra-Vereenigde B.V.;;1;2;;;;2
DNV GL Netherlands B.V.;;;;;4;;4
docdata payments B.V.;;;;;1;;1
Doornebos Tekst & Uitleg;;;;;2;;2
Dräger Nederland B.V.;;1;1;;;;1
Drost Pluimveebedrijf Loenen B.V.;;1;;1;;;1
Dutch Water Tech B.V.;;1;;;;;1
Dyzle Operations B.V.;;;2;;;;2
Ecofide;;;;;1;;1
Eijkelkamp Soil & Water B.V.;;2;1;;;;3
ELDC B.V.;;3;;;;;3
Elite Mail;;;;1;;;1
ELITechGroup B.V.;;1;;;;;1
Elscolab B.V.;;1;;;;;1
Emdamed B.V.;;1;;;;;1
Emelca;;2;;;;;2
EnableMi B.V.;;;;;1;;1
Energie Consult Holland B.V.;2;;;;;;2
Energieonderzoek Centrum Nederland;;;;;3;;3
Envico Environment Control B.V.;;;2;;;;2
Envigo;;2;;2;;;2
Envitec N.V.;;;6;;;;6
Equil;;;;;2;;2
Erica Bol;;;;;1;;1
Eriks B.V.;;1;;;;;1
Eurogentec Nederland B.V.;;3;;;;;3
European Veterinary Laboratory (EVL);1;;;;;;1
Ex-Ox-Tox;;;1;;;;1
F. Veldhuis Siervishandel B.V.;;1;1;1;;;1
Fa. van der Neut Uw Groene Vakwinkel;;1;;;;;1
Fellowshipment.nl;;;;;1;;1
Fisher Scientific of the Netherlands B.V.;;4;;;;;4
Flycatcher Internet Research B.V.;;;;;1;;1
Food Risk Management;;1;;;;;1
Fugro GeoServices B.V.;;;;;3;;3
Fujitsu Technology Solutions B.V.;;;1;;;;1
FutureWater;;;;;2;;2
FysioSupplies B.V.;;;;;1;;1
G.R. Instruments B.V.;;1;2;;;;2
GC Biotech B.V.;;1;1;;;;1
GenScript (Hong Kong) Limited;1;2;;;;;2
Gentaur Nederland B.V.;;1;;;;;1
Geodan B.V.;;;;1;2;;2
Geoforza;;;;;2;;2
Geo-Logica;;;;;1;;1
Geoneric;;;;;2;;2
Gezondheidsdienst voor Dieren;;;;;1;;1
GfK Intomart B.V.;;;;4;;;4
GFK Panel Services Benelux;;;;2;;;2
GlaxoSmithKline B.V.;;;;;;10;10
Goudappel Coffeng B.V.;;;;;2;;2
GreenUp Wendy;;;;;2;;2
Greiner Bio-One B.V.;;1;1;;;;1
Groene Hart Ziekenhuis;1;;;;;;1
Grondboorbedrijf Haitjema B.V.;;;2;;;;2
Groveko;;1;;;;;1
GS1 Nederland B.V.;;;;;;1;1
Gunnebo Nederland B.V.;;;1;;;;1
H72;;;;;2;;2
HACH;;;1;;;;1
Hartmans Advocaten B.V.;;;;;;1;1
HaskoningDHV Nederland B.V.;;;;;3;;3
HeadFirst B.V.;;;;;;2;2
Heijmans Wegen Hovenier B.V.;;;1;;;;1
Henriëtte Prast;;;;;2;;2
Heraeus Drijfhout B.V.;;1;;;;;1
Het Notuleercentrum B.V.;;;;;1;;1
Hettich Benelux B.V.;;;1;;;;1
Heyl OG B.V.;;;;;;2;2
Hogeschool Windesheim;;;;;1;;1
Hollandse Hoogte B.V.;;;;;1;;1
Homij Technische Installaties B.V.;;;2;;;;2
Hoppe - Knowledge & Policy;;;;;2;;2
I & O Research B.V.;;;;5;;;5
I.T.K. Diagnostics B.V.;;4;;;;;4
IDEXX Laboratories B.V.;;1;;;;;1
Igloocoolers B.V.;;1;;;;;1
IJsselland Ziekenhuis;7;;;;;;7
In 2 Food B.V.;;1;;;;;1
In2Care B.V.;;1;;;;;1
Inacom Instruments B.V.;;1;;;;;1
Innotact Consulting B.V.;;;;;1;;1
Insector UA;;;;;1;;1
Installatiebedrijf Rosmalen B.V.;;;1;;;;1
Instruchemie B.V.;;1;;;;;1
Interactive Affairs B.V.;;;;;2;;2
Intersafe Groeneveld B.V.;;1;;;;;1
Interscience B.V.;;1;4;;;;4
Inventech Benelux B.V.;;;1;;;;1
ISACert Nederland;1;;;;3;;3
Isogen Life Science B.V.;;2;1;;;;2
Jacob Bijsterbosch;;;;;2;;2
Johnson Controls Systems & Service B.V.;;;1;;;;1
Joint Analytical Systems Benelux B.V.;;1;1;;;;1
Jurrie Klok Koeriers;;;;;;2;2
Kalibra International B.V.;;;2;;;;2
Keysight Technologies Netherlands B.V.;;;1;;;;1
Kiewiet MPI;;;;;1;;1
Kiwa Nederland B.V.;;;;;3;;3
KNMP Holding B.V.;;;;;2;;2
Koel en Airco Service KAS;1;;1;;;;1
Koninklijke van der Most B.V.;;;;;;1;1
Koopman.com B.V.;;;;;2;;2
KPN B.V.;;;;;;5;5
KWR Water B.V.;;;;;2;;2
L.P.S. B.V.;;;1;;;;1
Lab FS;;;1;;;;1
Labair;;;1;;;;1
LabID Technologies B.V.;;1;1;;;;1
Labkoo;;1;;;;;1
LabMakelaar Benelux B.V.;;;1;;;;1
LBP Sight B.V.;;;;;1;;1
Leene Communicatie;;;;;1;;1
Leertouwer B.V.;;;1;;;;1
Leica Microsystems B.V.;;1;2;;;;2
Lentzeneering B.V.;;;;;2;;2
Lhasa;;;;;1;;1
LievenseCSO Milieu B.V.;4;;;;;;4
Life Technologies International B.V.;;4;2;;;;4
Linde Gas Benelux B.V.;;;1;;;;1
Loci Forensics B.V.;;1;;;;;1
LouwersHanique B.V.;;1;;;;;1
LSP Quartz B.V.;;1;;;;;1
M.T. Diagnostics Nederland B.V.;;2;;;;;2
Maatschap Chirurgie Spaarne Ziekenhuis;4;;;;2;;4
Maatschap Dermatologen Zaans Medisch Centrum;1;;;;;;1
Mad Multimedia;;;;;1;;1
MailStreet B.V.;;;;;1;;1
Manutan B.V.;;1;;;;;1
Marcel Uljee Teksten;;;;;1;;1
Marketresponse Nederland B.V.;;;;3;;;3
Mart Microbiology B.V.;;;1;;;;1
MCS Diagnostics B.V.;;1;;;;;1
Mediaproducts B.V.;;1;;;;;1
Medilingua;;;;;1;;1
Mediost B.V.;;1;;;;;1
Mediphos Medical Supplies B.V.;;2;1;;;;2
Melina Verheijen adm. ondersteuning;;;;;1;;1
Meridian Bioscience Europe B.V.;;1;;;;;1
Messer B.V.;;2;;;;;2
Metrohm Applikon;;1;1;;;;1
Mettler-Toledo B.V.;;1;3;;;;3
Michell Instruments Benelux B.V.;;;1;;;;1
Miele Nederland B.V.;;;1;;;;1
Miltenyi Biotec B.V.;;2;;;;;2
Minigrip;;2;;;;;2
MLS B.V.;;2;;;;;2
Molenaar Optics;;;1;;;;1
MSA Nederland B.V.;;1;1;;;;1
MTSA Technopower B.V.;;;1;;;;1
Nationale Beeldbank B.V.;;;;;1;;1
Nebras Power Netherlands B.V.;;1;;;;;1
Nederlands bijkantoor van Sanofi Pasteur MSD;;;;;;8;8
Nederlands Huisartsen Genootschap;;;;;3;;3
Nederlandse Vereniging voor Arbeidshygiene;;;;;1;;1
Nederlandse Vereniging voor Toxicologie;;;;;1;;1
Newport Spectra-Physics B.V.;;2;;;;;2
NewRisk Research;;;;;1;;1
NovaVeth B.V.;;2;1;;;;2
O&M-Movianto Nederland B.V.;;;;;;3;3
Odura;;;;;2;;2
Olympus Nederland B.V.;;;2;;;;2
Omegam Water B.V.;2;;;;2;;2
One Stop Arbo;;;;;2;;2
Oor Veiligheidskunde & Managementsystemen;;;;;1;;1
Opier Communicatie B.V.;;;;;2;;2
Org-idee;;;;;2;;2
Orly Pharma B.V.;;1;;;;;1
Oxoid;;3;;;;;3
Palux Service Center;;;1;;;;1
Panasonic Biomedical Sales Europe B.V.;;;1;;;;1
Panteia B.V.;;;;4;;;4
Partners4UrbanWater;;;;;2;;2
Pathologie-DNA B.V.;;1;;;;;1
PCE Brookhuis B.V.;;;1;;;;1
Pe Beleids- en Organisatie Advies;;;;;2;;2
Pepscan Presto B.V.;;1;;;;;1
PerkinElmer Nederland B.V.;;5;3;;;;6
Perseus;;;;;2;;2
Perseus Advies en Projecten;;;1;;;;1
Peter Smit Communicatiestrategie B.V.;;;;;1;;1
Pfizer B.V.;;;;;;7;7
Phenomenex B.V.;;1;;;;;1
Pinext;;;;;1;;1
Pluriform;;;;;2;;2
Poly Temp Scientific;;;2;;;;2
Poolster B.V.;;1;1;;;;1
POSG Professionals B.V.;;;;;3;;3
PQR B.V.;;;1;;;;1
Premed Health Care (PHC) B.V.;1;1;1;;;;1
Procare;;1;1;;;;1
Promega Benelux B.V.;;1;;;;;1
Prosense B.V.;;;1;;;;1
Provecho B.V.;3;;;;;;3
PROXY Laboratories B.V.;;;;;;4;4
PTV Holding B.V.;2;1;;;1;;2
Q Delft B.V.;;;;;;1;1
Qiagen Benelux B.V.;;4;1;;;;4
Qlip;1;;;;1;;1
QRS Healthcare;;1;;;;;1
Quelsa B.V.;;1;;;;;1
raadgevende;;;;;2;;2
Rae Benelux B.V.;;;1;;;;1
RAV Hollands Midden;;;;;2;;2
Red Five B.V.;;;;;1;;1
Remyx;;;;;3;;3
Research Diet Services B.V.;;;;1;;;1
Retomed Health B.V.;;1;;;;;1
Rhumbline Consultancy B.V.;;;1;;;;1
Rigo Research en Advies B.V.;;;;;2;;2
Roche Diagnostics Nederland B.V.;;4;2;;;;4
Roche Nederland B.V.;;;;;;1;1
RPS advies- en ingenieursbureau B.V.;;;;;4;;4
RS Components B.V.;;1;;;;;1
Ruben Verhaaf Software-Architect & Developer;;;;;2;;2
Ruigrok NetPanel;;;;2;;;2
RuimteFocus;;;;;2;;2
Saltro Diagnostic and Medical Services B.V.;3;;;;2;;3
Sanbio B.V.;;2;;;;;2
Sanitas-Water;;;;;2;;2
Sanquin Blood Supply Foundation;;1;;;;;1
Sanquin Diagnostiek B.V. i.o.;;;;;2;;2
Sanquin Plasma Products B.V.;;7;;;;;7
Sarstedt B.V.;;1;;;;;1
Satis;;;;;2;;2
Savia Toekomstgericht Advies;;;;;1;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;3;;3
Science Business Support;;;;;1;;1
Science In Action B.V.;;;;;1;;1
Separations Analytical Instruments B.V.;;1;;;;;1
Shimadzu Benelux;;1;2;;;;2
Siemens Healthcare Nederland B.V.;;2;1;;;;2
Sigma-Aldrich Chemie N.V.;;2;;;;;2
Sijnesael Advies;;;;;1;;1
Sintec B.V.;;;1;;;;1
SIROSS;;;;;1;;1
SMARTmv;;;;;3;;3
Sogeti Nederland B.V.;;;;;;2;2
Sopachem B.V.;;1;2;;;;2
Speciaaldrukkerij Lijnco Groningen B.V.;;1;;;;;1
Stago BNL B.V.;;1;1;;;;1
Staman Advies en verkenning;;;;;1;;1
Steriservice Nederland;;;1;;;;1
Stg. Beh. Drd.gld. Van Dalen Adv. te Groning.;;;;;;1;1
Stg. Nederlands Inst. voor Alcoholbeleid STAP;;;;;1;;1
Stg. Streeklab. v.d. Volksgezondh. Kennemerl.;;;;;3;;3
Stg. Vr. van het Laurentius Ziekenh. Roermond;1;;;;;;1
Sticht. Int. Foundation for Integrated Care;;;;;1;;1
Stichting Administratiekantoor Kropman;;1;2;;;;2
Stichting Aids Fonds - Soa Aids Nederland;;;;;4;;4
Stichting Bargerveen;;;;;2;;2
Stichting Centrum Wiskunde & Informatica;;;;;2;;2
Stichting Deltares;2;;;;2;;3
Stichting e-hulp.nl;;;;;2;;2
Stichting Elisabeth-TweeSteden Ziekenhuis;5;;;;;;5
Stichting Fonds Instituut Clingendael;;;;;3;;3
Stichting Geonovum;;;;;1;;1
Stichting Hanzehogeschool Groningen;;;;;1;;1
Stichting Informatie Voorziening Zorg;;;;;1;;1
Stichting Isala Klinieken;7;;;;;;7
Stichting Kenniscentrum Sport Nederland;;;;;1;;1
Stichting Milieu Centraal;;;;;2;;2
Stichting Onderzoek Medisch Centrum Alkmaar;1;;;;2;;2
Stichting Onze Lieve Vrouwen Kliniek;;;;;1;;1
Stichting PAMM Laboratorium voor Pathologie;1;;;;;;1
Stichting VeiligheidNL;;;;;2;;2
Stichting Walk the line;;;;;1;;1
Stichting ZorgTTP;;;;;1;;1
Stratec Services B.V.;;;1;;;;1
Stratumse Apotheek B.V.;;;;;;1;1
Stroomt Holding B.V.;;;;;2;;2
Synergy Health Ede B.V.;;;;;;2;2
Synergy Health Holding B.V.;1;;;;;;1
Sysmex Nederland B.V.;;1;2;;;;2
T. Fast Advies;;;;;2;;2
Tabula Rasa B.V.;;;;;1;;1
Tauw B.V.;4;;;;3;;4
Tebu Bio B.V.;;1;;;;;1
Tecan Benelux B.V.B.A.;;1;2;;;;2
Techn. Advies- en Handelsburo J.J. Bos B.V.;;;1;;;;1
Technische Unie B.V.;;1;1;;;;1
Techno Force Solutions B.V.;1;;;;;;1
Technolution B.V.;;;;;2;;2
Tecnilab-BMI B.V.;;1;1;;;;1
Telegrootgebruik B.V.;;;1;;;;1
Tensen & Nolte Infectiepreventie B.V.;;;;;2;;2
Tenviro milieu & chemie;;;;;2;;2
Thermo Fisher Scientific B.V.;;1;3;;;;3
Thessco B.V.;;;1;;;;1
ThorLabs;;1;;;;;1
TNO B.V.;4;;;;7;;7
TNS Nipo B.V.;;;;2;;;2
Today Designers B.V.;;;;;1;;1
Total Safety B.V.;;1;;;;;1
Tpf Control B.V.;;;1;;;;1
Transposafe Systems;;;;;;1;1
TriOpSys B.V.;;;;;1;;1
Triplemass B.V.;;;1;;;;1
Triptic B.V.;;;;;2;;2
Triskelion B.V.;;;;;2;;2
Tritium Microbiologie B.V.;;1;;;;;1
Tromp Medical B.V.;;1;;;;;1
TSH Benelux B.V.;;;1;;;;1
Tweehuysen Advies;;;;;2;;2
U-Cytech B.V.;;1;;;;;1
UniCarriers Netherlands Service B.V.;;;1;;;;1
Valcom Compliance and Validation B.V.;1;;;;;;1
van Aanholt beleidsadvies;;;;;1;;1
Van der Laan, Gryglicki & Partners B.V.;;;;;2;;2
Van Swinden Laboratorium;;1;1;;;;1
VCK Logistics;;1;;;;;1
VCMI N.V.;;;1;;;;1
Veba Meditemp B.V.;;2;;;;;2
Veiligheidstechniek Nederland B.V.;;;1;;;;1
Veip B.V.;;1;;;;;1
Veldkamp Marktonderzoek B.V.;;;;2;;;2
Veolia Water Technologies Netherlands B.V.;;;1;;;;1
Verberne;;;;;2;;2
Verhaar Gebeko;;;2;;;;2
Verspoor Advies B.V.;;;;;1;;1
Vicrea Solutions B.V.;;;;;1;;1
VieCuri Medisch Centrum voor Noord-Limburg;1;;;;;;1
Vinitex Laboratoriuminrichtingen B.V.;;;3;;;;3
Vito;;;;;2;;2
VWR International B.V.;;6;2;;;;6
Wageningen Plant Research;;;;;4;;4
Wageningen Research Holding B.V.;;;;;6;;6
Waters Chromatography B.V.;;1;2;;;;2
Watson-Marlow B.V.;;1;;;;;1
Weerspecialist;;;1;;;;1
Werfen B.V.;;1;1;;;;1
Werkgeverskeuringen B.V.;1;;1;;;;1
Westburg B.V.;;2;1;;;;2
White Queen B.V.;;;;;4;;4
Wilchem B.V.;;;2;;;;2
Wilten Instrumenten;;;1;;;;1
WING Process Consultancy B.V.;;;;;6;;6
WM Grondboorbedrijf B.V.;;;2;;;;2
Xerox (Nederland) B.V.;;;1;;1;;1
XMARK B.V.;;;1;;;;1
Xolphin B.V.;;;;;;1;1
Yacht;;;;;;2;2
Zetes B.V.;;1;;;;;1
Zuidelijke Land- en Tuinbouworganisatie;;;;;2;;2
Zuyderland Medisch Centrum (locatie Geleen);;;;;1;;1
Eindtotaal;8;8;7;6;8;11;11
