Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
B & V Brandbeveiliging B.V.;;1;;;;;;;;1
B&G Catering Service;1;;;;;;;;;1
B.i.T. Netherlands B.V.;;;;;1;;;1;;1
B.J. Bontekoe;;;;;1;;;;;1
B.L. Mulder B.V.;;;;;;;;1;;1
B.V. Bouwbedrijf J. A. Van Niftrik;;;;;;;1;;;1
B.V. Korthofah;;1;;;;;;1;;1
B.V. Nederlandse Anodising Maatschappij;;;;;;;;1;;1
B.V. Princeville Exploitatie;;;;;1;;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;;;;1;;1
B.V.D.A. International B.V.;;1;;;;;;1;;1
B+B Vakmedianet B.V.;;1;;;;;;;;1
Baas B.V.;;;;;;;1;;;1
BÃ¶cker Nederland B.V.;;;;;;;;1;;1
Bakery Cafe Kottier;1;;;;1;;;;;1
Bakker Bart Demer B.V.;1;;;;;;;;;1
Bakker Derks 'Der Deutsche Backer';1;;;;;;;;;1
Bakker Professional B.V.;1;;;;;;1;1;;1
Bakker Van Maanen Productie B.V.;1;;;;;;;;;1
Bakker Wim;1;;;;;;;;;1
Bakkerij De Lekkerbek B.V.;1;;;;1;;;;;1
Bakkerij Jansen en Terpstra;;;;;1;;;;;1
Bakkerij Timmer;;;;;1;;;;;1
Bakkerij Wegerif;1;;;;;;;;;1
Bakkerijcatering Ter Weme;1;;;;;;;;;1
Bakkerswerkplaats Wij Zijn Rotterdam B.V.;;;;;1;;;;;1
Bakx & Meijer catering en organisatie;1;;;;;;;;;1
Ballonnenservice.nl;;;;;1;;;1;;1
Bally's Bowling;;;;;1;;;;;1
BAM Bouw en Techniek regio Zuidwest;;1;;;1;;2;;;2
Banketbakkerij Arnold Cornelis B.V.;;;;;1;;;;;1
Banketbakkerij Boheemen;;;;;1;;;;;1
Banketbakkerij Borgman;1;;;;;;;;;1
Banketbakkerij De Jong;;;;1;1;;;;;1
Banketbakkerij De Kruyter;;;;;1;;;;;1
Banketbakkerij H.F. Borsboom;1;;;;;;;;;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;1;;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;;1;;;;;1
Banketbakkerij Nijstad;1;;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;;;1;;;;;1
Banketbakkerij van Beek & Specker B.V.;1;;;;1;;;;;1
Banketbakkerij-Partyservice Van den Berg;;;;;1;;;;;1
Bar Bistro Speakers;;;;;1;;;;;1
Bar Restaurant Pavlov B.V.;;;;;1;;;;;1
Barbarossa Beach B.V.;;;;;1;;;;;1
Barista Café Rotterdam B.V.;;;;;1;;;;;1
Barkasbus;1;;;;;;;;;1
Barn47 B.V.;;1;;;;;;;;1
Bartels catering;1;;;;;;;;;1
Barthen Rioleringswerken B.V.;;;;;;;1;1;;1
Bas Timmers, uw Glasspecialist V.O.F.;;;;;;;1;;;1
Bavak Beveiligingsgroep B.V.;;1;;;;;2;1;;2
Bax-shop.nl B.V.;;1;;;;;1;1;;1
BCD Travel Nederland B.V.;;;;;1;;;1;;2
BDGF B.V.;;;;;1;;;;;1
Be Now;;;;;1;;;;;1
Beaumont B.V.;;1;;;;;1;;;1
Bedrijfscatering Jan Vendrig;1;;;;;;;;;1
Bedrockz;;;;;1;;;;;1
BeGlobal Relatiegeschenken;;;;;;;;1;;1
Belangenver. Bedrijfshulpverlening Nederland;;1;;;;;;;;1
Beleg van Breda;1;;;;;;;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;;;1;;;;;1
Benny de Koning;;;;;;;;1;;1
Berden Retail B.V.;;;;;;;;1;;1
Berdenmeubelen B.V.;;;;;;;;1;;1
BerdoTime B.V.;;;;1;;;;1;;1
Berendsen Textiel Service B.V.;;;;;;1;;;;1
Bergh Delisse Events;;;;;1;;;;;1
Bermuda-Music;;;;;1;;;;;1
Beta-Guard B.V.;;1;;;;;;;;1
Beter Leven Zorg;;1;;;;;;;;1
Better Future B.V.;;;;;1;;;;;1
Beuk Horeca B.V.;;;;;;;;1;;1
Beuk Touringcars;;;;;1;;;;;1
Beun- de Ronde B.V.;;;;;;;;1;;1
Beurtvaartadres document B.V.;;;;;1;;;;;1
Beveiligingshop Twente B.V.;;1;;1;;;;;;1
Bever Assen B.V.;;;;;;;1;;;1
BHV Competent;;1;;;;;;;;1
Bhv-Specialist.Nl;;1;;;;;;;;1
BHVstore.nl;;1;;;;;;;;1
Bieling Zeefdruk B.V.;;;;;;;;1;;1
BigaBeer t.h.o.d.n. De Bezorgbeer Zoetermeer;1;;;;;;;;;1
Bigoli;1;;;;;;;;;1
Bijkantoor Dunea;;;;;;;;;1;1
Bilderberg Grand Hotel Wientjes;;;;;1;;;;;1
Bilderberg Hotel De Keizerskroon;;;;;1;;;;;1
Billink B.V.;;;;1;;;;1;;1
Binder Groenprojecten;;;;;;;1;;;1
Bio-Rad Laboratories B.V.;;;;;;;;1;;1
Bis 26 B.V.;;;;;1;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;;;;;1;;1
Bisnez Management B.V.;;;;;1;;;;;1
Bistro Le Primeur B.V.;;;;;1;;;;;1
Bistro Mer B.V.;;;;;1;;;;;1
Bistro 'Poortje van Verlaan';;;;;1;;;;;1
BJT BOUW;;;;;;;2;;;2
BKB;;;;;2;;;;;2
BKFF bas kijzers fotografie en film;;;;;1;;;;;1
Bleijenberg Interieurbouw B.V.;;;;;;;;1;;1
BLOEM;;;;;1;;;;;1
bloem & styling aan de zeven alleetjes;;;;;1;;;;;1
Bloembinderij Cees Van Eijck;;;;;1;;;;;1
Bloemboetiek Fuchsia;;;;;1;;;;;1
Bloemenatelier in de Roos;;;;;1;;;;;1
Bloemengalerie Het Kerkbrugje;;;;;1;;;;;1
Bloemenhuis De Narcis;;;;;1;;;;;1
Bloemenhuis 'Meindert';;;;;1;;;;;1
Blomlezingen;;;;;1;;;;;1
BLOOM your message;;;;;1;;;;;1
blooming hotel en conferentielandgoed B.V.;1;;;;;;;;;1
BLOSSOM bloemisterij;;;;;1;;;;;1
BMJ Service;;;;;;;;1;;1
Boeddhashop;;;;;1;;;;;1
Boeketcadeau.nl;;;;;1;;;;;1
Boekhandel Adr. Heinen B.V.;;;;;1;;;;;1
Boekhandel Van der Velde B.V.;;;;;1;;;;;1
Boels Verhuur Lelystad;;;;;1;;2;1;;2
Boerhof Projectinrichters;1;;;;;;4;;;4
Bokhoven Bouw B.V.;;;;;;;1;;;1
bol.com B.V.;;;;;1;;;1;;1
Bolidt Kunststoftoepassing B.V.;;;;;;;1;;;1
Bon Bon Partyservice B.V.;;;;;1;;;;;1
Bond voor Materialenkennis;;;;;;;1;;;1
Boom B.V.;;1;;;;;;;;1
Boom uitgevers Amsterdam B.V.;;;;;1;;;1;;1
Boom uitgevers Den Haag;;1;;;;;;;;1
Boon Edam Nederland B.V.;;;;;;;1;;;1
Borduurwerkdeal B.V.;;;;;;;;1;;1
BO-Rent B.V.;;;;;;;1;;;1
Bos Incasso B.V.;;;;;;;;;1;1
Bos Vlaggen B.V.;;;;;;;1;;;1
Bosan B.V.;;;;;;;1;;;1
Bosch Hinges;;;;;;;;1;;1
Bosch Security Systems B.V.;;1;;;;;;;;1
Boschhuis Catering;1;;;;;;;;;1
Bossec-Technics;;1;;;;;;;;1
Boterwaag Den Haag B.V.;;;;;1;;;;;1
Bouma Sport en Groen B.V.;;;;;;;1;;;1
Bouquetterie Fronita;;;;;1;;;;;1
Bouter B.V.;1;;;;;;1;1;;2
Bouw- en Aannemingsbedrijf L. Dijkxhoorn B.V.;;;;;;;1;1;;1
Bouwbedrijf Buiteveld B.V.;;;;;;;1;;;1
Bouwbedrijf De Zwart B.V.;;;;;;;2;1;;2
Bouwbedrijf Kreeft B.V.;;;;;;;1;;;1
Bouwcenter Driessen;;;;;;;1;;;1
Bouwonderneming Jager B.V.;;;;;;;1;;;1
Bouwrijk B.V.;;;1;;;;;;;1
Bouwservice Fons van der Heijden B.V.;;;;;;;2;;;2
Bovenregionaal kantoor;;;;;;;;;1;1
Bowerkt B.V.;;;;;;;1;;;1
Bowling-Bistro Merlijn B.V.;;;;;;;;;1;1
BPI Services B.V.;;;;;;;;2;;2
BPM Medica;;;;;1;;;;;1
BPS International B.V.;;;;;;;1;;;1
Brabant Expres B.V.;;;;;1;;;;;1
Brabanthallen;;;;;2;;;;;2
Brabo Verpakking B.V.;;;;;;;;1;;1
Bragt Wonen;;;;;;;1;;;1
Brakel International B.V.;;;;;;;2;;;2
Brakkenstein B.V.;;;;;1;;;;;1
Bram Ladage Verse Patat B.V.;1;;;;;;;;;1
Branding Office Furniture B.V.;;;;;;;1;;;1
Brandpreventie Kreuwel V.O.F.;;1;;;;;1;;;1
Brandweertrainingscentrum Kleefse Waard B.V.;;2;;;;;;;;2
Brasserie Soho B.V.;;;;;1;;;;;1
Bravo-Preventie;1;2;;;;;;;;2
Breakout Rotterdam;;;;;1;;;;;1
Bredase Glasgroep B.V.;;;;;;;1;;;1
Bredzz;1;;;;;;;;;1
Breedveld Staal B.V.;;;;;;;1;1;;1
Breijer Contractonderhoud B.V.;;;;;;;2;;;2
Breman Zwolle B.V.;;;;;;;1;1;;1
BRENDING;;;;;1;;;;;1
Bres Hulpmiddelen;;;;;1;;;;;1
Breur Beveiligingen B.V.;;1;;;;;;;;1
Breur IJzerhandel Vlietlaan B.V.;1;1;1;;;;3;4;;5
Brezan Automaterialen Wolvega;;;1;;;;;1;1;1
Brink Industrial B.V.;;;1;1;;2;;;;2
Brinkman t.h.o.d.n. SUBWAY Rijswijk;1;;;;;;;;;1
BrinkQ Professional Flooring B.V.;;;;;;;1;;;1
Broekarts Graveerwerken V.O.F.;;;;;1;;;;;1
Broekhuis Doetinchem B.V.;;;;;;;1;;;1
Brondool B.V.;;1;;1;;;1;2;;2
Brood- & Banketbakkerij Prins;1;;;;;;;;;1
Brood- en Banketbakkerij P.A. Bliek;1;;;;1;;;;;1
Broodje Frank;1;;;;;;;;;1
Broodje van Martin;1;;;;;;;;;1
Brouwmarkt B.V.;;1;;;;;;;;1
Brunchclub;1;;;;;;;;;1
Brunschwig Chemie B.V.;;;;;;;1;;;1
Bruynzeel Storage Systems B.V.;;;;;;;1;1;;2
BTC Twente Beheer B.V.;1;;;;;;;;;1
Bubbels Agency;;;;;1;;;;;1
Buckaroo B.V.;;;;;;;;;3;3
buiskoppelingshop.nl;;;;;;;;1;;1
Buitenherberg Ter Linde;1;;;;;;;;;1
Buitenplaats Vaeshartelt B.V.;;;;;1;;;;;1
Bulbby B.V.;;;;;;;;1;;1
Bulder International;;;;;1;;;;;1
Bumicom Telecommunicatie B.V.;;1;;;;;;;;1
Bureau BlauwGeel B.V.;;;;;2;;;1;;2
Bureau Fris B.V.;1;;;;1;;;;;1
Bureau van der Meijden B.V.;;;1;;;;;;;1
Bureau Veritas Industrial Services;;;;;;;;1;;1
BureauVos ontwikkel./opleiding, train./coach.;;;;;;;1;;;1
Buro Blonk;;;;;1;;;;;1
Buro Extern B.V.;;;;;1;;;;;1
BURO2010 B.V.;;;;;1;;;;;1
Busch & Van der Worp;;;;;1;;;;;1
Bushurenzeeland.nl;;1;;;;;;;;1
Buyitdirect.com N.V.;;;;;;;1;2;;2
BvCM Collections B.V.;;;;;;;;;1;1
Cadeau Concepten B.V.;;;;;1;;;1;;1
Café Restaurant Hoogendam;;;;;1;;;;;1
Café Restaurant Piet Hein B.V.;2;;;;;;;;;2
Café Restaurant Rootz B.V.;;;;;1;;;;;1
CafÃ© De Ster;;;;;1;;;;;1
CafÃ© Restaurant 'De Hoeve' B.V.;1;;;;;;;;;1
CafÃ© Verheyden;;;;;1;;;;;1
CafÃ©-Restaurant Floor B.V.;;;;;1;;;;;1
Cafe Blossom;;;;;1;;;;;1
Caf� Restaurant Luchthaven Lelystad;1;;;;;;;;;1
Caf� Restaurant van Puffelen Caf� Restaurant;;;;;1;;;;;1
Cafetaria Jimmy's;1;;;;;;;;;1
Cafetaria 't Lambertje;1;;;;1;;;;;1
Calertho Bouwkunde B.V.;;;;;;;1;;;1
Calf & Bloom;;;;;1;;;;;1
Calluna Tuindesign;;;;;;;2;1;;2
CameraNU.nl;;;;;;;;1;;1
Camiel Mikily B.V.;;;;;1;;;;;1
Candyshop;;;;;1;;;;;1
Cannock Chase B.V.;;;;;;;;;1;1
Capax B.V.;;;;;1;;;;;1
Capgemini Nederland B.V.;;;;;1;;;;;1
Capricorn Lijsten B.V.;;;;;;;;1;;1
Card ID Solutions;;1;;;;;;1;;1
Card Vision B.V.;;1;;1;;;1;1;;1
Cargo-Cool B.V.;;;;;;;;1;;1
Carlton Ambassador Hotel B.V.;;;;;1;;;;;1
CARU Containers B.V.;;;;;;;1;;;1
Cascara Rodizio B.V.;;;;;1;;;;;1
Cashcontrol;;;;;;;;;1;1
Cashless Solutions;;;;;;;;1;;1
Castor Interieur B.V.;;;;;;;1;;;1
Catching Colors;;;;;1;;;;;1
Caterij Bielderman V.O.F.;1;;;;;;;;;1
Catering Company;1;;;;;;;;;1
Catering Houtop B.V.;;;;;1;;;;;1
Catering Service 't Ankertje;1;;;;;;;;;1
Catering Wolfs;1;;;;;;;;;1
CCV Group B.V.;;1;;;;;;1;1;1
CDR Vastgoed B.V.;;;;;;;1;;;1
Cees Oosterom Design;;;;;1;;;;;1
Centraal Boekhuis B.V.;;;;;;;1;;;1
Centraal Invorderings Bureau B.V.;;;;;;;;;1;1
Central Point Nederland B.V.;;;;;;;1;2;;2
Centrale Rino B.V.;;;;;;;;1;;1
Ch Brandbeveiliging B.V.;;1;;;;;;;;1
Charles van Eijken/Bezorgbeer Den Haag-Schev.;1;;;;;;;;;1
Chem-Dry C & W;;;;;;;1;;;1
Chemtec Chemicals B.V.;;;1;;;;;;;1
Chin. Specialiteiten Restaurant Color Flower;1;;;;;;;;;1
China Palace;1;;;;;;;;;1
Chinees Indisch Restaurant 'Hong Fong';1;;;;;;;;;1
Chinees Indisch Restaurant Long Sing;1;;;;;;;;;1
Chinees Indisch Restaurant Man Wah;1;;;;;;;;;1
Chinees Indisch Restaurant 'Ni Hao';1;;;;;;;;;1
Chinees Indisch Restaurant Nieuw China;1;;;;;;;;;1
Chinees Indisch Restaurant Tai Soen;1;;;;;;;;;1
Chinees Indisch Restaurant Walong;;;;;1;;;;;1
Chinees-Cantonees Restaurant Internationaal;1;;;;;;;;;1
Chinese Muur;1;;;;;;;;;1
Chiropractie prakt. hond, kat&paard-M.Martens;;;;;;;1;;;1
Chocolaterie Pierre;;;;;1;;;;;1
Chubb Fire & Security Amsterdam;;1;;;;;;;;1
Ciao! Ciao! B.V.;;;;;1;;;;;1
Cijfers en Letters Lichtreklame Zwolle;;1;;;;;;1;;1
CIO Platform Nederland;;;;;;;1;;;1
Claxwagen.nl;;;;1;;;;1;;1
CLB Integrated Solutions B.V.;;;;;;;;1;;1
Clean15;;;1;;;;;;;1
CleanProfs B.V.;;;1;;;;;;;1
Clearfreight B.V.;;;;;;;;2;;2
Clever Media Group B.V.;;;;;1;;;;;1
Clevr B.V.;;;;;1;;;;;1
Cloose;;;;;1;;;;;1
CNFKoetsier B.V.;1;;;;;;;;;1
Coöperatie De Betekenaar UA;;;;;1;;;;;1
CoÃ¶peratie Gevelreiniging Maastricht UA;;;1;;;;;;;1
Coca-Cola European Partners Nederland B.V.;1;;;;;;;;;1
Coenders Lottum B.V.;;;;;;;1;;;1
Coff. on Wheels thodn CasaBarista Amsterdam;;;;;1;;;;;1
Color Wood Holding B.V.;;;;;;;;1;;1
Colour XL B.V.;;;;;1;;;;;1
CombiCraft;;;;;;;1;;;1
Commplot in Communicatie;;;;;;;;1;;1
Compacon & Partners B.V.;;;;;2;;;;;2
Compacon B.V.;;;;;1;;;1;;1
COMPAREX Nederland B.V.;;;;;;;2;1;;2
Compass Group Nederland B.V.;5;;;;1;;;;;5
Compass Online Marketing B.V.;;;;;1;;;;;1
Comsec Safe B.V.;;1;;;;;;;;1
Confederation of European Probation;;;;;;;2;;;2
Conferentiehotel Guldenberg;1;;;;;;;;;1
Connected;;;;;1;;;;;1
Connected Information Systems B.V.;;;;;1;;1;;;1
Conrad Electronic Benelux B.V.;1;1;;1;;;1;1;1;2
Conradi's Constructie;;;;;;;1;;;1
Containerboxes4sale;;;;;;;1;;;1
Contenture;;;;;1;;;;;1
ContrAll Inspectie B.V.;;;;;;;;1;;1
Coolblue B.V.;;1;1;;1;;;1;;1
Coolworld Nederland B.V.;;;;;;;2;;;2
Co�peratie Schoonderwoerd & Partners UA;1;;;;1;;;;;1
Copy Service Leeuwarden B.V.;;;;;1;;;;;1
Copy Shop Den-Bosch;;;;;2;;;;;2
Cornelissen Aannemingsbedrijf B.V.;;;;;;;2;;;2
Cornelissen Service en Onderhoud B.V.;;;;;;;1;;;1
Corps 3 op twee B.V.;;;;;2;;;1;;2
Crazy Holding;;;;;1;;;;;1
Creagivity B.V.;;;;;1;;;;;1
Credifixx Incassoservices B.V.;;1;;;;;;;;1
Credit Card Keys Nederland B.V.;;;;1;;;;;;1
Credit Management Group B.V.;;;;;;;;;1;1
Creja Ontwerpen B.V.;;;;;1;;;;;1
Cristal Cleaning Heerhugowaard;;;1;;;;;;;1
Croissanterie 'de Snor' Beheer B.V.;1;;;;;;;;;1
Crossmediahuis B.V.;;;;;1;;;;;1
Crystal Specials;;;;;1;;;;;1
CSU B.V.;;6;7;2;1;;;1;1;8
CT-AV 'De Audiovisuele Inrichters';;;;;;;;1;;1
CUE-Support B.V.;;;;;1;;;;;1
Cultuurcantine Maarsseveen;;;;;1;;;;;1
CURA Advies & Training B.V.;;3;;1;;;1;1;;3
Cura Mortu Orum Mortuariabeheer B.V.;;;1;;;;;;;1
CURA Safety Solutions B.V.;;1;;;;;1;1;;2
Curtec Nederland B.V.;;;;;;;1;;;1
CWS Nederland B.V.;;;4;;;;;;;4
CXLS B.V.;;;;;1;;;;;1
Cyron Plot- & Repro Service;;;;;1;;;;;1
d' jonge Hond;;;;;1;;;;;1
D.P. Pizza Zoetermeer;1;;;;;;;;;1
Da Lina Lunchroom;1;;;;;;;;;1
Da Vinci Laboratory Solutions B.V.;;;;;;;;1;;1
Délifrance Haarlem B.V.;1;;;;;;;;;1
Dado Nederland;1;;;;;;;;;1
Dael Security B.V.;;1;;;;;;;;1
DÃ©lifrance-Gouda V.O.F.;1;;;;;;;;;1
DÃ¶rr Kampen B.V.;;;;;;;;1;;1
Dagelijks Lekker B.V.;1;;;;;;;;;1
Daleman Lijsten;;;;;1;;;;;1
