Leveranciersnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Anoniem 762;;;;1;;;;;;1
Anoniem 763;;;;1;;;;;;1
Anoniem 766;;;1;;;;;;;1
Anoniem 767;;;;1;;;;;;1
Anoniem 771;;;;1;;;;;;1
Anoniem 774;;;;;;1;;;;1
Anoniem 775;;;;1;;;;;;1
Anoniem 779;;;;1;;;;;;1
Anoniem 78;;;;;;;;;1;1
Anoniem 781;;;;1;;;;;;1
Anoniem 782;;;;1;;;;;;1
Anoniem 783;;;;1;;;;;;1
Anoniem 784;;;;1;;;;;;1
Anoniem 786;;;;;;;;;1;1
Anoniem 789;;;;1;;;;;;1
Anoniem 79;;;;;;1;;;;1
Anoniem 799;;;;1;;;;;;1
Anoniem 8;;;;;;1;;;;1
Anoniem 800;;;;1;;;;;;1
Anoniem 803;;;;;;;;;1;1
Anoniem 807;;;;1;;;;;;1
Anoniem 814;;;;;;1;;;;1
Anoniem 817;;;;1;;;;;;1
Anoniem 818;;;;1;;;;;;1
Anoniem 820;;;;;;1;;;;1
Anoniem 821;;;1;;;;;;;1
Anoniem 822;;;;1;;;;;;1
Anoniem 827;;;;1;;;;;;1
Anoniem 829;;;;;;1;;;;1
Anoniem 834;;;;;;1;;;;1
Anoniem 838;;;;1;;;;;;1
Anoniem 842;;;;;;1;;;;1
Anoniem 843;;;;;;2;;;;2
Anoniem 86;;;;1;;;;;;1
Anoniem 89;;;2;;;;;;;2
Anoniem 90;;;;;3;;;;;3
Anoniem 91;;;;;;2;;;;2
Anoniem 93;;;;1;;;;;;1
Anoniem 94;;;;1;;;;;;1
Anoniem 97;;;;;;1;;;;1
ANTIQUARIAAT A G VAN DER STEUR;;;;;;1;;;;1
Antropia B.V.;;;;;;1;;;;1
ANWB;;;;;;1;;;;1
AOG CONTRACTONDERWIJS;;;;;;2;;;;2
APCOA Parking Nederland B.V.;;;;1;;;;;1;1
APPAM;;;;;;1;;;;1
ARA Groep B.V.;;;;;1;;;;;1
Arbo Unie;;;5;;;;;;;5
ArboDirect;;;7;;;;;;;7
Arbolight;;;2;;;;;;;2
ARBONED;;;2;;;;;;;2
ARBOVITALE;;;1;;1;;;;;1
ARCADIS Nederland;;;;;;1;;;;1
ARCADIS NEDERLAND B.V.;;;1;;;;;;;1
Ardis opleiding;;;;;;1;;;;1
ARDIS OPLEIDINGEN;;;;;;2;;;;2
ARDIS ORGANISATIE ONTWIKKELING;;;;;;2;;;;2
Ardis Organisatieontwikkeling B.V.;;;;;;1;;;;1
Argentijns Grillrestaurant El Gaucho;;;;1;;;;;;1
ARGOS COACHING;;;;;;1;;;;1
aromalunch.nl;;;;1;;;;;;1
Arteos;;;;;;1;;;;1
Artiestenbureau van Otterloo B.V.;;;;2;;;;;;2
Artige B.V.;;;;1;;;;;;1
Artikraak;;;;2;;;;;;2
Athene Palace B.V.;;;;1;;;;;;1
ATIM BACE Academy;;;;;;1;;;;1
ATLANTIC & PACIFIC EXCHANGE PROGRAM;;;;;;1;;;;1
Atlantic Hotel Exploitatie B.V.;;;;;;1;;;1;1
ATTINGHAM SUMMER SCHOOL;;;;;;1;;;;1
August;;;;1;;;;;;1
AutiTalent B.V.;;;;;;;;;1;1
Autobusbedrijf Doornbos B.V.;;;;1;;;;;;1
Automotive Publishing B.V.;;;;1;;;;;;1
Avans Hogeschool B.V.;;;;;;1;;;;1
Avans Hogeschool MB B.V.;;;;;;2;;;;2
AVDD;;;;;;;;;2;2
AVDR WEBINARS B.V.;;;;;;1;;;;1
Avex B.V.;;;;2;;;;;;2
A-Way Events & Wellness B.V.;;;;1;;;;;;1
Awingu NV;;;;;;1;;;;1
B & T Productions;;;;1;;;;;;1
b Network;;;;;;;;;1;1
B ZWART;;;;;;1;;;;1
B.4. B.V.;;;;1;;;;;;1
B.V. DUIN-KONIJN;;;;1;;;;;;1
B+B Vakmedianet B.V.;;;;1;;1;;;;1
B4 Solutions;;;;;1;;;;;1
Babel B.V.;;;;;;1;;;;1
Babymand.nl;;;;1;;;;;;1
Bada Swang Productions;;;;;;1;;;;1
Bakker Bart;;;;1;;;;;;1
Bakker Groffen B.V.;;;;1;;;;;;1
BAKKER PRINS;;;;1;;;;;;1
BAKKER VAN MAANEN PRODUCTIE B.V.;;;;1;;;;;;1
Bakkerij Bergman;;;;1;;;;;;1
BAKKERIJ VAN KEMPEN;;;;1;;;;;;1
Bakx & Meijer catering en organisatie;;;;2;;1;;;;2
BALANS & IMPULS;;;;;;1;;;;1
Balans & Impuls B.V.;;;1;;1;2;;;;2
Balansgroep opleidingen & consultancy;;;;;;1;;;;1
Balkangrill;;;;1;;;;;;1
Bally's Bar, Grill&Bowling;;;;1;;;;;;1
Ballys Bowling;;;;1;;;;;;1
Bally's Bowling;;;;1;;;1;;;1
Bamboo Inn Restaurant;;;;1;;;;;;1
Banketbakkerij Boheemen;;;;1;;;;;;1
BANKETBAKKERIJ MAASSEN;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
Banketbakkerij Teunissen;;;;1;;;;;;1
BANKETBAKKERIJ-PARTYSERVICE VAN DEN;;;;1;;;;;;1
BAR RESTAURANT LITTLE V;;;;1;;;;;;1
BAR RESTAURANT PAVLOV;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;;1;;;;;1;1
Bar Restaurant Pavlov BV;;;;;;;1;;;1
BARBAROSSA BEACH;;;;2;;;;;;2
Barendsen;;;;1;;;;;;1
Barendsen Gebr. B.V. (Bloomy);;;;1;;;;;;1
BARLOW;;;;1;;;;;1;1
Basaal;;;;;;;;;1;1
Bastion Hotel Breda B.V.;;;;;;;;;1;1
BASTION HOTEL HET LOO B.V.;;;;;;;;;1;1
BASTION HOTEL RIJSWIJK B.V.;;;;;;;;;2;2
Bastion Hotel Weesp B.V.;;;;;;;;;1;1
Baston Service B.V.;;;;1;;;;;;1
BCN B.V.;;;;;;2;;;1;2
Beach Professionals B.V.;;;;1;;;;;;1
Beachclub Indigo;;;;2;;;;;;2
Beachclub Indigo B.V.;;;;1;;;;;;1
Bedrijfsartspraktijk Nederland;;;3;;;;;;;3
BedrijfsMotivaties B.V.;;;;;;2;;;;2
Bedrijfsuitjes Groep;;;;2;;;;;;2
Beerens Business Press (BBP Media);;;;;;1;;;;1
Behartiging Opleidingen Bouwnijverheid B.V.;;;;;;1;;;;1
Beheerstichting De Goudsche Waag;;;;1;;;;;;1
Belastingdienst Centrale Administratie;;;;;;1;;;;1
BeleefBreda;;;;1;;;;;;1
Beleidstheater;;;;1;;;;;;1
Belevenisboerderij Oosthoek;;;;1;;;;;;1
Belvedere Cafe Restaurant;;;;1;;;;;;1
Benelux Bureau;;;;;;1;;;;1
Bento Presentaties;;;;;;1;;;;1
BERENSCHOT;;;;;;4;;;;4
Berenschot B.V.;;;;;;3;;;;3
Berenschot BV;;;;;;1;;;;1
Berenschot Groep B.V.;;;;;;2;;;;2
Bergh Delisse Events;;;;1;;;;;;1
BERGHAUSER PONT ACADEMY B.V.;;;;;;1;;;;1
Berkel Projectontwikkeling;;;;;;1;;;;1
Berkhoff Consult;;;;;;1;;;;1
Berlin Marriot;;;;;;;;;1;1
BESL Eventagentur GMBH;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;;;2
Betonvereniging';;;;;;1;;;;1
Betuws Wijndomein;;;;1;;;;;;1
Beuk Touringcars;;;;1;;;;;;1
BEUTH VERLAG GMBH;;;;;;1;;;;1
BEZEMER KUIPER & SCHUBAD B.V.;;;;;;1;;;;1
BGH Slegers;;;;;;1;;;1;1
BIERBROUWERIJ DUITS & LAURET B.V.;;;;1;;;;;;1
Bierfabriek Delft B.V;;;;1;;;;;;1
BIJ FLOOR;;;;1;;;;;;1
BIJZONDER STRAFRECHT;;;;;;1;;;;1
Bilderberg Grand Hotel Wientjes;;;;;;;;;1;1
Bilderberg Hotel Zwolle;;;;;;;;;1;1
Bilderberg Parkhotel Rotterdam;;;;;;;;;1;1
Bilderberg Residence Groot Heideborgh;;;;;;;;;1;1
Billink B.V.;;;;1;;;1;;;1
BINNENLANDS BESTUUR;;;;;2;;;;;2
Biometrics Institute Limited;;;;;;;;1;;1
Bison Bowling;;;;1;;;;;;1
Bistro 't Kannetje B.V.;;;;1;;;;;;1
Bits of Freedom;;;;;;;;;1;1
Bizon Events BV;;;;1;;;;;;1
BLAAAUW;;;;;;1;;;;1
Blankestijn & Partners B.V.;;;;;;1;;;;1
Bleekemolen Indoor Kart Planet B.V.;;;;1;;;;;;1
Bleyenberg;;;;1;;;;;1;1
Bling;;;;1;;;;;;1
bloem & styling aan de zeven alleetjes;;;;1;;;;;;1
Bloemsierkunst Futura;;;;1;;;;;;1
Blom Onderzoek + Ontwikkeling;;;;;;1;;;;1
Bloom House of Health;;;;;;1;;;;1
blooming hotel en conferentielandgoed B.;;;;1;;;;;;1
BLOSSOM BLOEMISTERIJ;;;;1;;;;;;1
Blue Sakura B.V.;;;;1;;;;;;1
BMC ADVIES;;;;;;2;;;;2
BME Opleidingen;;;;;;1;;;;1
BME Opleidingen B.V.;;;;;;1;;;;1
BOBBE INTERNATIONAL;;;;;;2;;;;2
Bobeldijk Financiële Zorgverlening;;;;;;1;;;;1
Bodega De Posthoorn;;;;1;;;;;;1
BOEKHANDEL DOUWES;;;;1;;1;;;;1
Boertien Vergouwen Overduin B.V.;;;;;;1;;;;1
BOHEEMEN BANKETBAKKERIJ;;;;1;;;;;;1
BOJO B.V.;;;;;;;;;1;1
Bokstijn Feestartikelen;;;;1;;;;;;1
bol.com b.v.;;;;1;;1;;;;1
Bond van Landpachters en Eigen-Grondgebruikers in Nederland (BLHB);;;;;;1;;;;1
Boogh Arbeidsre-integratie;;;;;;1;;;;1
BOOKS UNLIMITED;;;;1;;;;;;1
Bookx B.V.;;;;1;;;;;;1
BOOM UITGEVERS DEN HAAG B.V.;;;;;;1;;;;1
BOOMERANG BEACH;;;;1;;;;;;1
Boost Events;;;;1;;;;;;1
Bornbasket.nl;;;;1;;;;;;1
BORO Scheveningen B.V.;;;;1;;;;;;1
Bos & Bos Infoversum B.V.;;;;1;;;;;;1
BOS HORECA B.V.;;;;1;;;;;;1
Boshotel Utrechtse Heuvelrug;;;;;;1;;;;1
Boterwaag Den Haag B.V.;;;;1;;;;;;1
Bouffe et Boisson B.V.;;;;1;;;;;;1
Boulevardtrein;;;;1;;;;;;1
BouwNext Kennis B.V.;;;;;;;;;1;1
BOWLING SCHEVENINGEN;;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
Brain Box Mediatraining B.V.;;;;;;1;;;1;1
Brandpreventie Academy B.V.;;;;;;1;;;;1
Brasserie Berlage;;;;;;;;;1;1
BRASSERIE BUITENHOF;;;;1;;;;;;1
Brasserie in den Zevenden Hemel;;;;1;;;;;;1
Brasserie Soho B.V.;;;;;;;1;;;1
Breinkorf;;;;;;1;;;;1
Breizh B.V.;;;;1;;;;;;1
Brics;;;;;;1;;;;1
Bridgeman;;;;1;;;;;;1
Bright Events;;;;1;;;;;;1
Brood- en Banketbakkerij Godschalk;;;;1;;;;;;1
Brood- en banketbakkerij J.W. Blom B.V.;;;;1;;;;;;1
BROODJE BERT;;;;1;;;;;;1
Brouwhuis Breda B.V.;;;;1;;;;;;1
Brussaard Chauffeursdiensten B.V.;;;;1;;;;;;1
Buckaroo Online Payment Services;;;;;;1;;;;1
Buena Vista Beach Club;;;;1;;;;;;1
BUILDING BUSINESS;;;;;;1;;;;1
Building G100;;;;;;1;;;;1
Building Solutions Provider B.V.;;;;;;2;;;;2
buildingSMART Benelux Chapter;;;;;;1;;;;1
BUREAU GREVEN;;;;;;1;;;;1
BUREAU KENNIS;;;;;;1;;;;1
Bureau Leef;;;;;;1;;;;1
Bureau Liedeweijde;;;;;;1;;;;1
BUREAU SCHIJF;;;;;;1;;;;1
Bureau Tromp B.V.;;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;;2;;;;2
BUREAU ZUIDEMA LEARNING SOLUTIONS;;;;;;3;;;;3
Bureau Zuidema Learning Solutions B.V.;;;;;;1;;;;1
BURGER COACHING & ADVIES;;;;;;1;;;;1
Burn Out Poli;;;2;;;2;;;;2
Buro Brand Visuele Communicatie;;;;;;1;;;;1
Buro Grootswagers Communicatie&Spel;;;;;;1;;;1;1
Buro Q B.V;;;;1;;;;;;1
BURO T.O.L. B.V.;;;;;;1;;;;1
Buro Tijdink B.V.;;;;;;1;;;;1
Buro van de Panne;;;1;;;;;;;1
Buro van Oranje;;;;;;1;;;;1
Burrata Turfmarkt B.V.;;;;1;;;;;1;1
Business Enablers;;;;;;1;;;;1
Business Talent Network B.V.;;;;;1;;;;;1
BVO Opleidingen B.V.;;;;;;3;;;;3
C.A.C. CONSULTANCY IN ASSESSMENT &;;;;;;1;;;;1
Cadac Group AEC B.V.;;;;;;2;;;;2
Cadeaubonnen.nl B.V;;;;1;;;;;;1
