Handelsnaam;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Arko Sports Media B.V.;1;;;;;1
Arnage Horeca B.V.;;;1;;;1
Aroq Ltd.;1;;;;;1
Art 4 You Decorations;;;;;2;2
ASEPEX;;;;1;;1
Associación Nicaragüense de Turismo Receptivo ANTUR;;;;1;;1
ATP Business Travel B.V.;;;;2;;2
Attentio;;;;;1;1
Aumacon;1;;;;;1
Automotive Publishing B.V.;;;;;2;2
AutomotiveNL B.V.;;;;1;;1
Autoridade da Concorrencia;;;;1;;1
Autorita Garante Della Concorrenza e del Mercato;;;;1;;1
Autorite de la Concurrence;;;;1;;1
AvdR Webinars B.V.;1;;;;;1
Avex B.V.;;;;;1;1
Axon Connect B.V.;1;;;;;1
B&F Palace Amsterdam B.V.;;;;1;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;1
B.V. Rederij G. Doeksen en Zonen;;;;;1;1
B+B Vakmedianet B.V.;1;;;;;1
B2Match GmbH;;;;1;;1
BAJ Productions;;;;1;;1
Bajol tekst en interpretatie;;1;;;;1
Banketbakkerij Boheemen;;;1;;;1
Banketbakkerij Gosselaar;;;1;;;1
Banketbakkerij Tearoom Müller;;;;;1;1
Banketbakkerij-Chocolaterie Lentelink;;;1;;;1
Bar Aandacht;;;;1;;1
Bar Restaurant Pavlov B.V.;;;1;1;;1
Barbarossa Beach B.V.;;;;1;;1
Bart van Vliet Freelance Fotograaf;;;;;1;1
Bas Westerweel Produkties;;;;1;;1
Bayerische Staatsbibliothek;1;;;;;1
Belgische Mededingings Autoriteit BMA;;;;1;;1
Berg en Ideeën;;;;1;;1
Beroepsvereniging Vide;1;;;;;1
BeuseCOMM;;;;;4;4
Bewonersbedrijf Kamperpoorterij (Wijkcentrum Ons Eigen Huis);;;;1;;1
BIJ12;1;;;;;1
BIM Media B.V.;;;;;2;2
bioPress Verlag KG;1;;;;;1
Blaauw Space Affairs;;;;;2;2
Blendle B.V.;1;;;;;1
Blinker B.V.;;;;;1;1
Blitz Communicatie;;;;;1;1
Bloemenboetiek Abutilon;;;1;;;1
Bloemstylist Hans Zijlstra;;;1;;;1
Blokland Agrarische Administratie & Advies;;;1;;;1
Bloomberg L.P.;2;;;;;2
BLOS Horeca B.V.;;;;1;;1
BlueCity010 B.V.;;;;1;;1
Bobbe International B.V.;4;;;;;4
Boca's Rotterdam B.V.;;;;1;;1
Boekhandel Van Stockum Belinfante & Coebergh;2;;;;;2
Boels Verleih GmbH;;;;1;;1
Boenders Catering B.V.;;;;1;;1
Boerengilde B.V.;;;;1;;1
bol.com B.V.;1;;1;;;1
Boomerang Beach;;;;1;;1
Boosty II B.V.;;;;1;;1
Bos & Bos Catering TT B.V.;;;;1;;1
Bos Vlaggen B.V.;;;;;1;1
Bowling Scheveningen B.V.;;;1;;;1
Brainport Development N.V.;;;;2;;2
Branchever. Particul. Org. Int. Samenwerk.;1;;;;;1
Brandwise B.V.;;;;1;;1
Brasserie Stadhuis B.V.;;;;1;;1
Bredemeijer Group B.V.;;;2;;;2
Brood Banket Bakkerij Haafs;;;1;;;1
Brooklands Horeca B.V.;;;;1;;1
Brussels Expo;;;;1;;1
B-Taal;;;;1;;1
Bubbles Company B.V.;;;;;2;2
Buitenlandse Persvereniging in Nederland;;;;1;;1
Bundesministerium für Arbeit, Soziales und Konsumentenschutz;;;;1;;1
Bundesverband Neue Energiewirtschaft e.V.;;;;1;;1
Bureau Duyvestijn;;;;;1;1
Bureau Europeen des Unions de Consommateurs;;;;1;;1
Bureau G.I.T.;;;;1;;1
Bureau van Dijk Electronic Publishing B.V.;3;;;;;3
Bureau voor Beeldzaken;;;;1;;1
Bureau voor Overheidscommunicatie B.V.;;;;;1;1
Burgerij Amsterdam Centraal B.V.;;;;1;;1
Business Flowers Zwolle;;;1;;;1
Businesseurope AISBL;;;;1;;1
BuzzMaster B.V.;;;;1;;1
BViT Noordwijk;;;;2;;2
C. Kornuyt B.V.;;;1;;;1
C.N.B.;1;;;;;1
Café Bolhuis;;;1;;;1
Café Restaurant Parkzicht;;;1;;;1
Cafe/Restaurant Schlemmer;;;;1;;1
Café-Restaurant Campman B.V.;;;;1;;1
Café-Restaurant De Plantage B.V.;;;;1;;1
Café-Restaurant De Prinsenkelder;;;;1;;1
Café-Restaurant Riva B.V.;;;;1;;1
Campus Deltion College;;;1;;;1
Cannock Chase B.V.;;;;;1;1
Carat Nederland B.V.;;;;1;3;3
Carlson Wagonlit Nederland B.V.;;;;1;;1
Carnegie-Stichting;;;;1;;1
Carwei Communications;;;;2;;2
Cascadis;1;;;;;1
Cashier Malta Government;;;;1;;1
Catalina Gordon Consulting;;;;1;;1
Cateringbedrijf 'Cadenza';;;;1;;1
Cava Andalusië;;;1;;;1
CCV Holland B.V.;1;;;;;1
Cendris Dataconsulting B.V.;;;;;1;1
Centraal Boekhuis B.V.;1;;;;1;1
Centrale Adviesdienst Fruitteelt B.V.;1;;;;;1
Centre for Economic Policy Research CEPR;1;;;;;1
Charles River Laboratories Den Bosch B.V.;;;1;;;1
Cheeseworks;;;;;1;1
China Inroads B.V.;;;;1;;1
China Unlimited;;1;;;;1
Chris Westra Consulting B.V.;1;;;;;1
Clayton Hotels;;;;1;;1
cloo&leyn;;;;2;;2
CMP Information;;;;2;;2
CNO-Expo B.V.;;;;1;;1
Co. Scholten Fourages;1;;;;;1
Code Zero Visual Concepts;;;1;;;1
Coexport El Salvador;;;;1;;1
Collactive B.V.;1;;;;;1
Colwyn Communications;;;;;1;1
Comic House Amsterdam B.V.;;;;1;;1
Comisión de Promoción del Perú para la Exportación y el Turismo - PROMPERÚ;;;;1;;1
Comision National Mercados y Competencia;;;;1;;1
Commedia Consult;;;;;1;1
Communicatie adviesbureau Statement;;;;;1;1
Communicatie Bureau Podium B.V.;;;;2;2;3
Communicatiebureau De Lynx;;;;;1;1
COMPASS GmbH;;;;1;;1
Compass Group Nederland B.V.;;;1;1;;1
Competition & Consumer Protection Commission;;;;1;;1
Competition and Markets Autority;;;;1;;1
Competition Concul;;;;1;;1
comScore B.V.;;;;;2;2
Con Fuego;;;;1;;1
Concentra Media Nederland B.V.;;;;;1;1
Concorde Group B.V.;;2;;;1;2
Congress by design B.V.;;;1;2;;2
Consensus Economics Inc;1;;;;;1
Consumentenbond;1;;;;;1
Coöperatief Congrestolkensecretariaat UA;;2;;;;2
Coosto B.V.;2;;;;;2
Coosto Holding B.V.;2;;;;;2
Corrino Media Corporation B.V.;;;;;2;2
Cositax;;;;;1;1
Crowd Support B.V.;;;;1;;1
Crowdbooster;1;;;;;1
CT Tran;;;1;;;1
Cuisine Royale B.V.;;;;1;;1
Cuisine@yourhome;;;1;1;;1
Cycleswap B.V.;;;;1;;1
Daan exploiteert B.V.;;;1;;;1
Dado Nederland;;;;1;;1
Dairy Training Centre B.V.;;;;1;;1
Data Scripta B.V.;2;;;;;2
De Bazar B.V.;;;;1;;1
De Bierelier B.V.;;;1;;;1
De Blaauwe Kamer;;;;1;;1
De Booij Party en Congresarchitekten;;;;2;;2
De Branding Utrecht B.V.;;;1;;;1
De Breed & Partners B.V.;;;1;;;1
De Byzantijn;;;1;;;1
De Corridor;;;1;;;1
De Expeditie Hut B.V.;;;2;;;2
De Goesting;;;;1;;1
De Groene Amsterdammer' Weekblad voor Nederland;1;;;;;1
De Grote Slok B.V.;;;1;;;1
De Havengids;;;;;1;1
De Heeren Van Leeuw;;;1;;;1
De Holland Winkel;;;1;1;;1
De Japanse Watertuin B.V.;;;;1;;1
De Keizerskroon Deventer B.V.;;;;1;;1
De Kleine Schorre B.V.;;;;1;;1
De Kleurenverdieping;;;1;;;1
De Koninklijke Nederl. Vereniging voor Koude;1;;;;;1
De Korenbeurs;;;1;;;1
De Matroos en het Meisje;;;;1;;1
De Merkplaats B.V.;1;;;;;1
de Persgroep Nederland B.V.;;;1;;;1
De Plannerij;;;;1;;1
De Podium Groep B.V.;;;;1;;1
De Roos Geschenken B.V.;;;2;;;2
De Rotterdam B.V.;;;;1;;1
'De Saladetuin' Catering;;;1;;;1
De Schenker B.V.;;;1;;;1
De Smelt B.V.;;;1;;;1
De Taalmeesters;;;;;1;1
De Utrechtse Noorderlingen B.V.;;;;1;;1
De Volkskrant B.V.;1;;;;;1
De Vreugdehoeve;;;;1;;1
De Vrouwenpoort;;;;1;;1
De Vuursche Boer B.V.;;;;1;;1
De Waard Eetbaar Landschap;;;;2;;2
DE WACHTKAMER 3e klasse;;;;1;;1
De Waterreus;;;;1;;1
De Winkel van Sinkel B.V.;;;1;;;1
'De Zeemeeuw' Strandpaviljoen;;;;1;;1
Deba 2000 B.V.;;;1;;;1
Debatacademie;;;;1;;1
Deborah Abrahams;;;;1;;1
Defabrique Evenementen B.V.;;;;2;;2
Degen en Leideritz;1;;;;2;2
DeKa Verhuur;;;;1;;1
deLex Media en Management B.V.;1;;;;;1
deLex Solutions B.V.;1;;;;;1
Delight Eventdesign B.V.;;;;1;;1
Deloitte Group Support Center B.V.;;;;;2;2
Delphy B.V.;;;1;;;1
Demat GmbH;;;;2;;2
Demi Sec;;;;1;;1
Demokwekerij B.V.;;;;1;;1
DENK communicatie;;;;2;;2
Dept Jobs Enterprise & Innovation;;;;1;;1
Deutsche Messe Aktiengesellschaft;;;;2;;2
Deutscher Outsourcing Verband e.V. (DOV);;;;1;;1
Development Foundation of Armenia;;;;2;;2
Dias Gebäudemanagement GmbH;;;;1;;1
Didong Indonesisch Restaurant;;;;1;;1
Diergeneeskundige Studenten Kring;;;;1;;1
Digidentity B.V.;;1;;;;1
Digital Design and Animation;;;;;1;1
Digitalia B.V.;;;;;1;1
Dingemanse Puur Culinair;;;;2;;2
Direcao Geral do Consumidor;;;;1;;1
Direct Research B.V.;;;;;1;1
Discountoffice.nl B.V.;;;1;1;;1
Dish B.V.;;;;1;;1
DLG Service GmbH;;;;1;;1
Dor B.V.;;;;1;;1
Double 2 B.V.;;;;1;;1
DPI Animation House B.V.;;;;;2;2
Driestar educatief;;;;1;;1
Drukwerkdeal.nl;;;;;1;1
DTQon;;1;;;;1
Dudok Den Haag B.V.;;;;1;;1
Duitslandnieuws GmbH;;;;1;;1
Dunfield Editing;;2;;;;2
Düsseldorf Congress Sport & Event GmbH;;;;1;;1
Dynamic Communities;;;;2;;2
E. Cure;1;;;;;1
EAFP (European Association of Fish Pathologists);1;;;;;1
EBSCO Information Services B.V.;2;;;;;2
Eco-Plus Bouw B.V.;;;;2;;2
EcoValue;;;;;2;2
Ecrivus International;;1;;;;1
Ecuasistem S.A.;;;;2;;2
Eden Oranje Hotel B.V.;;;;1;;1
Eet- en koffiehuis de Kiosk;;;1;;;1
Efar B.V.;;;;;1;1
Effective English;;1;;;;1
EGN Nederland B.V.;1;;;;1;1
Egyptian Export Council for Handicrafts (EECH);;;;1;;1
Eisma Industriemedia B.V.;1;;;;;1
El Gusto;;;1;;;1
El Niño Business Consulting;;;;1;;1
Elda Fiorillo;;;;1;;1
Elior - Restaurants and sites;;;;1;;1
Elzinga Catering;;;1;;;1
EMITT, East Mediterranean International Tourism and Travel Exhibition;;;;1;;1
EMMA Communicatie B.V.;;;;;2;2
Energy Transition New York;;;;2;;2
Enterprise Summit B.V.;;;;1;;1
Entopic B.V.;;;;;2;2
Environment and School Initiatives (ENSI);1;;;;;1
Equipoise B.V.;;;;1;;1
ER;;;;1;1;1
ESB B.V.;1;;;1;;1
Estate Hosting B.V.;1;;;;;1
Eta Florence Renewable Energies;;;;2;;2
Eurest Services B.V.;;;;1;;1
Eurisy;1;;;;1;2
Euromast Horeca B.V.;;;;1;;1
Euromonitor International Ltd;5;;;;;5
European Central Bank;;;;1;;1
European Speechwriter Network;;;;;1;1
European Weed Research Society;1;;;;;1
Eurovet;;;;2;1;2
Evenementenhal Gorinchem B.V.;;;;1;;1
Evenementenhal Hardenberg B.V.;;;;1;;1
Evidente;1;;;;;1
Evite Services B.V.;;;1;5;1;5
EVO Fenedex B.V.;1;;;;;1
Evolve Media Group;;;;1;;1
Experian Nederland B.V.;1;;;;;1
ExpertUpdate B.V.;1;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;;1
Expo-Line Nederland;;;;1;;1
EYE - Bar Restaurant B.V.;;;;1;;1
Eykman Moving Mirrors B.V.;;;;;1;1
F & S Bd Service PLC;;;;1;;1
F&L Publishing Group;1;;;;;1
F4 Group Limited;;;;1;;1
Faber Holding B.V.;;;2;1;;2
FaberExposize B.V.;;;1;;;1
Falke & Verbaan B.V.;1;;;;;1
FC Business Intelligence LTD.;;;;1;;1
FEB Development;;1;;;;1
Federatie voor de Nederlandse Export;1;;;1;;1
Federation of Associations of Ghanaian Exporters FAGE;;;;2;;2
Fellini Assen B.V.;;;1;;;1
FFACTS B.V.;;;1;;;1
Fietsenstalling 'Laag Catharijne';;;;1;;1
Fine Arts Productions John van Helvert;;;;;1;1
Fish & Meat B.V.;;;1;;;1
Five Spices B.V.;;;;4;;4
FIZ Karlsruhe (STN);1;;;;;1
Fleishman-Hillard B.V.;;;;2;;2
Fleurop-Interflora Nederland B.V.;;;2;1;;2
Fleurtiek Amsterdam B.V.;;;1;;;1
FloraHolland;;;;1;;1
Flying Elephants;;;;1;;1
Forbrugerraadet Taenk;;;;1;;1
Fortuin Sociale Gebiedsontwikkeling;;;;1;;1
Fotografie : Paul Voorham;;;;1;1;1
Fotografie Jurgen Huiskes;;;;1;;1
Fotografie Nienke Elenbaas;;;;;1;1
Frans Hempen Verhuur;;;;1;;1
Frephitophe;;;;;1;1
Freshplaza B.V.;;;;1;;1
Fridays B.V.;;;1;;;1
Frisse Zin;;;;;1;1
Fugro GeoServices B.V.;1;;;;;1
Further East Consult;;;;1;;1
G2k Designers G1;;;;;1;1
Gail Rajgor T/A GSR Publications;;1;;;;1
Gajes in de Bajes;;;;1;;1
Galbe Event & Catering Planner;;;;1;;1
Galerij De Hamer;;;1;;;1
Gall & Gall;;;1;;;1
Garoeda Indonesisch restaurant;;;1;;;1
Gazdasagi Versenyhivatal;;;;1;;1
Gebroeders Van Dam;;;1;;;1
General Accounting Office;;;;1;;1
Geo-Informatie Nederland;1;;;;;1
Georgian Wine Association;;;;2;;2
GerVin Enterprise;;;;2;;2
Geschenkbezorgen.nl B.V.;;;1;;;1
Geuns Uitvaartbegeleiding;;;;;1;1
GFK Panel Services Benelux;1;;;;;1
GGN van Mastrigt & Partners;1;;;;;1
Gielissen's Bedrijven B.V.;;;;6;4;6
Gifts At Work;;;1;;;1
Gilde Amersfoort;;;1;;;1
Gispen Groningen;;;;1;;1
GL events World Forum Convention Center B.V.;;;1;2;;2
global sarana convex;;;;3;;3
Glorad;;;;1;;1
GMI Groep B.V.;;;;1;;1
Goedman Kunstenaarsbenodigdheden;;;;1;;1
Goesting eten en drinken;;;1;;;1
Gojo Ethiopisch Traditioneel Restaurant B.V.;;;;1;;1
Good Conditions B.V.;;;;;1;1
Gourmet Invent;;;;1;;1
GOURMETSANTAFE CIA. LTDA.;;;;1;;1
Grafisch Service Centrum Van Gils B.V.;;;;;1;1
Grand Café de Pakschuit;;;1;;;1
Grand Cafe Lubeck;;;1;;;1
Grand Café Restaurant Dames Dijkstra;;;1;;;1
Grand Hôtel Amrâth Kurhaus B.V.;;;;1;;1
Grandcafé De Wens B.V.;;;1;1;;1
Grand-Cafe Verderop;;;1;;;1
Great Crested Grebe Media;;;;1;;1
Groeneveld Horeca B.V.;;;;1;;1
Groot Vrisekoop Concept & Creatie B.V.;;;;1;;1
Grote Poot Horeca B.V.;;;1;;;1
Guus Schoonewille Fotografie;;;;;1;1
H&N Communicatie B.V.;;;;2;;2
H.B. Banket B.V.;;;1;;;1
H.J. Smith;;;1;;;1
H.J.M. Zonderland Fotografie;;;;;1;1
H4M Beheer B.V.;;;;1;;1
HablaFish;;;;;2;2
Halte 3 Grand Café B.V.;;;;1;;1
Hamburg Messe und Congress GmbH;;;;1;;1
Hans Roggen Fotografie;;;;;2;2
Hanting Cuisine B.V.;;;1;1;;1
Happy Day Tours;;;;1;;1
Harmonia B.V.;;;1;;;1
Harolds Grafik B.V.;;;;1;;1
HatRabbits;;;;;2;2
Havenbedrijf Rotterdam N.V.;;;;1;;1
HCP international;;;1;;;1
HD Video Productions B.V.;;;;2;;2
Head Office Nederland B.V.;1;;;;2;2
Health2Work B.V.;;;;;1;1
Hein Post Wijnen Gastronomie;;;1;;;1
Heineken Experience;;;;1;;1
Helder Werk B.V.;;;;;2;2
Hella Mutsaerts Notuleerservice;;1;;;;1
Herrmann & Schmidt;;;;1;;1
Het NIC B.V.;1;;;;;1
Het Notuleercentrum B.V.;;1;;;;1
Het Pleidooi;;;1;1;1;1
Het Postkantoor Delft;;;1;;;1
Het Restaurant van Piet Hein Eek B.V.;;;;1;;1
Heuvelman Sound & Vision B.V.;;;;2;;2
HIHCL Amsterdam B.V.;;;;1;;1
HippoLine B.V.;;;;;1;1
Hoek 21 promotions;;;1;;;1
Hoekstra Makelaardij;;;;1;;1
Hofland & Habieb V.O.F.;;;1;;;1
Hofman Sportprijzen;;;;1;;1
Hofstad Events;;;1;;;1
Hokra B.V.;;;2;2;;3
Holding Beheermaatschappij Ropeni B.V.;;;1;1;;1
Holland Combinatie;;;;;1;1
Holland Promotion B.V.;;;3;1;;3
Hollandse Hoogte B.V.;;;;;2;2
Hoober B.V.;;;1;;;1
Horeca Exploit. Maatschappij City Hall B.V.;;;;1;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;;;1;1
Horecapa B.V.;;;;1;;1
Hosting.nl B.V.;;;;;1;1
Hotel Contact B.V.;;;2;7;;7
Hotel De Hallen B.V.;;;;1;;1
Hotel De Jonge Exploitatie B.V.;;;1;;;1
Hotel De Ville B.V.;;;1;;;1
Hotel Epsom Manotel;;;1;;;1
Hotel Exploitatiemij. Keizersgracht 384 B.V.;;;;1;;1
Hotel Mercure Parijs Vaugirard Porte de Versailles;;;;1;;1
Hotel New York B.V.;;;;1;;1
Hotel Post Plaza B.V.;;;;;1;1
Hotel Schylge B.V.;;;;;1;1
Hotel Shanker Pvt Ltd.;;;;1;;1
Hotel-Café-Restaurant 'De Draak' B.V.;;;;1;;1
House of Red & White B.V.;;;;1;;1
HPC Goodword;;;;;1;1
HTCE Site Management B.V.;;;;1;;1
HTM Personenvervoer N.V.;;;;1;;1
HTM Specials;;;;1;;1
Hulskamp Audiovisueel Utrecht;;;1;1;1;2
Humming;;;1;;;1
Hustle Creatives Coöperatief UA;;;;;1;1
Hutten Business Catering B.V.;;;;1;;1
HvP Media;;;;;1;1
Hydrozorg Interieurbeplanting;;;1;;;1
Hyperspin Pte Ltd;1;;;;;1
Hyphen Projects B.V.;;;;1;;1
I.D. Image Development;;1;;;1;1
IdeaCompany;;;;1;;1
Idols Den Haag B.V.;;;1;;;1
IDTechEx Ltd;;;;1;;1
IDTV Live360 B.V.;;;;;1;1
Igo-Post B.V.;;;;1;;1
Ilja van Roon;;;;;2;2
Image-in Media B.V.;;;;;1;1
Improvement Centre B.V.;;;1;;;1
In Pace B.V.;;;;1;;1
In2Content B.V.;;;;2;4;5
in60seconds B.V.;;;;;1;1
Indisch Restaurant Garoeda;;;;1;;1
Industrial Asset Management Council;;;;1;;1
Informa Exhibitions Limited;;;;4;;4
Informa UK Ltd, Customer Services;1;;;;;1
Infotrading B.V.;1;;;;;1
Inge Diepman B.V.;;;;2;;2
IngeSchminkt;;;;1;;1
Innovatie Centrum Duurzaam Bouwen B.V.;;;;1;;1
Innovatie en Duurzaamheid B.V.;;;;1;;1
Innovero Software Solutions B.V.;1;;;;;1
InsightsWorld B.V.;1;;;;;1
Institut Arbeid und Technik (IAT);;;;1;;1
Institut de droit de la concurrence;1;;;;;1
Instituut Maatschappelijke Innovatie;;;;2;;2
Instituut van Internal Auditors Nederland;1;;;;;1
Insyde B.V.;;;;;1;1
Int. Fine Art Photography Pieter De Vries;;;;1;;1
International Academy of Astrounautics;;;;;1;1
International Association Of Fish Inspectors;1;;;;;1
International Astronautical Federation;1;;;;1;1
International Innovation Company B.V.;;;;1;;1
International Trade Centre;2;;;;;2
Intersafe Groeneveld B.V.;;;;;1;1
Intraservice Dienstverlening B.V.;;;;1;;1
Intrum Justitia Nederland B.V.;;;1;;;1
IOP Publishing Limited;1;;;;;1
IPMA - NL;1;;;;;1
Ipsos B.V.;;;;;1;1
Istana Indonesisch Restaurant;;;;1;;1
It Nova B.V.;;;;;1;1
ITE Moda Ltd;;;;2;;2
ITSA Limited;2;;;;;2
IT-Staffing Nederland B.V.;;;;;1;1
IUCN Eastern & Southern Africa Regoinal Office;;;;1;;1
IUNetworks;;;;1;;1
Iventus;;;;1;;1
Iwema;;;1;;;1
J.A. Kleijmans;;1;;;;1
J.A. Robinson;;;;1;;1
J.P. van Soest-Advies voor Duurzaamheid B.V.;;;;1;;1
J2C Communication SARL;;;;1;;1
Jaarbeurs B.V.;;;1;1;;1
Jan Buwalda Fotografie;;;;;1;1
JCM Context B.V.;;;;;1;1
JEM-ID;;;;;1;1
Jia;;;1;;;1
JOE Global (Automotive) Support B.V.;;;;1;;1
Joe's;;;1;;;1
Joli V.O.F.;;;;1;;1
Joop van Houdt Fotografie-Video;;;;;1;1
Joor It;;;1;;;1
Joost Hoebink;;;;1;;1
Justice Connection;;;;1;;1
Kalyna Language Services;;1;;;;1
Kamangir;;;;1;;1
Kanai Architectuur & Visualisatie;;;;1;;1
Kantjil Amsterdam B.V.;;;;1;;1
Kasteel Oud-Poelgeest B.V.;;;;1;;1
Kempen Media B.V.;;;;;1;1
Kenisur;;;;1;;1
Kenya Tourist Board;;;;2;;2
Kick Smeets Fotografie;;;;;1;1
Kiefer GmbH;;;;1;;1
Kim van Zweeden;;;;;1;1
Klantenservice Federatie;1;;;;;1
Kluwer;1;;;;;1
Kluwer Law International;1;;;;;1
Knippenborg Subsidieadvies B.V.;;;1;;;1
Knowledge Exchange B.V.;3;;;;;3
Koelnmesse GmbH;;;;1;;1
Kolpia Klimaatonderzoek B.V.;1;;;;;1
Kompaan;;;1;;;1
Kon. Ned. Veren. van Informatieprofessionals;1;;;;;1
Koninkl. Ned. Ver. voor Weer- en Sterrenkunde;;;;;1;1
Koninkl. Nederl. Plantenziektekund. Verenig.;1;;;;;1
Koninkl. Nederl. Ver. E.H.B.O. Afd. Apeldoorn;;;;1;;1
Koninklijk Instituut van Ingenieurs;1;;;;;1
Koninklijk Nederlands Waternetwerk;1;;;;;1
Koninklijke BDU Grafisch Bedrijf;;;;;1;1
Koninklijke Kampert en Helm Rotaform B.V.;;;;;2;2
'Koninklijke Metaalunie';;;;2;;2
Koninklijke Nederl. Mij. voor Diergeneeskunde;1;;;;;1
Koninklijke van der Most B.V.;;;;;1;1
Koninklijke van Gorcum B.V.;1;;;;;1
Konsumentverket;;;;1;;1
Korea Bureau Sana Song (KBSS);;1;;;;1
Kosmos Reisgids;;;1;;;1
KPN B.V.;1;;;;;1
KPN Consulting B.V.;;;;;1;1
Kreisler Import B.V.;2;;;;;2
Kreuger in Kultuur;;;;1;;1
Kris Kras context, content and design;;;;2;2;3
Kris Kras Design B.V.;;;;;3;3
Kwekerij Arendshoeve B.V.;;;;2;;2
Kyboko Business Development;;;;1;;1
La Vina B.V.;;;1;1;;1
Laanen Solo B.V.;;;;1;;1
Landesmesse Stuttgart GmbH;;;;1;;1
Landgoed Duin & Kruidberg B.V.;;;;1;;1
Landpachters en Eig.-Grondgebruikers in Ned.;1;;;;;1
Laverbe;;;;;1;1
Law Business Research Ltd. / Global Competition Review (GCR);1;;;;;1
Le Borsalino;;;1;;;1
Le Strasbourg;;;;1;;1
LE:EN Restaurant B.V.;;;1;;;1
Leene Communicatie;;;;;2;2
Leo Crombach;;;;1;;1
Leo van de Wouw Regisseur/Programmamaker;;;;;1;1
Level Higher;;;;1;;1
LexisNexis Benelux;2;;;;3;3
LexisNexis Business Information Solutions B.V.;2;;;;;2
Licensing Executives Society Benelux;1;;;;;1
Limburgse Bond-Ontwikk. afgek. LLTB-Ontwikk.;;;;1;;1
Lindhout E & S;;;;1;;1
Linguist Link Europe;;1;;;;1
Linkeroever;;;;1;;1
Linthorst Culinair;;;;2;;2
Lithuanian Competition Council;;;;1;;1
Livetime Productions B.V.;;;;1;;1
Locatie Marketing en Management Company B.V.;;;;3;;3
Locatus;2;;;;;2
Logeion;;;;;1;1
LogoChoc B.V.;;;;1;;1
Loic Music Productions;;;;1;;1
LOT of Architecture & Design;;;;;1;1
Lulu Wang Holding B.V.;;1;;;;1
Lunchroom Het Monument V.O.F.;;;;1;;1
Luuk Poorthuis Illustrator;;;;1;;1
LVA INDICES SA;1;;;;;1
Lyreal;;;;1;;1
Lysias Advies B.V.;;;;1;;1
M Del Rosario Pajuelo;;;;1;;1
Maatsch. B.F.L.&Z. ter Schure&R.J. ter Schure;;;1;;;1
Maatschap A. Baas & A.C. Baas Van Dijk;;;1;;;1
Maatschap G. de Baat en M.R. de Baat-Korevaar;;;1;;;1
Maatschap Laarman;;;1;;;1
Maatschap M. en G.J. Oosterhuis;;;1;;;1
Maatschap Nijenhuis Overgaauw;;;1;;;1
Maatschap Stuut-Meijer;;;1;;;1
