FID,omschr,afst_obst,pos_omschr,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
wegbermen_wegvak.38,Berm met obstakels,,Buitenberm,H,214459027,2016-12-01T00:00:00,0,44,021445902720161201,KLK0008079107,L,I,,"LINESTRING (107356.01099999994 529897.0650000013, 107353.94900000095 529890.318, 107353.94900000095 529878.699000001, 107353.94900000095 529866.5170000009, 107355.24100000039 529853.4090000018)"
wegbermen_wegvak.39,Obstakelvrije berm,,Middenberm,T,214459027,2016-12-01T00:00:00,10,22,021445902720161201,KLK0007073980,L,I,,"LINESTRING (107353.94900000095 529887.3731000014, 107353.94900000095 529878.699000001, 107353.94900000095 529875.3731000014)"
wegbermen_wegvak.40,Obstakelvrije berm,,Middenberm,T,214459027,2016-12-01T00:00:00,29,44,021445902720161201,KLK0007073979,L,I,,"LINESTRING (107353.94900000095 529868.3731000014, 107353.94900000095 529866.5170000009, 107355.24100000039 529853.4090000018)"
wegbermen_wegvak.41,Berm met geleideconstructie,4 -> 4,Buitenberm,H,210397105,2017-04-01T00:00:00,0,14,021039710520170401,KLK0008251359,R,I,,"LINESTRING (105196.6790000014 498665.0700000003, 105207.85750000179 498656.6413999982)"
wegbermen_wegvak.42,Berm met geleideconstructie,4 -> 1.5,Buitenberm,H,210397101,2017-04-01T00:00:00,0,8,021039710120170401,KLK0008104151,R,I,,"LINESTRING (105304.94700000063 498652.5, 105310.40619999915 498658.3478000015)"
wegbermen_wegvak.43,Berm met geleideconstructie,1.5 -> 1.5,Buitenberm,H,210397101,2017-04-01T00:00:00,8,35,021039710120170401,KLK0006648782,R,I,,"LINESTRING (105310.40619999915 498658.3478000015, 105315.46999999881 498663.7719999999, 105323.5309999995 498676.81599999964, 105324.65900000185 498680.44000000134)"
wegbermen_wegvak.44,Berm met geleideconstructie,1 -> 1,Buitenberm,T,210397100,2017-05-01T00:00:00,35,37,021039710020170501,KLK0008251416,R,I,,"LINESTRING (105317.88650000095 498805.74269999936, 105317.0850000009 498803.4389999993)"
wegbermen_wegvak.45,Ondergronds,1 -> 1,Buitenberm,T,210397100,2017-05-01T00:00:00,34,35,021039710020170501,KLK0008251415,R,I,,"LINESTRING (105318.21510000154 498806.68719999865, 105317.88650000095 498805.74269999936)"
wegbermen_wegvak.46,Berm met geleideconstructie,1.5 -> 1.5,Buitenberm,T,208246099,2015-10-01T00:00:00,0,124,020824609920151001,KLK0008695458,R,I,,"LINESTRING (104183.9690000005 423394.3539999984, 104193.80099999905 423396.9829999991, 104203.75 423397.05799999833, 104219.97300000116 423399.4770000018, 104234.55200000107 423404.57400000095, 104253.63500000164 423410.756000001, 104267.77600000054 423417.743999999, 104283.15900000185 423427.0859999992, 104298.31830000132 423437.15100000054)"
wegbermen_wegvak.47,Berm met geleideconstructie,3.5 -> 3.5,Buitenberm,H,208246099,2015-10-01T00:00:00,0,5,020824609920151001,KLK0008695457,R,I,,"LINESTRING (104183.9690000005 423394.3539999984, 104188.79930000007 423395.64559999853)"
wegbermen_wegvak.48,Berm met obstakels,,Middenberm,T,176323056,2018-04-01T00:00:00,0,38,017632305620180401,KLK0008814427,L,I,,"LINESTRING (88381.1559999995 461893.52800000086, 88386 461897, 88412.90199999884 461915.07499999925)"
wegbermen_wegvak.49,Berm met obstakels,,Buitenberm,H,176323056,2018-04-01T00:00:00,11,32,017632305620180401,KLK0005425068,L,I,,"LINESTRING (88390.18360000104 461899.810899999, 88407.61459999904 461911.5225000009)"
wegbermen_wegvak.50,Terminal,1 -> 1,Buitenberm,T,334210058,2018-04-01T00:00:00,10,11,033421005820180401,KLK0008129791,R,I,,"LINESTRING (167508.08659999818 405374.6576000005, 167508.96409999952 405374.1779000014)"
wegbermen_wegvak.51,Berm met geleideconstructie,1 -> 1,Buitenberm,T,334210058,2018-04-01T00:00:00,0,5,033421005820180401,KLK0008129790,R,I,,"LINESTRING (167499.311999999 405379.4539999999, 167503.69929999858 405377.05579999834)"
wegbermen_wegvak.52,Berm met geleideconstructie,1 -> 1,Buitenberm,H,334210058,2018-04-01T00:00:00,0,5,033421005820180401,KLK0008199331,R,I,,"LINESTRING (167499.311999999 405379.4539999999, 167503.69929999858 405377.05579999834)"
wegbermen_wegvak.53,Berm met geleideconstructie,1 -> 1,Buitenberm,T,334210058,2018-04-01T00:00:00,11,13,033421005820180401,KLK0008199332,R,I,,"LINESTRING (167508.96409999952 405374.1779000014, 167511.04399999976 405373.04100000113)"
wegbermen_wegvak.54,Berm met geleideconstructie,.5 -> 3.75,Buitenberm,H,399115044,2018-12-01T00:00:00,0,17,039911504420181201,KLK0008145984,R,I,,"LINESTRING (199772.03500000015 357773.60500000045, 199771.41600000113 357763.75400000066, 199771.15900000185 357756.1499999985)"
wegbermen_wegvak.55,Obstakelvrije berm,,Middenberm,T,475293059,2018-02-01T00:00:00,9,18,047529305920180201,KLK0008094158,R,I,,"LINESTRING (237717.48429999873 446770.52710000053, 237724.9530000016 446776.3269999996)"
wegbermen_wegvak.56,Obstakelvrije berm,,Buitenberm,H,475293059,2018-02-01T00:00:00,9,18,047529305920180201,KLK0008094152,R,I,,"LINESTRING (237717.48429999873 446770.52710000053, 237724.9530000016 446776.3269999996)"
wegbermen_wegvak.57,Obstakelvrije berm,,Middenberm,T,457281016,2018-03-01T00:00:00,0,14,045728101620180301,KLK0008093824,M,I,,"LINESTRING (228642 440900, 228650 440889)"
wegbermen_wegvak.58,Obstakelvrije berm,,Middenberm,T,92136006,2018-05-01T00:00:00,0,15,009213600620180501,KLK0008141168,M,I,,"LINESTRING (46319 368227, 46320 368212)"
wegbermen_wegvak.59,Obstakelvrije berm,,Buitenberm,H,92136006,2018-05-01T00:00:00,0,8,009213600620180501,KLK0008141171,M,I,,"LINESTRING (46319 368227, 46319.53220000118 368219.0177000016)"
wegbermen_wegvak.60,Verhoogde/verlaagde berm,,Buitenberm,H,418398004,2018-06-01T00:00:00,0,13,041839800420180601,KLK0008825880,L,I,,"LINESTRING (209212.9849999994 499499.9479999989, 209201.44200000167 499506.8370000012)"
wegbermen_wegvak.61,Berm met geleideconstructie,1.5 -> 1.5,Middenberm,T,418398004,2018-06-01T00:00:00,0,13,041839800420180601,KLK0008825817,L,I,,"LINESTRING (209212.9849999994 499499.9479999989, 209201.44200000167 499506.8370000012)"
wegbermen_wegvak.62,Verhoogde/verlaagde berm,,Buitenberm,H,418399011,2018-06-01T00:00:00,0,116,041839901120180601,KLK0008825861,R,I,,"LINESTRING (209035.86400000006 499592.7430000007, 209135.2899999991 499533.84899999946)"
wegbermen_wegvak.63,Berm met geleideconstructie,1.5 -> 1.5,Middenberm,T,418399011,2018-06-01T00:00:00,0,116,041839901120180601,KLK0008825815,R,I,,"LINESTRING (209035.86400000006 499592.7430000007, 209135.2899999991 499533.84899999946)"
wegbermen_wegvak.64,Berm met obstakels,,Buitenberm,T,420396006,2018-06-01T00:00:00,0,1,042039600620180601,KLK0008783402,M,I,,"LINESTRING (210279.08700000122 498179.16600000113, 210279.6884999983 498178.3671000004)"
wegbermen_wegvak.65,Obstakelvrije berm,,Buitenberm,T,420396006,2018-06-01T00:00:00,1,12,042039600620180601,KLK0008783403,M,I,,"LINESTRING (210279.6884999983 498178.3671000004, 210286.30490000173 498169.5795000009)"
wegbermen_wegvak.66,Berm met obstakels,,Buitenberm,H,420396006,2018-06-01T00:00:00,0,12,042039600620180601,KLK0008150671,M,I,,"LINESTRING (210279.08700000122 498179.16600000113, 210286.30490000173 498169.5795000009)"
wegbermen_wegvak.67,Obstakelvrije berm,,Middenberm,T,260497010,2018-11-01T00:00:00,13,26,026049701020181101,KLK0008825286,R,I,,"LINESTRING (130169.63740000129 548697.4915000014, 130170.43699999899 548699.3150000013, 130170.53700000048 548707.0780000016, 130169.29800000042 548710.2369999997)"
wegbermen_wegvak.68,Verhoogde/verlaagde berm,,Buitenberm,H,260497010,2018-11-01T00:00:00,3,26,026049701020181101,KLK0008825284,R,I,,"LINESTRING (130163.92889999971 548689.4664000012, 130164.6950000003 548690.2619999982, 130167.94900000095 548693.6409999989, 130170.43699999899 548699.3150000013, 130170.53700000048 548707.0780000016, 130169.29800000042 548710.2369999997)"
wegbermen_wegvak.69,Berm met obstakels,,Buitenberm,H,168316069,2014-11-01T00:00:00,0,64,016831606920141101,KLK0008477016,L,I,,"LINESTRING (84122.72300000116 458383.9050000012, 84077.89200000092 458429.34600000083)"
wegbermen_wegvak.70,Obstakelvrije berm,,Middenberm,T,168316069,2014-11-01T00:00:00,0,64,016831606920141101,KLK0008477014,L,I,,"LINESTRING (84122.72300000116 458383.9050000012, 84077.89200000092 458429.34600000083)"
wegbermen_wegvak.71,Berm met obstakels,,Buitenberm,H,169315073,2014-11-01T00:00:00,3,36,016931507320141101,KLK0008477016,L,I,,"LINESTRING (84866.34070000052 457560.4571999982, 84849.46400000155 457577.58999999985, 84843.74700000137 457583.86400000006)"
wegbermen_wegvak.72,Obstakelvrije berm,,Middenberm,T,169315073,2014-11-01T00:00:00,3,36,016931507320141101,KLK0008477014,L,I,,"LINESTRING (84866.34070000052 457560.4571999982, 84849.46400000155 457577.58999999985, 84843.74700000137 457583.86400000006)"
wegbermen_wegvak.73,Obstakelvrije berm,,Middenberm,T,205260022,2014-11-01T00:00:00,0,1,020526002220141101,KLK0008151235,R,I,,"LINESTRING (102834 430248, 102834.97780000046 430247.7905000001)"
wegbermen_wegvak.74,Verhoogde/verlaagde berm,,Buitenberm,H,62192034,2014-11-01T00:00:00,0,20,006219203420141101,KLK0008132413,R,I,,"LINESTRING (31396.77199999988 396473.88599999994, 31394.313999999315 396470.38699999824, 31395.515000000596 396459.25499999896, 31398.780999999493 396456.76900000125)"
wegbermen_wegvak.75,Obstakelvrije berm,,Middenberm,T,62192034,2014-11-01T00:00:00,0,14,006219203420141101,KLK0004033405,R,I,,"LINESTRING (31396.77199999988 396473.88599999994, 31394.313999999315 396470.38699999824, 31395.357000000775 396460.71920000017)"
wegbermen_wegvak.76,Obstakelvrije berm,,Buitenberm,H,62196014,2014-11-01T00:00:00,0,20,006219601420141101,KLK0009790346,R,I,,"LINESTRING (31036.28500000015 398081.7650000006, 31033.903000000864 398080.8289999999, 31029.26399999857 398068.6710000001, 31031.3759999983 398064.4200000018)"
wegbermen_wegvak.77,Obstakelvrije berm,,Middenberm,T,62196014,2014-11-01T00:00:00,4,19,006219601420141101,KLK0009790358,R,I,,"LINESTRING (31033.389400001615 398079.4829999991, 31029.26399999857 398068.6710000001, 31030.789099998772 398065.60130000114)"
wegbermen_wegvak.78,Obstakelvrije berm,,Middenberm,T,128217019,2014-11-01T00:00:00,0,2,012821701920141101,KLK0009935415,R,I,,"LINESTRING (64338.11400000006 408653.2109999992, 64339.783300001174 408652.1094999984)"
wegbermen_wegvak.79,Obstakelvrije berm,,Buitenberm,H,128217019,2014-11-01T00:00:00,0,2,012821701920141101,KLK0009935410,R,I,,"LINESTRING (64338.11400000006 408653.2109999992, 64339.783300001174 408652.1094999984)"
wegbermen_wegvak.80,Berm met geleideconstructie,1 -> 1,Buitenberm,H,220434063,2014-11-01T00:00:00,6,10,022043406320141101,KLK0008078788,R,I,,"LINESTRING (110233.60000000149 517189.80000000075, 110236 517193)"
wegbermen_wegvak.81,Obstakelvrije berm,,Buitenberm,H,131259023,2014-11-01T00:00:00,4,27,013125902320141101,KLK0009789786,L,I,,"LINESTRING (65522.76069999859 429667.0810999982, 65526.00800000131 429670.6169999987, 65527.99199999869 429679.8779999986, 65525.44099999964 429688.73999999836)"
wegbermen_wegvak.82,Obstakelvrije berm,,Middenberm,T,131259023,2014-11-01T00:00:00,4,27,013125902320141101,KLK0009789784,L,I,,"LINESTRING (65522.76069999859 429667.0810999982, 65526.00800000131 429670.6169999987, 65527.99199999869 429679.8779999986, 65525.44099999964 429688.73999999836)"
wegbermen_wegvak.83,Berm met geleideconstructie,1 -> 1,Buitenberm,H,402404034,2014-11-01T00:00:00,0,13,040240403420141101,KLK0009772128,R,I,,"LINESTRING (201147 502215, 201159.97879999876 502215.74159999937)"
wegbermen_wegvak.84,Verhoogde/verlaagde berm,,Buitenberm,H,174308067,2014-11-01T00:00:00,0,21,017430806720141101,KLK0003995399,L,I,,"LINESTRING (87139.7490000017 454235.32400000095, 87125.77899999917 454251.0033)"
wegbermen_wegvak.85,Obstakelvrije berm,,Middenberm,T,174308067,2014-11-01T00:00:00,0,21,017430806720141101,KLK0003995391,L,I,,"LINESTRING (87139.7490000017 454235.32400000095, 87125.77899999917 454251.0033)"
wegbermen_wegvak.86,Obstakelvrije berm,,Buitenberm,H,83225031,2014-11-01T00:00:00,0,40,008322503120141101,KLK0009790142,R,I,,"LINESTRING (41682.335999999195 412774.06799999997, 41673.28200000152 412767.0469999984, 41668.76199999824 412759.7010000013, 41667.631999999285 412750.09600000083, 41671.58700000122 412741.0560000017)"
wegbermen_wegvak.87,Obstakelvrije berm,,Middenberm,T,83225031,2014-11-01T00:00:00,26,40,008322503120141101,KLK0009790144,R,I,,"LINESTRING (41668.07059999928 412753.82400000095, 41667.631999999285 412750.09600000083, 41671.58700000122 412741.0560000017)"
wegbermen_wegvak.88,Obstakelvrije berm,,Buitenberm,H,83225032,2014-11-01T00:00:00,0,11,008322503220141101,KLK0009790141,R,I,,"LINESTRING (41713.11600000039 412780.8900000006, 41703.51099999994 412784.2800000012, 41702.70259999856 412784.18200000003)"
wegbermen_wegvak.89,Obstakelvrije berm,,Buitenberm,H,83225032,2014-11-01T00:00:00,34,35,008322503220141101,KLK0009790142,R,I,,"LINESTRING (41682.73959999904 412774.3773000017, 41682.335999999195 412774.06799999997)"
wegbermen_wegvak.90,Berm met obstakels,,Buitenberm,H,261498034,2014-11-01T00:00:00,0,12,026149803420141101,KLK0008825295,R,I,,"LINESTRING (130794.5700000003 549067.8889999986, 130799.18100000173 549062.3790000007, 130803.60689999908 549060.4822000004)"
wegbermen_wegvak.91,Berm met obstakels,,Buitenberm,H,261498034,2014-11-01T00:00:00,27,28,026149803420141101,KLK0008825309,R,I,,"LINESTRING (130817.8273999989 549062.2800999992, 130819.0700000003 549062.8940000013)"
wegbermen_wegvak.92,Obstakelvrije berm,,Middenberm,T,262498017,2014-11-01T00:00:00,14,34,026249801720141101,KLK0008825322,R,I,,"LINESTRING (131234.17440000176 549186.1794999987, 131235 549186, 131253.7899999991 549184.1719999984)"
wegbermen_wegvak.93,Verhoogde/verlaagde berm,,Buitenberm,H,262498017,2014-11-01T00:00:00,0,9,026249801720141101,KLK0008825311,R,I,,"LINESTRING (131220.49399999902 549189.1539999992, 131229.2884999998 549187.241799999)"
wegbermen_wegvak.94,Obstakelvrije berm,,Buitenberm,H,135261023,2014-11-01T00:00:00,0,31,013526102320141101,KLK0009789757,L,I,,"LINESTRING (67653.13500000164 430587.84600000083, 67656.57499999925 430577.79199999943, 67663.71799999848 430571.8379999995, 67674.30200000107 430569.98600000143)"
wegbermen_wegvak.95,Obstakelvrije berm,,Middenberm,T,135261023,2014-11-01T00:00:00,0,18,013526102320141101,KLK0009789756,L,I,,"LINESTRING (67653.13500000164 430587.84600000083, 67656.57499999925 430577.79199999943, 67662.23910000175 430573.070700001)"
wegbermen_wegvak.96,Berm met obstakels,,Buitenberm,H,214459021,2014-11-01T00:00:00,6,27,021445902120141101,KLK0008079107,L,I,,"LINESTRING (107334.49100000039 529962.0531000011, 107334.50200000033 529961.8720000014, 107336.36800000072 529955.6539999992, 107342.16899999976 529949.425999999, 107347.48299999908 529947.2980000004)"
wegbermen_wegvak.97,Obstakelvrije berm,,Middenberm,T,249491024,2014-11-01T00:00:00,10,25,024949102420141101,KLK0008782778,R,I,,"LINESTRING (124756.05669999868 545708.2584999986, 124756.46700000018 545708.5150000006, 124760.79199999943 545717.4629999995, 124760.53519999981 545722.0335000008)"
wegbermen_wegvak.98,Berm met geleideconstructie,1 -> 2,Buitenberm,H,249491024,2014-11-01T00:00:00,11,31,024949102420141101,KLK0008149373,R,I,,"LINESTRING (124756.69159999862 545708.9796999991, 124760.79199999943 545717.4629999995, 124760.17100000009 545728.5170000009)"
wegbermen_wegvak.99,Ondergronds,1 -> 1,Buitenberm,H,249491024,2014-11-01T00:00:00,10,11,024949102420141101,KLK0007020592,R,I,,"LINESTRING (124756.05669999868 545708.2584999986, 124756.46700000018 545708.5150000006, 124756.69159999862 545708.9796999991)"
wegbermen_wegvak.100,Obstakelvrije berm,,Buitenberm,H,135261022,2014-11-01T00:00:00,0,2,013526102220141101,KLK0009789757,L,I,,"LINESTRING (67674.30200000107 430569.98600000143, 67676.15709999949 430570.73330000043)"
wegbermen_wegvak.101,Obstakelvrije berm,,Middenberm,T,135261022,2014-11-01T00:00:00,28,29,013526102220141101,KLK0009789755,L,I,,"LINESTRING (67690.95670000091 430589.41910000145, 67691.10300000012 430590.4919999987)"
wegbermen_wegvak.102,Berm met geleideconstructie,8 -> 1,Buitenberm,H,135261022,2014-11-01T00:00:00,28,29,013526102220141101,KLK0008131430,L,I,,"LINESTRING (67690.95670000091 430589.41910000145, 67691.10300000012 430590.4919999987)"
wegbermen_wegvak.103,Berm met geleideconstructie,3 -> 3,Buitenberm,H,290223054,2014-11-01T00:00:00,0,51,029022305420141101,KLK0008649832,R,I,,"LINESTRING (145405.0150000006 411810.9479999989, 145446.1876000017 411780.85119999945)"
wegbermen_wegvak.104,Berm met geleideconstructie,1 -> 1.5,Buitenberm,T,290223068,2014-11-01T00:00:00,0,56,029022306820141101,KLK0008649806,L,I,,"LINESTRING (145408.94399999827 411816.7199999988, 145449.45199999958 411778.46499999985)"
