;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Alettri;;;;;1;;;;1
ALINGHOEK EETCAFE KEGELCENTRUM;;;1;;;;;;1
Alkmaarse Rugby Union Football Club;;;1;;;;;;1
Alliance Francaise de La Haye;;;;;1;;;;1
Altijd B.V.;;;1;;;;;;1
Altijd Gezel-Li;;;;;1;;;;1
Amaze Escape Events;;;1;;;1;;;1
AMIER;;;1;;;;;;1
Amisni B.V.;;;1;;;;;;1
Amplooi BV;;;;1;;;;;1
Amsterdam Boat Experience B.V;;;1;;;;;;1
Amsterdams ADR Instituut B.V.;;;;;1;;;;1
Ander Licht;;;;;;1;;;1
Andriessen & Partners B.V.;;;;;6;;;;6
Anke van der Hoek;1;;;;;;;;1
Annet de Zwart Coaching;;1;;;;;;;1
ANOEK;;;;;1;;;;1
anoniem_FIN_1;;;1;;;1;;;1
anoniem_FIN_2;;;1;;;;;;1
anoniem_FIN_3;;1;;;;;;;1
anoniem_FIN_4;1;;;;;;;;1
anoniem_FIN_5;1;;;;;;;;1
anoniem_FIN_6;;;1;;;;;;1
anoniem_FIN_82;;;1;;;;;;1
anoniem_FIN_86;;;;1;;;;;1
anoniem_FIN_87;;;;;;1;;;1
anoniem_FIN_88;;;;;;1;;;1
anoniem_FIN_89;;;;;1;;;;1
anoniem_FIN_90;;;1;;;;;;1
anoniem_FIN_91;;;;;1;;;;1
anoniem_FIN_92;;;;;;1;;;1
anoniem_FIN_93;;;;;;;;1;1
anoniem_FIN_94;;;;;;1;;;1
anoniem_FIN_95;;;;;;1;;;1
anoniem_FIN_96;;;;;1;;;;1
anoniem_FIN_97;;;;;;1;;;1
Anouk Philips Loopbaan/Verzuim/Coac;;1;;;;;;;1
AOG Contractonderwijs B.V.;;;;;2;;;;2
Apartt Rotterdam Horeca B.V.;;;1;;;;;;1
Apeldoornse Bierbrouwerij De Vlijt B.V.;;;1;;;;;;1
Apenheul;;;2;;;;;;2
ApenkooiGym;;1;;;;;;;1
Arbeid Medische Expertises B.V.;;2;;;;;;;2
Arbeidsmarktkansen.nl;;;;1;;;;;1
Arbeidspsychologen Midden Nederland;;1;;;;;;;1
Arbody B.V.;;1;;;;;;;1
Ardis Opleidingen B.V.;;1;;;4;;;;4
A-REA artsen en arbeidsdeskundigen B.V.;;4;;;;;;;4
Arieso Holding B.V.;;;2;;;;;;2
Aristo Amsterdam B.V.;;;1;;;;;;1
Arnage Horeca B.V.;;;1;;;;;;1
Arnouds Catering Service;;;1;;;;;;1
Around Town City Events;;;1;;;;;;1
Art & Dining;;;1;;;;;;1
Art CafÃ© Sam Sam;;;1;;;;;;1
Art of Co-creation;;;1;;;;;;1
Arthur Bont musicus;1;;;;;;;;1
Arthur Geurts Basles;1;;;;;;;;1
Arti Legi;;;1;;;;;;1
Artiestenverloningen;;;1;;;;;;1
Artihove Regina B.V.;;;1;;;;;;1
Artizana;;;1;;;;;;1
Asgard Hotel B.V.;;;;;;;;1;1
Asia Vietnamees Spec. Rest.;;;1;;;;;;1
Atelier de Pleijsterplaats;;;1;;;1;;;1
Atelier Sjoerd Didden B.V.;;;;;;1;;;1
Athenas BV;1;;;;;;;;1
ATIM Opleidingen B.V.;;;;;1;;;;1
Atlantis Almere B.V.;;;1;;;;;;1
Attractie Verhuur Moonen B.V.;;;1;;;;;;1
Auberge de Rousch;;;1;;;;;;1
Auberge Navet V.O.F.;;;1;;;;;;1
Aureus;;;;;1;;;;1
Auto Jansen;;;;;;;;1;1
Avans Hogeschool B.V.;;;;;1;;;;1
Avans Hogeschool Tilburg;;;;;1;;;;1
Avelia;;;;;1;;;;1
AVEQ Creatieve Producties B.V.;;;;;2;1;;;2
Avetica B.V.;;;;;1;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;1;;;;;;1
A-Z Dranken en Verhuur;;;1;;;;;;1
B & B Theeschenkerij 't Landschap;;;1;;;;;;1
B&T Productions;;;1;;;;;;1
B. van Zutven;1;;;;;;;;1
B.V. Amstel Hotel Maatschappij;;;;;;;;1;1
B.V. De Vooruitgang;;;1;;;;;;1
B.V. Het Refter;;;1;;;;;;1
B.V. Rederij G. Doeksen en Zonen;;;;;;;;1;1
B.V. 't Nieuwe Draeckje;;;1;;;;;;1
B+B Vakmedianet B.V.;;;;;2;;;;2
BAB-VIOS Touringcars B.V.;;;;;;1;;;1
Back 2 the Beach B.V.;;;1;;;;;;1
Back in Town;;;1;;;;;;1
Bagels & Beans Rotterdam;;;1;;;;;;1
Bakken Met Plaizier;;;1;;;;;;1
Bakker De Graaf Catering;;;;;;1;;;1
Bakkerij Vromans B.V.;;;1;;;;;;1
Balans & Impuls B.V.;;3;;;1;;;;3
Balkan Grill Boro;;;1;;;;;;1
BandZoeker Music B.V.;;;;1;;;;;1
Banketbakkerij Boheemen;;;1;;;;;;1
Bar & Restaurant Bardot;;;1;;;;;;1
Bar Cava;;;1;;;;;;1
Bar de Haven;;;1;;;;;;1
Bar Le Duc;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;;;;;1
Barbarossa Beach B.V.;;;1;;;;;;1
"Barbecue Restaurant ""De Heuvelrug""";;;1;;;;;;1
Barista Cafe Njoy;;;1;;;;;;1
BARN47;;;1;;;;;;1
Barthen Exploitatie Maatschappij B.V.;;;1;;;;;;1
Bas de Groenteman;;;1;;;;;;1
Bas Wortel;;1;;;;;;;1
Bassoonery;1;;;;;;;;1
Baston Service B.V;;;1;;;;;;1
Baton Music;;;;;;1;;;1
Batus Management en Advies B.V.;;;;;1;;;;1
Baut BV;;;1;;;;;;1
BAX B.V.;;;1;;;;;;1
BAZ Zandvoort;;;1;;;;;;1
Beach Club WOW;;;1;;;1;;;1
Beachclub Copacabana B.V.;;;1;;;;;;1
Beachclub Indigo B.V.;;;1;;;;;;1
Beachclub Titus B.V.;;;1;;;;;;1
Beatbuzz B.V. i.o.;;;;;;;;1;1
BedrijvennetwerkHR;;;;;1;;;;1
Beej Toën;;;1;;;;;;1
Behavior Change Group B.V.;;;;;1;;;;1
Behr Groep Nederland B.V.;;;;;1;;;;1
Beiaard Groep Nederland B.V.;;;1;;;;;;1
BEL Activities;;;1;;;;;;1
Belangen Vereniging S.P.D.;;;;;1;;;;1
Beleving aan zee;;;1;;;;;;1
Belgisch Biercafé Olivier B.V.;;;1;;;;;;1
BELLA NAPOLI;;;1;;;;;;1
Bella Roma;;;1;;;;;;1
BenS Colors;;;;;;1;;;1
Berenschot Groep B.V.;;;;;1;;;;1
Berghorst Horeca Exploitatie B.V.;;;1;;;;;;1
Berlage Kitchen en Bar B.V.;;;1;;;;;;1
Bermuda Eindhoven B.V.;;;1;;;;;;1
Beroepsorganisatie Nederlandse Ontwerpers;;;;;1;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;;;1;;;;1
Beroepsvereniging Vide;;;;;;;1;;1
Bespeak B.V.;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;2;;;;2
Betaalvereniging Nederland;;;;;;;;;
Beter Horen B.V.;;1;;;;;;;1
Betervoorbereid;;1;;;;;;;1
Betty Post;;;;;1;;;;1
Beuqz eten en drinken;;;;;;1;;;1
BeuseCOMM;;;;;;;;1;1
Bewoners Organisatie Scheepvaartkwartier;;;;;1;;;;1
Beyond The Corals;;;;;2;;;;2
Bezemer Kuiper & Schubad B.V.;;;;;2;;;;2
BHV opleiding;;;;;1;;;;1
Bibliotheek Haarlem centrum;1;;;;;;;;1
Bief & Burger;;;1;;;;;;1
Bierbrouwerij de Roos;;;1;;;;;;1
Bierfabriek Delft B.V.;;;1;;;;;;1
BIERRECLAME MUSEUM;;;1;;;;;;1
Big Fish cafe;;;1;;;;;;1
Bij Barkey;;;1;;;;;;1
Bij de Jongens;;;1;;;;;;1
'bij tante';;;1;;;;;;1
BijBram;;;1;;;;;;1
Bijou B.V.;;;1;;;;;;1
BijzonderStrafrecht B.V.;;;;;1;;;;1
Biljart-DartcafÃ© Janssen&Janssen;;;1;;;;;;1
Bilt en Bahadoer Opleidingsinstituut B.V.;;;;;2;;;;2
Bink Rooftop;;;1;;;;;;1
Binkies Food & Drinks B.V.;;;1;;;;;;1
Bison Bowling;;;1;;;;;;1
Bistro 2.53;;;1;;;;;;1
Bistro Bontje;;;1;;;;;;1
Bistro Bootsma;;;1;;;;;;1
Bistro Brasserie Het Ei Van Columbus;;;1;;;;;;1
Bistro De Kwaak;;;1;;;;;;1
Bistro De Rotonde;;;1;;;;;;1
Bistro De Zoete Inval V.O.F.;;;1;;;;;;1
Bistro Pampus;;;1;;;;;;1
Bistro 't Kannetje B.V.;;;1;;;;;;1
Bistro Uit de Buurt;;;1;;;;;;1
Blijvend anders;;;1;;1;;;;1
Bloem Diezijn multifloor;;;1;;;;;;1
Bloemisterij 'Melia';;;1;;;1;;;1
Bloemsierkunst 't Mekkelholt;;;1;;;;;;1
BLOM VERKEERSCHOOL;;;;;1;;;;1
Blue Sakura B.V.;;;1;;;;;;1
Bluegg;;;;;1;;;;1
Bluescafe Apeldoorn B.V.;;;1;;;;;;1
BMC Groep B.V.;;;;;1;;;;1
Bo & Ro KookInstituut B.V.;;;1;;;;;;1
BOB'S PARTY PALACE;;;1;;;;;;1
Bochica;;;1;;;;;;1
Bodhi Tree B.V.;;;;;1;;;;1
Body Language Academy;;1;;;;;;;1
Boektumaar.nl;1;;;;;;;;1
BOEL Groningen;;;1;;;;;;1
Boels Verhuur Venlo;;;2;;;;;;2
Boerderij de Huppe;;1;;;;;;;1
Boerderij Denissen;;;1;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;4;;;;4
Bofit Burnout begeleiding en Stressmanagement;;1;;;;;;;1
Bokhorst Opleidingen;;;;;1;;;;1
Bokkers te Buiten;;;1;;;;;;1
Bolyari;;;1;;;;;;1
Bombari B.V.;;;1;;;;;;1
Bonheur Horeca Exploitaties B.V.;;;1;;;;;;1
Bonjoere;;;1;;;;;;1
Boode in Bathmen B.V.;;;1;;;;;;1
Boom Chicago;;;1;;;;;;1
Boomsma Distilleerderij/Wijnkoperij B.V.;;;1;;;;;;1
Bootcamp Inc.;;;;;2;;;;2
Border Force, North Region;;;;;1;;;;1
Borgerswold Experience;;;1;;;;;;1
Bospaviljoen 't Leesten B.V.;;;1;;;;;;1
Boterhal;;;1;;;;;;1
Boterhuis;;;1;;;;;;1
Boudewijn European Affairs;;;;;1;;;;1
Boulevard Café;;;1;;;;;;1
Bowa Sportprijzen en Relatiegeschenken;;;1;;;;;;1
Bowlen & Zo;;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;1;;;;;;1
Bowling Administratie;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;;;1;;;1
Bowlingcentrum Apeldoorn B.V.;;;1;;;;;;1
Box5;;;1;;;;;;1
BrÃ¼ggemann horeca groep;;;1;;;;;;1
Brabants Genot;;;1;;;;;;1
Brafoer B.V.;;;1;;;;;;1
Brain Box Mediatraining B.V.;;;;;1;;;;1
Bras.-Restaurant Korderijnk 'sinds 1916' B.V.;;;1;;;;;;1
Bras73;;;1;;;;;;1
Brass Boer Thuis;;;1;;;;;;1
Brasserie 1910;;;1;;;;;;1
Brasserie Abshoven;;;1;;;;;;1
Brasserie Basiliek;;;1;;;;;;1
Brasserie Bracke;;;1;;;;;;1
Brasserie De Boerderij;;;1;;;;;;1
Brasserie de Buurman;;;1;;;;;;1
Brasserie de Haenehof;;;1;;;;;;1
Brasserie de Koepel;;;1;;;;;;1
Brasserie De Sierkan;;;1;;;;;;1
Brasserie De Witte;;;1;;;;;;1
Brasserie Havenkwartier;;;1;;;;;;1
Brasserie Het Nieuwe Jachthuis B.V.;;;1;;;;;;1
Brasserie Jolo’s;;;1;;;;;;1
Brasserie La Maison;;;1;;;;;;1
Brasserie La Porte;;;1;;;;;;1
Brasserie Leonardus;;;1;;;;;;1
Brasserie Lodge Visdonk;;;1;;;;;;1
Brasserie Mijn Streek B.V.;;;1;;;;;;1
Brasserie M'Joy;;;;;;1;;;1
Brasserie NUL76;;;1;;;;;;1
Brasserie Oud Hulst;;;1;;;;;;1
Brasserie Park B.V.;;;1;;;;;;1
Brasserie Restaurant De Jouster Toer;;;1;;;;;;1
Brasserie Royal;;;1;;;;;;1
Brasserie Shoko;;;1;;;;;;1
Brasserie Spiegelaar;;;1;;;;;;1
Brasserie 't Raethuys;;;1;;;;;;1
Brasserie 't Zusje;;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;1;;;;;;1
Brasserie Thuys;;;1;;;;;;1
Brasserie&Zo;;;1;;;;;;1
Brasserij De Bergerrie;;;1;;;;;;1
BRB Sound;;;;;;1;;;1
Break Free Fun Company;;;1;;;;;;1
Breinzaken;;2;;;;;;;2
Bright Events;;;1;;;;;;1
BRINK VAN DEN EETVILLA;;;1;;;;;;1
Broekies Entertainment Group Bunnik;;;1;;;;;;1
Broers Amsterdam;;;1;;;;;;1
Brofa B .V.;;;1;;;;;;1
Broodje Bewust;;;1;;;;;;1
Broodje Smits;;;1;;;;;;1
Brookhuis Reizen;;;;;;;;1;1
Brouwerij de Prael;;;1;;;;;;1
Brouwerij Martinus;;;1;;;;;;1
Brouwhuis Breda B.V.;;;1;;;;;;1
Brownies & Downies;;;1;;;;;;1
Brownies & downies Eindhoven;;;1;;;;;;1
Brownies en Downies;;;1;;;;;;1
Bruns B.V.;;;;;2;;;;2
Buckshot;;;1;;;;;;1
BUDDE CAFE-RESTAURANT;;;1;;;;;;1
Buds Tolhuis NO.11;;;1;;;;;;1
Buitengoed Slavante;;;1;;;;;;1
Buitenhuis Solexverhuur;;;1;;;;;;1
Buitenplaats Slangevegt;;;1;;;;;;1
BUNDESMINISTERIUM DER FINANZEN, REFERAT;;;1;;;;;;1
Bureau Beysterveld;;;;;1;;;;1
Bureau Iepen Training & Coaching;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;4;;;;4
Burghoorn Trainingen;;;;;1;;;;1
Burgundy Street B.V.;;;1;;;;;;1
Burn Out Poli;;2;;;1;;;;2
Buro Brand Visuele Communicatie;;;;;1;;;;1
Buro Q B.V.;;;;;;1;;;1
Buro Rood;;;;;3;;;;3
Burrata Turfmarkt B.V.;;;2;;;;;;2
Businessbloemist De Lotus;;;1;;;;;;1
Butchers Grill B.V.;;;1;;;;;;1
ButtonsBedrukken.nl;;;1;;;;;;1
Buurtboerderij Ons Genoegen;;;1;;;;;;1
Buurten in de Fabriek;;;1;;;;;;1
BVO Opleidingen B.V.;;;;;6;;;;6
By Ami;;;1;;;;;;1
By Chiel;;;1;;;;;;1
C.N.B.;;;1;;;;;;1
C.O.T.A.;;;;;2;;;;2
C.P. Brander Holding B.V.;;;1;;;;;;1
C.R.M. van Veen B.V.;;;;;1;;;;1
C.V. La Galleria Plein;;;1;;;;;;1
Cadeau Concepten B.V.;;;1;;;1;;;1
CadeauMakelaar B.V.;;;1;;;;;;1
Cado Flower & Food Stylist;;;1;;;;;;1
CafÃ© De Hamer;;;1;;;;;;1
CafÃ© De Voetnoot;;;1;;;;;;1
CafÃ© Jansen B.V.;;;1;;;;;;1
CafÃ© Restaurant De Beyerd;;;1;;;;;;1
CafÃ© Restaurant De Vereniging Elst B.V.;;;1;;;;;;1
CafÃ© Restaurant Rootz B.V.;;;1;;;;;1;1
CafÃ© 'Silversant';;;1;;;;;;1
CafÃ© Singelier;;;1;;;;;;1
CafÃ© Sprakel B.V.;;;1;;;;;;1
CafÃ©-Restaurant Pan;;;1;;;;;;1
CafÃƒÂ© de Bombardon;;;1;;;;;;1
CafÃƒÂ© De Hetebrij;;;1;;;;;;1
CafÃƒÂ© de paris V.O.F.;;;1;;;;;;1
CafÃƒÂ© De Zaak;;;2;;;;;;2
CafÃƒÂ© It Houtsje;;;1;;;;;;1
CafÃƒÂ© Restaurant Dunya Lokanta;;;1;;;;;;1
CafÃƒÂ© ''t Vonderke';;;2;;;;;;2
CafÃƒÂ© Uniek;;;1;;;;;;1
CafÃƒÂ©-biljart De Pastorie;;;1;;;;;;1
CafÃƒÂ©-Restaurant De Ringweg;;;1;;;;;;1
CafÃƒÂ©-Restaurant ''t Koetshuis';;;1;;;;;;1
CafÃƒÂ©-Restaurant Zaal Zwakenberg;;;1;;;;;;1
CafÃƒÂ©-Zalen-Restaurant Het Onland B.V.;;;1;;;;;;1
Café Bar 't Binnepretje;;;1;;;;;;1
Café Bierlokaal de Engel;;;1;;;;;;1
Café BLVD B.V.;;;1;;;;;;1
Café Bolhuis;;;1;;;;;;1
Café Brasserie De Wildeman;;;1;;;;;;1
Cafe Cheers;;;1;;;;;;1
Café de 1ste Aanleg;;;1;;;;;;1
Café de Bank B.V.;;;1;;;;;;1
Café De Blonde Pater B.V.;;;1;;;;;;1
Café de Brink;;;1;;;;;;1
Café de Keizer;;;1;;;;;;1
Café De Kleine Wereld;;;1;;;;;;1
Cafe de Korenbeurs;;;1;;;;;;1
Cafe de Poort;;;1;;;;;;1
Café de Rus;;;1;;;;;;1
Café De Snor;;;1;;;;;;1
Café De Vriendschap;;;1;;;;;;1
cafe De Wandelaar;;;1;;;;;;1
Café DeRat;;;1;;;;;;1
Café Dudok Hilversum;;;1;;;;;;1
Cafe Eet- Feestgelegenheid De Tijd;;;1;;;;;;1
Cafe en zalencentrum Brand Poort;;;1;;;;;;1
Café Good Fellows;;;1;;;;;;1
Café Hekking;;;1;;;;;;1
Café Het Halve Maantje;;;1;;;;;;1
Café Het Zwarte Schaap;;;1;;;;;;1
Café Huppel 'The Pub';;;1;;;;;;1
Cafe Jan Krijnen;;;1;;;;;;1
Cafe Joost;;;1;;;;;;1
Café Kachel;;;1;;;;;;1
Café Kort Oisterwijck;;;1;;;;;;1
Cafe Le Journal;;;1;;;;;;1
Café Lent;;;1;;;;;;1
Café Ome Jan;;;1;;;;;;1
CAFÉ ONDER DE LINDEN;;;1;;;;;;1
Café Pelt;;;1;;;;;;1
Café Plaats Royaal;;;1;;;;;;1
Café postiljon;;;1;;;;;;1
Cafe Restaurant Aaltje;;;1;;;;;;1
Café Restaurant Central B.V.;;;1;;;;;;1
Café Restaurant Courzand;;;1;;;;;;1
Café Restaurant De Biechtstoel;;;1;;;;;;1
Cafe restaurant in de Buurt;;;1;;;;;;1
Cafe restaurant Land en Zeezicht;;;1;;;;;;1
Café Restaurant Merz;;;1;;;;;;1
Café Samson;;;1;;;;;;1
Café Seevanck;;;1;;;;;;1
Café Stevens;;;1;;;;;;1
Cafe Summertime;;;1;;;;;;1
cafe 't Fort;;;1;;;;;;1
Café 't Kölke;;;1;;;;;;1
CAFÉ 'T NEUTJE;;;1;;;;;;1
Café V.O.F. de Zaak;;;1;;;;;;1
Café Weerbericht;;;1;;;;;;1
Café Wouters;;;1;;;;;;1
Café Zaal Den Bork;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;;1
CAFE-BAR DIKKE DRIES;;;1;;;;;;1
Cafeetje Heeeurlijk;;;1;;;;;;1
Café-Restaurant De Boschvijver B.V.;;;1;;;;;;1
Café-Restaurant Waaijer;;;1;;;;;;1
Cafetaria Big Bread;;;1;;;;;;1
CAFETARIA TRUDOPLEIN BV;;;1;;;;;;1
CAI-Advies B.V.;;;;;1;;;;1
Calva;;;1;;;;;;1
Camelot B.V.;;;1;;;;;;1
Camiel Mikily B.V.;;;2;;;;;;2
Canast B.V.;;;;;1;;;;1
Cantina Mexicana B.V.;;;1;;;;;;1
Capgemini Educational Services B.V.;;;;;5;;;;5
Capgemini Nederland B.V.;;;;;3;;;;3
Capo Cucina;;;1;;;;;;1
Careca Verhuur;;;1;;;;;;1
Career & Live;;;;;1;;;;1
Career Advisor;;;;1;;;;;1
Carel Huis Tuin Keuken;;;1;;;;;;1
CARMA Indoorsports Exploitatie B.V;;;1;;;;;;1
Carnavalsland mega store Borne;;;1;;;;;;1
Carolien Elizen-Klunder;;;;;;1;;;1
Carolien van Gelder Amb. Begel.;;1;;;;;;;1
Caroni;;;1;;;;;;1
Cater King van Waas;;;1;;;;;;1
Catering de Toren;;;1;;;;;;1
Cateringbedrijf Hof van Eden;;;1;;;;;;1
Catshuis;;;1;;;;;;1
CE Delft;;;;;;;;1;1
Centric Training;;;;;5;;;;5
Centrum Integrale Revalidatie (CIR) B.V.;;1;;;;;;;1
Cenzo B.V.;;1;;;;;;;1
Certus Arbo B.V.;;1;;;;;;;1
C'est Si Bon B.V.;;;1;;;;;;1
CHAGALL;;;1;;;;;;1
Charelli B.V.;;;1;;;;;;1
Charoso B.V.;;;1;;;;;;1
Chartervaart Haderwijk BV;;;1;;;;;;1
Check, Accountancy Groningen;;;;;1;;;;1
Chez Andre;;;1;;;;;;1
Chez Antoinette;;;1;;;;;;1
Chi Academy;;;1;;;;;;1
Chin. specialt rest De Lange muur;;;1;;;;;;1
Chin.Ind. Restaurant Sing Sheng;;;1;;;;;;1
CHINA PALACE POON K.W.;;;1;;;;;;1
Chinees Indisch Restaurant Canton;;;1;;;;;;1
Chinees Indisch Restaurant Nieuw China;;;1;;;;;;1
Chinees Indisch Restaurant Sin Jah;;;1;;;;;;1
Chinees Indisch Restaurant Tai Soen;;;1;;;;;;1
Chinees Restaurant Hoi Tin;;;1;;;;;;1
Chinees-Indisch Restaurant 'Happy Garden';;;1;;;;;;1
Chinees-Indisch Restaurant Kota Radja;;;1;;;;;;1
Chinees-Indisch Restaurant Malakka;;;1;;;;;;1
Chinees-Indisch Restaurant 'Woo Ping';;;1;;;;;;1
CHO PAIN;;;1;;;;;;1
Chocoloco B.V.;;;1;;;;;;1
Chocopresents;;;2;;;;;;2
ChoreoMachiel;;;;;1;;;;1
Christoffel's Croiss. en Petite Mangerie;;;1;;;;;;1
Ciao! Ciao! B.V.;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;2;;;;2
CIBT Netherlands;;;;;;;;1;1
CIO Platform Nederland;;;;;1;;;;1
Cirque Du Soleil Europe B.V.;;;1;;;;;;1
City Lounge Apeldoorn;;;1;;;;;;1
City Lounge Apeldoorn B.V.;;;;;;1;;;1
Citylife B.V.;;;1;;;;;;1
Classic Boat Tours;;;1;;;;;;1
Clipperms.nl;;;1;;;;;;1
Cloose;;;1;;;;;;1
CLS Computertrainingen;;;;;1;;;;1
Clubs & Subs Lunch;;;1;;;;;;1
CM Coaching en Talentontwikkeling;;;;;1;;;;1
CM Partners B.V.;;;;;2;;;;2
CNV Jongeren;;;;;1;;;;1
Coach Kim;;1;;;;;;;1
Coachboulevard B.V.;;;;;2;;;;2
COCD vzw;;;;;1;;;;1
Coco - The Cocktail Company;;;1;;;;;;1
Coffeelicious Den Haag;;;1;;;;;;1
College of Multimedia;;;;;1;;;;1
Color Your Life;;1;;;;;;;1
Com4care B.V.;;;;;1;;;;1
CombiCraft;;;1;;;;;;1
Combo Emonomy B.V.;;;;;2;;;;2
Comminz B.V.;;;;;1;;;;1
CommunicatieTrainingConsultancy;;;;;1;;;;1
Computrain Opleidingen;;;;;1;;;;1
Conduite;;;;;1;;;;1
Congres- en Verblijfcentr. De Hamermolen B.V.;;;1;;1;1;;;1
Connect Management Consulting;;;;1;;;;;1
Consumentenbond;;;;;1;;;;1
Coöperatie Ambulancezorg Maasvlakte UA;;1;;;;;;;1
Cooperatie Heerlijk Lokaal;;;1;;;;;;1
Corfu;;;1;;;;;;1
Cornelis Troost B.V.;;;1;;;;;;1
Corporate Communication Centre B.V.;;;;;1;;;;1
Cortex B.V.;;;;;1;;;;1
Costa Rozzi;;;1;;;;;;1
Crazy Holding;;;1;;;;;;1
Crazy Piano's Scheveningen B.V.;;;;;;2;;;2
Croissanterie Antoine Bezorging-Catering B.V.;;;1;;;1;;;1
CSR Centrum B.V.;;1;;;;;;;1
CuHaBo Catering;;;1;;;;;;1
Cuisine Assiya;;;1;;;;;;1
Culinair Wonder Groep B.V.;;;;;;2;;;2
Cultuurmarketing;;;;;1;;;;1
Curans;;1;;;;;;;1
D. Braun B.V.;;;;;1;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;2;;;;2
Daan Bogers Producties;;;;;;1;;;1
Dabroek Advies;;1;;;;;;;1
Dael Beheer B.V.;;4;;;;;;;4
DÃƒÂ© wieÃƒÂ«tsjaf;;;1;;;;;;1
Damsté training;;;;;1;;;;1
DaniÃƒÂ«lle Zelisse Consultancy;;;;3;;;;;3
Dansen B.V. h.o.d.n. Barzza;;;1;;;;;;1
Darwin IT-Professionals B.V.;;;;;1;;;;1
Databricks;;;;;1;;;;1
DataExpert B.V.;;;;;4;;;;4
DAVO Bieren Holding BV;;;1;;;;;;1
Dazhong B.V.;;;1;;;;;;1
De 7 Heuveltjes;;;1;;;;;;1
De Aanjagers;;;;;;1;;;1
De Appel B.V.;;;1;;;;;;1
De Argumentenfabriek B.V.;;;;;1;;;;1
De Argumentenfabriek Denkacademie B.V.;;;;;1;;;;1
De Baak Administratie;;;;;3;;;;3
De Babbel Apeldoorn B.V.;;;1;;;;;;1
De Bagatelle B.V.;;;1;;;;;;1
De Ballentent;;;1;;;;;;1
DE BASTAARD;;;1;;;;;;1
de Bastei;;;;;1;;;;1
De Bazar B.V.;;;1;;;;;;1
