Leveranciersnaam;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Albert Heijn B.V.;1;;;;;;;;1
Aleida Meijerink Advies;;;;1;;;;;1
Alexander Hotel B.V.;;;;;;;;1;1
All Season Sports;2;;1;;;;;;2
Alliance Francaise de La Haye;;;;;1;;;;1
Allround Zeilcharter Oxalex B.V.;1;;2;;;;;;2
Aloha Bar;;;1;;;;;;1
ALTER-Net;;;;;1;;;;1
Althuizen, Coaching & Advies;1;;;1;;;;;1
Altijd B.V.;;;1;;;;;;1
Always Green B.V.;;;1;;;;;;1
Amadore Hotel Restaurant Arion;;;;;;;;1;1
Amadore Hotel Restaurant Arneville;;;;;;;;1;1
Amadore Wellness Hotel de Kamperduinen B.V.;;;;;1;;;;1
Amaze Escape Events;;;1;;;;;;1
Ambachtelijke Slagerij Kevelam;;;1;;;;;;1
AMC Centre;;;;;1;;;;1
AMC Pilots B.V.;1;;;;;;;;1
AMI Maastricht;;;;;2;;;;2
Amrâth Hotel Alkmaar;;;;;;;;1;1
Amsterdam Boats B.V.;;;1;;;;;;1
Amsterdam School of Real Estate B.V.;;;1;;2;;;;2
AnalitiQs B.V.;;;;;1;;;;1
Ana's Kuzin;;;1;;;;;;1
Andante Hotel B.V.;;;;;;;;1;1
Anny van Huet, Advies & Training;;;;;1;;;;1
Anoniem 1008;1;;;;;;;;1
Anoniem 1013;;;;;;;;1;1
Anoniem 1015;;;1;;;;;;1
Anoniem 1017;;;;;;;;1;1
Anoniem 1019;;;;;1;;;;1
Anoniem 1021;1;;;;;;;;1
Anoniem 1035;;;;;;;;1;1
Anoniem 1044;;;1;;;;;;1
Anoniem 1045;;;;1;;;;;1
Anoniem 1053;;;;;1;;;;1
Anoniem 1054;;;1;;;;;;1
Anoniem 1055;;;;;1;;;;1
Anoniem 1057;;;1;;;;;;1
Anoniem 1058;;;;;;;;1;1
Anoniem 1059;;;;;;;;1;1
Anoniem 1061;;;;1;;;;;1
Anoniem 1064;;;1;;;;;;1
Anoniem 1065;;;1;;;;;;1
Anoniem 1067;;;1;;;;;;1
Anoniem 1069;;;;1;;;;;1
Anoniem 1070;;;1;;;;;;1
Anoniem 1075;;;;;1;;;;1
Anoniem 1077;1;;;;;;;;1
Anoniem 1078;;;1;;;;;;1
Anoniem 1082;1;;;;;;;;1
Anoniem 1084;;;;1;;;;;1
Anoniem 1086;;;1;;;;;;1
Anoniem 1090;1;;;;;;;;1
Anoniem 1096;;;1;;;;;;1
Anoniem 110;;;1;;;;;;1
Anoniem 1102;;;1;;;;;;1
Anoniem 1110;;;;;1;;;;1
Anoniem 1112;;;1;;;;;;1
Anoniem 1118;1;;;;;;;;1
Anoniem 1119;;;;;1;;;;1
Anoniem 1137;;;1;;;;;1;1
Anoniem 1141;;;;;;;;1;1
Anoniem 1142;;;;;;;;1;1
Anoniem 1144;;;1;;;;;;1
Anoniem 1145;1;;;;;;;1;1
Anoniem 1146;;;;;;;;1;1
Anoniem 1147;;;;;;;;1;1
Anoniem 1154;;;;;;;;1;1
Anoniem 1158;;;;;1;;;;1
Anoniem 1160;;;1;;;;;;1
Anoniem 1170;;;1;;;;;;1
Anoniem 1175;;;1;;;;;;1
Anoniem 1183;1;;;;;;;;1
Anoniem 1189;;;;;1;;;;1
Anoniem 1190;1;;;;;;;;1
Anoniem 1191;;;1;;;;;;1
Anoniem 1197;;;;1;;;;;1
Anoniem 1198;;;1;;;;;1;1
Anoniem 1199;;;;;;;;1;1
Anoniem 1200;;;1;;;;;;1
Anoniem 1207;;;;;;;;1;1
Anoniem 1210;;;;;;;;1;1
Anoniem 1215;;;;;;;;2;2
Anoniem 1216;;;;;;;;1;1
Anoniem 1218;;;1;;;;;;1
Anoniem 123;;;1;;;;;;1
Anoniem 1234;;;;;;;;1;1
Anoniem 1236;;;;;;;;1;1
Anoniem 1237;;;;1;;;;;1
Anoniem 1240;;;1;;;;;;1
Anoniem 1257;;;1;;;;;;1
Anoniem 126;;;1;;;;;;1
Anoniem 1262;;;;;1;;;;1
Anoniem 1269;2;;;;;;;;2
Anoniem 1271;;;;;;;;1;1
Anoniem 1272;;;;;;;;1;1
Anoniem 1273;;;;;;;;1;1
Anoniem 1274;;;;;;;;1;1
Anoniem 1275;;;;;;;;1;1
Anoniem 1278;;;;;;;;1;1
Anoniem 1286;1;;;2;2;;;;2
Anoniem 1289;;;1;;;;;;1
Anoniem 13;1;;;;;;;;1
Anoniem 130;;;1;;;;;;1
Anoniem 1305;;;1;;;;;;1
Anoniem 1311;;;1;;;;;;1
Anoniem 1324;;;2;;2;;;;3
Anoniem 1333;1;;;;;;;;1
Anoniem 1336;;;;;1;;;;1
Anoniem 1345;;;1;;;;;;1
Anoniem 1406;;;1;;;;;;1
Anoniem 1411;;;;;2;;;;2
Anoniem 1420;;;;;1;;;;1
Anoniem 1421;;;;;1;;;;1
Anoniem 1422;1;;;;;;;;1
Anoniem 1436;;;;;1;;;;1
Anoniem 1437;;;;;;;;1;1
Anoniem 1441;1;;1;;;;;;1
Anoniem 1450;;;1;;;;;;1
Anoniem 1453;;;1;;;;;;1
Anoniem 147;;;1;;;;;;1
Anoniem 1475;;;;;1;;;;1
Anoniem 1476;1;;;;;;;;1
Anoniem 1477;;;;;1;;;;1
Anoniem 1479;1;;;;;;;;1
Anoniem 1480;1;;;;;;;;1
Anoniem 1481;;;1;;;;;;1
Anoniem 1482;;;1;;;;;;1
Anoniem 1483;;;1;;;;;;1
Anoniem 1484;1;;;;1;;;;1
Anoniem 1485;;;;;1;;;;1
Anoniem 1486;;;;1;2;;;;2
Anoniem 1488;;;;;3;;;;3
Anoniem 1489;;;1;;;;;;1
Anoniem 1490;;;1;;;;;;1
Anoniem 1491;;;1;;;;;;1
Anoniem 1492;;;;;2;;;;2
Anoniem 1493;;;;;1;;;;1
Anoniem 15;;;1;;;;;;1
Anoniem 150;;;;;1;;;;1
Anoniem 154;;;1;;;;;;1
Anoniem 165;1;;;;1;;;;1
Anoniem 166;;;;;;;;1;1
Anoniem 167;1;;;;;;;;1
Anoniem 172;1;;;;;;;;1
Anoniem 18;;;1;;;;;;1
Anoniem 183;;;1;;;;;;1
Anoniem 193;;;1;;;;;;1
Anoniem 195;;;;;1;;;;1
Anoniem 199;1;;1;;2;;;;2
Anoniem 20;;;;;;;;1;1
Anoniem 203;;;;;1;;;;1
Anoniem 204;;;1;;;;;;1
Anoniem 209;;;;;;;;1;1
Anoniem 213;;;;;;;;1;1
Anoniem 215;;;;;;;;1;1
Anoniem 216;;;;;;;;1;1
Anoniem 220;;;;;;;;1;1
Anoniem 233;;;1;;;;;;1
Anoniem 24;;;;;;;;1;1
Anoniem 27;;;;;1;;;;1
Anoniem 287;;;1;;;;;1;1
Anoniem 289;;;;;;;;1;1
Anoniem 293;;;;;;;;1;1
Anoniem 306;;;;;;;;1;1
Anoniem 307;;;;;;;;1;1
Anoniem 310;;;;;1;;;1;1
Anoniem 319;;;;;2;;;;2
Anoniem 34;;;;1;;;;;1
Anoniem 352;;;;;;;;1;1
Anoniem 353;;;;;;;;1;1
Anoniem 361;;;;;;;;1;1
Anoniem 364;;;1;;;;;;1
Anoniem 372;;;1;;;;;;1
Anoniem 378;;;;1;;;;;1
Anoniem 379;;;1;;;;;;1
Anoniem 39;;;;;;;;1;1
Anoniem 4;;;;;;;;1;1
Anoniem 403;;;1;;;;;;1
Anoniem 417;;;1;;;;;;1
Anoniem 425;;;1;;;;;;1
Anoniem 44;;;;;;;;1;1
Anoniem 463;;;;1;;;;;1
Anoniem 47;;;;;;;;1;1
Anoniem 477;;;;1;;;;;1
Anoniem 48;;;;;1;;;;1
Anoniem 49;1;;;;;;;;1
Anoniem 490;;;;;;;;1;1
Anoniem 493;;;;;;;;1;1
Anoniem 495;;;;;;;;1;1
Anoniem 500;;;;;;;;1;1
Anoniem 502;;;;;;;;1;1
Anoniem 503;1;;;;;;;;1
Anoniem 505;;;;;1;;;;1
Anoniem 52;;;1;;;;;;1
Anoniem 520;;;;;;;;1;1
Anoniem 532;;;;;;;;1;1
Anoniem 542;;;;;2;;;;2
Anoniem 549;;;;;1;;;;1
Anoniem 553;;;;;;;;1;1
Anoniem 554;;;1;;;;;1;1
Anoniem 555;;;1;;;;;1;1
Anoniem 562;;;;;1;;;1;1
Anoniem 569;;;;;1;;;;1
Anoniem 578;1;;;1;;;;;1
Anoniem 581;1;;1;;;;;;1
Anoniem 584;;;;;;;;1;1
Anoniem 587;;;;;;;;1;1
Anoniem 595;;;;1;;;;;1
Anoniem 597;;;;;;;;1;1
Anoniem 6;;;;;;;;1;1
Anoniem 601;;;;;;;;1;1
Anoniem 602;;;;;;;;1;1
Anoniem 603;;;1;;;;;;1
Anoniem 607;;;;;;;;1;1
Anoniem 612;;;1;;;;;;1
Anoniem 616;;;;;;;;1;1
Anoniem 622;;;;;;;;1;1
Anoniem 624;;;;;;;;1;1
Anoniem 627;;;1;;;;;;1
Anoniem 628;;;1;;;;;;1
Anoniem 630;;;;;;;;1;1
Anoniem 634;;;;;;;;1;1
Anoniem 639;;;;;;;;1;1
Anoniem 641;;;;;;;;1;1
Anoniem 65;;;;;;;;1;1
Anoniem 668;;;;;1;;;1;1
Anoniem 67;;;;;;;;1;1
Anoniem 68;;;;1;;;;;1
Anoniem 697;2;;;;1;;;;2
Anoniem 714;1;;;;;;;;1
Anoniem 716;;;;;1;;;;1
Anoniem 718;1;;;;;;;;1
Anoniem 72;2;;;;;;;;2
Anoniem 725;;;;;;;;1;1
Anoniem 727;;;;;;;;1;1
Anoniem 730;2;;;;;;;;2
Anoniem 731;;;;;;;;1;1
Anoniem 733;;;;;;;;1;1
Anoniem 734;;;1;;;;;;1
Anoniem 765;1;;;;;;;;1
Anoniem 775;1;;;;;;;;1
Anoniem 776;;;1;;;;;;1
Anoniem 777;;;1;;;;;;1
Anoniem 780;;;;;1;;;;1
Anoniem 782;;;;;;;;1;1
Anoniem 784;;;;;;;;1;1
Anoniem 785;;;;;;;;1;1
Anoniem 786;;;;;;;;1;1
Anoniem 787;;;;;;;;1;1
Anoniem 79;;;1;;;;;;1
Anoniem 790;;;;;1;;;;1
Anoniem 791;;;1;;;;;;1
Anoniem 801;;;;;;;;1;1
Anoniem 802;1;;;;;;;;1
Anoniem 805;;;1;;;;;;1
Anoniem 813;;;;;;;;1;1
Anoniem 817;;;;;;;;1;1
Anoniem 819;;;;;1;;;;1
Anoniem 827;;;;;;;;1;1
Anoniem 828;;;;;;;;1;1
Anoniem 832;;;;;;;;1;1
Anoniem 833;;;;;;;;1;1
Anoniem 834;;;;1;;;;;1
Anoniem 836;1;;;;;;;;1
Anoniem 838;;;;;;;;1;1
Anoniem 843;;;;;;;;1;1
Anoniem 845;1;;;;;;;;1
Anoniem 846;1;;;;;;;;1
Anoniem 847;;;;;;;;1;1
Anoniem 850;;;;;;;;1;1
Anoniem 851;;;;1;;;;1;1
Anoniem 853;;;;;;;;1;1
Anoniem 855;;;;;;;;1;1
Anoniem 871;;;;;;;;1;1
Anoniem 872;;;;;;;;1;1
Anoniem 877;;;;;4;;;;4
Anoniem 9;;;;;;;;1;1
Anoniem 909;;;;;1;;;;1
Anoniem 92;;;1;;;;;;1
Anoniem 927;;;;;1;;;;1
Anoniem 929;1;;;;;;;;1
Anoniem 930;1;;;;;;;;1
Anoniem 934;;;1;;;;;;1
Anoniem 94;;;1;;;;;1;1
Anoniem 944;;;1;;;;;;1
Anoniem 945;;;;;1;;;;1
Anoniem 946;;;;;1;;;;1
Anoniem 964;;;;;;;;1;1
Anoniem 969;;;;;;;;1;1
Anoniem 981;;;;;;;;1;1
Anoniem 982;;;;;;;;1;1
Anoniem 993;;;;;;;;1;1
Anoniem 994;;;;;;;;1;1
Anoniem 997;;;1;;;;;;1
Anoniem 998;;;;;;;;1;1
Another-View;;;;1;;;;;1
Antea Nederland B.V.;;;;;6;;;;6
Antje van de Statie B.V.;;;1;;;;;;1
AntrÃ© Evenementenorganisatie;;;1;;;;;;1
Antropia B.V.;;;;;1;;;1;1
ANWB B.V.;;;1;;;;;;1
AOG Contractonderwijs B.V.;;;;;2;;;;2
AON Ned. Makel. in Assurant.-Risico-Adviser.;1;;;;;;;;1
Ap-Art;;;;1;;;;;1
APCOA Parking Nederland B.V.;1;;;;;;;1;1
Aperitivo B.V.;;;1;;;;;;1
APG Service Partners B.V.;1;;;1;1;;;;1
Apollo13;2;;;;;;;;2
Applaus B.V.;;;1;;;;;;1
Aquagis B.V.;;;1;;2;;;;2
Aquamarijn Training, Coaching en Advies;;;;1;;;;;1
AquaTerra-KuiperBurger;1;;;;1;;;;2
ARA Groep B.V.;;;;;1;;;;1
ARAM Academy B.V.;;;;;2;;;;2
Arb.psych. Adv.bureau J.J. van den Broek B.V.;1;;;;;;;;1
Arbo Unie;1;;;;1;;;;1
Arbo Unie B.V.;3;;;;1;;;;3
Arboriginals;;;;;1;;;;1
Arboriginals B.V.;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;2;4;;;;4
Ardis Organisatieontwikkeling B.V.;1;;;2;2;;;;2
Arenda Oomen Fotografie;;;;;1;;;;1
Argentijns Restaurant San Telmo B.V.;;;1;;;;;;1
Argos Coaching;1;;;1;2;;;;2
Arie Meulepas Management & Advies;;;;;1;;;;1
Arnage Horeca B.V.;;;1;;;;;;1
Arnauld Geschenken B.V.;;;1;;;;;;1
Art Centre Delft;;;1;;;;;;1
art of change B.V.;;;1;;;;;;1
Artige B.V.;1;;1;;;;;;1
Artihove Regina B.V.;;;1;;;;;;1
Artiqs B.V.;;;1;;;;;;1
At Computing B.V.;;;;;2;;;;2
Atelier de Pleijsterplaats;;;;;1;;;;1
Ateno;;;;;1;;;;1
Athenas B.V.;;;;;2;;;;2
Athene Palace B.V.;;;1;;;;;;1
Athlon Car Lease Rental Services B.V.;;;1;;;;;1;1
ATP Specials B.V.;;;;;;;;1;1
August;;;1;;;;;;1
Augusta Vastgoed Holding B.V.;;;;;;;;1;1
Autonomica;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;2;;;;2
Avans Hogeschool MB B.V.;;;;;1;;;;1
Avec Pleijsier;1;;1;;;;;;1
Avetica B.V.;;;;;1;;;;1
Avex B.V.;;;1;;;;;;1
AVIATION QUALITY SERVICES;;;;;1;;;;1
Axway B.V.;;;;;1;;;;1
B & B Feestartikelen;;;1;;;;;;1
B en B HUIZE MARIENBERG;;;;;;;;1;1
B.B.A. Tours B.V.;;;1;;;;;1;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;;;;1
B.V. De Vooruitgang;;;1;;;;;;1
B.V. Rederij G. Doeksen en Zonen;;;1;;;;;1;1
B.V. Topselect;1;;;1;1;;;;1
B.V. Wellness Hotel Tummers;;;;;;;;1;1
BaanBaan B.V.;;;;4;;;;;4
Babel B.V.;;;;;1;;;;1
Back in Shape B.V.;;;;;1;;;;1
Badhu B.V.;;;1;;;;;;1
Baek Food & Drinks;;;1;;;;;;1
bagsandboxes;;;1;;;;;;1
BAINES SIMMONS LIMITED;;;;;2;;;;2
Baker Tilly Berk Breda;;;;;3;;;;3
Bakker Meijer Hoogezand B.V.;;;1;;;;;;1
Bakkerij Andringa;;;1;;;;;;1
Bakkerij Berghuis;;;1;;;;;;1
Bakkerij Bornhijm B.V.;;;1;;;;;;1
Bakkerij C.J. van Kempen;;;1;;;;;;1
Bakkerij 'Den Soeten Inval';;;1;;;;;;1
Bakkerij Dieteren B.V.;1;;;;;;;;1
Bakkerij Hallema;1;;;;;;;;1
Bakkerij Nollen;;;1;;;;;;1
Bakkerij Paul Schalke B.V.;1;;;;;;;;1
Bakkerij Pots;1;;1;;;;;;1
Bakkerij Schuurmans;;;1;;;;;;1
Bakkerij Soeteman;;;1;;;;;;1
Bakkerij Souren;;;1;;;;;;1
Bakkerij Tullenaar;;;1;;;;;;1
Balance is Beautiful!;;;;;1;;;;1
Balans & Impuls B.V.;;;;1;2;;;;2
Balkangrill;;;1;;;;;;1
Bally's Bowling;1;;1;;1;;;;1
BAM Infra Regionaal Den Haag;1;;1;;;;;;2
Bambook V.O.F.;1;;;;;;;;1
Band Rataplan;;;;;;;;1;1
Banketbakkerij Boheemen;;;1;;;;;;1
Banketbakkerij C.M. Schmidt;;;1;;;;;;1
Banketbakkerij Jan de Groot;;;1;;;;;;1
Banketbakkerij Jansen-de Koning;1;;1;;;;;;1
Banketbakkerij Leo van Ewijk;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;1;;;;;;1
Banketbakkerij Nijstad;;;1;;;;;;1
Banketbakkerij Plasman;;;1;;;;;;1
Banketbakkerij Steentjes V.O.F.;1;;1;;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;1;;;;;;1
Banketbakkerij van Beek & Specker B.V.;1;;1;;;;;;1
Banketbakkerij-Chocolaterie Lentelink;;;1;;;;;;1
Banketkoerier.nl B.V.;1;;;;;;;;1
Bar Admiraliteit;1;;;;;;;;1
Bar Bistro Graaf Floris II B.V.;;;1;;;;;;1
Bar Bistro Speakers;;;1;;;;;;1
Bar Le Duc;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;;;;1;2
Barkasbus V.O.F.;;;1;;;;;;1
Bartje Bloemendaal B.V.;;;1;;;;;;1
Bartolomeus Productions;;;;;1;;;;1
Basi-Com;;;;1;;;;;1
Bastion Hotel Leiden B.V.;;;;;;;;1;1
Bastion Hotel Utrecht B.V.;;;;;1;;;1;1
Battlefield Live Nederland B.V.;;;1;;;;;;1
BE Engineering;;;;;1;;;;1
Be You Coaching;;;;1;1;;;;1
Be7;;;;;1;;;;1
Beach Club De Amer B.V.;;;1;;;;;;1
Beachclub Copacabana B.V.;;;1;;;;;;1
Beachclub Titus B.V.;;;1;;;;;;1
Beau Investments B.V.;;;1;;;;;;1
BECON _ Guinness Enterprise Centre;;;;;1;;;;1
Bed & Breakfast De Prince;;;;;;;;1;1
Bedrijfscatering Jan Vendrig;1;;1;;;;;1;1
Bedrijfskundig Adviesbureau Pilat;;;;;1;;;;1
Bedrijfsmassage010;;;1;;;;;;1
Bedrukken.nl B.V.;2;;;;;;;;2
Beeksma Banket B.V.;;;1;;;;;;1
Beenen B.V.;;;;;1;;;;1
Begeleidings- en adviesbureau Crossover;;;;;1;;;;1
Beheer Centrum voor Mindfulness;;;;;2;;;;2
Belgian Beer Cafe Belv�d�re;;;2;;;;;;2
Belgisch BiercafÃ© Olivier B.V.;1;;1;;;;;;1
Belgisch Biercaf� Olivier B.V.;;;1;;;;;;1
BeLife Zorg B.V.;2;;;;;;;;2
Berckenroode;1;;;;1;;;;2
Berenschot B.V.;1;1;1;1;2;;;;2
Berenschot Groep B.V.;;;;1;1;;;;2
Berghauser Pont Academy B.V.;;;;;2;;;;2
Berghauser Pont B.V.;;;;;1;;;;1
Beroepsvereniging Vide;;;;;1;;;;1
Bert Hellinger Instituut Nederland;;;;;1;;;;1
Besseling Travel B.V.;;;;;;;;1;1
Best Cheese Holland B.V.;;;1;;;;;;1
Best Environmental & Safety Technology B.V.;;;1;;;;;;1
Best Value Nederland;;;;;1;;;;1
Bestuursacademie;;;;;2;;;;2
Bestuursacademie Nederland Opleidingen B.V.;;;;;2;;;;2
Beta Systems Software B.V.;;;;;1;;;;1
Betonvereniging';;;;;1;;;;1
Betty Wijntjes, coach loopbaan en ontwikkel.;;;1;;;;;;1
Beuk Touringcars;;;1;;;;;1;1
Bewust Zoo!;1;;;;;;;;1
Bezemer Kuiper & Schubad B.V.;1;;;;1;;;;1
Bezoek Agriport;;;1;;;;;;1
Bezorgbakker Bart;1;;1;;;;;;1
BHVNederland;;;;;1;;;;1
Bidfood B.V.;;;;;;;;6;6
Biesbosch Museum;;;1;;;;;;1
Bij Aaltje aan de Linie;;;1;;;;;;1
Bij de Buurvrouw;;;1;;;;;;1
Bij Tholen;;;1;;;;;;1
BijzonderStrafrecht B.V.;;;;;1;;;;1
Bilderberg Hotel Wolfheze;;;;;;;;1;1
Bilderberg Residence Groot Heideborgh;;;1;;;;;1;1
Bink Rooftop;;;1;;;;;;1
BirdView Expertises B.V.;1;;;1;;;;;1
BiSLSmart LLP;;;;;1;;;;1
Bison Bowling;1;;;;;;;;1
Bistro D'Ouwe Leeuw;;;1;;;;;;1
Bistro Flores;;;1;;;;;;1
Bistro 'In Petto';;;1;;;;;;1
blauw pak Projecten;;;;;1;;;;1
Bloembinderij De Korenschoof;1;;1;;;;;;1
Bloemenatelier Lavandula;1;;;;;;;;1
Bloemenboetiek Panhuis;;;1;;;;;;1
Bloemenboutique Fonville;1;;1;;1;;;;1
Bloemenhuis D.P. van Wageningen;1;;1;;;;;;1
Bloemenhuis De Narcis;1;;1;;;;;;1
Bloemenhuis 'Magnolia';1;;;;;;;;1
Bloemenland;1;;;;;;;;1
Bloemenmagazijn Johan;;;1;;;;;;1
Bloemsierkunst 'De Linde';1;;1;;;;;;1
Bloemsierkunst T. Haasjes B.V.;1;;;;;;;;1
BlomBerg Society B.V.;;;;;1;;;;1
blossity;;;;;1;;;;1
BLOSSOM bloemisterij;1;;1;;;;;;1
BlueCity010 B.V.;1;;1;;;;;;1
BlueFlow Management B.V.;;;;1;2;;;;2
Bme Utrecht B.V.;;;1;;1;;;;1
Boehlé Beach Business;1;;;;;;;;1
Boek en Service;;;;;1;;;;1
Boekhandel De Koperen Tuin;;;1;;;;;;1
Boekhandel Donner B.V.;;;1;;;;;;1
Boekhandel Douwes;;;1;;;;;;1
Boekhandel Van der Velde;;;1;;1;;;;1
Boels Verhuur;1;;;;;;;;1
Boerderij De Middenhof Nieuwegein;1;;2;;;;;;2
Bohms Beheer;;;1;;;;;;1
Bokaal B.V.;;;1;;;;;;1
bol.com B.V.;1;;1;;1;;;;1
Bolten Training en Advies;;;;;1;;;;1
Bongo Belevenisbon;;;1;;;;;;1
Bonnema Watersport B.V.;1;;;;;;;;1
Bontekoe Produkties V.O.F.;;;1;;1;;;;1
Boogh Arbeidsre-integratie;1;;;;;;;;1
Bookx B.V.;;;1;;;;;;1
Boom B.V.;;1;;;;;;;1
BOOM&Breakout;1;;;;;;;;1
Boon V.O.F.;1;;;;;;;;1
Boost Events;;;;;1;;;;1
Boot & Stuurliedenco�p. 'De Koperen Ploeg' WA;;;;;;;;1;1
Boot Varen Den Haag;;;1;;;;;;1
Bootservice Leeuwen;;2;;;;;;;2
boottotaal.nl;;1;;;;;;;1
Boreto B.V.;;;1;;;;;;1
BoscafÃ© het Maasdal;;;1;;;;;;1
Bosch Bloemen;1;;;;;;;;1
Bosse in Business;;;;;2;;;;2
Bouter & Bouter t.h.o.d.n. Primera Bikolaan;;;1;;;;;;1
Boutique Hotel Quartier du Port;;;1;;;;;;1
Bouvigne Paradijs B.V.;;;1;;;;;;1
Bouwend Nederland;;;1;;1;;;;1
Bovo-Tours B.V.;;;;;;;;1;1
Bowling Scheveningen B.V.;1;;;;;;;;1
Bowling-Restaurant Menken;;;1;;;;;;1
BPMConsult B.V.;;;;;2;;;;2
Braai-Tapperij 'De Mug';;;1;;;;;;1
Brabant Science B.V.;;;;;1;;;;1
Brabants Lederwarenhuis 's-Gravenhage B.V.;;;1;;;;;;1
BrÃ¼ggemann horeca groep;1;;1;;;;;;1
Brain Box Mediatraining B.V.;;;;;1;;;;1
Bramas coaching;1;;;;;;;;1
Branchever. Recycling Breken en Sorteren;;;;;1;;;;1
Brand Beerhoes;;;1;;;;;;1
Brandenburg Waardenburg Cater.- en Partyserv.;;;1;;;;;;1
Brandriet Horeca B.V.;1;;;;;;;;1
Bras.-Restaurant Korderijnk 'sinds 1916' B.V.;;;1;;;;;;1
