FID,bevoegd_ge,vergunning,lozingsobj,x_coordina,y_coordina,vestiging,huisnummer,toevoeging,locatieoms,postcodege,postcodele,plaatsnaam,naam_1e_cp,telefoon_1,fax_1e_cp,email_1e_c,naam_2e_cp,telefoon_2,fax_2e_cp,email_2e_c,e_cp_bg,e_cp_bg_1,tno_nummer,ippc_plich,ippc_kerna,ind_actief,se_anno_cad_data,gdb_geomattr_data,shape
lozingsobjecten.12,ZHXXROTTERDAM,VBM C.V. h.o.n. A&G Maasvlakte,VBMMAASV,61180,438246,LOSWALWEG,50, , ,3199,LG,MAASVLAKTE RT,dhr. P. Dijkman,0181-363099, , , , , , ,ZHARWJVT, ,202220,J,20,J,,,POINT (61180 438246.0001000017)
lozingsobjecten.13,ZHXXROTTERDAM,VONDELINGENPLAAT RECYCLING B.V.,VONROTNM,81950,434154,Vondelingenplaat,17, ,Vondelingenplaat RT havennr. 3260,3196,KL,VONDELINGENPLAAT RT,Dhr. van Diepen,31622792626, , , , , , ,ZHARWJVT, , ,N, ,J,,,POINT (81950 434154)
lozingsobjecten.14,ZHXXROTTERDAM,VOPAK TERMINAL BOTLEK B.V.,NIMABO,80216,433163,WELPLAATWEG,115, , ,3197,KS,BOTLEK RT,Dhr. J. Metselaar,010-4729660,010-4729670,jan.metselaar@vopak.com,Dhr. A. Lodder,010-4729666, ,arie.lodder@vopak.com,ZHARWMME, , ,N, ,J,,,POINT (80216.0001000017 433163)
lozingsobjecten.15,IJXXLELYSTAD,B.V. BOUWMATERIALEN NVB-VERMEULEN,LM.VERME,176977,539528,Willemskade,6, , ,8531,DN,LEMMER,Kooy L. v.d., , , , , , , , , , ,N, ,J,,,POINT (176977.0001000017 539528)
lozingsobjecten.16,IJXXLELYSTAD,BCS HARDERWIJK B.V.,HK.BEEMST,171057,485266,Flevoweg,105, ,"Flevoweg 83, 105, 111.",3840,AC,HARDERWIJK,Beemsterboer Koel en Vrieshuizen H'w, , , , , , , , , , ,N, ,J,,,POINT (171057 485266.0001000017)
lozingsobjecten.17,IJXXLELYSTAD,BETONCENTRALE IJB MORTEL,LM.IJSBET,176138,539344,Industrieweg,5, ,"Lemsterland sectie A, nr.52026,51",8531,PA,LEMMER,Boesten, , , , , , , , , , ,N, ,J,,,POINT (176138.0001000017 539343.9998999983)
lozingsobjecten.18,IJXXLELYSTAD,BN INTERNATIONAL B.V.,HU.BNINT,145050,479535,Havenstraat,68, , ,1271,AG,HUIZEN,A. Meulenbeld, , , , , , , ,IJWVOH01, ,24606,N, ,J,,,POINT (145050 479535.0001000017)
lozingsobjecten.19,IJXXLELYSTAD,CALDURAN KALKZANDSTEEN BV,HK.KZFAFVALW,171608,485759,EINSTEINSTRAAT,5, , ,3846,BH,HARDERWIJK,Dhr. G. Kroon,06-10890159, ,m.kroon@calduran.nl,Dhr. D.J. Vos,0341-465711,0341-465766,d.vos@calduran.nl,IJWVOH05, ,200156,N, ,J,,,POINT (171607.9998999983 485759)
lozingsobjecten.20,IJXXLELYSTAD,DOLFINARIUM HARDERWIJK B.V.,HK.ZDP,170768,485253,Strandboulevard-Oost,1, , ,3841,AB,HARDERWIJK,Gerard Hoogendoorn, , , , ,06-51920713, , ,IJWVOH05, , ,N, ,J,,,POINT (170768.0001000017 485253.0001000017)
lozingsobjecten.21,IJXXLELYSTAD,ELECTRABEL NEDERLAND N.V.,LL.EPON,164694,510039,Ysselmeerdijk,101, , ,8200,AA,LELYSTAD,Kerkman G., , , , , , , ,IJWVOH05, ,114001,J,1,J,,,POINT (164693.9998999983 510039)
lozingsobjecten.22,IJXXLELYSTAD,GEMEENTE HARDERWIJK,HK.OVERSTORT,171416,485576, ,0, , ,0, , ,C. de Jager, , ,C.deJager@harderwijk.nl, , , , ,IJWVOH03, , ,N, ,J,,,POINT (171416 485576.0001000017)
lozingsobjecten.23,IJXXLELYSTAD,GEMEENTE HARDERWIJK,HK.RIOOL,171642,485917,Havendam,56, ,Zie plattegrond bij de aanvraag,3841,AA,HARDERWIJK,Jager De C.T. Gemeente Harderwijk, , , , , , , , , , ,N, ,J,,,POINT (171642 485916.9998999983)
lozingsobjecten.24,IJXXLELYSTAD,GEMEENTE HUIZEN,HU.RIOOL,145039,480261,IJsselmeerstraat,7, ,eindoverstort naast RWZI,1271,AA,HUIZEN,Beens T., , , , , , , ,IJWVOH01, , ,N, ,J,,,POINT (145039 480260.9998999983)
lozingsobjecten.25,IJXXLELYSTAD,GEMEENTE LEMMER,LM.OVERSTORTEN,176240,539630, ,0, , ,0, ,LEMMER,X, , , , , , , ,IJWVOH01, , ,N, ,J,,,POINT (176240 539629.9998999983)
lozingsobjecten.26,IJXXLELYSTAD,GEMEENTE WIERINGERMEER,WW.WATERPARK,136204,540894, ,0, , ,0, , ,---, , , , , , , ,IJWVOB01, , ,N, ,J,,,POINT (136204.0001000017 540893.9998999983)
lozingsobjecten.27,IJXXLELYSTAD,GIVAUDAN NEDERLAND BV,NA.GIVAUDAN,139645,480006,Huizerstraatweg,28, , ,1411,GP,NAARDEN,J.W. Siebenga, , , , , , , ,IJWVOH01, ,21304,J,19,J,,,POINT (139645.0001000017 480006.0001000017)
lozingsobjecten.28,IJXXLELYSTAD,JACHTCENTER ELBURG B.V.,EL.JCELB,184621,496615,BROEKHOVENSTRAAT J P,23, , ,8081,HB,ELBURG,Kaandorp/Kleine de, , , , , , , , , , ,N, ,J,,,POINT (184621 496615.0001000017)
lozingsobjecten.29,IJXXLELYSTAD,N.V. PWN WATERLEIDINGBEDRIJF,AN.PWNH,144106,529450,DIJKWEG,12, , ,1619,HA,ANDIJK,M. Nijman, , , , , , , , , , ,N, ,J,,,POINT (144106 529450)
lozingsobjecten.30,IJXXLELYSTAD,NUON ELEKTRA,DM.NUON,129966,483411,Overdiemerweg,35, ,"Diemen sectie B, Muiden sectie A.",1111,PP,DIEMEN,R.J. Snelderwaard,030- 2472200, , ,G. ten Brink,030- 2472815, , , , ,24002,J,1,J,,,POINT (129966 483411)
lozingsobjecten.31,IJXXLELYSTAD,ONTWIKKELBEDRIJF AMSTERDAM,AM.DEPUNT,126709,487175, ,0, , ,0, , ,D.Adriaansens,020-5529570, , , , , , ,IJWVOH04, , ,N, ,J,,,POINT (126709.0001000017 487174.9998999983)
lozingsobjecten.32,IJXXLELYSTAD,RWS IJSSELMEERGEBIED,KM.KETEL1,179089,511864,Zuiderwagenplein,2,p/a,Ketelmeerdepot,8200,AP,LELYSTAD,Douwe van 't Zet,0320-297325,0320-297666, , , , , ,IJWVOH05, ,200464,J,23,J,,,POINT (179089 511863.9998999983)
lozingsobjecten.33,IJXXLELYSTAD,SCHEEPSWERF BALK B.V. (vervallen),EL.BALK,185167,496019,Havenkade,38, , ,8081,GR,ELBURG,Balk A.J., , , , , , , , , , ,N, ,J,,,POINT (185167 496019.0001000017)
lozingsobjecten.34,IJXXLELYSTAD,V.O.F. VISHANDEL KLOOSTER,EN.PALING,147628,522645, ,0, ,Markermeer Noord,0, ,ENKHUIZEN,Klooster visghdl rokerij en gross ge, , , , , , , , , , ,N, ,J,,,POINT (147628.0001000017 522645.0001000017)
lozingsobjecten.35,IJXXLELYSTAD,VAN NIEUWPOORT BETONMORTEL BV,HK.VBC,171030,485308,Ir. Lelykade,21, , ,3896,AE,HARDERWIJK,Fillipo, , , , , , , , , , ,N, ,J,,,POINT (171029.9998999983 485308)
lozingsobjecten.36,IJXXLELYSTAD,VENTIS SCHEEPSTIMMERWERK,EN.VENTIS,147055,522299,Valkwater,3, , ,1600,AJ,ENKHUIZEN,Ventis BV, , , , , , , , , , ,N, ,J,,,POINT (147054.9998999983 522299.0001000017)
lozingsobjecten.37,IJXXLELYSTAD,WATERNET,HU.RWZI,145039,480261,IJSSELMEERSTRAAT,7, ,Lozing Gooimeer,1271,AA,HUIZEN,Ruiken C. Dhr. RWZI Huizen, , , ,zie memo!!, , , , , , ,N, ,J,,,POINT (145039 480260.9998999983)
lozingsobjecten.38,IJXXLELYSTAD,WATERSCHAP VELUWE,EL.RWZI,204543,476752,Industriestraat,31, ,Elburg sectie A nr 2159,8081,HH,ELBURG,Rutgers,0525-681660, , ,"Witte, de", , , , , ,114723,J,22,J,,,POINT (204543.0001000017 476752.0001000017)
lozingsobjecten.39,IJXXLELYSTAD,WATERSCHAP VELUWE,HK.RWZI,204543,476752,Lorentzstraat,5, , ,3864,AV,HARDERWIJK,Rutgers, , , , , , , , , ,114723,J,22,J,,,POINT (204543.0001000017 476752.0001000017)
lozingsobjecten.40,LBXXMAASTRICHT,AVG Bedrijven Heijen B.V.,GENNEPH117,195712,408969, ,0, , ,0, , ,Smits J.E.G., , , , , , , , , , ,N, ,J,,,POINT (195711.9998999983 408969)
lozingsobjecten.41,ZHXXROTTERDAM,DU PONT DE NEMOURS  B.V.,DUPONTDORDT,109571,425716,Baanhoekweg,22, ,chemisch industrie,3313,LA,DORDRECHT,Dhr. P. Tchang, , , , , , , ,ZHARWMBA, ,10079,J,19,J,,,POINT (109571.0001000017 425715.9998999983)
lozingsobjecten.42,ZHXXROTTERDAM,DUNEA,DWLAMAAS,131847,422820,Munnikenlandse Waalkade,2, ,Wijk en Aalburg,5307,TH,POEDEROIJEN,Dhr. Bert van Renswoude,06-13079463,183443439, , , , , ,ZHARWGKE, , ,N, ,J,,,POINT (131847.0001000017 422820.0001000017)
lozingsobjecten.43,ZHXXROTTERDAM,Dalm Werkendam B.V.,DALMWERK,122349,426123,Hoef,15, , ,4254,LK,SLEEUWIJK,G. Dalm,0183-501684, , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (122348.9998999983 426123.0001000017)
lozingsobjecten.44,ZHXXROTTERDAM,Dalmeyer Recycling B.V.,DALMOUDE,103977,441332,IJsseldijk Noord,441, ,Kantoor + opslagterrein,2935,CT,OUDERKERK AAN DEN IJSSEL,Dalmeyer Recycling B.V., , , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (103976.9998999983 441332.0001000017)
lozingsobjecten.45,ZHXXROTTERDAM,Damen Shiprepair Rotterdam B.V,NIEHUIS,87060,433628,PASTORIESTRAAT,1, , ,3195,HT,PERNIS RT,Dhr. W. Meijer,06-53529037, , ,Dhr. J. Brouwershaven, , , ,ZHARWEVE, , ,N, ,J,,,POINT (87060 433627.9998999983)
lozingsobjecten.46,ZHXXROTTERDAM,Damen Shiprepair Rotterdam B.V.,WILTONFY,85844,436031,Admiraal de Ruyterstraat,24, ,scheepswerf,3115,HB,SCHIEDAM,Dhr. I. Spijker,31102452222, , ,Dhr. O.B. Boot,31102041222, , ,ZHARWEVE, , ,N, ,J,,,POINT (85844.0001000017 436031.0001000017)
lozingsobjecten.47,ZHXXROTTERDAM,De Heus Voeders B.V.,BOUMAVEE,132065,422200,Hoge Maasdijk,1,-3,Op-overslag veevoeders,4281,NE,ANDEL,Dhr. G. van der Mee,629542532, , , , , , ,ZHARWMVO, , ,N, ,J,,,POINT (132065 422199.9998999983)
lozingsobjecten.48,ZHXXROTTERDAM,Derde Merwedehaven B.V.,PROAV3MW,111377,425469,BAANHOEKWEG,92,A,Afvalberging 3e MWhaven Dordrecht,3313,LP,DORDRECHT,Dhr. C. Oranje,078-6306781, , ,Dhr. A. Kaijser,0115-678696, , ,ZHARWJVT, ,200436,J,23,J,,,POINT (111376.9998999983 425469.0001000017)
lozingsobjecten.49,ZHXXROTTERDAM,"Dordrecht, gemeente",DORDPLAN,105050,425015,Oosthaven,1, , ,9999,ZZ,DORDRECHT,B. Heystek, , , , , , , ,ZHARWRVA, , ,N, ,J,,,POINT (105049.9998999983 425014.9998999983)
lozingsobjecten.50,ZHXXROTTERDAM,Du Pont Dow Elastomers B.V.,DUPONTDOWDORD,109580,425720,Baanhoekweg,22, ,Chemische industrie,3313,LA,DORDRECHT,J.H. Langendam, , , , , , , ,ZHARWLSN, , ,N, ,N,,,POINT (109580.0001000017 425719.9998999983)
lozingsobjecten.51,ZHXXROTTERDAM,Dura Vermeer Groep NV,DURA1135R,94095,436468,Nassaukade,3, ,Kantoorgebouw de Brug,3071,JL,ROTTERDAM,Dhr. P. Sprenkeler,31652023521, ,peter.sprenkeler@unilever.com, , , , ,ZHARWMVO, , ,N, ,J,,,POINT (94094.9998999983 436468)
lozingsobjecten.52,ZHXXROTTERDAM,E.ON Benelux N.V.,EZHGALLI,88875,436248,Galileistraat,15, , ,3029,AL,ROTTERDAM,dhr. R. van Rij, , , , , , , ,ZHARWBVH, ,12147,J,1,J,,,POINT (88875 436248.0001000017)
lozingsobjecten.53,ZHXXROTTERDAM,E.ON Benelux N.V.,EZHMAASV,61305,442140,Coloradoweg,10, , ,3199,LA,MAASVLAKTE ROTTERDAM,Ir. E. Noks,31108884315,31181370022, ,Ir. M. Louer,31181363992, , ,ZHARWBVH, ,12149,J,1,J,,,POINT (61304.99989999831 442139.9998999983)
lozingsobjecten.54,ZHXXROTTERDAM,ECT Home Terminal BV,ECTROTNM,88981,432419,Reeweg,25, , ,3089,KM,ROTTERDAM,Dhr. F. Bello,010-4916301, , , , , , ,ZHARWABR, , ,N, ,J,,,POINT (88980.9998999983 432418.9998999983)
lozingsobjecten.55,ZHXXROTTERDAM,ESSO NEDERLAND B.V.,ESSORAFF,80382,432421,BOTLEKWEG,121, , ,3197,KA,BOTLEK RT,Wolk,31104874175,31104874558,frederik.vanderwolk@exxonmobil.com, , , , ,ZHARWTFA, ,10061,J,2,J,,,POINT (80382 432421)
lozingsobjecten.56,ZHXXROTTERDAM,EUROGRIT BV,EUROGRID,103356,422787,KILKADE,30, ,Julianahaven in Dordrecht,3316,BC,DORDRECHT,Dhr. Ben Alberts,06-10040435, ,balbers@eurogrit.com, , , , ,ZHARWMME, , ,N, ,J,,,POINT (103356.0001000017 422786.9998999983)
lozingsobjecten.57,ZHXXROTTERDAM,EUROPEAN BULK SERVICES  B.V.,EBSEUROP,68054,440859, ,0, , ,0, , ,C. Oerlemans, , , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (68053.9998999983 440859.0001000017)
lozingsobjecten.58,ZHXXROTTERDAM,EUROPEAN BULK SERVICES  B.V.,EUROSILO,68102,440813,ELBEWEG,117, , ,3198,LC,EUROPOORT RT,G. Raven, , , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (68102.0001000017 440812.9998999983)
lozingsobjecten.59,ZHXXROTTERDAM,EUROPEAN BULK SERVICES  B.V.,GEMEUROP,68120,442020,ELBEWEG,139, , ,3198,LC,EUROPOORT RT,Dhr. D. Klarenbeek,0181-257362,0181-257376,dave_klarenbeek@admworld.com, , , , ,ZHARWMVO, , ,N, ,J,,,POINT (68120 442020.0001000017)
lozingsobjecten.60,ZHXXROTTERDAM,EUROPEAN BULK SERVICES  B.V.,SWARTOU,77889,433511,MONTREALWEG,50, , ,3197,KH,BOTLEK RT,Dhr. Ton van der Knaap,0181-243599, , ,B.J. van Beuzekom, , , ,ZHARWMME, , ,N, ,J,,,POINT (77889.0001000017 433511)
lozingsobjecten.61,ZHXXROTTERDAM,EUROPEES MASSAGOEDOVERSLAGBEDRIJF,EMOMAAS,62756,439910,MISSOURIWEG,25, , ,3199,LB,MAASVLAKTE RT,Dhr A.J.Vrijma, , , ,Dhr. Tiggelman, , , ,ZHARWMME, , ,N, ,J,,,POINT (62756 439909.9998999983)
lozingsobjecten.62,ZHXXROTTERDAM,EXXONMOBIL CHEMICAL HOLLAND B.V.,EXRAPBOT,80430,432305,Botlekweg,121, ,havennr. 4060,3197,KA,BOTLEK ROTTERDAM,Mw. H. van Gelder,010-4874454, ,hadewig.van.gelder@exxonmobil.com, , , , ,ZHARWJMI, ,10062,J,19,J,,,POINT (80429.9998999983 432304.9998999983)
lozingsobjecten.63,ZHXXROTTERDAM,EXXONMOBIL CHEMICAL HOLLAND B.V.,EXXONCHE,72336,438448,MERWEDEWEG,21, ,Rotterdam Oxo-alcohols Plant,3198,LH,EUROPOORT RT,Dhr. J.M. Boer,31181255702,31181255892,johann.m.boer@exxonmobil.com, , , , ,ZHARWBVH, ,12135,J,19,J,,,POINT (72336.0001000017 438448.0001000017)
lozingsobjecten.64,ZHXXROTTERDAM,EXXONMOBIL CHEMICAL HOLLAND B.V.,EXXONRPP,79038,432042,Welplaatweg,2, ,Rotterdam Plasticizer Plant,3197,KS,BOTLEK ROTTERDAM,J.M. Boer,31181255702,31181255892,johann.m.boer@exxonmobil.com, , , , ,ZHARWJMI, ,19004,J,19,J,,,POINT (79038 432042)
lozingsobjecten.65,ZHXXROTTERDAM,Essent Energie Productie B.V.,EPZAMER,117612,413520,Amerweg,1, , ,4931,NC,GEERTRUIDENBERG,Dhr. Andries Molenaar,31738538165,31738538108,andries.molenaar@essent.nl, , , , ,ZHARWBVH, ,44004,J,1,J,,,POINT (117612.0001000017 413519.9998999983)
lozingsobjecten.66,ZHXXROTTERDAM,Essent Energie Productie B.V.,WKCMOERD,99220,411063,Middenweg,36, , ,4782,PM,MOERDIJK,Dhr. T. van Diessen,31629007391,31168381244,teunie.van.diessen@essent.nl, , , , ,ZHARWBVH, ,49006,J,1,J,,,POINT (99219.9998999983 411063)
lozingsobjecten.67,ZHXXROTTERDAM,European Metal Recycling B.V.,ESTROTTERDAM,78701,434600,Quebecstraat,3, ,Op-en overslagbedr. bulkgoederen,3197,KL,BOTLEK ROTTERDAM,dhr.M. Sparrius,0181-291212, , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (78700.9998999983 434599.9998999983)
lozingsobjecten.68,ZHXXROTTERDAM,Evides B.V.,WMZHZUID,102279,420934,Zuiderparkweg,300, ,regio 3,3085,BW,ROTTERDAM,"Europoort (ZHZ), Waterbedrijf", , , , , , , ,ZHARWGKE, , ,N, ,J,,,POINT (102279.0001000017 420934.0001000017)
lozingsobjecten.69,ZHXXROTTERDAM,Evonik Carbon Black Nederland B.V.,CARBLANE,78764,433110,WELPLAATWEG,30, , ,3197,KS,BOTLEK RT,Erik Bleichrodt,010-4901848, , , , , , ,ZHARWTFA, ,10017,J,37,J,,,POINT (78764.0001000017 433110.0001000017)
lozingsobjecten.70,ZHXXROTTERDAM,Exxon Mobil Pernis B.V.,MOBILPER,85392,433900,BUTAANWEG,161, , ,3196,KC,VONDELINGENPLAAT RT,Dhr. G.M. Reichardt,31102632551,31104720115,ger.m.reichardt@exxonmobil.com, , , , ,ZHARWMME, , ,N, ,J,,,POINT (85391.9998999983 433900)
lozingsobjecten.71,ZHXXROTTERDAM,GEBROEDERS HAKKERS BV,HAKKBIES,119633,424340,BRUNINGSSTRAAT,24, ,Biesboschhaven: Huishoudelijk loz,4251,LA,WERKENDAM,"Hakkers B.V., Gebr.", , , , , , , ,ZHARWMIN, , ,N, ,J,,,POINT (119632.9998999983 424340.0001000017)
lozingsobjecten.72,ZHXXROTTERDAM,GULF OIL Nederland B.V.,GULFSTNOZ,62010,427224,Noordereiland,3, , ,3251,NC,STELLENDAM,F.H.A. Odijk,0233 634567, , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (62010 427224.0001000017)
lozingsobjecten.73,ZHXXROTTERDAM,HENRY DE HAAN TANKTRANSPORT B.V.,AGAGAS,104895,429548,Rapenburg,3, , ,2952,AP,ALBLASSERDAM,Dhr. H. de Haan,31786915214, , , , , , ,ZHARWMIN, , ,N, ,J,,,POINT (104894.9998999983 429547.9998999983)
lozingsobjecten.74,ZHXXROTTERDAM,HKS Hoogovens Kl?ckner Scrap Metals B.V.,KLOCKNER,102153,422552,Havenweg,1, , ,3295,ZH,'S-GRAVENDEEL,Klockner Scrap Trading B.V.,078-6739200, , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (102152.9998999983 422552)
lozingsobjecten.75,ZHXXROTTERDAM,HOYER NEDERLAND B.V.,RTTBOT,81215,432377,OUDE MAASWEG,50, ,havennr. 4048,3197,KJ,BOTLEK RT,T. Runia,31102953333, , , , , , ,ZHARWJVT, ,11474,J,20,J,,,POINT (81214.9998999983 432377.0001000017)
lozingsobjecten.76,ZHXXROTTERDAM,Handelsonderneming J. van den Bos,TROOSTAV,67930,440586,Elbeweg,98, , ,3198,LC,EUROPOORT ROTTERDAM,"Bos, J. van den", , , , , , , ,ZHARWJVT, , ,N, ,N,,,POINT (67930.0001000017 440586.0001000017)
lozingsobjecten.77,ZHXXROTTERDAM,"Hartogh Moerdijk B.V., Den",HARTOGH,99413,410355,Middenweg,30, , ,4782,PM,MOERDIJK,Dhr. H. Keulemans,31168334362,31168380145,hkeulemans@denhartogh.com,Dhr. R. Lauffer,31168334363, , ,ZHARWMME, , ,N, ,J,,,POINT (99413 410355.0001000017)
lozingsobjecten.78,ZHXXROTTERDAM,Kieboom Werkendam B.V.,BUNKBOLN,99389,434934,Ringdijk,540, , ,2987,VZ,RIDDERKERK,Dhr. Heyns, , , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (99389 434934.0001000017)
lozingsobjecten.79,ZHXXROTTERDAM,Koch HC Partnership B.V.,EUROSPLITTER,74560,436905, ,5, ,olie destillatie-installatie,9999,ZZ,ROTTERDAM,Rene J.A. Smits,0181-240150, , , , , , ,ZHARWJMI, ,12177,J,2,J,,,POINT (74560.0001000017 436905)
lozingsobjecten.80,ZHXXROTTERDAM,Koole Tankstorage Pernis BV.,PANOCEPO,82923,434146,Tankhoofd,2, , ,3196,KK,VONDELINGENPLAAT RT,M.H. de Boer (tel. 010-4724558), , , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (82922.9998999983 434145.9998999983)
lozingsobjecten.81,ZHXXROTTERDAM,Kuwait Petroleum Europoort B.V.,KUWAITRA,71166,439356,Moezelweg,255, ,aardolieraffinaderij,3198,LS,EUROPOORT ROTTERDAM,Jan Maarten van der Steen,0181-281439,0181-262926,jvdsteen@kpe.q8.nl,Dave Klarenbeek,0181-285389,0181-251227,klarenb@kpe.q8.nl,ZHARWJMI, ,10059,J,2,J,,,POINT (71166.0001000017 439356)
lozingsobjecten.82,ZHXXROTTERDAM,LBC ROTTERDAM B.V.,DOWCHEM,81125,433670,OUDE MAASWEG,4, , ,3197,KJ,BOTLEK RT,dhr.P.A.F. Hoogendam,010-2958534,010-2958606, , , , ,p-hoogendam@rotterdam.lbc-net.com,ZHARWMME, , ,N, ,J,,,POINT (81124.9998999983 433670)
lozingsobjecten.83,ZHXXROTTERDAM,LabCo B.V.,LABGRAAN,68184,441426,Elbeweg,141, , ,3198,LC,ROTTERDAM,Dhr. F. Berkhout,31181262355, , , , , , ,ZHARWMVO, , ,N, ,J,,,POINT (68184 441425.9998999983)
lozingsobjecten.84,ZHXXROTTERDAM,"Lange, J.W. de",LANNIELEK,106911,434033,Veerweg,6, , ,2957,CP,NIEUW LEKKERLAND,"Lange, J. de",0184-681866, , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (106911.0001000017 434033.0001000017)
lozingsobjecten.85,ZHXXROTTERDAM,"Legerstee Bunkerbedrijf, G",VUIKHEUS,138614,416830,BAKKERSDAM,9, ,Bunkerstation en reparatiedok,5256,PK,HEUSDEN GEM HEUSDEN,G. Legerstee, , , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (138613.9998999983 416829.9998999983)
lozingsobjecten.86,ZHXXROTTERDAM,Loveld NL BV.,SCHOKBET,102496,424186,Lindtsedijk,14, , ,3336,LE,ZWIJNDRECHT,H. van Hulst (Directeur),078-6125000,078-6259598, ,M. Vriens (Miliue co?rdinator), , , ,ZHARWABR, , ,N, ,J,,,POINT (102496.0001000017 424186)
lozingsobjecten.87,ZHXXROTTERDAM,Lucite International Holland B.V.vhINEOS,LUCI5210R,76032,434506,Merseyweg,16, , ,3197,KG,BOTLEK ROTTERDAM,Dhr H.J. Bos,0181-233221,0181-233240, , , , , ,ZHARWEVE, ,114820,J,19,J,,,POINT (76032 434506.0001000017)
