Rijlabels;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Bert van Dijk Bij Voorkeur;;;;;1;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;1;;;1
Between B.V.;;2;;;;;;2
Bezemer Kuiper & Schubad B.V.;;;;;1;;;1
Bianca de Wit Photography;;;1;;;;;1
BienB;;;1;;;;;1
Bigoli;1;;;;;;;1
Bij Jou Catering;;;1;;;;;1
Bilderberg Europa Hotel Scheveningen;;;;;;;1;1
Binnenlands Bestuur B.V.;;;;;1;;;1
Bison Bowling;1;;1;;;;;1
Bizzdesign Academy B.V.;;;;;1;;;1
BiZZdesign International;;;;;1;;;1
Blij Lunch & Borrelroom;;;1;;;;;1
Bloem- en Bindboutique Corina;;;1;;;;;1
Bloemenboutique Fonville;;;2;;;;;2
Blomberg Instituut B.V.;;;;;1;;;1
Bloomville;;2;;;;;;2
BLOSSOM bloemisterij;;;1;;;;;1
Blue! Nood! Events;;;;;;1;;1
Bob on Board;;;;;;1;;1
Boek en Service;;;;;1;;;1
Boerderij Dichtbij;;;;;1;;;1
Boerderij Hoekelum;1;;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;1;;;1
Bofit Burnout begeleiding en Stressmanagement;;;;1;;;;1
Bohn Stafleu Van Loghum;;;;1;;;;1
bol.com B.V.;1;;1;;1;;;1
Bolten Training en Advies;;;;;1;;;1
Bonne Consult;;;;1;;;;1
Boot 10 Amsterdam B.V.;1;;;;;;;1
Boterwaag Den Haag B.V.;;;1;;;;;1
Boudewijn European Affairs;;;;;1;;;1
Bouwmarkt Van der Schee B.V.;;;;;;;2;2
Brain Box Mediatraining B.V.;;;;;1;;;1
Brainstormnet;;1;;;1;;;1
Brasserie Archipel B.V.;;;1;;;;;1
Brasserie Bracke;;;1;;;;;1
Brasserie Mijn Streek B.V.;;;1;;;1;;1
Brasserie Soho B.V.;;;1;;;;;1
Brasserie Vuur B.V.;;;1;;;;;1
Brasserie/Restaurant Babbilage;;;1;;;;;1
Brenda Vos;;;;;1;;;1
Bright Events;;;1;;;;;1
Brinq Training & Communicatie;;;;;1;;;1
Broers;;;1;;;;;1
Brom Utrecht B.V.;1;;;;;;;1
Brood2Day B.V.;;;1;;;;;1
Bruggink Communicatie Support;;;;;1;;;1
Bruinsma Holding B.V.;;;;;1;;;1
BTC Mediatest B.V.;;1;;;;;;1
BU!TEN;;;1;;;;;1
Bubbles and Blessings B.V.;;;1;;;;;1
Buck Consultants International B.V.;;1;;;;;;1
Buena Vista Beach Club B.V.;;;;;;1;;1
Buitenhotel De Vreemde Vogel;;;;;;1;1;1
Bureau 5 voor 9;;;;;1;;;1
Bureau BD;;;;;1;;;1
Bureau Integriteit B.V.;;1;;;;;;1
Bureau Mozaiek;;;;;1;;;1
Bureau Stijlzorg;1;;;;;;;1
Bureau Zuidema B.V.;;;;;2;;;2
Bureau Zuidema Rotterdam B.V.;;;;;2;;;2
Bureautaal B.V.;;1;;;1;;;1
Burger Coaching & Advies;;;;;1;;;1
Burgers Beheer B.V.;;;;;2;;;2
Burghouts Coaching en Trainingen;;;;;1;;;1
Burn Out Poli;;;;;1;;;1
Buschman Consultancy B.V.;;;;;2;;;2
Business Openers B.V.;1;;;;;;;1
BVO Opleidingen B.V.;;;;;2;;;2
CA Communicatie;;;;;1;;;1
Café Berger Beheer;;;1;;;;;1
Café De Jaren;;;1;;;;;1
Café Restaurant Hoogendam;;;1;;;;;1
Café Restaurant Rootz B.V.;;;1;;;1;1;1
Café Van Beek;;;1;;;;;1
Café van Miltenburg;;;2;;;;;2
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;1;;1
Café-Restaurant Amier;;;1;;;;;1
Café-Restaurant De Plantage B.V.;;;1;;;;;1
Café-Restaurant Leopold;;;;;;1;;1
cambiamo;;;;1;1;;;1
Cancer Health Coach;;;1;;2;;;2
Cantina Italia B.V.;;;1;;;;;1
Capgemini Educational Services B.V.;;;;;2;;;2
Capgemini N.V.;;;;;2;;;2
Capgemini Nederland B.V.;;;;;1;;;1
Caroni;;;1;;;;;1
Catering Oud London B.V.;1;;1;;;;;1
Cecile Vossen Concept & Tekst;;1;;;;;;1
CELEVT;;;;;1;;;1
Centrale Rino B.V.;;;;;1;;;1
Centrum voor Keteninformatisering B.V.;;;;;1;;;1
Chocolaterie Albert B.V.;1;;;;;;;1
Chris Keulemans;;;1;;;;;1
Chris van Wijk;;;;;1;;;1
Christa van den Heuvel Produções;;;1;;;;;1
Christelijke Hogeschool Ede;;;;;1;;;1
Ciao! Ciao! B.V.;;;1;;;;;1
Cimsolutions;;4;;;;;;4
Cirquest B.V.;;;;;2;;;2
Ciska Pouw - flow facilitator;;;;;2;;;2
City Rotterdam;;;1;;;;;1
Citylife B.V.;;;1;;;;;1
Clear Conduct B.V.;;;;;1;;;1
Cloose;;;1;;;;;1
CM Partners B.V.;;2;;;2;;;3
Coach en Consultancybureau Bart Weikamp;;;;;1;;;1
Coachen in de Natuur;;;;;1;;;1
Coaching in Change;;;;;1;;;1
Cognicum B.V.;;;;;1;;;1
Coincide B.V.;;;;;;;2;2
Cometa Culinair;;;1;;;;;1
CommGres;;;;;1;;;1
Commitment B.V.;;;;;1;;;1
Common Eye B.V.;;2;;;1;;;2
Communicatie Company;;;;;1;;;1
Company Sandwich;;;1;;;;;1
COMPAREX Nederland B.V.;;;;;2;;;2
Compass Group Nederland B.V.;;;1;;;;;1
Compass Group Nederland Holding B.V.;;;1;;;;1;2
Competence Factory;;;;;1;;;1
Compu'Train Opleidingen B.V.;;;;;1;;;1
Congress Care B.V.;;;;;1;;;1
Congress Company B.V.;;;;;1;;;1
Connexxion;;;;;;;1;1
Connexxion Taxi Services B.V.;;;;;;;2;2
Coöperatie De Duitse Bakker (ML) UA;;;;;;1;;1
Coosto B.V.;;;;;1;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;1;;;1
Corrie Noom Advies;;;;;1;;;1
Cosanta B.V.;;1;;;1;;;1
Council of Europe Minority Youth Committees;;;;;1;;;1
Covalis Ketenmanagement;;;;;1;;;1
CQT Zorg & Gezondheid;;;;;1;;;1
Creator Meeting Support B.V.;;;1;;;;;1
Croissanterie Aad de Groot B.V.;;;1;;;;;1
Croissanterie Antoine Bezorging-Catering B.V.;1;;;;;;;1
Cross Media Nederland B.V.;;;;1;;;;1
Crowd Innovation;;1;;;;;;1
Dapper's Kantoorvakhandel B.V.;;;1;;;;;1
DARA B.V.;;;1;;;;;1
De Argumentenfabriek B.V.;;;;;2;;;2
De Argumentenfabriek Denkacademie B.V.;;;;;2;;;2
De Baak Administratie;;;;;2;;;2
De Baak B.V.;;;;;2;;;2
De Berenkuil B.V.;;;1;;;;;1
De Bierkelder Utrecht;;;1;;;;;1
De Brede Moestuin;;;1;;;;;1
de Context;;;;;1;;;1
De Galan Groep B.V.;;1;;;;;;1
De Griffel V.O.F.;;;1;;;;;1
De Hof van Eden Pure Catering;1;;;;;;;1
De Holland Winkel;;;1;;;;;1
De Hoogstraat Revalidatie;;1;;;;;;1
De Karavaan B.V.;1;;;;;;;1
De Kastanjehof B.V.;;;1;;;;;1
De Keerzijde B.V.;;;;;2;;;2
De keuken van Thijs;1;1;;;1;;;1
De Kooi;;;1;;;;;1
De Kookfabriek Amsterdam B.V.;;;;;2;;;2
De Kookfabriek Utrecht B.V.;;;1;;;;;1
De Korenbeurs;;;1;;;;;1
De Landgoederij B.V.;;;1;;;;;1
De Massagestoel;2;;;;;;;2
De Museumvereniging;;;1;;;;;1
De Nonnen in Vught;;;;;2;;;2
De Paleiswinkel;;;1;;;;;1
de Persgroep Nederland B.V.;;;1;1;;;;1
de Poort van Herle;;;1;;;;;1
De Roofvogelboerderij;;;;;;1;;1
De Sterke Punten;;;;;1;;;1
De Tombe Consultancy B.V.;;;;;1;;;1
De Totem crossmediale Commun. en vormgeving;;;;;1;;;1
De Utrechtse Haven B.V.;1;;1;;1;;;1
De Vicco Coaching & Mediation;;;;;1;;;1
De Vier Gewesten;;;;;;;1;1
De Vierstroom;;;;;1;;;1
De Vreugdehoeve;;;1;;;;;1
De Wijnwijven;1;;;;;;;1
De Winkel van Sinkel B.V.;;;1;;;;;1
De Witte Zwaan B.V.;;;1;;;;;1
De Zwarte Vosch B.V.;1;;1;;;;;1
DeCongresbalie;;;;;1;;;1
Defacto Software B.V.;;;;;2;;;2
Dekkers & van Amersfoort B.V.;;;1;;;;;1
DEKRA Certification B.V.;;1;;;;;;1
Dekxels B.V.;;;1;;;;;1
Delft Congress Support B.V.;;;;;2;;;2
Deloitte Accountants B.V.;;1;;;1;;;1
Deloitte Financial Advisory Services B.V.;;;;;1;;;1
Den Draeck;;;1;;;;;1
Denk Producties B.V.;;;;;2;;;2
Depok B.V.;;;1;;;;;1
DesignThinkers B.V.;;;;;1;;;1
Development Works;;;;;1;;;1
Di Pavone;;;1;;;;;1
DIA Europe B.V.;;;;;2;;;2
DiaVentie Management Consulting;;;;;1;;;1
DidiCakes;1;;;;;;;1
Diebels Relatiegeschenken B.V.;;;1;;;;;1
Digital Action;;;1;;1;;;1
Diner Thuis;;;1;;;;;1
Dirosa Beauty services;1;;;;;;;1
Djembé-mee;;;1;;;;;1
DMG Services;;;1;;;;;1
Domstad Evenementen B.V.;1;;1;;;;;1
Doornebos Tekst & Uitleg;;1;;;;;;1
Dorpshuis 'Horsterhoek';;;1;;;;;1
Double Vee Concerts B.V.;;;1;;;;;1
Down Under Horecaexploitatie B.V.;;;1;;;;;1
DPI Animation House B.V.;;1;;;;;;1
Dr. R. Salomonsz B.V.;;;;;3;;;3
Draaijer Mediation & Conflicthantering;;;;1;;;;1
DSA Express Nederland B.V.;;;;;;;1;1
Dudok Den Haag B.V.;;;1;;;;;1
Duff & Phelps;;4;;;;;;4
Duthler Associates;;;;;1;;;1
Easy Ergonomics B.V.;;1;;;;;;1
Ebbinge & Company International Holding B.V.;;;;1;1;;;2
Ecco;;;;;1;;;1
Eden Hotel Exploitatie B.V.;;;;;;;1;1
Eduvision B.V.;;;;;1;;;1
Eemlandhoeve Exploitatie B.V.;;;1;;;;;1
Eetcafe De Kleine Prins B.V.;;;1;;;;;1
Eetcafe Joos;;;1;;;;;1
Eethuis Dado;1;;;;;;;1
Effectory B.V.;;;;;2;;;2
Efficiency Expert;;;;;1;;;1
El Martes;;;1;;;;;1
El Mundo de las Tapas;;;1;;;;;1
Elefac;;;;;1;;;1
Elycio Talen B.V.;;;;;1;;;1
Emeritor Procurement Services B.V.;;4;;;;;;4
Enginar B.V.;1;;1;;;;;1
Enker;;;;1;1;;;1
Enof creatieve communicatie B.V.;;;;;1;;;1
Entopic B.V.;;;;;1;;;1
Ergatis B.V.;;1;;1;;;;1
Escape Factory B.V.;1;;;;;;;1
Escape Room;;;1;;;;;1
Escape World B.V.;;;1;;;;;1
Esomar B.V.;;;;;1;;;1
eSZet print;1;;;;;;;1
Eten bij Werelds;;;1;;;;;1
Euregionaal Congresburo;;;;;1;;;1
Eva de Klerk;;;1;;;;;1
Evers Research & Training;;;;;1;;;1
EVO;;;;;1;;;1
Excellent Touringcars;;;;;;;1;1
Expats & Immigrants B.V.;;;;;1;;;1
Explainit Company;;;;;2;;;2
Exploitatie Schimmelpenninckhuys B.V.;;;1;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;1;;;1
EXPO 66 B.V.;;;1;;;;;1
Exponential Expansion B.V.;;;;;1;;;1
EYE - Bar Restaurant B.V.;1;;1;;;;;1
Fari B.V.;;;;1;;;;1
Federal Express Europe Inc.;;;;;;;1;1
Feedback Training & Consulting B.V.;;;;;1;;;1
Feithhuis Exploitatie B.V.;;;1;;;;;1
Fepa Horeca B.V.;;;1;;;;;1
Fietspunt B.V.;1;;;;;;;1
Fifteen Amsterdam Holding B.V.;;;2;;;;;2
Figi;;;;;1;;;1
Fine Fresh Food;;;1;;;;;1
Firebrand Training BeNeLux B.V.;;;;;1;;;1
Firma Hof der Muzen;;;2;;;1;;2
Firma J. Swaanen;;;1;;;;;1
First 1 Bedrijfsfitness B.V.;;1;;;;;;1
Fish & Meat B.V.;;;1;;;1;;1
Flevo Yachtcharter;;;1;;;;;1
Florent;;;1;;;;;1
Floriënt Express B.V.;;;1;;;;;1
Focus Conferences B.V.;;;;;1;;;1
Foodzie;;;1;;;1;;1
For Your Promotions B.V.;;;1;;;;;1
Fornari;;;;;1;;;1
Fox-IT;;;;;2;;;2
Franke Interim Management B.V.;;;;;1;;;1
Frankwatching B.V.;;;;;1;;;1
Freyr Ventures B.V.;;;1;;;;;1
Frits Philips Jr. & Partners B.V.;;;;;1;;;1
Front>on Bestuur-/managementbegeleiding B.V.;;1;;;1;;;1
Fruitful Office Nederland B.V.;;;1;;;;;1
Fysergo B.V.;2;;;;;;;2
G. Bakker en Zn. B.V.;;;1;;;;;1
GAAF - positieve energie;;;;;1;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;;;1;;;;;1
Gassner Biologisch Risico Advies;;1;;;;;;1
Gauchos Franchise Eindhoven B.V.;;;1;;;;;1
Gauchos Franchise Utrecht B.V.;1;;;;;;;1
Gebr. Barendsen B.V.;;;2;;;;;2
Geesje Tomassen;;;;;1;;;1
gefeliciTAART B.V.;;;1;;;;;1
Genootschap Onze Taal;;;;;1;;;1
Geschenkbezorgen.nl B.V.;;;1;;;;;1
Geschikt Groen Geschikt;;;1;;;;;1
Gewoon aan de slag;;1;;;1;;;1
GGzE;;;;;1;;;1
Giant Publicity B.V.;;;1;;;;;1
GiftFor2 B.V.;;;1;;;;;1
Gilde Utrecht;1;;;;;;;1
GITP B.V.;;;;1;;;;1
GITP Training & Opleiding B.V.;;;;;1;;;1
Global Knowledge;;;;;1;;;1
Global Knowledge Network Netherlands B.V.;;;;;2;;;2
Go B.V.;;;;;2;;;2
Golfbaan Bentwoud B.V.;;;;;;1;;1
Gouda Original;1;;;;;;;1
Gouden Pakket B.V.;;;1;;;;;1
GrachtenAtelier;;;1;;;;;1
grand café Lebowski;;;1;;;;;1
Grand Café-Diner D'n Ingel;;;1;;;;;1
Grandcafe Haagsche Bluf;;;1;;;;;1
Grandcafé Jules B.V.;;;1;;;1;;1
Grazie Grazie B.V.;1;;1;;;;;1
Grinwis Zonneveld;;;;;1;;1;1
Groeneveld Horeca B.V.;;;1;;;;;1
Guus Schrijvers Publ. Health- en Zorgonderz.;;;;;1;;;1
H.B. Banket B.V.;;;1;;;;;1
Hampshire Exploitatie I B.V.;;;;;;;1;1
Hanneman de Toerist B.V.;;;;;;;1;1
Hans de Bruijn Training & Advies;;;;;1;;;1
Hanstede Consultancy;;;;;1;;;1
Happy Copy B.V.;;;1;;;1;;1
Happyhappyjoyjoy East;;;1;;;;;1
Hart & Ziel;;;;;1;;;1
Hart van Utrecht;1;;;;;;;1
HeadFirst B.V.;;2;;;;;;2
Health2Work B.V.;;1;;;;;;1
Healthy Life LAB;;;;;;1;;1
Heel Puur;;2;;;;;;2
Heilig Vuur;;;;;1;;;1
Hein Post Wijnen Gastronomie;;;1;;;;;1
Helder Werk B.V.;;2;;;;;;2
Hemelse Modder;;;1;;;;;1
Hesbak 2 B.V.;;;1;;;;;1
Het Eerste Huis;;;;;1;;;1
Het Gegeven Paard B.V.;;;1;;;;;1
Het Groei Atelier;;;;;1;;;1
Het Heden;;;1;;;1;;1
Het Kookplein;;;2;;;1;1;2
Het Nederlands Openluchtmuseum;;;1;;;;;1
Het Notuleercentrum B.V.;;1;;;;;;1
Het Pleidooi;;;1;;;;;1
Het Stalplein B.V.;;;1;;;;;1
Het Wil Konsult;;;;;2;;;2
Het Zuiden F.G.;;;1;;;;;1
Hewlett-Packard Nederland B.V.;;;;;1;;;1
HGRV Adviseurs Managers B.V.;;;;;1;;;1
Hiemstra & De Vries B.V.;;;;;2;;;2
High Five Health Promotion B.V.;;3;;;1;1;;3
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;1;;;1
Hoffmann Bedrijfsrecherche B.V.;;1;;;;;;1
Hofstad Events B.V.;;;1;;;;;1
Hogeschool Windesheim;;1;;;;;;1
Hogeschool Zeeland/Hogeschool Zeeland (WEB);;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;;;;;1
Holland Art Group B.V.;;;1;;;;;1
Holland Fit B.V.;;2;;;;;;2
Hollandse Hoogte B.V.;;;;;1;;;1
Hoogland & Co B.V.;;;;;1;;;1
Hop & Stork Holding B.V.;;;1;;;;;1
Hotel Contact B.V.;4;;2;;2;;2;4
Hotel de Doelen;;;;;;;1;1
Hotel De Ville B.V.;;;;;;;1;1
Hotel Heerlickheijd van Ermelo B.V.;;;;;1;;;1
Hotel New York B.V.;;;1;;;;;1
Hotel-Café-Restaurant De Biltsche Hoek;;;1;;;;1;1
Houthoff Training & Coaching;;;;;1;;;1
HSG Nederland B.V.;;;1;;;;;1
HSK Interventie B.V.;1;1;;;;;;1
Huize Molenaar B.V.;1;;1;;;;;1
Humor werkt producties;;;1;;;;;1
Humphrey's Den Haag B.V.;;;1;;;;;1
Humphrey's Utrecht B.V.;;;1;;;;;1
Hyphen Projects B.V.;;;;;1;;;1
I Love Workshopevents B.V.;;;1;;;;;1
ICM Administratie B.V.;;;;;1;;;1
ICM Holding B.V.;;;;;2;;;2
ICM Opleidingen & Trainingen B.V.;;;;;1;;;1
IdeeVersa B.V.;;;;;2;;;2
Idelft B.V.;;2;;;;;;2
ideon B.V.;;;;;1;;;1
Impulsus Personal Quality & Results;;;;;2;;;2
Impulsus, Support & Facilities B.V.;;;;;1;;;1
In de vrije natuur;;;1;;;;;1
In Pace B.V.;;;1;;;;;1
In2Content B.V.;;;;;2;;;2
Ind-e.co;;1;;;;;;1
Indisch Restaurant Garoeda;;;1;;;;;1
Indooruitstroom B.V.;;;;;1;;;1
Ineke Swart;;1;;;;;;1
Infradata Group B.V.;;;;;1;;;1
ING Bank;;;1;;1;;;1
Inge Hondebrink fotograaf;;;1;;;;;1
Ingeborg Bosch PRI B.V.;;;;;1;;;1
Innerspective B.V.;;;;;1;;;1
Innovation/Change/Participation;;1;;;2;;;2
Innovero Software Solutions B.V.;;;;;1;;;1
Inpaqt B.V.;;1;;;;;;1
Insector UA;;;;;1;;;1
InsightsWorld B.V.;;;;;2;;;2
Inspiration Company Nederland B.V.;;1;;;1;;;2
Inspiration Point B.V.;;;;;;1;;1
Instituut voor Samenwerkingsvraagstukken B.V.;;;;;1;;;1
Instituut voor Wijsbegeerte B.V.;;;1;;1;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;;2;;;2
Intercult. Business Improvement Holding B.V.;;;;;1;;;1
Interim Direct Incasso & Debiteurenbeheer;;;;;;;1;1
Intersafe Groeneveld B.V.;1;2;1;;;;;2
Intertraining B.V.;;;;;1;;;1
IPD;;;;;1;;;1
Ipse de Bruggen Maatwerk;1;;1;;;;;1
Irene Schoemakers;;1;;;;;;1
Issues Management Institute;;1;;;;;;1
Istana Indonesisch Restaurant;;;1;;;1;;1
IT Management Group;;;;;1;;;1
ITIP School voor Leven en Werk B.V.;;;;;1;;;1
IVN Vereniging voor natuur- en milieueducatie;;1;;;;;;1
J. Goes;;;;;1;;;1
J. Kos & Zoon B.V.;;;1;;;;;1
J. Pronk;;;;;;;1;1
J. van der Meer;;1;;;;;;1
J.F.M. van Litsenburg;;;1;;;;;1
J.H. van Dijk Holding B.V.;;;1;;;;;1
Jaarbeurs B.V.;;;1;;;;;1
Jakajima;;;;;1;;;1
Ja-maar® B.V.;;;;;1;;;1
Jans Consultancy Gezondheid en Milieu;;;;;1;;;1
Japans restaurant Sumo Den Haag B.V.;;;1;;;;;1
Jemi Bloemsierkunst;;;1;;;;;1
JK Jolanda Keuren;;;;;1;;;1
Jo Bos & Co;;;;1;2;;;2
Johnny Wonder B.V.;;;;;1;;;1
Jonge Honden B.V.;;;;;2;;;2
Jongvws, Verenig. voor Jonge VWS-Medewerkers;;;1;;1;;1;2
JP WerkRevisie;;;;1;;;;1
Jungheinrich Nederland B.V.;;;;;1;;;1
Just Ask! B.V.;;;1;;;;;1
K + V Management Search B.V.;;;;;1;;;1
K.T.P. Design B.V.;;1;;;;;;1
Kader Bureau voor Kwaliteitszorg B.V.;;;;;2;;;2
Kairos Trainingen;;1;;;1;;;1
Kamp Coaching - Training & Advies;;;;;1;;;1
Kapster Jolanda;1;;;;;;;1
Kapteyn Bloemen;1;;;;;;;1
Kasteel Oud-Poelgeest B.V.;;;;;1;;1;1
Kasteel Terworm Hotel & Restaurant;;;;;;1;1;1
Keiren Coach. Training en Conflictbemiddeling;;;;;2;;;2
Keizer Culinair;;;1;;;;;1
Kelly Services (Nederland) B.V.;1;;;;;;;1
Kerckebosch Holding B.V.;;;;;1;;;1
Kessels & Smit, the Learning Company B.V.;;;;;3;;;3
Keurslagerij Van Schie;;;1;;;;;1
Kirkman Company B.V.;;;;;1;;;1
Kitchen & Bar Van Rijn B.V.;1;;;;;;;1
Klachtenmanagement Zorg;;;;;1;;;1
KLM;;;;;;;4;4
Kluwer;;;;2;2;;;2
KNMP Holding B.V.;;;;;1;;;1
Koetshuis De Burcht B.V.;;;1;;;;;1
Kon. Ned. Mij. tot Bevord. der Geneeskunst;;;;;1;;;1
Koninklijk Nederlands Waternetwerk;;;;;1;;;1
Koninklijke Visio, Land. Stg. Slechtz./Blind.;;1;;;;;;1
Korte Poten 1-3 B.V.;;;1;;;;;1
KPMG Advisory N.V.;;4;;;;;;4
KPMG N.V.;;1;;;;;;1
KPN Contact lokatie Eindhoven;;;1;;;;;1
Kramer One Health Consultancy;;1;;;;;;1
KSG B.V.;;;;;3;;;3
KUBUS Zwolle;;1;;;;;;1
Kwaliteitsslagerij VAN Loo;;;1;;;;;1
Kwibus Funbus B.V.;;;;;;;1;1
Kwink Groep B.V.;;2;;;;;;2
L. Borst 'Adviezen en Trainingen';;1;;;;;;1
La Cantina di David B.V.;;;1;;;;;1
La Tonnellerie The Novice;;;1;;;;;1
La Vina B.V.;;;1;;;;;1
Lab QAcademy;;;;;2;;;2
Lagerweij & Partner Consultants B.V.;;;;1;1;;;1
LaKay Catering;;;1;;;;;1
LaLotta Utrecht B.V.;;;1;;;;;1
Lamarea;;;;;1;;;1
Lancae loopbaanoriëntatie & counseling B.V.;;;;;1;;;1
Landal Rabbit Hill;;;;;;1;1;1
Landgoed de Horst;;;;;1;;1;1
