OBJECTID,PUIC,OBEGINTIJD,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,OFFSET_VLAKPUNT,OFFSET_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,DOCUMENT,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,OP_TALUD,Shape__Area,Shape__Length
13,97477f2fa63d431ca44a11570c72c293,2020/10/06 00:00:00+00,2020/10/06 12:39:48+00,L0004,Prorail,bestaand,0,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,9.496153,"9,496153",9.456774,"9,456774",Zuid,Z,Maastricht,26,BAAN,Limburg,BAAN,Zuid,Z,ProRail,180643.227895,325957.222,50.9227845,5.75188575,9.45361,,283,gerealiseerd,Ja,9.4536105,14.1044050280852
14,9bc3e9000c9d4febbeef40ab96c639f9,2020/09/30 00:00:00+00,2020/09/30 13:07:06+00,L0004,Prorail,bestaand,0,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,2.904474,"2,904474",14.768019,"14,768019",Zuid,Z,Maastricht,26,BAAN,Limburg,BAAN,Zuid,Z,ProRail,178271.780512,320194.061,50.87108278,5.71779019,3.163989,,283,gerealiseerd,Nee,3.163989,7.32055443470879
15,43723d8d8d70478c9f2a5044d1cf7d2e,2021/02/01 00:00:00+00,2021/02/04 09:22:12+00,L0004,Prorail,bestaand,0,531,d,531,531_d,Utrecht Centraal,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,1.629624,"1,629624",27.345193,"27,345193",Randstad Noord,RN,Utrecht,13,BAAN,Neerlands Midden,BAAN,Randstad Noord,RN,ProRail,134642.1525,456618.21061,52.09743891,5.09010631,6.766395,,283,gerealiseerd,Ja,6.7663945,11.8308106962002
16,64af5ddc655e48ab946941db9e37f8e7,2021/07/28 00:00:00+00,2021/07/28 09:58:20+00,L0004,Prorail,bestaand,0,534,b,534,534_b,Leiden Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,44.55621,"44,556210",-17.744756,"-17,744756",Randstad Zuid,RZ,Leiden,1,BAAN,Rijn en Gouwe,BAAN,Randstad Zuid,RZ,ProRail,93742.918938,465437.55,52.17368383,4.49169223,4.688253,,283,gerealiseerd,Ja,4.688253,11.3734372818369
17,7d8bd726e570410592250219418502d9,2021/07/01 00:00:00+00,2022/06/01 14:39:34+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.101489,"56,101489",17.620131,"17,620131",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159324.678495,385246.7905,51.4562824,5.44942359,0.72796,,283,gerealiseerd,Ja,0.72796,4.2796222244838
18,7fd126cec2d148bca61de0b94f4ed2bc,2021/07/01 00:00:00+00,2021/07/05 12:56:30+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.519542,"56,519542",-15.783762,"-15,783762",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159565.473776,384903.237,51.45319241,5.45288364,4.765973,,283,gerealiseerd,Ja,4.765973,10.345618720024
19,3177fce80f0943709598d80b8c49b7a9,2021/02/08 00:00:00+00,2021/02/08 12:32:41+00,L0004,Prorail,bestaand,0,531,c,531,531_c,Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,37.12691,"37,126910",-50.133474,"-50,133474",Randstad Noord,RN,Utrecht,13,BAAN,Neerlands Midden,BAAN,Randstad Noord,RN,ProRail,137295.4425,454215.892178,52.07593817,5.12895196,7.286136,,283,gerealiseerd,Ja,7.286136,11.0234709458138
20,a51057a51db0455193b71a4d6432319d,2021/02/03 00:00:00+00,2021/02/08 12:32:41+00,L0004,Prorail,bestaand,0,531,c,531,531_c,Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,36.758108,"36,758108",-56.966143,"-56,966143",Randstad Noord,RN,Utrecht,13,BAAN,Neerlands Midden,BAAN,Randstad Noord,RN,ProRail,136971.9585,454392.330386,52.07751356,5.12422412,18.899934,,283,gerealiseerd,Ja,18.8999345,22.9928088479673
21,e934322f8dea4abf97216e4131be3d4a,2021/02/03 00:00:00+00,2021/02/08 12:32:41+00,L0004,Prorail,bestaand,0,531,c,531,531_c,Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,36.922043,"36,922043",-50.740452,"-50,740452",Randstad Noord,RN,Utrecht,13,BAAN,Neerlands Midden,BAAN,Randstad Noord,RN,ProRail,137117.3355,454317.027662,52.07684146,5.12634869,16.752796,,283,gerealiseerd,Ja,16.752796,18.5760097933764
22,7c2abe8e8165477cb81719280d6e4c3e,2020/10/28 00:00:00+00,2020/11/02 05:50:50+00,L0004,Prorail,bestaand,0,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,20.385729,"20,385729",9.878811,"9,878811",Zuid,Z,Maastricht,26,BAAN,Limburg,BAAN,Zuid,Z,ProRail,187260.071673,333641.2445,50.99151794,5.84667167,7.530667,,283,gerealiseerd,Ja,7.530667,14.1845440572188
23,0d2fa557d5834a8d9e9c7c267b6544ac,2020/10/05 00:00:00+00,2020/10/06 12:39:48+00,L0004,Prorail,bestaand,0,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,9.165535,"9,165535",12.682128,"12,682128",Zuid,Z,Maastricht,26,BAAN,Limburg,BAAN,Zuid,Z,ProRail,180572.52313,325640,50.91993627,5.75085781,16.367757,,283,gerealiseerd,Ja,16.367757,24.8241687851193
24,ac1dff28a38526f9e0530b29a8c095d2,2020/08/10 00:00:00+00,2021/06/07 12:40:57+00,L0004,Prorail,bestaand,0,024,,24,024__,Deventer - Wierden,Dv-Aml,Deventer - Almelo ,23.835909,"23,835909",6.985182,"6,985182",Noord-Oost,NO,IJsselstreek,31,BAAN,Veluwe,BAAN,Noord-Oost,NO,ProRail,230195.8,479942.417186,52.302306,6.48967499,2.934839,,283,gerealiseerd,,2.934839,7.00915099052104
25,9f703e27803e437e85afb85e84410f9f,2021/02/03 00:00:00+00,2021/02/08 12:32:41+00,L0004,Prorail,bestaand,0,531,c,531,531_c,Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,36.819738,"36,819738",-54.196195,"-54,196195",Randstad Noord,RN,Utrecht,13,BAAN,Neerlands Midden,BAAN,Randstad Noord,RN,ProRail,137027.038,454364.17244,52.07726227,5.12502905,16.329619,,283,gerealiseerd,Ja,16.3296185,20.328984858751
26,76aeb4753a214b8ca7e14928b71a3315,2021/12/14 00:00:00+00,2021/12/15 12:52:59+00,L0004,Prorail,bestaand,0,666,b,666,666_b,Meteren Aansl.,Brgnd-Brech,Betuweroute Giessendam - Betuweroute Echteld ,47.024577,"47,024577",-26.689329,"-26,689329",Randstad Zuid,RZ,A15trace,71,BAAN,Zee-Zevenaar,BAAN,Randstad Zuid,RZ,ProRail,146892.42,430080.947729,51.85923263,5.26950938,12.513116,,283,gerealiseerd,,12.513116,16.7329434082705
