Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;1-Personele exploitatie
Buchrnhornen;1;;;;;1
Buddhas Restaurant;;1;;;;1
Buitengoed Hagenhorst;;1;;1;;1
Bureau in Schakelen;;1;;;;1
Bureau Schijf, Partner in Leiderschap;;;;2;;2
Bureau van Bodegom;;;;1;;1
Burghof Workshops VOF;;1;;;;1
Buschman consultancy;;;;1;;1
Campus Orleon;;;;1;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;1;1;;2;;2
CAO-Recht, Advies en Opleiding;;;;2;;2
Capgemini;;;;2;;2
Capo Cucina;;1;;;;1
Carlton Hotel;;1;;;;1
Casa Caroni den Haag Restaurant;;1;;;;1
Centrum Quadraat;;1;;1;;1
Cerva;;;;;1;1
Charelli Café-Restaurant;;1;;;;1
Choco Loca;;1;;;;1
Chorda Safety Solutions;;;;3;;3
Christian Restaurant;;1;;;;1
Circumference;;;;1;;1
Civas;;;;1;;1
Cloos Eetcafé;;1;;;;1
Clou Marketing, Informatie en Research;;;;1;;1
Comfoor;1;;;;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;1;;;;1
Compu'Train;;;;2;;2
Comtext;;;;1;;1
Conclusion;;;;4;;4
Connexxion;;;;;1;1
Coosto;;;;1;;1
Corner Stone Marketing & Sales;;;;1;;1
Croissanterie 93;;1;;;;1
Croissanterie De Snor;;1;;;;1
Crone.Biz;;;;1;;1
Crystal River Consultancy;;;;1;;1
Crystal Specials;;1;;;;1
Cuisinerie Mensinge;;1;;;;1
Cysouw Optiek;1;;;;;1
D&C Engineering;;;;1;;1
D&F Consulting;;;;2;;2
D. van Erkelens Optometrist;1;;;;;1
Dames & Heren Culinair Cafe;;1;;;;1
Dante;;1;;;;1
Dapoer Sunda;;1;;;;1
DataExpert;;;;2;;2
De Agnietenberg Horeca;;1;;;;1
De Argumentenfabriek;;;;1;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;;3;;3
De Bakkerswinkel (incl. Geelhoed Eetwinkel);;1;;;;1
De Basiliek Restaurant;;1;;;1;1
De Bonte Hond;;1;;;;1
De Compagnie;;1;;;;1
De Droomfabriek;;1;;;;1
De Eeuwige Jachtvelden Café-Restaurant;;1;;;;1
De Feestverhuurder.NL;;1;;;;1
De Galan Groep (incl. Opleidingen);;;;1;;1
De Goedheyd Restaurant;;1;;;;1
De Gouden Karper Hotel-Café-Restaurant;;1;;;;1
De Hertog-Jan Proeverij Cafe;;1;;;;1
De Hofstad Taxicentrale;;;;;1;1
De JuF;;;;1;;1
De Knegt & Leeflang;;4;;;;4
De Kookfabriek;;1;;;;1
De Landbouw Café-Restaurant-Brasserie (incl. Rat Pack);;;;1;;1
De Massagestoel;2;;;;;2
De Ontmoeting Stadscafe;;1;;;;1
De Ooievaart - Ga Den Haag;;1;;;;1
De Ouwe Compagnie;;1;;;;1
De Palatijn Zorghotel Alkmaar;;1;;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;1;;;;1
De Prom Utrecht (incl. Vredenburg);;1;;;;1
De Raadskelder Restaurant;;1;;;;1
De Reiger Catering (incl. Nikita, Vechthuis);;1;;;;1
De Rotterdam;;1;;;;1
De Schoof Cafe;;1;;;;1
De Smaak & Zo;;1;;;;1
De Sniep Restaurant & Hotel;;1;;;;1
De Stroopwafelwinkel;;;;1;;1
De Tuinkamer;;1;;;;1
De Tuyn Restaurant (J.A.W. Groeneveld);;1;;;;1
De Verleiding Grand Café-Brasserie;;1;;;;1
De Westerbouwing Café-Restaurant;;1;;;;1
De Witte Vosch;;;;1;;1
De Zakkendrager Restaurant;;1;;;;1
De Zandkamer;;;;1;;1
Deeg Restaurant;;1;;;;1
Dehora Consultancy Group;;;;1;;1
Delphi Grieks Restaurant;;1;;;;1
Delta Hotel;;1;;;;1
Den Haag Marketing & Events;1;3;;;;3
Denk Producties;;;;1;;1
DFG De Facilitators Groep;1;;;1;;1
Di Lella Productions;;1;;;;1
Dialogis Opleidingen en Management-Advies;;;;1;;1
Dierenpark Amersfoort;;1;;;;1
Digital Action;;;;1;;1
Dignitas Mediation Coaching & Conflict Management;;;;1;;1
Dikke van Dale Grand Cafe;;1;;;;1
Dilemma Consult;;;;2;;2
Disconsult (incl. Dior Opleidingen);;;;2;;2
Divosa Centraal Bureau;;;;1;;1
DJ2BE;;1;;;;1
Dochter van de Smid;;1;;;;1
Doen Strandclub;;1;;;;1
DoeNederland.nl;;1;;;;1
Dolfinarium Harderwijk;;1;;;;1
Dorpshuis Rilland;;1;;;;1
Drager Safety & Medical;1;;;;;1
Drakenburg Conferentiecentrum;;;;1;;1
Du Nord Rijwielen;;1;;;;1
Dudok (Horeca Exploitatie WWZ IV);;1;;;;1
Dulang Indonesische Lekkernijen Restaurant;;1;;;;1
Ecu '92 Economie Combinatie Utrecht;;;;1;;1
Edwin Snulders Catering;;1;;;;1
Efteling;;1;;;;1
EHM Hotels (incl. Apollo Hotels & Resorts);;;;;1;1
Elzenhagen - Motel Restaurant;;1;;;;1
EMC Advies;;;;3;;3
Engels Grandcafé/Restaurant/Zalen;;1;;;;1
Enterse Motor Club;;1;;;;1
E-Office (incl. Work21);;;;1;;1
Equipe Quality Products (incl. Health2Work);1;;;;;1
ESL Taalreizen BV;;;;1;;1
Eten bij Werelds;;1;;;;1
Eten en Zo;;1;;;;1
Etop Ergonomische Trainingen Opleid. en Projecten;;;;1;;1
Euroforum;;;;1;;1
Eurs;;;;1;;1
Event Label;;1;;;;1
Evers Research & Training;;;;1;;1
eX:plain (incl. EXTH Exameninstelling Toezicht en Handhaving);;;;1;;1
Exact Software, Online;;;;1;;1
Exin Exameninstituut;;;;1;;1
Eyewish Groeneveld;1;;;;;1
Falck Group;;;;1;;1
Falke & Verbaan;;;;1;;1
Fire Palace;;1;;;;1
First Care Opleidings- en Trainingsburo;2;;;;;2
Fletcher Hotel Restaurant;;1;;;;1
FNV Formaat;;;;1;1;1
Focus Advisering Training Coaching, Conferences;;;;1;;1
Fox-IT, Crypto;;;;1;;1
Franke Interim Management;;;;1;;1
Fuego Tapasbar;;1;;;;1
Galerie van Kranendonk;;;;1;;1
Gefelicitaart;;1;;;;1
Gelling Congressing Training;;;;1;;1
Gertenaar Communicatie;;;;1;;1
Gilde Den Haag;;1;;;;1
Go Opleidingen;;;;1;;1
Gort Tekstburo;;;;1;;1
Grachten Atelier;;1;;;;1
Grand Cafe Brasserie La Colline;;1;;;;1
Grand Canyon Organisatieburo;;1;;;;1
Green Wheels;;;;;1;1
Greenz;;1;;;;1
Greving & Greving Opticiens;1;;;;;1
Haaglanden Opleidingscentrum;;;;3;;3
Hal van Telecom;1;;;;;1
Hampshire Hotel;;;;1;1;1
Handelsonderneming Gowa;;1;;;;1
Hanzehogeschool Groningen (incl. Hanze Connect);;;;1;;1
Harput Turks Restaurant;;;;;1;1
Hartenstein@Laurie Restaurant;;1;;;;1
Havenbedrijf Rotterdam;;1;;;;1
Hco;;;;1;;1
Hedera coaching & training;;;;1;;1
Heigo Nederland;3;;;;;3
Hein Pijnenburg Saxofoonworkshop;;1;;;;1
Heliview;;;;1;;1
Hengelo Motel;;;;;1;1
Heroth (iComply);;;;2;;2
Hester Heringa;;;;1;;1
Het Eetcafe Ravensdonck;;1;;;;1
Het Klooster Leerhotel;;;;;1;1
Het Pleidooi/Lancee Café-Restaurant;;1;;;;1
Het Spinnewiel Hotel-Restaurant;;1;;;;1
High Five Health Promotion;;;;1;;1
HOEZO! Projectmanagement en Congresorganisatie;;;;1;;1
Hof der Muzen Grand Cafe (J. Kos);;1;;;;1
Hofje van Pauw;2;;;1;;2
HofstadEvents.nl;;1;;;;1
Hogeschool Leiden;;;;1;;1
Hogeschool van Utrecht;;;;2;;2
Holland Consulting Group;;;;1;;1
Holland Evenementen Groep;;1;;;;1
Holland Tour Guides;;1;;;;1
Horeca Exploitatie Maatschappij;;;;;1;1
Hotel New York Rotterdam;;1;;;;1
Hotel Wereld-Eethuis Bazar;;1;;;;1
HSK Groep;1;;;;;1
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;;;1;1;1
Hultzer Coaching;;;;1;;1
Humphrey's Restaurant;;1;;;;1
Ibex;;;;1;;1
Ibis Accor Hotels;;;;;1;1
ICM Holding;;;;1;;1
ID Ware International;1;;;;;1
IIA Instituut van Internal Auditors;;;;1;;1
Impulsus/CIEP Personal Quality&Results;;;;4;;4
In den Zevende Hemel Brasserie Restaurant;;1;;;;1
In- en Outdoor Centre De Uithof;;1;;;;1
Info Support;;;;2;;2
ING Bank;;;;;1;1
Insightsworld;1;;;3;;3
Inspiratiewenskaart.nl;;1;;;;1
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;;1;;1
Instituut Voor Arbeidsrecht;;;;1;;1
Intermedius;;;;1;;1
Intersafe Groeneveld;1;;;1;;2
Istana Indonesisch Restaurant;;1;;;;1
It Management Group;;;;1;;1
ITIP School Voor Leven en Werk;;;;1;;1
IVP Instituut Voor Psychotrauma;;;;2;;2
Jaarbeurs Utrecht;;1;;;;1
Jachtwerf Möllers;;1;;;;1
Ja-Maar;;;;1;;1
Jan Willem Blanke Keurslager;;1;;;;1
Jansen De Koning (Lekker & Co);;1;;;;1
Jills Caricatures;;1;;;;1
Joli;;1;;;;1
Jopen Horeca Exploitatie;;1;;;;1
JR Horeca Company;;1;;;;1
Kaagzicht Restaurant;;1;;;;1
Kaapz;;;;1;;1
Kameryck;;1;;;;1
Kasteel Limbricht Partycentrum;;1;;;;1
Katholieke Basisschool De Windroos;;;;;1;1
Keizer Culinair;;1;;;;1
Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie;;;;1;;1
KH Engineering;;;;1;;1
Kindermediar BV;;;;1;;1
Kirsten van den Hul Change Agent;;;;1;;1
KIT- IMC Koninklijk Instituut Voor De Tropen - Intercultural Professionals;;;;1;;1
Kite Extreme;;1;;;;1
Kodision;;;;1;;1
Koken Op Maat;;1;;;;1
Koninklijke Schouwburg;;1;;;;1
Koninklijke van den Boer Groep (incl. Oseven, happening and food);;1;;;;1
Koninklijke Visio;1;;;;;1
KPN (incl. Getronics, PTT Telecom);;;;1;;1
Kreta Grieks Restaurant;;1;;;;1
Kyoto b.v.;;;;;1;1
La Cubanita;;1;;;1;1
La Liguria Restaurant;;1;;;;1
La Residence;;;;;1;1
La Vina Restaurant;;1;;;;1
Lai Wing BV;;1;;;;1
Landlust Restaurant & Partycentrum;;1;;;;1
Language Partners (incl. Eurolinguist);;;;1;;1
Le Bateau Restaurant;;1;;;;1
Le Bistroquet;;1;;;;1
Le Connaisseur Grand Restaurant;;1;;;;1
Le Passage;;1;;;;1
Lectric Internetopleidingen;;;;1;;1
Leeuwendaal Advies;;;2;3;;4
Leidje Witte;;;;1;;1
Leo Hermans;;1;;;;1
Leuk Eten en Drinken;;1;;;;1
Lexlumen;;;;1;;1
Libereaux;;;;1;;1
Lifeguard Academy;;;;1;;1
Lily Schuimer;;;;1;;1
Little V Vietnamees Restaurant;;1;;;;1
Lloyd Hotel;;1;;;;1
Lloyd's Register (incl. Cedeo);;;;1;;1
Logeion Vereniging Voor Communicatie;;1;;1;;1
LOI Leidse Onderwijsinstelling;;;;1;;1
Lokaal 58;;;;2;;2
Lumenz Talentontwikkeling (incl. Om de hoek);;1;;;;1
Lunchroom Nieuw Engelhard;;1;;;1;1
Lyreco Nederland (vh Ahrend Office Products);1;1;;;;1
M. De Rooij Sound Service;;1;;;;1
M.C.D.P. Weggeman Adviespraktijk;;;;1;;1
Maatschap Psychologenpraktijk;1;;;;;1
Mabo-Lifting;;;;1;;1
Malchat;;1;;;;1
Malieveld Paviljoen den Haag;;1;;;;1
Management Drives Opleidingen;;;;1;;1
Management Events;;;;1;;1
Manege 't Hetjen BV;;1;;;;1
Manutan (vh Overtoom International);1;;;;;1
Marc Ausems Optiek;1;;;;;1
Marcus Evans Linguarama;;;;1;;1
Margreeth van der Kooij;;;;1;;1
Marion Suijker;;;;2;;2
Markt 26 Wijn & Meer;;1;;;;1
Master in Event Management;;;;1;;1
Mavim Holding;;;;2;;2
Maxime Restaurant;;1;;;;1
MediaCafé Amsterdam-Westergasfabriek;;1;;;;1
Meeting Plaza;;;;1;;1
Mercure Hotels;;;;1;1;1
Mingus Vogel;;;;1;;1
Mister Rotterdam/Den Haag;;1;;;;1
Mobility Mixx;;;;;7;7
Mochi Restaurant;;1;;;;1
Mommers Managentadvies & Coaching;;;;1;;1
More Balls Than Most;;;;1;;1
Movenience;;;;;1;1
Moving Films;;1;;;;1
MTB Centrum Schoorl;;1;;;;1
Multiply-IT;;;;1;;1
Museumkwartier;;1;;;;1
MYbusinessmedia (vh Media Business Press);;;;1;;1
Myrabelle;;1;;;;1
Nationaal Klok & Peel Museum Asten;;1;;;;1
NCOI Nederlands Commercieel Opleidingsinstituut (incl. NedFac, ISES, ISBW, Bestuursacademie Nederland);;;;2;;2
Nederlands Bakkerijmuseum;;1;;;;1
Neo-Mundo;;;;1;;1
Netwerk van Waarde (incl. Francis Zuiker);;;;2;;2
New Babylon Meeting Center;;;;1;1;1
New York Café-Restaurant;;1;;;;1
NH Hotels (incl. Nhow hotels);;2;;2;1;2
Nico Kookt;;1;;;;1
Nieuwspoort;;1;;;;1
NIOW Taaltrainingen, Vaardigheidstrainingen, Advies & Opleiding;;;;2;;2
Noordster - Boschwad;;1;;;;1
Nooteboom Tours;;1;;;;1
Novelties Business Gifts;;2;;;;2
NRC Handelsblad;;1;;;;1
NS - Spoorwegen Nederlandse;;1;;;5;5
NSCU;;;;1;;1
NSOB Nederlandse School Voor Openbaar Bestuur;;;;2;;2
NTI - Nederlands Talen Instituut;;;;1;;1
NVvA Nederlandse Vereniging voor Arbeidshygiene;;;;1;;1
Odrada Ontwerp & Organisatie;;1;;;;1
Odyssee Groep training, pensioen in zicht;;;;2;;2
Olivier Belgisch Bier Café;;1;;;;1
Onder de Watertoren;;1;;;;1
Oogadviseur Spannet & Co;1;;;;;1
Op Hodenpijl;;1;;;;1
Optelec Nederland;;;;1;;1
Optiek Groesbeek;1;;;;;1
Optiek Verkerk;1;;;;;1
Orchids;;1;;;1;1
Organisatieregie;;;;1;;1
Orion Vereniging voor WEER-EN STERREN;;1;;;;1
Oscar David Consultancy;;;;1;;1
OSR Opleidingen Sociaal Recht Juridische Opleidingen;;;;2;;2
Oudaen Stadskasteel;;1;;;;1
Outdoor Point (incl. Havelte);;1;;;;1
Paagman Kantoorbenogigdheden;;;;1;;1
Palantir Leren en Veranderen;;;;1;;1
Pan Café Restaurant;;1;;;1;1
Papendal Hotel en Congrescentrum;;;;;1;1
Paradijs Chinees Restaurant;;1;;;;1
Park2move;;;;1;;1
Partridge Adviseurs;;;;1;;1
Partycentrum Plok;;1;;;;1
Pato Partyservice;;1;;;;1
Paviljoen de Leyen;;1;;;;1
Pavlov Bar Restaurant;;1;;;1;1
PBLQ (HEC, ROI, Zenc);;;;3;;3
Pearle Opticiens;1;;;;;1
Peperwortel Traiteur & Catering;;1;;;;1
Pepperoni;;1;;;1;1
Petrus Hoeve;;1;;;;1
Phaos Organisatieontwikkeling;;;;3;;3
Phoenix Opleidingen;;;;1;;1
PhotoLogix;;1;;;;1
PHOV Post Hoger Onderwijs Veiligheidskunde;;;;2;;2
Pitch & Putt;;1;;;;1
Pizzeria Taormina;;1;;;;1
Plein 10A (Rozee, Millers Restaurant);;1;;;;1
Podium Mozaiek Theatercafe;;;;;1;1
Polichlo Safety & More;1;;;;;1
Pop-up Fun;;1;;;;1
POSG Professionals, P&O Services Professionals, P&O Mobiliteit;;;;1;;1
Praktijk integratieve bewegings leer;1;;;;;1
Prisma;;;;1;;1
Projektivity;;;;1;;1
Protinus It;2;;;;;2
Public Partners;;;;1;;1
Purple Monkey / Breinonderwijs;;;;2;;2
Puur Events;;1;;;;1
PW Consulting;;;;1;;1
Qidos;;;;1;;1
Quovadis Trustlink;;;;1;;1
Randstad Group (incl. Tempo Team, P/Flex);;;;1;;1
Ratio Design;;;;1;;1
RDM Makerspace;;1;;;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);;;;1;;1
Regardz (incl. Iassociate);;;;2;1;2
Regina Bloemsierkunst;;1;;;;1
Rentfactory;;;;;1;1
Resetmanagement;;;;1;;1
Restaurant Nieuw Peking;;1;;;;1
Restaurant Oud-Zuid BV;;1;;;;1
Restaurant Paviljoen ''De Meerkoet'';;1;;;;1
Rijkhoff Banketbakkerij;;1;;;;1
Rijwiel Centrale;;;;;1;1
ROC Midden Nederland;;;;2;;2
ROC Mondriaan;;1;;1;;1
Rootz Cafe Restaurant;;1;;;;1
Roparun;;1;;;;1
Ropeni (incl. Schlemmer);;1;;;;1
Rotterdam Jazz Trio;;1;;;;1
ROVC Technische Opleidingen;;;;1;;1
Royal Delft / De Porceleyne Fles;;1;;;;1
Royal Leerdam Crystal;;1;;;;1
Ruud Schoenmakers Tentenverhuur;;1;;;;1
Sab Catering;;1;;;;1
Safari;;1;;;;1
Safe Site;;;;1;;1
Safety Solutions Consultants;;;;1;;1
Salsaparilla;;;;1;;1
SAP Nederland;;;;1;;1
Sardes;;;;1;;1
Scheveningen Bowling Partycentre;;1;;;;1
Schiphol Groep (incl. Real Estate);;;;;1;1
Schoevers Opleidings- en Exameninstituut;;;;1;;1
Schoonenberg Hoorcomfort;1;;;;;1
Schouten Global (incl. Schouten & Nelissen Groep, Thema);;;;2;;2
Schrijfop.nl (incl. Coolmie);;;;1;;1
ScienceWorks;;;;1;;1
Scripta Media;;;;1;;1
SDU - Service Centrum Uitgevers;;;;1;;1
Secumar Benelux;1;;;;;1
See You At Noon;;1;;;;1
Sequenza Restaurant-Brasserie;;1;;;;1
Shabu Shabu;;1;;;;1
Sing Sing Restaurant (Zuid BV);;1;;;;1
Sjaak Pappe Innovation and Culture;;;;2;;2
Skick Evenementen Organisatie;;1;;;;1
SMC - Sport Marketing Consultancy;;1;;;;1
Snooker Zeekant;;1;;;;1
Snow World;;1;;1;;1
Soda Fine Bar-Restaurant;;1;;;;1
Sodexo;;5;;;;5
Soestdijk Diner Café;;1;;;;1
Solbeach Strandpaviljoen;;1;;;;1
Soma Bedrijfsopleidingen;;;;1;;1
Sonnevelt Opleidingen;;;;1;;1
Soomers Strandtent;;1;;;;1
SoSecure;;;;1;;1
Spaces Rode Olifant;;;;1;;1
Speechless;;;;1;;1
Spize Asian Bistro Restaurant;;1;;;;1
SPO Stichting Pensioen Opleidingen;;;;1;;1
Spring Scholen in de Praktijk;;;;1;;1
Srikandi Indonesische Restaurant;;;;;1;1
St Museum Ut Olde Ambacht;;1;;;;1
St 't Zwerk;;;;1;;1
St Verhalenhuis Belvédère;;1;;;;1
Stad Munster Hotel;;;;;1;1
Stadsarrangement.nl;;;;1;;1
Stadsherberg De Mol;;2;;;;2
Stationscafe Enkhuizen;;1;;;;1
Stavoor;;;;1;;1
Stg HBO Haaglanden & Rijnstreek Haagse Hogeschool;;;;1;;1
Stg. Hobeon Certificering;;;;1;;1
Stichting Behoud Maritieme Monumenten;;1;;;;1
Stichting de LE 50;;1;;;;1
Stichting Kontakt der Kontinenten Conferentiehotel;;;;;1;1
Stichting Kunstijsbaan Kennemerland;;1;;;;1
Stork Technical Services;;;;1;;1
Stots Optiek BV;1;;;;;1
Strandpaviljoen Zoomers Castricum;;1;;;;1
Struijk Training & Adviesbureau;;;;1;;1
STT-Produkties;;;;1;;1
Studystore Studieboekencentrale;;;;1;;1
SVC School Voor Coaching;;;;2;;2
't Brillehuus Optiek;1;;;;;1
't Brillenhuysteam;1;;;;;1
Taalcentrum-Vu;;;;1;;1
Taat & De Regt;;1;;;;1
Taj Mahal Hotel Restaurant;;1;;;;1
Taleninstituut Nederland;;;;1;;1
Taller Events;;;;1;;1
Tante Blanche Restaurant;;1;;;;1
Taveerne de Coligny;;1;;;;1
Taverne Meer & Bosch;;1;;;;1
TB Total Blue Events Evenementenbureau;;1;;;;1
Team Biesbosch;;1;;;;1
Teeling Optiek;1;;;;;1
Tezet Business Gifts;;1;;;;1
The Curious Network;;;;1;;1
The Institute of Protocol The Hague;;;;1;;1
Tinqwise;;;;2;;2
TNO;;;;1;;1
Topbloemen Nederland;;1;;;;1
Topdesk;;;;1;;1
Tower Leisure (Haagse Toren);;1;;;;1
TRConsult;;;;1;;1
Triamfloat;;;;1;;1
Tridata;;;;1;;1
Triple Dynamixs bv;;;;1;;1
Triple I Human Capital;;;;1;;1
Trivium Hotel en Spa;;;;;1;1
Tyrilo (incl. Oscars restaurant);;2;;1;;2
Uit koken / Diner Thuis;;1;;;;1
Up Learning (vh Stoas);;;;1;;1
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);;;;1;;1
Usine Eindhoven;;1;;;;1
Va Bien;;1;;;;1
Vakmedianet Management;;;;1;;1
Valerie Branoux Music Productions;;1;;;;1
Van der Hilst Communicatie-Trainingen;;;;1;;1
Van der Mijn & Van Dorp;;;;1;;1
Van der Valk Hotels;;1;;1;1;1
Van Harte & Lingsma;;;;2;;2
Van Heijster;;1;;;;1
Van Kleef Jenevers, Likeuren, Bitters;;1;;;1;1
Van Noppen Chocolade Atelier;;1;;;;1
Van Oosterhout Adviesgroep;;;;2;;2
Var Ver Voor Bestuursrecht;;;;1;;1
VCK Groep, Travel & Logistics;;;;;4;4
Verdraaide Organisatie (Wouter Hart);;;;1;;1
Vereniging VNO-NCW;;;;;1;1
Vereniging Voor Bestuurskunde;;;;1;;1
Verheug (De Beleving);;1;;;;1
Verhoeven Vibes;;1;;;;1
Verkeersveiligheid Groep Nederland (incl. SEC Safety Experience Center);;1;;1;;1
Vermaat Leisure, Horeca, Service;;1;;;;1
Vide Beroepsvereniging;;;;1;;1
Video Schaay Avs Techn Handelsond;;1;;;;1
Villa Sonsbeek (vh Dokal);;1;;;;1
VNSG Vereniging Nederlandstalige SAP Gebruikers;;;;1;;1
VOF `t Syndicaat;;1;;;;1
Vogin;;;;1;;1
Vorm Consult;;;;1;;1
Waterkant Roeibotenverhuur - Theeschenkerij;;1;;;;1
Werkwijzen;;;;1;;1
White Queen;;;;1;;1
WIJ Strandclub;;1;;;;1
Wijnboetiek Het Gouden Glas;;1;;;;1
Wijtz BV;;;;1;;1
Wilhelmientje;;1;;;;1
Wim Betzel Oog & Oor;1;;;;;1
Winkel van Sinkel Cultureel;;1;;;;1
Wolters Kluwer (incl. Kluwer);;;;1;;1
Womenworks;1;;;;;1
Woudschoten Conferentiecentrum;;;;1;1;1
Xebia;;;;1;;1
Yesgifts;;1;;;;1
Ynnovate Strategic Innovation Consultants;;;;1;;1
Yoga Utrecht;;;;1;;1
Yokogawa Europe;;;;1;;1
You Name It!;;1;;;;1
Zaanstad Hotel;;;;;1;1
Zebedeus Café-Restaurant;;1;;;;1
Zeezicht Helmond BV;;1;;;;1
Zilte Zoen;;1;;;;1
Zuidema Bureau;;;;2;;2
Zwarte Zwaan Events;;1;;;;1
Eindtotaal;5;6;2;7;7;8
