Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
Den Haag Marketing & Events;;;;1;;;;;;1
Den Helder In- en Verkoopcooperatie;;;;;;;;1;;1
DHL;;;;1;;;;;;1
Dijkgraaf Rijsdorp;;;;;;;;1;;1
Dijkstra Vereenigde;;;;;;;3;;;3
Discountoffice.nl;;;;;;;;1;;1
Dolmans Facilitaire Diensten;;;6;;;;;;;6
Dols Kantoorefficiency en Projektinrichting;;;;;;;;1;;1
Dorset Id;;;;;;;;1;;1
Douwe Egberts;3;;;;;;;;;3
Drager Safety & Medical;;1;;;;;;1;;1
Drentea Kantoormeubelen;;;;;;;4;;;4
Drukkerij De Lange;;;;;1;;;;;1
DS Smith Packaging;;;;;;;;1;;1
Dutch Card Printing;;;;;1;;;;;1
Dutch Special Solutions;;;;;;1;;;;1
Dutch Top Animal;;;;;;;;1;;1
Easy2.Company B.V.;;;;;;;;1;;1
Ebetech Elektro- Beveiligingstechniek;;1;;;;;;;;1
Ecosmart;;;1;;;6;;;;6
Eden Springs;1;;;;;;;;;1
Eemshaven Properties;;;1;;;;;;;1
Eetcafe Het Leven;1;;;;;;;;;1
Eetcafe Schuitendiep;1;;;;;;;;;1
Ehabo Preventie;;1;;;;;;;;1
EMS Event Medical Service;;1;;;;;;;;1
Engels Logistiek;;;;;;;;1;;1
Enjoybuilding;;;;;;;;2;;2
Entomologie-Speciaalzaak Vermandel;;;;;;;;1;;1
ErgoBrain (incl. Ergodirect);;;;;;;;1;;1
Erha Trading;;;;;;;;1;;1
Ese International;;;1;;;;;;;1
Eurosafe Solutions;;1;;;;;;;;1
Fa. P.H. Walinga Scheepsbenodigheden;;;;;;;;1;;1
Face To Face Bureau;;;;;;;;1;;1
Facilicom Facility Solutions;1;;;;;;;;;1
Facility Concepts B.V.;;;1;;;;;;;1
Falck Group;;2;;;;;;;;2
Fedex - Federal Express;;;;1;;;;;;1
Feyen;1;;;;;;;;;1
Fidato Presentatie Specialisten;;;;;;;;2;;2
First Class Fresh Express;1;;;;;;;;;1
First Light;;;;;;;;1;;1
First Service Business Events;2;2;;;;;;;;3
Fixet (incl. Grottendieck);;;;;;;;1;;1
Flanderijn en van Eck Gerechtsdeurwaarders;;;;1;;;;;;1
Frama Nederland;;;;1;;;;1;;1
Fusernet;;;2;;;;;;;2
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;4;;;;;;;;4
Gelecon;;;;;;;;1;;1
Gifts At Work;;;;;1;;;1;;1
Gispen International;;;;;;;3;;;3
Glazenwasserij- en Schoonmaakbedrijf Horst;;;1;;;;;;;1
GOM Schoonhouden;;;7;;;;;;;7
Gonçalves Drukwerk Adviseur;;;;;1;;;;;1
Goodstore Netherland;;;;;;;1;;;1
GPN Geo Professionals Nederland;;;;;;;;2;;2
Grafisch Service Centrum van Gils;;;;;1;;;;;1
Grenkefinance;;;;;;;;1;;1
Groenrijk;;;;;;;;1;;1
Groningen Grand Cafe;1;;;;;;;;;1
Groveko-Ede;;;1;;;;;;;1
Gullimex;;;;;;;;1;;1
H.A. de Kort's Trading;;;;1;;;;1;;1
H.J. van Oort Transport Eck en Wiel;;;1;;;;;;;1
Hakado Automatencatering;1;;;;;;;;;1
Handelsonderneming Vink;;;;;;;;1;;1
Hanze koeriers;;;;1;;;;;;1
HAO HAO;1;;;;;;;;;1
Hartman Schilders;;;;;;;2;;;2
Have Digitap;;;;;;;;1;;1
Hectas Bedrijfsdiensten;1;;2;;;;;;;2
Heden Kunst van Nu;;;;;;;1;;;1
Hedera;;;;;;;;1;;1
Heering Office;;;;;;;;1;;1
Heigo Nederland;;;;;;;;4;;4
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);;1;;;;;;1;;1
Helicon Conservation Support;;;;;;;1;;;1
Herman Koetsier;;;;1;;;;;;1
Het Nieuwe Instituut (vh Niadec);;;;;;;1;;;1
Het Notuleercentrum Opleidingen;;;;;1;;;;;1
Het Oranje Kruis;;;1;;;;;;;1
Het Stempel No. 539;;;;;1;;;;;1
Hilde Junier Interiordesign;;;;;;;1;;;1
Hoffmann Strategisch Risk Management;;2;;;;;;;;2
Hokra Below the Line;;;;;1;;;;;1
Holland Consulting Group;;;;;;;;1;;1
Hollandse Hoogte;;;;;;;1;;;1
Horeca Adviescentrum HTC;2;;;;;;;;;2
Horequip;;;;;;;2;;;2
Horticoop;;;;;;;;1;;1
Hotel Corps De Garde;1;;;;;;;;;1
Houweling Veiligheid;;;;;;;;1;;1
Hulskamp Audiovisueel;;;;;;;1;1;;1
Hunfeld Machinefabriek;;;;;;;;1;;1
Ice Concepts;;;;;;;1;;;1
ID Ware International;;;;;1;;;;;1
Iedema Projectstoffering Wateringen (incl. Martin Kok Projectinrichting);;;;;;;5;1;;5
IHC Interior;;;;;;;2;;;2
IIA Instituut van Internal Auditors;;;;;;;;1;;1
Imares;;;;;;;;1;;1
Imtech (incl. Radio Holland, Bostec);;1;;;;;;;;1
Incassor;;;;1;;;;;;1
Incredible Crowds (Battle of Concepts);;;;1;;;;;;1
ING Bank;;;;;1;;;;;1
InnoPlant;;;;;2;;;;;2
Innotec Scorpion Industrie;;;;;;;;1;;1
Intersafe Groeneveld;;;;;;;1;1;;1
Interseco Consultancy, Security, Training Services;;2;;;;;;;;2
Intexso Adviesbureau, Facility Beheer;;;1;;;;;;;1
Intimus (vh Asterion, Pitney Bowes);;;;;;;;1;;1
Inven Technology Benelux;;;;;;;;1;;1
Iron Mountain Nederland;;;;;2;;;;;2
ISS Holding/Security;;1;;;;;;;;1
ITS Office Supplies B.V.;;;;;;;;1;;1
IVM Instituut voor Veiligheid & Milieu;;1;;;;;;;;1
Iwema;;;;;;;;1;;1
J. Grobben BV;;;;;;1;;;;1
J. Harwig Elktriciteitswerken;;1;;;;;;;;1
Jabo Bedrijfskleding;;;;;;;;1;;1
Janfre Uniformen;;;;;;;;1;;1
Jansen-Wijsmuller & Beuns;;;;;1;;;;;1
JBM Koeriers;;;;1;;;;;;1
Jeroen van der Meyde Fotogeniek;;;;;;;;1;;1
Job2Have;;;;1;;;;;;1
Jong Europe;;;;1;;;;;;1
Jos Boone;;;;;;;;1;;1
Jos Ten Berg Handelsmaatschappij;1;;;;;;;1;;1
Jungheinrich Nederland;;;;;;;;1;;1
Kampert en Helm (incl. K&H, Rotaform);;;;;5;;;;;5
Kantoor & Kopie ;;;;;;;;1;;1
Kantoorverzorging Verhallen en Jansen;;;;;;;2;1;;2
Karel van 't Wout Creatieve Inrichters (incl. Studio);;;;;;;;1;;1
Kato Group;;;;;;;;1;;1
KB Beveiliging;;1;;;;;;;;1
Kentie Afterprint;;;;;;;;1;;1
Keplar Agency B.V.;;;;;1;;;;;1
King Disposables Nederland;;;2;;;;;;;2
Klein Beernink;;;;;;;;1;;1
Klynos Nederland;;;1;;;;;;;1
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;;;;;;4;1;;4
Koninklijke De Swart;;;;;2;;;;;2
Koninklijke Fabr. Posthumus (PS Groep);;;;;;;;1;;1
Koninklijke van der Most;;;;;3;;;4;;4
Konst;1;;;;;;;;;1
Kop Beveiliging;;1;;;;;;;;1
Kroon;;;;;;;;1;;1
Kuijpers Installaties (incl. Maintenance, Beveilinging);;;;;;;1;;;1
La Cantina Di David;1;;;;;;;;;1
Langerak De Jong;1;;;;;;;;;1
Lasaulec;;;;;;;;1;;1
Lawrence Wellingham Group B.V.;;;;;;;;1;;1
Leaseplan Nederland;;;;;;;;;1;1
Leijdsman Elektro;;;;;;;1;;;1
Letsgrow.com;;;;;1;;;;;1
Libelle;;;1;;;;;;;1
LKV Kantoorinrichting;;;;;;;1;;;1
M.Z.S.;;;;;;;;1;;1
Mach.fabr. en Reparat.bedr. W. Bakker V.O.F.;;;;;;;1;;;1
Magna Carta;1;;;;;;;;;1
Magneet Grafische Communicatie;;;;;1;;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;;;;;;1;;1
Maison De La Foret;1;;;;;;;;;1
ManagementMedia (GrafiCom);;;;;;;;1;;1
Manhard;;;;;;;;1;;1
Manutan (vh Overtoom International);;;1;;;;1;2;;2
Maria'S Biologische Catering en Eetwinkel;1;;;;;;;;;1
Mauritz en Zonen, A.;;;;;;;;1;;1
MDS Vloer- en Meubelreiniging;;;2;;;;;;;2
Medi Totaal;;1;;;;;;1;;1
Medizon;;1;;;;;;;;1
MEIN B.V.;;;;;1;;;;;1
Meltzer Kristalhuis;1;;;;;;1;;;1
Mennega Broodjeshuis/Cateringservice;1;;;;;;;;;1
Metis IT;;;;;;;1;;;1
Metos Kitchen Intelligence;2;;;;;;;;;2
Minigrip;;;;;;;;2;;2
Misco Solutions (vh SCC Services);;;;;;;;1;;1
Mk2 Visuele Media;;;;;;;1;;;1
Moduli Print;;;;;2;;;1;;2
Mondial Movers;;;;;1;;;1;;1
Moonen Packaging;2;;;;;;;1;;2
Mostert's Schoonmaakbedrijf;;;1;;;;;;;1
Motocom;;;;;;;;2;;2
Mts Goertz-Grispen Opleidingen en Advies;;;;;;1;;;;1
Multi Post Nederland;;;;1;;;;1;;2
Multi Vlaai;1;;;;;;;;;1
Multicopy (incl. Andre Cossee);;;;;1;;;;;1
Mycom Nederland;;;;;;;;1;;1
N Aarnoudse;;;;;;;;1;;1
Natural Choice Corporation;1;;;;;;;;;1
Nauta Security Storage;;1;;;;;1;;;1
Nederlof Mode;;;;;;;;1;;1
Nenefa Nederlandse Neonfabriek;;;;;1;;;;;1
Neopost (incl. Neopost Finance);;;;1;;;;1;;1
NESMA Ned. Software metrieken Gebruikers ass.;;;;;;;;1;;1
Nestle Waters Direct (incl. Nutrition, Aqua System);1;;;;;;;;;1
Nevi/Neho;;;;;;;;1;;1
NGN Netwerk Gebruiksgroep Nederland;;;;;;;;1;;1
Nic Best Deal;;;;;;;;1;;1
Niscayah Stanley Security Nederland;;2;;;;;;;;2
Nistar;;;;;;;1;;;1
Nooter;;3;;;;;;;;3
Norrod Computers;;;;1;;;;;;1
NSD International Etipost;;;;;;;;1;;1
NVD Beveiligingen;;1;;;;;;;;1
OBT - Opmeer/De Bink/Tds - Boekdruk;;;;;1;;;;;1
Office Totaal Hoekschewaard (incl. Office Team, C En L Compleet Kantoor);;;;;;;;1;;1
Office Wageningen;;;;;;;;1;;1
OGH Oracle Gebruikersclub Holland;;;;;;;;1;;1
Onderzoek Nederland Publicaties;;;;;1;;;;;1
Optima Forma;;;;;1;;;;;1
Osage Communicatie en Ontwerp;;;;;1;;;;;1
Paardekooper Verpakkingen;;;;;;;;1;;1
Pactechno;;;;;;;1;1;;1
Paperlinx (v.h. Buhrmannubbens, incl. Living Office Paper Services);;;;;2;;;4;;4
Papyrus Groep;;;;;;;;1;;1
Parthen (incl. Meeting Essentials, Presentatie, R&S, Impact);;;;;;;;1;;1
Patisserie van Gent;1;;;;;;;;;1
PBM Disposables;;;;;;;;1;;1
Pelican Rouge (vh Autobar Holland, Cafe Bar);6;;;;;;;;;6
Perfect Direct Mail;;;;;3;;;;;3
Performis;;;;;1;;;;;1
Permanent Fire Protection Serv;;1;;;;;;;;1
Petra en Wilfred Haafs;1;;;;;;;;;1
Pharmacie & Welzijn B.V.;;;1;;;;;;;1
Plastiglas;;;;;;;1;;;1
Pol.nl Wegbebakening, Bewegwijzering, Politietechniek;;;;;;;;1;;1
Polomnis;;;;;;;;1;;1
Pondres Distributie;;;;;1;;;1;;2
Poppe Restaurant;1;;;;;;;;;1
PostNL (incl. TNT Post);;;;2;;;;;;2
PQR;;;;;;;;2;;2
Pressel Post;;;;;;;;1;;1
Procare;;;;;;;;1;;1
Profix;;;;;;;;1;;1
Promis Electro Optics;;;;;;;1;;;1
Protinus It;;1;;;;;2;1;;2
Public Creation;;;;;;;;1;;1
Punt Zes;;1;;;;;;;;1
PVO Interieur;;;;;;;1;2;;2
Quarto;;;;;;;;1;;1
Quercus Technical Services;;2;;;;;;;;2
Quinton Brandveiligheid;;1;;;;;;;;1
Rabobank;;;;;;;;;1;1
Rae Benelux;;;;;;;;2;;2
Randstad Group (incl. Tempo Team, P/Flex);;1;;;;;;;;1
Rational Nederland Grootkeukentechniek;1;;;;;;;;;1
RBOC Fort Markenbinnen;;1;;;;;;;;1
RCG Reprografisch Centrum Groningen;;;;;1;;;;;1
Record Group;;;;;;;;1;;1
Redactielokaal Control Uitgeverij;;;;;1;;;;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);;;;;;;;1;;1
Reisswolf;;;1;;;1;;;;1
Rendac Son;;;;;;1;;;;1
Rendement;;;;;1;;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);1;;4;;;;;5;;5
Reprorecht;;;;;1;;;;;1
Ricoh Groep (incl. Nashuatec, NRG);;;;;;;;1;;1
Rietveld Serigrafie B.V.;;;;;;;;1;;1
Ristorante Capriccio;1;;;;;;;;;1
RJ Security;;1;;;;;;;;1
Robetex-Perfra Rotterdam;;;;;;;;1;;1
Rohde & Grahl (incl. Working Well);;;;;;;4;1;;4
Römer Drukkerij;;;;;2;;;1;;2
Ruys Efficiency in Zakenpost, Handelsvereniging;;;;1;;;1;1;;1
Sabel Communicatie;;;;;1;;;;;1
Saval;;2;;;;;;;;2
Schippers Bladel;;;;;;;;2;;2
Scholten Awater & Partners;;;;;;;;1;;1
Schoonmaakbedrijf De Vries Flevoland;;;1;;;;;;;1
Schoonmaakbedrijf en Glazenwasserij G. Raggers & Zn.;;;1;;;;;;;1
Schoonmaakbedrijf Jansma & Dik;;;1;;;;;;;1
Screenhouse Textieldrukkers;;;;;1;;;;;1
SDU - Service Centrum Uitgevers;;;;;2;;;1;;2
Secur Protects @ Work;;;;;;;;1;;1
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);;6;;2;;;;;;6
Selecta;;;;;;;;1;;1
Service Point Nederland;;;;1;;;;;;1
SGS;;;;2;;;;;;2
Siemens Nederland;;1;;;;;;;;1
Signtific Bedrijfskleding;;;;;;;;1;;1
Silliker;;;;;;1;;;;1
Sip Signproductions;;;;;;;1;;;1
Sita;;;;;;2;;;;2
Sitex Electronics;1;;;;;;;;;1
SMC Security Monitoring Centre;;1;;;;;;;;1
Smeets loopcomfort;;;;;;;;1;;1
Smidswater;;;;;1;;;;;1
SOD Vereniging voor Documentaire Informatievoorziening en Administratieve Organisatie;;;;;;;;1;;1
Spencer Medical;;1;;;;;;;;1
Spiering Beveiligingstechniek;;1;;;;;;;;1
Staples (incl. Advantage, Corporate Express);1;;;;;;;6;;6
STB Automatisering & Advies;;;;;1;;;;;1
Steegman Groep - Installatie- en Elektrotechniek;;1;;;;;;;;1
Stempelfabriek.nl/Stempelmakers.nl;;;;;;;;1;;1
Ster Airconditioning;;;;;;;;2;;2
Stichting Personeelsactiviteiten PAL;;2;;;;;;;;2
Stichting Solar Team Eindhoven;;;;1;;;;;;1
Studiodet Grafische Vormgeving;;;;;1;;;;;1
'T Feithhuis Restaurant;1;;;;;;;;;1
T.G.J. van Hattum Studiebegeleiding;;;;;;1;;;;1
Taartenwinkel.nl;1;;;;;;;;;1
TAC Trade And Converting;;;;;;;;1;;1
Tapwacht Service;1;;;;;;;;;1
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);;;;;;;1;2;;2
Team Relocations, Project Verhuizers;;;;;1;;;;;1
Technische Unie;;;;;;;1;1;;1
Tegenwind;;;;;1;;;;;1
Terlingen Druk;;;;;1;;;;;1
Testo;;;;;;;;2;;2
Tetterode Nederland;;;;;;;;1;;1
Theater Kunst Catering;1;;;;;;;;;1
TheNextShop Group;;;;;;;1;;;1
Thermo Fisher Scientific (incl. Fisher Emergo, Fermentas);;;;;;;;1;;1
Thesis Bouw;1;;;;;;;;;1
Top Label;;;;;;;;1;;1
Topa Verpakking;;;;;;;;1;;1
Total Identity, Total Public;;;;;1;;;;;1
Travel Card Nederland;;;;1;;;;;;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;7;;;;;;;;7
Trimension;;1;;;;;;;;1
Tuvalu Media;;;;;2;;;;;2
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;;;;1;4;;;;;4
Vaarshop Van Kalsbeek;;;;;;;;1;;1
Van Beek Art Supplies;;;;;;;;1;;1
Van den Brink Instrumenten;;;;;;;;1;;1
Van den Hoogen Security;;1;;;;;;;;1
Van der Plas Meubel & Projekt;;;;;;;4;;;4
Van Dingenen Transport;;;;1;;;;;;1
Van Dorp Installaties, Service Equipe, Prolux;1;;;;;;;;;1
Van Es Gerechtsdeurwaarders & Incasso;;;;;;;;;1;1
Van Gansewinkel;;;;;;3;;;;3
Van Hall Instituut;;;;;1;;;;;1
Van Hoogdalem-Roufs V.O.F.;1;;;;;;;;;1
Van Lanschot Chabot;;;;;;;1;;;1
Van Roij Fasteners Europe;;;;;;;;1;;1
Van Zwanenburg Handelmaatschappij, Projekten;1;;;;;;;;;1
Vandenberg Drukwerken;;;;;1;;;;;1
Veba Meditemp;;;;;;;;2;;2
Veenstra Wim Reproservice;;;;;2;;;;;2
Veip Disinfectants;;;;;;;;1;;1
Vendor;;;1;;;;;1;;1
Vermaat Leisure, Horeca, Service;5;;;;;;;;;5
Vermeij Verpakkingsmateriaal;;;;;;;;1;;1
Vhs-Pqs Nederland;;;;;;;;1;;1
Viking Life Saving Equipment;;;;;;;;2;;2
Virbac Nederland;;;;;;;;1;;1
Visibles Presentatiesystemen;;;;;1;;;;;1
Viteau Watercoolers (incl. Viteau Direct);1;;;;;;;;;1
Vitesse Textielreinigers;;;1;;;;;;;1
Vivon;;;1;;;;;;;1
Vlaggenindustrie Groningen;;;;;;;1;;;1
VnS Group (incl. Naammo Stempelfabriek en Stempeltempel);;;;;;;;1;;1
Voorberg Bouwkunde;;;;;;;1;;;1
Vormhelden;;;;;;;1;;;1
VPS Verspreidings Punt Schiermonnikoog;;;;1;;;;;;1
VVV Nederland;1;;;;;;;;;1
VWR International (incl. Omnilabo);;;1;;;;1;3;;3
W. Schuurman Elektrotechnische;;;;;;;;1;;1
W.A. Hienfeld;;1;;;;;;;;1
Warema (vh Delta Nederland);;;;;;;1;;;1
We Canteen;1;;;;;;;;;1
Werkman & Eigentijd;;;;;;;;1;;1
Westra Etc;;;1;;;;;;;1
Westvlietbewaking;;1;;;;;;;;1
Wewo Europe;;;;1;;;;;;1
Wezo Groep ;;;;1;;;;;;1
WMF;1;;;;;;;;;1
Wolters Kluwer (incl. Kluwer);;;;;1;;;;;1
Wolthoorn & Co;1;;;;;;;;;1
WPM Groep (incl. Kantoormanagement);;;;;;;1;;;1
www.Polsbandjesfabriek.nl;;;;;;;;1;;1
Xerox;;;;;2;;;;;2
X-pact Stichting Beheer Derdengelden;;1;;;;;;;;1
Zegwaard Rioolbeheer;;;;;;1;;;;1
Zenitel;;3;;;;;;;;3
Eindtotaal;7;7;7;4;7;6;7;7;1;9
