ID openbaar;Dienst;Afdeling;Hoofdproces;Naam verwerking;Beschrijving;Toelichting (optioneel);Verwerkingsverantwoordelijke;Doeleinde;Grondslag AVG;Uitleg grondslag;Categorieën  Betrokkenen;Categorieën persoonsgegevens;Persoonsgegevens;Gevoelige persoonsgegevens;Bijzondere en strafrechtelijke persoonsgegevens;Categorieën  ontvangers;Doorgifte naar derde landen;Bewaartermijn;Technische en organisatorische maatregelen
11;SZW;Intensieve begeleiding;Bureau nazorg;Re-integratie clienten trajectbegeleiding (alle doelgroepen ihkv Participatiewet) ;Het toeleiden van werkzoekenden naar werk conform de participatiewet.;;College van B&W;"Het vaststellen van de afstand tot de arbeidsmarkt van de cliënt (bepalen arbeidsvermogen)
en het reïntegreren van de cliënt naar (on)betaalde arbeid.";Publieke taak ;"Art. 17 en 53a Pw
Art. 54 Wet Suwi";Client Participatiewet, IOAW en echtgenoot;"Gewone persoonsgegevens: 
- Persoonlijke gegevens
- Arbeidsgegevens 
- Contactgegevens

Gevoelige persoonsgegevens: 
- BSN (Nationaal identificatienummer) 

Bijzondere persoonsgegevens: 
- Gezondheidsgegevens

";;;;"Diensten
Afdelingen
Teams";;10 jaar  Selectielijst  2017 8.1, Handreiking selectielijst 2017 6.5.1 ;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
12;SZW;Schuldhulpverlening;Schuldhulpverlening - Budgetadvies;Schuldhulpverlening en budgetadvies;Financiële hulpverlening en budgetadvies voor burgers met schuldproblematiek;;College van B&W;Financiële hulpverlening;Publieke taak;Artikel 8 Wet gemeentelijke schuldhulpverlening;Aanvragers schuldenproblematiek ;"Gewone persoonsgegevens: 
- Persoonlijke gegevens 
- Contactgegevens

Gevoelige persoonsgegevens: 
- Financiële gegevens
- BSN (Nationaal identificatienummer)
";;;;"BBR
Deurwaarders Incassobureau's Rechtbank
Raad voor de rechtsbijstand, inzage in rechtbankverslag
Maatschappelijk werk";;De bewaartermijn  is 5 jaar.;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
13;SZW;Den Haag werkt ;Werkgeversdienstverlening;Uitbetaling loonkostensubsidie werkgever;Het verstrekken van subsidies aan externe organisaties ten behoeve van de werkgeving. ;Loonwaardemeting;College van B&W;Het stimuleren van externe organisaties om werkplekken te creeeren. ;Publieke taak ;"Art. 17 en 53a Pw
Eventuele gemeentelijke Regeling loonkostensubsidie";Cliënten Werkgevers;"Gewone persoonsgegevens: 
- Persoonlijke gegevens
- arbeidsgegevens 
- Contactgegevens

Gevoelige persoonsgegevens: 
- BSN (Nationaal identificatienummer)
- Financiële gegevens

Bijzondere persoonsgegevens: 
- Gezondheidsgegevens";;;;"Werkgever
Keuringsarts: gemeente of UWV (tbv loonwaardemeting)";;10 jaar  Selectielijst  2017 8.1, Handreiking selectielijst 2017 6.5.1;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
14;SZW;Intensieve begeleiding;Gemeentelijke noodopvang;Uitvoeren gemeentelijke noodopvang ;Het verzamelen van de gegevens van Oekrainse vluchtelingen om hen in te schrijven en onderdak te kunnen bieden.;;College van B&W;Het onderzak bieden aan de Oekrainse vluchtelingen. ;Algemeen belang;"De Raad van de EU heeft in maart 2022 het Uitvoeringsbesluit (EU) 2022/382 vastgesteld.
Volgens dit besluit vallen vluchtelingen uit Oekraïne onder ‘tijdelijke bescherming’

De basis voor dit uitvoeringsbesluit van de Raad is art. 5 van de Richtlijn 2001/55 van de Raad van de EU van 20juli 2001.
De richtlijn somt een aantal rechten voor vluchtelingen op en een aantal verplichtingen van lidstaten.

In principe werkt het uitvoeringsbesluit van de EU rechtstreeks voor Oekraïense vluchtelingen.";Oekrainse vluchtelingen ;"Gewone persoonsgegevens: 
- Persoonlijke gegevens 
- Contactgegevens

Gevoelige persoonsgegevens: 
- Financiële gegevens
- BSN (Nationaal identificatienummer)
";;;;"Broodfabriek
Regiogemeenten van de gemeente Den Haag";;Persoonsgegevens worden niet langer bewaard dan noodzakelijk is voor het genoemde doel. De gemeente moet op grond van de Archiefwet bepaalde informatie echter langer bewaren. De Selectielijst specificeert hoelang bepaalde archiefbescheiden worden bewaard. Zie voor meer informatie over bewaartermijnen en archivering door de overheid de website van de Autoriteit Persoonsgegevens.;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
15;SZW;Intensieve begeleiding;Bureau nazorg;Uitvoering Wet Poortwachter ;Wanneer iemand meer dan een bepaald aantal dagen ziek is, wordt er automatisch een melding gemaakt bij de ARBO-dienst om ervoor te zorgen dat de desbetreffende medewerker de juiste zorg krijgt. ;;College van B&W;Re-integratie van inwoners nadat ze ziek uit dienst zijn getreden. ;Publieke taak ;"Wet verbetering Poortwachter (zie memorie van toelichting)
Art. 17 en 53a Pw";Cliënten in re-integratie;"Gewone persoonsgegevens: 
- Persoonlijke gegevens
- Arbeidsgegevens 

Gevoelige persoonsgegevens: 
- BSN (Nationaal identificatienummer) 

Bijzondere persoonsgegevens: 
- Gezondheidsgegevens";;;;ARBO-dienst ;;2 jaar na einde dienstverband ;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
16;OCW;Uitvoeringsorganisatie GGD Haaglanden;Gezondheid en welzijn;Algemene Infectieziektenbestrijding;Gezondheidszorg op het gebied van epidemiologie, infectiebestrijding, geestelijke gezondheid.;Draagt zorg voor de publieke gezondheid voor 9 regiogemeenten (GR-Regeling).;College van B&W;Het bieden van gezondheidszorg op het gebied van epidemiologie, infectiebestrijding en geestelijke gezondheid.;"Uitvoering overeenkomst
Publieke taak";"Artikel 6  Wet Publieke Gezondheid

Artikel 21, 22, 25 en 26 Wet Publieke Gezondheid;
Artikel 9 lid 2 sub 1 AVG";"Clënten
Wettelijke vertegenwoordigers
GGD-hulpverleners
Hulpverlenende instanties
RIVM
Huisartsen
";"Persoonsgegevens: 
- Persoonlijke gegevens
- Contactgegevens

Gevoelige persoonsgegevens:
- BSN (Nationaal identificatienummer)

Bijzondere persoonsgegevens: 
- Gezondheidsgegevens

";;;;"RIVM
Behandelend arts/specialist";;"Volgens artikel 29 Wet publieke gezondheid:

5 jaar";De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
17;OCW;Uitvoeringsorganisatie GGD Haaglanden;TBC;BCG vaccinatie minderjarigen;Kinderen jonger dan 12 met één of beide ouders uit hoge risicolanden moeten een BCG-vaccinatie krijgen. In dat geval neemt de GGD-contact op om zo’n vaccinatie te verstrekken.;;College van B&W;Kinderen jonger dan 12 met één of beide ouders uit hoge risicolanden moeten een BCG-vaccinatie krijgen. In dat geval neemt de GGD-contact op om zo’n vaccinatie te verstrekken.;"Publieke taak
Uitvoering overeenkomst";"Wet publieke gezondheid
WGBO";"Minderjarige patiënt
Diens ouders";"Gewone persoonsgegevens:
- Persoonlijke gegevens
- Contactgegevens

Gevoelige gegevens: 
- BSN/V-nummer (Nationaal identificatienummer)

Bijzondere gegevens:
- Gezondheidsgegevens
- Ras of etnische afkomst 
- Religieuze of politieke overtuiging
";;;;"Zorgverzekeraar (ouders)
Huisarts kind
Consultatiebureau Jeugd en Gezondheid";;"Ten aanzien van de tuberculosebestrijding gelden er langere termijnen dan volgens de WGBO noodzakelijk is. Deze langere bewaartermijnen worden noodzakelijk geacht uit het oogpunt van de kwaliteit van de tbc-bestrijding.

Dossiers: levenslang (100 jaar of 5 jaar na overlijden)";De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
18;OCW;JMO;Gezondheid en welzijn;Beheren casusregievoering;Ter ondersteuning van de processen behorende bij de uitvoering van de Jeugdwet.;;College van B&W;Functionaliteit voor het beheren van casusregievoering;Publieke taak;"Jeugdwet
Participatiewet
WMO";"Gemeentelijke medewerkers
Hulpverleners";"Gewone persoonsgegevens:
- Persoonlijke gegevens
-  Contactgegevens 

Bijzondere  persoonsgegevens:
- Gezondheidsgegevens";;;;Medewerkers SZ centrumgemeente Heuvelland, (externe) hulpverleners;;15 jaar;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
19;OCW;JMO;Gezondheid en welzijn;Beheren van groepstraject;Ter ondersteuning van de processen behorende bij de uitvoering van de Jeugdwet.;;College van B&W;Functionaliteit die aan de professional/ regisseur wordt geboden om ofwel het systeem rondom de burger in kaart te brengen en de rol daarvan in de te leveren hulp en ondersteuning ofwel hulp en ondersteuning aan een groep burgers/ een gezin in kaart te brengen;Publieke taak;"Jeugdwet
Participatiewet
WMO";"Gemeentelijke medewerkers
Hulpverleners";"Gewone persoonsgegevens:
- Persoonlijke gegevens
-  Contactgegevens 

Bijzondere  persoonsgegevens:
- Gezondheidsgegevens";;;;Medewerkers SZ centrumgemeente Heuvelland, (externe) hulpverleners;;15 jaar;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
20;OCW;WMO;Gezondheid en welzijn;Beschermd wonen;Melding burger met betrekking tot hulpvraag beschermd wonen. ;Onderzoek, advies en besluit met betrekking tot het beschermd wonen voor cliënten met beperkingen van diverse aard die niet in staat zijn zelfstandig te wonen.;College van B&W;Beperkingen m.b.t zelfstandig wonen en psychosociaal functioneren compenseren.;Wettelijke verplichting en toestemming (onder meer voor de verwerking van gezondheidsgegevens en gegevensuitwiselling met zorgverzekeraars).  ;"Artikel 5.1.1 Wmo
Artikel 5.1.5 Wmo
Artikel 5.2.1 Wmo
";"Cliënten
Burgers
Contactpersonen
Medewerkers PGB bureaus
SVB";"Gewone persoonsgegevens:
- Persoonlijke gegevens
- Contactgegevens 

Gevoelige persoonsgegevens:
- BSN (Nationaal identificatienummer)

Bijzondere  persoonsgegevens:
- Gezondheidsgegevens";;;;"Cliënten 
Verwanten en contactpersonen met toestemming 
Direct betrokken hulpverleners 
";;"Wet maatschappelijke ondersteuning 2015 artikel 5.3.4 en 5.3.5:

Verstrekt: 15 jaar 
(of zoveel langer als noodzakelijk is).

Geweigerd: 5 jaar

Beëindigd: 15 jaar (of zoveel langer als noodzakelijk is).";De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
21;OCW;Uitvoeringsorganisatie GGD Haaglanden;A & C;Bijscholing;Het aanbieden van opleidingen voor accreditatie.;Opleiding;College van B&W;De gegevens worden gebruikt om opleidingen aan te kunnen bieden voor accreditatie;Uitvoering overeenkomst;;Contactpersonen scholen;"Gewone persoonsgegevens:
- Persoonlijke gegevens
- Contactgegevens
- Arbeidsgegevens

";;;;"Samenwerkingspartners/Scholen: 
NSPOH
GGD ";;N.T.B;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
22;OCW;Uitvoeringsorganisatie GGD Haaglanden;Corona;Bron- en Contactonderzoek;Bron- en Contactonderzoek voor infectieziekten categorie A.;;College van B&W;Het doel van bron- en contactonderzoek is om contacten te identificeren, hen te informeren over de blootstelling en risico op besmetting, hen te wijzen op maatregelen die genomen moeten worden om verdere verspreiding te voorkomen en hen hierin te begeleiden.;"Publieke taak 
";"Artikel 6 lid 1 sub c, 21, 22, 25 en 26 Wet Publieke Gezondheid;
Artikel 9 lid 2 sub 1 AVG

Notificatie app: Artikel 6d Wet Publieke Gezondheid.";"Burgers
Medewerkers
Hulpverleners";"Persoonsgegevens: 
- Persoonlijke gegevens 
- Contactgegevens
- Woonsituatie
- Leefregels

Gevoelige persoonsgegevens:
- BSN (Nationaal identificatienummer)

Bijzondere persoonsgegevens: 
- Gezondheidsgegevens";;;;"Verwerkers en subverwerkers:
RIVM
Ministerie van VWS (notificatie app BCO)";;"Artikel 29 Wet publieke gezondheid:
5 jaar ";De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
23;OCW;Uitvoeringsorganisatie GGD Haaglanden;TBC;Bron- en contactonderzoek (TBC);De contactgegevens worden gebruikt om mogelijk besmette personen te vinden en eventueel een afspraak te maken. Vervolgens kan het TBC-Onderzoek in gang gezet worden.;;College van B&W;Het doel is om vast te stellen of de index, zijn of haar contacten via besmettingen ook heeft geïnfecteerd. ;"Publieke taak

";"Wet publieke gezondheid
";"Patiënt
Personen met wie patiënt in contact is geweest";"Gewone persoonsgegevens:
- Persoonlijke gegevens
- Contactgegevens

Gevoelige gegevens: 
- BSN (Nationaal identificatienummer)

Bijzondere gegevens: 
- Gezondheidsgegevens
- Ras of etnische afkomst 

";;;;Soms wordt overlegd met werkgever. Maar cliënt moet zelf toestemming geven om gegevens te delen.;;"Ten aanzien van de tuberculosebestrijding gelden er langere termijnen dan volgens de WGBO noodzakelijk is. Deze langere bewaartermijnen worden noodzakelijk geacht uit het oogpunt van de kwaliteit van de tbc-bestrijding.

Dossiers: levenslang (100 jaar of 5 jaar na overlijden)";De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
