Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Parallel Universum Photography;1;;;;;;;1
Patricia Nauta;;;;1;;;;1
PaulBlok.Com B.V.;;;;1;;;;1
PBLQ B.V.;;;1;;;2;;2
PCA Zorg & ICT B.V.;2;;;;;;;2
Pearson Assessment and Information B.V.;3;;;;;;;3
Perfect Web Team;1;;;;;;;1
Phil Nijhuis Fotografie;1;;;1;;;;1
Philip Stroomberg Grafisch Ontwerp;;;2;;;;;2
Photo Republic;1;;;;;;;1
Pier Zuid B.V.;1;;;;;;;1
Pricewaterhousecoopers Accountants N.V.;;;;;;2;1;2
Pricewaterhousecoopers Advisory N.V.;3;;2;;;;;3
Privacy Management Partners Coöperatie UA;;;2;;;;;2
PrivacyCare;2;;;;;;;2
Pro Facto B.V.;3;;;;;;;3
Project Leadership Academy;2;;;;;;;2
Proven Web Concepts B.V.;;;1;;;;;1
Psychiatrische Adviespraktijk Timmerman;;;1;;;;;1
PubliContact B.V.;;;;;;2;;2
Q Delft B.V.;4;;;;;;;4
Quint Wellington Redwood Nederland B.V.;;;;;;3;;3
Randstad Resource Bedrijf Zakelijk B.V.;2;;;;;;;2
ReadSpeaker B.V.;1;;;;;;;1
RebelGroup Executives B.V.;4;;2;;;;;4
Regioplan Beleidsonderzoek B.V.;4;;3;;;;;4
Regus;2;;;;;;;2
Rene Verleg Fotografie;2;;;1;;;;2
Renske de Greef;;;1;;;;;1
Ritzerfeld B.V.;;;;1;;;;1
Roorda Reclamebureau B.V.;;;;1;;;;1
RsH advies;3;;;;;;;3
Ruim toont dat het anders kan;1;;;;;;;1
Scenarios 4 Summits B.V.;;;4;;;;;4
Schuttelaar & Partners, Maatsch. Comm. B.V.;4;;;;;;;4
Schutz Advies & Management;;;1;;;;;1
SeederDeBoer;;;;;;4;;4
Segerentekst;;;1;;;;;1
Servé Verhuurservice B.V.;1;;;;;;;1
Service Point Paragon Netherlands B.V.;;;4;;;;;4
Shakingtree Interventions;1;;;;;;;1
Significant B.V.;5;;;;;2;;5
Sigterman&;2;;;;;;;2
Simian B.V.;;;;1;;;;1
SineFuma B.V.;1;;;;;;;1
Sira Consulting B.V.;;;3;;;;;3
SiRM B.V.;;;2;;;;;2
SLTN IT Professionals B.V.;;;;;;2;;2
Sogeti Nederland B.V.;;;;;;3;;3
SOONER;;;;1;;;;1
Sophia den Breems;;;1;;;;;1
Specialisterren B.V.;;;;;;2;;2
SRO Amersfoort;2;;;;;;;2
St.Patientenzorg Nederlands Kanker Instituut;;;5;;;;;5
Stepup Development B.V.;1;;;;;;;1
Sterra;;;;3;;;;3
Stg. Administratie Indonesische Pensioenen;1;;;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;3;;;;;;;3
Stg. Instituut voor Verantw. Medicijngebruik;5;;;;;;;5
Stg. Landel. Coörd.centr. Reiz.advis.;;;;;;;3;3
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;3;;4;;;;;4
Stg.TRIP Transf.-/transpl.react. in patiënten;4;;;;;;;4
Stichting Abrona;1;;;;;;;1
Stichting Accessibility;;;1;;;;;1
Stichting Calibris Contract;3;;;;;;;3
Stichting College Zorg Opleidingen;;;2;;;;;2
Stichting De Sportbank;1;;;;;;;1
Stichting Delimes;1;;;;;;;1
Stichting Dichterbij;;;2;;;;;2
Stichting Farmaceutische Kengetallen;6;;;;;;;6
Stichting Grote Kerk Naarden;1;;;;;;;1
Stichting Het Indisch Platform;1;;;;;;;1
Stichting Hogeschool van Arnhem en Nijmegen;1;;;;;;;1
Stichting Humanitas;6;;;;;;;6
Stichting Jade Mater;3;;;;;;;3
Stichting JadeMO;5;;;;;;;5
Stichting Jeugdzorg St. Joseph;1;;;;;;;1
Stichting Lareb;;;6;;;;;6
Stichting Moeremans&sons;;;1;;;;;1
Stichting MOVISIE;2;;2;;;;;3
Stichting Opengalen;1;;;;;;;1
Stichting Opleiding Klinisch Fysicus;1;;;;;;;1
Stichting Pensioenfonds ABP;1;;;;;;;1
Stichting PGOsupport;7;;;;;;;7
Stichting Schildklier Organisatie Nederland;2;;;;;;;2
Stichting SEO Economisch Onderzoek;2;;5;;;;;5
Stichting Stigma;1;;;;;;;1
Stichting VeiligheidNL;;;2;;;;;2
Stichting Vilans;2;;;;;;;2
Stichting Waarborgfonds voor de Zorgsector;;;;;;;4;4
Stichting Wie beter eet wordt sneller beter;2;;;;;;;2
Stichting Zorgbelang Brabant;1;;;;;;;1
Strak;1;;;;;;;1
Studio in Vuur & Vlam;2;;;;;;;2
Susanne Baars;1;;;;;;;1
Tacky Rat Productions;;;2;;;;;2
Tangram B.V.;;;;;;1;;1
Tappan Communicatie B.V.;;;;;;2;;2
TD HVO-Querido;6;;;;;;;6
Teamacademy B.V.;;;;;;1;;1
TeamSupport Creating Together B.V.;;1;;;;;;1
Tekst & Speech Tekstbureau Jolly Kerkstra;1;;;1;;;;1
Telegrootgebruik B.V.;;;1;;;;;1
Tentoo Directors Cast & Crew B.V.;1;;;;;;;1
The Content Valley;;;1;;;;;1
The Cove;2;;;;;;;2
The Oddshop B.V.;;;;4;;;;4
Things To Make And Do B.V.;2;;;1;;;;2
TiasNimbas Business School;;;2;;;;;2
TNS Nipo B.V.;2;;2;;;;;2
Tomeij Beheer B.V.;2;;;;;;;2
Tony Sheldon;;;1;;;;;1
TOPdesk Nederland B.V.;;;;;;2;;2
Tovertekst & Zo;;;;2;;;;2
TPDR advies;2;;;;;;;2
Transformation Technologies B.V.;;;;;;4;;4
Transvision B.V.;11;;;;;;;11
Treevents;1;;;;;;;1
Triskelion B.V.;;;2;;;;;2
TriviumAdvies B.V.;1;;;;;;;1
Two Kings B.V.;2;;;;;;;2
USG HR Professionals;;;;;;5;;5
v.d. Horst Train. & Consult. v.d. Verander.;1;;;;;;;1
V.O.F. Bosman & Vos;;;2;;;;;2
Valsplat B.V.;;;;2;;;;2
Van As Advocaten;;;;;1;;;1
Van der Vijver Producties;1;;;;;;;1
Van Kleef & Partners B.V.;;;;;2;;;2
Van Mill Fotografie;1;;;;;;;1
Van Piere;1;;;;;;;1
Van Rooij Communicatie;1;;;;;;;1
Van Stockum, Belinfante & Coebergh B.V.;1;;;;;;;1
Vanabbetotvessem;;;;1;;;;1
Vanberkel Professionals B.V.;4;;;;;;;4
Vektis Beheer B.V.;2;;4;;;;;4
Veldhoen + Company B.V.;;;;;;1;;1
Vendere Consultancy & Training B.V.;;;2;;;;;2
Ver. Landel. Sam.werk.verband Act. Bewoners;;;1;;;;;1
Verbinden Met Visie Adv./Beleid Duurzaamheid;;;1;;;;;1
Vereenigde Octrooibureaux N.V.;1;;;;;;;1
Verenig. v. Indicerende en Adviserende Artsen;1;;;;;;;1
Verenso;2;;;;;;;2
Vergadercentrum Domus Medica B.V.;1;;;;;;;1
Versprong B.V.;1;;;;;;;1
Viadesk;1;;;1;;;;1
Vicky Producties;;;1;;;;;1
Virtual Vision;;;;;;1;;1
W. Terpstra Tolk Gebarentaal;1;;;;;;;1
WagenaarHoes B.V.;;;;;;2;;2
WareKennis;;;1;;;;;1
Werken aan Waarde;1;;;;;;;1
Winkelman-v. Hessen Market. & Publ. Rel. B.V.;;;;2;;;;2
Woonzorgcentr. Theresia/Thuiszrg Vughterstede;;;3;;;;;3
Woord & daad.;;;1;;;;;1
Yacht;;;;;;2;;2
Young Works B.V.;3;;;;;;;3
ZorgEssentie;1;;;;;;;1
ZorginBeeld;;;;1;;;;1
ZorgmarktAdvies;3;;2;;;;;4
Zorgmarkten;;;2;;;;;2
Zorgverzekeraars Nederland;1;;;;;;;1
ZorgVuldig Advies;;;2;;;;;2
Eindtotaal;11;2;8;6;3;7;4;11
