2015: weekoverzichten F-16 inzet anti-ISIS coalitie;;;
Week;M = aantal uitgevoerde missie-opdrachten  ;W = aantal keren wapeninzet  (x) = cumulatief;Overzicht operaties 
Week 20 ;M: 11 (250);W: 6 (95);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 11 missies. In de Iraakse provincies Al-Anbar, Erbil, Ninawa en Sala ad-Din nabij de plaatsen Tikrit, Fallujah, Baghdad en Mosul, vond 6 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 21 ;M: 11 (261);W: 9 (104);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 11 missies. In de Iraakse provincies Ninawa, Arbil en Al-Anbar nabij de plaatsen Gao, Mosul en Baghdad, vond 9 keer wapeninzet plaats. ISIS strijders, voertuigen,  logistieke opslagplaatsen en wapenopstellingen waren het doelwit.
Week 22 ;M: 12 (273);W: 7 (111);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincies Al-Anbar, Ninawa en Sala ad-Din nabij de plaatsen Ramadi, Mosul en Tikrit, vond 7 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 23 ;M: 12 (285);W: 4 (115);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincies Ninawa, Al-Anbar en Kirkuk nabij de plaatsen Kirkuk, Mosul en Fallujah, vond 4 keer wapeninzet plaats. ISIS strijders, voertuigen en logistieke opslagplaatsen waren het doelwit.
Week 24 ;M: 12 (297);W: 5 (120);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincies Ninawa en Sala ad-Din nabij de plaatsen Mosul en Tikrit, vond 5 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 25 ;M: 16 (313);W: 9 (129);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 16 missies. In de Iraakse provincies Ninawa, Al-Anbar en Kirkuk nabij de plaatsen Mosul, Kirkuk, Baghdad en Fallujah, vond 9 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 26 ;M: 12 (325);W: 5 (134);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincie Ninawa nabij de plaats Mosul, vond 5 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen en wapenopstellingen waren het doelwit. 
Week 27 ;M: 13 (338);W: 9 (143);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 13 missies. In de Iraakse provincies Ninawa, Al-Anbar, Sala ad-Din en Babil nabij de plaatsen Mosul, Kirkuk en Baghdad, vond 9 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 28 ;M: 14 (352);W: 10 (153);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 14 missies. In de Iraakse provincies Al-Anbar, Babil, Ninawa en Sala ad-Din nabij de plaatsen Mosul, Fallujah, Baghdad, Kirkuk en Ramadi, vond 10 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 29 ;M: 13 (365);W: 11 (164);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 13 missies. In de Iraakse provincies Ninawa, Al-Anbar en Kirkuk nabij de plaatsen Baghdad, Mosul, Kirkuk, Fallujah en Ramadi, vond 11 keer wapeninzet plaats. ISIS strijders, voertuigen, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 30 ;M: 14 (379);W: 8 (172);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 14 missies. In de Iraakse provincies Al-Anbar, Kirkuk en Ninawa nabij de plaatsen Mosul, Baghdad en Kirkuk, vond 8 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 31 ;M: 13 (392);W: 5 (177);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 13 missies. In de Iraakse provincie Ninawa nabij de plaats Mosul, vond 5 keer wapeninzet plaats. ISIS strijders, voertuigen, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 32 ;M: 14 (406);W: 3 (180);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 14 missies. In de Iraakse provincies Al-Anbar en Ninawa nabij de plaatsen Mosul en Baghdad, vond 3 keer wapeninzet plaats. Logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 33 ;M: 14 (420);W: 11 (191);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 14 missies. In de Iraakse provincies Ninawa, Al-Anbar en Kirkuk nabij de plaatsen Mosul, Baghdad, Kirkuk en Tikrit, vond 11 keer wapeninzet plaats. ISIS strijders, voertuigen, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 34 ;M: 13 (433);W: 7 (198);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 13 missies. In de Iraakse provincies Al-Anbar, Erbil, Kirkuk, Ninawa en Sala ad-Din nabij de plaatsen Mosul, Baghdad en Kirkuk, vond 7 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 35 ;M: 12 (445);W: 5 (203);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincies Ninawa, Al-Anbar, Kirkuk en Sala ad-Din nabij de plaatsen Mosul, Baghdad en Kirkuk, vond 5 keer wapeninzet plaats. ISIS strijders, voertuigen, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 36 ;M: 15 (460);W: 11 (214);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 15 missies. In de Iraakse provincies Al-Anbar, Kirkuk en Ninawa nabij de plaatsen Baghdad, Mosul en Kirkuk, vond 11 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 37 ;M: 9 (469);W: 9 (223);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 9 missies. In de Iraakse provincies Ninawa, Al-Anbar, Erbil en Kirkuk nabij de plaatsen Mosul, Kirkuk en Baghdad, vond 9 keer wapeninzet plaats. ISIS strijders, voertuigen, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 38 ;M: 11 (480);W: 4 (227);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 11 missies. In de Iraakse provincie Ninawa nabij de plaatsen Baghdad en Mosul, vond 4 keer wapeninzet plaats. Logistieke opslagplaatsen en wapenopstellingen waren het doelwit. 
Week 39 ;M: 14 (494);W: 6 (233);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 14 missies. In de Iraakse provincies Ninawa en Al-Anbar nabij de plaatsen Mosul en Baghdad, vond 6 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 40 ;M: 11 (505);W: 7 (240);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 11 missies. In de Iraakse provincies Al-Anbar, Kirkuk en Ninawa nabij de plaatsen Tikrit, Baghdad, Mosul en Kirkuk, vond 7 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 41 ;M: 10 (515);W: 6 (246);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 10 missies. In de Iraakse provincies Ninawa en Al-Anbar nabij de plaatsen Mosul en Baghdad, vond 6 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 42 ;M: 11 (526);W: 4 (250);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 11 missies. In de Iraakse provincies Al-Anbar, Ninawa en Sala ad-Din nabij de plaatsen Kirkuk, Baghdad en Mosul, vond 4 keer wapeninzet plaats. Logistieke opslagplaatsen en wapenopstellingen waren het doelwit. 
Week 43 ;M: 10 (536);W: 8 (258);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 10 missies. In de Iraakse provincies Ninawa en Al-Anbar nabij de plaatsen Baghdad en Mosul, vond 8 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 44 ;M: 9 (545);W: 6 (264);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 9 missies. In de Iraakse provincies Al-Anbar, Erbil, Kirkuk en Ninawa nabij de plaatsen Kirkuk, Baghdad en Mosul, vond 6 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen en wapenopstellingen waren het doelwit. 
Week 45 ;M: 7 (552);W: 1 (265);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 7 missies. In de Iraakse provincie Al-Anbar nabij de plaats Baghdad, vond 1 keer wapeninzet plaats. ISIS strijders waren het doelwit.
Week 46 ;M: 11 (563);W: 3 (268);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 11 missies. In de Iraakse provincies Al-Anbar, Erbil, Kirkuk en Ninawa nabij de plaatsen Kirkuk, Mosul, Baghdad en Erbil, vond 3 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 47 ;M: 7 (570);W: 7 (275);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 7 missies. In de Iraakse provincies Ninawa en Al-Anbar nabij de plaatsen Baghdad en Mosul, vond 7 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 48 ;M: 10 (580);W: 9 (284);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 10 missies. In de Iraakse provincies Al-Anbar en Ninawa nabij de plaatsen Mosul, Baghdad en Tikrit, vond 9 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 49 ;M: 9 (589);W: 2 (286);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 9 missies. In de Iraakse provincie Al-Anbar nabij de plaatsen Tikrit en Baghdad, vond 2 keer wapeninzet plaats. ISIS strijders  en logistieke opslagplaatsen waren het doelwit.
Week 50 ;M: 10 (599);W: 4 (290);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 10 missies. In de Iraakse provincies Al-Anbar en Ninawa nabij de plaatsen Kirkuk en Baghdad, vond 4 keer wapeninzet plaats. ISIS strijders en logistieke opslagplaatsen waren het doelwit. 
Week 51 ;M: 8 (607);W: 6 (296);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 8 missies. In de Iraakse provincies Ninawa, Al-Anbar en Kirkuk nabij de plaatsen Kirkuk, Baghdad en Mosul, vond 6 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 52 ;M: 10 (617) ;W: 7 (303);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 10 missies. In de Iraakse provincies Al-Anbar en Ninawa nabij de plaatsen Mosul, Ramadi en Baghdad, vond 7 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 53 ;M: 8 (625);W: 6 (309);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 8 missies. In de Iraakse provincies Ninawa en Al-Anbar nabij de plaatsen Mosul en Baghdad, vond 6 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
