Leveranciers;5110 Verblijf extern;5210 Wagenpark;5-Vervoer en verblijfskosten
de Cleanbrug;;1;1
DE EIGEN ZAAK;1;;1
De Hamermolen;1;;1
De Helftheuvel;1;;1
de Herberg van Anderen;1;;1
De Jong Hotel Restaurant;1;;1
DE JONGE GEUZE ''PARTYCENTRUM'';1;;1
De Kargadoor Beheerstichting;1;;1
De Kleine Werf;1;;1
De Korenbeurs;1;;1
De Ooievaart - Ga Den Haag;;1;1
De Reiger Catering (incl. Nikita, Vechthuis);1;;1
De Rooi Pannen Stichting Katholiek Ondernemersonderwijs Te Tilburg;1;;1
De Ruwenberg Opleidingscentrum;2;;2
De Sinjoor;1;;1
De Tipmast Hotel;1;;1
De twee Wezen;1;;1
De Twentse Cateringgroep/Grolsch Veste;2;;2
De Uitkijk Hotel Restaurant;1;;1
De Waterloobar Cafe;1;;1
De Witte Berken Hotel-Restaurant;1;;1
De Woonplaats;1;;1
Delta Hotel;1;;1
Den Overkant Café Restaurant;1;;1
Dierenhotel Arbina;1;;1
Dierenhotel Dijkzicht;1;;1
Diergaarde Blijdorp;1;;1
D'n Ingel Grand Café;1;;1
Doornenburg;1;;1
Drienerburght Conferentiehotel;1;;1
Droom van Zwolle;1;;1
Du Nord Rijwielen;;1;1
Duinzicht Hotel;1;;1
Duo2;1;;1
E. Birza & Zn;;1;1
Ears4U;;1;1
Eden Hotels;1;;1
Efficient Hotel Partner;2;;2
EHM Hotels (incl. Apollo Hotels & Resorts);2;;2
Eijck van Takel en Berging;;1;1
Eindhoven Airport;1;;1
Ekamper Hotel Restaurant;1;;1
EMILE VAN LEENEN;1;;1
Emmeloord Hotel;1;;1
Engels Grandcafé/Restaurant/Zalen;1;;1
E-Office (incl. Work21);1;;1
Esra Intern Transport;;1;1
Euro Mobil;;1;1
Euroborg Horeca;1;;1
Eurohotel;1;;1
Europe Hotel;1;;1
Exploitatie Glazen Zaal;1;;1
Expo Centrum Fec Leeuwarden;2;;2
Fakton (Beurs-WTC);2;;2
FAZANTENBOS BV;2;;2
FIN/BSA Schaderegeling;;2;2
FINNEGANS'S;1;;1
Fletcher Hotel Restaurant;3;;3
Flowmar Truckwash;;1;1
Ford;;1;1
Ford Van Bunningen;;1;1
Gasterij De Os en het Paard;1;;1
Gemeente Harlingen;;1;1
Gemeente Middelburg;;1;1
Gemeente Venray;;1;1
GlasGarage Gouda;;1;1
GLOBE PARTY EVENTS;1;;1
Golden Tulip;4;;4
Graafschap De Stadshotel;1;;1
Grand Café Tax;1;;1
Grand Hotel de L'Empereur;1;;1
Grand Hôtel Frans Hals;1;;1
Grand Hotel Heerlen;1;;1
Grizzly New Marketing;1;;1
Groepshotel De Tienhove;1;;1
Groningen Airport Eelde;;1;1
Haagen Rookgeneratoren;;1;1
Hampshire Hotel;4;;4
Hans Jongerius Autobedrijf;;1;1
Harlingen Electrotechniek;;1;1
Harrems Tools;;1;1
Hart van Holland;2;;2
Heechsicht;1;;1
Hegen, Hotel Café Restaurant;1;;1
Henk Gerrits Tweewielers;;1;1
Herwers Groep;;2;2
Het Gelagh Grand-Café-Hotel;1;;1
Het Hart van Weesp Hotel-Restaurant;1;;1
Het Wapen van Marion Hotel-Café-Restaurant;1;;1
Hilton;1;;1
HMS Host Marriott Services Horeca Exploitatie Maatschappij Schiphol;1;;1
Hofland Groothandel;;1;1
Hofstede De Nieuwe Donck;1;;1
Holiday Inn;2;;2
Hollandse Nieuwe;1;;1
Honac Nederland;;1;1
Hooch Watersport;;1;1
Hoog Holten Restaurant & Hotel;1;;1
Horeca Baarle-Nassau B.V.;1;;1
Horecacentrum De Hertenkamp Assen;1;;1
Hotel Conferentiecentrum Landgoed Zonheuvel;2;;2
Hotel Contact/Worldmeetings;7;;7
Hotel de Kroon/restaurant Flavour;1;;1
Hotel De Ville;1;;1
Hotel De Wageningsche Berg;1;;1
Hotel de Watertoren;1;;1
Hotel Des Indes Le Meridien, Lehwood;1;;1
Hotel Fidder;1;;1
Hotel New York Rotterdam;1;;1
Hotel Oranjeoord;1;;1
Hotel Post Plaza;1;;1
Hotel Vianen;1;;1
Hotel Villa Ruimzicht;1;;1
Hotel Vught;1;;1
Hotel Wereld-Eethuis Bazar;1;;1
Hotel Wienerhof;1;;1
Huis van Bewaring Bed & Breakfast;1;;1
Huiskes-Kokkeler;;1;1
Huize Molenaar Cuisinier;3;;3
Humphrey's Restaurant;1;;1
Igluu Workspace For Professionals;1;;1
In De Driehoek, Zalencentrum;4;;4
In De Ruimte;1;;1
In Het Veld Catering;1;;1
Inntel Hotels;3;;3
Internet New Business Concepts (Vergaderruimte-Utrecht.nl);1;;1
J&C Productions;;1;1
J. v.d. Hek;1;;1
J.F. Boer Aanhangwagens;;1;1
Jaarbeurs Catering Services;3;;3
Jaarbeurs Utrecht;6;;6
John's Mobiele Fietsenservice;;1;1
Jungheinrich Nederland;;2;2
Kamp Automobielbedrijf;;1;1
Karel V Utrecht Grand Hotel;3;;3
Karmel Drachten;1;;1
Kasteel De Hooge Vuursche;1;;1
Kasteel De Vanenburg;1;;1
Kasteel Erenstein Hotel- Restaurant;1;;1
Kasteel Rhederoord;1;;1
KAV Autoverhuur;;2;2
Kerkebosch 'T Hotel-Restaurant;1;;1
KERS J.W. vof.;;1;1
Kivi Niria Congresbureau;1;;1
Klein Berlijn;1;;1
Klein Haksfoort;1;;1
Klinge D'R Cafe;1;;1
Koninklijke Schouwburg;1;;1
Kropholler Tweewielers;;1;1
L' Amuse Culinair;1;;1
Laco Sportcentrum;;1;1
Landgoed Ekenstein;1;;1
Landgoed Huize Bergen;2;;2
Lands End Hotel-Café-Restaurant;1;;1
Lapershoek Hotel;1;;1
Lazuli Cursuscentrum & Zaalverhuur;1;;1
Le Strasbourg;2;;2
Leaseplan Nederland;;9;9
Leeuwenhorst Congrescentrum;3;;3
Leijdsman Elektro;;1;1
Libema Exploitatie;1;;1
Loetje a/d Kade luncherie;1;;1
Lubbelinkhof Hotel-Restaurant;1;;1
Luchthaven Maastricht;;1;1
Lunch cafe BOX5;;1;1
Maas Auto Groep;;1;1
Magma It Solutions;1;;1
Manutan (vh Overtoom International);;1;1
Marlene van Duin CLI;1;;1
Martini Budget Hotel;1;;1
Martiniplaza Groningen (vh Martinihal);2;;2
Meeting Plaza;3;;3
MEEUWENVEEN ACCOMODATIES;2;;2
Mercure Hotels;1;;1
Merwezicht Restaurant;1;;1
Mizu;1;;1
Mooirivier Congreshotel (vh Conferentiecentrum de Bron);1;;1
Motrac Intern Transport;;4;4
Mozaic Hotel;1;;1
Mulder 2wielers;;1;1
Multicopy (incl. Andre Cossee);2;;2
Museum Catering;1;;1
MYSTIEK THEATER;1;;1
NBC - Nieuwegeins Business Center, De Blokhoeve, Exploitatie;5;;5
NDC den Hommel;1;;1
Nederlands Openluchtmuseum;1;;1
Nemo Science Center;2;;2
NH Hotels (incl. Nhow hotels);5;;5
Nielz Café-Restaurant;1;;1
NIEUW OOSTEN CITY;1;;1
Nieuwe Nobelaer;2;;2
NobraCars B.V.;;1;1
Nolot Seminars;1;;1
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);1;;1
Nuland Hotel;1;;1
Oirschot Olie;;2;2
Oliecentrale Nederland;;1;1
Olivier Belgisch Bier Café;1;;1
Onder de Toren Catering;1;;1
Ons Huis;1;;1
Ontmoetingscentrum Wierden;1;;1
Opduin Texel Grand Hotel;1;;1
Openluchtmuseum Het Hoogeland;1;;1
Orange Motors B.V.;;1;1
Orde der Minnebroeders;1;;1
Oud London Catering-Hotel-Restaurant;2;;2
Oudaen Stadskasteel;2;;2
Ouwehands Dierenpark;1;;1
Overbosch Hotel Restaurant;1;;1
P1 Off Street/On Street;;2;2
Pacelle van Goethem;1;;1
Palace Hotel Zandvoort;1;;1
Papendal Hotel en Congrescentrum;2;;2
Park Plaza;2;;2
Parkeer Beheer Roosendaal;;1;1
Parkeerbeheer Bergen Op Zoom;;1;1
Parkeerservice Amersfoort;;1;1
Parkhotel;1;;1
Park-Line;;2;2
Parkmobile Benelux;;1;1
Party Centrum Het Witte Paard;1;;1
Paviljoen de Leyen;1;;1
Paviljoen Sterrebos;1;;1
Philips Electronics Nederland;1;;1
Pocahondas, Dierenhotel;1;;1
Polman's Café-Restaurant;1;;1
Postillion Hotels;4;;4
Pouw Vervoer;;1;1
Preston Palace;1;;1
Princeville Hotel Breda;1;;1
Proeflokaal aan de Amstel;1;;1
Projactive;2;;2
Providence;;1;1
Pulchri Studio;1;;1
Puur Events;1;;1
Q-Park;;1;1
Radisson SAS Hotels & Resorts;1;;1
RAI Amsterdam;1;;1
RDC Datacentrum;;2;2
Rederij Lovers;1;;1
Reecol BV;1;;1
Regardz (incl. Iassociate);4;;4
Regio Autoverhuur Duiven;;1;1
Regus;2;;2
Reinaerde;1;;1
Reuvers Autoberging;;1;1
Rietland;1;;1
Rijwielhandel H.W. en R.M. Tieleman;;1;1
RMM Mobiele Truck Cleaning Service;;1;1
Robo Gascentrale;;2;2
ROC Midden Nederland;1;;1
Ropeni (incl. Schlemmer);1;;1
Rotterdam Airport;;1;1
Rutten en Zn Th. Autobedrijf;;1;1
Samaya Plek Voor Ontmoeting;2;;2
Samson Cafe;1;;1
Sandton Hotels (incl. Sandton Malie Exploit.);1;;1
Savas Quality Seating;;1;1
Scherpenberg;;5;5
Schietvereniging Willem Tell;2;;2
Schiphol Groep (incl. Real Estate);1;;1
Schouwburg & Congrescentrum Orpheus;4;;4
Seats2meet.com;3;;3
Segway Nederland;;1;1
Sheraton Hotel;1;;1
Silverijn;1;;1
Sistermans Hotel Central/Restaurant;1;;1
Sjaak snel fietsspecialist;;1;1
Skoda Melse Goes;;1;1
Slot Zeist;1;;1
Spaces Rode Olifant;1;;1
Sportfondsen Haarlemmermeer;1;;1
Stads-Hotel Boerland;1;;1
Stairway To Heaven;1;;1
Stayokay;1;;1
Steengracht Artware;1;;1
Stegeman;1;;1
Stern Groep (incl. Arend Motors, Arend Auto);;1;1
Stg De Passerel;1;;1
Stichting Kontakt der Kontinenten Conferentiehotel;2;;2
Still Intern Transport;;3;3
Strandhotel Camperduin;1;;1
Strandpaviljoen Zoomers Castricum;1;;1
'T Feithhuis Restaurant;1;;1
'T Raedthuys Restaurant Stadscafé;1;;1
Tabakshuis;1;;1
Taxibedrijf Poll;;1;1
Terminus Hotel;1;;1
The Colour Kitchen;1;;1
The Manhattan Hotel Rotterdam (vh Westin Rotterdam);1;;1
The Smartagent Company;1;;1
Theater Hotel Almelo;3;;3
Theaterhotel De Oranjerie;1;;1
Toonen E.M.;;1;1
Travel Card Nederland;;3;3
Truck & Trailer Service Holten;;1;1
Truck Wash;;1;1
TUSSCHER TEN FIETSENWINKEL BV;;1;1
Tweewieler Centrum de Hoef;;1;1
Usine Eindhoven;1;;1
Utrechtse Taxicentrale UTC;;1;1
UvA Universiteit van Amsterdam/IBIS Instituut;5;;5
VALK DE HOTEL;1;;1
Vallei Auto Groep;;1;1
Van den Udenhout Autobedrijf;;1;1
Van der Valk Hotels;3;;3
Van Leeuwen Truckwash, Oliehandel;;1;1
Van Rooyen's Tours;;1;1
Van Tilburg-Bastianen;;1;1
Vandaag Restaurant;1;;1
Veluwe Experts;1;;1
Vemo Lease;;1;1
Vergadercentrum Domus Medica;1;;1
Via Quidam;1;;1
Victoria EHP Exploitatie Hotel;1;;1
Victoria Hotel;1;;1
Villa Jongerius;1;;1
Villa Sonsbeek (vh Dokal);1;;1
Villa Veertien;1;;1
VISSER VERHUURBEDRIJF;;1;1
Vlaams Arsenaal;1;;1
Vlodrop Boshotel;1;;1
Vondelparc;1;;1
W.R.H. Udo Kookstudio;1;;1
Wasdas De;;1;1
WATERMOLEN DE STICHTING;1;;1
We Young Folks;1;;1
Westcord Hotels;5;;5
Winkel van Sinkel Cultureel;2;;2
Winkelcentrum Leidsenhage;;1;1
Winparts.nl BV;;1;1
Wissenkerke;1;;1
Woudschoten Conferentiecentrum;2;;2
WTC Schiphol;1;;1
Zaalverhuur 7;1;;1
Zaan Inn Hotel;1;;1
Zalkerbroek Hotel;1;;1
Zanten van G.C.A. Handelsonderneming;;1;1
Zee;2;;2
Zero Bikes Amsterdam;;1;1
ZIJM'S LEASE BV;;1;1
Zinvest Beheer - ToolsXL;;1;1
Zuid eten & drinken;1;;1
Eindtotaal;8;9;9
