Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;1-Personele exploitatie
Effectivents;;;;;1;;;1
Elycio Talen;;;;;4;;;4
En nu online;;;;;2;;;2
Endemol;;;;1;;;;1
Energy Delta Institute Stg;;;;;1;;;1
EU Watcher;;;;;1;;;1
Eurocross Assistance Netherlands;;2;;;;;;2
Euroforum;;;;;1;;;1
European Language Centre;;;;;4;;;4
Fine Asian Gourmet;;;1;;;;;1
First1 Bedrijfsfitness;;4;;;1;;;4
Fletcher Hotel Restaurant;;;1;;1;;;1
Flitz-Events;;;1;;;;;1
Flowers4U;;;1;;;;;1
Fons Dekker Catering Service;;;1;;;;;1
Foodlovers Catering voor liefhebbers;;;1;;;1;;1
Foreign Affairs;;;;1;;;;1
FOUNDATION FOR INTERNATIONAL STUDIES ON PEACE AND SECURITY (FISPS);;;;;1;;;1
FRANK (GEEFT GRAFISCHE IDEEEN VORM);;;;1;;;;1
Franke Interim Management;;;;;1;;;1
Fruitful Office Nederland;;;2;;;;;2
GALV;;;;;1;;;1
Garoeda Indonesisch Restaurant;;;1;;;;;1
GemeenteOplossingen.nl;;;;1;;;;1
Gerrickens Training & Advies;;;;;1;;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;;1;;;;;1
Geurst (incl. Pastis Restaurant);;;1;;;;;1
Global Connection;;;;;1;;;1
Glope Events/Be You Events;;;1;;;;;1
Golden Plate Brasserie en Restaurant;;;1;;;;;1
Golden Tulip;;;1;;1;;2;2
Govers & van der Staay;;;;;1;;;1
GRANSJEAN WIJNEN & DELICATESSEN;;;1;;;;;1
GREG AND BAUD PRODUCTIONS;;;;;;1;;1
Gusto Design Shop;;;1;;;;;1
Haaglanden Opleidingscentrum;;;;;2;;;2
Haags Theaterhuis;;;1;;;;;1
Halvemaan Restaurant;;;1;;;;;1
HAN, M.;;;1;;;;;1
Hans & Frans Hessing Banketbakkerij (Hesbak);;;1;;;;;1
HAUBER MANAGEMENT ADVIES;;;;;1;;;1
HCT Haagsche City Tax (incl. DirectPay Services);;;;;;;1;1
Heidi Jansen Loopbaanadvies & Levenskunst;;;;1;;;;1
Herman Fijn Coaching en Advies;;;;;1;;;1
Het Kabinet Eten en Drinken;;;1;;;;;1
Het Nieuwe Instituut (vh Niadec);;;;;;1;;1
Het Nutshuis;;;1;;1;;;1
Het Pleidooi/Lancee Café-Restaurant;;;1;;;;;1
Het Scheepvaartmuseum Enterprise Stichting;;;;;;1;;1
HET WIJNINSTITUUT;;;;;1;;;1
Het Zilverhuys;;;;;;1;;1
HILGERS CONSULTANCY;;;;;2;;;2
Hof der Muzen Grand Cafe (J. Kos);;;1;;;;;1
Hogeschool van Utrecht;;;;;1;;;1
Hot Item Informatica;;;;1;;;;1
Hotel Des Indes Le Meridien, Lehwood;;;1;;;;;1
House of Lords;;;1;;;;;1
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;;1;1;1;1;1;2
Huis Ter Duin Grand Hotel;;;1;;;;;1
Humanity House;;;;;;1;;1
Huyer Gelegenheidskleding (De Togamaker);;;1;;;;;1
ICM Holding;;;;;1;;;1
Igluu Workspace For Professionals;;;1;;;;;1
Igo Post Internationale Geschenken Organisatie;;;;;;1;;1
ImpactAbility;;;;;1;;;1
In2Content;;;1;;;;;1
Indoor Skydive Roosendaal;;;2;;;;;2
ING Bank;;;1;;;;1;2
Institute of Social Studies;;;;;;1;;1
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;1;;5;;1;5
INSTITUUT HOOGBEGAAFDHEID VOLWASSENEN;;;;;1;;;1
Intersafe Groeneveld;;2;;;;;;2
IRMA JOCHEMS;;1;;;;;;1
IVP Instituut Voor Psychotrauma;;2;;;;;;2
J.C.A. Steijger Producties;;;1;;;1;;1
Jaarbeurs Utrecht;;;;2;;;;2
Jachtwerf Möllers;;;1;;;;;1
Ja-Maar;;;;;;1;;1
Jeroen van der Meyde Fotogeniek;;;;1;;;;1
Jiu-Jiu - De Chinese Muur Restaurant ;;;1;;;;;1
Jonker & Wu;;;;;1;;;1
Just Connecting;;;;;1;;;1
Kaagzicht Restaurant;;;1;;;;;1
KAATJE AAN DE REIN;;;1;;;;;1
Kafkabrigade;;;;;1;;;1
Keizer Culinair;;;1;;;;;1
KENNEMER PRAKTIJK;;1;;;;;;1
Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie;;;;;1;;;1
KIEK IN DE POT;;;1;;;;;1
KIT- IMC Koninklijk Instituut Voor De Tropen - Intercultural Professionals;;;;;2;;;2
Kivi Niria Congresbureau;;;1;;1;1;;1
KLM;;5;;;;;1;5
Knossos Grieks Specialiteiten Restaurant;;;1;;;;;1
KNW Koninklijk Nederlands Waternetwerk;;;;;1;;;1
Koken Op Maat;;;1;;;;;1
Koninklijke Academie van Beeldende Kunsten;;;;;;1;;1
Koninklijke Visio;;1;;;;;;1
Kook Studio 10 Spices;;;1;;;;;1
Kookworkshop.Com;;;1;;;;;1
Koolhaas Concepts;;;1;;;;;1
La Poutre Bureau;;;;;1;;;1
La Vina Restaurant;;;1;;;;;1
Le Bistroquet;;;1;;;1;;1
Leading Lady;;;;;1;;;1
Lean Six Sigma Company;;;;;1;;;1
Learn It;;;;;1;;;1
Lebkov & Sons;;;1;;;;;1
LEIDSE REGIO TAXI;;;;;;;1;1
Libereaux;;;;2;;;;2
LIFE WORK DESIGN;;;;;1;;;1
LIKECONOMY;;;;;1;;;1
Limon Spaans Restaurant ;;;1;;;;;1
Link2Learn (ennuonline);;;;;3;;;3
Live Trainingen;;;;;2;;;2
Logisch Restaurant;;;1;;;;;1
LOI Leidse Onderwijsinstelling;;;;;1;;;1
Lunchroom Nieuw Engelhard;;;1;;;;;1
Lyreco Nederland (vh Ahrend Office Products);;;1;;;;;1
Magnet.me;;;;1;;;;1
Maison De La Foret;;;1;;;;;1
Maph;;;1;;;;;1
MARK TOXOPEUS;;;1;;;;;1
Master in Event Management;;;;;1;;;1
Maureen Cuisine;;;1;;;;;1
Maximum;;;;;1;;;1
Maxlead Services;;;;2;;;;2
MCH Medisch Centrum Haaglanden (incl. Westeinde, Antoniushove);;1;;;;;;1
Meer Effect Qualitytime;;;;;1;;;1
Meerpaal Partyverhuur;;;1;;;;;1
Mercure Hotels;;;;;2;1;1;2
MERLIJN BOEKHANDEL;;;;;1;;;1
Meurs HRM;;;;3;1;;;3
Michel van Tuil Drankenstudie;;;;;1;;;1
Midi Mondial;;;1;;;;;1
MIEKE TUNNISSEN & ANNET BOSKAMP BV;;;;;1;;;1
Mijndomein.nl;;;;;1;;;1
Ming Tin;;;1;;;;;1
Mochi Restaurant;;;1;;;;;1
Momiji Sushi Japans Restaurant;;;1;;;;;1
Motivaction;;;;;1;;1;1
Movenpick Hotels;;;;;;;1;1
Muller's Visual Communication;;;;1;;;;1
Multi Vlaai;;;1;;;;;1
Munckhof Reizen;;;1;;;1;2;2
Museum Catering;;;;;;1;;1
Muziekverzorging.nl;;;1;;;;;1
MVPL Managementadvies;;;;;1;;;1
NBTC Nederlands Bureau voor Toerisme & Congressen;;;;;;;1;1
NCOI Nederlands Commercieel Opleidingsinstituut (incl. NedFac, ISES, ISBW, Bestuursacademie Nederland);;;;;2;;;2
Nederlands Debat Instituut;;;;;1;;;1
Nespresso Nederland;;;1;;;;;1
Netwerven;;;;1;;;;1
Nevi/Neho;;;;;2;;;2
New Babylon Meeting Center;;;1;;1;;;1
Nextpertise;;;;1;;;;1
NFGD Audiovisuele Technieken;;;2;1;1;1;;2
NH Hotels (incl. Nhow hotels);;;;;1;;;1
NIDI Nederlands Interdisciplinair Demografisch Instituut;;;1;;;;;1
Nieuwspoort;;;1;;;;;1
Novotel;;;1;;;1;1;2
NSOB Nederlandse School Voor Openbaar Bestuur;;;;;3;;;3
NTI-NLP Nederlands Trainingsinstituut voor Neurolinguistisch Programmeren;;;;;1;;;1
NVO2 Nederlandse Vereniging van HRD-Professionals in Ontwikkelen en Opleiden;;;;;1;;;1
Ollini Ijs En Chocolade;;;1;;;;;1
Onz Restaurant;;;1;;;;;1
OP KOERS NLP OPLEIDINGEN;;;;;1;;;1
Opportunity Advies;;;;;2;;;2
Optimaal Talent;;;;;2;;;2
OSR Opleidingen Sociaal Recht Juridische Opleidingen;;;;;1;;;1
Parkhotel;;;;;1;1;;1
Pasteur Reizen;;;;;;1;;1
Pavlov Bar Restaurant;;;2;;;;;2
PBLQ (HEC, ROI, Zenc);;;1;;2;;;2
PDC Informatie Architectuur;;;;2;;;;2
PDS Professional Driving Solutions;;;1;;;;;1
Pino Evenementen & Congressen;;;;;1;;;1
Pluimen (incl. WishWish nl);;;1;;;;;1
Poentjak Indonesisch Restaurant;;;1;;;;;1
PQ CONSULT;;;;;2;;;2
PRAKTIJK EERDEN;;1;;;;;;1
Primera;;;1;;;;;1
Pro 10;;;;;1;;;1
Prodemos/Huis voor Democratie en Rechtstaat;;;;;1;;;1
Production Audio Light Services;;;1;;;;;1
Promopodium;;;2;;;;;2
Promothing;;;1;;;;;1
PSYCHOLOGIEPRAKTIJK INAOOST;;1;;;;;;1
Psychologisch Adviesbureau Treurniet;;;;;1;;;1
Qompas;;;;2;;;;2
Quint Wellington Redwood;;;;;2;;;2
R&D INTERNATIONAL;;;;;;;1;1
Radar Groep (incl. Uitvoering, Vertige, Implementatie van Beleid);;;;;2;;;2
Reclameland;;;1;;;;;1
Rederij 't Smidtje;;;1;;;;;1
Rederij van der Meer;;;1;;;;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);;;;;1;;;1
Reewijkse Hout Restaurant-Paviljoen;;;1;;;;;1
Regina Bloemsierkunst;;;1;;;1;;1
Regina Coeli Taleninstituut (incl. de Nonnen van Vught);;;;;2;;;2
Regus;;;1;;4;;;4
Reisboekwinkel De Zwerver;;;;;;1;;1
Rendement;;;;;1;;;1
Rijksmuseum Amsterdam;;;1;;;;;1
Rijksmuseum Voor Volkenkunde;;;;;;1;;1
Rijswijkse Golfclub;;;1;;;;;1
RIMO Vereniging tot Bestudering van het Recht van de Islam en het Midden Oosten;;;;;1;;;1
RO THEATER;;;;;;1;;1
ROC Mondriaan;;;1;;;;;1
Rodizio Brazilian Restaurant;;;1;;;;;1
Rootz Cafe Restaurant;;;1;;;;;1
Ropeni (incl. Schlemmer);;;2;;1;1;;2
RPMS (Gezond in bedrijf);;;;;1;;;1
Russia Academy;;;;;2;;;2
Sabel Communicatie;;;;;;1;;1
Sarinande Indonesisch Restaurant;;;1;;;;;1
Schellekens & Partners;;;;;1;;;1
Schiphol Groep (incl. Real Estate);;;;;;;3;3
Schouten Global (incl. Schouten & Nelissen Groep, Thema);;;;;2;;;2
Scope & Skills;;;;;1;;;1
SDU - Service Centrum Uitgevers;;;;;1;;;1
Sebes & van Gelderen;;;;;;;1;1
Sheraton Hotel;;;1;;;;;1
SilkeDeWilde;;;;;2;;;2
Simon De Vogel;;;1;;;;;1
SIOO Stichting Interuniveristair centrum Organisatie Veranderkunde;;;;;1;;;1
SKILLS AT WORK;;;;;1;;;1
Skils;;;;;1;;;1
Smelt Advies Coaching & Selectie;;;;;2;;;2
SOCIAL E-VALUATOR;;;;;1;;;1
Sodexo;;1;5;;1;2;;5
Solbeach Strandpaviljoen;;;1;;;;;1
Somo;;;;;1;;;1
Soomers Strandtent;;;1;;;;;1
Spaarnestad Foto;;;1;;;;;1
Spaces Rode Olifant;;;1;;2;;;2
Specialtours Events;;;1;;;;;1
S-Peer Catering;;;;;;1;;1
SPIJKERBOOR HOLDING BV;;;1;;;;;1
Spijs Restaurant;;;1;;;;;1
Spize Asian Bistro Restaurant;;;1;;;;;1
SPORTHUIS SUNNY CAMP;;;;1;;;;1
SPREKERSHUYS;;;;1;;;;1
Srm;;;;;1;;;1
St. Jonge Balie Nederland;;;;;1;;;1
Stad Unique;;;1;;;;;1
Stadstaxi Rotterdam;;;;;;;1;1
Sterk Catering Service;;;1;;;;;1
Stg Haagse Willemsvaart;;;1;;;;;1
Stg Straetus;;;1;;;;;1
Stichting Bronovo-Nebo;;1;;;;;;1
STICHTING CHILD HELPLINE INTERNATIONAL;;;;;1;;;1
Stichting De Basis;;;;1;;;;1
Stichting dutch connected;;;;;1;;;1
Stichting Koorenhuis;;;1;;;;;1
Stichting Oikos;;;;;2;;;2
STICHTING ONDERZOEK INTERNATIONALE SAMENWERKING / SEN FOUNDATION;;;;;1;;;1
Stichting Raakvlak;;;1;;;;;1
Stobberingh' Advies;;;;;1;;;1
Strategisch Coachen Groep;;;;;1;;;1
Struijk Training & Adviesbureau;;;;;3;;;3
Studio Tint;;;1;;;;;1
Studystore Studieboekencentrale;;;;;1;;;1
Sumo Sushi & Grill Restaurant;;;1;;;;;1
SV TAXI ZOETERMEER BV;;;1;;;;;1
Swissotel;;;;;;;1;1
'T Goude Hooft Beheer Equus Stadsherberg, Hotel;;;1;;;1;;1
Taartenwinkel.nl;;;1;;;;;1
Taat & De Regt;;;1;;;;;1
Take Fresh;;;;1;;;;1
Taxi Randstad;;;;;;;1;1
Taxicentrale Den Haag;;;;;;;1;1
Team Relocations, Project Verhuizers;1;;;;;;;1
TeamWork;;;;;1;;;1
THE BOSTEL BROTHERS;;;1;;;;;1
The Changery;;;;;1;;;1
The Square Mile;;;;;1;;;1
THE SWOOP;;;1;;;;;1
THOMAS VAN DALEN ADVIES;;;;;1;;;1
Tinqwise;;;;;2;;;2
TMG - de Telegraaf Media Group;;;1;;;1;;1
Toeback Sportprijzen;;;1;;;;;1
Tonco Modderman;;;;;2;;;2
Top Movers;;;1;;;1;;2
Topbloemen Nederland;;;1;;;1;;1
Toussaint Horecagroep;;;1;;;;;1
Tower Leisure (Haagse Toren);;;1;;;;;1
Tri Tunggal;;;;;;1;;1
Triamfloat;;;;;1;;;1
TURACIEN BV;;;;;1;;;1
Twee of Meer;;;;;1;;;1
Tyrilo (incl. Oscars restaurant);;;1;;;;;1
Uit koken / Diner Thuis;;;1;;;;;1
Uit-Zeilen;;;1;;;;;1
Up Learning (vh Stoas);;;;;2;;;2
UP2DATE TRADING;;;1;;;;;1
Urbanguides;;;1;;;;;1
UTS Voerman Abbink;8;;;;;;5;8
Van De Garde Bloemisten;;;1;;;1;;1
Van der Hilst Communicatie-Trainingen;;;;;1;;;1
Van der Pool Consultancy;;;;;1;;;1
Van der Valk Hotels;;;1;;;;1;1
Van der Veeken en De Bruijn Trainingen;;;;;2;;;2
Van Harte & Lingsma;;;;;3;;;3
Van Iren Consultancy;;;;;1;;;1
Van Slobbe Reclame;;;1;;;;;1
Van Stockum;;;1;;;;;1
VCK Groep, Travel & Logistics;1;;;1;1;4;8;8
Veerstichting;;;1;;1;;;1
Vereniging Tot Behoud van Natuurmonumenten;;;1;;;;;1
Vereniging VNO-NCW;;;1;;1;1;;2
Vermaat Leisure, Horeca, Service;;;1;;;;;1
Verybz;;;1;;;;;1
VHIC (Van Heijst Information Consulting) Uitgeverij;;;;;3;;;3
Vide Beroepsvereniging;;;;;1;;;1
Vijverberg Juristen (incl. Detachering);;;;;1;;;1
VitalSmarts;;;;;1;;;1
Voorts Juridische Diensten;;;;;1;;;1
VTC Vlaardingse Taxi Centrale;;;;;;;1;1
VU Boekhandel;;;;;1;;;1
VVV Nederland;;;1;;;;;1
Watersnoodmuseum;;;1;;;;;1
Watersportcentrum Vlietland;;;1;;;;;1
Weka Uitgeverij;;;;;2;;;2
WERKEN AAN LEREN;;;;;1;;;1
Whoosah Keeb;;;1;;;;;1
WIJ Strandclub;;;1;;;;;1
Wijnkoperij De Gouden Ton;;;1;1;;;;1
Wolters Kluwer (incl. Kluwer);;;1;;1;;;1
World Forum Convention Center;;;;1;1;1;;1
Woudschoten Conferentiecentrum;;;;;1;;;1
XPORTWISE;;;;;2;;;2
You Name It!;;;;;1;;;1
Zanzibar Beachclub;;;1;;;;;1
ZEELANDBUITENLAND;;;1;;;;;1
Zinnige Zaken;;;1;;;1;;2
Zuidema Bureau;;;;;2;;;2
Eindtotaal;8;5;6;5;7;5;8;9
