Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Albron Nederland B.V.;;;;1;;;;;;1
Alert Management Consultants;;;;;;1;;;;1
Alex Aalders Bloemist;;;;;;;;;1;1
Alexander Hotel B.V.;1;;;;;;;;;1
Ali Hekman coach enreïntegratiedeskundige;;;;;;1;;;;1
Allea SPRL;;;;;;1;;;;1
Alpha Talen;;;;;;1;;;;1
Amaze Escape Events;1;;;1;;;1;;;1
Ameland Adventure;;;;1;;;;;;1
Amersfoort Events;;;;;;;1;;;1
Amsterdam Boats B.V.;;;;1;;;;;;1
Amsterdams ADR Instituut B.V.;;;;;;2;;;;2
Amsterdamse Carrière Dagen;;;;;1;;;;;1
Amsterdamse Watertaxi Centrale B.V.;;;;;;;;;1;1
Andermanskeuken;;;;1;;;;;;1
Andriessen & Partners B.V.;;;;;;1;;;;1
Anker & Kompas;;;;;;1;;;;1
Anneke Aikema, Psycholoog;;;;;;;1;;;1
Anno 1610;;;;1;;;;;;1
Antea Nederland B.V.;;;1;;;;;;;1
Antropia B.V.;;;;1;;;;;;1
AOAC Lowlands;;;;;;;;;1;1
AOG Contractonderwijs B.V.;1;;;;;4;;;1;4
Aon Hewitt Nederland C.V.;;;1;;;;;;;1
AORTA Bi Solutions B.V.;;;;;;2;;;;2
Apartt Rotterdam Horeca B.V.;;;;;;;;;1;1
Apollo Hotel Almere City Centre;1;;;;;;;;;1
Apollo Hotel Zaltbommel;;;;;;;;;1;1
Applied Maths N.V.;;;;;;1;;;;1
Applique;2;;;;;;;;;2
Arab. Translation Service;;;;;;;1;;;1
Arbo Unie;;;1;;;;;;;1
Arbo Unie B.V.;;;1;;;;;;;1
Arbo Unie Gouda;;;1;;;;;;;1
Arbo Unie Landelijk Bedirjfsbureau;;;1;;;;;;;1
ArboVitale B.V.;1;;7;;1;;;;;7
ARCADIS Nederland;;;;;;;;;2;2
Arcgis Gebruikersgroep Nederland;;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;;;4;;;;4
Ardis Organisatieontwikkeling B.V.;;;;;;2;;;;2
Arenda Oomen Fotografie;;;;1;;;;;;1
Arie Meulepas Management & Advies;;;;;;;;;1;1
Ariola, Italiaanse delicatessen;;;;1;;;;;;1
Arnauld Geschenken B.V.;;;;1;;;;;;1
Art & Dining;;;;1;;;;;;1
Art 2 Advance;;;;;;1;;;;1
Art 4 You Decorations;;;;;1;;;;;1
Artishock Events & Marketing B.V.;;;;1;;;;;;1
Asociación de Exportadores (ADEX);;;;;;;;;1;1
Aspergehof Noordam V.O.F.;;;;1;;;;;;1
Ass. Par. d'Eleves du Lycee Fr. V. v. Gogh;;1;;;;;;;;1
Asseco Data Systems S.A.;;;;;;1;;;;1
Astoria B.V.;;;;1;;;;;;1
Astrid Spanjaardt Coaching;;;;;;1;;;;1
Astrid van Ruijven Training & Advies;;;;;;1;;;;1
AstroTec Holding B.V.;;;;;;1;;;;1
At Computing B.V.;;;;;;1;;;;1
Atelier de Beleving;;;;1;;;;;;1
Atelier de Muze;;;;1;;;;;;1
Athena Positionering BV;;;;;;1;;;;1
Athene Palace B.V.;;;;1;;;;;;1
Athlon Car Lease Nederland;1;;;;;;;;;1
ATIM Opleidingen B.V.;;;;;;1;;;;1
Atos Nederland B.V.;4;;;;;5;;;;6
ATP Business Travel B.V.;;;;;;;;;4;4
ATP Specials B.V.;;;;;;;;;2;2
Atradius Dutch State Business N.V.;;;;;;1;;;;1
Auditconnect B.V.;;;;;;2;;;;2
Automotive Publishing B.V.;;;;;;1;;;1;1
AutomotiveNL B.V.;;;;;;;;;1;1
Autoverhuurbedrijf Ad Rem B.V.;;;;;;;;;1;1
Avans Hogeschool B.V.;;;;;;1;;;;1
Avans Hogeschool MB B.V.;;;;;;2;;;;2
Avans plus;;;;;;1;;;;1
A-Way Events & Wellness B.V.;;;;1;;;;;;1
Axion Transformatie & Coaching;;;;;;1;;;;1
Ayers Rock Island B.V.;;;;1;;;;;;1
B & T Productions;;;;1;;;;;;1
B.V. Panorama Mesdag;;;;;;;1;;1;1
B+B Vakmedianet B.V.;;;;;;2;;;;2
Babel Taleninstituut BV;;;;;;1;;;;1
BAB-VIOS Touringcars B.V.;;;;;;;;;1;1
Babycompany.nl;;;;1;;;;;;1
Back to Balance - training en advies;;;;;;1;;;;1
Baker Tilly Berk Den Haag;4;;;;;;;;;4
Bakker & Schnabel;;;;;;1;;;;1
Bakker & Schnabel B.V.;1;;;;;;;;;1
Bakker in Vorden;;;;1;;;;;;1
Bakkerij Blanche;;;;1;;;;;;1
Bakkerij Elsevier;;;;;;1;;;;1
Bakkerij Filius;;;;;;1;;;1;1
Bakkerij Schuurmans;;;;;;;1;;;1
Bakkerij Spanjer;;;;1;;;;;;1
Balanced Business Network (BBN);;;;;;1;;;;1
Ballonnenpartners;;;;;;;1;;;1
Bami Kwa;;;;1;;;;;;1
Ban Personeelsdiensten B.V.;;;;;3;;;;;3
Bandra Beheer B.V.;;;;1;;;;;;1
Banketbakkerij Boheemen;;;;1;;;1;;1;1
Banketbakkerij Borgman;;;;1;;;1;;;1
Banketbakkerij en Chocolaterie Wesseling B.V.;;;;1;;;1;;;1
Banketbakkerij Gosselaar;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
Banketbakkerij Mekking B.V.;;;;1;;;;;;1
Banketbakkerij Nijstad;;;;1;;;;;;1
Banketbakkerij Plasman;;;;1;;;;;;1
Banketbakkerij Rodenburg B.V.;;;;1;;;;;;1
Banketbakkerij Steentjes V.O.F.;;;;;;;;;1;1
Banketbakkerij Timmerman;;;;1;;;;;;1
Banketbakkerij-Chocolaterie Lentelink;;;;1;;;;;;1
Banketbakkerij-Salon De Thee 'Christiaan';;;;1;;;;;;1
Bar Bodega Cervantes;;;;1;;;;;;1
Bar Le Duc;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;;1;;;1;;;1
Bar-Bistro De Rode Kater;;;;1;;;;;;1
Barcelo Congresos BCN;;;;;;1;;;;1
Bart Smit BV;;;;1;;;;;;1
Bart van Vliet Freelance Fotograaf;;;;1;1;;;;;1
Basaal;;;;1;;;;;;1
Basilica Maastricht B.V.;;;;;;;;;1;1
Bastiaanse Communication Holding B.V.;;;;;;1;;;;1
Bastion Holding B.V.;;;;;;;;;1;1
Bastion Hotel Maastricht B.V.;1;;;;;;;;;1
BB Coaching;;;1;;;;;;;1
Beach Stadium B.V.;;;;2;;;;;;2
Beachclub Titus B.V.;;;;;;;1;;;1
BEANWORKS SEEDS & GRAINS;;;;;;;;;1;1
Beatex;;;;;;;;;1;1
Bed and Breakfast De Berkenhoof;;;;;;1;;;;1
Beekman Opleiding & Advies;;;;;;2;;;;2
Being in Business B.V.;;;;;;1;;;;1
BELAB vzw;;;;;;;;;1;1
Belangenver. Bedrijfshulpverlening Nederland;;;;;;1;;;;1
Beleving aan zee;;;;1;;;1;;;1
Belgian Wildlife Disease Society;;;;;;;;;1;1
Belgisch Biercafé Olivier B.V.;;;;1;;;;;;1
Benny de Koning;;;;;;;1;;;1
Ber.ver. v. Nederl. Stedeb.kund. & Planologen;;;;1;;;;;;1
Berenschot B.V.;;;;1;;1;;;;1
Berenschot Groep B.V.;;;;;;2;;;;2
Berenschot Groep BV;;;;;;1;;;;1
Berghauser Pont Academy B.V.;;;;;;1;;;;1
Berhan Engineering Plc;;;;;;;;;1;1
Berkman Energie Service BV;1;;;;;;;;;1
Beroepsvereniging Vide;;;;;;1;;;1;1
Berrico Foodcompany B.V.;;;;;;;;;1;1
Bert Hellinger Instituut Nederland;;;;;;;;;1;1
Bert van Dijk B.V.;;;;;;1;;;;1
Best Western Hotel;;;;;;;;;1;1
Best western plus cityhotel;1;;;;;;;;;1
Bestuursacademie Nederland;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;;;2
Beter Opleidingen;;;;;;1;;;;1
Betty Wijntjes, coach loopbaan en ontwikkel.;;;;;;1;;;;1
Beuk Touringcars;1;;;;;;;;;1
Beukeveld Echte bakker;;;;1;;;;;;1
Beurs van Berlage C.V.;;;;2;;;;;;2
Bezemer Kuiper & Schubad B.V.;;;;;;1;;;;1
BIC - EURONOVA, S.A;;;;;;;;;1;1
Biesenhof Horeca;;;;1;;;;;;1
Bij Broeders;;;;1;;;;;;1
Bij Jansen Groningen bv;;;;1;;;;;;1
BIJ12;;;;;;1;;;;1
Bijl Praktijk psycho sociaal advies/hulpvrl.;;;;;1;;;;;1
BijzonderStrafrecht B.V.;;;;;;1;;;1;1
Bilderberg Europa Hotel Scheveningen;1;;;;;;;;;1
Bilderberg Grand Hotel Wientjes;1;;;2;;;;;;2
Binn'npret;;;;;;1;;;;1
BIOPOLUS Technologies Inc.;;;;;;;;;1;1
Biosimilars & gen. geneesmiddelindustrie Ned.;;;;;;1;;;;1
Bison Bowling;;;;1;;;;;;1
Bistro De Holterberg B.V.;;;;1;;;;;;1
Bistrot de la Place;;;;1;;;;;;1
Bites & Stories;;;;1;;;;;;1
Blij Lunch & Borrelroom;;;;1;;;;;;1
Bloemberg Communicatie;;;;;;1;;;;1
Bloemenboetiek Abutilon;;;;1;;;;;;1
Bloemenmagazijn Fredy;;;;1;;;;;;1
Bloemimex B.V.;;;;1;;;;;;1
Bloemstylist Hans Zijlstra;;;;1;;;;;;1
Blokland Agrarische Administratie & Advies;;;;;;;;;1;1
Blomberg Instituut B.V.;;;;;;1;;;;1
Blommie's Business;;;;;;1;;;;1
BLOSSOM bloemisterij;;;;1;;;;;;1
Blue Pelican Sustainability Services;;;;;;1;;;;1
blueriq;;;;;;1;;;;1
Bluevents B.V.;;;;1;;;;;;1
BMC Advies B.V.;;;;;2;1;;;;2
Boccaccio Botega Toscana;;;;1;;;;;;1
Bodenverwertungs-und-verwaltungs GmbH;;;;;;;;;1;1
Bodo Aretz;;;;;;;;;1;1
Boekhandel Van Stockum Belinfante & Coebergh;;;;;;1;;;;1
Boertien Vergouwen Overduin B.V.;;;;;;2;;;;2
Bofit Burnout begeleiding en Stressmanagement;;;1;;;;;;;1
Boks-Sportvereniging 'Assen';;;;1;;;;;;1
Bolten Training en Advies;;;;;;1;;;;1
Bon Vivant B.V.;;;;1;;;;;;1
Bongers & Partners B.V.;;;;;;1;;;;1
Bookboon Corporate;;;;;;1;;;;1
Boost Events;;;;1;;;;;;1
Boot 10 Amsterdam B.V.;;;;;;;1;;;1
Bootcamp Club VET;;;;1;;;;;;1
Borg Projecten Detachering B.V.;;;;;1;1;;;;1
Bos & Bos Catering TT B.V.;;;;;;;;;1;1
Boterwaag Den Haag B.V.;;;;1;;;;;;1
Bouwend Nederland;;;;;;;;;1;1
Bouwkunde;;;;1;;;;;;1
Bouwrijp;;;;;;1;;;;1
Bowling- en Partycentrum Westerpark B.V.;;;;1;;;;;;1
Brasserie Buitenhof;;;;;;;1;;;1
Brasserie Du Chateau;;;;1;;;;;;1
Brasserie Elisabeth;;;;1;;;;;;1
Brasserie Groen;;;;1;;;;;;1
Brasserie Heerlijkheid;;;;1;;;;;;1
Brasserie NL;;;;1;;;;;;1
Brasserie Sequenza;;;;;;;1;;;1
Brasserie Soho B.V.;;;;1;;;1;;;1
Brasserie 't Zusje Scheveningen B.V.;;;;1;;;;;;1
Break-Out Gruno Park B.V.;;;;1;;;;;;1
Bridge2learn;;;;;;1;;;;1
Bright Caliber;;;;;;1;;;;1
Bright Events;;;;2;;;;;;2
Bright Now;;;;;1;1;;;;1
Brisk Advies;;;;;;1;;;;1
Broers;;;;1;;;;;;1
Brood Banket Bakkerij Haafs;;;;1;;;;;;1
Brood- en banketbakkerij J.W. Blom B.V.;;;;;;;1;;;1
Brood- en Banketbakkerij van Voorthuizen;;;;1;;;;;;1
Broos Water B.V.;;;;;;1;;;;1
Bruggink Communicatie Support;;;;;;1;;;;1
Brughotel Amsterdam A4 B.V.;1;;;;;;;;;1
Brussels Lof;;;;1;;;;;;1
Brussels School of Competition Foundation;;;;;;1;;;;1
BRW B.V.;;;;;;1;;;;1
Brw Groep B.V.;;;;;;1;;;;1
BTC Twente Beheer B.V.;;;;;;;;;1;1
Buck's BBQ House;;;;1;;;;;;1
Buddhi B.V.;;;;;;1;;;;1
BUDO in business;;;;;;1;;;;1
Buitengewoon Events!;;;;1;;;;;;1
Bundesamt für Verbraucherschutz und Lebensmittelsicherheit.;;;;;;;;;1;1
Bundeskasse Trier;;;;;;;;;1;1
Bur. Man. & Org. ir. F.M.M. v. Iersel B.V.;;;;;;1;;;;1
Bureau Beweeglijk;;;;;;1;;;;1
Bureau Beysterveld;;;;;;2;;;;2
Bureau Drift;;;;1;;;;;;1
Bureau Edixhoven Training & Advies;;;;;;;1;;;1
Bureau G.I.T.;;;;;;1;;;;1
Bureau NegentigTien;;;;;;1;;;;1
Bureau Spraakwater;;;;;;1;;;;1
Bureau Takako Kondo;;;;;;1;;;;1
Bureau Telecommunicatie en Post;1;;;;;;;;;1
Bureau Tromp B.V.;;;;;;1;;;;1
Bureau van Es;;;;;;1;;;;1
Bureau voor coaching training ensupervisie Nelly Hazen;;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;;3;;;;3
Bureautaal B.V.;;;;;;1;;;;1
Burger Coaching & Advies;;;;;;1;;;;1
Burn Out Poli;;;;;;1;;;;1
Buro Brand Visuele Communicatie;;;;1;;;;;;1
Buro Vonkstof;;;;;;1;;;1;1
Buro Wittenburg Beheer B.V.;;;;;;1;;;;1
Buzz Events;;;;1;;;;;;1
BuzzMaster B.V.;;;;1;;;;;;1
Bvolve B.V.;;;;;;1;;;;1
C. Herbert;;;;1;;;;;;1
C.D. Rippen;;;;;;1;;;;1
C.I.V.A.S. B.V.;;;;;;1;;;;1
Cadeau Company;;;;1;;;;;;1
Café Bar Petit-Restaurant 't Far;;;;1;;;;;1;1
Cafe Berger;1;;;;;;;;;1
Café Bolhuis;;;;1;;;;;;1
Cafe BUCK SHOT;;;;1;;;;;;1
Café De Lanteern B.V.;;;;1;;;;;;1
Café de Malle Meid;;;;1;;;;;;1
Café 'de Oude Wacht';;;;1;;;;;;1
Café de Roeter;;;;1;;;;;;1
Cafe de Toeter;;;;1;;;;;;1
Café 'De Wolthoorn';;;;1;;;;;;1
Café Het Oude Pakhuis;;;;;;;;;1;1
Café Mano;;;;1;;;;;;1
Café Restaurant Courzand;;;;1;;;;;;1
Café Restaurant 'De Nynke Pleats';;;;1;;;;;;1
Café Restaurant Huis de Beurs;;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;;1;;;1;;1;1
cafe tappa;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;1;;1;1
Café/Restaurant 'De Zwarte Ruiter';;;;1;;;;;;1
Café-Brasserie Diggels;;;;1;;;;;1;1
Café-Restaurant Amier;;;;1;;;;;;1
Café-Restaurant Campman B.V.;;;;1;;;;;;1
Café-Restaurant 'De Burcht';;;;1;;;;;;1
Café-Restaurant de V;;;;1;;;;;;1
Café-Restaurant 'Grenszicht';;;;1;;;;;;1
Café-Restaurant Smit;;;;1;;;;;;1
Café-Restaurant ''t Koetshuis';;;;1;;;;;;1
Cafetaria Friet van Piet;;;;1;;;;;;1
Campus Deltion College;;;;;;;1;;;1
Candy Shop;;;;1;;;;;;1
Canrinus Consultancy;;;;;;2;;;;2
Capgemini Educational Services B.V.;;;;;;1;;;;1
Capgemini Nederland B.V.;;;1;;;2;;;;2
Capilla;;;;;;1;;;;1
CapitalP B.V.;4;;;;;;;;;4
Capricio;;;;1;;;;;;1
CareerGuide;;;;;1;;;;;1
Carlson Wagonlit Nederland B.V.;1;;;;;;;;2;2
Carlton Ambassador Hotel B.V.;;;;1;;;;;;1
Carlton De Brug B.V.;1;;;;;;;;;1
Carlton Hotels Nederland B.V.;1;;;;;;;;;1
Carolia Amsterdam Hotel B.V.;;;;;;;1;;;1
Caseware Idea B.V.;;;;;;1;;;;1
Catering Witteveen B.V.;;;;1;;;;;;1
Cateringtools;;;;1;;;;;;1
Cefic;;;;;;;;;1;1
CEN AISBL;;;;;;1;;;;1
Centaur Consulting;;;;;;1;;;;1
Center for ECOintention;;;;;;1;;;;1
Centraal Invorderings Bureau B.V.;;;;;;;;;1;1
Centrale Wapenhandel Dorhout Mees B.V.;;;;1;;;;;;1
Centre de Cours Alliance Française de La Haye;;;;;;1;;;;1
Centre for European Policy Studies CEPS;;;;;;1;;;;1
CENTRE FOR POLICING AND SECURITY VZW;;;;;;1;;;;1
Centric Training;;;;;;2;;;;2
Centrum Permanente Educatie;;;;;;1;;;;1
Cesar Moerman Communicatie;;;;;;1;;;;1
Chai Coaching;;;;;;1;;;;1
Chair of the UN Secretary General’s Advisory Board on Water and Sanitation;;;;;;;;;1;1
Chance for Buildings;;;;;;;;;1;1
Chatham House Enterprises Limited;;;;;;1;;;;1
Chelton Hotel;1;;;;;;;;;1
China Garden B.V.;;;;1;;;;;;1
Chinees Indisch Restaurant Fong Shou;;;;1;;;;;;1
Chinees Indisch Restaurant Tai Soen;;;;;;;1;;;1
Chinees Restaurant 'Paradijs';;;;;;1;;;1;1
Chinees-Indisch Restaurant 'Jasmijn';;;;1;;;;;;1
Chip Bizz B.V.;;;;;;;;;1;1
Chomicha;;;;1;;;;;;1
Chorda B.V.;;;;;;1;;;;1
Christelijke Hogeschool Windesheim;;;;;;1;;;;1
Ciao! Ciao! B.V.;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;2;;;;2
Cibit Beheer B.V.;;;;;;1;;;;1
CIBT Visumdienst B.V.;;;;;;;;;1;1
Ciran Maastricht;;;1;;;;;;;1
"Circumference; Pers. & Prof. Development";;;;;;1;;;;1
Cisco Systems Capital Netherlands B.V.;;;;;;1;;;;1
Citigate First Financial B.V.;;;;;;1;;;;1
City Safari B.V.;;;;;;;1;;;1
Citygameshop B.V.;;;;1;;;;;;1
Citylife B.V.;;;;1;;;;;;1
CL Venture Partners B.V.;;;;;;;;;1;1
Clean Fuels B.V.;;;;;;;;;1;1
Clear Conduct B.V.;;;;;;1;;;;1
ClearDynamics;;;;;;1;;;;1
Climate Neutral Group BV;;;;;;;;;1;1
Clip;;;;;;1;;;;1
CLJ;;;;1;;;;;;1
Cloose;;;;1;;;1;;1;1
clothing connect B.V.;;;;;;;;;1;1
Clou, voor Marketing, Informatie en Research;;;;;;;;;1;1
CLS Computertrainingen;;;;;;1;;;;1
CMB Badhoevedorp;;;;;;;;;1;1
CNV Jongeren;;;;;;1;;;;1
Coachboulevard Administratie B.V.;;;;;;1;;;;1
Coachboulevard B.V.;;;;;;1;;;;1
Coaching Development Ltd.;;;;;;1;;;;1
CoachNetwerk B.V.;;;;;;2;;;;2
CODA-CERVA;;;;;;1;;;;1
Cohencia B.V.;;;;;;1;;;;1
Collect Car B.V.;;;;;;;;;1;1
College of Multimedia;;;;;;1;;;;1
Colors Worldfood;;;;1;;;;;;1
Commissariat Energie Atomique, Energies Alternatives (CEA);;;;;;;;;1;1
Common Eye B.V.;;;;;;1;;;;1
Communicatiebureau De Walvis;;;;;;1;;;;1
Compass Group Nederland B.V.;;;;1;;1;1;;;1
Compernolle Consulting;;;;;;1;;;;1
Competence Factory;;;;;;1;;;;1
Compu Act Opleidingen B.V.;;;;;;1;;;;1
Compu'Train;;;;;;3;;;;3
Compu'Train Opleidingen B.V.;;;;;;1;;;;1
ConforTaxi;1;;;;;;;;;1
Congress & Meeting Services Holland B.V.;;;;;;;;;1;1
Congress Company B.V.;;;;;;;;;1;1
Congruent Managementsupport;;;;;;1;;;;1
Connecting Colours B.V.;;;;;;1;;;;1
Connexxion Taxi Services B.V.;;;;;;;;;1;1
Consenza Training;;;;;;1;;;;1
Conservat. Fin. International Coöperatief UA;;;;;;2;;;;2
Conveno B.V.;;;;;;1;;;;1
Conveno Beheer B.V.;;;;;;2;;;;2
Coöperatie De Betekenaar UA;;;;;;1;;;;1
Coöperatie 'Neptunus' UA;;;;;;;;;1;1
Coopmans Interim- en Projectmanagement;;;;;;;;;1;1
Coosto B.V.;;;;;;1;;;;1
Coosto Holding B.V.;;;;;;1;;;;1
Core Commit;;;;;;1;;;;1
Corinor Persoonlijkeontwikkeling B.V.;;;;;;1;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;;1;;;1;1
Costuummagazijn A.T. de Wit B.V.;;;;1;;;;;;1
Crawfield;;;;;;1;;;;1
Crazy Holding;;;;1;;;;;;1
Crazy Piano's Scheveningen B.V.;;;;2;;;;;;2
CRESSE European Executive Summer School;;;;;;1;;;;1
Crisisplan B.V.;;;;;;1;;;;1
CRKL V.O.F.;;;;;;1;;;;1
CRMwereld;;;;;;1;;;;1
Crown Hotel;;;;;;;;;1;1
Crowne Plaza Hotel;;;;;;;;;1;1
CT Tran;;;;;;;;;1;1
Cucina Italiana;;;;1;;;;;;1
Cuisine@yourhome;;;;;;;1;;;1
Culpepper B.V.;;;;1;;;;;;1
Cunados Horeca B.V.;;;;;;;1;;;1
Cuny Berkhout Praktijk voor Zijnsorientatie;;;;;;1;;;;1
Custodis IT Security Solutions;;;;;;2;;;;2
D.E.A. Events;;;;1;;;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;;1;;;;1
Da Carlo;;;;1;;;;;;1
Da Mauro;;;;1;;;;;;1
Daarnhouwer & Co. B.V.;;;;;;;;;1;1
Dacajami B.V.;;;;;;3;;;;3
Dajemi B.V.;;;;1;;;;;;1
Dalstra Reizen;;;;1;;;;;;1
DAM Nederland B.V.;;;;;;;;;1;1
Dames & Heren Culinair Cafe;;;;1;;;;;;1
DARA B.V.;;;;1;;;;;;1
DASMO-TPAST B.V.;;;;;;1;;;;1
DataExpert B.V.;;;;;;2;;;;2
D-Creator;;;;;;1;;;;1
de  l'Association des Instituts Européens de Conjoncture Economique (AIECE);;;;;;1;;;;1
De Baak Administratie;;;;;;3;;;1;3
De Baak B.V.;;;;;;2;;;;2
de Baak Management Centrum;;;;;;2;;;;2
De Bakkerswinkel;;;;;;;;;1;1
De Beat;;;;;;;1;;;1
De Bengel Eindhoven;;;;1;;;;;;1
De Betere Tijden;;;;1;;;;;;1
De Bierelier B.V.;1;;;1;;;1;;1;1
De Boer & Ritsema van Eck;1;;;;;;;;;1
De Boer Milieu Opleidingen;;;;;;1;;;;1
De Borrelfabriek B.V.;;;;2;;;;;;2
De Breed & Partners B.V.;;;;;;;;;1;1
De Buitenpoort;;;;1;;;;;;1
De Corridor;;;;;;;;;1;1
De Doofpot;;;;1;;;;;;1
De Drijvende Kracht;;;;;;1;;;;1
De Expeditie Hut B.V.;;;;1;;;;;;1
De Ferrante Secretariaten en Opleidingen B.V.;;;;;;2;;;;2
De Grachthof B.V.;;;;1;;;;;;1
De Groenhof Optiek B.V.;;;1;;;;;;;1
De Haagsche Reclamewinkel;;;;1;;;;;;1
De Haarbroekse Vijvertuin;;;;1;;;;;;1
De Harmonie B.V.;;;;1;;;;;;1
De Hip;;;;1;;;;;;1
De Horeca Academie Zakelijk B.V.;;;;1;;;;;1;1
De Jongens uit Schoorl;;;;1;;;;;;1
De Kiewiet's Hoeve;;;;1;;;;;;1
De Kleurenverdieping;;;;;1;;;;;1
De Koning;;;;1;;;;;;1
De Kookfabriek Den Haag B.V.;;;;;;;1;;;1
De kookstudio van Zwolle;;;;1;;;;;;1
De Koperen Hoogte;;;;2;;;;;;2
De Korenbeurs;;;;;;1;1;;;1
De Kriekeput;;;;1;;;;;;1
De Lange Muur;;;;1;;;;;;1
De Lof der Zotheid (Breitner);;;;1;;;;;;1
De Merkplaats B.V.;;;;;;1;;;;1
De Mooij V.O.F. Advis. v. Mens en Organisatie;;;;;;1;;;;1
De Moor Tekst & Uitleg;;;;;;1;;;;1
De Nonnen in Vught;;;;;;2;;;;2
De Ooievaar Beheer;;;;;;;1;;;1
De Oude Drentse Boerenherberg;;;;1;;;;;;1
De Overburen;;;;1;;;;;;1
De Pandoer B.V.;;;;1;;;;;;1
De Peelkiosk;;;;;;1;;;;1
de Persgroep Nederland B.V.;;;;1;;;;;1;1
De Poort van Kleef Utrecht B.V.;;;;1;;;1;;1;1
De Roos Fulfilment;;;;1;;;;;;1
De Roos Geschenken B.V.;;;;1;;;;;;1
De Rozijnenkorf;;;;1;;;;;;1
De Ruijter Strategie B.V.;;;;;;2;;;;2
De Secretaresse Trainer;;;;;;1;;;;1
De Sleutel Adviesbureau;;;;;;1;;;;1
De Smelt B.V.;;;;1;;;;;;1
De Stroper Dordt B.V.;;;;1;;;;;;1
De Taalcoach;;;;;;1;;;;1
De Tombe Consultancy B.V.;;;1;;;2;;;;2
De Utrechtse Haven B.V.;;;;1;;;;;;1
De Veldkeuken;;;;1;;;;;;1
De Vlaamsche Reus B.V.;;;;1;;;;;;1
De Vrijstad;;;;;;;;;1;1
De Waterreus;;;;1;;;;;;1
