Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Buro De Plooi;;;1;;;;;1
bvolve;;;;;;1;;1
Capgemini N.V.;;;;;;2;;2
Capgemini Nederland B.V.;4;;;;;2;;4
Cebeon Centr. Beleidsadviserend Onderz. B.V.;;;1;;;;;1
CGI Nederland B.V.(Logica Ned.B.V.);;;;;;2;;2
Charles River Laboratories Den Bosch B.V.;;;2;;;;;2
Chiel Bos Advies;;;2;;;;;2
CIIO B.V.;;;2;;;;;2
Cimsolutions;;;;;;3;;3
Cinop Advies B.V.;3;;;;;;;3
Clarijs Consult;2;;;;;;;2
Clear Conduct B.V.;;;2;;;;;2
CM Online B.V.;;;;;;1;;1
Com-DT;;;;1;;;;1
Common Eye B.V.;2;;;;;;;2
ConsultingKids;;;2;;;;;2
CQT Zorg & Gezondheid B.V.;4;;3;;;;;4
D & A Medical Group B.V.;;1;;;;;;1
D JONKER;;;1;;;;;1
De Jonge Specialist;2;;;;;;;2
De Netwachters;;;1;;;;;1
De Regelaar;2;;;;;;;2
De webrealist & Tot kijk voor webredactie;1;;;;;;;1
Deloitte Accountancy & Advies B.V.;2;;;;;;;2
Deloitte Accountants B.V.;1;;;;;;2;2
Deloitte Consulting B.V.;2;;;;;;;2
Deloitte Financial Advisory Services B.V.;;;2;;;;;2
Denkschets.nl;;;;1;;;;1
Desan Marktonderzoek B.V.;;;;;;1;;1
Di-AcetylM B.V.;7;;;;;;;7
Direct Research B.V.;;1;;;;;;1
DIVERSION Holding B.V.;2;;3;;;;;3
Docfactory B.V.;2;;;;;;;2
DPI Animation House B.V.;;;;2;;;;2
DSP-Groep B.V.;;;2;;;;;2
Dwarslaesie Organisatie Nederland;1;;;;;;;1
Edwin Evers Band B.V.;1;;;;;;;1
Effectory Publieksmonitor B.V.;1;;;;;;;1
Eiffel B.V.;;;;;2;;;2
EMC Advies B.V.;;2;;;;;;2
Equa;;;;;;1;;1
Ernst & Young Accountants LLP;7;;;;;;3;7
ESK Advies;;;;1;;;;1
everywhereIM;;;2;;;;;2
Face Two B.V.;2;;;;;;;2
Federatie Nederlandse Vakbeweging;;;1;;;;;1
FMMU B.V.;4;;;;;;;4
Fox-IT;;;1;;;;;1
Gartner Nederland B.V.;;;;;;4;;4
Geel;;;1;;;;;1
Geodan B.V.;1;;;;;;;1
Gezonde Stad Advies;;;3;;;;;3
Goldmund, Wyldebeast & Wunderliebe B.V.;2;;;;;;;2
G-SPORT;;;1;;;;;1
GW Agency;1;;;;;;;1
H. van Moorsel Advies;;;;;;;1;1
Haai B.V.;2;;;1;;;;2
HeadFirst B.V.;;;;;;2;;2
Heroth B.V.;;;;;;3;;3
Hoeksma, Homans & Menting Organisat.adv. B.V.;5;;;;;;;5
Hogeschool Windesheim;;;1;;;;;1
Hollandse Hoogte B.V.;;;;1;;;;1
Hooftman Consultancy;2;;2;;;;;2
Hotel Contact B.V.;2;;;;;;;2
I & O Research B.V.;;;3;;;;;3
ICF Consulting Services;;;2;;;;;2
IHRA Permanent Office;2;;;;;;;2
In2Content B.V.;;;1;2;;;;2
in60seconds B.V.;;;;2;;;;2
Inbo;;;1;;;;;1
Informatiebeveiliging Nederland B.V.;;;;;;2;;2
Ingrid Brons Tekst en Training;2;;;;;;;2
Innovero Software Solutions B.V.;;;2;;;;;2
Instituut voor Publieke Waarden B.V.;2;;2;;;;;3
Intraval, Buro voor Onderzoek & Advies;4;;;;;;;4
iQ-events B.V.;2;;;;;;;2
iQibt B.V.;1;;;;;;;1
Iron Mountain Nederland B.V.;;;1;;;;;1
J.B. Lorenz B.V.;3;;3;;;;;4
James MacPherson;2;;;;;;;2
Jeroen Poortvliet Fotografie;1;;;;;;;1
Jeugdzorg Advies Dronkers;1;;;;;;;1
Joh. Enschedé Facilities B.V.;3;;;;;;;3
Jongvws, Verenig. voor Jonge VWS-Medewerkers;;;1;;;;;1
Joris Fiselier Infographics;;;1;1;;;;1
Just B.V.;;;;2;;;;2
JVDT B.V.;;;;2;;;;2
Karel van den Bosch - Federaal Planbureau;;;1;;;;;1
KBO-PCOB;2;;;;;;;2
Kees Kaptein Teksten;;;1;1;;;;1
KNMP;;;;;;1;;1
KNMP Holding B.V.;1;;;;;;;1
KPMG Advisory N.V.;4;;5;;;3;;6
KPMG Audit;2;;;;;;;2
krijn van beek;;;1;;;;;1
Kris Kras context, content and design;;;;1;;;;1
Kwalit.instit. van Medisch Specialisten B.V.;2;;;;;;;2
Kwink Groep B.V.;2;;;;;;;2
Land. Ver. van Vrijg. Psychol. & Psychother.;;;2;;;;;2
Lapidair Teksten;;;;1;;;;1
Laurie Ickenroth Strategisch Adviseur;2;;;;;;;2
Lloyd's Register Nederland B.V.;1;;;;;;;1
Loekintofood;;;3;;;;;3
Logeion;;;;1;;;;1
Logistiek Optima Forma (L.O.F.) B.V.;1;;;;;;;1
Maartje Eigeman;;;2;;;;;2
Mabuhay Business;;;1;;;;;1
Margo Weerts - Verbinden & Vernieuwen;2;;;;;;;2
Marketresponse Nederland B.V.;;;;3;;;;3
MarketResponse Nederland Bv;;;;;;2;;2
Marleens Bureau;;;;1;;;;1
Marlies Jansen Advies;;;2;;;;;2
Mediavrouw;;;;1;;;;1
Merhawi Fessehazion onderzoek;;;2;;;;;2
Metaregistrar B.V.;;;;;;1;;1
Mier Entertainment;1;;;;;;;1
MMS Communications;;;;2;;;;2
Mproof Beheer B.V.;;;;;;1;;1
NATIONAL HEALTH INSURANCE FUND;2;;;;;;;2
Nationale Beeldbank B.V.;;;;1;;;;1
Nationale Jeugdraad (NJR);;;2;;;;;2
Navita Cultuurhistorisch onderzoek;1;;;;;;;1
Ned. Federatie van Univers. Medische Centra;2;;;;;;;2
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;2;;2;;;;;2
Nederl. Vereniging van praktijkondersteuners;;;;;;1;;1
Nederlands Instituut van Psychologen;;;4;;;;;4
Nederlandse Diabetes Federatie;2;;;;;;;2
Nederlandse Stomavereniging;2;;;;;;;2
NedFac B.V. (NCOI / PRAEHEP en Computrain);;;;;;1;;1
Neo & Co;;;;1;;;;1
Net2Legal Consultants;;;2;;;;;2
NetSolid;;;;1;;;;1
Netwerk van Organisaties van Oudere Migranten;2;;;;;;;2
Networking4all B.V.;1;;;;;;;1
Nivel;;;3;;;;;3
Nivel B.V.;;;1;;;;;1
Noordhoff Uitgevers;1;;;;;;;1
Noto Services B.V.;;;2;;;;;2
Nuffic;;;;;;1;;1
Nysingh Advocaten-Notarissen N.V.;1;;;;;;;1
Oasis Data & Document Management Netherlands;;;2;;;;;2
Ockham Groep B.V.;;;;;;3;;3
Odyssey Hotel Breda B.V.;1;;;;;;;1
Omnicom Public Relations Group B.V.;;;;1;;;;1
OmnicomMediaGroup Nederland B.V.;;;;2;;;;2
Onderzoeksbureau Labyrinth B.V.;;;6;;;;;6
Onestopsourcing B.V.;;;;;;2;;2
Optima Forma B.V.;1;;2;;;;;2
Ordina Beheer & Outsourcing;5;;;;;4;;5
Ordina Nederland B.V.;3;;;;;;;3
P. Peters Bloemenhal B.V.;1;;;;;;;1
Pallas health research and consultancy B.V.;;;3;;;;;3
Panteia B.V.;5;;5;;;;;6
Paragon Customer Communications Netherl. B.V.;;;2;;;;;2
Partners in Jeugdbeleid B.V.;2;;;;;;;2
PBLQ B.V.;3;;2;;;;;3
PCA Zorg & ICT B.V.;2;;;;;;;2
Phaos Advies B.V.;;;;;;1;;1
Phil Nijhuis Fotografie;;;;1;;;;1
PricewaterhouseCoopers Accountants N.V.;;;;;;2;;2
Prismant B.V.;5;;6;;;;;7
PubliContact B.V.;;;;;;3;;3
Publistat B.V.;;;2;;;;;2
PWC - Pricewaterhouse Coopers;;;3;;;;;3
QA Sourcing B.V.;;;;;;4;;4
Quanta NPM;;;1;;;;;1
ReadSpeaker B.V.;1;;;;;;;1
Rebel Economics & Transactions B.V.;;;1;;;;;1
Regioplan;;;1;;;;;1
Regioplan Beleidsonderzoek B.V.;5;;2;;;;;5
Rene Verleg Fotografie;1;;;1;;;;1
RevelX Consulting B.V.;1;;;;;;;1
Sahraoui Productions;;;1;;;;;1
Santeon;;;1;;;;;1
Sardes B.V.;2;;;;;;;2
Sas Institute B.V.;;;;;;1;;1
Scenarios 4 Summits B.V.;4;;;;;;;4
Schuttelaar & Partners, Maatsch. Comm. B.V.;4;;3;;;;;4
Schutz Advies & Management;;;1;;;;;1
Schwandt Information Design;;;1;;;;;1
Seastarters B.V.;2;;;;;;;2
Secura B.V.;2;;;;;;;2
SeederDeBoer;;;;;;3;;3
Shakingtree Interventions;1;;;;;;;1
Significant B.V.;4;;2;;;;;4
Sigterman&;3;;;;;;;3
Simon Boerboom Harm Reduction and Psychiatry;;;;;1;;;1
Sira Consulting B.V.;;;2;;;;;2
SiRM Healthcare B.V.;;;4;;;;;4
SLTN IT Professionals B.V.;;;;;;1;;1
Software Improvement Group B.V.;2;;;;;;;2
Solid Sense B.V.;;;;;1;;;1
Sophia;;;1;;;;;1
Sophie Hospers coaching en advies;;;2;;;;;2
Specialisterren B.V.;;;;;;1;;1
St.Patientenzorg Nederlands Kanker Instituut;;;4;;;;;4
Stadscaf� De Observant;1;;;;;;;1
Sterra;;;;2;;;;2
STG JOODS HISTORISCH MUSEUM;1;;;;;;;1
Stg. Administratie Indonesische Pensioenen;1;;;;;;;1
Stg. Alexander, jongeren act. in onderz. bel.;;;1;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;4;;5;;;;;6
Stg. Fund for Exc. of the Royal Conservatoire;;;;1;;;;1
Stg. Instituut voor Verantw. Medicijngebruik;5;;;;;;;5
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;4;;4;;;;;5
Stg.TRIP Transf.-/transpl.react. in patiënten;4;;;;;;;4
Sticht. HAS KennisTransfer en Bedr.opleid.;2;;;;;;;2
Stichting Accessibility;;;;1;;;;1
Stichting Dutch Clinical Research Foundation;1;;2;;;;;2
Stichting Farmaceutische Kengetallen;6;;;;;;;6
Stichting fashion council NL;2;;;;;;;2
Stichting Federatie Opvang;2;;;;;;;2
Stichting Gedragscode Medische Hulpmiddelen;2;;;;;;;2
Stichting Health Valley Netherlands;;;2;;;;;2
Stichting Hogeschool van Arnhem en Nijmegen;1;;1;;;;;2
Stichting Humanitas;6;;;;;;;6
Stichting Ipse de Bruggen;;;1;;;;;1
Stichting JadeMO;5;;;;;;;5
Stichting Johan Cruyff Foundation;1;;;;;;;1
Stichting Kadera aanpak huiselijk geweld;1;;;;;;;1
Stichting Leer Zelf Online;;;1;;;;;1
Stichting Maastricht School of Management;;;1;;;;;1
Stichting Mantel der Liefde;2;;;;;;;2
Stichting Meedoen mogelijk maken;1;;;;;;;1
Stichting MOVISIE;;;1;;;;;1
Stichting NAHuis;1;;;;;;;1
Stichting Nationaal ICT Instituut in de Zorg;;;1;;;;;1
Stichting PGOsupport;8;;;;;;;8
Stichting Podium de Vorstin;1;;;;;;;1
Stichting portaal voor patientveiligheid/CMR;;;4;;;;;4
Stichting Pro Bowl;;;2;;;;;2
Stichting 's Heeren Loo Zorggroep;1;;;;;;;1
Stichting Schildklier Organisatie Nederland;2;;;;;;;2
Stichting SEO Economisch Onderzoek;2;;1;;;;;2
Stichting Stimulansz;;;2;;;;;2
Stichting The Faketory;1;;;;;;;1
Stichting Variatie op de Kaart;2;;;;;;;2
Stichting Vitavalley;;;2;;;;;2
Stichting Voor Werkende Ouders;;;1;;;;;1
Stichting W.J.H. Mulier Inst., Sportonderzoek;;;1;;;;;1
Stichting Waarborgfonds voor de Zorgsector;5;;;;;;;5
Stichting Zwolse Theaters;1;;;;;;;1
Suggestie & Illusie;;;;1;;;;1
Susanne Baars;2;;;;;;;2
Sz+;;;1;;;;;1
T2 Ontwerp B.V.;;;1;;;;;1
TD HVO-Querido;6;;;;;;;6
Teamacademy B.V.;;;;;;3;;3
Teklemariam;;;2;;;;;2
THE COMMONWEALTH FUND;3;;4;;;;;4
The Content Valley;;;1;;;;;1
The Energetic Agile Movement;;;;;;1;;1
Things To Make And Do B.V.;2;;;;;;;2
TNS Nipo B.V.;2;;2;;;;;3
Tony Sheldon;;;1;1;;;;1
Top Class Investment B.V.;2;;;;;;;2
Topdesk B.V.;;;;;;2;;2
Topgeschenken Nederland B.V.;1;;;;;;;1
TPDR advies;2;;;;;;;2
Transvision B.V.;11;;;;;;;11
Triskelion B.V.;;;2;;;;;2
TriviumAdvies B.V.;1;;;;;;;1
Two Kings B.V.;1;;;;;;;1
USG HR Professionals;;;;;;5;;5
Van der Mark Anti Decubitus Systemen;;;;;1;;;1
Van Kleef & Partners B.V.;;;;;1;;;1
Vanberkel Professionals B.V.;5;;;;;;;5
Vandoornehuiskes en Partners B.V.;;;1;;;;;1
VCD Healthcare B.V.;;;;;;1;;1
VDE Plant B.V.;1;;;;;;;1
Vektis Beheer B.V.;3;;3;;;;;4
Vendere Consultancy & Training B.V.;;;2;;;;;2
Ver. Landel. Sam.werk.verband Act. Bewoners;;;1;;;;;1
Verdonck, Klooster & Associates B.V.;;;;;;2;;2
Vereenigde Octrooibureaux N.V.;1;;;;;;;1
Verhelder;1;;;;;;;1
Verpleegkundigen & Verzorgenden Nederland;;;;;;1;;1
VH Juridisch Advies;;;;;;1;;1
Vitam;;;1;;;;;1
WagenaarHoes B.V.;;;;;;2;;2
WareKennis;;;2;;;;;2
Warpnet B.V.;;;;;;1;;1
Web Integration B.V.;;;;;;1;;1
Webhelp Nederland BV (SNT Nederland BV);;;;;;7;;7
Webmanagement.nl;;;;;;1;;1
Weer een Los;;;2;;;;;2
Wit Bestuurscommunicatie;;;;1;;;;1
Woonzorgcentr. Theresia/Thuiszrg Vughterstede;;;3;;;;;3
Worldmeetings;;;;;;1;;1
Yvonne Zonderop Journalistieke Producties;;;1;;;;;1
ZorgmarktAdvies;;;3;;;;;3
Zorgmarkten;;;3;;;;;3
Zorgweb B.V.;;;2;;;;;2
Eindtotaal;11;2;8;6;3;7;3;11
