Leveranciersnaam;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
SCHINKELSHOEK & VERHOOG B.V.;;;;;;2;2
SCHIPHOL NEDERLAND;;;;;2;;2
Schut-Copex B.V;;;;;1;;1
SCRUM COMPANY B.V.;;;;;;1;1
Sdu B.V.;;;;;1;;1
SDU UITGEVERS B.V.;;1;;;2;7;7
SEATS2MEET S HERTOGENBOSCH;;;;;1;;1
SEATS2MEET.COM UTRECHT;;;;;1;;1
SEBA CULTUURMANAGEMENT B.V.;;;;;1;;1
SECURITY AND BUSINESS INTELLIGENCE;;;;;1;;1
Security Press B.V.;;1;;;;;1
SEO ECONOMISCH ONDERZOEK;;;;;1;;1
SEODI WHITE;;;;;1;;1
Serenas Art Factory N.V.;;;;;;1;1
SILVER POND;;;;;1;;1
SIMEN GUDEVOLD;;;;;1;;1
SJAAK PAPPE;;;;;;2;2
SkyFoto;;;;;;1;1
Sligro B.V.;;;;;1;;1
SMART CHOICES BONAIRE;;;;;1;1;1
SMART-ICT B.V.;;;;;2;;2
SODEXO;;;;;1;;1
Sofino;;;;;1;;1
SoftwareONE B.V.;;;;;;1;1
SOLBEACH B.V.;;;;;1;;1
Solvinity;;;;;;7;7
SONNEVELT OPLEIDINGEN B.V.;;;;;1;;1
Soundfocus B.V.;;;;;;1;1
SPACES RODE OLIFANT;;;;;2;1;2
SPANJERSBERG ORGANISATIEADVIES;;;;;1;;1
Speels Effect;;;;;;1;1
Spinkit;;;;;;1;1
SPITZ CONGRES & EVENT;;;;;2;;2
SPORTTAINMENT CENTER DE UITHOF;;;;;1;;1
Spotler Nederland B.V.;1;;;;;;1
Staples Nederland B.V.;;1;;;;;1
Star Project;;;;;1;;1
STARPROJECT;;;;;1;1;2
Stichting Adviesgroep Bestuursrecht;;1;;;;;1
Stichting Atria kennisinstituut voor;;;;;1;;1
STICHTING BEHEER DERDENGELDEN I-EE;1;;;;;1;1
STICHTING BEHEER SYNAGOGE;;;;;1;;1
STICHTING BESTUURSACADEMIE CARIBBEAN;;;;;2;;2
Stichting Biesbosch MuseumEiland;;;;;1;;1
Stichting CAOP;;;;;4;1;4
STICHTING COELO;;;;;;1;1
STICHTING DAG VAN DE ARCHITECTUUR;;;;;;1;1
STICHTING DE BAAK;;;;;1;;1
STICHTING DE OOIEVAART ADM;;;;;1;;1
STICHTING FULCOTHEATER;;;;;1;;1
Stichting Fund for Excellence Royal Conservatoire;;;;;1;;1
STICHTING FUTUR;;;;;1;;1
STICHTING HARMONIA;;;;;3;;3
Stichting Hermitage aan De Amstel;;;;;1;;1
Stichting Het Koelhuis;1;;;;;;1
Stichting het ReclameArsenaal;;;;;1;;1
Stichting Hoger Beroepsonderwijs;;;;;1;;1
STICHTING HOLLAND PROPERTY PLAZA;;;;;1;;1
Stichting Internationaal Perscentrum;;;;;1;;1
STICHTING INTERNATIONALE SCHOOL VOOR;;;;;1;;1
STICHTING JOODS HISTORISCH MUSEUM;;;;;1;;1
Stichting Kinderen Kankervrij;;;;1;;;1
STICHTING KLIMAATVERBOND;;;;;1;;1
STICHTING MEETING PROFESSIONALS;;;;;1;;1
STICHTING MOVING BIRD;;;;;;1;1
STICHTING NEDERLAND BEWEEGT;;;;;1;;1
Stichting Nederlandse Orde van Beroepscoaches;;1;;;;;1
Stichting Pleio;;;;;;1;1
STICHTING PRODEMOS;;;;;2;1;2
STICHTING REBLEND;;;;;1;;1
Stichting Recruiters United;;1;;;;;1
STICHTING REGIONAAL DRENTHE COLLEGE;;;;;;1;1
Stichting Schrijvers School Samenleving;;;;;1;;1
STICHTING SETUP;;;;;1;;1
Stichting Spaarnestad Photo;;;;;;1;1
STICHTING STADSSCHOUWBURG NIJMEGEN EN;;;;;2;;2
Stichting Stimular;;;;;;1;1
STICHTING TOPVROUW VAN HET JAAR;;;;;1;;1
STICHTING TRIMBOS-INTSITUUT, NETHERLANDS;;;;;1;;1
STICHTING VRIENDEN VAN HET MAURITHUIS;;;;;1;;1
STICHTING WECONNECT;;;;;2;1;2
STUDIO LAMMERT JONKMAN;;;;;;1;1
STUDIO PLATZ;;;;;1;;1
STUDIO TINT;;;;;;1;1
Summit;;;;;;1;1
Survio;;1;;;;;1
SUSTAINABLE CHANGE;;;;;1;;1
SVIN Scandinavisch Vertaal- en Informati;;;1;;;;1
SWIS;;;;;;2;2
T&T Compet&t.b.v.;;1;;;;;1
TAALSMID;;;;;;1;1
Taalstrategie;;;;;1;;1
TAM TAM;;;;;;1;1
TAPANAHONY;;;;;;1;1
TAPPAN COMMUNICATIE;;;;;1;3;3
Tappan Communicatie B.V.;;1;;;;;1
TARA BV;;;;;;1;1
Tasty Comedy B.V.;;;;;2;;2
TAXIBEDRIJF VAN DER WIJST;;;;;2;;2
TEKAGROEP;;;;;1;;1
TEKSTSCHRIJVERS NL;;;;;;1;1
Telgen Consultancy B.V.;;;;;1;;1
Textkernel B.V.;;;;;;2;2
TEZET BUSINESS GIFTS;;;;;;1;1
THE HAGUE CENTRE STRATEGIC STUDIES;;;;;;2;2
The Hague Security Delta HSD;;1;;;;;1
THE LIME TREE;;;;;;1;1
The New Boys'' Network B.V.;;;;;;1;1
The Next Speaker;;;;;1;;1
The Oddshop B.V.;5;;;;;;5
THE POOL HOLDING B.V.;;;;;1;;1
THEA SMID;;;;;1;;1
TheaterHotel De Oranjerie;;;;;1;;1
THECOMMUNICATIONLABS B.V.;;;;;1;;1
Things To Make And Do B.V.;;;;;;2;2
TINEKE DIJKSTRA FOTOGRAFIE;;;;;;1;1
TNO;;;;;1;;1
Toeback Graveer-Laser Techniek;;;;1;;;1
TOERISME UTRECHT;;;;;1;;1
TOM JONGEN SELECT CATERING;;;;;1;;1
TONY'S FACTORY;;;;;1;;1
TOP TEAMWERK;;;;;1;;1
Topgeschenken Nederland B.V.;;;;1;;;1
TOTAL PRE PRESS;;;;;1;;1
TPEX B.V.;;;;;1;;1
TRAILBLAZER;;;;;1;;1
Traiteur Slagerij Verheijen;;;;1;;;1
Tri Tunggal;;;;1;;;1
TROUW;;1;;;;;1
TVB Vertalingen;;;;;;1;1
TWYNSTRA GUDDE;;;;;1;;1
TYRILO;;;;;1;;1
UbachsWisbrun/JWT;;;;;;2;2
Uitgeverij De Landeigenaar B.V.;1;;;;;;1
UITGEVERSMAATSCHAPPIJ DE TELEGRAAF;;1;;;;;1
ULRICH DAMEN;;;;;1;;1
United4all;;;;;;1;1
UNIVERSITE D AIX MARSEILLE;;;;;1;;1
UTS ABBINK B.V.;;;;;;1;1
Vakmedianet;;1;;;;;1
Vakmedianet Bouwdata B.V.;;1;;;;;1
Vakmedianet Logistiek & Mobiliteit B.V.;;1;;;;;1
Vakmedianet Management B.V.;;1;;;;;1
VALERIE KUYPERS FOTOGRAFIE;;;;;1;2;2
VAN ASSEM & PARTNERS B.V.;;;;;2;;2
Van den Hoek Organisatie-Advies;;;;;1;;1
VAN DER VALK HOTEL EINDHOVEN;;;;;1;;1
VAN DIJK ZAKELIJK;;1;;;;;1
Van Dijk Zakelijk B.V.;;1;;;;;1
Van Duuren Media B.V.;;1;;;;;1
VAN ELBURG MEDIA;;;;;;1;1
Van Haren Publishing B.V.;;1;;;;;1
VAN KLEEF;;;;;1;;1
VAN OVERVELD-TAAL EN TEKST;;;;;1;1;1
Van Slobbe B.V.;;;;;;1;1
VAN STOCKUM;;1;;;;;1
Van Vlier Media B.V.;;;;;;2;2
VAOSA EPA;;;;;1;;1
VASTGOEDJOURNAAL;;;;;1;;1
Vastgoedjournaal.nl B.V.;;1;;;;;1
VCK TRAVEL;;;;;3;;3
VdlC publishers/consultants B.V.;;1;;;;;1
VDZ Klantenservice B.V.;;1;;;;;1
VEILINGMEESTER;;;;;1;;1
VELDERS & NOVAK IMC;;;;;1;;1
Ver. voor Klachtrecht in de publieke sector;;1;;;;;1
VeReFi B.V.;;1;;;;;1
VERENIGING AMBTENAAR & RECHT;;1;;;;;1
Vereniging Facta non Verba;;1;;;;;1
Vereniging Mediators bij de Overheid;;1;;;;;1
VERENIGING VOOR BOUWRECHT;;1;;;;;1
Vereniging voor Overheidsmanagement;;1;;;1;;2
VERHAALLIJNEN;;;;;;1;1
VERMAAT BEDRIJFSHORECA;;;;;3;;3
VERMEULEN CONSULTANCY;;;;;1;;1
VERNON MARTIJN;;;;;1;;1
VERT VAN NED IN DE NED ANTILLEN;;;;;3;;3
VERTAALBUREAU BOTHOF;;;;;;1;1
vertalen.nl;;;;;;1;1
Villa Jongerius;;;;;;1;1
VINI SARDI;;;;;1;;1
VIP INTERNET;;;;;;1;1
VISUALIZEME;;;;;;1;1
VNSG Diensten B.V.;;;;;;1;1
VOC UITGEVERS;;1;;;;;1
VORM VIJF;;;;;;2;2
WagenaarHoes B.V.;;;;;4;1;4
WENT WERKT JOURNALISTIEK;;;;;2;;2
WETHOUDERSVERENIGING;;;;;2;;2
Wiberg Taxaties B.V.;1;;;;;;1
Wijzijndeoplossing B.V.;;1;;;;;1
Wim Drees Stichting voor Openbare Financiën;;;;1;;;1
Winkelman-van Hessen Adviesbureau;;;;;2;;2
Wolters Kluwer Nederland B.V.;;1;;;;;1
WOONCOMPANY B.V.;;;;;;1;1
WORLD FORUM CONVENTION CENTER;;;;;6;;6
WORTGEWANDT;;;;;;1;1
WOT-P Promoproducts;;;;;;1;1
www.ictloket.nl;;;;;;5;5
WYNWOOD B.V.;;;;;1;;1
Xerox;;;;;;1;1
Xerox (Nederland) B.V.;;;;;;2;2
XEROX NEDERLAND;;;;;;1;1
Xsaga;;;;;1;;1
Yune Creative Content Company;;;;;;2;2
Ziaja&Dorst;;;;;;1;1
Anoniem 845;;;;;;1;1
Anoniem 846;;;;1;;;1
Anoniem 847;;;;1;;;1
Anoniem 848;;;;;;1;1
Eindtotaal;6;5;1;2;7;8;9
