Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Amsterdam Manor Beach Resort Aruba;;4;;;;;;;4
Amsterdamse Bloemenmarkt;;;;1;;;;;1
Analytics@Work B.V.;;;;;;2;;;2
Analytisch Diagnostisch Centrum N.V;;;;;;;;1;1
Anchormen Datascience & AI B.V.;;;;;;5;;;5
anies-art;;;;1;;;;;1
Anker & Kompas;;;;;;1;;;1
Annage SkÃƒÂ»tsjesilen B.V.;;;;;;;2;;2
Annette van den Bergh;;;;;;1;;;1
Ansys Belgium SA;;;;;;1;;;1
Antonides;;;1;;;;;;1
Antwerp Management School;;;;;;1;;;1
ANWB B.V.;;;;;;1;;;1
ANWB Enschede;;;;1;;;;;1
ANWB-Rijopleiding;;;;;;4;;;4
AOG Contractonderwijs B.V.;;;;;;2;;;2
Apeldoorn & Bloemzaad Verkeersopleidingen;;;;;;1;;;1
Apex Global B.V.;;;;;;2;;;2
Apotheek A15 B.V.;;;2;;;;;;2
APP A Perfect Promotion;;;;;;;1;;1
Appelman Events;;;;;;;1;;1
Applus RTD Certification;;;;;;1;;;1
APPLY Opleidingen en Advies B.V.;;;;;;1;;;1
Aqua Flor Bloembinderij;;;;1;;;;;1
Aquabubbels;;;;;;;1;;1
A-quality Direct B.V.;;;;1;;;1;;1
Aquamarin Basisschool;;;;;;2;;;2
Aquamarina Hotel;2;;;;;;;;2
Arbode B.V.;;;;;;2;;;2
Arbody B.V.;;;;;;2;;;2
Archie Europe B.V.;;;;;;1;;;1
Argentino Tango;;;;1;;;;;1
Arko Uitgeverij;;;;;;1;;;1
Armworstelvereniging Urk;;;;;;;1;;1
Army Vehicle Club;;;;;;1;;;1
Arnhem Excursies;;;;;;;1;;1
Arpo Entertainment;;;;;;;1;;1
Arsenaal Woerden B.V.;;;;1;;;;;1
Art of Life Mindfulness & Non-duali;;;;;;1;;;1
ARTECEF B.V.;;;1;;;;;;1
ArtEZ Hogeschool voor de kunsten;;;;;;1;;;1
Artiestenverloningen B.V.;;;;;;;1;;1
Artihove Beheer B.V.;;;;1;;;;;1
Artihove Regina B.V.;;;;1;;;;;1
Artvera GmbH & Co. KG;;;;1;;;;;1
ASELSAN ELEKTRONIK SANAYI VE TICARET ANONIM SIRKETI;;;;;;3;;;3
Asian Sourcing Link UK Limited;;;1;;;;;;1
ASP Adventure B.V.;;;;;;1;1;;1
Asphalia B.V.;;;;;;1;;;1
Assemblee Sprekersbureau B.V.;;;;;1;;;;1
Asset Manag. Control Tools & Training B.V.;;;;;;2;;;2
Asu B.V.;;;;;;;1;;1
At Computing B.V.;;;;;;3;;;3
AT&T;;3;;;;;;;3
Athanasiadis, W.;1;;;;;;;;1
Atheniem Ltd;;;;;;2;;;2
Athlete.nl B.V.;;;;;;1;;;1
Atlantis Arnhem B.V.;;;;1;;;1;;1
Atletiek Vereniging Sprint;;;1;;;;;;1
ATO-Bedrijfstrainingen B.V.;;;;;;1;;;1
ATOM TRAINING LIMITED;;;;;;3;;;3
ATPI Corporate Travel;;;;;;;;2;2
Atria-Eindhoven Sportmassage Opleidingen;;;;;;;1;;1
Attractie Verhuur Moonen B.V.;1;;;;;;1;;1
Attractiebedrijf D. Wolters;;;;;;;1;;1
Auberge De Croyse Hoeve B.V.;;;;;;;1;;1
Auberge De Hilver B.V.;;;;;;;1;;1
Auberge 't Asje;;;;;;;1;;1
Autobedrijf Preuninger Haagland B.V.;;;3;;;;;;3
Autobedrijf Rothuizen;;;;1;;;;;1
Autobedrijf te Morsche V.O.F.;;;;;;1;;;1
Autodemontagebedrijf Bastiaan VOF.;1;;;;;;;;1
Autoplex Zevenaar B.V.;;;;;;1;;;1
Autorijschool De Weerd B.V.;;;;;;1;;;1
AvÃƒÂ©ro Achmea;;;;;;;1;;1
Avans Hogeschool B.V.;;;;;;2;;;2
Avans Hogeschool MB B.V.;;;;;;2;;;2
Avetica B.V.;;;;;;1;;;1
Avex B.V.;;;;;2;;;;2
AVIAM CORPORATE HOUSING, LTD.;2;7;;;;;;;7
Avint;;;;;;1;;;1
Avis Autovermietung GmbH & Co.;;;;;;;;1;1
Avnet Technology Solutions B.V.;;;;;;2;;;2
AWM M³nster;;;;;;;1;;1
Axitraxi B.V.;1;;;;;;1;;1
Aziatisch Restaurant Golden Wok Palace;;;;1;;;;;1
B & V Bedrijfshulpverlening B.V.;;;;;;1;;;1
B&S Paul Global (int.);;;;1;;;;;1
B.C. van den Adel Beheer B.V.;;;;;;;1;;1
B.G.L. & Partners B.V.;;;;;;2;;;2
B.V. Auberge de Rousch;;;;1;;;;;1
B.V. Bureau JPO;;;;;;2;;;2
B.V. Ned. Instrumenten Compagnie 'Nedinsco';;;2;;;;;;2
B.V. Tilb. Uniformkleermakerij;;;;;;1;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;;1;;;1
B+B Vakmedianet B.V.;;;;1;;1;;;1
Babel B.V.;;;;;;1;;;1
Baco B.V.;;;;1;;;;;1
Badhotel Rockanje aan Zee B.V.;;;;;;1;;;1
Bagchus Fotografie;;;;;;;1;;1
Baines Simmons Limited Aviation Safety Centre;;;;;;1;;;1
Bakatelier;;;;;;;1;;1
Bakker Ontwerp;;;;;;;1;;1
Bakkerij Bergman;;;;1;;;1;;1
Bakkerij Extra;;;;1;;;;;1
Bakkers Brigade B.V.;;;;1;;;;;1
Bakx & Meijer catering en organisatie;;;;;;;1;;1
Balans & Impuls B.V.;;;;;;2;;;2
Balansgroep;;;;;;1;;;1
Balfour Beatty Communities;2;;;;;;;;2
Bally's Bowling;;;;;;;1;;1
Banketbakkerij Gosselaar;;;;;;;1;;1
Banketbakkerij Maison Kelder B.V.;;;;;;;1;;1
Banketbakkerij Teurlings B.V.;;;;;;1;;;1
Bar Company;;;;;;;1;;1
Bar Kitchen Sabrosa B.V.;;;;;;;1;;1
Bar Restaurant Pavlov B.V.;;;;;1;;;;1
Barbacoa BBQ & Grill Restaurant;;;;;;;1;;1
Barbarossa Beach B.V.;;;;;;;1;;1
Barista Cafe Njoy;;;;;;2;;;2
Barista Company B.V.;;;;;;1;;;1
Barlow Bar&Restaurant;;;;1;;;1;;1
Bastion Hotel Breda B.V.;;;;1;;;;;1
Battle Tours Ruud Slangen;;;;1;;;;;1
Battlefield Discovery;;;;;;;1;;1
Bax Verkeersscholen B.V.;;;;;;1;;;1
Bax-shop.nl B.V.;;;;1;;1;;;1
BBC Bruxelles;;;;;;1;1;;1
BC GLOBAL (TRAINING) LTD;;;;;;2;;;2
BCC (Elektro-Speciaalzaken) B.V.;;;;1;;;;;1
BCD Travel B.V.;;2;;;;;;6;6
BCD Travel Nederland B.V.;;;4;;;4;1;8;8
BCM Academy B.V.;;;;;;1;;;1
BCS Evenementen;;;;;;;1;;1
BDUmedia;;;;1;;;;;1
Be Cool Events;;;;1;;;1;;1
BE Kerkhof;;;;;;1;;;1
Beach Club Tien B.V.;;;;;;;1;;1
Beachclub De Karavaan;;;;;;;1;;1
Beachzone events;;;;;;;1;;1
Beauty XL;;;;;;;1;;1
Bedrijfs EHBO-Vereniging;;;;;;1;;;1
Bedrijvenvereniging Zuidwesthoek;;;;1;;;;;1
Beeldhouw Service Centrum Charles Vergouwen;;;;1;;;;;1
Beers & Barrels;;;;;;;1;;1
BeGlobal Relatiegeschenken;;;;1;1;1;;;1
Beheer Kerkgebouwen Leeuwarden;;;;;;;1;;1
Beheerder Brandmeld B.V.;;;;;;2;;;2
Beker- en Biljarthuis Lambregts V.O.F.;;;;1;;1;;;1
Bekerhof Groepsaccommodatie;;;;;;;1;;1
Belair Health and Fitness Center;;;;;;;2;;2
Belgisch Biercafé Olivier B.V.;;;;;;;1;;1
Belgisch Instituut voor Lastechniek;;;;;;1;;;1
Bellezza Nuova Lijsten & Restauratie Atelier;;;1;;;;;;1
Ben Meij Tweewielers;;;;;1;;;;1
Ben van der Linden;;;;1;;;;;1
BenÃƒÂ¨l B.V.;;;;;;;1;;1
BE-NL Mijnenbestrijdingsschool;;;;;;;1;;1
Bentink Modelspoor;;;;;;1;;;1
Bentley Systems Netherlands B.V.;;;;;;1;;;1
Berends Bloemsierkunst;;;;1;;;;;1
Berenschot B.V.;;;;;;2;;;2
Berenschot Groep B.V.;;;;1;4;;;;4
Bergh Delisse Events;;;;;;1;1;;1
Berlitz Schools of Languages B.V.;;;;;;1;;;1
Bernax simulators;;;;;1;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;;;2;1;;;2
Bert Hellinger Instituut Nederland;;;;;;1;;;1
Bert's Animal Verhuur;;;;1;;;;;1
Bestuursacademie;;;;;;1;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;;2
Betonvereniging';;;;;;1;;;1
Bever B.V.;;;;;;1;;;1
Bever Zwerfsport B.V.;1;;;;;;;;1
Beweeg Mee B.V.;;;;;;1;;;1
BID B.V.;;;;;1;;;;1
Bierbrasserie Cambrinus VOF;;;;1;;;;;1
Bierbrouwerij De Koningshoeven B.V.;;;;;;;1;;1
Bij Evelien;;;1;;;;;;1
Bij Maud uitjes Tilburg;;;;;;;1;;1
Bijvang Consultancy;;;;;;2;;;2
Bijvang Holding B.V.;;;;;;1;;;1
Bijzondergroen.nl;;;;1;;;;;1
Bilderberg Hotel De Buunderkamp;;;;2;;;;;2
Bilderberg Hotel Klein Zwitserland;;;;;;;;1;1
Billink B.V.;;;;;;1;;;1
Biometrics Institute Limited;;;;;;1;;;1
Bison Bowling;;;;;;;1;;1
bisou B.V.;;;;;;1;;;1
Bistro Jan;;;;;;;1;;1
BITTI B.V.;;;;;;1;;;1
Bizon Events B.V.;;;;;;1;;;1
Bizzdesign Academy B.V.;;;;;;1;;;1
BjÃƒÂ¶rn & Marieke's Bloembinderij;;;;1;;;;;1
Bjusterbaarlik Boerderij Recreatie;;;;;;;1;;1
BKV Artsen Intermediair B.V.;;;1;;;;;;1
BKV Medische Diensten B.V.;;;;;;1;;;1
Blad Rijopleidingen;;;;;;1;;;1
Blanchard International B.V.;;;;;;4;;;4
Blankestijn & Partners B.V.;;;;;;1;;;1
Bleiker Precision Engineering AG;;;2;;;;;;2
BlitZz graveerwerk;;;;1;;;;;1
bloem & styling aan de zeven alleetjes;;;;1;;;;;1
Bloemberg Advies;;;;1;;;;;1
Bloembinderij De Kelk;;;;1;;;;;1
Bloembinderij de Korenschoof;;;;1;;;;;1
Bloembinderij De Nobel;;;;;;;1;;1
Bloembinderij de Vuurdoorn;;;;1;;;;;1
Bloembinderij van der Maat;;;;1;;;;;1
Bloemboetiek Dille;;;;1;;;;;1
Bloemen Rotterdam;;;;1;;;;;1
Bloemenboetiek Panhuis;;;;1;;;;;1
Bloemenboutique Nicole V.O.F.;;;;1;;;1;;1
Bloemenhuis Terweijden V.O.F.;;;;1;;;;;1
Bloemenhuis van Brunschot;;;;1;;;;;1
Bloemenhuis Vink;;;;;;;1;;1
Bloemenkas Eindhoven;;;;1;;;;;1
Bloemenkiosk 'Charmaine';;;;1;;;;;1
Bloemennis;;;;1;;;;;1
Bloemisterij Fleurina;;;;1;;;;;1
Bloemisterij Gaal;;;;1;;;;;1
Bloemisterij Labberton B.V.;;;;1;;;;;1
Bloemsierkunst Anneke Kapteyn;;;;1;;;;;1
Bloemsierkunst Beimer;;;;1;;;;;1
Bloemsierkunst BLOEI;;;;1;;;;;1
Bloemsierkunst BLOEM;;;;1;;;;;1
Bloemsierkunst 'De Carlton' John Koene;;;;1;;;;;1
Bloemsierkunst De Carlton Wim Ton;;;;1;;;;;1
Bloemsierkunst De Roozelaar;;;;1;;;;;1
Bloemsierkunst Frank van Kemenade;;;;;;;1;;1
Bloemsierkunst Futura;;;;1;;1;;;1
Bloemsierkunst HE-AS;;;;1;;;;;1
Bloemsierkunst Ilyas;;;;;;;1;;1
Bloemsierkunst Veders V.O.F.;;;;;;;1;;1
Bloemsierkunst Violet;;;;1;;;;;1
Blom Opleidingen;;;;;;2;;;2
BLOM Verkeers- & Transportopleiding;;;;;1;;;;1
Blommetje van Blom;;;;1;;;;;1
BLOSSOM bloemisterij;;;;1;;;;;1
blueriq;;;;;;1;;;1
Blygold Laboratories B.V.;;;;;;1;;;1
BMC Software Distribution B.V.;;;;;;2;;;2
BMN Bouwmaterialen;;;;;;1;;;1
BN/De Stem;;;;;;1;;;1
Bob's Bloemen en Zo;;;;1;;;;;1
Boca Kaarsen Groep B.V.;;;;;;1;;;1
Bodymind Opleidingen;;;;;;1;;;1
Boeije, A.;1;;;;;;;;1
Boekbinderij Mulder;;;;1;;;;;1
Boeketcadeau.nl;;;;1;;;;;1
Boeketterie-Wassenaar;;;;1;;;;;1
Boekhandel van de Ven B.V.;;;;1;;;;;1
Boels Verhuur;;;;;;1;;;1
Boels Verhuur Purmerend;;;;;;1;;;1
Boersma, W.;;;;;;;1;;1
Boertien Vergouwen Overduin B.V.;;;;;;6;;;6
BoFit B.V.;;;;;;1;;;1
Bojo B.V.;;;;;;1;;;1
Bokstijn Feestartikelen;;;;1;;;;;1
bol.com B.V.;;;;;;;2;;2
Bold Coach Academy;;;;;;1;;;1
Bom-Be;;;;;;1;;;1
Bombeeck Digital B.V.;;;;1;;;1;;1
Bon Aparte Flowers;;;;1;;;;;1
Bongo Belevenisbon;;;;1;;;;;1
Bonstaete B.V.;;;;;;1;;;1
Bontekoe Produkties V.O.F.;;;;;1;;;;1
Boogaard, A.C.P. van den;;;;;;1;;;1
Boom uitgevers Amsterdam B.V.;;;;;;1;;;1
Boom uitgevers Nieuwsmedia B.V.;;;;1;;;;;1
Boot 10 Amsterdam B.V.;;;;;;;1;;1
Bootje Varen Breda;;;;;;1;;;1
Boots Sportprijzen en Relatiegeschenken;;;1;;;;;;1
Bora Bora B.V.;;;;1;;;;;1
Borduren & meer;;;;;;;1;;1
Borduuratelier Heerenveen;;;;;1;;;;1
Borduurstudio Ricky's Fashion;;;;;1;;2;;2
Bo-Rent Centrale Administratie;;;;;;1;;;1
Bos Social Business;;;;;;1;;;1
Bos, psychologische zorg, coaching & training;;;;;;1;;;1
Bosch Rexroth B.V.;;;;;;2;;;2
Bosscher International;;;;1;;;;;1
Botenverhuur De Rijnstroom;;;;;;;1;;1
Bottle Business B.V.;;;;1;;;;;1
Bouby's;;;;1;;;;;1
Bowa Sportprijzen en Relatiegeschenken;;;1;;;;;;1
Bowling & Restaurant Nieuwegein;;;;1;;;1;;1
Bowling en Party Centrum Breda;;;;1;;1;1;;1
Bowling en partycentrum Apeldoorn;;;;1;;;;;1
Bowling en Partycentrum Drachten;;;;;;;1;;1
Bowling en partycentrum Restaurant Suyderoogh;;;;;;;1;;1
Bowling Harderwijk B.V.;;;;;;;1;;1
Bowling Juliana;;;;1;;;;;1
Bowling Kartcentrum Westfriesland B.V.;;;;;;;1;;1
Bowling Overhees B.V.;;;;;;;1;;1
Bowling Scheveningen B.V.;;;;1;;;;;1
Bowling Westland B.V.;;;;1;;;;;1
Bowlingcentrum Groeneveld;;;;;;;1;;1
Bowlingcentrum Schagen B.V.;;;;;;;1;;1
Boxtel, A.W.J.M. van;1;;;;;;;;1
BPG Den Helder;;;;;;1;;;1
Braad Sport;;;;;;1;;;1
Brab.-Zeeuwse Chr. Werkgeversvereniging;;;;1;;;;;1
Brainport Development N.V.;;;;;2;;;;2
Brand Commerce B.V.;;;;1;;;;;1
Brand Infrastructure Services B.V.;;;1;;;;;;1
BrandBase B.V.;;;;;4;;;;4
Brandersstad Vuurwerk;;;;;;1;;;1
Brandweertrainingscentrum Kleefse Waard B.V.;;;;;;2;;;2
Brasserie de Berk B.V.;;;;1;;;2;;2
Brasserie de Nieuwe Baan;;;;;;;1;;1
Brasserie de Rosmolen;;;;1;;;;;1
Brasserie Het Gouden Kalf;;;;1;;;;;1
Brasserie Ome Bernard B.V.;;;;;;;1;;1
Brasserie 't Zusje Uden B.V.;;;;;;;1;;1
Break Free Fun Company;;;;;;;1;;1
Bredemeijer Group B.V.;;;;1;;;;;1
Breijwerk Management V.O.F.;;;;;;;1;;1
Brezan Automaterialen Goes;;;;;;1;1;;1
Brezo-Elan B.V.;;;;;1;;2;;2
Brigitte Horn;1;;;;;;;;1
Brink Techniek B.V.;;;1;;;;;;1
British Gas;;;;;;;1;;1
Brocacef B.V.;;;7;;;;;;7
Broekhuis Twente B.V.;;;;;;1;;;1
Broers;;;;1;;;;;1
Bron Gascare B.V.;;;;;;1;;;1
Bronzen Beelden Winkel;;;;1;;;1;;1
Brown Cartonnages;;;;1;;;;;1
BROZE;;;;;;1;;;1
Bruna Marsdijk B.V.;;;;;;;1;;1
Bruseco B.V.;;;;;1;;;;1
BS Aviation Training;;;;;;2;;;2
BSI Group The Netherlands B.V.;;;;;;2;;;2
Buckaroo Online Payment Services;;;;;;1;;;1
Buena Vista Beach Club B.V.;;;;;;;1;;1
Buijtendijk B.V.;;;;;;1;;;1
Buitengewoon Bloemen;;;;1;;;;;1
Buitengewoon Events!;;;;;;;1;;1
Buitenomme;1;;;;;;;;1
Buitenpoort Catering B.V.;;;;1;;;;;1
Bukman Management;;;;;;;1;;1
Buko Infrasupport B.V.;;;;1;;;1;;1
Bundesamt f³r Infrastruktur, Umweltzschutz und Dienstleistungen Bundeswehr;;;;1;;;;;1
Bundesamt Infra I 2 f³r Infrastruktur Umweltschutz und Dienstleistungen der Bundeswehr;;;;;;2;;;2
Bureau Beckers B.V.;;;;;;1;;;1
Bureau Helderder;;;;;;5;;;5
Bureau Tromp B.V.;;;;;;3;;;3
Bureau VallÚe;;;;;;;1;;1
Bureau Van Es-RB&B;;;;;;1;;;1
Bureau Veritas Industrial Services;;;;;;1;;;1
Bureau voor Interculturele Evaluatie B.V.;;;;;;1;;;1
Bureau Zuidema B.V.;;;;;;2;;;2
BurgGolf Wijchen B.V.;;;;;;;1;;1
Buro Brand Visuele Communicatie;;;;;;1;;;1
Buro Q B.V.;;;;1;;;;;1
Buro Transportopleidingen B.V.;;;;;;1;;;1
BURO2010 B.V.;2;;;1;;;1;;2
BuroKracht;;;;;;1;;;1
Busch & Van der Worp;;;;1;;;;;1
Business Bloemist Melenhorst;;;;1;;1;;;1
Business Fundamentals B.V.;;;;;;2;;;2
Business School Nederland;;;;;;1;;;1
Buurman;;;;;;;1;;1
Buurvrouwkookt.NL;;;;1;;;;;1
Buxus Bloemenatelier;;;;1;;;;;1
BVBA Marktkaffee;;;;;;1;;;1
BVO B.V.;;;;;;1;;;1
Bvolve B.V.;;;;;;1;;;1
BVTF Bureau voor toegepaste Filosofie;;;;;;1;;;1
C. Beumer system. coachen, opstell. & train.;;;;;;1;;;1
C.I.V.A.S. B.V.;;;;;;1;;;1
Cable Waterskicenter Brabant B.V.;;;1;;;;;;1
CACI B.V.;;;;;;2;;;2
Cadeau Concepten B.V.;;;;1;;;;;1
Cadettencorps;;;;1;;1;;;1
CAE AIRCREW TRAINING SERVICES PLC;;;;;;7;;;7
CAE Tampa Training Center;;;;;;4;;;4
CAE Training Norway AS;;;;;;4;;;4
CafÃ© Restaurant Rootz B.V.;;;;1;;;;;1
CafÃƒÂ© in 't Zand B.V.;;;;1;;;;;1
CafÃƒÂ© Restaurant De Beyerd;;;;1;;;;;1
CafÃƒÂ© Restaurant De Rietstulp;;;;;;;1;;1
CafÃƒÂ©-Restaurant de Lage Vuursche;;;;1;;;1;;1
CafÃƒÂ©-Restaurant De Westerbouwing B.V.;;;;;;;2;;2
Cafe de Molenaer;;;;;;;1;;1
Cafe Restaurant Ons Hoekje;;;;;;;1;;1
Cafe Restaurant Vandaag B.V.;;;;;;;1;;1
Café-Eeterij 't Vermaeck;;;;1;;;1;;1
Café-Restaurant 'De Roskam' B.V.;;;;;;;1;;1
CafÚ-restaurant De 2 BourgondiÙrs;;;;1;;;;;1
CafÚ-Restaurant De Boschvijver B.V.;;;;;;;1;;1
CAI-Advies B.V.;;;;;;4;;;4
Caleidoscoop Leertrajecten;;;;;;2;;;2
Caminando;;;;;;1;;;1
Camnet B.V.;;;;;;1;;;1
Camp Pendleton & Quantico Housing,;;1;;;;;;;1
Camping Restaurant Craneburcht De Wipkip;;;;;;;1;;1
Canadian International Military Games Corporation;;;2;;;;;;2
Canon Nederland N.V.;;;;;;1;;;1
Capabel Onderwijs Groep B.V.;;;;;;1;;;1
Capgemini Educational Services B.V.;;;;;;1;;;1
Capgemini N.V.;;;;;;2;;;2
Capgemini Nederland B.V.;;;;;;2;;;2
Capilla;;;;;;1;;;1
Capitol Bookings B.V.;;;;;;;1;;1
Captain Cook's;;;;1;;;;;1
Card Vision B.V.;;;;1;;;;;1
Cardio Solutions B.V.;;;;;;1;;;1
Caribbean International Academy;;;;;;3;;;3
Carl-Cranz-Gesellschaft e.V.;;;;;;1;;;1
Catering Oud London B.V.;;;;;;;1;;1
Cave Nieuwegein B.V.;;;;;;1;;;1
CB Facturatie B.V.;;;;;;1;;;1
CC Sp Dept Catering BENL;;;;;;;1;;1
Cees Flowershop;;;;1;;;;;1
CEI Europe;;;;;;1;;;1
Center Parcs Netherlands N.V.;;;;;;;3;;3
Centraal Invorderings Bureau B.V.;1;;;;;;;;1
Central Point Nederland B.V.;;;1;;;1;;;1
Centrale Rino B.V.;;;;;;1;;;1
Centrale Wapenhandel Dorhout Mees B.V.;;;1;1;;;1;;1
Centric Netherlands B.V.;;;;;;1;;;1
Centric Training;;;;;;2;;;2
Centrum voor Conflicthantering B.V.;;;;;;4;;;4
CERCLE de la Base de D'efense de Cr;1;;;;;;;;1
Certified Secure B.V.;;;;;;2;;;2
CGGN;;;1;;;;;;1
CGI Nederland B.V.;;;;;;5;;;5
Challenge Coins;;;;1;;1;;;1
Chameleon Group, Inc;;;;;;1;;;1
Chang, S.;3;;;;;;;;3
Chapeau Catering;;;;;;;1;;1
Charelli B.V.;;;;1;;1;;;1
