ParkingAddressReferenceType,ParkingAddressReference,ParkingAddressType,StreetName,HouseNumber,ZipCode,Place,Province,Country,TelephoneNumber,EmailAddress,FaxNumber
I-O,306,F,Koningin Julianalaan,341,2273JJ,Voorburg,Zuid-Holland,Nederland,,info@leidschendam-voorburg.nl,
I-O,40,F,Weenatunnel,50,3013AL,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,398,F,Anlooërweg,0,,Annen,Drenthe,Nederland,,gemeente@aaenhunze.nl,
I-O,74,F,Verlengde Lodewijkstraat,300,9723AK,Groningen,Groningen,Nederland,,,
I-O,72,F,Professor Uilkensweg,0,9747AW,Groningen,Groningen,Nederland,,,
I-O,71,F,Kardingerplein,1,9735AA,Groningen,Groningen,Nederland,,,
I-O,75,F,Verlengde Lodewijkstraat,300,9723AK,Groningen,Groningen,Nederland,,,
I-O,69,F,Vondellaan,35,9752KS,Haren,Groningen,Nederland,,,
I-O,73,F,Professor Uilkensweg,0,9747AW,Groningen,Groningen,Nederland,,,
I-O,70,F,Groningerweg,0,9738AA,Groningen,Groningen,Nederland,,,
I-O,157,F,Damsterplein,5,9711SX,Groningen,Groningen,Nederland,010-2170970,info@interparking.nl,
I-O,1295,F,Haddingestraat,6,9711KH,Groningen,Groningen,Nederland,010-2170970,info@interparking.nl,
GEB,299,P,Postbus,10,6900AA,Zevenaar,Gelderland,Nederland,0316-595111,gemeente@zevenaar.nl,
GEB,299,A,Raadhuisplein,1,6901GN,Zevenaar,Gelderland,Nederland,0316-595111,gemeente@zevenaar.nl,
GEB,119,P,Postbus,501,7940AM,Meppel,Drenthe,Nederland,140522,postbus@meppel.nl,
I-O,96,F,Costerweg,26,6701BH,Wageningen,Gelderland,Nederland,,,
I-O,108,F,Olmenlaan,157,1404DD,Bussum,Noord-Holland,Nederland,,,
I-O,1398,F,Henri Dunantplein,0,7442NJ,Hellendoorn,Overijssel,Nederland,,gemeente@hellendoorn.nl,
GEB,355,P,Postbus,513,3700AM,Zeist,Utrecht,Nederland,14030,zeist@zeist.nl,
GEB,118,A,Raadhuisplein,1,7901BP,Hoogeveen,Drenthe,Nederland,140528,info@hoogeveen.nl,
I-O,1048,F,Brouwerijplein,49,7523XJ,Enschede,Overijssel,Nederland,,postbus20@enschede.nl,
I-O,101,F,De Molen,100,3995AX,Houten,Utrecht,Nederland,,,
I-O,81,F,Hofstraat,161,7001JD,Doetinchem,Gelderland,Nederland,,,
I-O,402,F,Verlengde Asserstraat,67,9461TV,Gieten,Drenthe,Nederland,,gemeente@aaenhunze.nl,
I-O,1396,F,Máximastraat,6,7443BB,Hellendoorn,Overijssel,Nederland,,gemeente@hellendoorn.nl,
GEB,118,P,Postbus,20000,7900PA,Hoogeveen,Drenthe,Nederland,140528,info@hoogeveen.nl,
GEB,177,A,Zwolsestraat,16,8101AC,Raalte,Overijssel,Nederland,0572-347799,info@raalte.nl,
GEB,119,A,Grote Oever,26,7941BJ,Meppel,Drenthe,Nederland,140522,postbus@meppel.nl,
GEB,228,A,Bergstraat,4,6711DD,Ede,Gelderland,Nederland,140318,info@ede.nl,
I-O,84,F,Bunschoterplein,47,6711CD,Ede,Gelderland,Nederland,,,
GEB,147,P,Postbus,200,7620AE,Borne,Overijssel,Nederland,14074,info@borne.nl,
I-O,109,F,Brinklaan,130,1404GV,Bussum,Noord-Holland,Nederland,,,
I-O,83,F,Burgemeester Van Nispenstraat,19,7001BS,Doetinchem,Gelderland,Nederland,,,
I-O,102,F,Spoorhaag,129,3993AB,Houten,Utrecht,Nederland,,,
I-O,1997,F,Barchman Wuytierslaan,0,3818LE,Amersfoort,,,,,
GEB,345,A,Raadhuisplein,1,3901GA,Veenendaal,Utrecht,Nederland,0318-538911,info@veenendaal.nl,
I-O,111,F,Thierensstraat,2,1404HE,Bussum,Noord-Holland,Nederland,,,
GEB,228,P,Postbus,9022,6710HK,Ede,Gelderland,Nederland,140318,info@ede.nl,
I-O,107,F,Brinklaan,33,1404EP,Bussum,Noord-Holland,Nederland,,,
I-O,1998,F,Stationslaan,0,4811BN,Breda,,,,,
I-O,609,F,Stationssingel,0,2652HR,Berkel en Rodenrijs,Zuid-Holland,Nederland,14010,info@apcoa.nl,
GEB,355,A,Slotlaan,20,3701GK,Zeist,Utrecht,Nederland,14030,zeist@zeist.nl,
GEB,289,P,Postbus,1,6700AA,Wageningen,Gelderland,Nederland,0317-492911,gemeente@wageningen.nl,
GEB,321,P,Postbus,30,3990DA,Houten,Utrecht,Nederland,030-6392611,gemeentehuis@houten.nl,
GEB,147,A,Rheineplein,1,7622DG,Borne,Overijssel,Nederland,14074,info@borne.nl,
I-O,82,F,Burgemeester Van Nispenstraat,19,7001BS,Doetinchem,Gelderland,Nederland,,,
GEB,222,P,Postbus,9020,7000HA,Doetinchem,Gelderland,Nederland,0314-377377,gemeente@doetinchem.nl,
GEB,345,P,Postbus,1100,3900BC,Veenendaal,Utrecht,Nederland,0318-538911,info@veenendaal.nl,
I-O,1999,F,Wijckermolen,0,1941JA,Beverwijk,,,,,
I-O,113,F,Akkerlaan,14,1403PT,Bussum,Noord-Holland,Nederland,,,
I-O,112,F,Thierensstraat,2,1404HE,Bussum,Noord-Holland,Nederland,,,
I-O,399,F,Bareveld,2,9512SB,Nieuwediep,Drenthe,Nederland,,gemeente@aaenhunze.nl,
I-O,98,F,Plantsoen,164,6701AT,Wageningen,Gelderland,Nederland,,,
I-O,403,F,Jan Hugeslaan,14,9462PD,Gasselte,Drenthe,Nederland,,gemeente@aaenhunze.nl,
I-O,401,F,Ingenieur W.I.C. van Veelenweg,0,,Gasselte,Drenthe,Nederland,,gemeente@aaenhunze.nl,
I-O,155,F,Ruiterstraat,12,9711CD,Groningen,Groningen,Nederland,010-2170970,info@interparking.nl,
GEB,177,P,Postbus,140,8100AC,Raalte,Overijssel,Nederland,0572-347799,info@raalte.nl,
GEB,381,P,Postbus,6000,1400HA,Bussum,Noord-Holland,Nederland,14035,info@bussum.nl,
I-O,2003,F,Parallelweg,0,6411NA,Heerlen,,,,,
GEB,381,A,Brinklaan,35,1404EP,Bussum,Noord-Holland,Nederland,14035,info@bussum.nl,
I-O,86,F,Breelaan,1,6711MR,Ede,Gelderland,Nederland,,,
I-O,110,F,Brinklaan,130,1404GV,Bussum,Noord-Holland,Nederland,,,
GEB,321,A,Onderdoor,25,3995DW,Houten,Utrecht,Nederland,030-6392611,gemeentehuis@houten.nl,
GEB,222,A,Raadhuisstraat,2,7001EW,Doetinchem,Gelderland,Nederland,0314-377377,gemeente@doetinchem.nl,
GEB,553,A,Heereweg,254,2161BS,Lisse,Zuid-Holland,Nederland,140252,gemeente@lisse.nl,
GEB,546,P,Postbus,9100,2300PC,Leiden,Zuid-Holland,Nederland,14071,,
I-O,120,F,Blokhuis,53,2161,Lisse,Zuid-Holland,Nederland,,,
GEB,513,P,Postbus,1086,2800BB,Gouda,Zuid-Holland,Nederland,140182,gemeente@gouda.nl,
I-O,2013,F,Kanaalstraat,22,8601GA,Sneek,,,,,
GEB,553,P,Postbus,200,2160AE,Lisse,Zuid-Holland,Nederland,140252,gemeente@lisse.nl,
I-O,2011,F,Provinciale weg,0,1506MJ,Zaandam,,,,,
I-O,114,F,Klein Amerika,30,2806CA,Gouda,Zuid-Holland,Nederland,,,
I-O,117,F,Vosseburchkade,19,2805PA,Gouda,Zuid-Holland,Nederland,,,
I-O,115,F,Schouwburgplein,0,2806AL,Gouda,Zuid-Holland,Nederland,,,
I-O,2807,F,Voorland,0,1261ZR,Blaricum,,,,info@gooivecht.nl,
GEB,513,A,Burgemeester Jamesplein,1,2803PG,Gouda,Zuid-Holland,Nederland,140182,gemeente@gouda.nl,
GEB,546,A,Stadhuisplein,1,2311EJ,Leiden,Zuid-Holland,Nederland,14071,,
I-O,116,F,Vosseburchkade,19,2805PA,Gouda,Zuid-Holland,Nederland,,,
GEB,715,A,Stadhuisplein,1,4531GZ,Terneuzen,Zeeland,Nederland,140115,gemeente@terneuzen.nl,
I-O,136,F,Kanaalweg,0,4337,Middelburg,Zeeland,Nederland,,,
I-O,129,F,Gorsstraat,22,3201DB,Spijkenisse,Zuid-Holland,Nederland,0181-696778,parkeerbeheer@spijkenisse.nl,
I-O,284,F,Laan van Brabant,5,4701BM,Roosendaal,Noord-Brabant,Nederland,,administratie@parkeerbeheer.nl,
I-O,124,F,Karel Doormanstraat,1,3201CP,Spijkenisse,Zuid-Holland,Nederland,0181-696778,parkeerbeheer@spijkenisse.nl,
I-O,148,F,Kloekhorststraat,26,9401BE,Assen,Drenthe,Nederland,0592-366911,info@interparking.nl,
I-O,76,F,Markt,5,7902BK,Hoogeveen,Drenthe,Nederland,,info@hoogeveen.nl,
I-O,138,F,Schuttershofweg,2,4538AA,Terneuzen,Zeeland,Nederland,,,
GEB,612,A,Raadhuislaan,106,3201EL,Spijkenisse,Zuid-Holland,Nederland,140181,gemeente@spijkenisse.nl,
I-O,130,F,Gorsstraat,22,3201DB,Spijkenisse,Zuid-Holland,Nederland,0181-696778,parkeerbeheer@spijkenisse.nl,
I-O,397,F,N34/N33,0,,Gieten,Drenthe,Nederland,,gemeente@aaenhunze.nl,
I-O,128,F,Raadhuislaan,104,3201EL,Spijkenisse,Zuid-Holland,Nederland,0181-696778,parkeerbeheer@spijkenisse.nl,
I-O,404,F,Nieuwediep,7,9512SC,Nieuwediep,Drenthe,Nederland,,gemeente@aaenhunze.nl,
GEB,713,A,Nieuwstraat,22,4501BD,Oostburg,Zeeland,Nederland,140117,info@gemeentesluis.nl,
I-O,1696,F,Parallelweg,0,,Papendrecht,,,,,
GEB,687,P,Postbus,6000,4330LA,Middelburg,Zeeland,Nederland,140118,info@middelburg.nl,
I-O,283,F,Nieuwe Markt,81,4701AE,Roosendaal,Noord-Brabant,Nederland,,administratie@parkeerbeheer.nl,
GEB,606,A,Stadserf,1,3112DZ,Schiedam,Zuid-Holland,Nederland,14010,contact@schiedam.nl,
I-O,405,F,Grolloerstraat,0,,Rolde,Drenthe,Nederland,,gemeente@aaenhunze.nl,
GEB,715,P,Postbus,35,4530AA,Terneuzen,Zeeland,Nederland,140115,gemeente@terneuzen.nl,
I-O,175,F,Geerdinksweg,141,7555DL,Hengelo,Overijssel,Nederland,010-2170970,info@interparking.nl,
I-O,125,F,Dr. J.M. Den Uyllaan,1,3201WR,Spijkenisse,Zuid-Holland,Nederland,0181-696778,parkeerbeheer@spijkenisse.nl,
I-O,143,F,Walplein,14,4524CJ,Sluis,Zeeland,Nederland,,,
I-O,127,F,Sluisstraat,20,3201DJ,Spijkenisse,Zuid-Holland,Nederland,0181-696778,parkeerbeheer@spijkenisse.nl,
I-O,1868,F,Prins Mauritsplein,5832,7902AE,Hoogeveen,Drenthe,Nederland,,info@hoogeveen.nl,
I-O,123,F,Karel Doormanstraat,1,3201CP,Spijkenisse,Zuid-Holland,Nederland,0181-696778,parkeerbeheer@spijkenisse.nl,
I-O,126,F,Dr. J.M. Den Uyllaan,1,3201WR,Spijkenisse,Zuid-Holland,Nederland,0181-696778,parkeerbeheer@spijkenisse.nl,
I-O,149,F,Alteveerstraat,27,9401GA,Assen,Drenthe,Nederland,0592-366911,info@interparking.nl,
I-O,158,F,Sint Jansstraat,4,9712JN,Groningen,Groningen,Nederland,010-2170970,info@interparking.nl,
GEB,687,A,Kanaalweg,3,4337PA,Middelburg,Zeeland,Nederland,140118,info@middelburg.nl,
GEB,606,P,Postbus,1501,3100EA,Schiedam,Zuid-Holland,Nederland,14010,contact@schiedam.nl,
GEB,612,P,Postbus,25,3200AA,Spijkenisse,Zuid-Holland,Nederland,140181,gemeente@spijkenisse.nl,
GEB,713,P,Postbus,27,4500AA,Oostburg,Zeeland,Nederland,140117,info@gemeentesluis.nl,
GEB,748,A,Jacob Obrechtlaan,4,4611AR,Bergen op Zoom,Noord-Brabant,Nederland,140164,stadskantoor@bergenopzoom.nl,
GEB,748,P,Postbus,35,4600AA,Bergen op Zoom,Noord-Brabant,Nederland,140164,stadskantoor@bergenopzoom.nl,
GEB,2449,A,Weena,710,3014DA,Rotterdam,Zuid-Holland,Nederland,0102170970,info@interparking.nl,
I-O,1307,F,Mercuriusplein,211,9401DK,Assen,Drenthe,Nederland,0592-330160,info@interparking.nl,
GEB,2449,P,Postbus,501,3000AM,Rotterdam,Zuid-Holland,Nederland,0102170970,info@interparking.nl,
I-O,1867,F,Uitweg,0,,Hellevoetsluis,Zuid-Holland,Nederland,,gemeente@hellevoetsluis.nl,
I-O,187,F,Jorishof,92,2981GG,Ridderkerk,Zuid-Holland,Nederland,0102170970,,
GEB,664,A,M.A. de Ruijterlaan,2,4461GE,Goes,Zeeland,Nederland,140113,stadskantoor@goes.nl,
I-O,502,F,Parallelweg,6,8152BE,Lemelerveld,Overijssel,Nederland,0529-488388,info@dalfsen.nl,
I-O,280,F,Biggelaar,29,4701RA,Roosendaal,Noord-Brabant,Nederland,,administratie@parkeerbeheer.nl,
I-O,281,F,Laan van Europa,0,,Roosendaal,Noord-Brabant,Nederland,,administratie@parkeerbeheer.nl,
I-O,1884,F,Franciscus Romanusweg,2,6221AE,Maastricht,Limburg,Nederland,,post@maastricht.nl,
I-O,2021,F,Schakelstede,0,3431HC,Nieuwegein,Utrecht,Nederland,,info.nieuwegein@parkeerservice.nl,
I-O,79,F,'t Dijkhuis,23,7622CM,Borne,Overijssel,Nederland,,info@borne.nl,
I-O,2023,F,Nachtwachtstede,0,3431HL,Nieuwegein,Utrecht,Nederland,,info.nieuwegein@parkeerservice.nl,
I-O,2020,F,Markt,54,3431LB,Nieuwegein,Utrecht,Nederland,,info.nieuwegein@parkeerservice.nl,
I-O,2024,F,Tinnegieterstede,1,3431HW,Nieuwegein,Utrecht,Nederland,,info.nieuwegein@parkeerservice.nl,
I-O,2019,F,Koningshof,1,1211RP,Hilversum,,,,noreply@hilversum.nl,
I-O,173,F,Zilvermeeuw,1,7609PP,Almelo,Overijssel,Nederland,010-2170970,info@interparking.nl,
GEB,392,A,Zijlvest,39,2011VB,Haarlem,Noord-Holland,Nederland,14023,antwoord@haarlem.nl,
I-O,222,F,Zuiderzeeweg,8,1095KJ,Amsterdam,Noord-Holland,Nederland,0206937652,,
I-O,2022,F,Weverstede,0,3431JS,Nieuwegein,Utrecht,Nederland,,info.nieuwegein@parkeerservice.nl,
I-O,2016,F,Bisschopsweg,175,3817BT,Amersfoort,Utrecht,Nederland,,centrale@parkeerservice.nl,
GEB,664,P,Postbus,2118,4460MC,Goes,Zeeland,Nederland,140113,stadskantoor@goes.nl,
I-O,1621,F,Seerp van Galemawei,0,,Mantgum,,,,info@waadhoeke.nl,
I-O,1762,F,Oostpad,0,,Papendrecht,,,,,
I-O,2018,F,Brinkweg,1,1211RP,Hilversum,,,,noreply@hilversum.nl,
I-O,2015,F,Oliemolenkwartier,0,3812PB,Amersfoort,,,,info@amersfoort.nl,
I-O,2017,F,Eiteren,13,3401PS,Ijsselstein,Utrecht,Nederland,,info.ijsselstein@parkeerservice.nl,
I-O,1895,F,Schakelstede,0,3431HC,Nieuwegein,Utrecht,Nederland,,info.nieuwegein@parkeerservice.nl,
I-O,1933,F,Koningshof,1,1211RP,Hilversum,,,,noreply@hilversum.nl,
I-O,78,F,Noteboomstraat,13,7941XD,Meppel,Drenthe,Nederland,,postbus@meppel.nl,
I-O,1935,F,Brinkweg,1,1211RP,Hilversum,,,,noreply@hilversum.nl,
I-O,221,F,Zuiderzeeweg,46,1095KJ,Amsterdam,Noord-Holland,Nederland,0204635348,,
I-O,1896,F,Tinnegieterstede,1,3431HW,Nieuwegein,Utrecht,Nederland,,info.nieuwegein@parkeerservice.nl,
I-O,203,F,Lange Herenstraat,11,2011LK,Haarlem,Noord-Holland,Nederland,,,
I-O,625,F,Schuttestraat,5,6131JP,Sittard,Limburg,Nederland,,info@sittard-geleen.nl,
GEB,392,P,Postbus,511,2003PB,Haarlem,Noord-Holland,Nederland,14023,antwoord@haarlem.nl,
I-O,282,F,Vrouwemadestraat,76,4701CG,Roosendaal,Noord-Brabant,Nederland,,administratie@parkeerbeheer.nl,
GEB,758,A,Claudius Prinsenlaan,10,4811DJ,Breda,Noord-Brabant,Nederland,14076,gemeentebreda@breda.nl,
I-O,400,F,De Hilte,19,,Gieterveen,Drenthe,Nederland,,gemeente@aaenhunze.nl,
I-O,1763,F,Berkenwoude,0,2941LA,Lekkerkerk,,,,zuidholland@pzh.nl,
GEB,758,P,Postbus,90156,4800RH,Breda,Noord-Brabant,Nederland,14076,gemeentebreda@breda.nl,
I-O,1274,F,Speenkruid,32,2643KJ,Pijnacker,Zuid-Holland,Nederland,013-5234290,info@goereeoverflakkee.nl,
I-O,239,F,Frans Joseph van Thielpark,1,5707BX,Helmond,Noord-Brabant,Nederland,,,
I-O,1043,F,Markt,48,6161GK,Geleen,Limburg,Nederland,,info@sittard-geleen.nl,
GEB,935,P,Postbus,1992,6201BZ,Maastricht,Limburg,Nederland,14043,post@maastricht.nl,
GEB,935,A,Mosae Forum,10,6211DW,Maastricht,Limburg,Nederland,14043,post@maastricht.nl,
I-O,242,F,Frans Joseph van Thielpark,1,5707BX,Helmond,Noord-Brabant,Nederland,,,
GEB,856,P,Postbus,83,5400AB,Uden,Noord-Brabant,Nederland,140413,postbus83@uden.nl,
I-O,252,F,Maasboulevard,101,6211JW,Maastricht,Limburg,Nederland,,,
GEB,794,P,Postbus,950,5700AZ,Helmond,Noord-Brabant,Nederland,140492,gemeente@helmond.nl,
GEB,856,A,Markt,145,5401EJ,Uden,Noord-Brabant,Nederland,140413,postbus83@uden.nl,
I-O,243,F,Doorneind,1,5701ML,Helmond,Noord-Brabant,Nederland,,,
I-O,244,F,Doorneind,1,5701ML,Helmond,Noord-Brabant,Nederland,,,
GEB,794,A,Frans Joseph van Thielpark,1,5707BX,Helmond,Noord-Brabant,Nederland,140492,gemeente@helmond.nl,
I-O,77,F,Markt,8,7902BK,Hoogeveen,Drenthe,Nederland,,info@hoogeveen.nl,
I-O,245,F,Doorneind,1,5701ML,Helmond,Noord-Brabant,Nederland,,,
I-O,250,F,Franciscus Romanusweg,2,6221AE,Maastricht,Limburg,Nederland,,,
I-O,248,F,Pastoor Spieringsstraat,211,5401GT,Uden,Noord-Brabant,Nederland,,,
I-O,251,F,Maasboulevard,101,6211JW,Maastricht,Limburg,Nederland,,,
I-O,1767,F,Zuidbroekse Opweg,0,,Lekkerkerk,,,,zuidholland@pzh.nl,
I-O,249,F,Franciscus Romanusweg,2,6221AE,Maastricht,Limburg,Nederland,,,
I-O,253,F,Stationstraat,23,6231CK,Meerssen,Limburg,Nederland,,,
GEB,957,P,Postbus,900,6040AX,Roermond,Limburg,Nederland,140475,mail@roermond.nl,
GEB,938,A,Beekstraat,51,6231LE,Meerssen,Limburg,Nederland,14043,info@meerssen.nl,
GEB,938,P,Postbus,90,6230AB,Meerssen,Limburg,Nederland,14043,info@meerssen.nl,
GEB,957,A,Markt,31,6041EM,Roermond,Limburg,Nederland,140475,mail@roermond.nl,
GEB,981,A,Von Clermontplein,15,6291AT,Vaals,Limburg,Nederland,14043,info@vaals.nl,
GEB,981,P,Postbus,450,6290AL,Vaals,Limburg,Nederland,14043,info@vaals.nl,
I-O,261,F,Maaskade,38,5911EX,Venlo,Limburg,Nederland,,,
I-O,258,F,Nassaustraat,59,5911BT,Venlo,Limburg,Nederland,077-3596772,,
GEB,983,P,Postbus,3434,5902RK,Venlo,Limburg,Nederland,14077,info@venlo.nl,
I-O,262,F,Maaskade,38,5911EX,Venlo,Limburg,Nederland,,,
I-O,260,F,Maaskade,6,5911EW,Venlo,Limburg,Nederland,,,
GEB,983,A,Prinsessesingel,30,5911HT,Venlo,Limburg,Nederland,14077,info@venlo.nl,
I-O,257,F,Nassaustraat,59,5911BT,Venlo,Limburg,Nederland,077-3596772,,
I-O,1890,F,Weg door Jonkerbosch,100,6532SZ,Nijmegen,Gelderland,Nederland,,gemeente@nijmegen.nl,
I-O,1892,F,Overtoom,2,3401BK,Ijsselstein,Utrecht,Nederland,,info.ijsselstein@parkeerservice.nl,
I-O,286,F,Nieuwe Markt,81,4701AE,Roosendaal,Noord-Brabant,Nederland,,,
I-O,285,F,Laan van Brabant,48,4701BK,Roosendaal,Noord-Brabant,Nederland,,,
I-O,1889,F,Weg door Jonkerbosch,100,6532SZ,Nijmegen,Gelderland,Nederland,,gemeente@nijmegen.nl,
GEB,1674,P,Postbus,5000,4700KA,Roosendaal,Noord-Brabant,Nederland,0165-579111,info@roosendaal.nl,
I-O,1888,F,Philips van Leydenlaan,15,6525HP,Nijmegen,Gelderland,Nederland,,gemeente@nijmegen.nl,
I-O,289,F,Rijnstraat,8,2515XP,Den Haag,Zuid-Holland,Nederland,0900-4466880,,
I-O,290,F,Rijnstraat,8,2515XP,Den Haag,Zuid-Holland,Nederland,0900-4466880,,
I-O,1887,F,Plesmanlaan,125,6525GA,Nijmegen,Gelderland,Nederland,,gemeente@nijmegen.nl,
GEB,518,A,Spui,70,2511BT,Den Haag,Zuid-Holland,Nederland,14070,,
I-O,1893,F,Nachtwachtstede,0,3431HL,Nieuwegein,Utrecht,Nederland,,info.nieuwegein@parkeerservice.nl,
GEB,518,P,Postbus,12600,2500DJ,Den Haag,Zuid-Holland,Nederland,14070,,
GEB,995,P,Postbus,91,8200AB,Lelystad,Flevoland,Nederland,140320,gemeente@lelystad.nl,
GEB,995,A,Stadhuisplein,2,8232ZX,Lelystad,Flevoland,Nederland,140320,gemeente@lelystad.nl,
I-O,303,F,Hogepad,1,7462TA,Rijssen,Overijssel,Nederland,,,
I-O,302,F,Hogepad,1,7462TA,Rijssen,Overijssel,Nederland,,,
I-O,305,F,Koningin Julianalaan,341,2273JJ,Voorburg,Zuid-Holland,Nederland,,,
GEB,1742,A,Schild,1,7461DD,Rijssen,Overijssel,Nederland,0548-854854,gemeente@rijssen-holten.nl,
I-O,1310,F,Neptunusplein,21,9401CZ,Assen,Drenthe,Nederland,0592-330160,info@interparking.nl,
GEB,1916,P,Postbus,905,2270AX,Leidschendam,Zuid-Holland,Nederland,14070,info@leidschendam-voorburg.nl,
GEB,1684,P,Postbus,10001,5430DA,Cuijk,Noord-Brabant,Nederland,0485-396600,gemeente@cuijk.nl,
GEB,1742,P,Postbus,244,7460AE,Rijssen,Overijssel,Nederland,0548-854854,gemeente@rijssen-holten.nl,
GEB,1916,A,Raadhuisplein,1,2264BP,Leidschendam,Zuid-Holland,Nederland,14070,info@leidschendam-voorburg.nl,
GEB,1684,A,Louis Jansenplein,1,5431BV,Cuijk,Noord-Brabant,Nederland,0485-396600,gemeente@cuijk.nl,
I-O,319,F,Visstraat,18,3311KX,Dordrecht,Zuid-Holland,Nederland,078-6132881,info@apcoa.nl,
I-O,325,F,Schedeldoekshaven,100,2511EX,Den Haag,Zuid-Holland,Nederland,070-3467509,info@apcoa.nl,
I-O,321,F,Koningskade,1,2596AA,Den Haag,Zuid-Holland,Nederland,070-3640676,info@apcoa.nl,
I-O,320,F,Dokter Lelykade,220,2583CP,Den Haag,Zuid-Holland,Nederland,070-3063927,info@apcoa.nl,
I-O,503,F,Den Hulst,58,7711GP,Nieuwleusen,Overijssel,Nederland,0529-488388,info@dalfsen.nl,
I-O,627,F,Walstraat,67,6131CV,Sittard,Limburg,Nederland,,,
I-O,322,F,Heulstraat,21,2514ER,Den Haag,Zuid-Holland,Nederland,070-3630404,info@apcoa.nl,
I-O,314,F,Hoogoorddreef,3,1101BA,Amsterdam,Noord-Holland,Nederland,,info@apcoa.nl,
I-O,354,F,Zwarte Pad,0,2586HZ,Den Haag,Zuid-Holland,Nederland,,,
I-O,150,F,Doevenkamp,2,9401KN,Assen,Drenthe,Nederland,0592-366911,info@interparking.nl,
I-O,318,F,Korte Parallelweg,221,3311JN,Dordrecht,Zuid-Holland,Nederland,010-4041127,info@apcoa.nl,
I-O,327,F,Schedeldoekshaven,100,2511EX,Den Haag,Zuid-Holland,Nederland,070-3467509,info@apcoa.nl,
I-O,309,F,Hertogswetering,183,3543AS,Utrecht,Utrecht,Nederland,,info@apcoa.nl,
