;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
anoniem_IenW_284;1;;;;;;;1
anoniem_IenW_285;;;2;;;;;2
anoniem_IenW_286;1;;;;;;;1
anoniem_IenW_287;1;;;;;;;1
anoniem_IenW_288;1;;;;;;;1
anoniem_IenW_289;1;;;;;;;1
anoniem_IenW_290;2;;;;;;;2
anoniem_IenW_291;1;;;;;;;1
anoniem_IenW_292;;1;;;1;;;1
anoniem_IenW_293;;1;;;;;;1
anoniem_IenW_294;;1;;;;;;1
anoniem_IenW_295;2;;;;;;;2
anoniem_IenW_296;;;2;;;;;2
anoniem_IenW_297;1;;1;;;;;1
anoniem_IenW_39;;3;;;;;;3
anoniem_IenW_398;;;;;;1;;1
anoniem_IenW_399;2;;;;;;;2
anoniem_IenW_40;;;;;;2;;2
anoniem_IenW_400;2;;;;;;;2
anoniem_IenW_401;2;;;;;;;2
anoniem_IenW_402;3;;;;;;;3
anoniem_IenW_403;2;;;;;;;2
anoniem_IenW_436;1;;;;;;;1
anoniem_IenW_437;;1;;;;;;1
anoniem_IenW_438;;1;;;;;;1
anoniem_IenW_439;;2;1;;;;;2
anoniem_IenW_440;2;;;;;;;2
anoniem_IenW_60;1;;;;;;;1
anoniem_IenW_61;1;;;;;;;1
anoniem_IenW_62;1;;;;;;;1
anoniem_IenW_63;1;;;;;;;1
anoniem_IenW_64;2;;;;;;;2
anoniem_IenW_65;;;;1;;;;1
anoniem_IenW_66;1;;;;;;;1
anoniem_IenW_668;4;;;;;;;4
anoniem_IenW_67;;2;;;;;;2
anoniem_IenW_670;1;;1;;;;;1
anoniem_IenW_671;3;;;;;;;3
anoniem_IenW_68;1;;;;;;;1
anoniem_IenW_69;1;;;;;;;1
anoniem_IenW_70;;;1;;;;;1
anoniem_IenW_700;;;2;;;;;2
anoniem_IenW_705;2;;;;;;;2
anoniem_IenW_707;;1;;;;;;1
anoniem_IenW_71;2;;;;;;;2
anoniem_IenW_719;;;1;;;;;1
anoniem_IenW_72;1;;;;;;;1
anoniem_IenW_73;;1;1;;;;;2
anoniem_IenW_74;2;;;;;;;2
anoniem_IenW_75;1;;;;;;;1
anoniem_IenW_76;1;;;;;;;1
anoniem_IenW_77;1;;;;;;;1
anoniem_IenW_78;1;;;;;;;1
anoniem_IenW_79;3;;;;;;;3
Another Site;;;1;;;;;1
ANSAMAR B.V.;2;;;;;;;2
Antea Inspection B.V.;;;1;;;;;1
Antea Nederland B.V.;7;2;2;;;;4;7
ANWB B.V.;4;;;;;;;4
Aon Global Risk Consulting B.V.;1;;;;;;;1
APPM Management Consultants B.V.;5;;1;;;;;5
AquaTerra-KuiperBurger;1;;;;;;;1
AquaTerra-KuiperBurger (ATKB);2;;;;;;;2
AR Beleidsanalyses;2;;;;;;;2
ARA Groep B.V.;3;1;;;;;;3
Arab. Translation Service;1;;;;;;;1
Arbo Coördinatie Centrum B.V.;;;2;;;;;2
Arbo Unie B.V.;;1;;;;;;1
Arbode Maritiem B.V.;;1;1;;;;;1
ARCADIS Nederland;3;1;;;;;;4
ARCADIS Nederland B.V.;6;;2;;;;;6
Ardis Organisatieontwikkeling B.V.;1;;1;;;;;1
Ardon Advies;2;;;;;;;2
Arenda Oomen Fotografie;1;;1;1;;;;1
Arie Snel: De Bouwmeester;;1;;;;;;1
Aris;;;2;;;;;2
Aristo Utrecht B.V.;1;;1;;;;;1
Arnage Horeca B.V.;1;;;;;;;1
ARQ IVP B.V.;;;2;1;;;;2
Arriva Nederland;2;;;;;;;2
ARS Traffic & Transport Technology B.V.;2;;;;;;;2
At Osborne B.V.;7;;2;;;;3;7
Atelier Groenblauw / Opmaat;2;;;;;;;2
Atelier Tinga;1;;;;;;;1
Atos Nederland B.V.;1;4;1;;;1;;4
Attention Architects;2;;;;;;;2
Augustijn Management en Advies;1;;;;;;;1
Automotive Publishing B.V.;2;;;2;;;;2
AV Partner B.V.;1;;;;;;;1
Avanteers;;;2;;;;;2
AVB Language Group B.V.;1;;;;;;;1
Aveco De Bondt;2;;;;;;;2
Avex B.V.;;;;;;2;;2
Aviodrome Exploitatie B.V.;1;;;;;;;1
Aviv B.V.;5;;;;;;;5
Avus Nederland;;;;;1;;;1
Awareness B.V.;4;;;;;;;4
AWVN (Algemene Werkg.ver. Nederland);1;;;;;;;1
AXLE Focused;2;;;;;;;2
AYYA Hotel LLC;1;;;;;;;1
Azul Properties N.V.;1;;;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;1;2;;;;;;2
Babel B.V.;;2;;;;;;2
Bachu Projects;;;;;;;1;1
Baker Tilly Berk Breda;;2;;;;;2;2
Bakker Consultancy;;1;;;;;;1
Balance B.V.;;;1;;;;;1
Balance Financieel Management;1;;;;;;;1
Ballon Express 2.0 B.V.;1;;;;;;;1
Banketbakkerij Verspeek;;1;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;;;;;1
Barcelona Supercomputing Center - C;;;3;;;;;3
BarentsKrans Coöperatief UA;;;;;1;;;1
Bart Maat Fotografie;1;;;;;;;1
Bart van Vliet Freelance Fotograaf;1;;;;;;;1
Bart Versteeg fotograaf;1;;;;;;;1
Bartman Communicatie;;2;;;;;;2
Bas Fotografie;1;;;;;;;1
Basic Arbo Bedrijfsadvies;;;2;;;;;2
Bax & Company B.V.;3;;;;;;;3
BB-Go;;;1;;;;;1
BCN B.V.;1;;;;;;;1
BCN DOTS;;;1;;;;;1
Be Mobile B.V.;7;;;;;;;7
Beach Club Oostvoorne B.V.;1;;;;;;;1
Beach Professionals B.V.;1;;;;;;;1
BeanBrothers;2;;;;;;;2
Beautiful Earth Action & Research BEAR;1;;;;;;;1
Beautiful Economy;1;;;;;;;1
Begeleider van Verandering;1;;;;;;;1
BeiJing GuoHuan Air Services Ltd;2;;;;;;;2
Beijing Jinbo Exhibition Service Lt;1;;;;;;;1
Beijk Horeca Heerenveen B.V.;1;;;;;;;1
Beleving aan zee;1;;;;;;;1
Belgisch Biercafé Olivier B.V.;1;;;;;;;1
BELGISCH INST VOOR DE VERKEERSVEILI;2;;;;;;;2
Belvedair;1;;;;;;;1
BENTLEY SYSTEMS INTERNATIONAL;;;;;;1;;1
Berenschot B.V.;5;;2;2;;;;5
Berenschot Groep B.V.;5;;3;;;;;5
BERTHOLD TECHNOLOGIES (BELGIUM);;2;;;;;;2
BeSite B.V.;2;;;;;;;2
Better Future Factory B.V.;1;;;;;;;1
Beuk Touringcars;1;;;;;;;1
Bev. der Bouwk. Bond v. Nederland. Arch. BNA;2;;;;;;;2
Beyer & Velinck;4;;;;;;;4
Biesieklette Holding B.V.;1;;;;;;;1
Bijlsma Wartena B.V.;;4;;;;;2;4
Bilfinger Tebodin B.V.;2;;;;;;;2
Bilfinger Tebodin Netherlands B.V.;;4;;;;;;4
Bio-Diverse research & consulting;1;1;;;;;;2
Bitman B.V.;1;;;;;;;1
BK Scientific GmbH;;2;;;;;;2
BKB Travel & Training Services;1;;;;;;;1
Blauw Research B.V.;;2;;;;;;2
Blik Grafisch Ontwerp;1;;1;;;;;1
blikopeners.nu;;;1;;;;;1
Bloc B.V.;2;;;;;;;2
Bloemberg Communicatie;1;;;;;;;1
Blonk Milieu Advies B.V.;1;;;;;;;1
BLOSSOM bloemisterij;1;;;;;;;1
Blueconomy B.V.;4;;;;;;;4
Blueland Consultancy B.V.;2;;;;;;;2
BLYENBURGH & CO;1;;;;;;;1
BME ITS NONPROFIT PLC.;1;;;;;;;1
BMO Bur. Manag. Onderst.&Secretar. Dnstn B.V.;1;;;;;;;1
BNF B.V.;1;;;;;;;1
BNV Mobility;2;;;;;;;2
Board of Airl. Represent. in the Netherlands;4;;;;;;;4
Bobbe International B.V.;1;;;;;;;1
Bochane Rent;1;;;;;;;1
Boeketcadeau.nl;1;;;;;;;1
Bokeh B.V.;1;;;;;;;1
Bokhorst Communicatie;1;;;;;;;1
Bol Communications;;;;1;;;;1
bol.com B.V.;;;;;;;1;1
Bolster Group B.V.;;2;;;;;;2
Bont Consult;2;;;;;;;2
Bonte Bij B.V.;;;3;;;;;3
Bontekoe Produkties V.O.F.;;;1;;;;;1
Boosty II B.V.;1;;;;;;;1
Booz Event Design B.V.;1;;;;;;;1
Borger & Burghouts B.V.;;2;;;;;;2
Bosch & Van Rijn B.V.;;;1;;;;;1
Bosch en Slabbers Den Haag B.V.;2;;;;;;;2
Bossers & Cnossen B.V.;;;;;;1;;1
Boterwaag Den Haag B.V.;1;;;;;;;1
Bovag Service B.V.;2;;;;;;;2
Brackel Juridisch Management;;;;;2;;;2
Brackmann Beheer B.V.;;2;;;;;;2
BRAND The Urban Agency B.V.;3;;;;;;;3
Brand Wave Communications;1;;;;;;;1
BRB Sound;;;1;;;;;1
Breinkorf;;3;;;;;;3
Brick;1;;;;;;;1
Broekhuizen Communicatie;3;;;;;;;3
Brunel Nederland B.V.;;;7;;;;;7
BSI Group The Netherlands B.V.;;;2;;;;;2
BTS;1;;;;;;;1
BUCK CONS INT;1;;;;;;;1
Buck Consultants International B.V.;2;;;;;;;2
BuildBrands;;;1;;;;;1
Buildings That Matter B.V.;1;;;;;;;1
Bukman Management;;;1;;;;;1
BUNDESINSTITUT FÜR BAU-, STADT- UND;;1;;;;;;1
Bureau Beeldtaal, filmmakers;;;1;;;;;1
Bureau BlauwGeel B.V.;2;;;;;;;2
Bureau Brusse;;;2;;;;;2
Bureau De Bont B.V.;;;2;;;;;2
Bureau Integriteit B.V.;;;2;;;;;2
Bureau Mureau;1;;;;;;;1
Bureau Op Stand Grafische Vormgeving;1;;;;;;;1
Bureau op zolder;;2;;;;;;2
Bureau Sanering Verkeerslawaai;7;;;;;;;7
Bureau van Veen;2;;;;;;;2
Bureau voor Overheidscommunicatie B.V.;2;;;;;;;2
Bureau Waardenburg B.V.;1;;1;;;;;1
Bureau Walder;;;;1;;;;1
Bureau Zuidema B.V.;1;;;;;;;1
Burger Coaching & Advies;;2;;;;;;2
Burgundy Street B.V.;1;;;;;;;1
BURO38;2;;;;;;;2
Burrata Turfmarkt B.V.;1;;;;;;;1
Businesswise Inspiring People B.V.;1;;;;;;;1
Buwalda Redactionele Service;2;;;;;;;2
Buyitdirect.com B.V.;;;;;;5;;5
Bvsadvies;;1;;;;;;1
by DnA;1;;;;;;;1
Byron Hill Consulting;2;;;;;;;2
C. Claessen, Manag. Opl. en Org. Ontwikkeling;1;;;;;;;1
Café Bistro Jules;1;;;;;;;1
Café Restaurant De Beyerd;1;;;;;;;1
Café Restaurant Rootz B.V.;1;;;;;;;1
CAH A/S;1;;;;;;;1
Cancer Health Coach;;1;5;;;;;5
Canic Interactive LLC;2;;;;;;;2
Canis Global Detection;;;1;;;;;1
Canon Nederland N.V.;;;;;;1;;1
CAOP;1;;2;;;;;2
Capgemini Nederland B.V.;;;;;;2;;2
Cargo Screeners Dog Security B.V.;;1;;;;;;1
CARIBBEAN WATER AND WASTEWATER;2;;;;;;;2
Carlton Oasis Hotel;1;;;;;;;1
Carthago ICT;;;;;;1;;1
CartoonistLive;;;1;;;;;1
Casella Consulting;1;;;;;;;1
Castle Communications B.V.;2;;;;;;;2
Castor Consultancy;1;;;;;;;1
cathyvanbeek consultancy & coaching;1;;;;;;;1
Cauberg Huygen;;2;;;;;;2
CDR International B.V.;2;;;;;;;2
CE Delft;7;2;2;;;;;7
Cecile Seignette Public Relations;2;;;;;;;2
Ceeh Communicatie en Ondersteuning;3;;;;;;;3
Cees Media Communicatie Advies CMCA;1;;;;;;;1
Center for the Study of Public Poli;2;;;;;;;2
Centraal Boekhuis B.V.;1;;;;;;;1
Centralpoint Amstelveen B.V.;;1;;;;;;1
Centralpoint Nijmegen B.V.;;;;;;7;;7
Centre for Climate Adaptation B.V.;;2;;;;;;2
Centre for International Forestry;1;;;;;;;1
Centric;;2;;;;2;;3
Centric Financial Professionals B.V.;;;1;;;;;1
CERFACS;;3;;;;;;3
CEVA Showfreight;1;;;;;;;1
CG/LA Infrastructure Inc.;2;;;2;;;;3
CGI;3;1;5;;;5;;6
CGI Nederland B.V.;;;;;;;2;2
Challenge of Change;1;1;;;;;;1
Chartervaart Harderwijk B.V.;1;;;;;;;1
Chauffeur Drive AMAG Services AG;1;;;;;;;1
Chloe J Hill Consulting;1;;;;;;;1
Ciao! Ciao! B.V.;1;;;;;;;1
Circular Future;1;;;;;;;1
Cisca Ansem Management Services B.V.;;;1;;;;;1
Cistel Technology B.V.;2;;;;;;;2
City Manager's Office;1;;;;;;;1
City, University of London;2;;;;;;;2
CIVIL AVIATION AUTHORITY;2;;;;;;;2
Civilair Aruba;1;;;;;;;1
Classic Incasso B.V.;1;;;;;;;1
Clickshots Fotografie;1;;;;;;;1
CLIMATE RESILIENCE LTD;;;1;;;;;1
Clipit News B.V.;1;1;;;;;;1
CLM Onderzoek en Advies B.V.;4;;;;;;;4
Cloose;1;;;;;;;1
cmptr;2;;;;;;;2
CO3 (Toon van Lieshout);1;;;;;;;1
Coastal & Marine Union;2;;;;;;;2
cocktail-shaken.nl;1;;;;;;;1
Collingwood Worldwide Ltd;5;;;;;;;5
Comhairle;1;;;;;;;1
Common Eye B.V.;;1;2;;;;;2
Communicatie Bureau Podium B.V.;1;;;;;;;1
Communicatiebureau De Walvis;;1;;;;;;1
Communicatiekrachten;1;;;;;;;1
Compacon B.V.;2;;;;;;;2
Compacon West Nederland B.V.;1;;;;;;;1
Compaijen C&C;1;;;;;;;1
Company Sandwich Shop/Online shop;1;;;;;;;1
COMPAREX Nederland B.V.;6;;1;;;7;;7
Compass Group Nederland B.V.;1;;;;;;;1
Competence Factory;1;;;;;;;1
Complions-GRC B.V.;;1;;;;1;;1
Conbuquest;1;;;;;;;1
ConCEPD;2;;;;;;;2
Concept Connection B.V.;1;;;;;;;1
Concretor B.V.;;;;;;4;;4
Congress by design;1;;;;;;;1
Coniche IN consultancy & projects B.V.;;;1;;;;;1
Connect Management Consulting;;;1;;;;;1
Connexxion Nederland N.V.;2;;;;;;;2
Connexxion Taxi Services B.V.;2;;;;;;;2
Connexxion Tours;1;;;;;;;1
Considerati B.V.;;;;;;3;;3
Consulting JTF;1;;;;;;;1
Consumer Centric;;;2;;;;;2
Coolblue B.V.;1;;1;;;1;;1
Coöperatie '2D3D Design' UA;;1;;;;;;1
Coöperatie Cirkelstad UA;1;;;;;;;1
Coöperatie De Betekenaar UA;;;1;;;;;1
Coöperatie Green Events Nederland UA;3;;;;;;;3
Coöperatie Ontwikkeling Leerpark UA;1;;;;;;;1
Coöperatie Oranje Energie UA;;;2;;;;;2
Coöperatie PreventPartner UA;;;1;;;;;1
Coöperatie Samenwerkingsverband DOVA UA;4;;;;;;;4
Coöperatief Congrestolkensecretariaat UA;1;;;;;;;1
Coöperatieve Circle Economy UA;3;;;;;;;3
Coöperatieve Rabobank UA;;;;;;;2;2
Coöperatieve Vereniging MISCANTHUSGROEP UA;1;;;;;;;1
Coosto B.V.;1;;;;;;;1
COPERNICUS GESELLSCHAFT;1;;;;;;;1
Copper IM B.V.;;;;;;1;;1
Cormet Schoolcatering B.V.;1;;;;;;;1
Countus Accountants + Adviseurs;;;;;1;;;1
CP2 Fieldmarketing;2;;;;;;;2
CPLS Text & Copy;1;;;;;;;1
craftingNB B.V.;2;;;;;;;2
Creator Meeting Support B.V.;1;;;;;;;1
Creon B.V.;;;1;;;;;1
CRIMSON ARCHITECTURAL HISTORIANS;1;;;;;;;1
Crisislab;2;;;;;;;2
Croon advocaten N.V.;;;;;4;;;4
CuinQ Consulting;2;;;;;;;2
Cuisinerie Mensinge;1;;;;;;;1
Cyan Circle B.V.;;1;;;;;;1
Cynthia van Elk Photographer;2;;;;;;;2
Cypress Trading B.V.;1;;;;;;;1
D&B;2;;;;;;;2
Dagversgroothandel Buitendijk B.V.;1;;;;;;;1
Daily;1;;;;;;;1
Dansen B.V.;1;;;;;;;1
DAT.Mobility B.V.;2;;;;;;;2
Datalinx Congres- en Secretariaatbureau;1;;;;;;;1
Dbf Communicatie B.V.;1;;;;;;;1
Dbvision B.V.;4;;;;;;;4
DC-ANSP;2;;;;;;;2
d-centralize B.V.;;;;;;1;;1
DDK B.V.;2;;;;;;;2
De Argumentenfabriek B.V.;1;;;;;;;1
De Baak Administratie;1;;;;;;;1
De Baan Verkeersadvies;2;;;;;;;2
De Babbel Barneveld B.V.;1;;;;;;;1
De Bebsel;1;;;;;;;1
De Bles B.V.;1;;;;;;;1
de brandmeester;1;;;;;;;1
De Colonie Houten B.V.;1;;;;;;;1
De Doelen;2;;;;;;;2
De Duurzaamheidsrapporteurs;2;;;;;;;2
De Eendenkooi;1;;;;;;;1
De Federatie B.V.;;1;;;;;;1
De Fietsfanaat;1;;;;;;;1
De Freewieler;1;;;;;;;1
De Galan Groep B.V.;2;;;;;;;2
De Gemeynt Coöperatie UA;4;;;;;;;4
De Haas Maassluis B.V.;;;;;1;;2;2
de Haegsche Prael;1;;;;;;;1
De investeringsmaatschappij;;;1;;;;;1
De Jonge Helden;1;;;2;;;;2
De keuken van Thijs;1;;;;;;;1
De Kleyne Sint Jacob;1;;;;;;;1
De Kreij Media;1;;;;;;;1
De Leeuw Legal;;;;;1;;;1
De Liefdesdokter;2;;;;;;;2
de Mediaman;1;;;;;;;1
De Muynck Exploitatie B.V.;1;;;;;;;1
De Pier Horeca B.V.;1;;;;;;;1
De Plaatjesmaker Visuals;;1;;;;;;1
De Pomp Utrecht;1;;;;;;;1
De Resolutie Rijswijk B.V.;1;;;;;;;1
De Rotterdam B.V.;2;;;;;;;2
De Rotterdam Business Center B.V.;1;;;;;;;1
De Schenker B.V.;1;;;;;;;1
De Tamboer;1;;;;;;;1
De Toetsfabriek B.V.;;;;;;;2;2
De Urbanisten B.V.;2;;;;;;;2
De Voort Advocaten - Mediators;;;1;1;;;;1
De Zaak van Dorien;1;;;;;;;1
De Zeeuw Facilitator Productions;1;;;;;;;1
De Zilveren Vosch B.V.;1;;;;;;;1
debaasmanagement.nl;;;1;;;;;1
Debat.NL B.V.;1;;;;;;;1
Decipher Design Ltd;1;;;;;;;1
Decisio B.V.;6;;;;;;;6
DEFACTO Architectuur en Stedenbouw;3;;;;;;;3
Defibrion;1;;;;;;;1
Déhora Consultancy Group B.V.;;2;;;;1;;2
Dekra B.V.;;;1;;;;;1
Deloitte Accountants;4;;5;;;;5;6
Delta III Visuals & Communications;2;;;;;;;2
Deltalinqs;2;;;;;;;2
Den Haag Centrum v. Strategische Studies B.V.;2;;;;;;;2
Denckers B.V.;2;;;;;;;2
Denis Guzzo;1;;;;;;;1
Denkers Reclame;1;;;;;;;1
Denkplaats;;;;1;;;;1
Deployment Matters Netherlands B.V.;1;;;;;;;1
Derek Middleton;1;;1;;;;;1
Detron Communication Solutions;;;;;;3;;3
DEUTSCHES ZENTRUM FUR LUFT- UND;;5;3;;;;;6
Deviate Design B.V.;1;;;;;;;1
DEVISE B.V.;2;;;;;;;2
Dewitec Projecten B.V.;;1;;;;;;1
DFS Aviation Services GmbH;2;;;;;;;2
DGMR Industrie Verkeer en Milieu B.V.;2;;;;;;;2
dHume B.V.;1;;;;;;;1
DIANA FEA B.V.;;;;;;2;;2
Diemex Expertise B.V.;;;;;1;;;1
DIG - Design Innovation Group B.V.;2;;;;;;;2
Diks Autoverhuur B.V.;1;;;;;;;1
Dimdim Grafisch Ontwerp & Illustratie;2;;;;;;;2
Diner Thuis;1;;;;;;;1
Direct2Improve B.V.;;2;2;;;;;2
Discountoffice.nl B.V.;;1;;;;;;1
Dispuut Verkeer;1;;;;;;;1
DITCM FACILITIES;2;;;;;;;2
DitisNEWZAssen B.V.;1;;;;;;;1
DJH van Kleef en MJH van Kleef;1;;;;;;;1
DLR INST FUER PHYSIK ATM DER;;2;;;;;;2
dmdelivery;;;;1;;;;1
DNADN;1;;;;;;;1
DNV GL Netherlands B.V.;5;;1;;;;;5
Docspro B.V.;;;;;;3;;3
Doenederland.nl B.V.;1;;;;;;;1
Dokkumer Vlaggen Centrale B.V.;1;;;;;;;1
DONAUKOMMISSION;2;;;;;;;2
Donki Gotte;1;;;;;;;1
Door Verspreidingen B.V.;;1;;;;;;1
Doorpakken;;;;1;;;;1
Doortimmerd;4;;;;;;;4
Doorzon B.V.;;;1;;;;;1
Dop & Dop Consultancy B.V.;1;;;;;;;1
Dorpshuis 'De Bouwakker';1;;;;;;;1
Douwe E. Buis B.V.;;;3;;;;;3
DPA Overheid B.V.;;;2;;;;;2
DPI;2;;;;;;;2
Dr. Hillie Aaldering, organisatiepsycholoog;1;;;;;;;1
Drees & Sommer Netherlands B.V.;1;;;;;;;1
Drink en Eetlokaal Proefverlof B.V.;1;;;;;;;1
DRVM bouw en management B.V.;1;;;;;;;1
DTV Consultants B.V.;2;;;;;;;2
Dubobol B.V.;;;;;;;1;1
Dudok Rijnstraat B.V.;1;;;;;;;1
Duke Faunabeheer;2;;;;;;;2
Dunea N.V.;1;;;;;;;1
Dunfield Editing;;1;;;;;;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;1;;;;;;;1
Dura Vermeer Infra Milieu B.V.;7;;;;;;;7
Durable Advice;2;;;;;;;2
Dutch Design Sketching;2;;;;;;;2
Dutch Drone Company B.V.;;;1;;;;;1
Dutch Icon;1;;;;;;;1
Dutch Research Institute for Transitions B.V.;4;;;;;;;4
Duyst & Projecten B.V.;1;;;;;;;1
DWTI - SIST;1;;;;;;;1
DynaVision B.V.;;;1;1;;;;1
E.A.L. Electronic Application Laboratory B.V.;;;;;;1;;1
E.A.M. Groenewegen Holding B.V.;;1;;;;;;1
E.P. Kroes Beheer B.V.;1;;;;;;;1
E4tech (UK) Ltd;3;;;;;;;3
E4tech Sàrl;2;;;;;;;2
EASA;;;1;;;;;1
East & west urban consultancy;1;;;;;;;1
Easy Montage & Techniek;;;;;;1;;1
Ech Wel;1;;;;;;;1
Eco Consult;1;;;;;;;1
EcoAgriculture International;1;;;;;;;1
EcoChain Technologies B.V.;;1;;;;;;1
ECORYS Nederland B.V.;6;2;2;;;;;6
EdMin Webdevelopment;;;;;;1;;1
E-Drivers;;;1;;;;;1
Education Abroad;1;;;;;;;1
eelloo;;1;;;;;;1
Effectory Holding B.V.;;;2;;;;;2
EIDIKOS LOGARIASMOS KONDILION EREVN;;2;;;;;;2
Eiffel B.V.;;;;1;;;;1
Elba Media B.V.;2;;;;;;;2
Elsing Horeca Exploitatie;1;;;;;;;1
EMC Advies B.V.;;;1;;;;;1
Emergent B.V.;1;;;;;;;1
EMMA Communicatie B.V.;5;;1;;;;;5
ENERDATA;1;;;;;;;1
Enexis Personeel B.V.;2;;;;;;;2
Engelen en Partners Organisatieontwikk. B.V.;;;1;;;;;1
Engels & Partners;1;;;;;;;1
Engels Conference Center B.V.;1;;;;;;;1
Engels Horeca Rotterdam B.V.;1;;;;;;;1
Enmo Nederland B.V.;;;1;;;;;1
Enof creatieve communicatie B.V.;;2;;;;;;2
Enterprise Summit B.V.;1;;;;;;;1
Entopic B.V.;1;1;;1;;;;1
