Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Ruben Verhaaf Software-Architect & Developer;;;;2;;;;;2
Runbook Company B.V.;;;1;;;;;;1
Ruys Handelsvereniging B.V.;;;;;1;;;;1
SAP Nederland B.V.;;;4;1;;;;;4
Scholten Awater B.V.;;5;6;;;;;;7
Schoonderbeek Elektro B.V.;;;;;;;1;;1
Science In Action B.V.;;;;2;;;;;2
Science Plus Group;;;1;;;;;;1
Sectra Communications B.V.;;;;;;;2;;2
SEEBURGER Benelux;;;1;;;;;;1
Sensitech Holding B.V.;;1;;;;;;;1
Siemens Nederland N.V.;;;1;2;;;;;2
SIMPoint B.V.;;;;;;;1;;1
Siteimprove B.V.;;;1;;;;;;1
SLTN IT Products B.V.;;;;1;;;;;1
SmartDocuments Nederland B.V.;;;;1;;;;;1
SoftwareONE B.V.;;;;2;;;;;2
Sogeti Nederland B.V.;;;6;2;;;;;6
Specialisterren B.V.;;;1;;;;;;1
Spot en Speaker B.V.;;;;;;;1;;1
Stichting Beheer Derdengelden X Pact;;;;;;2;;;2
Stichting Dutch Hospital Data;;;;;;;1;;1
Stichting Informatie Voorziening Zorg;;;;;;;;1;1
Stichting MOVISIE;;;;;;;;4;4
Stichting QuestionMark;;;;;;;;1;1
Stichting SBOH;;;;;;;;3;3
Stichting VeiligheidNL;;;;;;;;1;1
Studio Zoetekauw;;;;1;;;;;1
Studio2 Communications B.V.;;;1;;;;;;1
Superoffice Benelux B.V.;;;;1;;;;;1
SURFmarket;;;3;4;;;;;5
SURFnet B.V.;;;;4;;3;3;;5
Systeemhuis Compri B.V.;;;1;1;;;;;1
T&T Compet&t.b.v.;;;;3;;4;;;4
Tam Tam B.V.;;;;1;;;;;1
Tangram B.V.;;;;2;;;;;2
Tecan Benelux B.V.B.A.;;;1;;;;;;1
Technolution B.V.;;;4;;;;;;4
Tele2 Nederland B.V.;;;;;;;2;;2
Telecom Service Leek B.V.;;1;;;;;1;;1
Telegrootgebruik B.V.;;;;;;;5;2;5
Telindus-ISIT B.V.;;6;4;1;;;;;7
Tentoo Directors Cast & Crew B.V.;;;;;;;;2;2
The Courseware Company B.V.;;;1;1;;;;1;2
The Implementation Group B.V.;;;;1;;;;;1
The Voip Company;;;;;;;1;;1
Thermo Fisher Scientific B.V.;;;2;1;;;;;2
Timbers;;;;1;;;;;1
TMC Test & Integration B.V.;;;;1;;;;;1
TNO B.V.;;;;2;;;;1;2
Topdesk B.V.;;;2;2;;;;;2
TOPdesk Nederland B.V.;;;2;2;;;;;3
Topicus Zorg 2e lijn B.V.;;;;4;;;;5;5
Total Identity;;;;1;;;;;1
Total Identity B.V.;;;;1;;;;;1
Transfer Consulting B.V.;;;;3;;;;;3
Transfer Managed Services B.V.;;;;1;;;;;1
Transformation Technologies B.V.;;;;2;;;;;2
Triple P Nederland B.V.;;1;4;;;;3;;5
Triv Internet Solutions;;;;2;;;;;2
Two Kings B.V.;;;;2;;;;;2
Tygron B.V.;;;;2;;;;;2
Unica Security B.V.;;;2;;;;;;2
Uptrends B.V.;;;;;1;;;;1
Utica B.V.;;;;;;;1;;1
Van Opstal Consulting B.V.;;;;1;;;;;1
VCD IT Groep B.V.;;;;2;5;;;;5
Vektis C.V.;;;;;;;;2;2
Verdonck, Klooster & Associates B.V.;;;;;;;4;;4
Verenso;;;;;;;;1;1
Vevida;;;;1;;;;;1
Via Futura;;;;1;;;;;1
Viadesk;;;1;3;;;;;3
VLC Nederland B.V.;;;2;;;;;;2
Vodafone;;;;;;;2;;2
Vodafone Libertel B.V.;;1;;1;;;6;;6
Vuurland Produkties P.A.;;;;;;;1;;1
WebEx Communications B.V.;;;;;;;1;;1
Webservices.nl B.V.;;;;1;;;;;1
WhiteVision Software Bedenkers B.V.;;;1;2;;;;;2
Wijngaarden Automatiserings Gr. afgekort WAG;;;;1;;;;;1
WorkSphere;;;2;;;;;;2
Wyldebeast & Wunderliebe B.V.;;;;;;;;2;2
XDialogue B.V.;;;;1;;;;;1
Xelion B.V.;;;1;;;;;;1
Xerox (Nederland) B.V.;;2;2;1;;;;1;2
XMARK B.V.;;;;;;;1;;1
Xolphin B.V.;;;1;1;;;1;;1
XS4ALL Internet B.V.;;;;1;;;1;1;1
Yowsim! competence simulator B.V.;;;;;;;;1;1
Z Index B.V.;;;;1;;;;;1
Zet Solutions B.V.;;;;;1;;;;1
Zorgverzekeraars Nederland;;6;;;;;;;6
Eindtotaal;2;8;9;8;5;4;7;7;10
