Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-Communicatie
Total Identity, Total Public;;;;;3;3
Trend Office Bakas;;;;;1;1
TRENDSETTERS STYLING EN INRICHTINGEN;;;;1;;1
Uncrowned King;;;;1;;1
University Press Amsterdam;;1;;;;1
UPC Nederland;;1;;1;;1
Vakmedianet Management;;1;;;;1
Van Dijk Educatie;;1;;;;1
Van Dijk Zakelijk (incl. Selexyz, Donner, Scholtens, Scheltema, Kooyker, de Tille, Gianotte, Broese,...);;3;;;;3
Van Haren Publishing;;1;;;;1
Van Slobbe Reclame;;;;;1;1
Van Stockum;;1;;;;1
Van Stockums Veilingen;;1;;;;1
Van Vlier Media;;;;;2;2
VDLC van der Linden Communicatie Publishers/Consultants;;1;;;;1
Vereniging van Woningcorporaties - Aedes;;1;;;;1
Vereniging Voor Overheidsmanagement;;1;;;;1
Verloren Uitgeverij;;1;;;;1
Vide Beroepsvereniging;;1;;;;1
VKA Verdonck Klooster & Associates;;;;;3;3
VNU Exhibitions;;;;1;;1
Voc Uitgevers;;1;;;;1
Vorm Vijf Ontwerpteam;;;;;1;1
VVK Vereniging Voor Klachtrecht in De Publieke Sector;;1;;;;1
Wbooks (vh Waanders, Uitgeverij, Drukkers);;1;;;;1
Weekbladpers Tijdschriften;;1;;;;1
Wentelwereld;;;;1;2;2
Wolters Kluwer (incl. Kluwer);;2;;;;2
Woonbond, Vereniging Nederlandse;;1;;;;1
Ziaja & Dorst;;;;;1;1
Eindtotaal;2;5;3;4;6;7
