Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
IPS B.V.;;;;1;;;;;1
Iturnity Consulting B.V.;;;;;2;;;;2
IVR;;;;1;;;;;1
iWelcome B.V.;;;;;4;;;;4
ixly B.V.;;;;;;;2;;2
John Verzijden B.V.;;;;;;;1;;1
Juist Beheer B.V.;;;;;;;;1;1
KE Business B.V.;;;;2;;;;;2
Kentie Afterprint B.V.;;;;;1;;;;1
KERN Nederland B.V.;;;6;;;;;;6
Koning & Hartman B.V.;;;2;;;;;;2
Koning & Hartman Network Services B.V.;;;1;;;;;;1
KPN B.V.;;;;1;;;4;;4
KPN Consulting B.V.;;;;;;;2;;2
KPN Corporate Market;;;;5;6;;7;;7
KPN XL;;;;;;;1;;1
laptopshuren.nl B.V.;;1;;;;;;;1
LeaseWeb Netherlands B.V.;;;1;;;;;;1
Live Presence B.V.;;;;;3;;;;3
Loyals Online B.V.;;;;;;;2;;2
manroland Benelux N.V.;;;1;;;;;;1
Mechanisatiebedrijf van Bergen B.V.;;;;;;;1;;1
Mensys B.V.;;;;1;;;;;1
Micro Focus N.V.;;;;;1;;;;1
Misco Solutions B.V.;;;4;;;;;;4
MSC Information Retrieval Technologies B.V.;;;;1;;;;;1
Music House the Netherlands;;;1;;;;;;1
NCC Group Escrow Europe B.V.;;;;1;1;;;;1
Ned. Ver. van Bedr.telecomm. Grootgebruikers;;;;;;;1;;1
One Shoe B.V.;;;;;1;;;;1
Optelec Nederland B.V.;;;4;;;;;;4
Oracle Nederland;;;;1;5;;;;5
OSN Nederland B.V.;;;5;;;;;;5
Ostfest Limited;;;;;;;1;;1
Parabots;;;;;1;;;;1
Pentesterlab;;;;1;;;;;1
PIENter BOUWen;;;;;3;;;;3
Ping Castle SAS;;;;1;;;;;1
Plex B.V.;;;;1;;;;;1
PNA Products B.V.;;;;;3;;;;3
PQR Holding;;;;;5;;;;5
Print en Support;;;;1;;;;;1
Priority;;1;;;;;1;;1
PROCOS Nederland B.V.;;;;2;;;;;2
Prosperius B.V.;;;;1;;;;;1
Protinus IT B.V.;;7;2;4;5;;1;;7
Q42;;;;;1;;;;1
Qpr Costcontrol B.V.;;;;;2;;;;2
QSM Nederland B.V.;;;;2;;;;;2
QuoVadis Trustlink B.V.;;;;3;;;1;;3
R.K. Herenkoor St. Cecilia;;1;;;;;;;1
Réseaux IP Européens Network Coord. Centre;;;;;;;1;;1
Rentmeester Art;;;;1;;;;;1
Ricoh Nederland B.V.;;;1;2;;;;;2
SafeNet Europe B.V.;;;;3;;;;;3
SAIT B.V.;;;;;;;2;;2
SAP Nederland B.V.;;;;1;7;;;;7
Schiphol Nederland B.V.;;;;2;;;;;2
Schiphol Telematics B.V.;;;;;;;5;;5
Scholten Awater B.V.;;1;2;;;;;;2
Schuberg Philis B.V.;;;;;;7;;;7
SDL Netherlands B.V.;;;;;2;;;;2
Sdu Uitgevers B.V.;;;;5;;;;1;5
Sectra Communications B.V.;;;;;;;2;;2
Secura B.V.;;;;;;;3;;3
SecureLink Nederland B.V.;;2;;3;7;;;;7
Sidekiq;;;;1;;;;;1
Siteimprove B.V.;;;;3;;;;;3
SLTN IT Products B.V.;;4;4;;5;;;;6
SmartDC B.V.;;;;;;;1;;1
SoftwareONE B.V.;;;5;2;7;;;;7
Solarfields Nederland B.V.;;;;;;;1;;1
SRC System Integrators B.V.;;;;;1;;;;1
Stg. Routerings (Int.)Nat. Informatiestromen;;;;;;;6;;6
Sticht. Internet Domeinregistratie Nederland;;;;;;;2;;2
Stichting Beheer Derdengelden X Pact;;;;1;;;;;1
Still Intern Transport B.V.;;;;;;;1;;1
Syslogic V.O.F.;;;;2;;;;;2
Talentsoft Holding B.V.;;;;;5;;3;;5
Tanti S.A.R.L.;;;;;1;;;;1
Tectrade B.V.;;;2;;;;;;2
Tedas B.V.;;;;;;;1;;1
Tele2 Nederland B.V.;;;;;;;7;;7
Teleflex Holding Netherlands B.V.;;;1;;;;;;1
Telegrootgebruik B.V.;;;;;;;6;;6
Telfort Zakelijk;;;;;;;1;;1
Telindus-ISIT B.V.;;8;8;2;1;;3;;9
Tensing Safety & Security B.V.;;;;;;;1;;1
TOPdesk Nederland B.V.;2;;;;;;;;2
TriageExpert B.V.;;;;;3;;;;3
TriOpSys B.V.;;;;;;;2;;2
Unisys Nederland N.V.;;;3;;;;;;3
United Electric Automation B.V.;;;;;3;;;;3
Uno Automatiseringdiensten B.V.;;;;;;;1;;1
UP learning B.V.;;;;1;;;2;;2
Vastgoeddata Nederland B.V.;;;;2;;;;;2
VIP INTERNET;;;;1;;;;;1
Vodafone;;4;4;;;;7;;7
W4Y Adviseurs B.V.;;1;;;;;;;1
Wolters Kluwer Poland Holding B.V.;;;;4;;;;;4
Xerox (Nederland) B.V.;;;;;;;1;;1
XS4ALL Internet B.V.;;;;1;;;1;;1
Your Hosting B.V.;;;;;;;1;;1
Zet Solutions B.V.;;;;1;;;;;1
Zetacom B.V.;;;;;;;1;;1
Ziggo B.V.;;;;;;;9;;9
Ziggo Services B.V.;;;;;;;1;;1
Ziggo Zakelijk Services B.V.;;;;;;;1;;1
Zylab Benelux B.V.;;;;1;;;;;1
Eindtotaal;2;10;10;10;11;7;10;3;13
