Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
ESN Software BV;1;1;1;1;;;1;1
Esprit Telecom;;;;;;1;;1
Esri Nederland;;;;2;;;;2
European Registration Office B.V.;;;;1;;;;1
Evert Kronemeijer;;;;4;;;;4
Exact Software Nederland B.V.;;;2;;;;;2
Exonet B.V.;;;;1;;;;1
Experian Nederland B.V.;;;1;;;;;1
Experis Ciber;;;;2;;;1;2
F. Haverkamp Holding B.V.;;;;;;;1;1
Falco Networks;;;;2;;;;2
Fast Flex B.V.;;;;5;;;;5
FEM Products;;;;1;;;;1
FlexVirtual B.V.;;;;;;;2;2
Fokus GmbH Leipzig;;;1;;;;;1
Fondsenbeheer Nederland B.V.;;;;1;;;;1
Forrester Research Ltd;;;;;;;1;1
Forza ICT;;;;3;;;;3
Franchunet;;;;;;;1;1
FreshConnections B.V.;;;;4;;;;4
Fujitsu Technology Solutions B.V.;4;;;;;;2;4
Fullred B.V.;;;;7;;;;7
Gartner Nederland B.V.;;;;2;;;2;2
Gemnet B.V.;;;;;;1;;1
Geodan B.V.;;;;1;;;;1
Get There Business Solutions;;;;3;;;;3
Get There Holding B.V.;;;;7;;;;7
Gispen Kantoorinrichting;;1;;;;;;1
Global Knowledge;;;;2;;;;2
Goldmund, Wyldebeast & Wunderliebe B.V.;;;;;;;1;1
Haddock Solutions B.V.;6;4;5;;;;;7
Handelswinkel;;;;;;;1;1
Harvey Nash B.V.;;;;7;;;5;7
HeadFirst B.V.;;;;7;;;;7
het Financieel Kenniscentrum;;;;;;;1;1
Hostice;;;;;;;1;1
HP Nederland B.V.;;;1;;;;;1
i3 groep;;;;;;;5;5
Icento;;;;;;;1;1
Icorp;;;1;;;;;1
ICT Partners Noord B.V.;;;;6;;;;6
IlionX Group B.V.;;;;6;;;;6
Improven B.V.;;;;3;;;;3
InfoProjects;;;;;;;2;2
Informa Telecoms & Media Ltd;;;;2;;;;2
Informagic;;;;;;;2;2
Infotheek ICT Services B.V.;;;;;2;;;2
ING Commercial Cards;;;1;1;;;;1
Inkesta B.V.;;;1;;;;;1
Innovero Software;;;1;1;;;;1
Innvire BV;;;;;;;1;1
Instant Magazine B.V.;;;;1;;;;1
Insyde B.V.;;;1;;;;;1
Inter Access O.P. B.V.;;;;2;;;;2
Intermax B.V.;;;;1;;;1;1
Internedservices;;2;;2;;1;5;5
Interscience;;;;1;;;;1
Interstroom Informatietechnologie B.V.;;;;1;;;;1
Intimus International Netherlands B.V.;;4;;;;;;4
iQibt B.V.;;;;4;;;;4
iRev;;;;3;;;;3
It Staffing;;;;;;;2;2
Itcg Projects B.V.;;;;4;;;;4
ITR Uden B.V.;;;;;;;1;1
IT-Test;;;;4;;;;4
Ivo Broekhuizen Communicatie;;;;1;;;;1
Just in Case;1;;;;;;;1
Kinderboekenweb;;;;;1;;;1
Klantcontact monitor;;;;;;1;;1
KPN B.V.;7;;;5;;1;;7
KPN Contact lokatie Eindhoven;;;;7;2;1;7;7
KPN Corporate Market;;;;3;;1;;3
KPN Event Conferencing;;;;;;1;;1
KPN Facturering Vaste Telefonie;;;;;;2;;2
KPN Telecom;;;;;;1;;1
KPN Telecom BV;;;;;;2;;2
KTC (Kiewiet Test Consultancy);;;;3;;;;3
Labeldirect;;;;1;;;;1
Leferink Office Works B.V.;;;;;1;;;1
Lemcom B.V.;;;;;;;1;1
Lexis Nexis Benelux BV;;;1;;;;;1
Lexmark International B.V.;;;;1;;;;1
LINKIT B.V.;;;;6;;;5;7
Lintermans, C.P.M.;1;;;;;;;1
LNR Globalcom B.V.;3;;;;;;;3
Log*in Consultants Nederland B.V.;;;;;;;1;1
Logic Level B.V.;;;;3;;;;3
Logicworks BV;1;;;;;;;1
Madison Gurkhan B.V.;;;;;;;2;2
Manutan B.V.;1;1;;;;;;1
Maro B.V.;1;;;;;1;;1
Mastik Consultancy;;;;;1;;;1
Matchd;;;;3;;;;3
MediaCaster B.V.;;3;;;;;3;4
Metamatter;;;;1;;;;1
Michael Bailey Associates Limited;;;;4;;;;4
Michel Renses h.o.d.n. Makelaarnu Stadskanaal;;;;1;;;;1
Mindbus B.V.;;;;;;;1;1
Mobilee;;;;;;;2;2
MyForms B.V.;;;;1;;;;1
Negometrix B.V.;;;;1;;;;1
New Nexus B.V.;;;;7;;;;7
New Nexus Business Intelligence B.V.;;;;3;;;;3
NewSouth Innovations Pty Limited;;;;1;;;;1
Nieuwland;;;;;;;1;1
NLO Shieldmark B.V.;;;1;;;;;1
Noviprint B.V.;1;;;;;;;1
Nsecure B.V.;;;;;;1;;1
Oce Finance Nederland;1;;;;;;;1
Office Depot B.V.;;1;2;;;;;2
Officeheart B.V.;;;;4;;;;4
Onestopsourcing B.V.;;;;6;;;;6
Ontwerpwerk B.V.;;;;1;;;1;1
Ordina;;;;;;;3;3
Ordina Technologie & Competenties B.V.;;;;8;;;;8
Ormer ICT Outsourcing B.V.;;;;5;;;;5
P.L. Neves;;;;;;1;;1
Pardon Consult;;;1;1;;;;1
Payroll Professionals;;;;;;;1;1
PBLQ B.V.;;;;4;;;;4
PCI Nederland B.V.;;;;;;;2;2
PCS-Polyethylene Catalyst Solutions;;;;1;;;;1
Picturae ICT B.V.;;;;5;;;1;5
Planon B.V.;;;;1;;;;1
Polman, M.G.;;;;;;1;;1
PQR B.V.;;;;2;;;;2
PRiMAN Talent Management;;;;2;;;;2
Protinus IT;2;;3;1;;6;3;6
Protinus IT B.V.;7;7;1;7;5;2;;7
Provider;;;;;;;1;1
Proxy Managed Services B.V.;;;;2;;;;2
QNH Consulting Midden B.V.;;;;6;;;;6
QSM Nederland B.V.;;;;2;;;;2
Quint Wellington Redwood Nederland B.V.;;;;;;;2;2
Quintor B.V.;1;;;7;;;;7
QuoVadis Trustlink B.V.;;;1;1;;;2;2
RAAP Archeologisch Adviesbureau;;;;;;;1;1
Red Hat B.V.;;;;2;;;;2
Redhotminute;;;;1;;;1;1
Reflex Online B.V.;;;1;1;;;;1
REISinformatiegroep B.V.;;;;1;;;;1
RESEARCHNED BV;;;;;;;1;1
Rosenthal, U. prof. Dr.;1;;;;;;;1
Rulemanagement Group B.V.;;;;4;;;;4
SAP Nederland B.V.;;;;7;;;;7
SAP Nederland BV;;1;;;;;1;1
Scholten Awater B.V.;7;7;5;3;7;;1;7
Science Plus Group;;;1;;;;;1
Semantic Web COmpany GmbH;;;;;;;2;2
Seven Stars Noord B.V.;;;;5;;;;5
Simple Solutions;;;;4;;;;4
Skillsgroup;;;;;;;5;5
SLB Diensten;1;;1;1;;;;1
SLIM;;;1;;;;;1
SLTN IT Products B.V.;;7;4;4;;;;7
Smartphone Repair Company;;;;;;1;;1
Software Borg;;;;1;;;;1
Sogeti Nederland B.V.;;;;7;;;;7
Solvinity B.V.;1;;;;1;;;1
Source Automation;;;;3;;;;3
SQL Integrator B.V.;;;;5;;;;5
Square Mobile Business Solutions B.V.;;;3;;;;;3
Sticht. Internet Domeinregistratie Nederland;;;;;;;1;1
Stichting Beheer Derdengelden X Pact;;1;;;;;2;2
stichting government roaming nederland;1;;;;;;;1
Stichting I.Turn.IT;;;;;;;2;2
Stichting Open State Foundation;;;;2;;;;2
Stichting Ring;;;1;;;;;1
Stichting saMBO~ICT;;;3;;;;;3
Stijlgeit;;;;;;;1;1
Studio Louter B.V.;;;;1;;;;1
Surfly B.V.;;;;1;;;;1
SURFmarket;;;;2;;;;2
Surfnet;;;;;;4;;4
SURFnet B.V.;;;;4;4;;;5
Symantec B.V.;;;;1;;;;1
Talent123;;;;4;;;;4
TCN SIG Telehousing Exploitatie B.V.;;5;;;;;;3
Teamwork Information Projects B.V.;;;;4;;;;4
Tele2;;;;;;2;;2
Tele2 Nederland B.V.;;;;;5;4;;6
Telegrootgebruik B.V.;2;;2;;;2;;3
Telindus-ISIT B.V.;7;7;;4;3;;;7
Ten Ham Software Engineering;;;;3;;;;3
Ter Hoeven & Partners;;1;;;;;;1
Testwerk B.V.;;;;5;;;;5
The One B.V.;;;;2;;;;2
Tizin B.V.;;;;4;;;;4
T-Mobile Netherlands B.V.;;;1;;;1;;1
Topdesk;;;;1;;;;1
TOPdesk Nederland B.V.;;;;1;;;1;1
TopX B.V.;;;;3;;;;3
Total Active Media B.V.;;;;1;;;;1
Totality Informatisering B.V.;;;;9;;;;9
TouchFix;;1;;;;;;1
Transfer Managed Services B.V.;;;;2;;;;2
Transip B.V.;;;;;;;1;1
Trigonus B.V.;;;;5;;;;5
TRIPLE P SERVICES BV;;;;1;;3;2;3
TweakPhone;;;;;;;1;1
Unisys Nederland N.V;;;;4;;;;4
USoft B.V.;;;;2;;;;2
Van Campen Consulting;;;1;;;;;1
Vancis B.V.;;;;1;;;;1
Veenman BV;1;;;;;2;;2
Ventus Information Management B.V.;;;;4;;;;4
Verint Netherlands B.V.;;;;2;;;;2
Viadesk BV;;;;2;;;;2
Vodafone;;1;;;;5;;5
Vodafone Libertel B.V.;;2;;3;;5;;6
Webservices.nl B.V.;;;1;1;;;;1
Webstate BV;;;1;1;;;;1
Wellnomics B.V.;;;;1;;;;1
Wolters Kluwer Nederland B.V.;;;;1;;;;1
Xlence People B.V.;;;;4;;;;4
Xlence Resourcing B.V.;;;;2;;;;2
Xomnia B.V.;;;;;;;1;1
XS4ALL;;;;;;1;;1
XS4ALL Internet B.V.;;;;;;1;;1
Yacht;;;;7;;;;7
YNNO;;;;;;;2;2
Zicht Groep B.V.;;;;1;;;;1
Ziggo B.V.;;;;;1;1;;1
Ziggo BV;;;;;;1;;1
Ziggo Zakelijk Services B.V.;;;;;;1;;1
Zoeverein;;;;;;;2;2
Eindtotaal;8;8;7;11;7;7;9;12
