Leveranciers;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
De Ballonnenwinkel;;;1;;;;;1
De Berenkuil B.V.;;;1;;;;;1
De Boerinn B.V.;;;1;;;;;1
De Branding Utrecht B.V.;;;1;;;;;1
De Broodfabriek B.V.;;;1;;;;;1
De Coaching Centrale B.V.;;;;;1;;;1
de Context;;;;1;;;;1
De Erkende Toezichthouder;;;;;1;;;1
De Gouden Wok B.V.;;;;;;1;;1
De Griffel V.O.F.;;;1;;;;;1
De Grond;;;;;;1;;1
De Hollandsche Tuyn;;;1;;;;;1
De Hooge Vuursche B.V.;;;1;;;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;1;;;1;;;1
De Jong Tours Holding B.V.;;;;;;1;;1
De keuken van Thijs;1;;;;;;;1
De Korenbeurs;;;1;;;;;1
De Kust Kijkduin;;;1;;;;;1
De Massagestoel;1;;;;;;;1
De Meisjes van Spijs;;;1;;;;;1
De Museumvereniging;;;;;1;;;1
De Nieuwe Karmeliet;;;1;;;;;1
De Nonnen in Vught;;;;;2;;;2
De Olijventuin van 't Zuiden;;;1;;;;;1
De Oude Melkhandel;;;1;;;;;1
de Persgroep Nederland B.V.;;;;1;;;;1
De Schenker;;;1;;;2;;2
De Sterke Punten;;;;;1;;;1
De StressOntknoping;;;;;1;;;1
De tafel van 3 Communicatie Voed. & Gezondh.;;1;;;;;;1
De Tombe Consultancy B.V.;;;;1;1;;;1
De Totem Productontwerpen;;;;;1;;;1
De Tuinderij;;;;;;1;;1
De Tuinkamer;;;;;;1;1;1
De Utrechtse Haven B.V.;1;1;1;;;;;1
De Vechtsebanen;;;1;;;;;1
De Vier Gewesten;;;;;;;2;2
De Walvis, Tekst, Training en Advies;;;;;1;;;1
De Waterreus;;;1;;;;;1
De Winkel van Sinkel B.V.;;;;;1;;;1
De Witte Zwaan B.V.;;;1;;;;;1
Debatrix;;;;;1;;;1
DeCongresbalie;;;;;1;;;1
Dekker Zoetermeer;;;1;;;;;1
Dekkers & van Amersfoort B.V.;;;1;;;;;1
deKleineBaron eten & drinken;;;1;;;;;1
DEKRA Certification B.V.;;2;;;;;;2
Dekxels B.V.;;;1;;;;;1
Delft Projects & Consultancy;;;1;;;;;1
Deloitte Accountants B.V.;;2;;;;;;2
Den Haag Evenementen B.V.;;;;;1;;;1
Denk Producties B.V.;;;;;1;;;1
Depaus ICT Solutions B.V.;;;;;1;;;1
DesignThinkers B.V.;;;;;1;;;1
DeTenders Rotterdam;;;1;;;;;1
Detron Telecom Enterprise;;;;;1;;;1
Development Works;;;;;1;;;1
DGM Netherlands B.V.;;;;;1;;;1
DGMR Industrie Verkeer en Milieu B.V.;;;;;1;;;1
DGMR Raadgevende Ingenieurs B.V.;;;;;1;;;1
Dignitas Mediation & Conflict Management;;;;;1;;;1
Dijk-arboconsultancy;;1;;;;;;1
Diner Thuis;;;1;;;;;1
Distinguished;;;;;1;;;1
Divertido - koken en creëren;;;1;;;;;1
DNV GL Business Assurance;;1;;;;;;1
Doenederland.nl B.V.;;;1;;;;;1
Double Healix Educational Media B.V.;;1;;;;;;1
DSA Express;;;;;;;1;1
DtC - Desire to Communicate;;;;;1;;;1
Dudok Den Haag B.V.;;;1;;;;;1
Duodecima;;;;;1;;;1
Duthler Associates;;;;;1;;;1
DWA Installatie- en energieadvies;;1;;;;;;1
E. v. Riessen Mediation, Train. en Coaching;;;;;1;;;1
Ebbinge & Company;;;;;2;;;2
Echte Bakker Steehouder Vianen V.O.F.;;;1;;;;;1
ECMP B.V.;;;;;2;;;2
E-Democracy B.V.;;;;;1;;;1
Eden Springs Nederland B.V.;;;1;;;;;1
Eduvision B.V.;;;;;1;;;1
EDW Wordworks;;;;;1;;;1
Eenkhoorn Financiële Dienstverlening B.V.;;;;;1;;;1
Eetcafe Centraal Horeca B.V.;;;1;;;;;1
El Barrio;;;1;;;;;1
El Olivo;;;1;;;;;1
Elevate B.V.;;;;;1;;;1
Ellen Janse Training & Councelling;;;;;1;;;1
ElVi, Koffie, Lunch, Diner;1;;;;;;;1
Elycio Talen;;;;;2;;;2
Elycio Talen B.V.;;;;;1;;;1
EMC Computer Systems (Benelux) B.V.;;;;;1;;;1
Emerce B.V.;;;;;1;;;1
Emeritor Procurement Services B.V.;;2;;;;;;2
EnableMi B.V.;;1;;;;;;1
Enbloc Reclamewerk;;1;;;;;;1
Energieonderzoek Centrum Nederland;;2;;;;;;2
Engels B.V.;;;1;;;;;1
Entopic B.V.;;;;;1;;;1
E-Office B.V.;;;;;1;;;1
Esri Nederland;;;;;1;;;1
Essence Trainingen Amsterdam B.V.;;;;;1;;;1
Etiquette Bureau;;;;;1;;;1
Eurest Services B.V.;;;1;;;;;1
Euroforum;;;;;2;;;2
evenementen organisatie de waterkoets;;;1;;;;;1
Eventmaker;;;1;;;;;1
Evers Research & Training;;;;;1;;;1
EVO;;1;;;1;;;1
Expertisecentrum Conflictmanagement;;;;;1;;;1
Explainit Company;;;;;1;;;1
Exploitatie Maatschappij De Nieuwe Poort B.V.;;;1;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;;;;1
F&U Nederland B.V.;;;;1;;;;1
F. Joosten Advies;;;;;1;;;1
F.J. de Reijdt Opt. thodn Eye Wish Groeneveld;;1;;;;;;1
Face Two B.V.;;2;;;;;;2
Falke & Verbaan B.V.;;;;;1;;;1
Fast Lane Benelux B.V.;;;;;1;;;1
Felea;;;;;1;;;1
Fepa Horeca B.V.;;;1;;;;;1
Festipro B.V.;;;1;;;;;1
FHI, Federatie van Technologiebranches;;;;;1;;;1
Fietspunt B.V.;;;1;;;;;1
Fine Asian Gourmet B.V.;;;1;;;;;1
Firma Banketbakkerij Lindeboom;;;1;;;;;1
Firma Hof der Muzen;;;2;;;;;2
First 1 Bedrijfsfitness B.V.;;1;;;;;;1
Fivel Media;;;;;1;;;1
Fleetlogic B.V.;;;1;;;;;1
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;;;;;;1;1
Fletcher Hotel-Restaurant De Kempen;;;;;;;1;1
Fleuriebelli;1;;;;;;;1
Fleurtiek Amsterdam B.V.;;;1;;;;;1
Floor Bohemen Interieurarchitectuur;;;;;1;;;1
Foodzie;;;1;;;;;1
Forsa Advies;;;;;1;;;1
Fortes Solutions B.V.;;1;;;;;;1
Fortune Factory B.V.;;;1;;;;;1
Fotasia;;;;;1;;;1
Fotoacademie B.V.;;;;;1;;;1
Francis Zuiker Konsult;;;;;1;;;1
Frits Philips Jr. & Partners B.V.;;;;;1;;;1
Front>on Bestuur-/managementbegeleiding B.V.;;1;;;;;;1
Fruitful Office Nederland B.V.;;;2;;;;;2
Fujitsu Technology Solutions B.V.;;1;;;;;;1
Fysergo B.V.;1;;;;;;;1
G. Bakker en Zn. B.V.;;;1;;;;;1
G.J. van Egmond;;;;;;;1;1
Galerie Tiglio;;;1;;;;;1
Gargouilles B.V.;;;1;;;;;1
Gasthuis B.V.;;;1;;;;;1
gefeliciTAART B.V.;;;1;;;;;1
Geisha Restaurant;;;1;;;;;1
Genootschap Onze Taal;;;;;1;;;1
George Royal B.V.;;;1;;;;;1
Geschenkbezorgen.nl B.V.;;;1;;;;;1
Gilde Utrecht;1;;1;;;;;1
GITP Training & Opleiding B.V.;;;;;1;;;1
Gladiators B.V.;;;;;1;;;1
Global Computer Security B.V.;;;;;1;;;1
Global Knowledge;;;;;1;;;1
Global Knowledge Network Netherlands B.V.;;;;;2;;;2
Glope Events B.V.;;;1;;;;;1
Goede Mynott Holding B.V.;;;1;;;;;1
Golfbaan Bentwoud B.V.;;;;;;1;;1
GoodSense B.V.;;;;;1;;;1
Gooische Catering;;;1;;;;;1
GoTourgether;;;1;;;;;1
Gouden Pakket B.V.;;;1;;;;;1
GrachtenAtelier;1;;1;;;;;1
Grand Café Carpe Diem;;;1;;;;;1
Grand café De Bastille;;;1;;;;;1
Grand Café Qwibus B.V.;;;1;;;;;1
Grand Café Xieje;;;1;;;;;1
Grandcafe Haagsche Bluf;;;1;;;;;1
Granny's Corner;;;1;;;;;1
Grapedistrict;;;1;;;;;1
Green Garden;;;1;;;;;1
Grinwis Zonneveld;;;;;1;;;1
Gusto Mangia e Bevi;;;1;;;;;1
GVZ2 B.V.;;;1;;;;;1
H.B. Banket B.V.;;;1;;;;;1
Haagse Beek organisatieadvies B.V.;;;;;1;;;1
Haimé Consult B.V.;;;;;1;;;1
Halbertsma Management Advies B.V.;;;;;1;;;1
Hampshire Exploitatie I B.V.;;;;;;;1;1
Hanneman de Toerist B.V.;;;;;;;1;1
Hanstede Consultancy;;;;;1;;;1
Happy Copy B.V.;;;1;;;1;;1
Happy Meat B.V.;;;1;;;;;1
Harbour Horeca B.V.;;;1;;;;;1
Health2Work B.V.;;1;;;;;;1
HEC B.V.;;;;2;;;;2
Heckman Milieu Software;;1;;;;;;1
Heel Puur;;2;;;;;;2
Hein Post Wijnen Gastronomie;;;1;;;;;1
Hemelrijken 77;;;;;1;;;1
Hennekes Preventie en Reïntegratie;;1;;;;;;1
Henriëtte van der Linden;;;;;1;;;1
Het Expertise Centrum;;;;;1;;;1
Het Heden;;;1;;;;;1
Het Kabinet, Eten en Drinken;;;1;;;;;1
Het Kookplein;;;2;;;;;2
Het NIC B.V.;;2;;;;;;2
Het Organisatieteam B.V.;;;1;;;;;1
Het Pleidooi;;;1;;;;;1
Het Postkantoor Delft;;;1;;;;;1
Het Rugcentrum Utrecht B.V.;;;;;1;;;1
Het Stormt B.V.;;;;;1;;;1
Het Wil Konsult;;;;1;2;;;2
Hiephiepkado B.V.;;;1;;;;;1
High Five Health Promotion B.V.;;4;;1;;;;4
Himalayan Restaurant;;;;;;1;;1
Hoek Zakelijk Vervoer B.V.;;;;;;;2;2
Hofstad Events B.V.;;;1;;;;;1
Hogeschool Utrecht;;;;;1;;;1
HOGESCHOOL VAN AMSTERDAM;;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;2;;;;;2
Holland Catering Specialisten Loc. Woudestein;;;2;;;;;2
Holland Fit B.V.;;2;;;;;;2
Hollandse Hoogte B.V.;;;;;1;;;1
Holtrop Ravesloot & Partners B.V.;;;;2;;;;2
Horeca Exploitatie WWZ V. B.V.;;;1;;;;;1
Horecaexploitatie Moeke B.V.;;;1;;;;;1
Hotel Contact B.V.;;;2;;1;;3;3
Hotel 'De Sniep' B.V.;;;1;;;;;1
Hotel de Wilhelmina;;;;;;;1;1
HOTEL MERCURE GRONINGEN MARTINIPLAZA;;;1;;;;1;1
Hotel Mitland;;;1;;;;1;1
Hotel Oegstgeest Exploitatie B.V.;;;1;;;;;1
Hotel-Café-Restaurant De Biltsche Hoek;;;1;;;;;1
Hotel-Restaurant Sterrenberg Otterlo B.V.;;;;;1;;;1
Houthoff Training & Coaching;;;;;1;;;1
HowAboutYou B.V.;;;;;1;;;1
HSK Interventie B.V.;;1;;;;;;1
Hudson Zoetermeer B.V.;;;1;;;;;1
Huize Molenaar B.V.;;;1;;;;;1
Huureeneend.nl;;;1;;;;;1
HVR PA/PR;;;;;1;;;1
I am Consultancy;;;;;1;;;1
Icademy B.V.;;;;;1;;;1
ICM Administratie B.V.;;;;;1;;;1
ICM Holding B.V.;;;1;;2;;;2
ICM Opleidingen & Trainingen B.V.;;;;;1;;;1
ICT Partners Opleidingen B.V.;;;;;1;;;1
Icta Interv. Communicatie Training & Advies;;;;;1;;;1
Idelft B.V.;;1;;;;;;1
Igo-Post B.V.;;;1;;;;;1
Ilya B.V.;;;1;;;;;1
Impulsus, Support & Facilities B.V.;;;;;1;;;1
In Pace B.V.;;;1;;;;;1
In Rapport;;1;;;1;;;1
in60seconds;;1;;;1;;;1
Incassobureau Plaggemars;;;1;;;;;1
Incentivo;1;;;;;;;1
Indiaas Restaurant Taj Mahal;;;1;;;;;1
Info Support B.V.;;;;;1;;;1
Info Training B.V.;;;;;1;;;1
Information Security Academy B.V.;;;;;1;;;1
ING Bank;;;1;;;;;1
Innessence;;;;;1;;;1
Innoproduct;;;1;;;;;1
Innovero Software Solutions B.V.;;;;;1;;;1
Insector UA;;;;;2;;;2
Inspiration Company Nederland B.V.;;;;;1;;;1
Inspired Utrecht;;;1;;;;;1
Instituut voor Arbeidsrecht B.V.;;;;;1;;;1
Instituut voor Wijsbegeerte B.V.;;;;;1;;;1
Intalent;;;;1;;;;1
Interactie Opleidingen B.V.;;;;;1;;;1
Interimage B.V.;;;1;;;;;1
Intersafe Groeneveld B.V.;1;2;1;;;;;2
Intertraining B.V.;;;;;1;;;1
Intop Zorgsector B.V.;;;;;1;;;1
Ipol B.V.;;;;;1;;;1
Ipse de Bruggen;;;1;;;;;1
Ipse de Bruggen Maatwerk;;;1;;;;;1
Irene Schoemakers;;2;;;;;;2
Iris Advies;;;;;1;;;1
Iris Huys;;1;;;;;;1
ISI International Social Issues B.V.;;;;;1;;;1
Issues Management Institute;;2;;;;;;2
Istana Indonesisch Restaurant;;;1;;;;;1
ITIP School voor Leven en Werk B.V.;;;;;1;;;1
Itsmf-NL Technol. Serv. Man. Forum-Nederland;;;;;1;;;1
Ivar van den Berg Drankenhandel;;;1;;;;;1
IVO;;;;;1;;;1
J. Goes;;;;;1;;;1
J. Kos & Zoon B.V.;;;1;;;;;1
J. te Brake t.h.o.d.n. Petit Clos Nederland;;;1;;;;;1
J.J. Huysen en Zn. Rijwiel- en Bromfietsshop;;;1;;;;;1
Jaarbeurs B.V.;;;1;;;;;1
Jaarbeurs Catering Services B.V.;1;;1;;;;;1
Ja-maar® B.V.;;2;;;;;;2
Jan Andreae en Partners B.V.;;;;;2;;;2
Janoq B.V.;;;1;;;;;1
Japans Restaurant Kichi;;;1;;;;;1
Jasjes enZo;;;;;1;;;1
JBBS Joasson/Barailler Business Support B.V.;;;1;;;;;1
Jeroen Busscher;;;;;1;;;1
Jo Bos & Co;;1;;;1;;;1
Joint Analytical Systems Benelux B.V.;;;;;1;;;1
Joitske Hulsebosch Consultancy;;;;;1;;;1
Joli V.O.F.;;;1;;;;;1
Jongvws, Verenig. voor Jonge VWS-Medewerkers;;;2;;;;1;2
Jopen Horeca Exploitatie B.V.;;;1;;;;;1
JR's Cuisine;;;1;;;;;1
Kaas & Noten Speciaalzaak klap;;;1;;;;;1
Kadobon Online B.V.;;;1;;;;;1
Kameryck;;;1;;;;;1
Kamp Coaching - Training & Advies;;;;;1;;;1
Kapteyn Bloemen;1;;;;;;;1
Kasteel Oud-Poelgeest B.V.;;;1;;1;;1;1
Keiren Coach. Training en Conflictbemiddeling;;;;;1;;;1
Keizer Culinair;;;1;;;;;1
Kessels & Smit, the Learning Company B.V.;;;;;1;;;1
Keuning Coaching;;;;;1;;;1
Keurslagerij Van Schie;;;1;;;;;1
KIMPACT;;;;;1;;;1
King's Garden;;;1;;;;;1
Klachtenmanagement Zorg;;;;;1;;;1
Klinkhamer Conference Management;;;;;1;;;1
KLM;;;;;;;4;4
Kluwer Opleidingen;;;;;2;;;2
Koffie- en Eetsalon 't Achterommetje;;;1;;;;;1
Kon. Ned. Mij. tot Bevord. der Geneeskunst;;;1;;1;;;1
Koninklijk Nederlands Waternetwerk;;;;;1;;;1
Koninklijke Visio, Land. Stg. Slechtz./Blind.;;1;;;1;;;1
Kookmeesters B.V.;;;1;;;;;1
Kookstudio De Kombuis;1;;;;;;;1
Korbee Communicatie, VanZ.sprek. presenteren;;;;;1;;;1
Korte Poten 1-3 B.V.;;;1;;;;;1
KPMG Advisory N.V.;;2;;;;;;2
KPMG Management Services B.V.;;;1;;;;;1
KPMG N.V.;;2;;;;;;2
KPN Contact lokatie Eindhoven;;;1;;;;;1
Krauthammer International Netherlands B.V.;;;;;1;;;1
KSG B.V.;;;;;4;;;4
L. Borst 'Adviezen en Trainingen';;1;;;2;;;2
L.Y.O.N.;;;1;;;;;1
L5 communicatie + design;;1;;;;;;1
La Place;;;1;;;;;1
Lab QAcademy;;;;;2;;;2
L'Abattoir B.V.;;;1;;;;;1
Lagerweij & Partner Consultants B.V.;1;;;;2;;;2
Landg. Hotel-Restaurant Groot Warnsborn B.V.;;;1;;;;;1
Landgoed de Horst;;;;;1;;1;1
Landstede;;;;;1;;;1
Langhenkel Opleiding, Training & Advies B.V.;;;;;1;;;1
Laval B.V.;;;1;;;;;1
Le Bistroquet B.V.;;;1;;;;;1
Lean Six Sigma College B.V.;;;;;1;;;1
Lean Six Sigma Partners B.V.;;;;;2;;;2
Learn it B.V.;;;;;1;;;1
Lebkov;;;1;;;;;1
Lectric Trainingen B.V.;;;;;1;;;1
LeFay Magic;;;;;1;;;1
Leids Congres Bureau B.V.;;;;;1;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;1
lekkerbootjevaren.nl;;;1;;;;;1
Les Ombrelles;;;1;;;;;1
LIB Businessgames B.V.;;;1;;;;;1
Ligtvoet Adviesdiensten;;;;;1;;;1
Lily Schuimer;;;;;1;;;1
Linguarama Nederland B.V.;;;;;1;;;1
Link Art Company B.V.;;;1;;;;;1
Lions Club Hoorn-Velius;;;1;;;;;1
Little V;;;1;;;;;1
Live Trainingen B.V.;;;;;1;;;1
LNW Adviesgroep B.V.;;;;;1;;;1
Local Heroes;1;;;;;;;1
Lock;;;1;;1;;;1
Logacom B.V.;;;;;1;;;1
Logeion;;;;;1;;;1
Lokaal Negen;;;1;;;;;1
LOOF;;;1;;;;;1
LOUWMAN MUSEUM;;;1;;;;;1
Loyens & Loeff N.V.;;1;;;1;;;1
LTP;;;;1;;;;1
Luden Utrecht;;;;;;;1;1
LUFC Labconsultants;;2;;;;;;2
Lumineux Catering;;;1;;;;;1
Lunchroom/Grand Cafe Zondag;;;1;;;;;1
M. Oldenkamp Beheer B.V.;;;;;;;1;1
Maatschap voor Communicatie;;2;;;;;;2
Madurodam;;;1;;;;;1
