Datum zaak start;Stap;Zaakstatus;Datum zaak uiterste;Hoofdcategorie (zaaktype mor);Subcategorie (zaaktype mor);straat (zaaktype mor);Ter hoogte van (zaaktype mor);Wijk (zaaktype mor)
23-12-2017 0:00;Definitief afgesloten;Afgesloten;23-12-2017 0:00;Parkeren;;;Locatie Johan vanOldenbarneveltlaan 30 3705 BV Zeist. Kenteken: 3 bv 98 GLS bus Mastnummer;
23-12-2017 0:00;Definitief afgesloten;Afgesloten;23-12-2017 0:00;Openbare verlichting;;Jufferstraat;Locatie Jufferstraat thv nr 13. Mastnummer 14710005;Zeist Centrum
23-12-2017 0:00;Definitief afgesloten;Afgesloten;23-12-2017 0:00;Afvaldumping;;;Locatie Steynlaan 55 - 57 Mastnummer;
22-12-2017 15:58;Definitief afgesloten;Afgesloten;22-12-2017 15:58;Handhaving;Handhaving;Krugerlaan;86 A;Zeist Centrum
22-12-2017 14:33;Definitief afgesloten;Afgesloten;22-12-2017 14:33;Overig;;Berkenlaan;;Zeist Centrum
22-12-2017 14:23;Definitief afgesloten;Afgesloten;22-12-2017 14:23;Handhaving;Handhaving;Hezer Enghweg;op de stoep;Den Dolder e.o.
22-12-2017 14:13;Definitief afgesloten;Afgesloten;22-12-2017 14:13;Wegen en fietspaden;Paaltjes;Ruysdaellaan;;Den Dolder e.o.
22-12-2017 13:57;Nieuw via KCC;Ontvangen;22-12-2017 13:57;;;;;
22-12-2017 13:42;Definitief afgesloten;Afgesloten;22-12-2017 13:42;Handhaving;Handhaving;Vrijheidsplein;;Zeist Noord
22-12-2017 11:28;Definitief afgesloten;Afgesloten;29-12-2017 11:28;Openbare verlichting;Lamp defect;Utrechtseweg;3431-0025 en 3431-0028;Zeist Noord
22-12-2017 10:58;Definitief afgesloten;Afgesloten;22-12-2017 10:58;;;;;
22-12-2017 10:21;Definitief afgesloten;Afgesloten;29-12-2017 10:21;Openbare verlichting;Overig (verlichting);Vijverhof;;Den Dolder e.o.
22-12-2017 10:09;Definitief afgesloten;Afgesloten;22-12-2017 10:09;Handhaving;Handhaving;Willem Arntszlaan;zie omschrijving;Den Dolder e.o.
22-12-2017 10:06;Voorlopig afgesloten;Afgehandeld;22-12-2017 10:06;Klachten afvalinzameling;Klacht afvalimzameling;Crosestein;groencontainers voor de bovenwoningen thv crosestein 2036;Zeist West
22-12-2017 9:55;Definitief afgesloten;Afgesloten;29-12-2017 9:55;Groen;Bladoverlast;Tussen de Dennen;;Zeist Oost
22-12-2017 9:11;In behandeling;In behandeling;22-12-2017 9:11;Overig;;Dolderseweg;;Den Dolder e.o.
22-12-2017 0:00;Definitief afgesloten;Afgesloten;22-12-2017 0:00;Openbare verlichting;;;Locatie Bij Brugakker 1073 Mastnummer 0454 1018;
22-12-2017 0:00;Definitief afgesloten;Afgesloten;22-12-2017 0:00;Afvaldumping;;;Locatie Dr. Engelhardlaan, electrischiteitshuisje tegenover nummers 5 en 7 in Den Dolder Mastnummer;
22-12-2017 0:00;In behandeling;In behandeling;22-12-2017 0:00;Openbare verlichting;Overig (verlichting);Laan van Vollenhove;Locatie Laan van Vollenhove tussen Gunninglaan en Montessorilaan, in totaal 8 lichtmasten. Mastnummer;Zeist Noord
22-12-2017 0:00;Lopend;In behandeling;22-12-2017 0:00;;;;Locatie Prinses Margrietlaan 131 Mastnummer;
21-12-2017 18:10;Definitief afgesloten;Afgesloten;28-12-2017 18:10;Openbare verlichting;Armatuur kapot;Graaf Lodewijklaan;Graaf Lodewijklaan nabij brede school;Zeist Oost
21-12-2017 14:32;Definitief afgesloten;Afgesloten;21-12-2017 14:32;Afvaldumping;Afvaldumping;Dolderseweg;in de berm;Den Dolder e.o.
21-12-2017 14:11;Nieuw via KCC;Ontvangen;21-12-2017 14:11;;;;;
21-12-2017 13:52;Definitief afgesloten;Afgesloten;21-12-2017 13:52;Afvaldumping;Afvaldumping;Laan van Vollenhove;in het gras langs het fiets/looppad;Zeist Noord
21-12-2017 13:12;Definitief afgesloten;Afgesloten;28-12-2017 13:12;Wegen en fietspaden;Gebreken wegdek;Traayweg;traject tussen de aansluiting met de Oude Postweg en de Franse Put;Zeist Oost
21-12-2017 13:09;Definitief afgesloten;Afgesloten;28-12-2017 13:09;Openbare verlichting;Overig (verlichting);Oude Postweg;Oude Postweg-aansluiting Traayweg, nr. 2401/0061.;Zeist Oost
21-12-2017 12:32;Definitief afgesloten;Afgesloten;21-12-2017 12:32;Handhaving;Handhaving;Johannes Wierlaan;vlakbij dr J.c. Boswijklaan;Den Dolder e.o.
21-12-2017 10:01;Definitief afgesloten;Afgesloten;21-12-2017 10:01;Afvaldumping;Afvaldumping;Steynlaan;bij de ondergrondse container;Zeist Centrum
21-12-2017 8:58;Definitief afgesloten;Afgesloten;21-12-2017 8:58;Bomen;Bomen;Sanatoriumlaan;;Zeist Noord
21-12-2017 8:47;Definitief afgesloten;Afgesloten;28-12-2017 8:47;Wegen en fietspaden;Gebreken wegdek;Traayweg;een km verder richting Driebergen;Zeist Oost
21-12-2017 8:45;Voorlopig afgesloten;Afgehandeld;28-12-2017 8:45;Groen;Overig (Groen);Hezer Enghweg;;Den Dolder e.o.
21-12-2017 8:42;Definitief afgesloten;Afgesloten;28-12-2017 8:42;Wegen en fietspaden;Gebreken wegdek;Korhoenlaan;;Zeist West
21-12-2017 0:00;Definitief afgesloten;Afgesloten;21-12-2017 0:00;Openbare verlichting;;;Locatie De lantaarnpaal op De Genestetlaan ten hoogte van de nummers 1G en 2D is stuk. Mastnummer;
21-12-2017 0:00;Definitief afgesloten;Afgesloten;21-12-2017 0:00;Openbare verlichting;;;Locatie Vijverhof 26.Ik maak geen foto.De kerstverlichting brandt prachtig, maar dit is niet voldoende...! Mastnummer;
20-12-2017 16:39;In behandeling;In behandeling;27-12-2017 16:39;Wegen en fietspaden;Gebreken fiets-/voetpaden;Kritzingerlaan;;Zeist Centrum
20-12-2017 16:31;Nieuw via KCC;Ontvangen;20-12-2017 16:31;;;;;
20-12-2017 16:11;Definitief afgesloten;Afgesloten;20-12-2017 16:11;Handhaving;Handhaving;Antonlaan;;Zeist Centrum
20-12-2017 16:02;Voorlopig afgesloten;Afgehandeld;20-12-2017 16:02;Wegen en fietspaden;Paaltjes;Boulevard;;Zeist Centrum
20-12-2017 15:49;Definitief afgesloten;Afgesloten;20-12-2017 15:49;Handhaving;Handhaving;Griffensteijnselaan;;Zeist West
20-12-2017 14:55;Definitief afgesloten;Afgesloten;27-12-2017 14:55;Groen;Onkruid;Jozef Israëlslaan;;Den Dolder e.o.
20-12-2017 14:47;Definitief afgesloten;Afgesloten;27-12-2017 14:47;Openbare verlichting;Lamp defect;Meerkoetlaan;2111-0003;Zeist West
20-12-2017 14:36;Voorlopig afgesloten;Afgehandeld;20-12-2017 14:36;Overig;;Slotlaan;terrein Lieflandschool;Zeist Centrum
20-12-2017 14:18;Lopend;In behandeling;20-12-2017 14:18;;;Taveernelaan;;Den Dolder e.o.
20-12-2017 13:35;Definitief afgesloten;Afgesloten;27-12-2017 13:35;Wegen en fietspaden;Gebreken wegdek;Austerlitzseweg;;Zeist Oost
20-12-2017 13:08;Definitief afgesloten;Afgesloten;20-12-2017 13:08;Handhaving;Handhaving;Aalscholverlaan;;Zeist West
20-12-2017 12:16;Definitief afgesloten;Afgesloten;27-12-2017 12:16;Wegen en fietspaden;Gebreken fiets-/voetpaden;Thorbeckelaan;;Zeist Noord
20-12-2017 12:15;Nieuw via KCC;Ontvangen;20-12-2017 12:15;;;;;
20-12-2017 11:09;Definitief afgesloten;Afgesloten;20-12-2017 11:09;Handhaving;;Slotlaan;;Zeist Centrum
20-12-2017 10:52;Definitief afgesloten;Afgesloten;20-12-2017 10:52;Overig;;Verzetslaan;;Zeist Noord
20-12-2017 10:15;Definitief afgesloten;Afgesloten;27-12-2017 10:15;Openbare verlichting;Lamp defect;Rembrandtlaan;2831-0037;Den Dolder e.o.
20-12-2017 9:45;Definitief afgesloten;Afgesloten;20-12-2017 9:45;Handhaving;Handhaving;Crosestein;;Zeist West
20-12-2017 8:56;Definitief afgesloten;Afgesloten;27-12-2017 8:56;Openbare verlichting;Lamp defect;Nepveulaan;2251-0019;Zeist Noord
20-12-2017 8:35;Definitief afgesloten;Afgesloten;20-12-2017 8:35;Bomen;Bomen;De Dreef;;Zeist Noord
20-12-2017 8:13;Definitief afgesloten;Afgesloten;20-12-2017 8:13;Overig;;Baarnseweg;;Den Dolder e.o.
20-12-2017 8:09;Definitief afgesloten;Afgesloten;27-12-2017 8:09;Openbare verlichting;Lamp defect;Schaerweijdelaan;2881-0054;Zeist Centrum
20-12-2017 0:00;Definitief afgesloten;Afgesloten;20-12-2017 0:00;Openbare verlichting;;;Locatie Ruysdaellaan, Huis ter heide, ter hoogte van nummer 36/38 Mastnummer 2831 0037;
20-12-2017 0:00;Definitief afgesloten;Afgesloten;20-12-2017 0:00;Openbare verlichting;;Nijenheim;Locatie Nijenheim, ter hoogte van 2232, 2230, 2224, 1177, 1185 en wellicht nog meer. Mastnummer;Zeist West
20-12-2017 0:00;Definitief afgesloten;Afgesloten;20-12-2017 0:00;Openbare verlichting;;Couwenhoven;Locatie Couwenhoven flat 70 parkeerplaats Mastnummer;Zeist West
20-12-2017 0:00;Definitief afgesloten;Afgesloten;20-12-2017 0:00;Parkeren;;;Locatie Dijnselweg 66 Mastnummer;
20-12-2017 0:00;Definitief afgesloten;Afgesloten;20-12-2017 0:00;Openbare verlichting;Lamp defect;Oude Arnhemseweg;Locatie Ter hoogte van Oude Arnhmeseweg 369 en ter hoogte van Oude Arnhemseweg 381. Nummers op de palen niet te lezen omdat het licht van de betreffende palen niet werkt. Mastnummer;Zeist Noord
20-12-2017 0:00;Definitief afgesloten;Afgesloten;20-12-2017 0:00;Openbare verlichting;;;Locatie nijenheim 11 Mastnummer 2311-1116 ,2311-1117, 2311-1118, 2311-1119;
19-12-2017 16:06;In behandeling;In behandeling;26-12-2017 16:06;Openbare verlichting;Overig (verlichting);Heideweg;;Zeist Oost
19-12-2017 14:57;Definitief afgesloten;Afgesloten;19-12-2017 14:57;Afvaldumping;Afvaldumping;Hertenlaan;;Den Dolder e.o.
19-12-2017 14:22;Definitief afgesloten;Afgesloten;26-12-2017 14:22;Openbare verlichting;Lamp defect;Jacoba van Beierenlaan;152796;Zeist West
19-12-2017 14:19;Definitief afgesloten;Afgesloten;19-12-2017 14:19;Bomen;Bomen;Couwenhoven;hoek bij achtertuin 4225;Zeist West
19-12-2017 14:04;Voorlopig afgesloten;Afgehandeld;26-12-2017 14:04;Wegen en fietspaden;Gebreken fiets-/voetpaden;De Dreef;ter hoogte van de Gunninglaan;Zeist Noord
19-12-2017 13:03;Definitief afgesloten;Afgesloten;26-12-2017 13:03;Openbare verlichting;Overig (verlichting);Driebergseweg;;Zeist Oost
19-12-2017 11:55;Definitief afgesloten;Afgesloten;19-12-2017 11:55;Bomen;Bomen;Schaerweijdelaan;parkeerplaats tussen de huizen in;Zeist Centrum
19-12-2017 11:52;Definitief afgesloten;Afgesloten;19-12-2017 11:52;Afvaldumping;Afvaldumping;Dr. de Visserlaan;ondergrondse containers;Zeist Noord
19-12-2017 11:27;Definitief afgesloten;Afgesloten;26-12-2017 11:27;Wegen en fietspaden;Gebreken fiets-/voetpaden;Meester de Klerkstraat;;Zeist Centrum
19-12-2017 11:06;Definitief afgesloten;Afgesloten;19-12-2017 11:06;Bomen;Bomen;Sterrenberglaan;;Den Dolder e.o.
19-12-2017 10:25;Definitief afgesloten;Afgesloten;19-12-2017 10:25;Afvaldumping;Afvaldumping;Pleineslaan;;Den Dolder e.o.
19-12-2017 10:10;Definitief afgesloten;Afgesloten;19-12-2017 10:10;Afvaldumping;Afvaldumping;Panweg;;Zeist Noord
19-12-2017 9:36;Definitief afgesloten;Afgesloten;19-12-2017 9:36;Bomen;Bomen;Laan van Vollenhove;Geroflat Laan van Vollenhove portiek 1;Zeist Noord
19-12-2017 9:20;Definitief afgesloten;Afgesloten;19-12-2017 9:20;Bomen;Bomen;Dolderseweg;Langs de N238, Nieuwe Dolderseweg, ter hoogte van de brandweerkazerne;Den Dolder e.o.
19-12-2017 9:18;Nieuw via KCC;Ontvangen;19-12-2017 9:18;;;;;
19-12-2017 8:24;Definitief afgesloten;Afgesloten;26-12-2017 8:24;Groen;Overig (Groen);De Dreef;Op het voetpad zie foto;Zeist Noord
19-12-2017 0:00;Definitief afgesloten;Afgesloten;19-12-2017 0:00;Openbare verlichting;;Paduahof;Locatie Paduahof 6 Den Dolder Mastnummer 2420-0003;Den Dolder e.o.
19-12-2017 0:00;Definitief afgesloten;Afgesloten;19-12-2017 0:00;Openbare verlichting;;;Locatie straat verlichting parkeerplaats couwehoven Mastnummer;
18-12-2017 21:45;Definitief afgesloten;Afgesloten;18-12-2017 21:45;Overig;;Comeniuslaan;zie melding 255457;Zeist Noord
18-12-2017 16:53;Definitief afgesloten;Afgesloten;19-12-2017 16:53;Openbare verlichting;Netwerkstoring;Nijenheim;achter de flat ligt een parkeerterrein.;Zeist West
18-12-2017 16:34;Nieuw via KCC;Ontvangen;18-12-2017 16:34;;;;;
18-12-2017 16:26;Definitief afgesloten;Afgesloten;25-12-2017 16:26;Wegen en fietspaden;Gebreken fiets-/voetpaden;Oranje Nassaulaan;;Zeist Oost
18-12-2017 15:27;Definitief afgesloten;Afgesloten;18-12-2017 15:27;Handhaving;Handhaving;Dijnselweg;;Zeist Noord
18-12-2017 15:15;Definitief afgesloten;Afgesloten;18-12-2017 15:15;Overig;;Krakelingweg;Zie foto;Zeist Oost
18-12-2017 15:11;Voorlopig afgesloten;Afgehandeld;25-12-2017 15:11;Riolering;Verstopping straatkolk;Beukbergenhof;;
18-12-2017 14:49;Definitief afgesloten;Afgesloten;25-12-2017 14:49;Groen;Overig (Groen);Laan van Vollenhove;;Zeist Noord
18-12-2017 14:28;Definitief afgesloten;Afgesloten;18-12-2017 14:28;Handhaving;Handhaving;Brinkhove;parkeerplaats Brinkhove;Zeist Centrum
18-12-2017 14:01;Voorlopig afgesloten;Afgehandeld;18-12-2017 14:01;Overig;;Zonnelaan;202;Den Dolder e.o.
18-12-2017 13:48;Voorlopig afgesloten;Afgehandeld;25-12-2017 13:48;Groen;Bladoverlast;Javalaan;;Zeist Noord
18-12-2017 13:43;Definitief afgesloten;Afgesloten;25-12-2017 13:43;Openbare verlichting;Lamp defect;Platolaan;2521-0026;Zeist Centrum
18-12-2017 13:42;In behandeling;In behandeling;25-12-2017 13:42;Wegen en fietspaden;Gebreken wegdek;Jan Ligthartplein;Gehele straat;Zeist Noord
18-12-2017 13:32;Nieuw via KCC;Ontvangen;18-12-2017 13:32;;;;;
18-12-2017 13:31;Voorlopig afgesloten;Afgehandeld;18-12-2017 13:31;Overig;;De Clomp;Bij de ondergrondse containers;Zeist West
18-12-2017 13:18;In behandeling;In behandeling;25-12-2017 13:18;Riolering;Verstopping straatkolk;Kritzingerlaan;t.h.v. Kritzingerlaan 46;Zeist Centrum
18-12-2017 12:29;Definitief afgesloten;Afgesloten;18-12-2017 12:29;Afvaldumping;Afvaldumping;Steynlaan;Steynlaan 55;Zeist Centrum
18-12-2017 12:23;Nieuw via KCC;Ontvangen;18-12-2017 12:23;;;;;
18-12-2017 12:12;Definitief afgesloten;Afgesloten;25-12-2017 12:12;Wegen en fietspaden;Gebreken fiets-/voetpaden;Taveernelaan;;Den Dolder e.o.
18-12-2017 11:47;Definitief afgesloten;Afgesloten;18-12-2017 11:47;Overig;;Taveernelaan;;Den Dolder e.o.
18-12-2017 11:39;Definitief afgesloten;Afgesloten;18-12-2017 11:39;Handhaving;Handhaving;Schoolweg;container op parkeerplaats;Zeist Oost
18-12-2017 11:37;Definitief afgesloten;Afgesloten;18-12-2017 11:37;Bomen;Bomen;De Dreef;;Zeist Noord
18-12-2017 11:35;Nieuw via KCC;Ontvangen;18-12-2017 11:35;;;;;
18-12-2017 11:33;Definitief afgesloten;Afgesloten;25-12-2017 11:33;Openbare verlichting;Lamp defect;Wilhelminalaan;3741-0008;Zeist Centrum
18-12-2017 11:16;Definitief afgesloten;Afgesloten;18-12-2017 11:16;Afvaldumping;Afvaldumping;Thorbeckelaan;bij de vijver in het park;Zeist Noord
18-12-2017 11:06;Voorlopig afgesloten;Afgehandeld;18-12-2017 11:06;Wegen en fietspaden;;Hertenlaan-West;;Den Dolder e.o.
18-12-2017 11:01;Nieuw via KCC;Ontvangen;18-12-2017 11:01;;;;;
18-12-2017 10:35;Definitief afgesloten;Afgesloten;18-12-2017 10:35;Bomen;Bomen;Padvinderslaantje;;Zeist Oost
18-12-2017 10:20;Definitief afgesloten;Afgesloten;25-12-2017 10:20;Openbare verlichting;Lamp defect;Oranje Nassaulaan;Het lichtbeeld op de hoek Kerckeboschlaan/Maximalaan;Zeist Oost
