Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
3M Nederland B.V.;;;;;1;;;;;;;;2;;;;;;5;;;;;;4;;;;;;;;;;6;7
4 Seasons Events;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
44 Coaching&Training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
4b-Plus B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
4D organisatieontwikkeling & opleiding;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
4Dental Holding N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
4DotNet B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
4Launch B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
4MZ;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
4now training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
4walls;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
5 broden 2 vissen;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
50 Vital 4 Work;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
5hart-IT Opleidingen B.V.;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4
7AM Den Haag B.V.;;;1;;1;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;2
7Day;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
7x4 IT Services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
8D Games;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
9C Coaching;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A & C Presentations;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
A & P Investments B.V.;;;2;1;1;1;1;;;;;2;1;1;1;2;;3;2;;1;;1;1;;1;;;2;;;1;;;5;6
A C Kenniscentrum;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A Company B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A Point B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
A van O B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A Z Vertaalservice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A&A Vertaal- en tolkbureau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
A*Life B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Alblas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A. Beverwijk en Zonen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;3
A. de Kom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A-. en J. Luitjens B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Kom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A. Langeveld V.O.F.;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
A. Laurijssen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
A. Nieuwenhuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A. Nieuwland-Helou tolk/vertaler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A. Pahladsingh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A. Rietveld Boekbinderij;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
A. Timmerman's IJzerhandel B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1
A. Tufi t.h.o.d.n. Supervlaai;;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
A. v. Huijstee-de Mildt Opl., Train. & Advies;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;2;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;2
A. Verheugt Praktijk voor psychotherapie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.A. Nouraldin t.h.o.d.n. DÃ¶ner Company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.A. van Bindsbergen Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.A.B. Koeriers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.b. Park Honingen Prinsenl./PC&Tyreserv. 010;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
A.B. van Vugt V.O.F.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.C. Bosch, Tandarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.C. de Boer Brood-Banket-Grootverbruik;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
A.C. van Schaik;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;2;2
A.C.M. Kleinsman, Psychiater;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.E. Bos Advocate B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1
A.E.H. Algemene Exameninstelling Holland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.F.G. Vasters Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
A.G. Installatiebedrijf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
A.H. A.D. B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
A.J. F�l�p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.J. Klumpenaar;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
A.J. Stierum, Prakt. kinder- en jeugdpsych.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.J. van der Linde B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
A.J.-C.J.P. Koenis V.O.F.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.J.M. Montage;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.L.A.D. Reizen B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
A.M. Knook Vastgoed B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1
A.M. Korts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.M.I. Complete Project Interieurs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;2
A.M.I. Spauwen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.O.M. Advies op Maat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.P.S.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;4
A.P.S. Esserheem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.P.S. Nieuwegein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
A.P.S. Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
A.R.L. Desmedt h.o.d.n. Bakkerij Bart;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.S. Zwaans B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;2
A.S.J. Leeuwenburgh;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;3
A.Schouten, orthopedagoog en gz psycholoog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.T. Scholte;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.Vogel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.W. Jongbloed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
A.Witvliet;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
A.X. Rutten, psych., gerecht. deskund. NIFP;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
A10Tech B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A1-City B.V.;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A3 Koel- en Vriestechniek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
A3: Admirals Autonomous Advice;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
a4 Training;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aa Glashandel W.J. Hoffmann B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
AAAA A'dam Adri Avont.& Architectuurrondleid.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aaaaha! The Actor Factory B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2
AAB Beveiligingen B.V.;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
AABR Vertaalbureau Farsi-Dari-Nederlands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
aadesign;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1
Aagje 1 B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aakwadraat Networks B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Aaldering B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Aalders Wassalon/Stomerij;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Aan de Gaag;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aandacht;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aandacht & Compassie Amersfoort;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aanhangwagenbedrijf Van de Burgwal;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;1
Aannemersbedrijf Peters B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;;;;;;2;3
Aannemersbedrijf Versteeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;3;;;;;;;4
Aannemingsbedrijf Scholtmeijer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aannemingsbedrijf van Sabben B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
AantjesZevenberg Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aardoom & De Jong B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aarnoudse Advocaten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aaron A. de Haas Training B.V.;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aartsen Hekman Lodder Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
AAS Opleiding en Training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AB Texel Fresh Transport B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ABaars Onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Abad Traducciones Spaans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Abagar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Abalco Service B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1
ABC communicatie & mediaproducties;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABC Display Industry B.V.;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;1;2;;;;;;;2
ABC Events Nederland;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ABC Restaurant Velp;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABC Winkelinrichting B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Abdijhuis;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Abel. Grand CafÃ© Restaurant B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABF Vertaalservice Frans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Abiom Communication Systems (A.C.S.) B.V.;;;2;;;;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;2;4
ABN AMRO Arbo Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5
ABO Opleidingen V.O.F.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Aboma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Abonnementenland;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;1
Abra la Palabra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Abrikoos Utrecht B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABS Boekhorst Arnhem Noord;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Absoluta Food and Facilities B.V.;;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ABV Haukes Inspectiediensten B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Academie Bo Yi;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie Lokale Belastingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor Leren en Ontwikkelen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor Medezeggenschap B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor Motivatie en Gedragsverandering;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academy for Information and Management B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academy for Leadership B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Academy of Logistics;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Academy Payroll Professionals;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Acaleph Opleiding Training en Adviezen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Acapture B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Acato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Accent Organisatie Advies B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Accenture B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;7
Acces Toegangstechniek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Access It Training & Solutions;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;1
Acclon Technologies B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Accor Hospitality Nederland N.V.;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1
Accountantskantoor Geerlofs B.V.;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Accres Exploitatie B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Accretio;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Ace Letselschade Advocaten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Achmea Bank N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Achmea Schadeverzekeringen N.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Achterkamp Bedrijfsopleidingen B.V.;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ACM Opleidingen B.V.;;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
ACP Beroepskeuze-advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acquire Publishing B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
ACS audiovisual solutions B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2
ACT2B Advies, Coaching & Training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acta advocaten en mediators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ACTA Dental Education B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acter Entertrainment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Acteur en Theatermaker Ben van Bokhoven;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acteursbureau Kapok B.V.;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Actief Events B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Actief Fysiotherapie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Actief Veenhuizen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Active Collecting Control & Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Active Learning;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Active Presentation Multimedia B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Activo;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
ACV Beveiligingstechniek B.V.;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1
AcZmediation & Coaching;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
AD Autobedrijf Teo Welles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ad Blitterswijk;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ad Eight B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ad Em Producties B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Ad Hosman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1
Ad Rem Debat en Strategie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ad Schilperoort Kempstraat B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Ad Valorem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
AD2 Textiles B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adames Consultancy;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1
Adank & Klostermann Advocaten B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adao;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ADB Handelsonderneming B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Addink Tweewielers;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adecco Detachering B.V.;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adecco Personeelsdiensten B.V.;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ademar B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Adfo Groep B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Adjectivum Consultancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adler International C.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Adlib Gebruikersgroep;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Administratieburo Van den Hazel;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Administratiekantoor Fine;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Admiraal De Ruyter Ziekenhuis loc. Vlissingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Admiraal Steakhouse;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
