Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Eetcaf� de Hoeskamer;;;1;;;1
Eetcaf� De Verlenging;;;;1;;1
EICC, Electronic Industry Citizenship Coalition;;;;1;;1
Eindhoven247 B.V.;;;1;;;1
El Qatarijne;;;1;;;1
Elycio B.V.;;1;;;;1
EMMA Communicatie B.V.;;;;;4;4
Energieonderzoek Centrum Nederland;;;;;1;1
Energiepartners;;;;;1;1
Energy Transition New York;;;;2;;2
Entomologie-Speciaalzaak Vermandel V.O.F.;1;;;;;1
Entopic B.V.;;;;1;1;1
Equipoise B.V.;;;;2;;2
ER;;;;;1;1
Ergo B.V.;;;;;2;2
Ernst & Young Accountants LLP;;;;;2;2
EstÃ©e Culinair Events B.V.;;;;;1;1
Esto Food & Drinks;;;;1;;1
Eta Florence Renewable Energies;;;;1;;1
Eten & Zo Zoetermeer B.V.;;;1;;;1
Eurest Services B.V.;;;;1;;1
Eurisy;;;1;;;1
Euroconsult;1;;;;;1
Euromast Horeca B.V.;;;1;;;1
Euromonitor International Ltd;5;;;;;5
European Academy for Taxes, Economics & Law Brauner Klingenberg GmbH;;;;1;;1
European Wind Energy Association EWEA;;;;2;;2
Eurosense B.V.;;;;;1;1
EuroSTAR Conferences;;;;1;;1
Eurovet;;;;2;;2
Evenementenhal Gorinchem B.V.;;;;1;;1
Evenementenhal Hardenberg B.V.;;;;1;;1
Evenementenhal Venray B.V.;;;;1;;1
E-Vent entertainment;;;1;;;1
Evite Services B.V.;;;1;4;;4
EVO Fenedex;1;;;;;1
Experian Nederland B.V.;1;;;;;1
ExpertUpdate B.V.;1;;;;;1
Explanimates;;;;;1;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;;;1;;1
Expo Haarlemmermeer B.V.;;;;1;;1
Expomedia;;;;6;;6
FaberExposize B.V.;;;1;;;1
Facilicom Facility Solutions B.V.;;;;;1;1
Facilion B.V.;;;;;2;2
Facility Support Events B.V.;;;;1;;1
Fair & Sustainable Ethiopia;;;;2;;2
Federal Trade Commission;;;;1;;1
Federation of Associations of Ghanaian Exporters FAGE;;;;2;;2
Fellini Assen B.V.;;;1;;;1
Fico Urban Italian;;;1;;;1
Fiduciaria Colombiana de Comercio Exterior S.A FIDUCOLDEX;;;;2;;2
Fier B.V.;;;;1;;1
FILOSOOF B.V.;;;;2;;2
Firma Hof der Muzen;;;1;;;1
First Service One B.V.;;;1;;;1
Five Spices B.V.;;;;1;;1
FIZ Karlsruhe (STN);1;;;;;1
Flec Nederland B.V.;;;;1;;1
Fleming's Hotel Management und Servicegesellschaft mbH & Co. KG;;;;1;;1
Flora Party & Event B.V.;;;1;;;1
FloraHolland;;;;1;;1
FM Global Limited;;;;2;;2
FocusEconomics S.L.;2;;;;;2
follows.data.nl;;;;1;;1
Food Cabinet B.V.;;;;4;;4
Foto Verschoore Goes;;;;;1;1
Fotostudio Jacobson V.O.F.;;;1;;;1
Frephitophe;;;;;1;1
Fridays B.V.;;;1;;;1
Frisse Zin;;;;;1;1
Frontiers;;;;;1;1
Geodan B.V.;1;;;;;1
Geo-Informatie Nederland;;;1;;;1
Georgian Wine Association;;;;2;;2
GerVin Enterprise;;;;1;;1
Gh Catering B.V.;;;;;1;1
GH+O;;;1;1;4;4
Gielissen's Bedrijven B.V.;;;;6;;6
Gifts At Work;;;1;;;1
GL events World Forum Convention Center B.V.;;;;3;;3
Gloudemans;;;;;1;1
Goede Mynott Holding B.V.;;;1;;;1
Golfstromen;;;;;1;1
Good Conditions B.V.;;;;;1;1
Good Food Catering B.V.;;;;1;;1
Good Rade;;;;1;;1
Good! B.V.;;;;1;;1
Gosi Design B.V.;;;;;1;1
Gouden Pakket B.V.;;;;1;;1
Grand Cafe Lubeck;;;1;;;1
Grand Catering B.V.;;;;2;;2
Grand Central Food Market B.V.;;;1;;;1
Grandcafé De Wens B.V.;;;1;1;;1
Grand-CafÃ© Suisse;;;;1;;1
Grand-diner-café 't Boterhuis B.V.;;;1;;;1
Gransjean Wijnen & Delicatessen;;;;1;;1
Great Formats & Concepts;;;;;1;1
GreenFlux Assets B.V.;;;;1;;1
GreenTech Week;;;;1;;1
Grieks Restaurant Sirtaki;;;1;;;1
Grieks Specialiteitenrestaurant Mykonos;;;1;;;1
Groep Fabrieken van Machines voor de Voedings- en genotmidde;;;;3;;3
GVO drukkers & vormgevers;;;;;1;1
Haaglanden Verhuur;;;1;;;1
HablaFish;;;2;;2;3
Hagen Groothandel;;;;1;;1
Hagenouw Eten & Drinken B.V.;;;1;;;1
Hampshire Exploitatie I B.V.;;;1;1;;1
Hans von Burg Golf Activity Center;;;1;;;1
Happy Day Tours;;;;1;;1
Hard Rock Hotel San Diego;;;;1;;1
Hartenstraat 24 B.V.;;;;1;;1
Havenbedrijf Rotterdam N.V.;;;;1;;1
Hella Mutsaerts Notuleerservice;;1;;;;1
Hesbak 2 B.V.;;;1;;;1
Het Beugeltje;;;1;;;1
Het Financieele Dagblad B.V.;;;;;1;1
Het Muntgebouw-Utrecht B.V.;;;;2;;2
Het Pleidooi;;;1;1;1;1
Het Talentbedrijf B.V.;1;;;;;1
HetEnergieBureau B.V.;;;;1;1;2
Heuvelman Sound & Vision B.V.;;;1;2;;2
Hoek 21 promotions;;;1;;;1
Hofman Sportprijzen;;;;1;;1
Hogeschool Domstad Facilitaire Zaken B.V.;;;;1;;1
Hogeschool Utrecht;;;;2;;2
Hokra B.V.;;;2;1;1;2
Holding Beheermaatschappij Ropeni B.V.;;;;1;1;1
Holland Promotion B.V.;;;3;1;;3
Hollandse Hoogte B.V.;;;;;2;2
Hoober B.V.;;;1;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;;1;;1
Hosting.nl B.V.;;;;;1;1
Hotel Contact B.V.;;;1;6;1;6
Hotel De Bilderberg;;;;2;;2
Hotel De Hallen B.V.;;;;1;;1
Hotel Delft Centre;;;1;;;1
Hotel Exploitatie Kerckebosch B.V.;;;;1;;1
Hotel Groningen-Hoogkerk B.V.;;;;;1;1
Hotel Jardin Savana Dakar;;;;1;;1
Hotel Post Plaza B.V.;;;;1;;1
Hotel Venlo;;;;1;;1
Hotel-CafÃ©-Restaurant 'Zeezicht';;;;;1;1
Hotel-CafÃ©-Restaurant 'Zwolle' B.V.;;;;1;;1
Human Factors NL;1;;;;;1
Humphrey's Restaurant;;;;1;;1
Hungexpo;;;;1;;1
Hustle Creatives Co�peratief UA;;;;;1;1
Hutten Business Catering B.V.;;;;1;;1
Hybrid Landscape B.V.;;;;2;;2
Hydrozorg Interieurbeplanting;;;1;;;1
Hyperspin Pte Ltd;1;;;;1;1
Hyphen Projects B.V.;;;;1;;1
I.D. Image Development;;;;;1;1
ICC Ned., Ond. v. ICC, The World Bus. Organ.;;;;;1;1
ID Ware International B.V.;;;1;;;1
ID Wear B.V.;;;;1;;1
Imageselect B.V.;;;;;1;1
IMD Switzerland;1;;;;;1
ImpactReporters;;;;;2;2
In Pace B.V.;;;1;1;;1
In2Content B.V.;;;1;;4;4
in60seconds B.V.;;;;;1;1
Indisch Restaurant Garoeda;;;1;1;;1
Indonesisch Restaurant Poentjak;;;;1;;1
Infinity;;;;;2;2
Informa UK Limited;;;;1;;1
Informatiebord.nl B.V.;;;;1;;1
ING Bank N.V.;1;;;;;1
InnoValor B.V.;2;;;;;2
InnovationQuarter;;;;1;;1
innovativo publishing italiÃ«plein;;;1;;;1
Innovero Software Solutions B.V.;1;;;;;1
Inntel Hotels Rotterdam Centre;;;;1;;1
Inscene Company B.V.;;;;;1;1
Insectsforall;;;;1;;1
Institut de droit de la concurrence;1;;;;;1
Instituut Maatschappelijke Innovatie;;;;2;;2
Instituut van Internal Auditors Nederland;1;;;;;1
Intend B.V.;;;;1;;1
Interactive Affairs B.V.;;;1;;;1
International Academy of Astrounautics;;;1;;;1
International Astronautical Federation;;;1;;;1
International In-house Counsel Journal Ltd.;1;;;;;1
International Trade Centre;2;;;;;2
Interra B.V.;;;;;1;1
IPMA - NL;;;1;;;1
Ipsos B.V.;;;;;1;1
Israel Producten Centrum;;;1;;;1
ITALIAN EXHIBITION GROUP SpA;;;;1;;1
Itera B.V.;;;;;2;2
ITSA Limited;1;;;;;1
Iventus;;;;1;;1
IVN, Instituut voor Nat.educ. en duurzaamheid;;;;;1;1
Jaarbeurs B.V.;;;1;1;;1
JAM visueel denken B.V.;;;;1;1;1
Ja-maarÂ® B.V.;;;;1;;1
Jamie's Italian Den Haag;;;1;;;1
JEM-ID;;;;1;;1
Joe's;;;1;;;1
Joinn! Houten B.V.;;;;1;;1
Jojoli;;;1;;;1
JUVANO Holding B.V.;;;;;1;1
Kamera Express;;;;;1;1
Kamera Express Den Haag B.V.;;;;1;;1
Kantjil & De Tijger;;;;1;;1
Kantjil Amsterdam B.V.;;;;1;;1
Kazerne B.V.;;;;1;;1
Kenya Tourist Board;;;;1;;1
Keukenhof B.V.;;;;1;;1
Kivitra Party Verzorging;;;;1;;1
Klantenservice Federatie;1;;;;;1
Klap Strategische Communicatie B.V.;;;;;1;1
Kliq Internet;;;;;1;1
Knowledge Exchange B.V.;2;;;;;2
Knyfe Ealdormann B.V.;;;;1;;1
Koelnmesse GmbH;;;;3;;3
Koetshuis de Burcht;;;;1;;1
Koffie- en Eetsalon 't Achterommetje;;;1;;;1
Kok bestellen;;;1;;;1
Kompass Belgium;2;;;;;2
Kon. Ned. Geolog. Mijnbouwkundig Genootschap;;;1;;;1
Kon. Vereniging voor de Staathuishoudkunde;;;;;1;1
Koninkl. Nederl. Plantenziektekund. Verenig.;1;;;;;1
Koninklijk Instituut van Ingenieurs;1;;;;;1
Koninklijk Nederlands Waternetwerk;1;;;;;1
Koninklijke Fabrieken Posthumus B.V.;;;;;1;1
Koninklijke Kampert en Helm Rotaform B.V.;;;;;1;1
Koninklijke Nederl. Mij. voor Diergeneeskunde;3;;;;;3
Koppert Cress B.V.;;;;1;;1
Korea Bureau Sana Song (KBSS);;1;;;;1
Krajowa Agencje Poszanowania Energii S.A.;;;;;3;3
Kreisler Import B.V.;1;;;;;1
Kris Kras context, content and design;;;;;2;2
La Buvette;;;;1;;1
La Playa Rijswijk B.V.;;;1;;;1
La Vina B.V.;;;1;1;;1
Laarhoven design International B.V.;;;;;1;1
Landpachters en Eig.-Grondgebruikers in Ned.;1;;;;;1
Lares Horeca;;;;1;;1
Law Business Research Ltd. / Global Competition Review (GCR);1;;;;;1
Le Strasbourg;;;1;2;;2
Leene Communicatie;;;;;3;3
LEHRIEDER CATERING - PARTY - SERVICE GmbH & Co. KG;;;;1;;1
Leids OnderzoeksKollectief;;;;;2;2
LexisNexis Benelux;;;;;3;3
LexisNexis Business Information Solutions B.V.;2;;;;;2
Licensing Executives Society Benelux;1;;;;;1
LiveWall;;;;1;;1
Livewords;;2;;;;2
Living Lebanon;;;;1;;1
Locatus;1;;;;;1
Logeion;;;;;1;1
LogoChoc B.V.;;;;1;;1
Lowe Rental Ltd.;;;;1;;1
Mainpress B.V.;1;;;;;1
Maison de la Foret;;;1;1;;1
Maison van den Boer B.V.;;;;1;;1
Make Me See;;;;1;;1
Makmende Media B.V.;;;;;1;1
Mannen met plannen;;;;;1;1
Manpower Project Support;;2;;;;2
MapGear B.V.;1;;;;;1
MariÃ«nhof Amersfoort B.V.;;;;2;;2
Maritiem Museum Rotterdam;;;1;;;1
Matrix;;;;1;;1
Mauritshuis;;;;1;;1
MB Capital Services GmbH;;;;1;;1
MCI Amsterdam B.V.;;;;5;;5
MCW Studio's B.V.;;;;;1;1
Media Distillery Nederland B.V.;2;;;;;2
MediaMonks B.V.;;;;1;;1
Medical Werff B.V.;;;1;;;1
MeeÃ¹s AssurantiÃ«n B.V.;;;;1;;1
Meersupport;;1;;;;1
Meeting Plaza Utrecht B.V.;;;;1;;1
Meltwater The Netherlands B.V.;;;;;1;1
Mentimeter AB;1;;;;;1
Mepal B.V.;;;1;;;1
Mercadero;;;;1;;1
Mercure Hotel Amsterdam City;;;1;;;1
Messe Berlin GmbH;;;;2;;2
Messe D�sseldorf GmbH;;;;1;;1
Messe Frankfurt France s.a.s.;;;;2;;2
Messe Frankfurt Medien und Service GmbH;;;;1;;1
Messe Frankfurt Venue GmbH;;;;1;;1
Messe M�nchen GmbH;;;;1;;1
Metameta Communications B.V.;;;;;1;1
Metamorfose Vertalingen B.V.;;5;;;2;5
Metropolisfilm Post-Production B.V.;;;;;1;1
Mexicaans Restaurant El Popo;;;1;;;1
Mijnbouwkundige Vereeniging;;;;;1;1
Mila Sportprijzen;;;1;;;1
Millvision B.V.;;;;1;;1
MLex Ltd;2;;;;;2
Modefabriek B.V.;;;;1;;1
Moduli Print B.V.;;;;;4;4
Moestuin Maarschalkerweerd B.V.;;;1;;;1
Monsieur Bart;;;;1;;1
More Dutch Design;;;;1;;1
Motivaction International B.V.;;;;;3;3
Movares Nederland B.V.;;;;;2;2
Munckhof Regie;;;1;2;;2
Munckhof Reizen B.V.;;;;1;1;1
Museon;;;;1;;1
Museum Catering B.V.;;;;1;;1
Museum Catering Den Haag B.V.;;;;;1;1
Mwee beeld licht geluid;;;;2;1;2
My Productions B.V.;;;;1;;1
N.B.C. Exploitatie B.V.;;;;4;;4
N.V. Economische Impuls Zeeland;;;;2;;2
N.V. Zeeland Seaports;;;1;;;1
Narxoz University;;;;3;;3
National Bureau of Economic Research;1;;;;;1
Nationale Beeldbank B.V.;1;;;;1;1
Navigatiestemmen.nl;;;;1;;1
NDC mediagroep B.V.;;;1;;1;1
Ned. Gen.schap van Funct. Gegevensbescherming;1;;;;;1
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;1;;;;;1
Nederl. Verenig. voor Levensmiddelen Recht;1;;;;;1
Nederlands Edelsteen Laboratorium;1;;;;1;1
Nederlands Huisartsen Genootschap;;;;1;;1
Nederlandse Mediatorsvereniging;1;;;;;1
Nederlandse Orde van Register EDP-Auditors;1;;;;;1
Nederlandse Stg. v. Corporate Universities;1;;;;;1
Nederlandse Vereniging voor Inkoopmanagement;1;;;;;1
Nederlandse Vereniging voor Interim Managers;1;;;;;1
NEMO Science Museum;;;;2;;2
Nepal Tourism Board;;;;2;;2
Netherl. Facility Costs Index Co�peratie UA;1;;;;;1
Netherlands Enterprise Agency Astana;;;;4;;4
Netherlands Trade & Investment Office;;;;3;;3
Netrex Internet Solutions;;;;;2;2
Neukam - Reba GmbH;;;;1;;1
NEVI-Purspective B.V.;1;;;;;1
New Babylon Meeting Center B.V.;;;1;1;;1
NFGD Zoetermeer B.V.;;;2;;;2
NH Den Haag;;;;2;;2
NH Holding B.V.;;;;1;;1
NHOW Rotterdam B.V.;;;;2;;2
NIMA;;;1;;;1
NLUUG;1;;;;;1
Nom;;;;1;;1
NoName-Food & Drinks B.V.;;;;1;;1
Northend Holding B.V.;;;;2;;2
Notuleerservice Dictum;;1;;;;1
Nouvelle;;;;;1;1
Nouwen & de Rijke;;;;1;;1
Novagraaf Nederland B.V.;;;;;1;1
Novavision;;;;2;;2
NST;;1;;;;1
NT Publishers B.V.;;;;1;;1
NurnbergMesse Gmbh;;;;2;;2
NWC Events B.V.;;;;1;;1
OCLC B.V.;2;;;;;2
OCLC EMEA B.V.;1;;;;;1
Octane;;;;2;;2
OECD;;;;1;;1
Office Nationale du Tourisme de Madagascar;;;;1;;1
Olaf Blaauw Consultancy;;;;1;;1
On Show Solutions;;;;1;;1
Onderzoek Nederland Publicaties B.V.;1;;;;;1
Online Seminar B.V.;;;;1;1;1
Ontwerpwerk B.V.;;;;;1;1
Ontwikkelingsmaatschappij Oost Nederland N.V.;;;;1;;1
Openbare Bibliotheek Amsterdam;;;;1;;1
Optima Forma B.V.;;;;;3;3
Oracle Benelux Usergroups;1;;;;;1
Orange5 Catering & Events B.V.;;;1;;;1
Organiq B.V.;;;;;2;2
OSAGE communicatie en ontwerp;;;;;1;1
OTH Architecten B.V.;;;;;2;2
Oudaen B.V.;;;1;;;1
Over Morgen;;;;1;;1
Pan;;;1;;;1
Panache Leuven;;;;1;;1
Partners in Cultuur en Beleving B.V.;;;;1;;1
Partycentrum De Sluis;;;;1;;1
Partycentrum 'Open Huis';;;;1;;1
Partyschepencentrale;;;1;;;1
Partyservice Pato;;;1;;;1
Partyservice Van der Zee;;;;1;;1
Pastis Den Haag B.V.;;;;;1;1
Payroll Partners;;;;1;;1
PeelPioneers B.V.;;;;1;;1
Pentahotel Brussels City Centre;;;;1;;1
Personeelsnet Media B.V.;1;;;;;1
Personeelsvereniging 'De Til';2;;;;;2
Personeelsvereniging Remunj;;;1;;;1
Perspektyviniu Technologiju Taikomuji Tyrimu Institutas;;;;;3;3
Phaff Export Marketing B.V.;;;;4;;4
Phonsawan B.V.;;;;1;;1
Photo Republic;;;;;1;1
Photovision DH;;;;1;;1
Pier Zuid B.V.;;;;1;;1
Pinkcube B.V.;;;;1;;1
Pino Evenementen & Congressen B.V.;;;;2;;2
Pino Productions B.V.;;;;;2;2
Pinto Solutions;;;;;1;1
Pizzeria Ristorante Bella Italia B.V.;;;1;;;1
Plastikor Nederland B.V.;;;;;1;1
Platform Formalities Officers;1;;;;;1
Plein 9 A B.V.;;;1;1;;1
Podium onder de Dom B.V.;;;1;;;1
Podium Projectcommunicatie B.V.;;;;1;;1
Point to Point Communicatie B.V.;;;;;4;4
Policy Tracker;1;;;;;1
Polis Network;;;;1;;1
PORT+ NV;1;;;;;1
Postillion Hotels B.V.;;;;1;;1
Prachtig B.V.;;;;1;;1
Premium Cards B.V.;;;1;;;1
Pricewaterhousecoop. Belastingadviseurs N.V.;;;;;2;2
Pricewaterhousecoopers Accountants N.V.;;;;1;;1
Primera Den Haag;;;1;;;1
Private Label Manufacturers Association;;;;1;;1
Proeflokaal Maallust;;;1;;;1
Projektivity;1;;;;;1
Protinus IT B.V.;;;;;1;1
Publiek Betrokken;;;;1;;1
Publiek Denken;1;;;1;1;2
Publiquest, de Communicatie CoÃ¶peratie UA;;;;;2;2
PubMedia B.V.;1;;;;;1
Puck & Indy B.V.;;;;1;;1
PuDiDu;;;1;;;1
Punda Milia;;;;3;;3
Puur Amsterdam;;;1;;;1
QCP B.V.;;;;1;;1
QliQ Internet Technologies (qliq.it);;;;;1;1
