Rijlabels;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Architektenburo en Bouwburo Coors B.V.;;;;;;;1;;;1
Arenda Oomen Fotografie;;;;;1;;;;;1
Argentijns Restaurant San Telmo B.V.;;;;;1;;;;;1
Arma Verhuur Horeca B.V.;;;;;1;;1;;;1
Arnauld Geschenken B.V.;1;;;;1;;;1;;1
Arob Antennebouw B.V.;;;;;;;;1;;1
ARP Nederland B.V.;;;;;1;;;;;1
Art & Allposters International B.V.;;;;;1;;;;;1
Art for More;;;;;1;;;;;1
Artiestenverloningen B.V.;;;;;1;;;;;1
Artihove Regina B.V.;;;;;1;;;;;1
ArtiMedes B.V.;;;;;1;;;;;1
Artitude;;;;;1;;;;;1
Arts & Dennissen Catering;1;;;;;;;;;1
ARTTRA Cultureel Organisatiebureau;;;;;1;;;;;1
Arubian Cake Decorating;1;;;;;;;;;1
Asecos B.V.;;;;;;;;1;;1
ASEL Facility Consulting B.V.;;;;;;;;1;;1
Asha;1;;;;;;;;;1
Assa ABloy Hospitality Benelux BV;;1;;;;;;;;1
Atal B.V.;;1;;;;;;1;;1
Atelier en Arthotheek Artdesch;;;;;;;1;;;1
Athene Palace B.V.;;;;;1;;;;;1
Athlete.nl B.V.;;;;;;;;1;;1
ATIR;;;1;;;;;;;1
Atlantic Hotel Exploitatie B.V.;;;;;1;;;;;1
ATTERO B.V.;;;;;;1;;;;1
Attractie Verhuur Moonen B.V.;1;;;;1;;;;;1
Audion Elektro B.V.;;;;;;;;1;;1
August;1;;;;1;;;;;1
Auke Herrema Cartoons/Illustraties;;;;;1;;;;;1
Auke Rauwerda B.V.;;;;;;;1;1;;1
Autobedrijf Wessels Dedemsvaart B.V.;;;;;;;1;;;1
Automobielbedrijf Wema;;;;;;;1;;;1
AV Point Europe B.V.;;;;;;;;1;;1
Avantgarde Media B.V.;;;;;;;1;;;1
AVD Solutions;;;;;;;1;;;1
Avelite;;;;;1;;;;;1
Aviodrome Exploitatie B.V.;1;;;;;;;;;1
Aviste B.V.;;;;;;;1;;;1
AXA;;;;;;;1;;;1
Axent Groen B.V.;;;1;;;;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;;;1;;;;;1
Azion;;;;;;;1;;;1
B & V Bedrijfshulpverlening B.V.;;1;;;;;;;;1
B & V Brandbeveiliging B.V.;;1;;;;;;;;1
B&G Hekwerk B.V.;;;;;;;1;;;1
B. Welting;1;;;;;;;;;1
B.C. van den Adel Beheer B.V.;;;;;1;;;;;1
B.J. Bontekoe;;;;;1;;;;;1
B.L. Mulder;;;;;;;;1;;1
B.L. Mulder B.V.;;;;;;;;1;;1
B.M. R. Multimedia;;;;;;;1;;;1
B.T.B. Fire & Medical Support B.V.;;1;;;;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;;;;;1
B.V. Algemeen Verpakkings Centrum A.V.C.;;;;;;;;1;;1
B.V. Bouwbedrijf J. A. Van Niftrik;;;;;;;1;;;1
B.V. Etap;;;;;;;1;;;1
B.V. Korthofah;;;;;;;;1;;1
B.V. Nederlandse Anodising Maatschappij;;;;;;;;1;;1
B.V. Panorama Mesdag;;;;;1;;;;;1
B.V. Princeville Exploitatie;;;;;1;;;;;1
B.V. Technisch Bureau Jacot;;;;;;;1;1;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;;;;1;;1
B.V.A. Corstens;1;;;;;;;;;1
B+B Vakmedianet B.V.;;1;;;;;1;;;1
Backshop B.V.;;;;;;;1;1;;1
Badhotel Rockanje aan Zee B.V.;;;;;1;;;;;1
Bagageonline B.V.;;;;;;;;1;;1
Bagels & Beans Vivaldi;;;;;1;;;;;1
bagsandboxes;;;;;1;;;;;1
Bakery Cafe Kottier;1;;;;;;;;;1
Bakker & Schnabel B.V.;;;;;1;;;;;1
Bakker Derks 'Der Deutsche Backer';1;;;;;;;;;1
Bakker Groenvoorzieningen B.V.;;;;;1;;1;;;1
Bakker Professional B.V.;;;;;;;;1;;1
Bakkerij De Lekkerbek B.V.;1;;;;1;;;;;1
Bakkerij Ebbers Terborg;;;;;1;;;;;1
Bakkerij Lubbers;1;;;;;;;;;1
Bakkerij Oegema;;;;;1;;;;;1
bakkerij Piet Haaksma;1;;;;;;;;;1
Bakkerij Pots;1;;;;;;;;;1
Bakkerij Riedstra B.V.;1;;;;;;;;;1
Bakkerij Wegerif;1;;;;;;;;;1
Bakkerswerkplaats Wij Zijn Rotterdam B.V.;;;;;1;;;;;1
Ballonnenservice.nl;;;;;1;;;1;;1
BAM Bouw en Techniek regio Zuidwest;;1;;;;;1;1;;1
Banketbakkerij Boheemen;1;;;;1;;;;;1
Banketbakkerij Groen;;;;;1;;;;;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;;;;;1;;;;;1
Banketbakkerij Lentz;1;;;;;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;;1;;;;;1
Banketbakkerij Nijstad;1;;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;;;1;;;;;1
Banketbakkerij van Beek & Specker B.V.;1;;;;1;;;;;1
Banketbakkerij Van Dijk en Zoon;1;;;;1;;;;;1
Bar Bistro Speakers;;;;;1;;;;;1
Bar Company;;;;;1;;;;;1
Bar Restaurant Pavlov B.V.;;;;;1;;;;;1
Barista Roberto Mobile t.h.o.d.n. Kaldi Mobiel Hilversum;1;;;;;;;;;1
Bart Versteeg fotograaf;;;;;1;;;;;1
Bartholomeus Gasthuis;;;;;1;;;;;1
Basic Trust Licenties B.V.;;;;;1;;;;;1
Batterijservice Nederland;;;;;;;;1;;1
Bax-shop.nl B.V.;;;;;;;;1;;1
BCC elektro speciaalzaken;;;;;;;;1;;1
BCN B.V.;;;;;1;;;;;1
Beach Professionals B.V.;;;;;1;;;;;1
BeamBrothers Rental B.V.;;;;;1;;;;;1
Beaumont B.V.;;;;;;;1;;;1
Becx Tuinmachines Moergestel B.V.;;;;;;;;1;;1
Bedrockz;;;;;;;;1;;1
Beerepoot Handelsonderneming B.V.;;1;;;;;;;;1
BeGlobal Relatiegeschenken;;;;;1;;;;;1
Belangenver. Bedrijfshulpverlening Nederland;;1;;;;;;;;1
Belarto Nederland B.V.;;;;;1;;;;;1
Belfleur;;;;;1;;;;;1
Belgisch BiercafÃƒÂ© Olivier B.V.;1;;;;;;;;;1
Bella Napoli;1;;;;;;;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;;;1;;;;;1
Bergmans Telecom Service;;1;;;;;;;;1
BERGSMA GROOTHANDEL;1;;;;;;;;;1
Berkehofke;;;;;1;;;;;1
Bernard Poelman Maatkleding;;;;;;;;1;;1
Berry's Lunchroom;1;;;;;;;;;1
Bert Muller Grootkeukentechniek B.V.;;;;;;;;1;;1
Beukeveld;;;;;1;;;;;1
Beurtvaartadres document B.V.;;;;1;1;;;;;1
Bever B.V.;;;;;;;;1;;1
"Bewonersvereniging ""Commissie van Beheer""";1;;;;1;;;;;1
Bezorggroente.nl;1;;;;;;;;;1
Bhv-Specialist.Nl;;1;;;;;;;;1
BHVstore.nl;;1;;;;;;;;1
Bieling Zeefdruk B.V.;;;;;1;;;1;;1
Bienvenue;1;;;;;;;;;1
Biermans IJzerhandel Breda B.V.;;;;;;;;1;;1
Bigfoot;;;;;1;;;;;1
Bigoli;1;;;;1;;;;;1
Bijkantoor Dunea;;;;;;;;;1;1
Bijzondere Locaties Groningen B.V.;;;;;1;;;;;1
Bik Frietwerk B.V.;;;;;1;;;;;1
Bilderberg Grand Hotel Wientjes;;;;;1;;;;;1
Billink B.V.;;;;;;;;1;;1
Binder Groenprojecten;;;;;;;1;;;1
Bistro Le Primeur B.V.;;;;;1;;;;;1
bloem & styling aan de zeven alleetjes;;;;;1;;;;;1
Bloembinderij Cees Van Eijck;;;;;1;;;;;1
Bloemenatelier in de Roos;;;;;1;;;;;1
Bloemenhuis De Narcis;;;;;1;;;;;1
Bloemsierkunst Anggrek;;;;;1;;;;;1
Bloemsierkunst Anneke Kapteyn;;;;;1;;;;;1
Blomsma Signs & Safety;;;;;1;;;;;1
BLOSSOM bloemisterij;;;;;1;;;;;1
Boca Kaarsen Groep B.V.;;;;1;;;;;;1
Boca's Westerstraat B.V.;1;;;;;;;;;1
Bocxe Biljarts V.O.F.;;;;;;;;1;;1
Boeketcadeau.nl;;;;;1;;;;;1
Boekscout;;;;;1;;;;;1
Boenwas.com;;;;;1;;;;;1
Bokhoven Bouw B.V.;;;;;;;1;;;1
bol.com B.V.;;;1;;1;;1;1;;1
Bolidt Kunststoftoepassing B.V.;;;;;;;1;;;1
Bo-Mij Beheer B.V.;;;;;;;1;;;1
Bon Bon Partyservice B.V.;1;;;;;;;;;1
Bonbon Atelier A3;;;;;1;;;;;1
Bond voor Materialenkennis;;;;;;;1;;;1
Bontekoe Produkties V.O.F.;;;;;1;;;;;1
Bontolie;1;;;;;;;;;1
Bonzet Boekbinders;;;;;1;;;;;1
Boom uitgevers Amsterdam B.V.;;;;;1;;;1;;1
Boon Edam Nederland B.V.;;;;;;;1;;;1
Bos Incasso B.V.;;;;;;;;;1;1
Bos Tuingereedschappen;;;;;;;;1;;1
Bos Vlaggen B.V.;;;;;;;1;;;1
Bosan B.V.;;;;;;;;1;;1
Bosch Security Systems B.V.;;1;;;;;;;;1
Bosjuweel B.V.;;;;1;;;;;;1
Bossec-Technics;;1;;;;;;;;1
Bosveld Gerechtsdeurwaarders & Incasso's;;;;;;;;;1;1
Bouma Sport en Groen B.V.;;;;;;;1;;;1
Bounin Special Services;;1;;;;;;;;1
Bouter B.V.;;;;;;;1;1;;1
Bouwbedrijf De Zwart B.V.;;;;;;;1;;;1
Bouwonderneming Jager B.V.;;;;;;;1;1;;1
Bouwrijk B.V.;;;;;;;1;;;1
Bouwservice Fons van der Heijden B.V.;;;;;;;1;;;1
BovÃƒÂ© B.V.;;;;;;;;1;;1
Bovenregionaal kantoor;;;;;;;;;1;1
Brabant Water N.V.;;;;;;;;;1;1
Brabo Verpakking B.V.;;;;;1;;;;;1
Bramidan Nederland B.V.;;;;;;;;1;;1
Bram's Gourmet Frites B.V.;1;;;;;;;;;1
Brandpreventie Kreuwel V.O.F.;;1;;;;;;;;1
Brasserie De Boerderij;;;;;1;;;;;1
Brasserie in den Zevenden Hemel;;;;;1;;;;;1
Brasserie Lookies;1;;;;;;;;;1
Brasserie Soho B.V.;;;;;1;;;;;1
Brasserie 't Zusje Uden B.V.;;;;;1;;;;;1
Brasserie Waalhaven;;;;;1;;;;;1
Bravo Multimedia B.V.;;;;;1;;;;;1
Braza B.V.;;;;;1;;;;;1
Break Free Fun Company;;;;;1;;;;;1
Breda Print Zeefdrukkerij;;;;;1;;;;;1
Bredenoord B.V.;;;;;;;;1;;1
Bredzz;1;;;;;;;;;1
Breedveld Staal B.V.;;;;1;;;;;;1
Breinler International B.V.;;;;;;;;1;;1
Bremer Kantoorcentrum B.V.;;;;;;;;1;;1
BRENDING;;;;;1;;;;;1
Breur Beveiligingen B.V.;;1;;;;;;;;1
Brevidius MultiMedia Projecten;;1;;;;;;;;1
Brezo-Elan B.V.;;;;;1;;;;;1
Brink Industrial B.V.;;;1;;;;;;;1
Brinkman t.h.o.d.n. SUBWAY Rijswijk;1;;;;;;;;;1
Broekarts Graveerwerken V.O.F.;;;;;1;;;;;1
Broekhuis Harderwijk 2 B.V.;;;;;;;;1;;1
Brofa V.O.F.;1;;;;;;;;;1
Broken Hill, Toneel en Techniek;;;;;1;;;;;1
Brood en Banket Alsady;1;;;;;;;;;1
Broodbode;1;;;;;;;;;1
Broodje Lucullus;;1;;;;;;;;1
Broodje van Martin;1;;;;;;;;;1
Broodrunner;1;;;;;;;;;1
Brouwerij De Kromme Haring B.V.;;;;;1;;;;;1
Brouwers Groenaannemers B.V.;;;;;;;1;1;;1
Bruynzeel Storage Systems B.V.;;;;;;;1;;;1
Btje B.V.;;;;;1;;;;;1
Bubbels Agency;;;;;1;;;;;1
Budget Broodjes;1;;;;;;;;;1
Budgetlight B.V.;;;;;;;;1;;1
Buffalo.nl B.V.;;;;;;;;1;;1
Bumicom Telecommunicatie B.V.;;;;;;;1;;;1
Bureau BlauwGeel B.V.;;;;;1;;1;1;;1
Bureau Fris B.V.;;;;;1;;;;;1
bureau MindsWare;;;;;1;;;;;1
Bureau van der Meijden B.V.;;;1;;;;;;;1
Bureau Veritas Industrial Services;;;;;;;;1;;1
BURO2010 B.V.;;;;;1;;;;;1
Buromac B.V.;;;;;1;;;;;1
Burrata Turfmarkt B.V.;;;;;1;;;;;1
Bus' Handelmaatschappij B.V.;;1;;;;;;1;;1
Business Art Service B.V.;;;;;;;1;;;1
BvCM Collections B.V.;;;;;;;;;1;1
BWT Nederland B.V.;;;;;;;;1;;1
By Whyte!;;;;;1;;;;;1
Bygo;;;;;;;1;;;1
BZZ Bezorging Zonder Zorgen;;;;1;;;;;;1
C. Erkelens;;;;1;;;;;;1
C. Schmidt;1;;;;;;;;;1
C.G. Holthausen B.V.;;1;;;;;;;;1
C.P.C. Kuijs;;;;;;;;1;;1
C22C B.V.;;;;;1;;;;;1
Cadeau Concepten B.V.;;;;;1;;;1;;1
CafÃ© Restaurant Rootz B.V.;;;;;1;;;;;1
CafÃ© Studio Haarlem B.V.;;1;;;;;;;;1
CafÃƒÂ© Verheyden;;;;;1;;;;;1
Cafe de Unie;1;;;;1;;;;;1
Café Maurickzicht;1;;;;;;;;;1
Cafe Nouveau;;;;;1;;;;;1
Café Restaurant Luchthaven Lelystad;1;;;;;;;;;1
Café Vrijdag Amsterdam B.V.;;;;;1;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;;1;;;;;1
Café-Restaurant Amier B.V.;;;;;1;;;;;1
Cafetaria Dolle Dries;1;;;;;;;;;1
Cafetaria Jimmy's;1;;;;;;;;;1
Cafetariabedrijven Lepoutre B.V.;1;;;;;;;;;1
Calertho Bouwkunde B.V.;;;;1;;;1;;;1
Caliz B.V.;;;;;;;;1;;1
Calumet Photographic B.V.;;;;;;;;1;;1
CAMAN V.O.F.;;;;;1;;;;;1
CameraNU.nl;;1;;;;;;;;1
Camiel Mikily B.V.;1;;;;1;;;;;1
Cannock Chase B.V.;;;;;;;;;1;1
Cantonees Restaurant Fine Food;1;;;;;;;;;1
CanvasCompany.nl B.V.;;;;;;;1;;;1
Carboma Holding B.V.;1;;;;;;;;;1
Card ID Solutions;;1;;1;;;;1;;1
Card Vision B.V.;;1;;1;1;;;1;;1
Cardcenter.nl;;;;;;;;1;;1
Caricature Company;;;;;1;;;;;1
Carl Zeiss B.V.;;;;;;;;1;;1
Carlton Hotels Nederland B.V.;1;;;;1;;;;;1
Caroni;;;;;1;;;;;1
CARU Containers B.V.;;;;;;;1;;;1
Cashless Solutions;;;;;;;;1;;1
Catching Colors;;;;;1;;;;;1
Caterij Bielderman V.O.F.;1;;;;;;;;;1
Catering De Steiger V.O.F.;1;;;;;;;;;1
Catering Service 't Ankertje;1;;;;;;;;;1
Catering Utrecht B.V.;1;;;;;;;;;1
Cateringbedrijf De Smaeck;1;;;;;;;;;1
Caubergs Pieter BVBA;1;;;;;;;;;1
CBPL;;;;;1;;;;;1
CCV Group B.V.;;1;;;;;;1;1;1
Cees Oosterom Design;;;;;1;;;;;1
Celil Citybike;;;;;;;1;;;1
Centraal Boekhuis B.V.;;;;;;;1;;;1
Centrale Rino B.V.;;;;;1;;;;;1
Centrum de Pijler;;;;;1;;;;;1
Certified Secure B.V.;;;;;1;;;;;1
Certin Incasso B.V.;;;;;;;;;1;1
Ch Brandbeveiliging B.V.;;1;;;;;;;;1
Chalet Group;;;;;1;;;;;1
Chalet X B.V.;;;;;;;1;;;1
Champelle V.O.F.;;;;;1;;;;;1
Champion Biljarts B.V.;;;;1;;;;;;1
Charles van Eijken/Bezorgbeer Den Haag-Schev.;1;;;;;;;;;1
CHCH Exploitatie B.V.;;;;;1;;;;;1
Cheekabi;;;;;;;;;1;1
Chin. Ind. Special. Restaur. De Kersenbloesem;1;;;;;;;;;1
Chin. Indisch Restaurant International Almelo;1;;;;;;;;;1
Chin.-Ind. Spec. Rest. de Nieuwe Chinese Muur;1;;;;;;;;;1
China Palace;1;;;;1;;;;;1
China-Town;;;;;1;;;;;1
Chinees Indisch Restaurant de Nieuwe Chinese Muur;1;;;;;;;;;1
Chinees Indisch Restaurant Golden Garden;1;;;;;;;;;1
Chinees Indisch Restaurant 'Hong Fong';1;;;;;;;;;1
Chinees Indisch Restaurant Long Sing;1;;;;1;;;;;1
Chinees Indisch Restaurant Man Wah;1;;;;;;;;;1
Chinees Indisch Restaurant Nieuw China;1;;;;;;;;;1
Chinees Indisch Restaurant Walong;;;;;1;;;;;1
Chinees Restaurant China;1;;;;;;;;;1
Chinees/Japans Restaurant Momiji;1;;;;;;;;;1
"Chinees-Indisch Restaurant ""de Nieuwe Pauw"".";1;;;;;;;;;1
Chinees-Indisch Restaurant Malakka;;;;;1;;;;;1
Choco-Paradijs;;;;;;;;1;;1
Christiaan Kanis;;;;;1;;;;;1
CIBT visas;;;;1;;;;;;1
CIO Platform Nederland;;;;;;;1;;;1
CIRRA;;;;;1;;;;;1
Claus;;;;;1;;;;;1
Claxwagen.nl;;;;;;;;1;;1
CleanProfs B.V.;;;1;;;;;;;1
Clearfreight B.V.;;;;1;;;;1;;1
Cloose;;;;;1;;;;;1
CN Trading;;;;;;;;1;;1
CoÃƒÂ¶peratie Gevelreiniging Maastricht UA;;;1;;;;;;;1
Coca-Cola European Partners Nederland B.V.;1;;;;;;;;;1
Coff. on Wheels thodn CasaBarista Amsterdam;;;;;1;;;;;1
Collactive B.V.;;;;;;;;;1;1
Colors Events;1;;;1;;;;;;1
Colour XL B.V.;;;;;1;;;;;1
Comic House Amsterdam B.V.;;;;;1;;;;;1
Communication Network;;;;;1;;;;;1
Compacon B.V.;;;;;1;;;1;;1
Comparex;;;;;;;1;;;1
Compressor Service Techniek B.V.;;1;;;;;;;;1
Condair B.V.;;;;;;;1;;;1
Conradi's Constructie;;;;;;;;1;;1
Constructiebedrijf H. Baars B.V.;;;;;;;1;;;1
Containerboxes4sale;;;;;1;;1;;;1
Contenture;;;;;1;;;;;1
ContrAll Inspectie B.V.;;;;;;;;1;;1
Cooking4Events;;;;;1;;;;;1
Coolblue B.V.;;;;;1;;1;1;;1
Coolsingel 104 Exploitatie B.V.;;;;;1;;;;;1
Copy Service Leeuwarden B.V.;;;;;1;;;;;1
Cornelese Technical Systems B.V.;;1;;;;;;;;1
Correct Incasso;;;;;;;;;1;1
COT Inst. v. Veiligh. & Crisismanagement B.V.;;1;;;;;;;;1
Creagivity B.V.;;;;;1;;;;;1
Creja Ontwerpen B.V.;;;;;1;;;;;1
Croissanterie 'de Snor' Beheer B.V.;1;;;;1;;;;;1
Croissanterie/Cafetaria v/h Meier;1;;;;1;;;;;1
Crossmediahuis B.V.;;;;;1;;;;;1
Crowcon Detection Instruments Ltd.;;;;;;;1;;;1
Croy to go B.V.;1;;;;;;;;;1
Cupsz B.V.;;;;;1;;;;;1
CURA Advies & Training B.V.;;1;;;;;1;;;1
CURA Preventie B.V.;;1;;;;;;;;1
CURA Safety Solutions B.V.;;1;;;;;1;1;;1
CURLconcepts B.V.;;;;;1;;;;;1
Curtec Nederland B.V.;;;;;;;;1;;1
D. Stuik hodn New York Pizza Delivery;1;;;;;;;;;1
D. van Looy Groente en Fruit;1;;;;1;;;;;1
D.P. Friesland B.V.;1;;;;;;;;;1
D÷ner Town V.O.F.;1;;;;;;;;;1
Da Lina Lunchroom;1;;;;;;;;;1
Dado Nederland;1;;;;;;;;;1
Dael Security B.V.;;1;;;;;;;;1
Dagelijks Lekker B.V.;1;;;;1;;;;;1
Dames & Heren Culinair Cafe;;;;;1;;;;;1
Damesmode Shopping B.V.;;;;;;;;1;;1
Darque Magic;;;;;1;;;;;1
DAS Incasso Rotterdam B.V.;;;;;;;;;1;1
Dassault SystÃƒÂ¨mes B.V.;;;;;;;;1;;1
Dassen Bouw B.V.;;;;;;;1;;;1
Datec;;;;;1;;;;;1
Datona B.V.;;;1;;;;;;;1
Daxtrio B.V.;;;;;;;;1;;1
DBS Maaitechniek B.V.;;;;;;;;1;;1
D-Creator;;;;;1;;;;;1
De Apostelhoeve;;;;;1;;;;;1
De Bakkerswinkel Utrecht;1;;;;;;;;;1
de Band Dierenkliniek;;;;;;;1;;;1
De banencoach;;;;;1;;;;;1
De Bazar B.V.;1;;;;;;;;;1
De Beer Professioneel B.V.;;;;;;;;1;;1
De Belgische Keizer B.V.;1;;;;;;;;;1
De Blauwe Lotus;1;;;;;;;;;1
De Bloemenschuur;;;;;1;;;;;1
De Boer Structures B.V.;;;;;1;;;;;1
De Bootsmannen B.V.;;;;;1;;;;;1
De Branding Utrecht B.V.;;;;;1;;;;;1
De Broadtsje Bakker;1;;;;;;;;;1
De Chinese Muur Warnsveld B.V.;1;;;;;;;;;1
de Coendersborg' B.V.;;;;;1;;;;;1
De EHBO Academy;;1;;;;;;;;1
De Federatie B.V.;;;;;1;;;;;1
De Feed Fabriek;;;;;1;;;;;1
De Fleurist;;;;;1;;;;;1
De Gebroeders Kroon;1;;;;;;;;;1
De Glasgraveur;;;;;1;;;;;1
De Gouden Ton;;;;;1;;;;;1
De Groot B.V.;;;;1;;;;;;1
De Groot Decoraties B.V.;;;;;;;;1;;1
De Groot Design B.V.;;;;;1;;;;;1
De Groot Houtbewerkingsmachines B.V.;;;;;;;;1;;1
De Haan Retail Support Groep B.V.;;;;;;;1;;;1
De heer Hage;;;;1;;;;;;1
De Heeren van Driebergen B.V.;;;;;1;;;;;1
De Hofstad Taxicentrale;;1;;;;;;;;1
De Huesmolen;;;;;1;;;;;1
De Huifkar B.V.;;;;;1;;;;;1
De Ibis Illustraties;;;;;1;;;;;1
De Jong Diepvries B.V.;1;;;;;;;;;1
De Jong tentenverhuur;1;;;;;;;;;1
De Kaartenmakers;;;;;;;;1;;1
De Kerstdecorateurs B.V.;;;;;;;1;;;1
De Kluizenier;;1;;;;;;1;;1
