HONDENPOEP;BEHEERDER;STRAAT;OPPERVLAK;OMTREK;LENGTE;X;Y;LONGITUDE;LATITUDE
Losloopgebied zonder opruimen;Gemeente;Tjalk;669.314;240.332;114.311;108812.102;427309.427;4.71710648337668;51.8324644218641
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;3.935;10.912;4.600;107669.726;426684.230;4.70061933345346;51.8267495641691
Verboden voor honden;Gemeente;Veerweg;2252.218;460.554;220.041;106685.345;427133.698;4.6862778813991;51.8307051082069
Losloopgebied zonder opruimen;Gemeente;Tiendweg-Oost;90.179;70.365;32.399;108993.684;427074.199;4.7197719933785;51.8303651786143
Verboden voor honden;Gemeente;Industrieweg;1285.369;316.280;149.545;105971.200;426302.335;4.67603584130974;51.8231706679287
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;40.947;79.751;38.821;107586.081;426654.712;4.69941007874288;51.8264771661841
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;16.239;16.939;5.536;107580.482;426650.558;4.69932943290028;51.8264393550679
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;58.484;52.812;23.966;107690.064;426729.391;4.70090817166037;51.8271571919738
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;14.379;15.522;4.704;107668.634;426639.928;4.70060954980563;51.8263512868544
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;5.926;9.753;2.579;107654.079;426684.503;4.70039233145425;51.8267506923057
Verboden voor honden;Gemeente;Martinus Nijhoffstraat;75.092;54.717;24.264;106174.299;427554.788;4.67880497711589;51.8344454063238
Verboden voor honden;Gemeente;Zeeuwse schouw;13.946;22.776;9.992;108654.132;427368.463;4.71480687828029;51.8329819536726
Verboden voor honden;Gemeente;Berkenhof;1.413;4.756;1.205;107561.614;427581.087;4.69892822973224;51.834801307127
Verboden voor honden;Gemeente;Meelbeshof;14.133;15.183;4.320;107845.444;427810.722;4.70301471964424;51.8368892857221
Verboden voor honden;Gemeente;Industrieweg;12.554;18.000;7.274;105946.847;426483.241;4.67565699704638;51.8247945013661
Verboden voor honden;Gemeente;Tiendweg-Oost;5.975;18.752;8.688;109212.691;427182.914;4.72293464477326;51.8313602992092
Verboden voor honden;Gemeente;Industrieweg;127.340;69.526;30.602;105908.380;426321.925;4.67512191650257;51.8233412266123
Losloopgebied zonder opruimen;Gemeente;Kennedylaan;1505.811;223.450;96.047;107392.377;427135.875;4.69653419331093;51.8307853678969
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;1.910;7.404;3.082;107610.820;426632.438;4.69977197211391;51.8262790669
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;11.152;35.437;17.065;107548.415;426723.590;4.69885428522192;51.8270930416881
Verboden voor honden;Gemeente;Industrieweg;19.996;42.924;20.486;105954.255;426389.841;4.67577767593862;51.8239556789475
Verboden voor honden;Gemeente;Schoorweg;41.799;44.571;20.218;108175.335;426917.903;4.70792175581288;51.8288924093578
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;40.548;127.683;63.200;107570.698;426690.887;4.69918198943893;51.8268010002283
Verboden voor honden;Gemeente;Wilgenhof;111.998;44.399;14.447;107820.471;427385.159;4.70271041058952;51.8330622362221
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;6.202;31.814;15.507;107622.485;426583.645;4.69994785125593;51.8258415063063
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;5.953;20.589;9.680;107595.119;426715.381;4.69953287046068;51.8270232237282
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;14.463;16.391;5.623;107680.235;426716.481;4.70076736205701;51.827040325065
Verboden voor honden;Gemeente;Wiardi Beckmanstraat;162.204;97.101;44.941;107745.747;427227.101;4.70164794168132;51.8316353023029
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.491;8.481;2.193;107666.379;426687.393;4.70057035174936;51.8267777095873
Losloopgebied zonder opruimen;Gemeente;Voorplecht;497.218;191.055;90.003;108813.798;427535.734;4.71710088833584;51.8344986045365
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;69.222;59.447;27.176;107679.047;426732.701;4.70074791275338;51.8271860092354
Verboden voor honden;Gemeente;Westkil;133.731;43.698;10.925;108404.312;427606.204;4.71115064656596;51.835097981973
Verboden voor honden;Gemeente;Dorstense aak;520.673;123.357;51.585;108629.078;427428.918;4.71443531162256;51.8335232427051
Losloopgebied zonder opruimen;Gemeente;Tjalk;8.736;11.892;3.293;108813.562;427334.615;4.71712430283472;51.8326909318069
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;15.317;23.861;10.467;107765.123;426737.253;4.70199586361517;51.8272342054434
Verboden voor honden;Gemeente;Meelbeshof;82.509;41.536;15.416;107872.456;427801.867;4.70340783130472;51.8368119769431
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;11.095;13.900;4.466;107546.424;426715.612;4.69882649837571;51.8270211666506
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;36.838;56.329;26.789;107699.787;426699.279;4.70105332188007;51.8268873695252
Verboden voor honden;Gemeente;Douwes Dekkerlaan;1.113;4.220;1.074;106202.557;427476.427;4.67922598458577;51.8337435729162
Losloopgebied zonder opruimen;Gemeente;Tjalk;444.397;214.285;102.820;108827.564;427308.082;4.71733097299142;51.8324536111253
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;8.031;21.985;10.205;107568.226;426722.214;4.699141840649;51.8270823562816
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;18.862;26.592;11.681;107573.524;426577.087;4.69923856917917;51.82577840989
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;12.211;33.681;16.081;107558.905;426670.663;4.69901369918358;51.826618226557
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;9.722;45.024;22.072;107733.783;426687.138;4.70154810360706;51.8267811233697
Verboden voor honden;Gemeente;Tesselschadestraat;10.985;37.096;17.936;106341.582;426958.943;4.68131563275336;51.8291045902955
Verboden voor honden;Gemeente;Meelbeshof;971.267;136.324;47.874;107868.966;427830.621;4.70335328027622;51.8370701220777
Verboden voor honden;Gemeente;Anemoonhof;134.205;49.095;16.328;108238.828;427972.312;4.7087003309925;51.8383747188083
Verboden voor honden;Gemeente;Roerdomp;1433.323;219.461;94.575;109046.334;427763.120;4.72044429238262;51.8365615221939
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;3.785;8.061;2.541;107761.584;426717.954;4.70194716184858;51.8270604475116
Verboden voor honden;Gemeente;Industrieweg;118.930;51.258;19.544;105934.471;426368.713;4.67549371533307;51.8237640452724
Verboden voor honden;Gemeente;Industrieweg;5.479;23.039;11.023;105934.690;426361.860;4.67549786274702;51.8237024702134
Losloopgebied zonder opruimen;Gemeente;Willem Dreeslaan;1440.343;250.302;112.329;107341.427;426859.134;4.69583318016515;51.8282936891207
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;5.058;40.986;20.243;107623.419;426605.283;4.69995843826522;51.8260360670781
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;16.977;19.558;7.522;107722.420;426727.651;4.7013777475457;51.8271442915066
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;30.481;85.076;41.809;107747.306;426719.826;4.70173979799771;51.8270760657366
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;11.694;32.036;15.251;107731.900;426724.473;4.70151569303147;51.8271165297794
Losloopgebied zonder opruimen;Gemeente;Aalscholver;2206.370;256.314;107.664;109178.849;427709.467;4.72237399294485;51.8360901756439
Losloopgebied zonder opruimen;Gemeente;Vondellaan;1674.841;438.385;211.265;106387.053;427296.020;4.68192790054157;51.832138172607
Verboden voor honden;Gemeente;Potgieterstraat;970.749;172.680;73.051;106114.559;426962.056;4.67802199377851;51.8291127533416
Verboden voor honden;Gemeente;Giebelhof;1003.203;134.878;45.287;108955.321;427622.902;4.71914248538189;51.8352937513615
Losloopgebied zonder opruimen;Gemeente;Willem Dreeslaan;4272.724;431.614;193.755;107974.711;426651.332;4.7050477082578;51.8264796280739
Verboden voor honden;Gemeente;Tiendweg-Oost;840.785;288.928;138.389;109193.628;427193.695;4.72265667401442;51.8314556360958
Verboden voor honden;Gemeente;Johannes Vermeerstraat;6.393;10.398;3.204;106411.580;427711.207;4.6822254283877;51.8358719756335
Verboden voor honden;Gemeente;Randwijk;40.813;70.022;33.804;106366.509;428132.538;4.68151231530309;51.8396549419244
Verboden voor honden;Gemeente;Industrieweg;1195.823;699.002;346.045;105936.627;426504.067;4.67550580896797;51.8249807867612
Verboden voor honden;Gemeente;Admiraal de Ruyterweg;56.372;26.616;6.654;107209.457;426811.270;4.69392545735333;51.8278522178718
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.065;11.330;4.822;107562.355;426692.875;4.6990606991072;51.826818160073
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;29.736;49.631;23.553;107504.107;426697.753;4.69821512336578;51.8268570552959
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;.927;3.901;1.132;107656.212;426612.726;4.7004330858397;51.8261057438894
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;38.255;36.362;15.753;107740.275;426711.087;4.70163900322619;51.8269969252792
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;11.981;33.667;16.089;107521.908;426688.003;4.69847466999882;51.8267709354793
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;15.497;46.024;22.318;107763.738;426730.852;4.70197664683222;51.8271765563923
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;5.547;15.610;7.014;107746.463;426719.755;4.70172757961599;51.8270753563015
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;11.495;40.105;19.462;107748.886;426731.476;4.70176112664382;51.827180909148
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;58.026;34.431;12.616;107677.468;426682.764;4.70073183397909;51.8267370435353
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.151;15.969;7.426;107590.049;426673.230;4.69946509983448;51.8266439419652
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;34.805;24.615;7.905;107641.501;426630.204;4.70021731059899;51.8262615889363
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;20.811;27.883;12.241;107632.074;426633.942;4.70008005909853;51.8262943869016
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;25.627;65.973;32.191;107591.926;426542.595;4.69951021273617;51.8254699585515
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;15.594;17.062;5.878;107730.563;426701.652;4.70149941492716;51.8269113023174
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;28.990;27.498;11.149;107734.616;426738.665;4.70155315236567;51.8272443167313
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;3.551;7.540;1.938;107619.888;426583.375;4.69991021865874;51.8258388593606
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;146.458;79.638;35.719;107624.324;426527.900;4.69998215318171;51.8253406280941
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;.331;2.366;.729;107583.634;426643.503;4.69937611948588;51.8263762124656
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.201;13.998;6.336;107756.481;426734.925;4.70187082496688;51.8272125508474
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;3.900;12.736;5.681;107602.725;426713.489;4.69964345754774;51.8270068637275
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;.417;2.596;.718;107585.296;426642.957;4.69940030188618;51.8263714460671
Verboden voor honden;Gemeente;Park Noordhoekse Wiel;144.883;67.881;28.933;106582.572;428393.195;4.68461078823737;51.8420164756352
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;17.252;19.168;7.181;107761.673;426746.800;4.70194451715227;51.827319721898
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;9.760;21.886;9.963;107567.659;426723.107;4.69913349373826;51.8270903344007
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.538;12.561;5.448;107609.873;426658.266;4.69975470064211;51.8265111277143
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;17.527;38.063;18.061;107618.116;426572.416;4.69988601541367;51.8257402100012
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;2.191;8.570;3.691;107565.887;426701.719;4.69911072031577;51.8268979494505
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.455;13.234;5.856;107607.835;426711.621;4.69971783581433;51.8269905076412
Verboden voor honden;Gemeente;Groen v Prinstererstraat;256.061;136.207;64.110;107444.566;426912.551;4.69732195670035;51.8287825864917
Losloopgebied zonder opruimen;Gemeente;Visschersbuurt;350.696;122.433;54.819;108277.420;426710.066;4.70943065185883;51.8270329212916
Losloopgebied zonder opruimen;Derden;Niet in onderhoud gemeente;2488.318;460.474;218.868;105699.608;426814.039;4.67202378999901;51.8277459303291
Losloopgebied zonder opruimen;Derden;Niet in onderhoud gemeente;207.729;97.701;44.145;105714.466;426666.033;4.67226038171001;51.8264169749722
Losloopgebied zonder opruimen;Derden;Niet in onderhoud gemeente;446.032;276.701;135.048;105808.386;426412.825;4.67365867570267;51.8241494362942
Losloopgebied zonder opruimen;Derden;Niet in onderhoud gemeente;48.128;44.632;19.897;105926.400;426293.951;4.67538724551997;51.8230913809086
Losloopgebied zonder opruimen;Gemeente;Ary Scheffersingel;3641.258;488.618;228.364;106510.498;427990.869;4.68362136452148;51.8383941506023
Losloopgebied zonder opruimen;Gemeente;Beatrixstraat;388.450;187.067;89.178;106361.701;426491.301;4.68167317245507;51.8249032061763
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;49.803;156.262;77.488;107668.575;426749.411;4.70059372724893;51.8273353111565
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.275;8.551;2.680;107739.148;426728.164;4.70162032460202;51.8271503174457
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;48.939;67.188;32.068;107667.408;426737.074;4.700578485921;51.827224327795
Verboden voor honden;Gemeente;Industrieweg;16.112;21.467;8.929;106111.593;426460.186;4.67804983193651;51.8246017217179
Verboden voor honden;Gemeente;Industrieweg;1631.517;760.051;375.682;105963.538;426464.995;4.6759016775727;51.8246319724925
Verboden voor honden;Gemeente;Industrieweg;2032.563;758.803;373.967;105990.293;426540.600;4.67627904676442;51.8253138520199
Verboden voor honden;Gemeente;Pieter Langendijkstraat;2064.635;371.803;174.038;106497.621;427163.036;4.68355054425009;51.8309525313764
Verboden voor honden;Gemeente;Pieter Langendijkstraat;51.841;28.183;7.046;106507.312;427148.955;4.68369310046883;51.8308268135047
Verboden voor honden;Gemeente;Tesselschadestraat;25.247;55.929;27.030;106363.984;426945.540;4.68164247964032;51.8289860754765
Verboden voor honden;Gemeente;Tesselschadestraat;283.973;123.104;56.528;106348.893;426932.327;4.6814254265973;51.8288660041455
Verboden voor honden;Gemeente;Tesselschadestraat;305.785;74.225;24.765;106291.555;426981.018;4.68058683412544;51.8292986400075
Verboden voor honden;Gemeente;Pieter Langendijkstraat;124.418;50.657;18.662;106435.413;427217.790;4.6826404346902;51.8314392527133
Verboden voor honden;Gemeente;Anemoonhof;274.579;170.769;82.038;108227.824;427971.354;4.70854080268811;51.8383651870484
Verboden voor honden;Gemeente;Randwijk;707.718;122.218;45.583;106400.989;428178.633;4.68200612559689;51.8400722408555
Verboden voor honden;Gemeente;Visschersbuurt;44.709;28.454;9.541;108240.258;426675.528;4.7088962656736;51.8267193859178
Verboden voor honden;Gemeente;Wiardi Beckmanstraat;125.097;111.115;53.206;107760.373;427223.580;4.70186059994036;51.8316048925712
Verboden voor honden;Gemeente;Westkil;1418.832;746.462;369.390;108429.066;427642.706;4.71150486622202;51.8354281249386
Losloopgebied zonder opruimen;Gemeente;het Weense Plein;1574.271;203.915;82.988;107195.268;426696.378;4.69373550018167;51.8268183602117
Verboden voor honden;Gemeente;Visschersbuurt;58.914;30.239;7.560;108241.209;426691.366;4.70890792130588;51.8268618170793
Verboden voor honden;Gemeente;Gerard Dousingel;1.342;4.634;1.170;106710.138;427785.268;4.6865466361315;51.8365635184138
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;6.336;22.258;10.527;107589.731;426674.068;4.69946037240836;51.826651446897
Verboden voor honden;Gemeente;Industrieweg;326.176;116.044;51.715;105991.921;426391.789;4.67632372139413;51.8239764919133
Verboden voor honden;Gemeente;Kastanjelaan;852.171;125.217;42.608;107798.498;428114.137;4.70229221163488;51.8396123992844
Verboden voor honden;Gemeente;Dorstense aak;11.110;30.200;14.325;108634.628;427445.372;4.71451362417872;51.8336715914826
Verboden voor honden;Gemeente;Margriethof;87.343;101.717;49.079;107663.780;428213.397;4.7003239481497;51.8404931419406
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;8.855;15.747;6.514;107578.894;426560.909;4.69931867668704;51.8256334583495
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;7.290;43.182;21.248;107523.540;426707.988;4.69849560228124;51.8269506985475
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;6.565;13.424;5.524;107578.746;426645.613;4.6993049291187;51.8263947622666
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;65.702;40.584;16.248;107606.804;426545.092;4.69972567490633;51.8254936635478
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;35.961;118.590;58.682;107697.782;426704.342;4.70102354692399;51.826932705864
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;34.356;32.819;13.946;107702.792;426728.908;4.70109286298063;51.8271539283004
Verboden voor honden;Gemeente;Park Noordhoekse Wiel;47.475;33.697;13.271;106504.164;428323.470;4.68348284766727;51.8413829909381
Verboden voor honden;Gemeente;Meelbeshof;1336.759;165.030;60.374;107866.439;427777.192;4.70332389410339;51.8365896915509
Verboden voor honden;Gemeente;Trompetnarcis;1.029;4.059;1.028;107050.673;427419.005;4.69153801285435;51.8333009030861
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;873.573;266.411;126.288;107647.280;426689.915;4.70029296964385;51.8267987590347
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;25.425;66.463;32.448;107734.977;426740.738;4.70155810584707;51.8272629793195
Verboden voor honden;Gemeente;Zernikelaan;319.490;200.137;96.767;108107.393;426879.380;4.70694140578048;51.8285404677725
Verboden voor honden;Gemeente;Industrieweg;112.768;82.593;38.356;105909.044;426582.864;4.67509455509668;51.8256865860285
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;21.198;21.878;8.422;107722.908;426738.973;4.70138328018899;51.8272460945357
Verboden voor honden;Gemeente;Park Noordhoekse Wiel;39.532;26.910;9.120;106481.980;428269.826;4.68316848099218;51.8408989166897
Verboden voor honden;Gemeente;Zeeuwse schouw;64.035;44.152;18.641;108635.169;427360.065;4.71453290033961;51.8329048991992
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;5.108;11.680;4.769;107561.915;426702.296;4.6990530259716;51.8269027983082
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;7.138;11.137;3.568;107624.166;426603.099;4.69996957239248;51.8260165006969
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;139.609;83.867;38.287;107649.633;426721.160;4.70032282764536;51.8270797873601
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;3.166;7.647;2.611;107734.691;426761.856;4.70155107432063;51.8274527629713
Verboden voor honden;Gemeente;Tesselschadestraat;31.542;23.898;8.013;106332.140;426960.097;4.68117850465187;51.8291141400319
Verboden voor honden;Gemeente;Eijkmanstraat;54.687;29.110;7.278;108478.915;426954.957;4.71232051740787;51.829250808906
Verboden voor honden;Gemeente;Park Noordhoekse Wiel;231.435;102.660;46.335;106500.825;428261.349;4.68344310677421;51.8408243627528
Verboden voor honden;Gemeente;Veerweg;98.555;39.710;9.981;106729.169;427166.122;4.68690909519702;51.8310003209947
Verboden voor honden;Gemeente;Andoornlaan;29.689;24.843;9.192;108722.491;427754.882;4.71574691615919;51.8364607445578
Verboden voor honden;Gemeente;Giebelhof;216.908;69.315;26.460;108928.893;427648.951;4.71875559745025;51.8355257002512
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.497;15.951;7.365;107562.902;426691.900;4.69906876710833;51.8268094432478
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;3.830;17.895;8.497;107673.464;426676.255;4.70067464441784;51.8266782017609
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;539.870;185.760;86.649;107526.304;426668.279;4.69854113979898;51.8265940304302
Verboden voor honden;Gemeente;Meelbeshof;28.126;24.352;9.078;107914.285;427787.785;4.70401662573269;51.8366889359431
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;11.633;14.448;4.801;107664.119;426679.819;4.70053860520307;51.8267094432963
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;12.692;34.835;16.655;107728.405;426735.751;4.70146345670958;51.8272176003853
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;8.874;33.806;16.361;107610.441;426584.640;4.69977301658885;51.8258494280393
Verboden voor honden;Gemeente;Park Noordhoekse Wiel;6493.928;329.970;100.130;106700.290;428497.413;4.68630434815359;51.8429633705158
Verboden voor honden;Gemeente;Anemoonhof;1.113;4.220;1.071;108301.011;427930.743;4.7096081585967;51.838006300434
Verboden voor honden;Gemeente;Govert Flinckstraat;1.067;4.132;1.054;106453.280;427563.717;4.68285110904216;51.8345499721616
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;7.244;15.182;6.472;107641.597;426613.166;4.7002210335031;51.8261084601282
Verboden voor honden;Gemeente;Oostkil;438.811;99.842;38.533;109407.405;427443.827;4.72572496442294;51.8337213072583
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;.077;1.265;.469;107625.812;426690.159;4.69998153583218;51.8267991324024
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;8.672;13.644;5.132;107627.004;426682.813;4.69999983128985;51.8267332078815
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;300.043;75.707;26.554;107635.390;426701.798;4.70011887567475;51.826904555274
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;39.448;109.245;53.890;107755.062;426717.534;4.70185261481971;51.8270561211569
Verboden voor honden;Gemeente;Westkil;1653.053;688.933;339.599;108422.935;427260.873;4.7114673015982;51.8319957103477
Verboden voor honden;Gemeente;Westkil;169.085;54.238;17.403;108417.773;427584.485;4.71134886238989;51.8349038949267
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.420;8.655;2.675;107613.110;426570.786;4.69981362651088;51.8257251351196
Verboden voor honden;Gemeente;Douwes Dekkerlaan;19.382;24.924;10.641;106227.544;427469.715;4.67958942952872;51.8336854279289
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;85.896;75.099;35.102;107684.364;426762.611;4.70082095071521;51.8274552894974
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;169.343;194.141;95.294;107676.540;426771.200;4.70070628535866;51.8275318245304
Losloopgebied zonder opruimen;Gemeente;Vinkenpad;1285.982;200.558;85.182;106766.210;426677.645;4.68751449173192;51.826613117502
Losloopgebied zonder opruimen;Gemeente;Veerweg;80.718;223.058;110.800;106736.556;427105.593;4.68702469485411;51.8304569283022
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;2.911;7.388;2.554;107728.763;426754.030;4.70146615397421;51.8273819216829
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;5.072;10.432;3.923;107597.592;426558.335;4.69959024271238;51.8256119097917
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;3.170;7.271;2.183;107612.287;426546.020;4.69980507832716;51.8255024693832
Verboden voor honden;Gemeente;Zeeuwse schouw;1374.962;193.951;79.730;108658.449;427296.364;4.71487915960681;51.8323342876661
Verboden voor honden;Gemeente;Zeeuwse schouw;19.390;53.197;25.848;108673.527;427293.257;4.71509831417323;51.8323076125183
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;19.089;29.773;13.469;107566.361;426559.848;4.6991370314481;51.825622858386
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;3.762;7.839;2.241;107623.421;426615.586;4.69995705752741;51.8261286702467
Verboden voor honden;Gemeente;Merwedesingel;1.408;4.747;1.209;107210.389;426415.545;4.69399359495224;51.824295538926
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;55.151;132.734;65.525;107682.314;426740.089;4.70079429238446;51.8272526889801
