Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
C & L Lichtreclame B.V.;1;;;;;;;1
Capgemini N.V.;;;;;;6;;6
Capgemini Nederland B.V.;3;;;;;6;;6
Caroline Mobach;1;;;;;;;1
Catharina Th. Bakker;2;;;;;;;2
CC Organisatieadviseurs B.V.;2;;;;;;;2
Cebeon Centr. Beleidsadviserend Onderz. B.V.;2;;2;;;;;3
Centrale Rino B.V.;4;;;;;;;4
CGI Nederland B.V.;;;;;;3;3;4
Charles River Laboratories Den Bosch B.V.;;;2;;;;;2
Christelijke Hogeschool Ede;1;;;;;;;1
Cimsolutions;;;2;;;6;;6
Clarijs Consult;2;;;;;;;2
Com-DT;1;;;;;;;1
COMPAREX Nederland B.V.;;;;;;2;;2
Congress by design;1;;;;;;;1
ConnectTools B.V.;1;;;;;;;1
ConQuaestor Interim Professionals B.V.;2;;;;;;;2
Coöp. Regionale Amb.voorzien. Kennemerland UA;1;;;;;;;1
Coresta Research & Consultancy B.V.;;;2;;;;;2
Corpus Experience Beheer B.V.;;;;2;;;;2
CQT Zorg & Gezondheid;3;;7;;;;;7
Creations4You;1;;;;;;;1
Crisisplan B.V.;2;;;;;;;2
Ctique Consult Ethiek & Gezondheidszorg;;;2;;;;;2
DAS Rechtsbijstand;;;;;1;;;1
DataMondial B.V.;;;1;;;;;1
Dbf Communicatie B.V.;1;;;1;;;;1
De Aanhef Tekst & Media;1;;;2;;;;2
de Architekten Cie. B.V.;;;;1;;;;1
De Argumentenfabriek Groep B.V.;;;;2;;;;2
De Booij Party en Congresarchitekten;1;;;;;;;1
De Daadschappij;1;;;;;;;1
De Jeugdzaak B.V.;2;;2;;;;;3
de KwaliteitsMaat;1;;;;;;;1
De Rijtuigenloods B.V.;2;;;;;;;2
De Venster fotografie;1;;;;;;;1
De webrealist & Tot kijk voor webredactie;1;;;;;;;1
Debat.NL;1;;;;;;;1
DeCongresbalie;1;;;;;;;1
Deloitte Accountants B.V.;4;;;;;;;4
Deloitte Consulting B.V.;2;;;;;;;2
Deloitte Financial Advisory Services B.V.;;;2;;;;;2
Delorentz & Partners B.V.;1;;;;;;;1
Deltastate Makelaars en Vastgoedadviseurs;1;;;;;;;1
Desan Marktonderzoek B.V.;1;;;;;1;;2
Di-AcetylM B.V.;7;;;;;;;7
DiaVentie Management Consulting;;;;;;1;;1
Dieuwer de Lange B.V.;1;;;;;;;1
Digital Action;;;1;;;;;1
Doekle Terpstra Advies;3;;;;;;;3
Doxis;;;;;;4;;4
DPI Animation House B.V.;;;;1;;;;1
Dressed by Irma;1;;;;;;;1
Droomwolk;1;;;;;;;1
DSP-Groep B.V.;1;;1;;;;;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;1;;;;;;;1
Duthler Associates;;;2;;;;1;2
E. van Gils;;;1;;;;;1
ECORYS Nederland B.V.;4;;4;;;;;5
Eiffel B.V.;;;3;;;;;3
Ellie Roetgerink Consultancy;;;;;1;;;1
Emakina;1;;;;;;;1
EMMA Communicatie B.V.;2;;;;;;;2
EMZet Coaching, Inter.- en Proj. Man. V.O.F.;;;2;;;;;2
EN4S B.V.;;;;;;1;;1
Enof creatieve communicatie B.V.;;;;1;;;;1
Ergo B.V.;1;;;;;;;1
Eris Advies B.V.;2;;;;;;;2
Ernst & Young Accountants LLP;4;;;;;;;4
E-Space B.V.;2;;;;;;;2
Eva Tekstproducties;1;;;;;;;1
F. Haverkamp Holding B.V.;;;2;;;;;2
Face Two B.V.;3;;;;;;;3
Facilion B.V.;1;;;;;;;1
Fed. v. Gezondh.psychol. en Psychotherapeuten;3;;;;;;;3
FLYNTH ADVISEURS ACCOUNTANTS;1;;;;;;;1
FMMU B.V.;4;;;;;;;4
Fotografie Eveline Renaud;;;;2;;;;2
Fox-IT;;;1;;;;;1
GBE Communicatie B.V.;1;;;;;;;1
Gemnet B.V.;1;;;;;;;1
GGZ inGeest Overschiestraat;1;;;;;;;1
Goldmund, Wyldebeast & Wunderliebe B.V.;2;;;;;;;2
Grinwis Zonneveld;;2;;;;;;2
Guppies in the Dark B.V.;1;;;;;;;1
Gupta Strategists B.V.;3;;;;;;;3
Guus Schrijvers Publ. Health- en Zorgonderz.;1;;;;;;;1
Haai B.V.;1;;;;;;;1
Harmsen-Procesmanagement;2;;;;;;;2
HeadFirst B.V.;2;;;;;;;2
Hearing Voices Maastricht;1;;;;;;;1
Het Expertise Centrum;2;;3;;;;;3
Hoeksma, Homans & Menting Org.adv. B.V.;4;;4;;;;;5
Hoffmann Bedrijfsrecherche B.V.;;;2;;;;;2
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;;1
Holtrop Ravesloot & Partners B.V.;2;;;;;;;2
Hotel Contact B.V.;1;;;;;;;1
Hotel Des Indes B.V.;1;;;;;;;1
Huisjes Care and Cure B.V.;1;;;;;;;1
Hulskamp Audiovisueel Utrecht;1;;;;;;;1
Impact Company;;;3;;;;;3
Improve Computer Services;1;;;;;;;1
In2Content B.V.;1;;;2;;;;2
Incassobureau Plaggemars;1;;;;;;;1
Ineke Ruiter Management B.V.;2;;;;;;;2
Infomedics Factoring B.V.;2;;;;;;;2
Informatiebeveiliging Nederland B.V.;;;;;;1;;1
Inforwijzer;;;1;;;;;1
Ingrid Brons Tekst en Training;2;;;;;;;2
Inklinks;1;;;;;;;1
Innotact Consulting B.V.;4;;;;;;;4
Intraval, Buro voor Onderzoek & Advies;3;;;;;;;3
Involve B.V.;;;2;;;;;2
Ipsos B.V.;;;2;;;;;2
Iron Mountain Nederland B.V.;;;1;;;;;1
Isolease B.V.;1;;;;;;;1
IT Security eXperts B.V.;1;;;;;;;1
IVO;;;3;;;;;3
J. Goes;1;;;;;;;1
Jan Andreae en Partners B.V.;;;1;;;;;1
JB Lorenz;;;2;;;;;2
Jeugdzorg Advies Dronkers;1;;;;;;;1
jeugdzorgexpert;1;;;;;;;1
Job Cohen;2;;;;;;;2
Jobmassage B.V.;1;;;;;;;1
Joh. Enschedé Facilities B.V.;3;;;;;;;3
Johan Wakkie Advies;;;1;;;;;1
Jonge Honden B.V.;;;2;;;2;;3
Judith de Gelder Communicatie;2;;;;;;;2
Just B.V.;2;;1;;;;;2
Kafkabrigade B.V.;;;2;;;;;2
Kaspers & Co.;1;;;;;;;1
KBS Advocaten N.V.;;;;;1;;;1
Kees Kaptein Teksten;1;;;1;;;;1
Keiren Coach. Training en Conflictbemiddeling;1;;;;;;;1
Keycontrols;;;2;;;;;2
Kiwa Carity B.V.;7;;;;;;;7
Klaus Schmitt & Partners B.V.;2;2;;;;;;2
KNMP Holding B.V.;1;;;;;;;1
Koelewijn Brüggenwirth;;;;1;;;;1
Kon. Ned. Mij. tot Bevord. der Geneeskunst;4;;;;;;;4
KPMG Accountants N.V.;2;;;;;;;2
KPMG Advisory N.V.;4;;2;;;;;4
KPMG Audit;4;;4;;;;;5
KPMG N.V.;5;;4;;;;;5
KPN Contact lokatie Eindhoven;1;;;;;;;1
Kris Kras context, content and design;1;;;2;;;;2
Kwalit.instit. van Medisch Specialisten B.V.;2;;;;;;;2
Kwaliteitszorg in de Automatisering (Kza);1;;;;;;;1
Kwink Groep B.V.;3;;;;;;;3
LeadersInformed B.V.;;;1;;;;;1
Lean Consultancy Group B.V.;1;;;;;;;1
Leene Communicatie;;;1;;;;;1
Leeuwendaal Advies B.V.;1;;;;;;;1
Leyden Academy on Vitality and Ageing B.V.;;;1;;;;;1
Linq;;;1;;;;;1
Lloyd's Register Nederland B.V.;2;;2;;;;;2
Logistiek Optima Forma (L.O.F.) B.V.;1;;;;;;;1
Lost Lemon B.V.;2;;2;;;;;3
Lydia Janssen;2;;;;;;;2
Lyreco Nederland B.V.;1;;;;;;;1
Lysias Advies B.V.;;;2;;;;;2
M & I /Partners B.V.;;;3;;;;;3
Management Drives Holding B.V.;1;;;;;;;1
'Manifesta' Bureau voor Grafische Vormgeving;;;;1;;;;1
Mannen met plannen;3;;;;;;;3
Maria Henneman Media Management B.V.;1;;;;;;;1
MBO DIENSTEN;1;;;;;;;1
MediQuest B.V.;2;;;;;;;2
Medisch Sociaal Centrum&Dagbested. Stg. Antes;1;;1;;;;;1
Medisch Spectrum Twente, neurochirurgie;;;1;;;;;1
Meeting Plaza Utrecht B.V.;1;;;;;;;1
Milliman B.V.;;;3;;;;;3
Modern Antiquariaat 'De Beschte';1;;;;;;;1
Moneypenny.nl B.V.;2;;;;;;;2
Motivaction International B.V.;1;;;;;;;1
MPAM Sonnen Psychiatrisch advies;;;2;;;;;2
Mproof Beheer B.V.;;;;;;2;;2
Musiclaire;;;;1;;;;1
MVMZ (Maatschap voor Medezeggenschap);1;;;;;;;1
Myrthe Lenselink;;;2;;;;;2
NANO-ICT;2;;;;;;;2
Narrativity B.V.;1;;;;;;;1
Nationale Beeldbank B.V.;1;;;;;;;1
Native-English Editing Service;1;;;;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;5;;3;;;;;5
Nederlandsch Octrooibureau;1;;;;;;;1
Nederlandse School voor Openbaar Bestuur B.V.;2;3;;;;;;4
Nederlandse Vereniging voor Radiologie;1;;;;;;;1
Net2Legal Consultants;3;;;;;;;3
NetSolid;;;;2;;;;2
Netwerk van Organisaties van Oudere Migranten;2;;;;;;;2
Nieuw Europa;2;;;;;;;2
Nieuw Jansen;;;;2;;;;2
NME Events B.V.;1;;;;;;;1
Noblesse Oblige B.V.;2;;;;;;;2
Notariskantoor Van Spreeuwel;1;;;;;;;1
Noto Services B.V.;;;1;;;;;1
NRC Handelsblad Weekeditie voor buitenland;;;;1;;;;1
Nsecure B.V.;2;;;;;;;2
Nuchter B.V.;4;;;;;;;4
Oasis Document Management Netherlands B.V.;;;2;;;;;2
OGD Eindhoven;1;;;;;;;1
OmnicomMediaGroup Nederland B.V.;2;;;2;;;;3
Onestopsourcing B.V.;2;;;;;;;2
Onetomarket B.V.;1;;;1;;1;;1
Optima Forma B.V.;1;;;1;;;;2
Oracle Nederland;1;;;;;1;;1
OrangeValley Consultancy;1;;;;;;;1
Paardekooper Verpakkingen B.V.;1;;;;;;;1
Pallas health research and consultancy B.V.;;;3;;;;;3
Pampus Produkties;1;;;;;;;1
Panteia B.V.;2;;2;;;;;3
Pearson Assessment and Information B.V.;3;;;;;;;3
PeopleWare ICT Solutions B.V.;;;;;;1;;1
Perfect Web Team;1;;;;;;;1
Phil Nijhuis Fotografie;1;;;;;;;1
Pine Digital Security B.V.;;;;;;2;;2
Poortvliet Fotografie V.O.F.;1;;;;;;;1
praktijk wendInG;1;;;;;;;1
Pricewaterhousecoopers Accountants N.V.;2;;2;;;;;3
Pricewaterhousecoopers Advisory N.V.;2;;;;;;;2
Project Leadership Academy;2;;;;;;;2
PROXY Laboratories B.V.;;;;;;2;;2
Psychiatrische Adviespraktijk Timmerman;1;;;;;;;1
PubliContact B.V.;;;;;;1;;1
Q&A B.V.;;;1;;;;;1
Raap Archeologisch Adviesbureau B.V.;1;;;;;;;1
ReadSpeaker B.V.;1;;;;;1;;1
RebelGroup Executives B.V.;;;3;;;;;3
Regardz Business Center;1;;;;;;;1
Regioplan Beleidsonderzoek B.V.;;;2;;;;;2
Rene Verleg Fotografie;2;;;;;;;2
ReulingSchutte;;;;;2;;;2
RibbonWoodConsultancy;1;;;;;;;1
Rijnconsult B.V.;;;;;;1;;1
Roorda Reclamebureau B.V.;6;;;;;;;6
Rovorst Consultancy;;;2;;;;;2
RsH advies;2;;2;;;;;3
Ruigrok-NetPanel B.V.;1;;;;;;;1
Ruim toont dat het anders kan;1;;;;;;;1
Sabel Communicatie B.V.;1;;;;;;;1
Safe Ears B.V.;1;;;;;;;1
Scenarios 4 Summits B.V.;;;3;;;;;3
Schuttelaar & Partners, Maatsch. Comm. B.V.;3;;;;;;;3
Schutz Advies & Management;;;1;;;;;1
SCIOPENG Advisering B.V.;;;3;;;;;3
SDL Netherlands B.V.;;;;;;1;;1
Seijgraaf Consultancy B.V.;;;2;;;;;2
Significant B.V.;4;;4;;;;;5
Sip Signproductions;1;;;;;;;1
Sira Consulting B.V.;;;3;;;;;3
SiRM;4;;4;;;;;5
Sogeti Nederland B.V.;2;;;;;4;;4
SPRAAKMAKENDE VERBEELDING;1;;;;;;;1
Sprengers Advocaten;;;;;1;;;1
St.Patientenzorg Nederlands Kanker Instituut;;;4;;;;;4
Stepup Development;1;;;;;;;1
Sterra;;;;3;;;;3
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;5;;;;;;;5
Stg. dr. H. Verwey-Jonker Instituut;2;;3;;;;;3
Stg. Instituut voor Verantw. Medicijngebruik;5;;;;;;;5
Stg. Kon. Wilh. Fds. voor de Ned. Kank.bestr.;2;;;;;;;2
Stg. Landel. Coörd.centr. Reiz.advis.;;;;;;;2;2
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;4;;4;;;;;5
Stg. Pharos Expert.centrum Gezondheidsversch.;2;;;;;;;2
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;2;;;;;;;2
Stg.TRIP Transf.-/transpl.react. in patiënten;4;;;;;;;4
Sticht. ZONH (Zorg Optimalisat. N-Holland);2;;;;;;;2
Stichting Accessibility;;;1;;;;;1
Stichting C Businez;;;2;1;;;;2
Stichting Calibris Contract;6;;;;;;3;6
'Stichting Diabetes Fonds';;;1;;;;;1
Stichting Equator Foundation;1;;;;;;;1
Stichting Farmaceutische Kengetallen;6;;1;;;;;6
Stichting Gedragscode Medische Hulpmiddelen;2;;;;;;;2
Stichting Humanitas;6;;2;;;;;6
Stichting Jade Mater;1;;1;;;;;1
Stichting JadeMO;5;;1;;;;;5
Stichting LOC, Zeggenschap in zorg;;;2;;;;;2
Stichting Makkelijk Lezen;;;;1;;;;1
Stichting Miletus;;;1;;;;;1
Stichting MOVISIE;5;;2;1;;;;5
Stichting Muziekimpresariaat Conservatorium;1;;;;;;;1
Stichting MVO Nederland;1;;;;;;;1
Stichting Nationaal Pao-Centrum Farmacie;2;;;;;;;2
Stichting Opengalen;1;;;;;;;1
Stichting Opvoeden.nl;2;;1;;;1;;2
Stichting Pensioenfonds ABP;1;;;;;;;1
Stichting Permanent Beta;1;;;;;;;1
Stichting PGOsupport;7;;;;;;;7
Stichting 's Heeren Loo Zorggroep;1;;;;;;;1
Stichting SEO Economisch Onderzoek;4;;3;;;;;4
Stichting Theater aan het Spui;1;;;;;;;1
Stichting VeiligheidNL;2;;5;;;;;5
Stichting Vilans;2;;2;;;;;2
Stichting voor Bijzondere Tandheelkunde;1;;;;;;;1
Stichting Waarborgfonds voor de Zorgsector;;;;;;;4;4
Stichting World Healthcare Forum;2;;;;;;;2
Stichting ZorgTTP;;;4;;;;;4
Strak;1;;;;;;;1
Studio Ronald van der Heide;;;;1;;;;1
Subliminal Management;;;;;;1;;1
Sysqa B.V.;2;;;;;;;2
Tangram B.V.;;;;;;1;;1
TAPES Media B.V.;1;;;;;;;1
Tas & Wüst Projectrealisatie;;;;1;;;;1
Taxi Jansen;1;;;;;;;1
TC Management;1;;;;;;;1
TD HVO-Querido;6;;2;;;;;6
Teamacademy B.V.;2;;;;;1;;2
TeamSupport Creating Together B.V.;;2;;;;;;2
Tekst & Speech Tekstbureau Jolly Kerkstra;1;;;;;;;1
Tekstbureau Alfa;2;;;;;;;2
Tekstburo Gort B.V.;2;;;;;;;2
Telan B.V.;1;;;;;;;1
The Courseware Company B.V.;;;1;;;;;1
Things To Make And Do;3;;1;2;;1;;4
Think Public Advies;1;;;;;;;1
TiasNimbas Business School;;;3;;;;;3
TIEN Organisatieadvies B.V.;;;2;;;;;2
TNO B.V.;7;;;;;;;7
TNO MC Customer Management B.V.;1;;;;;;;1
TNS Nipo B.V.;2;;2;;;;;2
Ton Harland Fotografie;;;;1;;;;1
Tony Sheldon;;;1;;;;;1
Toos Ligtenberg;1;;;;;;;1
TOPdesk Nederland B.V.;2;;;;;1;;2
Total Facility Management B.V.;;;1;;;;;1
Tovertekst & Zo;;;;2;;;;2
Transvision B.V.;11;;;;;;;11
Trimension B.V.;1;;;;;;;1
Triple Double Sportsupport;;;;1;;;;1
Triskelion B.V.;;;1;;;;;1
TriviumAdvies B.V.;2;;;;;;;2
Tsiwt Beheer B.V.;1;;;;;;;1
Two Kings B.V.;2;;1;2;;;;2
Twynstra Gudde;;1;;;;;;1
Twynstra The Bridge B.V.;1;;;;;;;1
Usably;;;;;;1;;1
USG HR Professionals;;;;;;4;;4
Uyterlinde Projecten & Events;2;;;;;;;2
Valerie Kuypers Fotografie;;;;1;;;;1
Van As Advocaten;1;;;;1;;;2
Van der Linde Holding B.V.;2;;;;;;;2
Van Horssen OJE Service B.V.;1;;;;;;;1
Van Kleef & Partners B.V.;1;;;;1;;;2
Vanabbetotvessem;;;;2;;;;2
Vanberkel Professionals B.V.;3;;;;;;;3
Vektis Beheer B.V.;4;;2;;;;;5
Veldhoen + Company B.V.;;;2;;;;;2
Veldkamp Marktonderzoek B.V.;;;2;;;;;2
Velzel & Partners;2;;;;;;;2
Ver. Geestelijke Gezondheidszorg Nederland;2;;2;;;;;3
Vereenigde Octrooibureaux N.V.;1;;;;;;;1
Verenig. v. Indicerende en Adviserende Artsen;2;;;;;;;2
Verenso;2;;;;;;;2
Vergouwen Overduin B.V.;1;;;;;;;1
Vertaalbureau Perfect;2;;;;;;;2
Veurinc;1;;;;;;;1
Viadesk;1;;;;;;;1
Viatore B.V.;2;;;;;;;2
VisualizeMe B.V.;;;;2;;;;2
VoorMekaar Communicatie;2;;;;;;;2
Vorm Vijf Ontwerpteam B.V.;1;;;;;;;1
Werken aan Waarde;2;;;;;;;2
Westendorp Van Bruggen;;;;1;;;;1
Wetgevingswerken;;;4;;;;;4
Wilkens c.s.;1;;;;;;;1
WPEX B.V.;;;1;;;;;1
Xerox (Nederland) B.V.;1;;;;;;;1
Yacht;;;;;4;1;;4
YACHT GROUP NEDERLAND BV;;;;1;;;;1
Young Works B.V.;4;;;;;;;4
Yvonne van Westering;;;2;;;;;2
Zorgbalans Thuiszorg;1;;;;;;;1
ZorgEssentie;1;;2;;;;;2
ZorgmarktAdvies;2;;2;;;;;2
Zorgmarkten;2;;;;;;;2
Zorgverzekeraars Nederland;2;;4;;;;;4
ZorgVuldig Advies;;;2;;;;;2
Zuijderhoudt Consultancy;;;2;;;;;2
Eindtotaal;11;4;8;6;4;7;5;11
