FID,LOCATIENAAM,STATUSONDERZOEK,RAPPORTAUTEUR,RAPPORTDATUM,RAPPORTNUMMER,CONCLUSIE,ONDERZOEKSNAAM,LOCATIE_ID,LOCATIECODE,ONDERZOEK_ID,NAZCACODE,GEOMETRIE
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3588,"Wedesteinbroek, Lindenholt B",Verkennend onderzoek NVN 5740,Heidemij Advies,30-11-1988,0086/634/16468,"Het rapport betreft een indicatief onderzoek, een hypothese is dan ook niet gesteld.
Zintuiglijke waarnemingen: Van 0 tot circa 0,9 m-mv is een opgehoogd profiel (bestaande uit zandig/zavelig materiaal) aangetroffen.
Resultaten:
  Grond: Geen gehalten boven de B-waarde zijn gemeten.
  Grondwater: Geen concentraties boven de B-waarde gemeten.
Conclusies en aanbevelingen: Er bestaat geen bezwar tegen de in gebruik name van de lokatie voor woonbebouwing. Een verder onderzoek is niet nodig.",Verkennend Onderzoek 1,178,NZ026801174,230,,"POLYGON ((182428.001 427014.362, 182455.845 427067.068, 182431.581 427079.996, 182391.604 427006.407, 182425.614 426987.91, 182432.376 427000.44, 182428.001 427014.362))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3589,Voorstadslaan 75,Sanerings evaluatie,Afdeling Milieu Gemeente Nijmegen,31-05-1990,0763/GE/330/10/30,"Het rapport beschrijft de evaluatie van vijf saneringen van met lood verontreinigde grond in Nijmegen-west. Het terrein aan de Voorstadslaan 75 is een van deze lokaties. De van de terreinen afkomstige grond is gereinigd op basis van fractiescheiding en flotatie door Mosmans Mineraaltechniek. Het uitgezeefde puin groter dan 10 mm is gestort en verwerkt bij een steenpuinbreker, de grindfractie 2-10 mm is verwerkt op wandelpaden in diverse plaatsen in de stad. De zandfractie is hergebruikt als zand bij de aanleg van wegen en parkeerterreinen in Nijmegen-west. 
Het slib (400 m3) waar de loodverontreiniging zich in had geconcentreerd is in 1990 gestort op de stortplaats van de ARN te Beuningen. 
De effectiviteit vann de methode bedroeg volgens een onderzoek van TAUW 70-95%. In de gereinigde grond is een grote spreiding van het loodgehalte aangetroffen die niet goed verklaard kan worden.",Sanering onder Milieukundige begeleiding 1,183,NZ026801123,240,,"POLYGON ((186731.598 428883.722, 186723.014 428861.24, 186693.174 428779.489, 186660.474 428695.693, 186775.335 428667.08, 186787.597 428697.737, 186792.502 428710.409, 186822.342 428789.708, 186835.831 428830.992, 186837.466 428835.897, 186850.955 428886.583, 186835.013 428891.488, 186822.342 428855.518, 186789.641 428868.598, 186789.641 428870.642, 186785.145 428872.685, 186785.554 428875.138, 186785.145 428877.182, 186787.189 428882.087, 186784.736 428890.262, 186787.189 428891.079, 186785.554 428898.028, 186731.598 428883.722))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_358a,Griftdijk Noord 05,Orienterend bodemonderzoek,Arns Milieu- en Installatietechniek BV,14-01-1994,0841/31373501,"Hypothese wordt niet verworpen
Zintuigelijke waarnemingen: er is puin in de bovengrond aangetroffen.
Resultaten:
 Bovengrond: deze is sterk verontreinigd met minerale olie.
 Ondergrond: deze is sterk verontreinigd met minerale olie.
 Grondwater: deze is ter plaatse van de afleverpomp licht verontreinigd met minerale olie en aromatische koolwaterstoffen.
 Bijzonderheden: ook bij het vulpunt is de bovengrond verontreinigd.
Conclusies en aanbevelingen: de aangetoonde gehaltes liggen de C-waarde en er is derhalve een saneringsnoodzaak. Er zal een nader onderzoek moeten worden uitgevoerd om de verontreiniging in kaart te brengen.",Orienterend Onderzoek 1,2,NZ026802124,4,,"POLYGON ((187577.442 430680.887, 187578.98 430668.275, 187593.746 430668.582, 187592.823 430680.887, 187577.442 430680.887))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_358b,Griftdijk Noord 05,Verkennend onderzoek NVN 5740,Heidemij Advies,31-12-1995,0625/6432/18686,"Hypothese wordt niet verworpen
Zintuigelijke waarnemingen: bij de tankinstallatie is een lichte tot sterke oliereaktie waargenomen. In een aantal boringen is puin aangetroffen.
Resultaten:
  Bovengrond: rond de tankinstallatie is een sterk verhoogd gehalte aan minerale olie aangetoond. Verder zijn gehaltes aan koper, zink en PAK boven de streefwaarde aangetoond.
  Ondergrond: naast sterk verhoogde gehaltes aan minerale olie rond de tankinstallatie zijn er licht verhoogde gehaltes aan nikkel aangetroffen.
  Grondwater: ter hoogte van de tankinstallatie zijn licht verhoogde gehaltes aan minerale olie aangetroffen. Op het hele terrein zijn licht verhoogde gehaltes aan tolueen en xylenen aangetoond.
Conclusies en aanbevelingen: geadviseerd wordt om de olieverontreiniging te verwijderen. Op basis van de huidige gegevens is er sprake van een niet-ernstig geval van bodemverontreiniging. Het beste kan de verontreiniging op korte termijn worden verwijderd. Op basis van de resultaten is er voor het overige terreindeel geen belemmering in toekomstig gebruik voor woningbouw.",Verkennend Onderzoek 1,2,NZ026802124,5,,"POLYGON ((187553.665 430693.376, 187561.426 430552.241, 187576.668 430552.903, 187578.13 430571.052, 187583.94 430587.872, 187587.916 430595.823, 187598.619 430606.526, 187615.744 430617.841, 187628.588 430625.792, 187617.885 430642, 187638.986 430656.067, 187629.506 430666.159, 187617.579 430675.027, 187604.429 430682.978, 187587.304 430690.012, 187573.848 430692.458, 187563.757 430693.07, 187553.665 430693.376))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_358c,Laauwikstraat 80,Verkennend onderzoek NVN 5740,Tauw Milieu bv,31-03-1995,0897/R3402126.H06,"Hypothese wordt verworpen.
Zintuigelijke waarnemingen: er er zijn geen bijzonderheden waargenomen.
Resultaten:
  Bovengrond: er zijn een streefwaarde overschrijdende waarden gemeten voor koper en PAK. Verder zijn plaatselijk hogere EOX gehalten gemeten dan op vergelijkbare vakken. Dit kan duiden op de aanwezigheid van bestrijdingsmiddelen.
  Ondergrond: er zijn geen overschrijdingen gemeten.
  Grondwater: er zijn geen overschrijdingen gemeten. Plaatselijk is er een verhoogde EOX gehalte gemeten hetgeen kan duiden op bestrijdingsmiddelen in het grondwater.
Conclucies en aanbevelingen: verwacht wordt dat er geen risico's voor de volksgezondheid en het milieu zijn, m.u.v. de gemeten EOX concentraties. Er dient wel rekening gehouden te worden met beperkte hergebruikmogelijkheden van vrijkomende grond.",Verkennend Onderzoek 1,16,NZ026802131,24,,"POLYGON ((188431.927 430903.943, 188441.56 430863.87, 188406.112 430852.696, 188366.04 430837.669, 188379.911 430808.771, 188409.194 430740.572, 188421.524 430713.985, 188483.944 430742.113, 188463.908 430801.836, 188584.124 430820.331, 188560.235 430920.511, 188519.778 430918.97, 188482.788 430913.961, 188454.661 430907.025, 188431.927 430903.943))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_358d,Vossenpelssestraat 28,Verkennend onderzoek NVN 5740,Heidemij Advies,12-09-1995,0820/4671/18618,"Hypothese wordt niet verworpen.
Zintuigelijke waarnemingen: er zijn geen bijzonderheden aangetroffen.
Resultaten:
  Bovengrond: er zijn verhoogde gehalten aan cadmium, koper, nikkel, zink en PAK (>S) aangetroffen.
  Ondergrond:  er zijn verhoogde gehalten aan koper, nikkel en zink aangetroffen. In MM5 is een verhoogd minerale olie concentratie aangetroffen (>S).
  Grondwater: er is een licht verhoogd gehalte aan tolueen gemeten. Verder zijn de fenolindex en EOX verhoogd aangetroffen tov de detectielimiet.
Conclusies en aanbevelingen: de verhoogde fenol-index kan veroorzaakt zijn door humuszuren of door nutrienten. De verhoogde concentratie EOX kan veroorzaakt zijn door het gebruik van bestrijdingsmiddelen. Er bstaat geen bezwaar tegen het aankopen vann de locatie voor toekomstig woningbouw. Bij graafwerkzaamheden dient echter wel rekening gehouden te worden met beperkte afzetmogelijkheden.",Verkennend Onderzoek 1,23,NZ026802137,32,,"POLYGON ((188896.227 431189.555, 188895.349 431160.999, 188891.395 431110.697, 188993.977 431101.691, 188996.173 431107.622, 188994.416 431113.333, 188989.803 431158.363, 188896.227 431189.555))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_358e,Tuinstraat 05,Verkennend onderzoek NVN 5740,Heidemij Advies,30-06-1995,0862/2574/18490,"De gestelde hypothese wordt bevestigd.
Zintuiglijke waarnemingen: In 1 boring is een matige hoeveelheid puin- en koolresten aangetroffen.
Resultaten: 
   Bovengrond: De parameters PAK, koper, kwik, lood, nikkel, zink en cadmium zijn in de mengmonsters boven de streefwaarde gemeten. EOX is verhoogd ten opzichte van de detectiegrens.
   Ondergrond: nikkel is in twee mengmonster boven de streefwaarde gemeten.
   Grondwater: De parameters tolueen, arseen, nikkel zijn in een of meerdere peilbuizen boven de streefwaarde gemeten, de fenol-index is verhoogd ten opzichte van de detectiegrens. 
Conclusies en aanbevelingen: Bij graaf- en transportwerkzaamheden in de toekomst moet er rekening worden gehouden met beperkingen. Aanbevolen wordt om het monster waar het hoogste gehalte EOX is gemeten te laten analyseren op het voorkomen van bestrijdingsmiddelen.",Verkennend Onderzoek 1,36,NZ026802147,46,,"POLYGON ((188087.054 430301.939, 188104.459 430270.61, 188108.81 430273.656, 188123.169 430250.595, 188141.444 430262.343, 188183.651 430197.075, 188177.56 430192.288, 188188.438 430175.318, 188185.827 430172.272, 188231.95 430113.096, 188236.301 430115.706, 188266.325 430076.11, 188309.402 430114.401, 188232.385 430210.998, 188216.286 430232.32, 188199.751 430254.946, 188177.56 430283.664, 188141.444 430336.749, 188087.054 430301.939))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_358f,Pastoor van Laakstraat 78,Verkennend onderzoek NVN 5740,Willems milieutechniek,30-10-1995,0613/1414.010/A01,"De hypothese wordt niet getoetst.
Zintuiglijke waarnemingen: In meerdere boringen werden kooltjes, kooltjes puin en/of metaalresten aangetroffen.
Resultaten:
    Bovengrond: In de bovengrond is plaatselijk een lichte verontreiniging met PAK en zink aangetroffen.
   Ondergrond: In de ondergrond zijn geen verontreinigingen met zware metalen en EOX aangetroffen.
    Grondwater: geen van de onderzochte stoffen overschrijdt de streefwaarde.
   Bijzonderheden: Bij de ondergrondse HBO-tank zijn analytisch geen verontreinigingen met olie gemeten.
Conclusies en aanbevelingen: Op basis van deze onderzoeksresultaten bestaan geen bezwaren tegen bijvoorbeeld woningbouw op de lokatie.",Verkennend Onderzoek 1,41,NZ026801422,53,,"POLYGON ((187664.824 431121.053, 187631.168 431094.991, 187632.81 431092.118, 187613.725 431077.547, 187599.77 431066.671, 187592.177 431060.104, 187590.946 431058.667, 187589.714 431056.82, 187589.304 431054.973, 187589.304 431054.152, 187589.509 431052.716, 187590.535 431046.354, 187591.972 431038.966, 187593.819 431030.552, 187595.871 431024.601, 187597.718 431018.855, 187600.796 431010.851, 187604.08 431005.105, 187605.721 431002.643, 187611.878 431006.337, 187649.022 431034.451, 187697.248 431070.57, 187664.824 431121.053))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3590,Vossenpelssestraat 06,Nader onderzoek,Heidemij Advies,31-03-1996,0612/634/OA96/2577/18746,"Het onderzoek betreft een aanvullend onderzoek naar de in het voorgaand onderzoek aangetroffen verontreinigingen en naar de kwaliteit van bodem ter plaatse van de woning.
Zintuiglijke waarnemingen: Boringen zijn verricht in een gedempte sloot, waar gestort materiaal is aangetroffen. Buiten deze sloot zijn in verschillende boringen ook, maar minder, puin, glas en dergelijke bevatten. Nabij de woning wordt in de bovengrond wat puin/kolengruis waargenomen.
Resultaten:
   Gedempte sloot: In het gestorte materiaal zijn zware metalen en bestrijdingsmiddelen boven de interventiewaarden aangetoond. In monsters net onder en direct naast dit materiaal zijn voor zware metalen en bestrijdingsmiddelen (EOX) geen of zeer licht verhoogde gehalten vastgesteld.
   Nabij de woning: In de bovengrond is PAK verhoogd aangetoond boven de streefwaarde.
Conclusies en aanbevelingen: 
    Gedempte sloot: De omvang van de verontreiniging bedraagt meer dan 25 m3, een klein deel van de verontreiniging bevindt zich binnen het over te dragen terrein. Een nader onderzoek wordt aanbevolen naar de begrenzing aan de noord- en zuidzijde.
   Nabij de woning: Vanuit milieuhygienisch oogpunt is er geen bezwaar tegen de overdracht van dit deelterrein. Bij eventuele graaf- en transportwerkzaamheden in de toekomst dient wel rekening gehouden te moeten worden met beperkingen.",Nader Onderzoek 1,51,NZ026802156,68,,"POLYGON ((188845.16 430899.763, 188853.264 430872.749, 188857.541 430855.415, 188862.044 430839.656, 188866.321 430823.673, 188866.997 430823.448, 188870.598 430824.348, 188880.053 430827.725, 188889.509 430831.327, 188887.933 430837.63, 188885.231 430843.483, 188879.378 430849.562, 188876.001 430850.237, 188871.949 430866.221, 188875.101 430874.55, 188870.148 430903.591, 188864.97 430902.24, 188845.16 430899.763))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3591,Groenestraat 001a,Verkennend onderzoek NVN 5740,Heidemij Advies,28-08-1996,3367/634/OA96/5767/18899,"Dit onderzoek betreft een onderzoek om vast te stellen of het verhoogde EOX-gehalte veroorzaakt wordt door OCB's/PCB's.
Zintuiglijke waarnemingen: Geen bijzonderheden zijn opgemerkt.
Resultaten: 
   Bovengrond: In het geanalyseerde mengmonster is de som van DDT/DDD/DDE boven de streefwaarde gemeten.
   Bijzonderheden: De ondergrond en het grondwater zijn in dit aanvullende onderzoek niet onderzocht.
Conclusies en aanbevelingen: Het in het voorgaande onderzoek aangetroffen EOX-gehalte wordt waarschijnlijk veoorzaakt door de verhoogd gemeten somparameter DDT/DDE/DDD. Bij eventuele graaf- en transport werkzaamheden dient rekening te moeten worden gehouden met beperkingen.",Verkennend Onderzoek 3,12,NZ082600024,81,,"POLYGON ((186091.387 432667.962, 186148.125 432623.285, 186156.347 432615.61, 186158.266 432614.24, 186159.911 432613.966, 186287.638 432655.08, 186284.075 432664.947, 186282.979 432665.769, 186280.512 432667.962, 186193.35 432734.019, 186091.387 432667.962))"
