Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Ardis Opleidingen B.V.;;;;;;4;;;;4
Ardis Organisatieontwikkeling B.V.;;;;;;2;;;;2
ARF Balans;;;;;;1;;;;1
Arnauld Geschenken B.V.;;;;1;;;;;;1
Array Media B.V.;;;;;;1;;;;1
Arriva Personenvervoer Nederland B.V.;;;;1;;1;1;;1;1
Artihove Art Centre;;;;1;;;;;;1
Artizani;;;;1;;;;;;1
Arvato Finance AB;;;;;;1;;;;1
arvato Finance B.V.;;;;;;;;;1;1
Athenas B.V.;;;;;;;;;1;1
Athene Palace B.V.;;;;1;;;1;;;1
Atlantic & Pacific;;;;;;1;;;;1
Atos Nederland B.V.;;;;;;2;;;;2
Aunikom;;;;;;1;;;;1
AutiTalent B.V.;;;;;;;;;2;2
Autobusbedrijf Doornbos B.V.;;;;1;;;;;;1
Axiov B.V.;;;;;;;;;1;1
Azetto Music;;;;1;;;;;;1
B. Venderik;;;;1;;;;;;1
B.M.C. Heimink;;;;;1;;;;;1
B.V. Eerste Hulp Dichtbij!;;;1;;;;;;;1
B.V. Exploitatie Maatschappij Carre;;;;1;;;;;;1
B.V. Perscentrum Nieuwspoort;;;;;;1;;;;1
B.V. Touringcarbedrijf E.D.A.D.;;;;1;;;;;;1
B+B Vakmedianet B.V.;;;;;;1;;;;1
Bakker Boogers;;;;1;;;;;;1
Bakkerij Riedstra B.V.;;;;1;;;;;;1
Bakkerij Van Esch;;;;;;1;;;;1
Ban Personeelsdiensten B.V.;;;;;;1;;;;1
Banketbakkerij Blommestein;;;;1;;;;;;1
Banketbakkerij Borgman;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
Banketbakkerij Rodenburg;;;;1;;;;;;1
Barlow;;;;1;;;;;;1
Barrel Wijn;;;;1;;;1;;;1
Basarz;;;;1;;;1;;;1
Baston Service B.V.;;;;1;;;1;;;1
Bays Retail bv;;;;1;;;;;;1
Bcase;;;;;;2;;;;2
BCM Academy B.V.;;;;;;1;;;;1
Beach Professionals B.V.;;;;1;;;;;;1
Bedrijfsfitness Nederland B.V.;;;3;;;;;;;3
Bedrijvenvereniging WEST;;;;;;1;;;;1
Beemsterboer;;;;;;1;;;;1
Beheer Centrum voor Mindfulness;;;;;;1;;;;1
Belarto Nederland B.V.;;;;1;;;;;;1
Bema Shopping B.V.;;;;1;;;;;;1
BenN Groep B.V.;;;;1;;;1;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;;1;;;1;;;1
Berenschot Groep B.V.;;;;;;1;;;;1
Berkenplas V.O.F.;;;;1;;;1;;;1
Bert Hellinger Instituut Nederland;;;;;;1;;;;1
Besseling Travel bv;;;;1;;;;;;1
Bestsales;;;;1;;;;;;1
Beteor Organisatie Ontwikkelings;;;;;;2;;;;2
Beterinhetzadel;;;;;;1;;;;1
Beugelaar, J.D. Dr. huisarts;;;1;;;;;;;1
Bezemer Kuiper & Schubad B.V.;;;;;;1;;;;1
Bij Jo Haren;;;;1;;;1;;;1
Bij Lian';;;;;;1;;;;1
Bikkels en Bolides;;;;1;;;1;;;1
Bistro Basta;;;;1;;;1;;;1
Bistro Vive la Vie;;;;1;;;1;;;1
Black Heritage Tours;;;;;;;1;;;1
Blij met jezelf en je leven;;;;;;1;;;;1
Block & Barrels B.V.;;;;1;;;1;;1;1
Bloembinderij All Seasons;;;;1;;;;;;1
Bloembinderij De Nobel;;;;1;;;;;;1
Bloemenwinkel Kleurrijk;;;;1;;;;;;1
Bloemisterij Wesseling V.O.F.;;;;1;;;;;;1
Bloemsierkunst Artisjok;;;;1;;;;;;1
BLOSSOM bloemisterij;;;;1;;;;;;1
Blue Box Events;;;;;;1;;;;1
Blue Luna B.V.;;;;1;;;;;;1
blueriq;;;;;;1;;;;1
Bodylifeplan;;;1;;;;;;;1
bol.com B.V.;;;1;1;;;1;;;1
Bolleboos Online;;;;1;;;;;;1
BORO Scheveningen B.V.;;;;2;;;;;;2
Bos & Bos GAE B.V.;;;;1;;;1;;1;1
Bos & Bos Infoversum B.V.;;;;1;;;1;;;1
Boterwaag Den Haag;;;;1;;;;;;1
Bouckaert Training & Coaching;;;;;;1;;;;1
Boulevard De Meern BV;;;;1;;;;;;1
Boven Jan B.V.;;;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;;1;;;1;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
Branchever. Maatschappelijke Kinderopvang;;;;1;;;;;;1
Branchout;;;;;;1;;;;1
Brasserie 'Het Vliegerhuys';;;;;;;;;1;1
Brasserie Meerzicht;;;;1;;;1;;;1
Brasserie Traiteur Dungelmann;;;;1;;;;;;1
Break Free Fun Company;;;;1;;;1;;;1
Break-Out Gruno Park B.V.;;;;1;;;1;;;2
Breakout Rotterdam;;;;1;;;;;;1
Breeland;;;;1;;;1;;;1
Bries;;;;;;1;;;;1
Brinkhuis Management & Advies B.V.;;;;;;1;;;;1
Broekies Entertainment Group Bunnik;;;;1;;;;;;1
Brouwerij Martinus;;;;1;;;1;;;1
Brouwerij Maximus;;;;1;;;;;;1
BR-Platform Nederland;;;;;;1;;;;1
BTD;;;;;;1;;;;1
Buckshot;;;;1;;;1;;;1
Budget Rent a Car;;;;;;;;;1;1
Buon Gusto Trattoria;;;;1;;;1;;;1
Bureau Beysterveld;;;;;;1;;;;1
Bureau Spraakwater;;;;;;1;;;;1
Bureau voor Beeldzaken;;;;;;1;;;;1
Bureau voor Overheidscommunicatie B.V.;;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;;1;;;;1
Bureau Zuidema BV;;;;;;2;;;;2
Buro Rood;;;;;;1;;;;1
Buro Venekamp;;;;1;;;;;;1
BVO Opleidingen B.V.;;;;;;2;;;;2
Bvolve B.V.;;;;;;2;;;;2
C. Schwencke, Psychosoc. Th., Mindf. & Coach.;;;1;;;;;;;1
C. van den Heuvel;;;;1;;;;;;1
C.H. Vermeulen-Rijker;;;;1;;;;;;1
C.H.O.I. Keuzegids;;;;;;1;;;;1
C.V. La Galleria-Chicoleo Kijkduin;;;;;;1;;;;1
Cadeau Company;;;;1;;;;;;1
Café du Midi B.V.;;;;1;;;1;;;1
Café-Restaurant Amier;;;;1;;;;;;1
cafÃ© brasserie Zocher;;;;1;;;;;;1
CafÃ© de Kale Jonker;;;;1;;;;;;1
CafÃ© De Klikspaan;;;;1;;;1;;;1
CafÃ© Restaurant De Paalkoepel B.V.;;;;1;;;1;;;1
CafÃ© Singelier;;;;1;;;1;;;1
Caf� De Sigaar;;;;1;;;1;;;1
Caf� Restaurant De Biechtstoel;;;;1;;;1;;;1
Caf� Restaurant Easy Dinner;;;;1;;;1;;;1
Cafe Restaurant Vandaag B.V.;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;1;;;1
Caf�-Restaurant New York Den Haag;;;;1;;;;;;1
Cafetaria Breukelen;;;;1;;;;;;1
Caldic Collectie B.V.;;;;1;;;;;;1
Cantina Mexicana B.V.;;;;1;;;1;;;1
Capgemini Nederland B.V.;;;;;;2;;;;2
Capriole Coffee Café B.V.;;;;1;;;;;;1
CareerSolution B.V.;;;;;;1;;;;1
Castellumcaf�;;;;1;;;;;;1
Catering Broodje Gesmeerd;;;;1;;;1;;1;1
Catering Noord;;;;;;;;;1;1
Catering Oud London B.V.;;;;1;;;;;;1
Ceciel van Sante;;;;;;1;;;;1
Centennium Advies en Opleidingen B.V.;;;;;;1;;;;1
Centr. voor Pers. begeleiding 'Het Verlangen';;;;;;1;;;;1
Centraal Boekhuis BV;;;;;;1;;;;1
Centric;;;;;;2;;;;2
Centric Netherlands B.V.;;;;;;1;;;;1
Century Autogroep;;;;;;;;;1;1
Charlotte Gmelig Meijling;;;;;;1;;;;1
China Express;;;;;;;;;1;1
Chinees-Indisch Restaurant 'Happy Garden';;;;;;;;;1;1
Ciao! Ciao! B.V.;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;1;;;;1
Citylife B.V.;;;;1;;;;;;1
CKO De Herberg B.V.;;;;1;;;;;;1
Cloose;;;;1;;;;;;1
Clou;;;;;;1;;;;1
CM Partners B.V.;;;;;;1;;;;1
Coöp. Eerst.onderst. GGZ Z-Holland N, N-H UA;;;1;;;;;;;1
Coöperatie De Betekenaar UA;;;;;;1;;;;1
Coach en Consultancybureau Bart Weikamp;;;;;;1;;;;1
Coach to coach B.V.;;;;;;1;;;;1
Coachboulevard B.V.;;;;;;1;;;;1
Collections Trust;;;;;;1;;;;1
College of Multimedia;;;;;;1;;;;1
Columbia Business School;;;;;;1;;;;1
Communicatief Tekst & Training;;;;;;1;;;;1
Company Care Network;;;1;;;;;;;1
Company Webcast B.V.;;;;1;;1;;;1;1
COMPAREX Nederland B.V.;;;;;;2;;;;2
Compass Group Nederland B.V.;;;;1;;;;;;1
complimentenmeisjes;;;;;;1;;;;1
Computrain Opleidingen;;;;;;2;;;;2
Compu'Train Opleidingen B.V.;;;;;;2;;;;2
Conditus chocolate creations bvba;;;;1;;;;;;1
Consortium of European Research Libraries;;;;;;1;;;;1
Contact Communicatietrainingen;;;;;;1;;;;1
Co�peratie SURF UA;;;;;;2;;;;2
Cordes Organisatie Advies en;;;;;;1;;;;1
Cormet Campuscatering;;;;1;;;;;;1
Corps 3 op twee B.V.;;;;1;;;;;;1
Corpus Experience Beheer B.V.;;;;;;;1;;;1
CP Audio Productions;;;;;;1;;;;1
Crazy Holding;;;;1;;;1;;;1
Crosa B.V.;;;;1;;;1;;;1
Culinair Centrum Beverwijk;;;;;;1;;;;1
CultuurCollege V.O.F.;;;;;;1;;;;1
Customer Contact Career Portal B.V.;;;;;;2;;;;2
D. Braun B.V.;;;;;;1;;;;1
D. Grob;;;;1;;;;;;1
D. Siwabessy;;;;1;;;;;;1
Daga Groningen;;;;1;;;1;;;1
Dara BV;;;;1;;;;;;1
De Academy B.V.;;;;;;1;;;;1
De Argumentenfabriek;;;;;;1;;;;1
De Baak Administratie;;;;;;2;;;;2
De Baak B.V.;;;;;;2;;;;2
De Bakkerij;;;;1;;;;;;1
De Branding Utrecht;;;;1;;;;;;1
de Coendersborg' B.V.;;;;1;;;1;;;1
De Correspondent B.V.;;;;;;1;;;;1
De Culinaire Werkplaats B.V.;;;;1;;;;;;1
De Duiventil Groningen;;;;;;;;;1;1
De Gezonde Zaak B.V.;;;;;;1;;;;1
De Goudreinet;;;;1;;;;;;1
De Kookfabriek Amsterdam B.V.;;;;;;1;;;;1
De MindfulnessFabriek;;;;;;1;;;;1
De Museumvereniging;;;;;;1;;;;1
De Nederlandse Token Vereniging;;;;;;1;;;;1
De Ontwikkelcentrale B.V.;;;;;;1;;;;1
De Ooievaart;;;;1;;;;;;1
De oude bakkerij;;;;1;;;;;;1
De partyshop.nl;;;;1;;;;;;1
De Peizer Hopbel B.V.;;;;1;;;1;;;1
De Pijp Groningen B.V.;;;;1;;;1;;;1
De Pompstee;;;;1;;;1;;;1
De Poort van Assen;;;;1;;;1;;;1
De publieke adviseur;;;;;;;1;;;1
De Schrijfkeuken;;;;1;;;;;;1
De Secretaressecoach;;;;;;1;;;;1
De Singel Fysiotherapie;;;1;;;;;;;1
De Taaltrainer;;;;;;2;;;;2
De Topografisch Historische Atlas;;;;;;1;;;;1
De Utrechtse Watertoren B.V.;;;;1;;;;;;1
De Uurwerker;;;;1;;;1;;;1
De Valk Omgevingsrecht;;;;;;1;;;;1
De van de Bunt Fundatie;;;;;;1;;;;1
De Verf Shop B.V.;;;1;;;;;;;1
De Waterburcht Eelde B.V.;;;;1;;;1;;;1
De Weegschaal, psychologische expertise;;;;;;1;;;;1
De Wilt - Cyrox Groep BV;;;1;;;;;;;1
De Zeemeeuw' Strandpaviljoen;;;;1;;;1;;;1
De Zwarte Zwaan Rotterdam B.V.;;;;1;;;;;;1
Dekker Sport en Partycentrum;;;;2;;;;;;2
deLex Media en Management B.V.;;;;;;1;;1;;1
Delft Congress Support B.V.;;;;;;1;;;;1
Delta Kappa Gamma Society-Nederland;;;;1;;;;;;1
DELVA Landscape Architects;;;;;;1;;;;1
Denk Productief B.V.;;;;;;1;;;;1
DenkProducties;;;;;;1;;;;1
Dennis Cooking Place;;;;1;;;1;;;1
DFG;;;;;;1;;;;1
DiÃ«tistenpraktijk de Greef;;;;1;;;;;;1
Didactive B.V.;;;;;;1;;;;1
Digital Optimizers B.V.;;;;;;1;;;;1
Dik Trom catering;;;;1;;;;;;1
Diner Thuis;;;;;;1;;;;1
DinercafÃ© Diep;;;;1;;;1;;;1
DIOR Opleidingen;;;;;;1;;;;1
Direction Briefings for Business Leaders;;;;;;1;;;;1
Domino's Pizza Netherlands B.V.;;;;;;;;;1;1
Domstad Evenementen B.V.;;;;1;;;1;;;1
Double A Exploitatie B.V.;;;;1;;;1;;;1
Drie Ringen Brouwerij;;;;1;;;;;;1
Drukkerij Comprint B.V.;;;;;;1;;;;1
Drukwerkdeal.nl;;;;1;;;;;;1
Dutch Blockchain Hackathon B.V.;;;;;;2;;;;2
Dutch Pinball Museum;;;;;;1;;;;1
Duwtje B.V.;;;;;;2;;;;2
E. Klaassens;;;1;;;;;;;1
E. Koopmans;;;;1;;;1;;;1
E. Sens;;;;;;1;;;;1
E. Simons;;;;1;;;;;;1
E.S. Burgler;;;;;;1;;;;1
Easybookings B.V.;;;;1;;;;;;1
Ebbinge & Company;;;;;;1;;;;1
ECHO EXPERTISECENTRUM DIV BELEID;;;;;;1;;;;1
Eden Springs Nederland B.V.;;;;1;;;;;;1
Edubookers;;;;;;1;;;;1
Eet- en Drinkhuis 'De Gulzige Kater';;;;1;;;1;;;1
Eet!verleden;;;;1;;;;;;1
Eetbar De Wagon B.V.;;;;1;;;;;;1
Eetcafe de Stadstuin;;;;1;;;1;;;1
Eetkamer van Zanten;;;;1;;;;;;1
Eetwaar;;;;1;;;1;;;1
Eetwinkel Buurman & Buurman Groningen B.V.;;;;1;;;1;;;1
Effectory B.V.;;;;;;2;;;;2
Efteling;;;;1;;;;;;1
EHBO Vereniging Castricum;;;;;;1;;;;1
EHM Hotel Hulshorst De Beyaerd Expl.mij. B.V.;;;;1;;1;1;;;1
EightyDays;;;;1;;;;;;1
EKG B.V.;;;;1;;;1;;;1
El Niño B.V.;;;;1;;;;;;1
Elenchis;;;;;;1;;;;1
Ellen Waenink;;;;;;1;;;;1
Elly van Zadelhoff B.V.;;;;1;;;;;;1
Elycio Talen B.V.;;;;;;1;;;;1
Elycio Talen BV;;;;;;1;;;;1
Elzenboom Online Retail B.V.;;;;1;;;;;;1
Emerce B.V.;;;;;;1;;;;1
Engaging Dynamics B.V.;;;;;;1;;;;1
Engels;;;;1;;;;;;1
ENROOT;;;;;;1;;;;1
Entopic B.V.;;;;;;1;;;;1
Epiphany Mindfulness;;;;;;1;;;;1
Ergatis B.V.;;;1;;;1;;;;1
Ergo B.V.;;;;;;1;;;;1
Ergonomique;;;1;;;;;;;1
ESB BV;;;;;;1;;;;1
Escape Hunt Groningen;;;;1;;;1;;;1
Escaperoom071 B.V.;;;;1;;;;;;1
Esenzz Loopbaancoaching & Training;;;;;;1;;;;1
Eten & Co Groningen B.V.;;;;1;;;1;;;1
Eten & Zo Zoetermeer B.V.;;;;1;;;1;;;1
Eten en Zo;;;;1;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;;1;;;;1
Euroborg N.V.;;;;1;;;1;;1;2
Euroforum;;;;;;2;;;;2
European Association of Archaeologist;;;;;;;;1;;1
European Registration Office B.V.;;;;;;2;;;;2
EVC Centrum Nederland B.V.;;;;;;1;;;;1
Excellent Touringcars;;;;;;;1;;;1
EXPERTISECENTRUM BEROEPSONDERWIJS (ECBO);;;;;;1;;;;1
Expertisecentrum handicap + studie;;;;;;1;;;;1
Explainit Company;;;;;;1;;;;1
Exploitatie Schimmelpenninckhuys B.V.;;;;1;;;1;;;1
Extended DISC The Netherlands B.V.;;;;;;2;;;;2
Eye Film Instituut Nederland;;;;;;;1;;;1
F. de Vries, huisarts;;;;;1;;;;;1
F.M. Movig;;;;;1;;;;;1
F2D FLK B.V.;;;;;;;;;1;1
Falck B.V.;;;;;;1;;;;1
Falck Nutec B.V.;;;;;;2;;;;2
Falck Prevention B.V.;;;1;;;;;;;1
Feestbeestje Entertainment;;;;1;;;;;;1
Feithhuis Exploitatie B.V.;;;;1;;;1;;;1
Five P Promotions B.V.;;;;1;;;;;;1
Fletcher Familiehotel Paterswolde;;;;;;;;;1;1
Fletcher Hotel Restaurant Nieuwegein;;;;;;1;;;;1
Fletcher Hotels B.V.;;;;;;;;;1;1
Floor Daver - Samen Ontwikkelen;;;;;;1;;;;1
FNR Media B.V.;;;;1;;;;;;1
FOAM Café;;;;1;;;;;;1
FOAM-Fotografiemuseum Amsterdam;;;;;;1;;;;1
FocusXL B.V.;;;;;;1;;;;1
Fonq.nl B.V.;;;;4;;;1;;;4
For Your Promotions B.V.;;;;1;;;;;;1
Four Rose's;;;;1;;;1;;;1
FPM Advies;;;;;;1;;;;1
Francissen Communicatie;;;;;;1;;;;1
Free Food Refugee Company B.V.;;;;1;;;;;;1
Funfactory050 B.V.;;;;1;;;1;;;1
Future Earth B.V.;;;;1;;;;;;1
Fysiotherapeutisch  Palenstein;;;1;;;;;;;1
G. Bakker en Zn. B.V.;;;;1;;;;;;1
G. Jansen;;;;1;;;;;;1
G. Kieftenburg;;;;1;;;;;;1
G.P. Poiesz B.V.;;;;;;1;;;;1
G4S Training & Safety bv;;;1;;;1;;;;1
Gartner Deutschland GmbH;;;;;;1;;;;1
Gartner Nederland B.V.;;;;;;2;;;;2
Gastouderbureau Westland;;;;1;;;;;;1
Gauchos Franchise Den Haag B.V.;;;;1;;;1;;;1
Gebr. Barendsen B.V.;;;;1;;;;;;1
Gefelicitaart;;;;;;;1;;;1
gefeliciTAART B.V.;;;;1;;;;;;1
Gelagkamer Hoogh;;;;1;;;;;;1
Gelders Restauratie Centrum;;;;;;1;;;;1
Gelukkig Werken;;;;;;1;;;;1
Gerard Borkus;;;;;;1;;;;1
Get Events B.V.;;;;1;;;1;;;1
Gezondheidscentrum De Koning;;;1;;;;;;;1
Giant Publicity B.V.;;;;1;;;;;1;1
Gifts to Connect;;;;;;;;;1;1
GITP B.V.;;;;;;2;;;;2
GJM Communicatie B.V.;;;;;;1;;;;1
Global Edutainment;;;;;;1;;;;1
Global Knowledge;;;;;;3;;;;3
Global Project Performance;;;;;;1;;;;1
GO BV;;;;;;1;;;;1
GOED B.V.;;;;;;1;;;;1
Goerp;;;;;;1;;;;1
Gortcoaching;;;;;;1;;;;1
GP Strategies Netherlands B.V.;;;;;;1;;;;1
Grand CafÃ© Time Out B.V.;;;;;;1;;;;1
Grand CafÃ©-Restaurant De Oude Gasfabriek;;;;1;;;1;;;1
Grand caf� De Bastille;;;;1;;;1;;;1
Grand Hotel Huis Ter Duin B.V.;;;;1;;;1;;;1
Grandcafé De Vriend;;;;1;;;;;;1
Granny's Corner;;;;1;;;1;;;1
Greenwheels;;;;;;1;;;;1
Grieks Restaurant Delphi;;;;1;;;;;;1
Groepsaccommodatie Het Voshuys B.V.;;;;1;;;;;;1
Groepspraktijk Huisartsen Nederweert;;;1;;;;;;;1
Groepspraktijk Huisartsen 't Gasthuis;;;1;;;;;;;1
GVV Vorderes Kondertal;;;;;1;;;;;1
H. Langerak;;;;1;;;;;;1
H.O.M. Holding B.V.;;;;1;;;;;;1
H.W.A.J. Garretsen;;;1;;;;;;;1
Haags Congres Bureau;;;;;;1;;;;1
Haags Historisch Museum;;;;1;;;1;;;1
Haagse Beek;;;;;;1;;;;1
Haagse Hogeschool;;;;;;1;;;;1
Hackwise;;;;;;1;;;;1
Haga Orthopedie Vereniging;;;1;;;;;;;1
Hageman Paty Catering Haaglanden;;;;;;;1;;;1
Hallmark Cards Nederland B.V.;;;;1;;;;;;1
Handboogvereniging Black Arrow;;;;1;;;1;;;1
HAP Nieuwe Maas B.V.;;;;;1;;;;;1
Happy Day Tours;;;;1;;;1;;;1
Happy Tosti Den Haag B.V.;;;;1;;;1;;;1
Harmonia B.V.;;;;1;;;1;;;1
Havana;;;;1;;;;;1;1
Health2work;;;1;;;;;;;1
Health2Work B.V.;;;1;;;;;;;1
Hein Post Wijnen Gastronomie;;;;1;;1;;;;1
Heleen Suiker;;;;;;1;;;;1
Herberg Vlietzigt;;;;1;;;1;;;1
Het Balkon;;;;;;1;;;;1
Het Drents Kwartiertje;;;;1;;;1;;;1
Het Echte Werkt! Leiderschapsontwikkeling;;;;;;1;;;;1
Het Effectieve Werken B.V.;;;;;;1;;;;1
Het Glaslokaal;;;;1;;;;;;1
Het Goudkantoor;;;;1;;;1;;;1
Het Heerenhuis, GrandcafÃ©, Lunch, Diner, Zal;;;;1;;;1;;;1
Het Kookplein;;;;1;;;;;;1
Het Muntgebouw-Utrecht B.V.;;;;1;;;;;;1
Het NIC B.V.;;;;;;1;;;;1
Het Pakhuis;;;;1;;;1;;;1
Het Pleidooi;;;;1;;;;;;1
Het Rijks vmbo campus Goffertweg;;;;1;;;;;;1
Het Wapen van Zoetermeer B.V.;;;;1;;;;;;1
Het wil konsult;;;;;;1;;;;1
HHB Software-Hardware-Brainware B.V.;;;;1;;;;;;1
Hiawatha Actief;;;;1;;;1;;;1
Hiekerhoes;;;;;;1;;;1;1
High Five Health Promotion B.V.;;;;;;1;;;;1
High Five Health Promotions;;;;;;1;;;;1
Higher Ed Services;;;;;;1;;;;1
Hippefruitmand.nl;;;;1;;;;;;1
Hob�on Management Consult;;;;;;1;;;;1
Hoeve Kromwijk;;;;1;;;;;;1
Hof der Muzen;;;;1;;;;;;1
Hogenelst Horeca Groep B.V.;;;;1;;;1;;;1
Hogeschool Isbw B.V.;;;;;;1;;;;1
Hogeschool Utrecht;;;;;;1;;;;1
Hogeschool Windesheim;;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;;;;1;;;1;;;1
Hollandse Hoogte;;;;;;1;;;;1
Hoog Vuur;;;;1;;;;;;1
Hortus;;;;1;;;;;;1
Hotel Contact B.V.;;;1;2;;4;;;5;5
Hotel 'De Sniep' B.V.;;;;1;;;1;;1;1
Hotel Des Indes B.V.;;;;1;;;;;;1
Hotel Groningen-Hoogkerk B.V.;;;;1;;;1;;;1
Hotel Het Klooster;;;;1;;;;;1;1
Hotel Prinsenhof (Groningen);;;;1;;;1;;;1
Houdt van Eten;;;;1;;;1;;;1
House of Cooking;;;;1;;;1;;;1
House of Lords B.V.;;;;1;;;;;;1
House of Media;;;;;;1;;;;1
HSK Interventie B.V.;;;;;;1;;;;1
HTM Specials;;;;1;;;;;;1
HTM Specials B.V.;;;;1;;;;;;1
Huibrechtse Therapie & Training;;;;;;1;;;;1
Huijer Evening Dress B.V.;;;;1;;;;;;1
Huisartsen Holtenbroek;;;1;;;;;;;1
Huisartsengroep Dronten-Centrum;;;1;;;;;;;1
Huisartsenpraktijk B. Jongens;;;1;;;;;;;1
Huisartsenpraktijk Beilen-Centrum;;;1;;;;;;;1
Huisartsenpraktijk Biltstraat;;;1;;;;;;;1
Huisartsenpraktijk de Jong & Steenhuisen;;;1;;;;;;;1
Huisartsenpraktijk het Zorghoes;;;1;;;;;;;1
Huisartsenpraktijk Hollandscheveld;;;1;;;;;;;1
Huisartsenpraktijk Homerus;;;1;;;;;;;1
Huisartsenpraktijk I. Moggré;;;1;;;;;;;1
Huisartsenpraktijk Om de Noord;;;1;;;;;;;1
Huisartsenpraktijk Pauwenkamp;;;1;;;;;;;1
Huisartspraktijk Albert;;;;;1;;;;;1
Huisartspraktijk van der Poel;;;1;;;;;;;1
Huisartspraktijk Vrielink B.V.;;;1;;;;;;;1
Huize Maas' B.V.;;;;1;;;1;;;1
HumanCapitalCare B.V.;;;2;;;;;;;2
Humphrey's Restaurant;;;;1;;;1;;;1
Huurdersver. Gezondheidscentr. Den Bosch West;;;1;;;;;;;1
I.J. van der Waal Holding B.V.;;;;;;1;;;;1
I.T.S. International Technical Service;;;1;;;;;;;1
IADA V.O.F.;;;;;;1;;;;1
Ice Zone Horeca Exploitatie B.V.;;;;1;;;1;;;1
ICM Opleidingen & Trainingen;;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;;2;;;;2
ICOM Nederland;;;;;;;;1;;1
Icomos-Nederland;;;;;;;;1;;1
ICWE GmbH;;;;;;1;;;;1
ID Wear B.V.;;;;1;;;;;;1
Ida Stroosnijder;;;;;;1;;;;1
IJssalon La Dolce Borger;;;;1;;;;;;1
Il Lago B.V.;;;;1;;;1;;;1
IMPAHLA B.V.;;;;;;1;;;;1
Impro4u;;;;;;1;;;;1
Improved Learning B.V.;;;;;;1;;;;1
Improven B.V.;;;;;;1;;;;1
