Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Caesar Groep Rotterdam B.V.;;2;;;;;;2
Camerik Voortman B.V.;1;1;;;;;;1
Capgemini Nederland B.V.;1;;;;;;;1
Cavari Clinics Nederland B.V.;1;;;;;;;1
Centric;;;;;;1;;1
Chr. Scholengem.;1;;;;;;;1
Chris Booms Fotografie;;;1;;;;;1
Cinco Cleaning B.V.;;;1;;;;;1
Cinop Advies B.V.;2;;;;;;;2
Citrus;1;;;;;2;;2
CM Telecom B.V.;1;;;;;;;1
Coform B.V.;;;;1;;;;1
Collabo Media B.V.;;;1;;;;;1
Collings Polak & de Gruijter;;;1;;;;;1
Color & Conservation;;;1;;;;;1
Combined Business Power B.V.;2;;;;;;;2
Company Webcast B.V.;2;;;;;;;2
Conjunctuurwijzer;;;1;;;;;1
Connect2Care;1;;;;;;;1
Connexxion Nederland N.V.;1;;;;1;;;1
Coöp. Med. Special. Bedrijf Midden-Brabant UA;1;;;;;;;1
Coppa Interim Solutions B.V.;2;;;;;;;2
Cor Ottens Advies;1;;;;;;;1
Cornjum Investments B.V.;;;1;;;;;1
Cultural Motion;;;1;;;;;1
CVV Consultancy Verpleging en Verzorging;;;1;;;;;1
D. de Groot;1;;;;;;;1
Das leuk om te geven;;;1;;;;;1
De Beautician;;;1;;;;;1
De Culturele Zaak;;;1;;;;;1
De Gezonde Zaak B.V.;1;;;;;;;1
De Klantcontact Monitor B.V.;1;;;;;;;1
De Ontwikkelpraktijk;;;;2;;;;2
De Rode Planeet Publishing B.V.;1;;;;;;;1
De Slag;;;1;;;;;1
De Steekproef;;;3;;;;;3
De Village;;;1;;;;;1
'De Waterfabriek' - voor erfgoedvragen;;;2;;;;;2
De Winter Information Solutions;1;;;;;;;1
Dedicon B.V.;2;;;;;;;2
Defacto Automatisering B.V.;;;;;;1;;1
Deloitte Accountants B.V.;1;;;;;;2;2
Den Tex;;;1;;;;;1
Digihut;;;1;;;;;1
District25;1;;;;;;;1
ditisijzersterk.nl;1;;;;;;;1
DnN consultancy;2;;;;;;;2
Douwe Egberts Café;1;;;;;;;1
DPA Cauberg-Huygen;;;3;;;;;3
DPI Animation House B.V.;1;;;;;;;1
Driestar educatief;1;;;;;;;1
DSP-Groep B.V.;;;3;;;;;3
Dun & Bradstreet B.V.;1;;;;;;;1
Dutch Numismatics;;;1;;;;;1
E. van Doremalen;;;1;;;;;1
E. Visser;1;;;;;;;1
E.J.M. de Jong;1;;;;;;;1
ECD;;;4;;;;;4
ECORYS Nederland B.V.;;;1;;;;;1
Edel International B.V.;1;;;;;;;1
EDG Educatieve Distributie B.V.;1;;;;;;;1
Ediction;1;;;;;;;1
Eduseries B.V.;1;;;;;;;1
Edventure B.V.;1;;;;;;;1
Eezyvote B.V.;;;1;;;;;1
Efkesanders Vriendenclub D'n Burger;;;1;;;;;1
El Barko;;;1;;;;;1
Elasse B.V.;1;;;;;;;1
Ellen Jansen Restaurator;;;1;;;;;1
Elles Besselsen;;;1;;;;;1
En en Meubelmakers;3;;;;;;;3
en publique;2;;;;;;;2
Engels & Partners B.V.;1;;;;;;;1
Enno Zuidema Stedebouw B.V.;;;2;;;;;2
Erfgoesting;;;3;1;;;;3
Ergotherapie Groningen;1;;;;;;;1
Eurometrics;;;1;;;;;1
Everest B.V.;;;;;;2;;2
Experian Nederland B.V.;1;;;;;;;1
Expertisecentrum Nederlands B.V.;;;2;;;;;2
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;;;;;1
EZDL;;;2;;;;;2
F.P.M. van Lierop Holding B.V.;1;;;;;;;1
Fabrique de Limonade;;;1;;;;;1
Felicivin B.V.;1;;;;;;;1
Ferro Explore B.V.;;;2;;;;;2
Finalist IT Group;;;;;;1;;1
Flentrop Orgelbouw B.V.;;;1;;;;;1
Flonker;1;;;;;;;1
Fotografie Christiaan Krouwels;1;;;;;;;1
Frank Koppen Diving;;;1;;;;;1
Frijman;1;;;;;;;1
Fujitsu Technology Solutions B.V.;1;;;;;;;1
Futureconsult Holding B.V.;;;2;;;;;2
G. Renema B.V.;;1;;;;;;1
G. Thorn;1;;;;;;;1
G.J. Hagen Beheer B.V.;1;;;;;;;1
G.J.M. Heymans;1;;;;;;;1
G.J.M. Voortman;;;1;;;;;1
G.L.M. Vos;;;;;1;;;1
GBC-Partners B.V.;4;;;;;;;4
Geert Snoeijer Fotografie;;;1;;;;;1
gefeliciTAART B.V.;1;;;;;;;1
Gelders Genootschap;;;2;;;;;2
General Grafx;1;;;;;;;1
Gerard Koopman;;;1;;;;;1
Gezondheidscentrum Gein;1;;;;;;;1
Gezondheidscentrum Lange Hille;1;;;;;;;1
Gezondheidscentrum Moergestel;1;;;;;;;1
GFK Panel Services Benelux;;;3;;;;;3
GGN Mastering Credit N.V.;1;;;;;;;1
GGz Centraal Veldwijk;1;;;;;;;1
GGZ inGeest Overschiestraat;1;;;;;;;1
Giesen-Geurts Monumentenadvies;;;2;;;;;2
Ginjaar Management en Advies;;;1;;;;;1
gjvl;1;;;;;;;1
Goos Akse Haarverzorging;1;;;;;;;1
Greep Management en Organisatie Ontwikkeling;;1;1;;;;;1
Grensweg Rekreatie B.V.;;;1;;;;;1
Griepsma & Verwey;;;1;;;;;1
Groepspraktijk Huizen;1;;;;;;;1
H & S Paint B.V.;;;1;;;;;1
H. de Jong;;;1;;;;;1
H. Schoonens;1;;;;;;;1
H.a.p. A.A. de Rooij en P.A.J. Lelieveld;1;;;;;;;1
H.C. Vaandrager;1;;;;;;;1
H.J. Burema;1;;;;;;;1
H.J. Panhuijzen;1;;;;;;;1
H.T. Zijlstra;1;;;;;;;1
H+N+S B.V.;;;1;;;;;1
Hampshire Exploitatie I B.V.;;;1;;;;;1
Hans Nota Optiek V.O.F.;;;1;;;;;1
Hans van Dormolen Imag. & Preservation Imag.;;;;1;;;;1
Harmoniekorps l'Echo des Montagnes;1;;;;;;;1
Harvey Nash B.V.;2;;6;;;;;6
HeadFirst B.V.;;3;4;;;;;4
Henriëtte van Suilichem;;;1;;;;;1
HerstelDirect B.V.;1;;;;;;;1
Het Huisartsenteam Roothans;1;;;;;;;1
Het Nederlands Openluchtmuseum;;;1;;;;;1
Het NIC B.V.;3;;;;;;;3
Hettema Verhuurt Praktisch Alles!;1;;;;;;;1
Hewlett-Packard Nederland B.V.;;;1;;;;;1
Hobex Beheer B.V.;1;;;;;;;1
Hockeyvereniging 'Weert';;;1;;;;;1
HOEK architectuur & restauratie;;;1;;;;;1
Hoffmann Bedrijfsrecherche B.V.;2;;2;;;;;3
Hotel Contact B.V.;2;;;;;;;2
HSK Groep;1;;;;;;;1
Huisartenpraktijk ZorgHoekWestland;1;;;;;;;1
huisarts;1;;;;;;;1
Huisartsencentrum De Colvenier;1;;;;;;;1
Huisartsenpraktijk A.M. van Es;1;;;;;;;1
Huisartsenpraktijk Bakker en Pattiselanno;1;;;;;;;1
Huisartsenpraktijk de Angstel;1;;;;;;;1
Huisartsenpraktijk De Dennenkamp Oost;1;;;;;;;1
Huisartsenpraktijk Frankendael;1;;;;;;;1
Huisartsenpraktijk Hartman en Scheepbouwer;1;;;;;;;1
Huisartsenpraktijk Kappeijne van de Coppello;1;;;;;;;1
Huisartsenpraktijk Tuinenburg;1;;;;;;;1
Hummelinck Stuurman Theaterproducties B.V.;1;;;;;;;1
I.A.A. Architecten B.V.;;;2;;;;;2
IBVA 'Holland';1;;;;;;;1
Improven B.V.;;;3;;;;;3
Impuls B.V.;1;;;;;;;1
In2Content B.V.;2;;;;;;;2
Informagic;;;;2;;;;2
Inframatica Consultants B.V.;1;;;;;;;1
interconfess. primair onderw.;;;2;;;;;2
Investiga B.V.;4;;;;;;;4
i-psy Haaglanden B.V.;1;;;;;;;1
i-psy Noord-Holland B.V.;1;;;;;;;1
IT Security eXperts B.V.;1;;;;;;;1
Itcg Projects B.V.;2;;;;;;;2
IT-Staffing Nederland B.V.;5;;;;;;;5
J. de Bruijn;1;;;;;;;1
J. Keizer;1;;;;;;;1
J. Landman B.V.;1;;;;;;;1
J. Poot B.V.;1;;;;;;;1
J. Stokroos;;;1;;;;;1
J. van der Meulen;1;;;;;;;1
J.B. van der Sijde;1;;;;;;;1
J.C. Snel;1;;;;;;;1
J.F. Groenewegen Beheer B.V.;4;;;;;;;4
J.H. Aalbers;;;1;;;;;1
J.H.A. van der Schoot Consultancy;;;1;;;;;1
J.J. van Barneveld;1;;;;;;;1
J.M. Kamperman B.V.;1;;;;;;;1
J.M. Lawerman;;;1;;;;;1
J.M. van Loon;;;;;;;1;1
JA Jenster Advies;;;1;;;;;1
Jaarbeurs B.V.;1;;;;;;;1
Jacob Molenaar Advies en Projectleiding;;;1;;;;;1
Jan Hof Publieke Veranderaar;2;;;;;;;2
JD Swint;1;;;;;;;1
Jojanneke Clarijs Cultuurhistorie;;;1;;;;;1
Jolie Kalmijn Architectuurhistorie;;;1;;;;;1
Kelly Hofman;1;;;;;;;1
Kessels & Smit Something B.V.;;1;;;;;;1
Kick Smeets Fotografie;1;;;;;;;1
Kila Taaltraining;;;1;;;;;1
Kloet Vlaardingen B.V.;4;;;;;;;4
KlompHSM;;;1;;;;;1
Kobatt Benelux B.V.;;;;;;;1;1
Kosmos muziek;;;1;;;;;1
Koster;;;;;1;;;1
KPC Advies B.V.;1;;;;;;;1
KPMG Management Services B.V.;;;4;;;;2;4
KPN HotSpots;1;;;;;;;1
Krullen Conservering & Restauratie;;;1;;;;;1
KWK Huisvesting B.V.;;;1;;;;;1
L. de Ruiter;1;;;;;;;1
L.M.H. Janssen;1;;;;;;;1
Laane Collectiemanagement;;;1;;;;;1
Landelijke Studentenvakbond;1;;;;;;;1
Land-ID B.V.;;;3;;;;;3
Langendijk Training & Consult;;;;;;;1;1
Lasaulec B.V.;1;;;;;;;1
Lemcom B.V.;1;;;;;;;1
Lentisk;1;;;;;;;1
Leukeleu B.V.;2;;;;;;;2
Liedewij Beheersmaatschappij B.V.;;;1;;;;;1
Liesbeth Meylemans;;;1;;;;;1
lijn één huisartsenpraktijk;1;;;;;;;1
Lisette Kappers;;;1;;;;;1
Lisette van Baars meubelrestauratie;;;1;;;;;1
Lock Media;;;1;;;;;1
Lotte Zaaijer;;;1;;;;;1
Lubo Prevent;1;;;;;;;1
Lucertis;1;;;;;;;1
Luden Utrecht;1;;;;;;;1
Lysias Consulting Group B.V.;;;2;;;;;2
M. & Y. van Dolder;1;;;;;;;1
M. Arkesteijn;;;1;;;;;1
M.A. Jansen;1;;;;;;;1
M.A. Kooiman;;;2;;;;;2
M.B.M. Security B.V.;1;;;;;;;1
M.E.J. Rutten;1;;;;;;;1
M.J.C. van Leeuwen;1;;;;;;;1
M.M.V. van Gennip-Dettori;1;;;;;;;1
Maatschap Huisartsengroep Bredero;1;;;;;;;1
Maatschap Jager/Scholtens;1;;;;;;;1
Maatschap voor Communicatie;;;2;;;;;2
MANINHEMD;;;2;;;;;2
Marcel Harmsen;1;;;;;;;1
Margalith Kleijwegt;;;1;;;;;1
Marieke Nijzink;;;1;;;;;1
Marijke Volkers Fotografie;1;;;;;;;1
Maro B.V.;1;;;;;1;;1
Mart Bakker Expo B.V.;1;;;;;;;1
Martine Posthuma de Boer. Rest.&Kleuronderz.;;;1;;;;;1
Matthijs de Boer Stedenbouw B.V.;;;2;;;;;2
Mavim B.V.;;;;;;;1;1
Med. Spec. Bdr. Spaarne Gasths H'lem/Hoofddrp;1;;;;;;;1
Medilex B.V.;1;;;;;;;1
Medisch Specialisten Coöperatief LLZ UA;1;;;;;;;1
Medisch Specialisten Coöperatief RDGG UA;1;;;;;;;1
Merijn Holding B.V.;1;;;;;;;1
Metropolisfilm Post-Production B.V.;1;;;;;;;1
MindThem B.V.;2;;;;;;;2
Mobilee Consultancy B.V.;;4;;;;;;4
More Balls Than Most B.V.;1;;;;;;;1
Move Next B.V.;1;;;;;;;1
Mr M.J. Meijer Notarissen N.V.;;;;;2;;;2
MSHW Marine B.V.;;;4;;;;;4
Muilwijk Landschap Advies;;;1;;;;;1
Multiship Holland Handling B.V.;;;2;;;;;2
Muzjolie Muziekservice;;;1;;;;;1
MWM2 B.V.;3;;;;;;;3
N. de Bruijn;1;;;;;;;1
N. van der Schaaf;1;;;;;;;1
N.J. van der Pot en Zonen;1;;;;;;;1
N200.Com B.V.;1;;;;;;;1
Nadia Wilting Restaurator;;;1;;;;;1
Nadine van den Berg Fotografie & Redactie;;;1;;;;;1
NDC mediagroep B.V.;1;;;;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;2;;;;;2
Nederl. Vereniging Amateurtheaterbibliotheek;1;;;;;;;1
Nexus E-ducatie;;;1;;;;;1
NLO Shieldmark B.V.;1;;;;;;;1
Noclichés B.V.;1;;;;;;;1
NRC Media Holding B.V.;1;;;;;;;1
Nsob;;2;2;;;;;3
OEC;;;1;;;;;1
Oesterbaai B.V.;;;1;;;;;1
Officeheart B.V.;2;;;;;1;;2
Oldewarris Advies;;;1;;;;;1
OLVG Oost;1;;;;;;;1
Onderw. Maak Je Samen Advies & Training B.V.;1;;;;;;;1
Onderwijsit;;;1;;;;;1
Oosting Managementadvies;1;;;;;;;1
OptiPrise;4;;;;;;;4
Opus 8;;;1;;;;;1
ORION Duurzaam Leren B.V.;1;;;;;1;;2
OTH Architecten B.V.;;;2;;;;;2
P. Gal Beheer B.V.;1;;;;;;;1
P. Scholten Advies B.V.;;;1;;;;;1
P. van Tilburg OG B.V.;1;;;;;;;1
P.C. Franken;1;;;;;;;1
P.C.A. de Munck;1;;;;;;;1
P.J. Schrijver;1;;;;;;;1
P.J. Smits B.V.;1;;;;;;;1
P.M.E. Support B.V.;1;;;;;;;1
Palu2Indonesia;;;2;;;;;2
Parnassia B.V.;1;;;;;;;1
Payroll Professionals B.V.;;;;3;;;;3
Pbergh Praktijk B.V.;1;;;;;;;1
PDC Informatie Architectuur B.V.;5;;;;;;;5
Pels Rijcken & Droogleever Fortuijn N.V.;4;;;;3;;;5
Periplus Archeomare B.V.;;;1;;;;;1
Peter van Wijk wiskundeadvies;2;;;;;;;2
PG Maas;;;1;;;;;1
PHARUS;;;1;;;;;1
Philippen Computer Opleidingen (PCO);;;1;;;;;1
Planon B.V.;1;;;;;;;1
PlasBossinade Notarissen N.V.;;;;;1;;;1
Pleiade Management en Consultancy;;;1;;;;;1
Postcode.NL B.V.;;;;;;1;;1
Prakt. voor huid- en Haarverz. Loes vd Laan;1;;;;;;;1
Praktijk Maria Derksen;1;;;;;;;1
Pressless;;;1;;;;;1
Pricewaterhousecoopers Accountants N.V.;;;2;;;;3;4
Pricewaterhousecoopers B.V.;;;;;;;1;1
Pro -Tact;4;;;;;;;4
Protinus IT B.V.;1;;;;;;;1
psychotherapie;1;;;;;;;1
PsyQ Zoetermeer;1;;;;;;;1
Publistat B.V.;;;2;;;;;2
Q Delft B.V.;;;2;;;;;2
Quint Wellington Redwood Nederland B.V.;1;;;;;;;1
QuoVadis Trustlink B.V.;1;;;;;;;1
R. van Bruggen;;1;;;;;;1
R. van der Hoek;;;1;;;;;1
R.A. Aktekin B.V.;1;;;;;;;1
R.C.J. van Eeten;1;;;;;;;1
R.W.H.M. Beerens;1;;;;;;;1
RAAP Archeolog. Adviesbureau Oost Nederland;;;2;;;;;2
Randstad HR Solutions B.V.;2;;;;;;;2
Reade;1;;;;;;;1
Regiokantoor Leeuwarden;1;;1;;;;;1
Regioplan Beleidsonderzoek B.V.;;;2;;;;;2
Reinders & Van Soest Mobiliteit B.V.;1;;;;;;;1
Reinsma Woninginrichting;1;;;;;;;1
Respectief B.V.;;;2;;;;;2
Restauratieatelier Mandy Slager;;;1;;;;;1
Ret-training;1;;;;;;;1
RGT Tweewielercentrum;;;1;;;;;1
Riedijk bestratingen;;;1;;;;;1
Rijnland Gerechtsdeurwaarders & Incasso B.V.;;;;;1;;;1
Riso Music;1;;;;;;;1
RIVO Beheer B.V.;1;;;;;;;1
Rolf Blijleven;;;1;;;;;1
Rotaform Systeemtechniek;1;;;;;;;1
Rris;1;;1;;;;;2
S.J.M. Dekker;1;;;;;;;1
S.V. Concepten;;;2;;;;;2
S.W. Eelman;1;;;;;;;1
Samen door;2;;;;;;;2
Schindler Liften B.V.;1;;;;;;;1
Schrijfschap;1;;;;;;;1
Sezen Kapan;;;2;;;;;2
Significant B.V.;3;;;;;;;3
Sint Antonius Ziekenhuis Locatie Utrecht;1;;;;;;;1
Sociaal Economisch OndeRzoek Rotterdam B.V.;;2;2;;;;;2
Sodexo Prestige B.V.;1;;;;;;;1
Sogeti Nederland B.V.;6;;;;;;;6
Solvinity B.V.;2;;;;;;;2
Sprengers Advocaten;2;;;;;;;2
Stadscafé De Observant;;;1;;;;;1
Stadsverhuizingen;1;;;;;;;1
Star Project;;;1;;;;;1
SteenhuisMeurs;;;3;;;;;3
SteenwijkerRijschool;1;;;;;;;1
Stemar Engineering B.V.;;;1;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;3;2;;;;;;3
Stg. Dutch Centre for Intern. Cultur. Cooper.;;;1;;;;;1
Stg. Geestelijke Gezondheidszorg Friesland;1;;;;;;;1
Stg. IJsselgroep Educatieve Dienstverlening;1;;;;;;;1
Stg. Maatschappelijk Ondernemen in Onderwijs;;;1;;;;;1
Stg. Ned. Centrum voor Dendrochronologie Ring;;;1;;;;;1
Sticht. voor Onderw. op Reformator. Grondslag;1;;;;;;;1
Stichting 4art;;;1;;;;;1
Stichting Bartiméus Sonneheerdt;1;;;;;;;1
Stichting Beekdallandschap Koningsdiep;;;1;;;;;1
Stichting Care to Change;1;;;;;;;1
Stichting CED-Groep;1;;;;;;;1
Stichting CommonSites;;;2;;;;;2
Stichting Cultureel Roggel;;;2;;;;;2
Stichting De PlaatsMakers;;;2;;;;;2
Stichting Deltares;;;4;;;;;4
Stichting Den Haag Marketing;1;;;;;;;1
Stichting Dimence;1;;;;;;;1
Stichting Epilepsie Instellingen Nederland;1;;;;;;;1
Stichting EP-Nuffic;;4;;;;;;4
Stichting Erfgoed Brabant;;;1;;;;;1
Stichting Examenkamer;1;;;;;;;1
Stichting Games for Health Europe;;;2;;;;;2
Stichting HCO;2;;;;;;;2
Stichting Landgoed Wolfslaar;1;;;;;;;1
Stichting Marant;1;;;;;;;1
Stichting Mevrouw Meijer;;;1;;;;;1
Stichting Mitswatenoe;4;;;;;;;4
Stichting Monumentenwacht Noord-Brabant;;;1;;;;;1
Stichting OnderwijsAdvies;2;;;;;;;2
Stichting Onderwijsadviescentrum Twente;1;;;;;;;1
Stichting Open State Foundation;2;;;;;;;2
Stichting Reprorecht;1;;;;;;;1
Stichting saMBO~ICT;3;;;;;;;3
Stichting Sardes;;;3;;;;;3
Stichting Sarya;1;;;;;;;1
Stichting SEO Economisch Onderzoek;;;1;;;;;1
Stichting Spaarnestad Photo;1;;;;;;;1
Stichting TI-COAST;;;1;;;;;1
Stichting Yulius;1;;;;;;;1
Stolk Schildersbedrijf;;;1;;;;;1
Suzanne Bakkum Design;1;;;;;;;1
SV Land B.V.;5;;;;;;;5
Synaeda Psycho Medisch Centr. Leeuwarden B.V.;1;;;;;;;1
T. R. Ten Brink;;;1;;;;;1
T.L.P.M. Sanders;1;;;;;;;1
TAK toegepaste artistieke kronkels;1;;;;;;;1
Technisch Handelsburo Visser Assen B.V.;1;;;;;;;1
Technopolis B.V.;;;2;;;;;2
Telegrootgebruik B.V.;1;;;;;;;1
Tele'Train B.V.;;;;;;1;;1
Telgen Consultancy B.V.;2;;;;;;;2
The Sociological Studio for Pol. and Research;;;1;;;;;1
Tim van Oosterbos;;;2;;;;;2
Timpaan Onderwijs B.V.;1;;;;;;;1
TNS Nipo B.V.;1;;2;;;;;2
Toetsbureau Dijkhuis;;;1;;;;;1
Toneeluitgeverij Vink B.V.;1;;;;;;;1
Tools4ever B.V.;;;;;;2;;2
Totality Informatisering B.V.;2;1;3;;;;;4
Training Support Otemann;1;;;;;;;1
Transformation Technologies B.V.;;;;;;;2;2
Troost Management Consultancy B.V.;;;1;;;;;1
TT Film;1;;;;;;;1
Twynstra Gudde;;;1;;;;;1
Universiteit Twente;;;2;;;;;2
USG Capacity;;;;1;;;;1
USG Finance Professionals B.V.;;;;;;;2;2
UW Werkmaatschappij B.V.;;;1;;;;;1
V.O.F. de Palatijn;1;;;;;;;1
Vaccinatiezorg B.V.;1;;;;;;;1
Vakgroep Restauratie;;;1;;;;;1
Van Campen Consulting;1;;;;;;;1
van der Voort Dental;1;;;;;;;1
Van Hoogevest Architecten B.V.;;;2;;;;;2
Van Vlier Media B.V.;1;;;;;;;1
Vanberkel Professionals B.V.;;;;;;;4;4
VDD Iqware B.V.;1;;;;;;;1
Veerman Conserv./Restauratie van Schilderijen;;;1;;;;;1
Ventoux Advocaten B.V.;2;;;;;;;2
Ver. van eig. 'Gezondheidscentrum Oosterboer';1;;;;;;;1
Verbindend;;1;;;;;;1
Vereniging Furry Nederland;1;;;;;;;1
Vereniging Medische Staf GGZ Rivierduinen;1;;;;;;;1
Verhallen & Verhallen V.O.F.;1;;;;;;;1
Visserijbedrijf Gerdia B.V.;;;2;;;;;2
VNSG Diensten B.V.;1;;;;;;;1
Vorst houtonderzoek;;;1;;;;;1
Vriens Archeo Flex B.V.;;;4;;;;;4
VVE K. de Grotelaan 193 t m 223 te Eindhoven;1;;;;;;;1
W. van Drunen;;;;;1;;;1
W.F.K. Otten B.V.;1;;;;;;;1
Waardewerk;;;;;2;;;2
Wendy Oakes;;;2;;;;;2
werk&bouw;2;;;;1;;;2
White Sand B.V.;;;1;;;;;1
Wibbens Arbeidskundig advies;1;;;;;;;1
Wolterinck B.V.;1;;;;;;;1
Xerox (Nederland) B.V.;2;;;;;;;2
Xolphin SSL Certificaten;1;;;;;;;1
YA Works B.V.;;;;;;2;;2
Yacht;;;1;;;;;1
Yvonne van Mil;;;2;;;;;2
Z. van de Wiel;1;;;;;;;1
Zalsman Print B.V.;1;;;;;;;1
Zie Displays;1;;;;;;;1
Ziggo B.V.;1;;;;;;;1
Zorgcentrum De Overloop;1;;;;;;;1
Zuidelijke Land- en Tuinbouworganisatie;;;1;;;;;1
VKA Verdonck Klooster & Associates;;3;2;;;;;4
Monique Staal;;;2;;;;;2
Eindtotaal;8;6;7;4;4;5;5;9
