Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;Eindtotaal
Cofely Zuidoost B.V.;;2;;;;;2
Cogitatio Advies B.V.;;;;;2;;2
Com²distri B.V.;;1;;;;;1
Comm B.V.;;;1;;;;1
Company.Info B.V.;;;;;1;;1
COMPAREX Nederland B.V.;7;6;;7;9;1;10
CompLions B.V.;;1;;;;;1
Computer Trading Company B.V.;;3;;;;;3
Comsenso B.V.;1;;;;;;1
Concept 101;2;2;;;;1;3
Confed Systems;;1;;;;;1
Configo Management B.V.;;1;;;;;1
Connection Systems B.V.;;2;;;;;2
Conrad Electronic Benelux B.V.;1;;1;;;;1
Cool Pixels Media;;;;;2;;2
Coolblue B.V.;;;1;;;1;1
Cosetec B.V.;;;1;;;;1
Cové Consult;;2;;;;;2
Creon B.V.;;1;;;;;1
CSC Computer Sciences B.V.;;6;;;;;6
CSO Adviesbureau, Milieu, Ruimte, Water;1;;;;;;1
D.D.S. Electronics Europe B.V.;;;1;;;;1
Da Vinci Laboratory Solutions B.V.;1;;2;;;1;2
Darwin Recruitment B.V.;;2;;;;;2
DAT.Mobility B.V.;;2;;;;;2
Data Display Nederland B.V.;5;;;;;;5
Data Display Support B.V.;2;;;;;;2
DataExpert B.V.;2;;;;;;2
DataWeb B.V.;;;;;1;;1
Datop B.V.;1;;;;;;1
Davilex Software B.V.;;;;;1;;1
DCI Electronics B.V.;;;2;;;;2
De Jong Zuurmond Infrabeheer, Ond.&Serv. B.V.;;;1;;;;1
De Lage Landen Vendorlease B.V.;;1;1;;;;2
De Lekkernij Utrecht B.V.;;1;;;;;1
'De Loodsen';;1;;;;;1
De maatschappelijk verantwoorde aannemer;;;1;;;;1
De Ned. Prov. v.d. Missionar. van Mariannhill;;;1;;;;1
De Rede van Batavia Haven B.V.;;1;;;;;1
De Ulebelt;;;1;;;;1
De volgende fase B.V.;;5;;;;;5
DearBytes;;1;;;;;1
Decos Software Engineering B.V.;;;1;;;;1
Delmeco Fishing Technology B.V.;;;1;;;;1
Deloitte Accountants;5;1;;;;;5
DELTA Comfort B.V.;1;;;;;;1
Detron Datacenter Diensten;1;;;;;;1
Detron ICT Infrastructure Solutions;;;;;1;;1
Detron Telecom Enterprise;6;5;1;;;;6
Dialxs B.V.;;1;;;;;1
DIANA FEA B.V.;;;;;2;;2
D-ICT;;2;;;;;2
Digital Revolution B.V.;;;1;;;;1
Dijkstra-Vereenigde B.V.;;;1;;;;1
Dimension Data Communications Nederland B.V.;1;;;;;;1
Display Electronics;;;1;;;;1
Divide B.V.;1;1;;;;;2
Dotka Data B.V.;;;;;1;;1
Double Green Projects B.V.;;2;;;;;2
DoubleSense;1;;;;;;1
Doxis;;3;;;;;3
DQTs;;1;;;;;1
Driessen International B.V.;;;1;;;;1
Dun & Bradstreet B.V.;2;;;;;;2
Dunea N.V.;;;1;;;;1
Dunit B.V.;;2;;;;;2
Dupa Veiligheidstechniek B.V.;;;1;;;;1
Dynniq Nederland B.V.;1;2;;;;;2
Dynniq Peek Traffic B.V.;;7;2;;;;7
Dyntatronic Datasystems;;;1;;;;1
DySI Software Innovations B.V.;;4;;;;;4
Easy Comp. B.V.;;;1;;;;1
easy2rent B.V.;;1;;;;;1
Ecotools Holding B.V.;;;1;;;;1
e-dynamics B.V.;1;;;;;;1
Eetcafé De Poort B.V.;;1;;;;;1
EGALiT Coöperatie UA;;4;;;;;4
Eight Media B.V.;;2;;;;;2
Eijkelkamp Soil & Water B.V.;;;1;;;;1
EKO Instruments Europe B.V.;;;1;;;;1
El-Contronic B.V.;;;1;;;;1
Elseco B.V.;2;1;;;;;2
Empire Entertainment;1;;;;;;1
EnablE-U B.V.;;1;;;;;1
Endress + Hauser B.V.;;;2;;;;2
ENGIE Infra & Mobility B.V.;;1;2;;7;;7
ENGIE Infra & Mobility vestiging Wormerveer;;3;;;;;3
Enternext B.V.;;;;;1;;1
Entropia Digital B.V.;;2;;;;;2
Epona Software Productions B.V.;1;;;;;;1
Equinix (Netherlands) B.V.;;6;7;;;;7
Ernst & Young Accountants LLP;2;;;;;;2
ESCAPE MOBILITY NEDERLAND;;;1;;;;1
Escrow Europe B.V.;;1;;;;;1
Esri Nederland;;2;;;;1;2
Esri Nederland Groep;;;;;7;;7
Essencia B.V.;;1;;;;;1
Essentra Components B.V.;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;1;;;;;1
Ettu Configuration B.V.;;;;;2;;2
Eurofiber Nederland;;4;;;;4;5
Eurofins Analytico B.V.;;1;;;2;;2
Exelis Visual Information Solutions B.V.;;;;;1;;1
Experian Nederland B.V.;;;;;;1;1
expert-shops.com;;;1;;;;1
Fabory Centre Ede;;;1;;;;1
Fabory Centre Rotterdam;;;1;;;;1
Facilitor B.V.;1;;;;1;;2
FACILITY POINT;;;1;;;;1
Faes Cases B.V.;;;1;;;;1
Falkplan B.V.;;4;;;;;4
Farnell (Netherlands) B.V.;;;1;;;;1
Federal Express Europe Inc.;;;1;;;;1
Femmasse B.V.;;;;;1;;1
Fiege B.V.;;;1;;;;1
Fijnmechanische Techniek Utrecht F.T.U.;;;1;;;;1
FileLinx Benelux B.V.;;1;;;2;;2
Finaps B.V.;;4;;;;;4
Firebrand Training BeNeLux B.V.;1;;;;;;1
Fireware;;;1;;;;1
Firma Klaas Keppel;;;1;;;;1
Firma Plat;;;1;;;;1
Fisher Emergo B.V.;;;1;;;;1
Flister B.V.;;;;;1;;1
FlowFabric B.V.;;2;;;;;2
Folux B.V.;;;1;;;;1
For Conference B.V.;;;;;;1;1
Forrester Research B.V.;2;;;;;;2
Foto Rembrandt Maastricht B.V.;;;1;;;;1
Fox-IT;;2;;;;;2
Frontier Information Technologies;;;;;1;;1
Fujitsu Technology Solutions B.V.;;3;2;;;;3
Futurumshop.Com B.V.;;;1;;;;1
Fysergo B.V.;;2;;;;;2
Gartner Nederland B.V.;2;;;;;;2
Gasned B.V.;1;;;;;;1
Gebr. Bonenkamp Techniek en Handel B.V.;;;1;;;;1
gefeliciTAART B.V.;;1;;;;;1
Gemnet B.V.;1;1;;;1;;2
Geodan B.V.;2;;;;2;;2
Geodan Holding B.V.;1;;;;;;1
Geopol;;;1;;;;1
Geotax;;2;;;;;2
Gesprek in Beweging;;1;;;;;1
Getronics N.V.;2;;;1;;1;3
Getronics Nederland B.V.;;;2;;4;;4
Glassinstruments;;;1;;;;1
GlobeCat B.V.;;1;;;;;1
Gobar Adviseurs B.V.;;1;;;;;1
Goudappel Coffeng B.V.;;2;;;1;;2
Grignion Holding B.V.;;2;;;;;2
Grizzly B.V.;;1;;;;;1
Grontmij Nederland B.V.;3;2;;;2;1;4
Gross IT Management B.V.;;1;;;;;1
H. Venema Technisch Bedrijf B.V.;;;2;;;;2
HACH;1;;2;;;;2
Hammock Investments B.V.;;1;;;;;1
Handelmaatschappij Maritiem B.V.;;;1;;;;1
Handels- en Ingenieursbur. Bakker & Co. B.V.;;;2;;;;2
HaskoningDHV Nederland B.V.;2;2;;;;;3
Havenbedrijf IJmuiden;;;1;;;;1
Heijmans Wegen B.V.;6;7;1;;;;7
Heijmans Wegen Metaal 2 B.V.;;1;;;;;1
Het Brouwcafé Scheveningen-Haven;;1;;;;;1
Hewlett-Packard CRS (Netherlands);;2;;;;;2
Hewlett-Packard Nederland B.V.;4;;;;7;;7
Hhce;;1;;;;;1
High Security International B.V.;;;;;2;;2
HITT Traffic;;3;1;;;;3
Hobru Wegenonderhoud B.V.;;2;;;;;2
Holland Air Pumps B.V.;;;1;;;;1
Hooymans Products B.V.;;1;;;;;1
Hoppinger;;;;;;1;1
Hot ITem B.V.;;5;;;;;5
Hotel Contact B.V.;;1;;;;;1
HPS Industrial B.V.;;2;1;;;;2
HR Groep Zuid;4;;;;;;4
HRGroep B.V.;6;;;;;;6
Hukseflux Thermal Sensors B.V.;;;1;;;;1
I.T. Works B.V.;;1;;;;;1
IBM Nederland B.V.;3;3;;;7;;7
Icensus B.V.;;2;;;;;2
ICHECK SYSTEMS;;1;;;;;1
ICT Automatisering Nederland;;2;;;2;;2
ICT Beroepsopleidingen B.V.;;1;;;;;1
Imagine Solutions B.V.;3;;;;;;3
Imtech Industrial Services;;1;1;;1;;1
Imtech Infra Data B.V.;;2;;;;;2
Imtech Marine Netherlands B.V.;;;1;;;;1
In2Documents B.V.;1;2;;;2;;3
In2Talent B.V.;;2;;;;;2
Indes Integrated Development Solutions B.V.;;;;;1;;1
Infict B.V.;1;;;;1;;1
Infinite ICT;;2;;;;;2
Infinite Simulation Systems B.V.;;;;;2;;2
Info Support MITS B.V.;;;;;5;;5
Infoprojects;;;;;3;;3
Informatique Computers & Componenten;;;1;;;;1
Informaxion B.V.;;1;;;;;1
infostrait Products B.V.;;1;;;1;;2
infostrait Services B.V.;;1;;;1;;2
Infrastructure Services & Projects B.V.;;1;;;;;1
Infratel B.V.;;;1;;;;1
Ingenieursbureau B-Ware B.V.;;2;;;2;;3
Innergo B.V.;;4;;;;;4
Innocam;;;1;;;;1
Innovatie Groep Nederland;;2;;;;;2
Innovero Software Solutions B.V.;1;;;;1;;1
Inquest B.V.;4;2;;;;;4
Inst. Non verbale Strategie Analyse B.V.;1;;;;;;1
Installatiebureau Geka B.V.;;;;;;1;1
Instrument Solutions Benelux B.V.;;;1;;;;1
Inter (VCD) B.V.;2;3;;;;;3
Inter Access B.V.;4;4;2;;2;1;5
Inter-Company B.V.;;;1;;;;1
Intermax Hosting B.V.;1;;;;1;;1
Intersafe Groeneveld B.V.;;1;1;;;;1
Interseco Investigations;1;;;;;;1
Intraffic B.V.;;;3;;;;3
Intronics Logistics;1;;;;;;1
Invention Design;;1;;;;;1
IPS Software;;2;;;;;2
I-Real B.V.;;;1;;;;1
Iris-International;;;;;1;;1
Isah B.V.;2;;;;;;2
Isytec B.V.;;2;;;;;2
IT Visors ECM B.V.;;4;;;;;4
ItaQ;6;4;;;;;6
Itera B.V.;1;;;;;;1
IT-Staffing Nederland B.V.;7;3;;;4;4;7
Iwaki Europe - NL Branch;;;1;;;;1
iWelcome B.V.;;;;;1;;1
Jaarbeurs-Servicebureau;;1;;;;;1
Jac. den Dulk en Zonen B.V.;;;1;;;;1
Jitscale B.V.;;;;;3;;3
Kaal Masten B.V.;;;1;;;;1
Kaelen Risico- en Projectmanagement;;1;;;;;1
Kalkhoven Beveiliging B.V.;;;1;;;;1
Kanai Architectuur & Visualisatie;;1;;;;;1
Keizer Culinair B.V.;;1;;;;;1
Kemetyl Professional B.V.;;;1;;;;1
Kemo B.V.;;;1;;;;1
Kimpro Projectmanagement en Advies B.V.;;2;;;2;;3
Kipp & Zonen B.V.;;;2;;;;2
Kiwa Nederland B.V.;;;1;;;;1
KLM;;;;;;2;2
Kneefel ICT B.V.;;2;;;;;2
Knowgistics Holding B.V.;;2;;;;;2
Knowmax B.V.;;;;;2;;2
Ko Hartog Verkeerstechniek B.V.;;;2;;2;;3
KOAC.NPC, Inst. voor Mat.-/Wegbouwk. Onderz.;;1;;;;;1
Kodision B.V.;;;;;2;;2
Koenders Instruments B.V.;;;1;;;;1
Kon. Ver. Agent Halverhout-Zwart-Zurmühlen BV;;;;;1;;1
Kongsberg Maritime Holland B.V.;;;1;;;;1
Koning & Hartman B.V.;;2;;;;;2
Koninklijke Maatschap de Wilhelminapolder;;;1;;;;1
KPMG Advisory N.V.;2;5;;;1;;5
KPN B.V.;1;5;;;3;2;5
KPN Corporate Market;5;7;;;4;;7
KPN HotSpots;1;;;;;1;1
KPN Mobile International B.V.;1;2;1;;;3;4
KPN Mobile N.V.;;;;;;1;1
Kunststofplaatverw. Ind. van Schagen B.V.;4;;;;;;4
Laanbroek Schoeman Adviseurs B.V.;;1;;;;;1
Labo-Tech B.V.;;;1;;;;1
Lapp Benelux B.V.;;;1;;;;1
Lasaulec B.V.;;;1;;;;1
Learn it B.V.;1;;;;;;1
LicenseConsult B.V.;;;1;;;;1
Linde Gas Benelux B.V.;;;1;;;;1
Linde Gas Cryoservices B.V.;;;1;;;;1
LNR Globalcom B.V.;;;1;;;;1
Locatienet B.V.;;1;;;;;1
Logilabel Nederland;;;1;;;;1
Lomans Capelle B.V.;;4;1;;;;4
Loon Salarissoftware B.V.;;1;;;;;1
M.E. Design & Safety V.O.F.;;;1;;;;1
Maatschap voor Communicatie;;;;;;1;1
Maatschap Wismeijer Stelling;;;1;;;;1
Magazijn Blijdorp;;;1;;;;1
Magic Hands B.V.;;;;;1;;1
Manutan B.V.;;;1;;;;1
Mapsup;1;;;;;;1
Marasoft B.V.;;;;;2;;2
Marconi Oranje B.V.;1;;;;;;1
Maritech Marine B.V.;;;1;;;;1
Marpol Services B.V.;;;1;;;;1
Marques Vormmakers B.V.;;1;;;;;1
Master it Training B.V.;;;;;1;;1
Mavention Holding B.V.;;;;2;;;2
Maxxus;;;;;;1;1
MCW Studio's B.V.;;;2;;;;2
meereffect;;1;;;;;1
Meetpapier B.V.;;;1;;;;1
Melkveehouderij Tijmens;;;1;;;;1
Mensys B.V.;;1;;;;;1
Merkator B.V.;;2;;;;;2
Metri B.V.;;2;;;;;2
Metrohm Applikon;;;1;;;1;1
Mettler-Toledo B.V.;;;1;;;;1
Miele Nederland B.V.;;;1;;;;1
MII B.V.;;1;;;;;1
Mindbench Active Media B.V.;1;;;;1;;1
Misco Nederland B.V.;;;1;;;;1
Misco Solutions B.V.;4;8;4;;;;8
MK Partners B.V.;;2;;;;;2
Modelec Data-Industrie;;;2;;;;2
Modelit;;2;;;;;2
Moop Mobility B.V.;2;;;;;;2
Mourik Limburg B.V.;;2;;;;;2
Movares Nederland B.V.;;1;;;;;1
Moveo;;;1;;;;1
MSA Nederland B.V.;;;1;;;;1
Mts. ten Cate;;;1;;;;1
Muconsult B.V.;;2;;;;;2
Multi-Post Mail Systems B.V.;;;1;;;;1
Multraship Salvage B.V.;;;1;;;;1
Multrix Benelux B.V.;;;;;;2;2
Mur Conditioning B.V.;;;1;;;;1
MX. Systems;;1;;;;;1
MyMicro Group B.V.;;;1;;;;1
MZS Slijpservice;;;1;;;;1
N.V. Golf Exploit. Mij. Schipluid.;;1;1;;;;1
N.V. Kabeltelevisie Noord-Oost Friesland;;;;;;1;1
N.V. PWN Waterleidingbedrijf Noord-Holland;;;1;;;;1
Naktuinbouw;;;1;;;;1
Nannings & Partners V.O.F. Dordrecht;;1;;;;;1
National Instruments Netherlands B.V.;;;;;1;;1
Nationale Bond voor EHBO;;;1;;;;1
Navimar B.V.;;;1;;;;1
Nazca IT Solutions B.V.;;3;;;1;;3
Ncoi Nederlands Commerc. Opleidings Instituut;;1;;;;;1
Nedbase B.V.;;;;;3;;3
NedGraphics B.V.;2;;;;4;;4
NEH ICT Solutions B.V.;2;;2;;3;1;4
Nestlé Waters Direct Netherlands B.V.;;;1;;;;1
Net Ground B.V.;;;1;;;;1
NetQuestionnaires Nederland B.V.;;;;;1;;1
New Circle film productions;;1;;;;;1
Nexxia;;;;;1;1;1
NIC Finance Invoice Services B.V.;;;1;;;;1
Nieuwland Automatisering;;1;;;;;1
Nijkerk Specsavers B.V.;;;1;;;;1
NMI Certin B.V.;;2;;;;;2
Nobel;;3;;;;;3
Northwave B.V.;2;1;;;;;2
NPSP B.V.;2;;;;;;2
NS Reizigers B.V.;;;;;;2;2
Nspyre B.V.;;3;;;2;;4
Observator Precisietechniek B.V.;;;1;;;;1
ODS Metering Systems B.V.;;;1;;;;1
Office Depot International;;1;;;;;1
ON2IT B.V.;;;2;;;;2
One Shoe B.V.;2;;;;1;;2
Online Touch B.V.;;;;;1;;1
Opdion Services B.V.;;2;;;;;2
Opijnen Transformer Solutions;;;1;;;;1
Oracle Nederland;;;;;7;;7
Ordina Business Consulting & Solutions B.V.;;2;;;7;;7
Ordina Nederland B.V.;7;6;;5;6;;7
Ordina Sourcing B.V.;;2;;;;;2
Ordina Technologie & Competenties B.V.;;2;;;1;;2
Orloff aan de Kade B.V.;;1;;;;;1
Oudaen B.V.;;1;;;;;1
Outpost24 Benelux B.V.;;2;;;;;2
Ovsoftware B.V.;;3;;;;;3
P.M.F. Machinefabriek Bergum B.V.;7;;;;;;7
Pacer B.V.;;4;;;;;4
Parkstad Installatie Techniek & More;;;1;;;;1
PC plus;1;;1;;1;;1
Performa Uitgeverij B.V.;;;;;1;;1
Periplus Consultancy B.V.;;1;;;;;1
Phoenix Contact B.V.;;;1;;;;1
Pine Lawful Interception B.V.;1;;;;;;1
Plant Solutions Zuid-Oost B.V.;;1;;;;;1
Plaza Productions B.V.;1;;1;;1;;1
PM Komponenten B.V.;;;1;;;;1
POL Heteren B.V.;;;2;;;;2
Pondres Direct Mail B.V.;1;;;;1;;1
Postcode.NL B.V.;;1;;;;;1
Powertec Diesel Services B.V.;;;2;;;;2
PQR B.V.;;4;;;;;4
Praxair Gas B.V.;;;1;;;;1
Premium Voices;1;;;;;;1
Pro-At B.V.;;4;;;;;4
Probata B.V.;;1;;;;;1
Probus Consulting Group B.V.;;2;;;;;2
Prodicom B.V.;3;;2;;3;;4
Profile René De Fietsspecialist;;;1;;;;1
Protinus IT B.V.;2;7;3;;2;1;7
Provider;1;;;;;;1
Proxy Services B.V.;;1;;;;;1
PW Consulting B.V.;;2;;;;;2
PWJ Digital Repair Services;1;;;;;;1
Pyton Communication Services B.V.;;;;;1;;1
Q.P.S.;;3;;;4;;4
QNH Consulting B.V.;2;;;;;;2
Qooqooq Holding B.V.;;1;;;;;1
Qpit B.V.;;1;;;;;1
Qualogic;;2;;;;;2
Quo B.V.;;;1;;;;1
QuoVadis Trustlink B.V.;1;2;1;;;;2
Radio Holland Content@Sea;;;1;;;;1
Radio Tol IJmuiden;;;1;;;;1
Ram Mobile Data (Netherlands) B.V.;;3;;;;;3
Randstad Resource Bedrijf Zakelijk B.V.;2;4;;;;;4
Rapenburg Plaza B.V.;;;;;2;;2
Rechtsdraaiende-Organisatie B.V.;;2;;;;;2
Recreatiehof 't Stien'nboer B.V.;;;1;;;;1
RedNose IT B.V.;;2;2;;;;3
Reinigingsmachines Wim de Kock;;;1;;;;1
Relatics B.V.;;2;;;;;2
Renaud-Delft Horecabenodigdheden B.V.;;;1;;;;1
Repromat B.V.;;;1;;;;1
Réseaux IP Européens Network Coord. Centre;;1;;;;;1
Restaurant 'De Handschoen';;1;;;;;1
Restaurant Nationaal Militair Museum;1;;;;;;1
Revis Verkeerstechniek B.V.;1;;;;;;1
Rexel Nederland B.V.;;;1;;;;1
RiSa IT B.V.;;1;;;;;1
Rittal B.V.;;;1;;;;1
ROI B.V.;2;;;;;;2
Ronald Makker Interieur Beplantingen;;;1;;;;1
Röntgen Technische Dienst B.V.;;;1;;;;1
RS Components B.V.;;;1;;;;1
Saab - Tein V.O.F.;;4;;;6;;6
Sabel Communicatie B.V.;;2;;;;;2
Safety Lux Nederland B.V.;;;1;;;;1
Salomon's Metalen B.V.;;;1;;;;1
Sandfirden Technics B.V.;;;1;;;;1
Sans Rancune;;;1;;;;1
SAP Nederland B.V.;3;;;;7;;7
Sapa Profiles NL B.V.;4;;;;;;4
Schiphol Nederland B.V.;;;;;1;;1
Schneider Electric Systems Netherlands N.V.;;1;;;;;1
Scholten Awater B.V.;6;6;;;1;;7
SCIA Nederland;;;;;2;;2
SCORPION NED;;;1;;;;1
SDL Netherlands B.V.;;;1;;;;1
SDL Tridion B.V.;2;;;;;;2
Security Monitoring Centre;;;;;;1;1
Sense Organisatie & Coaching B.V.;;2;;;;;2
Service It;;;;;1;;1
Shiptron Holding B.V.;;2;;;;;2
Shurgard Self-Storage Nieuwegein;1;;;;;;1
Sieca-Repro;;1;;;;;1
Siemens Nederland;;7;6;;;;7
Sigma Aldrich Chemie B.V.;;;1;;;;1
Significant B.V.;;2;;;;;2
Silverview;1;;;;;;1
Simacan B.V.;;4;;;;;4
Sinfra MEDIA&TRAFFIC;;;1;;;;1
Skippy-Rent;1;;;;;;1
Slagerij Augustinus Tiel;;1;;;;;1
SlikSVN;2;;;;;;2
Slim Development B.V.;;3;;;;;3
SMT Simple Management Technologies B.V.;2;;;;;;2
Softline Solutions Netherlands B.V.;;;;;1;;1
Software AG Nederland B.V.;1;;;;;;1
Software Borg;1;;;;;;1
Solar Nederland B.V.;;;1;;;;1
Solcon Internetdiensten N.V.;;1;;;;;1
Source Automation;;1;;;;;1
Special Cargo Services B.V.;;;1;;;;1
SPNA Ebelsheerd;;;1;;;;1
SQL Integrator B.V.;1;;;;;;1
Square Consulting Group;;;1;;;;1
Statisfact B.V.;;2;;;;;2
Stekelenburg IT;;2;;;;;2
Stevest B.V.;;;1;;;;1
Stg. Inform.syst. v. Arbeidsplaatsen & Vest.;;;;;4;;4
Stg. Nat. Centr. Paardrijd. v. Gehandicapten;;;1;;;;1
Stibbe B.V.;1;;;;;;1
Stichting Accessibility;;1;;;;;1
Stichting Beheer Derdengelden Six Advocaten;;1;;;;;1
Stichting Beheer Derdengelden X Pact;1;1;1;;1;2;2
Stichting Bouwkwaliteit;;1;;;;;1
Stichting Connekt;;2;;;;;2
Stichting Deltares;;2;;;1;;2
Stichting Geowetenschappelijke Activiteiten;;;1;;;;1
stichting government roaming nederland;2;;;;;;2
Stichting SBRCURnet;1;1;;;1;;2
Stichting TriviumLindenhof;;;1;;;;1
Straetus Incasso Provincie Groningen B.V.;;1;;;;;1
Strypes Nederland B.V.;2;;1;;;;2
Studio Ruud;;2;;;;;2
Superoffice Benelux B.V.;;;;;1;;1
SURFmarket;1;;;;3;;3
SURFnet B.V.;2;;;;1;4;4
Swarco Nederland B.V.;2;7;1;;;;7
Sweco Nederland;;2;;;4;;4
Sysqa B.V.;5;7;;3;5;;8
Systomatic;;;1;;;;1
T&T Compet&t.b.v.;;;;;1;;1
Taartenwinkel.nl B.V.;;1;;;;;1
