Leveranciers;7110 Gebruik en onderhoud gebouw en terreinen;7210 Verbruik van energie en water;7310 Verhuizen;7410 Verwerven en afstoten;7-Huisvesting
Groningen Airport Eelde;;;;2;2
GSA Facilitaire Diensten;1;;;1;1
Gunnebo;2;;;;2
Guy Bravenboer Schilderwerken;2;;;;2
H.J.M. Schreuder & zn.;1;;;;1
Haarlemse Glas centrale;1;;;;1
Hafele Nederland;1;;;1;1
Haitsma;1;;;;1
Health Factor Business;;;;1;1
Hectas Bedrijfsdiensten;1;;;;1
Heerdink Interieurbouw;1;;;;1
Heerkens Verlichting VOF;1;;;;1
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);5;;;1;5
Heman Verhuurservice;1;;;1;1
Heras Security Systems;1;;;;1
Het Gelagh Grand-Café-Hotel;1;;;;1
Het Markiezaat Schietsportvereniging;;;;1;1
Het NIC - Nederlands Inkoop Centrum;3;;;;3
Hoffmann Bedrijfsuitrusting;;;;1;1
Hofland Groothandel;1;;;;1
Hollander Techniek;2;;;;2
Honeywell;2;;;;2
HOOFDDORP;;;;3;3
Hoogeveen Yachting B.V.;2;;;;2
Hoogma Fietsen;1;;;;1
Hoogvliet en Zn Aannemersbedrijf;2;;;;2
Hormann Nederland;1;;;;1
Huto Machines;1;;;;1
HVA Bouwservice;2;;;;2
ICTroom Company;;5;;;5
Imtech (incl. Radio Holland, Bostec);4;1;;;4
Infostop;;;;1;1
Installatiebedrijf Ron Missler;1;;;;1
Installatiecombi Prinsenhof;2;;;1;2
INTERNATIONAL COMPUTER PRODUCTS BV;1;;;;1
Isopool B.V.;1;;;;1
ISS Holding;1;;;;1
ITS Hendrion;1;;;;1
J. Glijnis B.V. loon - en verhuurbedrijf;1;;;;1
Jager Aannemersbedrijf;2;;;1;2
Jan Ravestijn;;;;1;1
Jan Van Leusen BV;1;;;;1
Jo Leloux;1;;;;1
JUS-V&J/DJI- Dienst Justitiele Inrichtingen;;;;5;5
Kadaster (incl. de Grift);1;;;;1
Kaje Slotenservice;;;;1;1
Keijsers Lundiform;1;;1;;1
Kennelbouw Exclusief;1;;;;1
Kennelbouw Zeeland;1;;;;1
Key Processor;2;;;;2
Klein Units B.V.;1;;;;1
Klussenbedrijf Seyit;1;;;;1
Koning & Hartman;1;;;;1
Koninklijke De Swart;;;;1;1
Kools en Ravenhorst brandkasten;1;;;;1
Kooning Schiphol;2;;;;2
Kors Hoogwerk Systemen;1;;;;1
KPN (incl. Getronics, PTT Telecom);1;;;;1
Kramer Bouw;1;;;;1
K-Rentool;1;;;;1
Krinkels;4;;;;4
Kroon;1;;;;1
La Bouquetterie;;;;1;1
Laarhoven Design;1;;;;1
Labrie Verfspeciaalzaak;1;;;;1
Lantsink & Koning Loodgietersbedrijf;1;;;;1
Lenting Loodgietersbedrijf;1;;;;1
Liander;;7;;;7
Lodige Benelux;1;;;1;1
Loodgietersbedrijf F. Weijde BV;1;;;;1
Loonbedr.en Groenvoorz. v.d. Berg;1;;;;1
Lowik;1;;;;1
Luchthaven Maastricht;;;;2;2
Lyreco Nederland (vh Ahrend Office Products);1;;;;1
Maars Projecten;1;;;;1
Makelaars Den Daas;;;;2;1
Mansveld;2;;1;1;2
Manutan (vh Overtoom International);2;1;;1;2
Marcel Jongen;1;;;;1
Mayfield;;;;4;4
MC Snack-Catering;1;;;;1
Meliskerke Bouwbedrijf;1;;;;1
Merin (vh Uni-Invest);;;;2;2
Merkelbach;2;;;;2
Meyer Service & Onderhoud;1;;;;1
MFA Bovensmilde;;;;1;1
Misco Nederland;1;;;;1
MMC International;1;;;;1
Mondial Movers;;;3;;3
MONTFERLAND GEMEE SPORTCOMPLEX;;;;1;1
Motrac Intern Transport;2;;;;2
MoveToLive;1;;;;1
MVGM Bedrijfshuisvesting, Vastgoedmanagement;1;;;2;3
Mycom Nederland;;;;1;1
Myosotis Bloembinderij;1;;;;1
N. Aarnoudse B.V.;1;;;;1
N.V. EXPLOITATIE SPORTACCOMODATIES;;;;1;1
Nationale Vastgoed Groep;;;;6;6
Nic Best Deal;1;;;;1
Nieaf-Smitt;1;;;;1
Nijhuis Rioolreiniging;1;;;;1
NoRisk KeyManagement (Traka);1;;;;1
NSI Kantoren en Winkel;;;;3;3
Nuon Business;;3;;;3
Oasen;;1;;;1
OBN Ongedierte Bestrijding Nederland;1;;;;1
Opal (incl. Direct Identification);2;;;;2
Optisport;;;;1;1
Optometrie Bielaars;;;;1;1
P.A. Wiersma Aannemingsmaatschappij;1;;;;1
Pandora Tactical M. de Jong;1;;;;1
PAO PostAcademisch Onderwijs;1;;;;1
Parkmanagement Amsterdam Teleport;;;;2;2
Passenger Terminal Amsterdam;;;;1;1
Perspekt Studio's BV;;;1;;1
Politie;;;;2;2
Polvo (incl. Leys, VdStad, Dubson, Kruyt, Holtgrefe, Lekkerkerker);1;;;;1
Pot Verhuizingen / Logistiek;1;;7;;7
Precia Molen;1;;;;1
PWN Waterleidingbedrijf Noord-Holland;;2;;;2
Q-Ing Chemicals;1;;;;1
R. Bosch Verwarmingsbedrijf;1;;;;1
Record Automatische Deuren;1;;;;1
Reekers Tweewielers;1;;;;1
Reisswolf;1;;;;1
Relexim;1;;;;1
REMKES JAN GLASZETTERSBEDRIJF;1;;;;1
Rendo;;2;;;2
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);1;;;1;1
Revis Verkeerstechniek;1;;;;1
Rijwielhandel H.W. en R.M. Tieleman;1;;;1;1
Rivostuc;1;;;;1
RN Project;7;;;5;7
Roodenburg Konstruktiebedrijf;1;;;;1
Rotom Nederland;1;;;;1
Rotterdam Airport;;1;;;1
RRS Riool Reinigings Service (incl. HRT Holland Riooltechniek);1;;;1;1
Safire;6;;;;6
Salvage Transport Incident;1;;;;1
Salverda Bouwbedrijf;3;;;;3
SBR Vloeren en Interieur;1;;;;1
Scheeres (incl. Lockerschop);1;;;1;1
Schietvereniging Asser Wapen;;;;2;2
Schiphol Groep (incl. Real Estate);;;;6;6
Schiphorst Transport- en Opslag;1;;;;1
Schipper Metaal;1;;;;1
Schippers Bladel;1;;;;1
Scholten Awater & Partners;1;;;;1
Schulenburch Catering;;;;2;2
Schurgers Sleutelservice;;;;1;1
Scorpion Nederland;1;;;;1
Seascape;4;;;;4
Segway Nederland;1;;;;1
Service Centrum Auteurs- en Naburige Rec;1;;;;1
Service Equipe Nederland (vh Service Equipe Kampri);1;;;;1
Ses Helm;;;;2;2
Showgroup Light & Soundproductions;1;;;;1
Siemens Nederland;2;;;5;5
Sita;1;;;;1
Sitex Electronics;1;;;;1
Sleutelservice.com;1;;;;1
SMC Security Monitoring Centre;1;;;;1
Smink Van Vliet Groep;1;;;;1
Snepvangers Glasservice;1;;;;1
Sonesto;1;;;;1
SOONS INTERIEURBOUW BV;;;;1;1
Spark Participatie;1;;;;1
Sportaccomodatie Ridderkerkse St.;;;;2;2
Sportfondsen Haarlemmermeer;;;;1;1
SRO Amersfoort;;;;1;1
St. Schietsportcentrum Drechtstreek;;;;3;3
STAS Picture Hanging Systems;1;;;;1
STB Automatisering & Advies;1;;;;1
Stedin (vh Eneco Netbeheer, Mdds);;5;;;5
Stertil;1;;;;1
Stg Woonwagen Nieuws;;;;1;1
Stichting Corneliushuis;;;;1;1
Stichting Exploitatie Accommodatie VELO;;;;1;1
Still Intern Transport;1;;;;1
STINISSEN SERVICE;1;;;;1
Storm van der Catering;;;;1;1
Stow Nederland;1;;;;1
Studio Louter (Museumstudio);;;2;;2
Swedamast Vlaggen & Masten;1;;;;1
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);2;;;;2
Technautic, Technex & Technolyt ;1;;;;1
Technische Unie;5;;;;5
Technogym the Wellness Company;1;;;;1
Ten Brinke Interieurbeplanting;1;;;;1
Testo;1;;;;1
Th. Engering;1;;;;1
Tjep;;;1;;1
Tomra Systems;1;;;;1
Top Installatiegroep (incl. Top Technisch Beheer);1;;;;1
Total Identity, Total Public;2;;;;2
TotalKlima;1;;;;1
Trajecto BV;;;;1;1
ULC Technisch Beheer;1;;;;1
Unica (ICT Network, Technisch beheer, Installatietechniek, Automatic Sprinkler);2;;;1;2
UPC Nederland;1;1;;;1
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;1;;;1;1
Vaanster Energie;;2;;;2
Van Assem Interieurbouw;1;;;1;1
Van Beek Ingenieurs;1;;;;1
Van den Berg Groep Adviseurs, Architecten;2;;;;2
Van der Velden Rioleringsbeheer;1;;;;1
Van Dorp Installaties, Service Equipe, Prolux;4;;;;4
Van Gelder;2;;;;2
Van Ginkel Groep Hoveniersbedrijf (incl. Pius Floris);4;;;;4
Van Oosterhout Tweewielers;1;;;;1
Van Randwijk Paperflow Solutions;2;;;;2
Van Rossum Ijzerhandel;1;;;1;1
Van Rumpt Specialisten;1;;;;1
Vastned Management;;;;2;2
VB Groep;;;;3;3
Veolia water solutions & Technologies (vh Rossmark Waterbehandeling);1;;;;1
Verheij Groenvoorzieningen;4;;;;4
Vervloed aanhangwagens en trailers;1;;;;1
Vink Lisse;2;;;1;2
Vios Bouw en Onderhoud;1;;;;1
Visser Lasbedrijf Terbregge , P.;;;;1;1
Vitens;;3;;;3
VLAG IN TOP;1;;;;1
Vlaggenindustrie Groningen;1;;;;1
Waterbedrijf Groningen;;1;;;1
Wiek De Laat Beveiliging;1;;;;1
WMD Waterleidingmaatschappij Drenthe;;1;;;1
Worksphere - Stork en Strukton;1;;;;1
Wortmann Milieutechniek;1;;;;1
WPM Groep (incl. Kantoormanagement);;;;4;4
Xtac Analytical;1;;;;1
Ziggo (vh Casema);;2;;;2
ZWARTEVEENS OLIE;1;;;;1
Zweegers Onderhoudsgroep;2;;;;2
Zwemmer Logistiek B.V.;1;;;;1
Eindtotaal;8;9;7;8;10
