FID,wpeil_verf,se_anno_cad_data,gdb_geomattr_data,shape
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.19,-0.37,,,"LINESTRING (79417.28200000152 437626.81500000134, 79413.14400000125 437627.80700000003, 79294.33700000122 437658.50400000066, 79188.32999999821 437688.061999999, 78990.52699999884 437745.0229999982, 78935.25600000098 437759.53500000015)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.20,-0.25,,,"LINESTRING (80393.38599999994 437409.625, 79904.8599999994 437516.1259999983)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.21,-0.12,,,"LINESTRING (80881.9849999994 437303.4609999992, 80601.73600000143 437364.2030000016, 80393.38599999994 437409.625)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.22,0.89,,,"LINESTRING (81863.06799999997 437112.0760000013, 81855.66899999976 437112.7349999994, 81792.11699999869 437120.3960000016, 81725.80700000003 437130.08100000024, 81657.00499999896 437141.51900000125, 81513.52400000021 437168.48600000143, 81375.73900000006 437197.1770000011)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.23,0.89,,,"LINESTRING (81375.73900000006 437197.1770000011, 81370.77899999917 437198.20899999887)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.24,0.87,,,"LINESTRING (81992.06899999827 437104.243999999, 81974.37000000104 437104.36499999836, 81916.375 437107.3289999999, 81863.06799999997 437112.0760000013)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.25,0.87,,,"LINESTRING (82357.10200000182 437159.2039999999, 82300.53299999982 437143.4690000005, 82244.27299999818 437129.8819999993, 82190.10700000077 437119.1810000017, 82137.01799999923 437111.3289999999, 82083.97899999842 437106.2809999995, 82030.03400000185 437103.9829999991, 81992.06899999827 437104.243999999)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.26,0.15,,,"LINESTRING (76905.4459999986 439056.5540000014, 76651.10599999875 439394.26099999994, 76604.8200000003 439456.08399999887)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.27,-1.81,,,"LINESTRING (77863.65399999917 438085.26000000164, 77848.54699999839 438094.0879999995, 77801.62700000033 438123.43200000003, 77755.51300000027 438154.08999999985, 77710.08700000122 438186.0219999999, 77665.23699999973 438219.2129999995, 77620.87099999934 438253.6739999987, 77576.92199999839 438289.44000000134, 77560.08399999887 438303.7870000005)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.28,-1.39,,,"LINESTRING (77973.90100000054 438025.3680000007, 77958.59600000083 438032.99599999934)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.29,-0.24,,,"LINESTRING (78447.54800000042 437869.4670000002, 78386.36699999869 437883.4210000001, 78346.41699999943 437893.20899999887)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.30,-0.09,,,"LINESTRING (78329.26799999923 437897.41099999845, 78325.65300000086 437898.2969999984, 78266.58799999952 437914.1319999993, 78209.21299999952 437931.1790000014, 78153.48900000006 437949.64499999955, 78099.33700000122 437969.67599999905, 78046.65700000152 437991.3500000015, 77995.34299999848 438014.6790000014, 77973.90100000054 438025.3680000007)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.31,-0.36,,,"LINESTRING (79904.8599999994 437516.1259999983, 79763.0009999983 437547.0520000011, 79545.55700000003 437596.0370000005, 79417.28200000152 437626.81500000134)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.32,-0.04,,,"LINESTRING (80983.30700000003 437281.5009999983, 80881.9849999994 437303.4609999992)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.33,0.33,,,"LINESTRING (81275.30600000173 437218.2120000012, 80983.30700000003 437281.5009999983)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.34,0.68,,,"LINESTRING (81370.77899999917 437198.20899999887, 81289.7109999992 437215.08999999985, 81275.30600000173 437218.2120000012)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.35,-0.29,,,"LINESTRING (75709.7100000009 440659.11400000006, 75691.77400000021 440687.08900000155, 75670.46700000018 440723.0219999999, 75651.56599999964 440758.05700000003, 75635.13300000131 440792.1950000003, 75621.09699999914 440825.5929999985, 75609.2899999991 440858.51399999857, 75599.48200000077 440891.2800000012, 75591.42199999839 440924.2129999995, 75584.8599999994 440957.5949999988, 75579.56300000101 440991.6420000009, 75575.30999999866 441026.50400000066, 75571.87299999967 441062.27600000054, 75566.96499999985 441130.5540000014)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.36,-0.23,,,"LINESTRING (77560.08399999887 438303.7870000005, 77533.35300000012 438326.561999999, 77490.15300000086 438365.0929999985, 77447.33399999887 438405.08199999854, 77404.92000000179 438446.561999999, 77362.93600000069 438489.53500000015, 77321.39999999851 438533.97199999914, 77280.31300000101 438579.8020000011, 77239.65799999982 438626.91800000146, 77211.4609999992 438661.20800000057)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.37,0.18,,,"LINESTRING (82829.16699999943 437323.69999999925, 82798.16099999845 437311.95600000024, 82637.27199999988 437253.0320000015, 82490.04300000146 437201.43299999833, 82422.82200000063 437179.313000001, 82400.18299999833 437172.3590000011)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.38,0.53,,,"LINESTRING (82400.18299999833 437172.3590000011, 82359.80600000173 437159.95600000024, 82357.10200000182 437159.2039999999)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.39,-0.79,,,"LINESTRING (76191.54800000042 440017.6979999989, 76084.75499999896 440170.68299999833, 76032.45800000057 440243.6620000005, 76016.69799999893 440264.756000001)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.40,-1.11,,,"LINESTRING (76306.29899999872 439857.18499999866, 76203.49300000072 440000.5859999992, 76195.21499999985 440012.4450000003)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.41,-0.76,,,"LINESTRING (76016.69799999893 440264.756000001, 76007.2509999983 440277.3999999985, 75957.08999999985 440341.2710000016, 75850.99700000137 440469.4849999994, 75795.04800000042 440539.72300000116, 75740.64299999923 440613.3520000018, 75715.2809999995 440650.42500000075, 75709.7100000009 440659.11400000006)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.42,-2.58,,,"LINESTRING (83291.84200000018 437512.9439999983, 83227.76199999824 437484.29399999976)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.43,-2.58,,,"LINESTRING (83227.76199999824 437484.29399999976, 83217.45100000128 437479.68400000036, 83131.02100000158 437442.2179999985, 83047.73800000176 437407.8359999992, 83037.79199999943 437403.9070000015)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.44,-2.58,,,"LINESTRING (82989.73800000176 437384.9230000004, 82964.69099999964 437375.02800000086, 82829.16699999943 437323.69999999925)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.45,-0.05,,,"LINESTRING (76604.8200000003 439456.08399999887, 76418.6259999983 439704.7749999985, 76306.78700000048 439856.50499999896, 76306.29899999872 439857.18499999866)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.46,0.87,,,"LINESTRING (83761.79399999976 437681.2509999983, 83628.42399999872 437645.6339999996, 83437.26300000027 437576.0219999999, 83314.06500000134 437522.87999999896, 83291.84200000018 437512.9439999983)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.47,-0.41,,,"LINESTRING (83768.72500000149 437683.1020000018, 83761.79399999976 437681.2509999983)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.48,-0.41,,,"LINESTRING (84249.46700000018 437789.8200000003, 83988.60099999979 437741.8209999986, 83768.72500000149 437683.1020000018)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.49,0.93,,,"LINESTRING (84741.21200000122 437880.3020000011, 84512.4609999992 437838.2120000012)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.50,1.18,,,"LINESTRING (84512.4609999992 437838.2120000012, 84249.46700000018 437789.8200000003)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.51,5.29,,,"LINESTRING (86996.27600000054 454318.59600000083, 86930.73999999836 454278.99500000104, 86813.4600000009 454211.76900000125, 86621.67300000042 454108.12000000104, 86560.53799999878 454073.52699999884)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.52,8.15,,,"LINESTRING (86560.53799999878 454073.52699999884, 86539.41299999878 454061.57400000095, 86499.84800000116 454037.3280000016, 86460.57600000128 454011.53400000185, 86421.01000000164 453983.506000001, 86380.54300000146 453952.5469999984, 86338.55200000107 453917.94900000095, 86294.39499999955 453878.9979999997, 86247.40900000185 453834.96599999815, 86196.9149999991 453785.1169999987, 86173.06300000101 453760.51999999955)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.53,-1.33,,,"LINESTRING (86173.06300000101 453760.51999999955, 86142.21400000155 453728.70600000024, 86082.58999999985 453664.9770000018, 86017.30600000173 453593.1649999991, 85866.72399999946 453422.1770000011, 85779.86100000143 453321.4219999984, 85578.94200000167 453085.36499999836)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.54,-1.33,,,"LINESTRING (85221.28599999845 452582.5170000009, 85261.61600000039 452638.6330000013, 85578.94200000167 453085.36499999836)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.55,2.64,,,"LINESTRING (83750.91899999976 450806.08399999887, 83753.1240000017 450813.6640000008, 83793.35000000149 450935.7329999991, 83829.11199999973 451030.90399999917, 83861.29800000042 451105.4970000014, 83872.49300000072 451127.95899999887)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.56,3.33,,,"LINESTRING (83707.44700000063 450656.70800000057, 83749.01999999955 450799.55999999866)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.57,0.32,,,"LINESTRING (83872.49300000072 451127.95899999887, 83890.68899999931 451164.46599999815, 83917.97300000116 451211.6559999995, 83943.73900000006 451250.0249999985, 83968.48699999973 451281.83399999887, 83992.63399999961 451308.8049999997, 84016.51399999857 451332.24500000104, 84040.39400000125 451353.1550000012, 84040.6799999997 451353.3830000013)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.58,1.01,,,"LINESTRING (84040.6799999997 451353.3830000013, 84064.47399999946 451372.30799999833, 84088.89600000158 451390.30900000036, 84217.93699999899 451477.37999999896)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.59,0.5,,,"LINESTRING (84594.75 451804.22100000083, 84608.37700000033 451818.5729999989, 84691.78000000119 451910.46400000155, 84776.83799999952 452007.4780000001, 84866.93400000036 452113.4450000003, 84922.47500000149 452181.7030000016)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.60,-0.29,,,"LINESTRING (84525.59099999815 451732.7960000001, 84552.89200000092 451760.13599999994, 84594.75 451804.22100000083)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.61,0.97,,,"LINESTRING (84217.93699999899 451477.37999999896, 84245.20600000024 451495.77899999917, 84300.4840000011 451535.53500000015, 84356.5540000014 451579.0560000017, 84412.90399999917 451626.4530000016, 84469.14499999955 451677.5219999999, 84497.14999999851 451704.31500000134, 84525.59099999815 451732.7960000001)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.62,0.45,,,"LINESTRING (84922.47500000149 452181.7030000016, 84935.79399999976 452198.0729999989, 85024.80900000036 452313.4079999998, 85160.8909999989 452498.4829999991, 85221.28599999845 452582.5170000009)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.63,5.54,,,"LINESTRING (85414.44099999964 456812.91099999845, 85435.46200000122 456778.34800000116, 85489.42300000042 456683.2509999983, 85538.59299999848 456588.46499999985, 85555.75299999863 456552.47100000083)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.64,5.59,,,"LINESTRING (85635.60500000045 456374.7800000012, 85638.94799999893 456366.7349999994)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.65,-0.12,,,"LINESTRING (85638.94799999893 456366.7349999994, 85662.8350000009 456309.25499999896, 85770.56899999827 456035.68400000036, 85807.54500000179 455944.5700000003, 85825.45600000024 455902.84899999946)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.66,2.86,,,"LINESTRING (85825.45600000024 455902.84899999946, 85846.80000000075 455853.1339999996, 85889.29800000042 455761.311999999, 85935.80700000003 455669.2410000004, 85986.71799999848 455577.3539999984, 86033.59600000083 455500.0760000013)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.67,-0.33,,,"LINESTRING (85037.80099999905 457271.7199999988, 85131.09600000083 457180.9670000002, 85170.56100000069 457139.94000000134, 85208.12200000137 457098.1220000014, 85244.24599999934 457055.1000000015, 85279.11499999836 457010.88599999994, 85312.78799999878 456965.6490000002, 85345.27400000021 456919.5850000009, 85376.55999999866 456872.89400000125, 85406.62799999863 456825.7589999996, 85414.44099999964 456812.91099999845)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.68,-0.06,,,"LINESTRING (84824.42599999905 457504.5399999991, 84913.82800000161 457398.76399999857, 84985.10799999908 457322.9770000018, 84992.37000000104 457315.9120000005)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.69,5.29,,,"LINESTRING (86672.62900000066 454673.256000001, 86718.74100000039 454621.2879999988, 86996.27600000054 454318.59600000083)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.70,8.15,,,"LINESTRING (86550.64699999988 454810.8200000003, 86552.43100000173 454808.7170000002, 86672.62900000066 454673.256000001)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.71,0.13,,,"LINESTRING (84781.57999999821 437381.93400000036, 84790.67199999839 437269.6979999989, 84825.26700000092 436958.90199999884, 84836.98000000045 436884.6079999991)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.72,-0.77,,,"LINESTRING (84977.79199999943 436290.63800000027, 84987.42100000009 436259.4270000011, 85010.64600000158 436190.7280000001, 85040.82499999925 436107.3029999994, 85049.34600000083 436080.5170000009)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.73,-0.77,,,"LINESTRING (84947.52499999851 436397.86400000006, 84949.54199999943 436390.0549999997, 84975.16299999878 436299.15900000185, 84977.79199999943 436290.63800000027)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.74,0.46,,,"LINESTRING (84836.98000000045 436884.6079999991, 84851.35500000045 436793.43499999866, 84872.52400000021 436692.3770000003, 84890.72199999914 436617.6979999989, 84947.52499999851 436397.86400000006)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.75,0.93,,,"LINESTRING (84741.21200000122 437880.3020000011, 84771.25200000033 437509.44200000167)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.76,0.93,,,"LINESTRING (84771.25200000033 437509.44200000167, 84781.57999999821 437381.93400000036)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.77,1.48,,,"LINESTRING (81123.41800000146 447208.81599999964, 81116.9849999994 447173.86199999973, 81116.15700000152 447168.38899999857)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.78,1.09,,,"LINESTRING (81114.30700000003 447156.15900000185, 81109.59499999881 447125.01300000027, 81104.09899999946 447076.5560000017, 81100.6640000008 447028.6770000011, 81099.36100000143 446981.4699999988, 81100.18200000003 446934.95899999887, 81103.06500000134 446889.1099999994, 81107.91200000048 446843.8539999984, 81114.61499999836 446799.09699999914, 81123.05700000003 446754.7329999991, 81132.55700000003 446713.1339999996)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.79,-0.58,,,"LINESTRING (81646.45499999821 448596.21400000155, 81620.74599999934 448547.83399999887, 81535.69900000095 448376.8720000014)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.80,-0.76,,,"LINESTRING (81525.10700000077 448355.9750000015, 81489.23200000077 448286.3029999994, 81446.34800000116 448210.8969999999, 81411.23600000143 448155.33900000155)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.81,1.26,,,"LINESTRING (81411.23600000143 448155.33900000155, 81333.92500000075 448033.0080000013, 81313.32899999991 447996.8420000002, 81294.51099999994 447960.006000001, 81277.84499999881 447922.4990000017, 81263.54199999943 447884.43499999866, 81251.62000000104 447846.0179999992, 81241.91000000015 447807.4910000004, 81234.07400000095 447769.0780000016, 81227.64600000158 447730.9200000018, 81222.95600000024 447698.2899999991)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.82,1.41,,,"LINESTRING (81222.95600000024 447698.2899999991, 81211.32299999893 447617.3359999992, 81197.98299999908 447539.4450000003, 81180.17100000009 447456.3520000018, 81136.2490000017 447271.5529999994, 81125.99599999934 447222.8269999996, 81123.41800000146 447208.81599999964)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.83,0.68,,,"LINESTRING (81132.55700000003 446713.1339999996, 81133.1259999983 446710.6420000009, 81144.71499999985 446666.6979999989, 81157.71700000018 446622.7679999992, 81187.5390000008 446534.4270000011, 81204.12799999863 446489.7899999991, 81240.01300000027 446399.2520000003, 81278.50299999863 446307.1400000006, 81305.46400000155 446244.59899999946)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.84,0.55,,,"LINESTRING (81305.46400000155 446244.59899999946, 81338.56500000134 446167.81500000134, 81420.22899999842 445984.94299999997, 81462.64699999988 445895.8040000014, 81462.73600000143 445895.6270000003)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.85,6.74,,,"LINESTRING (81937.63500000164 445102.6730000004, 81965.72399999946 445053.05999999866, 82025.8440000005 444941.1790000014, 82029.6640000008 444933.78500000015)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.86,5.58,,,"LINESTRING (81889.89999999851 449032.90199999884, 81874.35599999875 449003.1339999996, 81818.82200000063 448902.77899999917, 81730.27499999851 448748.3139999993, 81673.10099999979 448646.3590000011, 81646.45499999821 448596.21400000155)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.87,5.91,,,"LINESTRING (81945.45800000057 449140.8740000017, 81924.3200000003 449098.81700000167, 81889.89999999851 449032.90199999884)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.88,5.92,,,"LINESTRING (82137.96200000122 449466.0029999986, 82130.18299999833 449455.89400000125, 82095.5159999989 449407.76399999857, 82065.1649999991 449362.1719999984, 82038.34099999815 449318.2989999987, 82014.10799999908 449275.3110000007, 81991.47399999946 449232.4299999997, 81945.45800000057 449140.8740000017)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.89,-0.97,,,"LINESTRING (82492.36899999902 444049.01000000164, 82579.47300000116 443916.1469999999, 82641.18600000069 443818.87099999934, 82670.15300000086 443771.0769999996, 82725.05999999866 443675.4539999999, 82753.37299999967 443622.80700000003)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.90,-0.97,,,"LINESTRING (82753.37299999967 443622.80700000003, 82777.95100000128 443577.10500000045, 82831.37000000104 443473.3660000004, 82878.50299999863 443379.3449999988)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.91,-1.96,,,"LINESTRING (82878.50299999863 443379.3449999988, 82915.43100000173 443305.6810000017, 82973.44700000063 443187.4140000008, 82978.6559999995 443176.47399999946)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.92,-1.96,,,"LINESTRING (83339.75499999896 442245.1160000004, 83489.10799999908 441785.27699999884, 83494.54800000042 441769.68400000036)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.93,5.83,,,"LINESTRING (82462.43200000003 449846.23600000143, 82448.54300000146 449831.11100000143, 82320.33399999887 449686.7349999994, 82214.53700000048 449562.6009999998, 82169.74199999869 449507.30099999905, 82137.96200000122 449466.0029999986)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.94,-1.96,,,"LINESTRING (82978.6559999995 443176.47399999946, 83030.9459999986 443066.6629999988, 83058.8209999986 443006.1020000018, 83111.76999999955 442885.5549999997, 83136.6400000006 442825.65399999917, 83178.5159999989 442718.3509999998)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.95,-1.96,,,"LINESTRING (83178.5159999989 442718.3509999998, 83183.31700000167 442706.0489999987, 83226.90100000054 442585.30900000036, 83289.55700000003 442399.6700000018, 83339.75499999896 442245.1160000004)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.96,-0.81,,,"LINESTRING (84586.7100000009 438980.23699999973, 84642.46400000155 438645.31500000134, 84663.00699999928 438486.16600000113)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.97,4.87,,,"LINESTRING (83259.47700000182 450434.62099999934, 83169.2809999995 450389.9050000012, 82928.62099999934 450260.8579999991, 82793.60599999875 450169.10500000045, 82691.89200000092 450082.26099999994, 82602.75699999928 449995.5089999996, 82522.01700000092 449911.1220000014, 82462.43200000003 449846.23600000143)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.98,-0.81,,,"LINESTRING (84449.57899999991 439460.29100000113, 84492.0399999991 439344.3979999982, 84535.80099999905 439203.30000000075, 84582.83199999854 439003.53400000185, 84586.7100000009 438980.23699999973)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.99,-6.73,,,"LINESTRING (83455.62799999863 450531.86499999836, 83259.47700000182 450434.62099999934)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.100,-6.67,,,"LINESTRING (83707.44700000063 450656.70800000057, 83501.78700000048 450554.7490000017)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.101,-1.96,,,"LINESTRING (83494.54800000042 441769.68400000036, 83537.70899999887 441645.9670000002, 83597.49199999869 441488.0249999985, 83672.13699999824 441302.77800000086, 83672.28200000152 441302.43499999866)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.102,-0.81,,,"LINESTRING (84251.96499999985 439919.54300000146, 84369.37999999896 439652.94299999997, 84408.51999999955 439561.7120000012, 84449.54500000179 439460.3830000013, 84449.57899999991 439460.29100000113)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.103,-1.96,,,"LINESTRING (83872.01300000027 440844.0949999988, 83928.49399999902 440719.66899999976, 83964.10399999842 440638.84699999914, 83993.34600000083 440566.47300000116, 84057.48800000176 440386.7270000018, 84059.65900000185 440380.99500000104)"
