Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-communicatie
Martijn Vroemen Organisatieadvies;;;;;1;;1
Maxlead Services;2;;;;;;2
Measuremail;4;;;;;;4
MEC mediabureau;1;;;;;;1
MediaCom b.v.;1;;;;;;1
Mediageniek;2;;;;;;2
Metrixlab;1;;;;;;1
Mies Tekst en Training;2;;;;;;2
Mirte Da Ponte;1;;;;;;1
MOA Markt Onderzoek Associatie;;1;;;;;1
Morgenstond Drukkerij;;;;;;1;1
MT Abonnementenland;;1;;;;;1
Multicopy (incl. Andre Cossee);1;;;;;;1
Nationale Beeldbank;1;;;;;;1
NDC Mediagroep;;1;;;;;1
Netprofiler;2;;;;;;2
Nevi/Neho;;1;;;;;1
NIBHV Nederlands instituut voor bedrijfshulpverlening;;1;;;;;1
NIMA - Nederlands Instituut voor Marketing;;1;;;;;1
Noise;6;;;;;;6
Novagraaf Nederland;1;;;;;;1
Novum Foto;;;;;;1;1
NPO Nederlands Publiek Omroepbestel;2;;;;;;2
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);;;;1;;;1
OBT - Opmeer/De Bink/Tds - Boekdruk;1;;;;;;1
Ogilvy Groep;1;;;;;;1
Ordina (incl. Be Value, Clockwork);7;;;;;;7
P.A.T.M. Grijpma;;;;;;1;1
P.W. Akkerman Vulpenspeciaalzaak;;;;1;;;1
Paris Uitgeverij;;1;;;;;1
PBLQ (HEC, ROI, Zenc);1;;;;;;1
PGGM;;;;;1;;1
Pix Software Benelux;1;;;;;;1
Primera;;1;;;;;1
Prisma;;;;;;1;1
Prof.Mr. B.M. Teldersstichting;;1;;;;;1
Profotonet;;;;;;1;1
Radio 10 Gold;2;;;;;;2
Radio 538;4;;;;;;4
RadioCorp B.V.;2;;;;;;2
Redrum Bureau;3;;;;;;3
Reijnders Advies & Ontwikkeling;;;;;1;;1
Renaissance Antiquariaat;;1;;;;;1
Rene Verleg Fotografie;1;;;;;;1
Roorda Jan Reclamebureau;7;;;;;;7
RTL Nederland;7;;;;;;7
Ruigrok/Netpanel;2;;;;;;2
SBS;6;;;;;;6
SBS Veronica/Jetix;4;;;;;;4
Schinkelshoek Communicatie;1;;;;;;1
Schwandt Infographics;;;;;;1;1
Servitect;;1;;;;;1
Simone Langeweg Tekst- en Communicatieadvies;;;;;;1;1
Sky Radio;4;;;;;;4
Slam!FM;1;;;;;;1
SMO - Stichting Maatschappij en Onderneming;;1;;;;;1
Snelpas Business Service;;;;1;;;1
Soundfocus;4;;;;;;4
Starcom Nederland;4;;;;;;4
STBY;1;;;;;;1
Ster Airconditioning;2;;;;;;2
Stg Boekman;;1;;;;;1
Stichting Reclame Code;1;;;;;;1
Stroom;1;;;;;;1
Studio A Mediamelange;4;;;;;;4
Studio Daniels;;;;;;1;1
SVGB - kenniscentrum beroepsonderwijs bedrijfsleven;;;;1;;;1
Swets Info Services (incl. Blackwell, Zeitlinger);;1;;;;;1
SWOCC;;1;;;;;1
Taalstrategie Commuicatie en Framingadvies;;;;;1;;1
Taat & De Regt;;;;2;;;2
Tabula Rasa;;;;;1;;1
Tam Tam;;;;;;2;2
Textcetera;;;;;;1;1
The Colour Kitchen;;;;1;;;1
The Eriskay Connection;;1;;;;;1
The Printer Copyservice;;;;;;1;1
Tijdschrift De Helling;;1;;;;;1
TNS-NIPO;6;;;;;;6
To Remind You;;;;;1;;1
Tolenaar Paul Fotografie;;;;;;1;1
Tonco Modderman;1;;;;;;1
Toolkit Visuele Communicatie;;;;;1;;1
Trifork vh Orange11 vh Dutchwork/JWT;3;;;;;;3
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;;;;1;;1
Ubachs Wisburn/JWT Amsterdam;6;;;;;;6
UMP Research;;;;;;1;1
Uniquole;;1;;;;;1
Universal Media B.V.;1;;;;;;1
University Press Amsterdam;;2;;;;1;2
Utz verzendantiquariaat;;1;;;;;1
Valerie Kuypers Fotografie;;;;;;1;1
Validators;1;;;;;;1
Valsplat Usability Onderzoek;2;;;;;;2
Van Latesteijn Consultancy;;;;;;2;2
Van Vlier Media;2;;;;;;2
VanenVoor.nl;;;;;1;;1
vanSvision;;;;;1;;1
Veen Magazines;;1;;;;;1
Veldkamp Mediaonderzoek, Marktonderzoek;3;;;;;2;4
Veronica Uitgeverij;4;;;;;;4
Vertaalbureau Perfect;;;1;;;;1
Villamedia;1;;;;;;1
Vizi;;;;;1;;1
W.J. van Hoogstraten Boekhandel;;1;;;;;1
Warung Ventje;;;;1;;;1
Weekblad De Groene Amsterdammer;;1;;;;;1
Weekbladpers Tijdschriften;;1;;;;;1
Wefilm;1;;;;;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;1;;;;;1
Westmedia Production;3;;;;;;3
WhiteBoxing;;;;;1;;1
Wijnheeren Rijswijk;;;;1;;;1
Wijnkoperij De Gouden Ton;;;;1;;;1
Wit Communicatieadviseurs;;;;;1;;1
Wolters Kluwer (incl. Kluwer);;1;;;;;1
Wouter Eizenga;;;;;1;;1
Xillio;4;;;;;;4
Xpressimages;;;;;;1;1
Zuidema Bureau;;;;;2;;2
Eindtotaal;9;4;2;4;3;5;9
