Leveranciers;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;Eindtotaal
Instituut voor Tropische Geneeskund;1;;;;;;1
Instrument Solutions Benelux B.V.;;1;;;;;1
Int. Union Against Tuberculosis;;;;;1;;1
Integrated DNA Technologies Germany;;1;;;;;1
Interscience B.V.;;1;4;;;;4
Intervax LTD.;;;;;;3;3
Inventech Benelux B.V.;;;1;;;;1
ionBench;;1;;;;;1
ISACert Nederland;3;;;;;;3
Isogen Life Science B.V.;;2;1;;;;2
Ixo-Group B.V.;;;1;;;;1
Jacob Bijsterbosch;;;;;1;;1
Joint Analytical Systems Benelux B.V.;;1;;;;;1
JPT Peptide Technologies GmbH;1;;;;;;1
Jungheinrich Nederland B.V.;;;1;;;;1
Kalibra International B.V.;;1;2;;;;2
Kiwa Nederland B.V.;;;;;2;;2
Kiwa VERIN B.V.;4;;;;3;;5
Klaus-G. Steinhauser;;;;;2;;2
KNMP Holding B.V.;1;;;;2;;2
Koel en Airco Service KAS;;;1;;;;1
Koninklijke van der Most B.V.;;;;;;1;1
KPN B.V.;;;;;;7;7
Kramer One Health Consultancy;;;;;1;;1
Kruizinga B.V.;;1;;;;;1
KU Leuven Research & Development;;;;;1;;1
Kwink Groep B.V.;;;;;2;;2
KWR Water B.V.;;;;;3;;3
Lab FS;;;1;;;;1
LabBio Technology B.V.;;1;1;;;;1
LabID Technologies B.V.;;1;;;;;1
Labkoo;;1;;;;;1
LBP Sight B.V.;;;;;2;;2
Leica Microsystems B.V.;;;2;;;;2
Lentzeneering B.V.;;;;;1;;1
Level Acoustics & Vibration B.V.;;;;;1;;1
LGC Standards;;1;;;;;1
LievenseCSO Milieu B.V.;4;;;;;;4
Life Technologies International B.V.;;3;4;;;;4
Lijn43;;;;;1;;1
Linde Gas Benelux B.V.;;1;;;;;1
Linq Europe Limited;;;;;;2;2
List Biological Laboratories, Inc;;1;;;;;1
Lonza Sales Ltd;;1;2;;;;2
M.T. Diagnostics Nederland B.V.;;2;;;;;2
M+P, raadgevende ingenieurs B.V.;;;;;3;;3
Maatsch. Artsen Microbiologen Brabant/Zeeland;;;;;1;;1
Maatschap Oogartsen Jeroen Bosch Ziekenhuis;1;;;;2;;2
Maatschap Radiologie Orbis Medisch Centrum;;;;;1;;1
Malsch Technovaluation;;;;;2;;2
Malvern Medical Developments;;1;;;;;1
Mannen met plannen;;;;;2;;2
Manutan B.V.;;2;;;;;2
MARIN Asia B.V.;;;;;3;;3
Marketresponse Nederland B.V.;;;;3;;;3
Marleen van Amersfoort;;;;;2;;2
MCS Diagnostics B.V.;;1;;;;;1
Meander Medisch Centrum;;;;;1;;1
Mechatronics Instruments B.V.;;1;;;;;1
Mediaproducts B.V.;;1;;;;;1
Medical University of Vienna;1;;;;;;1
Mediphos Medical Supplies B.V.;;3;2;;;;4
Mediq Medeco;;1;;;;;1
Medische Biobank Noord-Nederland B.V.;;;;;2;;2
Medizinisches Labor Bremen GmbH;;;;;1;;1
Meetpunt Kwaliteit B.V.;;;;;1;;1
Membrapor AG;;1;;;;;1
MERCK Chemicals BV;;1;2;;;;2
Merck Sharp & Dohme B.V.;;;;;;7;7
Messer B.V.;;2;;;;;2
Metrohm Applikon;;1;1;;;;1
Mettler-Toledo B.V.;;1;3;;;;3
MHRA NIBSC Health Protection Agency;;1;;;;;1
Michigan State University;;;;;1;;1
Middin;;;;;;1;1
MIDI, Inc.;;1;;;;;1
Miele Nederland B.V.;;1;1;;;;1
Miltenyi Biotec B.V.;;2;1;;;;2
Minigrip;;1;;;;;1
MLS B.V.;;2;;;;;2
Moritz Fuchs Elektronik;;1;;;;;1
Motivaction International B.V.;;;;;2;;2
MSA Nederland B.V.;;1;1;;;;1
MSB VC Dermatologie;;;;;1;;1
MTSA Technopower B.V.;;;1;;;;1
Mylan B.V.;;;;;;7;7
Nationaal MS Fonds;;;;;;1;1
Nationale Dierenapotheek B.V.;;;;;1;;1
Nederland Sales & Service B.V.;;1;;;;;1
Nederlands Huisartsen Genootschap;;;;;2;;2
NEMO Science Museum;;;;;1;;1
Netherlands Institute for Neuroscience;;;;;2;;2
NewConic B.V.;;;;;7;;7
NHS Lothian;1;;;;;;1
Nikon Europe B.V.;;;1;;;;1
Nipak Verpakkingen;;1;;;;;1
NIVEL Nat. Instituut voor Beleidsonderz.;1;;;;4;;4
NIWA National Institute of Water & Atmospheric Research Ltd;;;5;;;;5
NovaVeth B.V.;;2;;;;;2
Noviprint B.V.;;1;;;;;1
NRG Petten;;;4;;3;;4
NS Reizigers B.V.;;;;;;1;1
NVMM;;;;;1;;1
O&M-Movianto Nederland B.V.;;;;;;3;3
Odura advies en projecten B.V.;;;;;2;;2
Olympus Nederland B.V.;;1;1;;;;1
Omegam Water B.V.;2;;;;1;;2
Omni Life Science GmbH & Co. KG;;1;;;;;1
One Stop Arbo;;;;;2;;2
Onestopsourcing B.V.;;;;;;2;2
Opier Communicatie B.V.;;;;;1;;1
Orly Pharma B.V.;;1;;;;;1
Oxford Nanopore Technologies, Ltd. (USD);;2;1;;;;2
Oxility B.V.;;;1;;;;1
Oxoid;;3;;;;;3
Palintest Ltd;;1;1;;;;1
Panasonic Biomedical Sales Europe B.V.;;1;1;;;;1
PantaMedia B.V.;;;;;1;;1
Panteia B.V.;;;;4;;;4
Partners4UrbanWater;;;;;2;;2
Pathologie-DNA B.V.;;;;;1;;1
PBLQ B.V.;;;;;2;;2
Pe Beleids- en Organisatie Advies;;;;;2;;2
Pepscan Presto B.V.;1;1;;;;;2
PerkinElmer Nederland B.V.;5;5;3;;;;6
Peutz BV (voor alle vestigingen);;;;;2;;2
Pfizer B.V.;;;;;;7;7
Phenomenex B.V.;;1;;;;;1
Philip George Sayre;;;;;1;;1
Philips Electronics China B.V.;;;;;2;;2
Piezomechanik GmbH;;;1;;;;1
Pinext;;;;;1;;1
PLoS Author Billing Public Library of Science;;;;;1;;1
Pluriform;1;;;;2;;2
Poel Amsterdam;;;1;;;;1
Poly Temp Scientific;;;1;;;;1
Poolster B.V.;;;1;;;;1
POSG Professionals B.V.;;;;;1;;1
PostNL Data Solutions B.V.;;;;;;1;1
ProCare B.V.;;1;1;;;;1
Prof. Dr. Wim Derksen;;;;;2;;2
Promega Benelux B.V.;;2;2;;;;2
Prosense B.V.;;;1;;;;1
Protinus IT B.V.;;1;1;;;;1
Provecho B.V.;3;;;;1;;3
PROXY Laboratories B.V.;1;;;;;;1
PTV Holding B.V.;2;;;;1;;2
Public Health England NANO;1;1;;;;;1
Public Health England Sterling (alle vestigingen);;1;;;1;;1
Qiagen Benelux B.V.;;4;1;;;;4
Qlip;;;;;2;;2
QSMI Queen Saovabha Memorial Institute;;;;;;1;1
Quality Control for Moleculair Diagnostics (QCMD) Kelvin campus;1;;;;;;1
Quelsa B.V.;1;1;;;1;;1
Rae Benelux B.V.;;;1;;;;1
RAV Hollands Midden;;;;;1;;1
REM COnsultancy;;;;;2;;2
Resiluta;;;;;1;;1
Resultat;;;;;1;;1
Retomed Health B.V.;;1;;;;;1
Risk Service Providing Verzekeringen B.V.;;;;;;1;1
Rocete B.V.;;;;;2;;2
Roche Diagnostics Nederland B.V.;;4;2;;;;5
Roche Nederland B.V.;;;;;;1;1
Rovers Medical Devices B.V.;;1;;;;;1
RPS advies- en ingenieursbureau B.V.;;;;;3;;3
Ruben Verhaaf Software-Architect & Developer;;;;;2;;2
Ruigrok NetPanel;;;;2;;;2
S A V P;;;;;;2;2
Saltro Diagnostic and Medical Services B.V.;4;;;;2;;4
Sanbio B.V.;;3;;;;;3
Sanitas-Water;;;;;1;;1
sanofi-aventis Netherlands B.V.;;;;;;7;7
Sanquin Bloedvoorziening Bloedbank;1;1;;;;;1
Sanquin Blood Supply Foundation;;1;;;;;1
Sanquin Diagnostiek B.V. i.o.;1;;;;2;;2
Sarstedt B.V.;;1;;;;;1
Sartorius Stedim Biotech GmbH;;2;;;;;2
Scala Scientific;;1;;;;;1
Schevers Schalkwijk BV Carrosseriebedrijf;;;1;;;;1
Schiltknecht Messtechnik AG;;;1;;;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;1;;1
Science Business Support;;;;;2;;2
Science In Action B.V.;;;;;1;;1
Screening Devices B.V.;;1;;;;;1
Sdu Klantenservice;;1;;;;;1
Sebia Benelux SCS;;1;;;;;1
Seqirus (Australia) Pty Ltd;;;;;;1;1
Seqirus (Australia) Pty Ltd.;;;;;;2;2
Sheffield Teaching Hosp. NHS Trust UK Neqas;;1;;;;;1
Shimadzu Benelux;;2;1;;;;2
Siemens Healthcare Nederland B.V.;;1;;;;;1
Siemens Industry Software B.V.;;1;;;;;1
Sigma-Aldrich Chemie N.V.;;2;;;;;2
Sintec B.V.;;1;2;;;;2
SIROSS;;;;;1;;1
SMARTmv;;;;;3;;3
Smeba Brandbeveiliging B.V.;;;1;;;;1
SNR Schouten & Nelissen Recovery B.V.;;;;;;1;1
Soa Poli-Online;;;;;2;;2
Som Milieutechniek;;;;;2;;2
Sphaero Q;;1;;;;;1
Spherotech Inc.;;1;;;;;1
St Beheer Derdengelden Groenendijk & Kloppenburg;;;;;;1;1
St.Patientenzorg Nederlands Kanker Instituut;;;;;2;;2
Stago BNL B.V.;;1;1;;;;1
Start People B.V.;;;;;;1;1
STAXS The Netherlands;;1;;;;;1
Stby B.V.;;;;;2;;2
Steriservice Nederland;;;1;;;;1
Stg. Fds. voor het Dove en Slechthorende Kind;;;;;1;;1
Stg. Greenh. & Waterfr. Inst. Soc. Probl;;;;;1;;1
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;1;;1
Stg. Steunfds. Ziekenhuis Canisius-Wilhelmina;;;;;1;;1
Stg. Streeklab. v.d. Volksgezondh. Kennemerl.;2;;;;4;;4
Stg. Vr. van het Laurentius Ziekenh. Roermond;1;;;;;;1
Sticht. Administr.kant. Management Intomart;;;;3;;;3
Sticht. ISSTDR Conference Support Foundation;;;;;3;;3
Sticht. Post Hoger Onderwijs Veiligheidskunde;;;;;1;;1
Stichting Administratiekantoor Kropman;;;3;;;;3
Stichting Atrium Medisch Centrum Stichting GOZL;;;;;1;;1
Stichting Beheer Derdengelden Mr. I. Bakker;;;;;;1;1
Stichting Bureau Beroepsziekten FNV;;;;;1;;1
Stichting Centerdata;;;;2;2;;3
Stichting Deltares;2;;;;2;;2
Stichting Derdengelden advocatenkantoor Meijer;;;;;;1;1
Stichting Fonds Instituut Clingendael;;;;;2;;2
Stichting Gynaecongres;;;;;1;;1
Stichting Health Base;;;;;2;;2
Stichting Informatie Voorziening Zorg;;;;;1;;1
Stichting Isala Klinieken;7;;;;;;7
Stichting Kwaliteitsbewaking Ziekenhuislaboratoria;1;;;;;;1
Stichting Lygature;;;;;2;;2
Stichting Milieu Centraal;;;;;2;;2
Stichting MOVISIE;;;;;1;;1
Stichting Nova Zorggroep;;;;;;1;1
Stichting Onderzoek Medisch Centrum Alkmaar;;;;;1;;1
Stichting ONE WORLDcitizens;;;;;1;;1
Stichting PACT p/a MUMC, afd. KNO-AC;;;;;1;;1
Stichting Saltro;;;;;2;;2
Stichting Stimezo Groningen;;;;;;1;1
Stichting Utrecht Science Park;;;;;1;;1
Stichting VZZ zoogdiervereniging;;;;;1;;1
Stichting W.J.H. Mulier Inst., Sportonderzoek;;;;;2;;2
Strak grafische realisatie & apple systeembeheer;;;;;;1;1
Stralingsupport BV;;;;;1;;1
Stratec Services B.V.;;;1;;;;1
Stroomt Holding B.V.;;;;;1;;1
Studio Zoetekauw;;;;;1;;1
Swansea University Prifysgol Aberta Department of Research;;;;;2;;2
Synergy Health Ede B.V.;;;;;;2;2
Sysmex Nederland B.V.;;;3;;;;3
T&T Compet&t.b.v.;;;;;;1;1
T. Fast Advies;;;;;2;;2
T. Service;;;1;;;;1
Tabula Rasa B.V.;;;;;1;;1
Takara Bio Europe SAS;;1;;;;;1
Tauw B.V.;4;;;;2;;4
Tebu Bio B.V.;;1;;;;;1
Tecan Benelux B.V.B.A.;;1;1;;;;2
Techn. Advies- en Handelsburo J.J. Bos B.V.;;;3;;;;3
TECHNICAL UNIVERSITY OF DENMARK DTU;;;;;2;;2
Technische Unie B.V.;;1;1;;;;2
Technologie stichting STW;;;;;2;;2
Technolution B.V.;;;;;2;;2
Tecnilab-BMI B.V.;;1;2;;;;2
Telegrootgebruik B.V.;;;1;;;;1
Tensen & Nolte Infectiepreventie B.V.;;;;;2;;2
Teva Nederland B.V.;;;;;;1;1
The Baker Company Benelux B.V.;;1;4;;;;4
Thermo Fisher Scientific B.V.;;1;5;;;;5
Thermo Onix Ltd.;;;1;;;;1
TNO B.V.;3;;;;7;;7
TNS Nipo B.V.;;;;3;;;3
Today Designers B.V.;;;;;1;;1
Toxikonsult;;;;;1;;1
Tpf Control B.V.;;;1;;;;1
Transposafe Systems;;1;;;;1;1
Trimbos Instituut;;;;;4;;4
Triple P Nederland B.V.;1;;;;;;1
Triptic B.V.;;;;;2;;2
Triskem International SAS;;1;;;;;1
Tritium Microbiologie B.V.;;1;;;;;1
Tuinstra Kennisadvies;;;;;1;;1
U-Cytech B.V.;;1;;;;;1
Universidad Nacional Autonoma de Mexico;;;;;2;;2
University College London;;;;;2;;2
University of Chemistry and Technology;;;;;2;;2
University of Florida Conference Department;;;;;1;;1
V.O.F. Ooms;;;;;1;;1
Valcom Compliance and Validation B.V.;;;1;;;;1
Van der Laan, Gryglicki & Partners B.V.;;;;;2;;2
Van Swinden Laboratorium;;1;1;;;;2
VCK Logistics Airfreights bv;;;;;;2;2
VCMI N.V.;;;2;;;;2
Veiligheidstechniek Nederland B.V.;;;1;;;;1
Veip B.V.;;1;;;;;1
Veolia Water Technologies Netherlands B.V.;;;1;;;;1
Verenso;;;;;1;;1
Verhaar Gebeko;;;2;;;;2
Verpleegkundigen & Verzorgenden Nederland;;;;;1;;1
Verspoor Advies B.V.;;;;;1;;1
Vicrea Solutions B.V.;;;;;1;;1
VieCuri Medisch Centrum voor Noord-Limburg;1;;;;;;1
Vinitex Laboratoriuminrichtingen B.V.;;1;;;;;1
Vink Lisse B.V.;;1;;;;;1
VINS Bioproducts Limited;;;;;;1;1
Vito;;;;;3;;3
Vitrex Medical a/s;;1;;;;;1
VITROCELL Systems GmbH;;;4;;;;4
Vodafone Libertel B.V.;;;;;;1;1
VSParticle B.V.;;;2;;;;2
VVE Aucubastraat 82/84 Den Haag;;;;;;2;2
VWR International B.V.;;7;2;;;;7
Waag Society;;;;;1;;1
Wageningen Plant Research;;;;;5;;5
Wageningen Research Holding B.V.;;;;;5;;5
Wagtech Projects;;1;;;;;1
Waterrecreatie Advies B.V.;;;;;1;;1
Waters Chromatography B.V.;1;1;2;;;;2
Weerspecialist;;;1;;;;1
Werfen B.V.;;1;1;;;;1
Westburg B.V.;;1;1;;;;2
White Queen B.V.;;;;;4;;4
WHO World Health Organization Research on Cancer;;;;;1;;1
Wilten Instrumenten;;;1;;;;1
Windunie Development Bommelerwaard B.V.;;;;;1;;1
