Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Balans & Impuls B.V.;;;2;;2;;;;;3
BAMR B.V.;;;;;;1;;;;1
Banketbakkerij Boheemen;;;;1;;;;;;1
Banketbakkerij Borgman;;;;1;;;;;;1
Banketbakkerij De Kruyter;;;;1;;;;;;1
Banketbakkerij Firma Jullens;;;;1;;;;;;1
Banketbakkerij Jan de Groot;;;;1;;;;;;1
Banketbakkerij Jansen-de Koning;;;;1;;;;;;1
Banketbakkerij M.J. van Beek;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
Banketbakkerij Plasman;;;;1;;;;;;1
Banketbakkerij Rijkhoff B.V.;;;;1;;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;;1;;;;;;1
Bar de Molen;;;;1;;;;;;1
Bar de Rode Haan;;;;1;;;;;;1
Bar Le Duc;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;;1;;;;;;1
Barbacoa;;;;1;;;;;;1
Barbeque Catering Jan Aerdts;;;;1;;;;;;1
Barcelo Congresos;;;;;;1;;;;1
Barcelona Graduate School of Econom;;;;;;1;;;;1
Barry`s Catering;;;;1;;;;;;1
Bart Flos Veranderadvies;;;;;;1;;;;1
Bart van Doesburg Consultancy B.V.;1;;;;;;;;;1
Bartelink Audit B.V.;;;;;;1;;;;1
Basis E markt Groothandel;;;;1;;;;;;1
BASIS ONTWERP;;;;;;1;;;;1
Bastion Holding B.V.;;;;1;;1;;;;1
Bastion Hotel Rijswijk B.V.;;;;1;;;;;;1
Bax-shop.nl B.V.;;;1;;;;;;;1
BBWC B.V.;;;;1;;;;;;1
Bdankt;;;;5;;;;;;5
Bea Crouwers Coaching;;;;;;1;;;;1
BEEK TER;;;;1;;;;;;1
Beeldbalie;;;;;;1;;;;1
Beergarden;;;;1;;;;;;1
Beheer- en Exploitatiemaatschappij;;;;;;2;;;;2
Behr Groep Nederland B.V.;;;;;;1;;;;1
Belarto Nederland BV;1;;;;;;;;;1
Beleef Kwintsheul;;;;2;;;;;;2
Belgisch Biercafé Olivier B.V.;;;;1;;;;;;1
BeMotion;;;;;;1;;;;1
Ben van der Heiden Optiek Tholen B.V.;;;1;;;;;;;1
BenS Colors;;;;1;;;;;;1
Beratung Technologie Business serv.;;;;;;1;;;;1
Berenschot Groep B.V.;;;;;;1;;;;1
Berenschot Interim Management B.V.;;;;;;2;;;;2
BERGER CAFE;;;;1;;;;;;1
Berghauser Pont Academy;;;;;;1;;;;1
Berghauser Pont Academy B.V.;;;;;;1;;;;1
BERKEL PROJECTONTWIKKELING BV;;;;;;;;1;;1
BERKENPLAS DE VOF;;;;1;;;;;;1
Berlage meet and workspace B.V.;;;;;;2;;;;2
Beroepsopleiding Makelaars B.V.;;;;;;1;;;;1
Beroepsorganisatie Nederlandse Ontwerpers;;;;;;1;;;;1
Beroepsvereniging Vide;;;;;;1;;;;1
Bert Hellinger Instituut Nederland;;;;;;1;;;;1
best value people;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;1;;;;1
Beta-Guard B.V.;;;;;;;1;;;1
Betty Asfalt produkties bv;;;;1;;;;;;1
Betty Wijntjes;;;;;;1;;;;1
Beukeveld;;;;1;;;;;;1
Beulings;;;;1;;;;;;1
BEURS VAN BERLAGE CV;;;;4;;;;;;4
Bezoekerscentrum De Baeckermat;;;;1;;;;;;1
Bickers aan de Werf B.V.;;;;;;1;;;;1
Biercafe, Rest., Vak.bungal. 'De Roestelberg';;;;1;;;;;;1
BIERRECLAME MUSEUM;;;;1;;;;;;1
Bierspeciaal Cafe De Paas;;;;1;;;;;;1
Bij Petrus;;;;1;;;;;;1
BIJ TANTE;;;;1;;;;;;1
Bij Wil eten en drinken;;;;1;;;;;;1
bijHanz B.V.;;;;;;;1;;;1
BijzonderStrafrecht B.V.;;;;;;2;;;;2
Bilderberg Hotel De Klepperman;;;;;;1;;;;1
Bilderberg Residence Groot Heideborgh;;;;;;1;;;;1
Binnenzaken VOF;;;;;1;;;;;1
Binn'npret;;;;1;;;;;;1
Bisnez Management B.V.;;;;;;2;;;;2
BISON BOWLING HAARLEM BV.;;;;1;;;;;;1
Bistro 2.53;;;;1;;;;;;1
Bistro Bootsma;;;;;;1;;;;1
Bistro de Kruidentuin;;;;1;;;;;;1
Bistro De Rotonde;;;;1;;;;;;1
Bistro Het Koetshuis Enschede B.V.;;;;1;;;;;;1
Bistro LUF;;;;1;;;;;;1
Bistro 't Kannetje B.V.;;;;1;;;;;;1
Bistrot Centraal Utrecht;;;;1;;;;;;1
Bistro-zalen't Zwaantje;;;;1;;;;;;1
Bizzdesign Consultancy B.V.;;;;;;4;;;;4
BK Siroopwafels B.V.;;;;1;;;;;;1
BKFF bas kijzers fotografie en film;;;;1;;1;;;;2
Blad Truck- & Autobusopleidingen;;;;;;2;;;;2
Bloc B.V.;;;;;;1;;;;1
Bloeiing;;;1;;;;;;;1
Bloem- en Tuincentrum Van der Maat B.V.;;;;1;;;;;;1
Bloembinderij van der Maat;;;;1;;1;;;;1
Bloemenhuis Jan Schuiten;;;;1;;;;;;1
Bloemenland;;;;1;;;;;;1
Bloemententoonstelling Keukenhof B.;;;;2;;;;;;2
Bloemisterij 'Melia';;;;1;;;;;;1
Bloemisterij Pasmans;;;;1;;;;;;1
Bloemsierkunst Daan Meurs;;;;1;;;;;;1
Bloemsierkunst De Klerk B.V.;;;;1;;;;;;1
BlomBerg Society B.V.;;;;;;1;;;;1
blooming trainingsbureau B.V.;;;;;;1;;;;1
Bloomingdale Beach;;;;1;;;;;;1
BLOSSOM bloemisterij;;;;1;;;;;;1
Blue Luna B.V.;;;;;;1;;;;1
Bluescafe Apeldoorn B.V.;;;;1;;;;;;1
BM HORECA VOF;;;;1;;;;;;1
BME Opleidingen B.V.;;;;;;1;;;;1
Bo & Ro;;;;1;;;;;;1
BOEKETCADEAU.NL;;;;1;;;;;;1
Boerengoed;;;;1;;;;;;1
BOERINN DE B.V.;;;;2;;;;;;2
BOERKE MUTSAERS;;;;1;;;;;;1
Boers Opticien - Optometrist;;;1;;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;;2;;;;2
Bofit Burnout begeleiding en Stressmanagement;;;;;1;;;;;1
bol.com B.V.;;;;;;1;;;;1
Bolletjescafé de Klok;;;;1;;;;;;1
Bombay Palace;;;;1;;;;;;1
Bonusan B.V.;;;;;;1;;;;1
Boogh Arbeidsre-integratie;;;1;;1;;;;;1
Boomsma Distileerderij /wijnkoperij;;;;1;;;;;;1
Boosty I B.V.;;;;1;;;;;;1
bootje varen Breda;;;;1;;;1;;;1
BORGERSWOLDHOEVE;;;;1;;;;;;1
Bos Training & Consultancy B.V.;;;;;;1;;;;1
BOS Training en Coaching;;;;;;1;;;;1
BOSKAP HET;;;;1;;;;;;1
Bosma Direct Marketing Consultancy;;;;;;1;;;;1
Bosscha BV;;;;;;1;;;;1
Boterhal;;;;1;;;;;;1
Boterham Express B.V.;;;;;;1;;;;1
BOTERWAAG DEN HAAG BV;;;;1;;;;;;1
Bouchon d'en FACE Maestricht VOF;;;;;;;1;;;1
Boudewijn European Affairs;;;;;;2;;;;2
Boulevard Hotel/Renaissance Aruba R;;;;;;2;;;;2
Boulevardtrein;;;;1;;;;;;1
Bounz Enschede;;;;1;;;;;;1
BOURGONDIER DE GRAND CAFE HOTEL;;;;1;;;;;;1
Boutique Hotel Quartier du Port;;;;;;;;;1;1
BOVO TOURS BV;;;;1;;;;;;1
Bowa Sportprijzen en Relatiegeschenken;;;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;;1;;;;;;1
Bowling Administratie;;;;1;;;;;;1
Bowling Centrum De Zedde;;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
Bowling&Resto-Laounge Bergen op Zoo;;;;1;;;;;;1
Box5;;;;1;;;;;;1
Brain Box Mediatraining B.V.;;;;;;2;;;;2
Brasserie Anvers;;;;1;;;;;;1
Brasserie Brothers;;;;1;;;;;;1
Brasserie De Boerderij;;;;1;;;;;;1
Brasserie de Nieuwe Baan HMDS behee;;;;1;;;;;;1
Brasserie De Pastorie;;;;1;;;;;;1
Brasserie de Waag / 't Smelnehûs;;;;1;;;;;;1
Brasserie De Witte;;;;1;;;;;;1
Brasserie de Zeezot;;;;1;;;;;;1
Brasserie Effe;;;;;;;1;;;1
Brasserie Goya;;;;1;;;;;;1
Brasserie Hermes B.V.;;;;2;;;;;;2
Brasserie 'Het Vliegerhuys';;;;;;;1;;;1
Brasserie Jansen;;;;1;;;;;;1
Brasserie Kolkzicht;;;;1;;;;;;1
Brasserie La Maison;;;;;;;1;;;1
Brasserie Lodge Visdonk;;;;1;;;;;;1
Brasserie Midi;;;;1;;;;;;1
Brasserie Ome Bernard;;;;1;;;;;;1
Brasserie Sequenza;;;;1;;;;;;1
Brasserie 't oude Raadhuis;;;;1;;;;;;1
Brasserie 't Raethuys;;;;1;;;;;;1
Brasserie 't Zusje;;;;1;;;;;;1
Brasserie 't Zusje Apeldoorn BV;;;;1;;;;;;1
Brasserie The Wing;;;;1;;;;;;1
Brasserie van den Berg;;;;1;;;;;;1
Brasserie Vrienden;;;;;;;1;;;1
Brasserij De Bergerrie;;;;1;;;;;;1
BRB Sound;;;;;;1;;;;1
Break Free Fun Company;;;;1;;;;;;1
Bridge2learne;;;;;;1;;;;1
Bright Events;;;;1;;;;;;1
Briljantnet;;;;;;1;;;;1
Brilmij Groep B.V.;;;1;;;;;;;1
BrixXo Office Furniture B.V.;;;;;;1;;;;1
Broers;;;;1;;;;;;1
Brofa V.O.F.;;;;1;;;;;;1
BRONSBERGEN FORT;;;;1;;;;;;1
Broodje Gesmeerd;;;;;;;1;;;1
Broodjes Express Zwolle;;;;;;;1;;;1
Broodjeszaak 't Bolletje;;;;1;;;;;;1
BR-Platform Nederland;;;;;;1;;;;1
Bruins Inkoopadvies;;;;;;1;;;;1
Bruisend en Nieuw;;;;1;;;;;;1
Brussee Van Dun & Partners;;;;;;3;;;;3
BRUT Food & Wine Bar;;;;1;;;;;;1
BSA Schaderegeling B.V.;2;;1;;1;;;;;3
BSE VERKOOP EN VERHUUR LICHT/GELUID;;;;1;;;;;;1
Buchwerk GmbH;;;;;;1;;;;1
Buena Vista Beach Club B.V.;;;;1;;;;;;1
Buggyride Veluwe;;;;1;;;;;;1
Buitengoed de Uylenberg;1;;;;;;;;;1
Buitengoed Slavante;;;;1;;;;;;1
Buitensport Schiermonnikoog;;;;1;;;;;;1
Bullit House;;;;1;;;;;;1
Bumbu Bali;;;;1;;;;;;1
Bundeskriminalamt;;;;;;1;;;;1
Bureau Integriteit B.V.;;;;;;1;;;;1
Bureau Jerry Allon;;;;;;1;;;;1
Bureau Mouton B.V.;;;;;;3;;;;3
Bureau van Dam;;;;;1;1;;;;1
Bureau van Mo;;;;;;1;;;;1
Bureau voor Beeldzaken;;;;;;1;;;;1
Bureau voor Management & ICT Coöperatie UA;;;;;;1;;;;1
Bureau Woordkracht;;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;;3;;;;3
BURGER COACHING & ADVIES;;;;;;1;;;;1
Burgers Arneym B.V.;;;;1;;;;;;1
Burghoorn Trainingen;;;;;;1;;;;1
Buro Rood;;;;;;2;;;;2
buro ROOD Training & Theater;;;;;;2;;;;2
BuroKracht;;;;;;3;;;;3
Business Class Chauffeursdiensten West B.V.;;;;;1;;;;;1
Business Health Treatment;1;;;;;;;;;1
Businessbloemist De Lotus;;;;1;;;;;;1
BVA bond van adverteerders;;;;;;1;;;;1
BVBA Paters Vladje;;;;1;;;;;;1
BVO Opleidingen B.V.;;;;;;2;;;;2
C & F Sporting BV;1;;;;;;;;;1
C.N.B.;1;;;;;;;;;1
C.V. La Galleria-Chicoleo Kijkduin;;;;1;;;;;;1
Cadeau Concepten B.V.;;;;1;;;;;;1
Café - Eetlokaal Het Witte Huis;;;;1;;;;;;1
Café 1900;;;;1;;;;;;1
Café Berentsen;;;;;;;1;;;1
Café Biljart Oald Hengel;;;;1;;;;;;1
Café Boonstra;;;;1;;;;;;1
Café Brasserie Het Heerenhuis;;;;1;;;;;;1
Café de Bank B.V.;;;;1;;;;;;1
Café de Bommel B.V.;;;;1;;;;;;1
Café De Drie Weesgegroetjes;;;;1;;;;;;1
Cafe De Egelantier;;;;1;;;;;;1
Café De Gouden Leeuw;;;;1;;;;;;1
Café De Hamer;;;;1;;;;;;1
Café De Hetebrij;;;;1;;;;;;1
Cafe De Jaren;;;;;;1;;;;1
Café de Kale Jonker;;;;1;;;;;;1
Café de Knip;;;;1;;;;;;1
Café De Kromme Toeter;;;;1;;;;;;1
Café de Nostalgie;;;;1;;;;;;1
Cafe de slijterij;;;;1;;;;;;1
CAFÉ DE SMIDSE;;;;1;;;;;;1
Café De Ster;;;;1;;;;;;1
Café De Vriendschap;;;;1;;;;;;1
Cafe De Zaak;;;;1;;;;;;1
Café DeRat;;;;1;;;;;;1
Café D'n Engel;;;;1;;;;;;1
Café Dudok Hilversum;;;;1;;;;;;1
Café Eisseshof;;;;1;;;;;;1
Café Groothuis;;;;1;;;;;;1
Café Hanneke;;;;1;;;;;;1
Café Het Brandwapen;;;;1;;;;;;1
Café Het Halve Maantje;;;;1;;;;;;1
Café Het Wijnhuis;;;;1;;;;;;1
Cafe J & A Heul Apart;;;;1;;;;;;1
Café Jansen B.V.;;;;1;;;;;;1
Cafe Jour de Fete;;;;1;;;;;;1
Café JP;;;;1;;;;;;1
Café Kachel;;;;1;;;;;;1
Café Kurt Jod;;;;1;;;;;;1
Café Melief Bender;;;;1;;;;;;1
Cafe Partycentrum Hutten;;;;1;;;;;;1
Café Pelt;;;;1;;;;;;1
Cafe Popken;;;;1;;;;;;1
Cafe Purple Pool;;;;1;;;;;;1
Café R. Nijmeijer V.O.F.;;;;1;;;;;;1
Café Restaurant Central B.V.;;;;1;;;;;;1
Café Restaurant Courzand;;;;1;;;;;;1
Café Restaurant De Biechtstoel;;;;1;;;;;;1
Cafe restaurant Land en Zeezicht;;;;1;;;;;;1
Café Restaurant Merz;;;;1;;;;;;1
Café Restaurant Old Dutch;;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;;1;;;;;;1
Cafe Restaurant Van Puffelen;;;;1;;;;;;1
Café Restaurant van Puffelen Café Restaurant;;;;1;;;;;;1
Café Restaurant Van Veen Witten;;;;1;;;;;;1
Café Restaurant Zalen 't Centrum;;;;1;;;;;;1
Café Restaurant Zalencentrum Boshof;;;;1;;;;;;1
Café Samson;;;;1;;;;;;1
Café Singelier;;;;1;;;;;;1
Café Sprakel;;;;1;;;;;;1
café 't Geveltje Hans Ruigrok;;;;1;;;;;;1
Cafe 't Raedthuys;;;;1;;;;;;1
Café ''t Vonderke';;;;2;;;;;;2
Café 't Wapentje van Ens;;;;1;;;;;;1
Cafe Villa Nieuwmarkt;;;;1;;;;;;1
Café Wouters;;;;1;;;;;;1
Cafe zaal Bellevue;;;;1;;;;;;1
Café Zomers & Zomers;;;;1;;;;;;1
Café Zomerzorg;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;;1
Cafe/Restaurant De Zwarte Ruiter;;;;1;;;;;;1
Café-Restaurant Amsterdam B.V.;;;;1;;;;;;1
Café-Restaurant De Boschvijver B.V.;;;;1;;;;;;1
Café-Restaurant De Mol B.V.;;;;1;;;;;;1
Café-Restaurant Dorpszicht;;;;1;;;;;;1
Cafe-Zaal Bergrust;;;;1;;;;;;1
Café-zaal Harmonie;;;;1;;;;;;1
Café-Zalencentrum 'Het Witte Schaap';;;;1;;;;;;1
Café-Zalen-Restaurant Het Onland B.V.;;;;1;;;;;;1
CAMERANU;;;;1;;;;;;1
Camiel Mikily B.V.;;;;1;;;1;;;1
"Camping ""De Duinpan""";;;;1;;;;;;1
Canal Company B.V.;;;;1;;2;;;;2
Canast B.V.;;;;;;1;;;;1
Cantina Italia;;;;;;;1;;;1
Cantina Mexicana B.V.;;;;1;;;;;;1
Capgemini Educational Services B.V.;;;;;;6;;;;6
Capgemini Nederland B.V.;;;;;;2;;;;2
Cappon Coaching & Training;;;;;;1;;;;1
Capricorn Field Productions B.V.;;;;1;;;;;;1
Captain Cook's;;;;1;;;;;;1
Career Solutions;;;;;1;;;;;1
Carlton Ambassador Hotel B.V.;;;;1;;2;;;;2
Carlton Beach Club;;;;1;;1;;;;1
Carolia Amsterdam Hotel B.V.;;;;;;;;;1;1
Caroni;;;;1;;;;;;1
Carpe Diem;;;;1;;;;;;1
Carras Grand Café;;;;1;;;;;;1
CARRE KONINKLIJK THEATER;;;;2;;;;;;2
Carrousel B.V.;;;;1;;;;;;1
Casablanca;;;;1;;;;;;1
CaseWare Nederland;;;;;;1;;;;1
Catch by Simonis;;;;1;;;;;1;1
Cater King van Waas;;;;;;;1;;;1
Catering Aelsmeer;;;;;;;1;;;1
Catering Borne;;;;1;;;;;;1
CBE - Group BV;;;;;;1;;;;1
CEM Productions Unlimited;;;;;;1;;;;1
Centraal Invorderings Bureau;1;;;;;;;;;1
Central Park;;;;1;;;;;;1
Centric Netherlands B.V.;;;;;;2;;;;2
Centric Training;;;;;;7;;;;7
CENTROPA CAFE / RESTAURANT;;;;1;;;;;;1
Centrum de Spiegel;;;1;;;;;;;1
Certus arbo;;;1;;;;;;;1
Chalet Bergrust;;;;1;;;;;;1
Charelli B.V.;;;;1;;;;;;1
Charles Coysh;;;;1;;;;;;1
Charlies V.O.F.;;;;1;;;;;;1
Chassé Theater N.V.;;;;2;;1;;;;2
Chez Dick B.V.;;;;1;;;;;;1
Chin.-Ind. Spec. Restaurant Malakka B.V.;;;;1;;;;;;1
China Access;;;;;;;;;1;1
CHINA FANTASY;;;;1;;;;;;1
China-Garden;;;;1;;;;;;1
Chinees en Wok Restaurant Fong Shou;;;;1;;;;;;1
Chinees Indisch Restaurant Nieuw China;1;;;;;;;;;1
Chinees Indisch Restaurant Sin Jah;;;;1;;;;;;1
Chinees Restaurant Wok Euroborg;;;;1;;;;;;1
Chinees RestaurantParadijs';;;;1;;;;;;1
Chocolatier Ralph Hagen;;;;1;;;;;;1
CIAO ! CIAO !;;;;1;;;1;;;1
CIAO CIAO BV;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;4;;;;4
CIBT NEDERLAND;;;;;;;;;1;1
CIBT Netherlands;;;;;;;;;1;1
CIO Platform Nederland;;;;;;2;;;;2
Ciran Almere B.V.;;;;;1;;;;;1
Circumference Personal & Profession;;;;;;1;;;;1
City Gaming BV;;;;1;;;;;;1
City Lounge Apeldoorn;;;;1;;;;;;1
CKP Producties;;;;1;;;;;;1
Clingendael Advocaten;;;;;;1;;;;1
CLINGENDAEL INSTITUUT;;;;;;1;;;;1
Clipperms.nl;;;;1;;;;;;1
Club Aqua Asia;;;;1;;;;;;1
CM Partners B.V.;;;;;;1;;;;1
CNV Connectief;1;;;;;;;;;1
Coach in' Company;;;;;;1;;;;1
Coaching Ebel Molenaar;;;1;;;;;;;1
CoBegeleiding;;;;;1;;;;;1
COCD;;;;;;1;;;;1
College of Multimedia;;;;;;1;;;;1
Combo Producties;;;;;;1;;;;1
Comfortland;;;1;;;;;;;1
Como & Co;;;;1;;;;;;1
Compacon Zuid Nederland B.V.;;;;1;;1;;;;1
Compagnie IBM France;;;;;;;;;1;1
Compass Group Nederland B.V.;;;;1;;;;;;1
Competence Factory;;;;;;1;;;;1
CompLions B.V.;;;;;;1;;;;1
Compuact Opleidingen;;;;;;1;;;;1
Computrain Opleidingen;;;;;;1;;;;1
Compu'Train Opleidingen B.V.;;;;;;5;;;;5
Comtab;;;;;;1;;;;1
