Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
Asphalia;1;;;;1
ASR Verzekeringsgroep;4;;;;4
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);5;;;;5
Assa Stenman Holland;2;;;;2
Asschat Design;1;;;;1
Assurantiekantoor Limburg;1;;;;1
Atag Nederland;1;;;;1
Atelier Kempe Thill;1;;;;1
Athes Groen;2;;;;2
Atimo Nederland;1;;;;1
ATK Grootkeukentechniek;1;;;;1
Attero (vh Essent Milieu, VAR);1;;;;1
Au Petit Pont;1;;;;1
Auke Rauwerda;1;;;;1
Auto Palace;1;;;;1
Auto Poppe;1;;;;1
Autobedrijf Smit & Co Zwolle;1;;;;1
Automatic Signal Rijsenhout;3;;;;3
Automobielbedrijf OVEKA BV;1;;;;1
Autorent;1;;1;;1
AV Partners;1;;;;1
Avex;2;;;;2
Avri Realisatie;1;;;;1
Avs Welding Services;1;;;;1
AVVH Adviesbureau voor Veilig Voedsel & Hygiene;1;;;;1
Axent Groen B.V.;1;;;;1
Axians;2;;;;2
B&G Hekwerk;1;;;;1
B&S koeltechniek en airconditioning;1;;;;1
B&S Vastgoed Nederland;6;;;;6
B. de Lange Sliedrecht;1;;;;1
''B.V. tot Exploitatie van het Landgoed ''''De Leperkoen'''''';1;;;;1
B+V+ Meubel;;1;;;1
Baars & Bloemhoff;1;;;;1
Bakker & Schnabel Training;1;;;;1
Bakker Groenvoorzieningen en Hoveniersbedrijf;2;;;;2
Bakker Hilvers;1;;;;1
Bakker Installatiebedrijf;1;;;;1
Bakker Professional;1;;;;1
Bakkie Fietsen;1;;;;1
BalkTrade;2;;;;2
Ballast Nedam;1;;;;1
Bam (incl. Interflow);2;;2;;3
Baptist Ijzerwaren&Gereedschappen;1;;;;1
Barbanson;1;;;;1
Bart Strijbosch;2;;;;2
Barten Bouwbedrijf;1;;;;1
Bas - Business Art Service;2;;;;2
Basisfonds Stationslocaties;5;;;;5
Batist Hobbykassen;1;;;;1
Bavak Beveiligingsgroep;2;;;;2
Bax-Shop.nl;1;;;;1
BBK Beheer B.V.;1;;;;1
BCD Travel;;1;;;1
BCN Business Centre Nederland;1;;;;1
BDR Exploitatie B.V.;1;;;;1
Bellevue Groothoofd Hotel Culinair;1;;;;1
Ben De Graaff Project;1;;;;1
Bennis Arnhem;1;;;;1
Ber Huynen BV;1;;;;1
Berkenrode Vastgoed BV;1;;;;1
Berkman Energie;;1;;;1
Berko Wijchen;1;;;;1
Berkx;1;;;;1
Berlicum Aannemersbedrijf;1;;;;1
Bernard Sanders;1;;;;1
Bert Oosterhout;1;;;;1
Bert Regeling;1;;;;1
Bert van der Donk Elektrotechnisch Bureau;1;;;;1
Bert Van Loon Groentechniek B.V.;1;;;;1
Besselink Electro Import;1;;;;1
Best Western Hotels;1;;;;1
Bestratingsbedrijf JP Alberts;1;;;;1
Betaald Voetbal De Graafschap B.V.;1;;;;1
Beurs Rotterdam;2;;;;2
Bewaakt & Bewoond;1;;;;1
Bhv.nl Bedrijfshulpverlening;1;;;;1
Bibliotheek Haarlem centrum;1;;;;1
Bibliotheek Rotterdam;1;;;;1
Bierling-De Schepper;1;;;;1
Biermans Ijzerhandel;1;;;;1
Biesheuvel Groep;1;;;;1
Bijzonder Intern Transport Fa;1;;;;1
Bilderberg Hotels;1;;;;1
Bilfinger (incl. Tebodin, Real Estate);;4;;;4
Biljartfabriek Princesse;1;;;;1
Binder Groenprojecten;2;;;;2
Biobeheer bacteriologisch onderzoeksbureau;1;;;;1
Birza Projectinrichting;2;;;;2
Bis Restaurant;1;;;;1
Blitta;1;;;;1
Bloemen & Plantencentrum Eldorado;1;;;;1
Bloemenhuis De Narcis;1;;;;1
Bloemisterij 'T Molentje;1;;;;1
BM Bert Muller Services;1;;;;1
BMJ Service;1;;;;1
Boels Verhuur (incl. HuurMax);1;;;;1
Boerhof Projectinrichting Heeten;2;;;;2
Bogaart Tuinmeubelspeciaalzaak;1;;;;1
Bol.Com;1;;;;1
Bolk Bestratingen;2;;;;2
Bolk Transport;;;1;;1
Bomefa;;;1;;1
Bo-mij Beheer (incl. Bo-rent);1;;;;1
Boogaard;1;;;;1
Boomkw.-Hoveniersbedrijf Jack Hannen;1;;;;1
Boon Edam Nederland;2;;;;2
Boot Akkrum;1;;;;1
Bos Incasso;1;;;;1
Bos Interieur;1;;;;1
Bos Tuingereedschappen;1;;;;1
Bos Vlaggen;1;;;;1
Bosan;1;;;;1
Bosch (Robert);2;;;;2
Boschhuis Hotel-Café-Restaurant;1;;;;1
Botanico Binnengroen Projecten;1;;;;1
Bouquetterie Fronita;1;;;;1
Bouter;1;;;;1
Bouwhof Groothandel;1;;;;1
Bouwmaat;1;;;;1
BouwMan;1;;;;1
Bouwman-Doorwerth B.V.;1;;;;1
Bouwrijk B.V.;1;;;;1
Boxem Ter Apel;1;;;;1
BPF - Bouwinvest Office Fund;3;;;;3
Brabant Water;;4;;;4
Brady Groupe (incl. Seton, Transposafe);1;;;;1
Brakel Interieurgroep (incl. Anso);;;1;;1
Brand Boomverzorging;2;;;;2
Brand Interieurbouw en Aannemeningsbedrijf;1;;;;1
Breamark Engineering;1;;;;1
Bredenoord Aggregaten;1;;;;1
Breedveld Vouw- en Paneelwanden;1;;;;1
Breevast Vastgoed Exploitatie;2;;;;2
Brehm;1;;;;1
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;1;;;;1
Brenntag;1;;;;1
Breumelhof Bouwbedrijf;2;;;;2
Breur Beveiligingen, Ijzerhandel;3;;;;3
Brinkman Rolluiken;1;;;;1
Brondool;5;;;;5
Bruinsma Hydrokultuur;1;;;;1
Bruls Hoveniers;1;;;;1
Bruynzeel Storage Systems;1;;;;1
BTA Montage;1;;;;1
BTD Beveiligingstechniek Dordrecht;1;;;;1
BTL (incl. Advies, Bomendienst, Realisatie);1;;;;1
Building Industries Noord B.V.;1;;;;1
Buitengoed Uylenburg;1;;;;1
Buitenhof Brasserie;1;;;;1
Buiter Beton;1;;;;1
Buiteveld Bouwbedrijf;1;;;;1
BulgaTrade;1;;;;1
Bureau G.I.T;1;;;;1
Burg Schilder V.A.;3;;;;3
Burgman Security;1;;;;1
Buro Dsb;1;;;;1
Buzolit;1;;;;1
BVCM Stg Derdengelden;1;;;;1
BWT Nederland (vh Christ Holland);1;;;;1
Byloth B.V.;1;;;;1
C.G. Holthausen;1;;;;1
CAG Consult Air Group;1;;;;1
CAIW Holding (incl. Caiway);1;;;;1
Calertho Bouwkunde;2;;;;2
Calluna Tuinarchitectuur;3;;;;3
Camfil Farr;1;;;;1
Campanile Hotel & Restaurant;1;;;;1
Canon (incl. Océ Nederland);;;1;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;4;;;;4
Carlton Hotel;2;;;;2
Cashless Solutions (Inepro);1;;;;1
CBRE (incl. CB Richard Ellis, ING REIM);3;;;;3
CDE Technology B.V.;1;;;;1
Celexon (incl. Beamershop24.nl);1;;;;1
Central Point;1;;;;1
Centrum Quadraat;1;;;;1
Chalet Group;5;;;;5
Champ Aubert;1;;;;1
Christus Triumfatorkerk;1;;;;1
Ciolina;1;;;;1
Cition;1;;;;1
City Outdoor Signs (vh Citytec, Agmi Signsdirect);1;;;;1
CLB Benelux;2;;;;2
CleanProfs B.V.;1;;;;1
Clear Air;1;;;;1
Coen Hagedoorn Onderhoud B.V.;1;;;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);3;4;;;5
Coffeemania;1;;;;1
Cogas Energie, Meetdiensten, Infra & Beheer, Kabel (incl. CoNet);1;3;;;3
Combi Gas;1;;;;1
Combicraft;1;;;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);1;;;;1
Complex E-Techniek;1;;;;1
Concordia Theater & Zalen;1;;;;1
Condair (vh Geveke Werktuigbouw, Klimaattechniek);1;;;;1
Conecto Networks;1;;;;1
Conferentiecentrum Kaap Doorn;2;;;;2
Conferentiehotel Landgoed Rhederoord;1;;;;1
Conrad Electronic;1;;;;1
Constructiebedrijf H. Baars B.V.;1;;;;1
Constructor Dexion Holland;1;;;;1
Constructor Staalbouw B.V.;1;;;;1
Consumentenbond;4;;;;4
Containerbedrijf Vliko;1;;;;1
Coolblue - Pda Shops;1;;;;1
Copes Snel;1;;;;1
Copijn Boomspecialisten;2;;;;2
Corio, Hoog Catharijne;2;;;;2
Cornelissen Aannemingsbedrijf;2;;;;2
Corporate Facility Partners;1;;;;1
Couwenberg Zonwering;1;;;;1
Cox Installatie- en Servicebedrijf Gronsveld B.V.;1;;;;1
Cremerson Development Company;1;;;;1
Crown Point;4;;;;4
CSC Ceelen Sport Constructies;1;;;;1
CSU Schoonmaak (vh. City Service);3;;;;3
Cuisine Royale;2;;;;2
Culipro;1;;;;1
Cuna International;1;;;;1
Cushman & Wakefield;;;;2;2
CV Vastgoed Ankerplaats;2;;;;2
CWS Nederland;1;;;;1
Dalkia Dbu Gebouwenbeheer;2;;;;2
Dalosy Projecten;1;;;;1
Damen Incasso;1;;;;1
Dassen Bouw;3;;;;3
Datema Electronics;1;;;;1
DBS Maaitechniek;1;;;;1
De Ambacht;1;;;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;1;;;;1
De Baanderij Tank en Wasstation;1;;;;1
De Beer;1;;;;1
De Biesbosch Hoveniersbedrijf;1;;;;1
De Boer Schilderwerken;1;;;;1
De Boer Tenten;;;;3;3
De Bont Bdb Bureau Advies & Projectmanagement;1;;;;1
De Boo Bouwmaterialen;1;;;;1
De Bosman Bedrijven;2;;;;2
De Bouwhof;1;;;;1
De Coachhaven;1;;;;1
De Cock Schildersbedrijf;1;;;;1
De Combi Groep;1;;;;1
De Eilanden;2;;;;2
De Fabrique;2;;;;2
De Fruitvis;1;;;;1
De Gelderse IJzerhandel;1;;;;1
De Geus Sport & Entertainment;1;;;;1
De Giessen;1;;;;1
De Glascentrale Tilburg;1;;;;1
De Glaswacht;1;;;;1
De Groot & Visser;1;;;;1
De Groot Diervoeders B.V.;1;;;;1
De Groot Houtbewerkingsmachines;1;;;;1
De Groot Installatiegroep;1;;;;1
De Haagsche Glashandel;2;;;;2
De Haan Advocaten & Notarissen;1;;;;1
De Haan Archiefbeheer, Verhuizingen;1;;;;1
De Haan Westerhoff;1;;;;1
De Jong en Zoon Staalbouw;1;;;;1
De Jong Riooltechniek;1;;;;1
De Kargadoor Beheerstichting;1;;;;1
De Kleine Werf;1;;;;1
De Kock Raamfolie;1;;;;1
De Koepel Integraal Beheer;1;;;;1
De Koning;1;;;;1
de Koning Assen;1;;;;1
De Kruijff Bouw-En Loodgietersbedrijf;1;;;;1
De La Rubia;1;;;;1
De Lange;;1;;;1
De Melker Sanitairtechniek;1;;;;1
De Mensenlijke Maat;1;;;;1
De Nieuwe Liefde;2;;;;2
De Oostvaarders Café;1;;;;1
De Prom Utrecht (incl. Vredenburg);1;;;;1
De Raat Security Products;1;;;;1
De Reiger Catering (incl. Nikita, Vechthuis);1;;;;1
De Rijtuigenloods;3;;;;3
De Rioolspecialist;1;;;;1
De Roos;1;;;;1
De Schans Support;1;;;;1
De Schone Lei;1;;;;1
De Schoor;1;;;;1
De Sleutelkoning;1;;;;1
De Sleutelspecialist;1;;;;1
De Slotenspecialist;1;;;;1
De Smidse Restaurant Hotel;1;;;;1
De Smit R.;1;;;;1
De Tuinkamer;;;;1;1
De Verdieping;1;;;;1
De Vries Project Design;2;;;;2
De Zwart Bouwbedrijf;3;;;;3
Deerns Raadgevende Ingenieurs;1;;;;1
Dehullu Projekt (Dehullu Sign Sytems);2;;;;2
Dekker Vastgoed;2;;;;2
Delphi Sleutelbeheersystemen;2;;;;2
Delta Comfort;;1;;;1
Delta Infra;;1;;;1
Delta International;1;;;;1
Delta Lloyd;2;;;;2
Delta Netwerkbedrijf;1;1;;;1
Delta Nutsbedrijven;1;3;;;3
Den Haag Evenementen;1;;;;1
Dental Partners Rotterdam;1;;;;1
Descol Kunststof Chemie;1;;;;1
Destil;2;;;;2
DHVM Vastgoedmanagement BV;1;;;;1
Diacarb;1;;;;1
Diamant Groep;4;;;;4
Diederen Konstruktie;1;;;;1
Dierenpark Amersfoort;1;;;;1
Dierenspeciaalzaak Het Molentje;1;;;;1
Dierenspeciaalzaak Petworld;1;;;;1
Dijkhuis Ingenieursbureau;1;;;;1
Dijkxhoorn Bouw;3;;;;3
Dirix Sloopwerken;1;;;;1
Dirksen Schoonmaakartikelen en Bedrijfskleding;1;;;;1
Display-On /KabelsenMeer.nl;1;;;;1
Diversey;1;;;;1
DND Trading;1;;;;1
DocumentenWacht (incl. MuseumWacht);2;;;;2
Doeland Lelystad;1;;;;1
Dols Constructie B.V.;1;;;;1
Dominicaans Activiteitencentrum;1;;;;1
Dom-Nederland;1;;;;1
Donders Security;1;;;;1
Donker Holding (incl. Donkergroen);2;;;;2
Doornbos Aannemingsbedrijf;1;;;;1
Dorma van Duin Nederland;1;;;;1
Dormi Gebouwenservice;2;;;;2
Douwe Egberts;2;;;;2
Douwes International B.V.;1;;;;1
Dozon;1;;;;1
Drager Safety & Medical;1;;;;1
Drentea Kantoormeubelen;1;;;;1
Driessen Hrm_Payroll;1;;;;1
Driessen Verf;1;;;;1
Drukkerij Het Snorretje;1;;;;1
DSG diensten B.V.;1;;;;1
Dtz Zadelhoff;5;;;;5
Dunea (Duinwaterbedrijf Zuid-Holland);1;4;;;4
Dungen, Arno Vd;1;;;;1
Dura Vermeer;2;;;;2
Duracryl Flooring Systems;1;;;;1
Dusseldorp;1;;;;1
Dutch Special Solutions;1;;;;1
E&S Stoffering;1;;;;1
E.B.M. Middelburg BV;2;1;;;2
E.On (incl. NRE Energie);1;9;;;9
EASY Noise Control B.V.;1;;;;1
Edel Grass;1;;;;1
Eden Springs;1;1;;;1
Eek Rioolservice;2;;;;2
Effectory;1;;;;1
EFP - Expertise centrum Forensische Psychiatrie;1;;;;1
Egner Kantoorspecialisten;1;;;;1
Eijsink Afrekensystemen;1;;;;1
Eipi Belettering;1;;;;1
EKB Groep;1;;;;1
Electrabel;;2;;;2
Electro Calorique;1;;;;1
Electro World;1;;;;1
Electrolux Home Products;1;;;;1
Electrotechnisch Installatiebureau Randstad;2;;;;2
Elektro-Team;1;;;;1
Eliens Interieurprojekten;1;;;;1
Elinex Power Solutions;1;1;;;1
Elreka Hekwerken;1;;;;1
Emdam Onroerend Goed Exploitatie Maatschappij II;1;;;;1
Emhaes Visuele Communicatie;1;;;;1
Endinet;1;2;;;2
Eneco (incl. Utiliq, Vaney, Joulz);1;9;;;9
Energiewacht;1;1;;;1
Enexis (vh Essent Netwerk, At Home);;7;;;7
Engels Grandcafé/Restaurant/Zalen;1;;;;1
Enjoy Your Office;2;;;;2
EOM Eyes On Media;1;;;;1
Epi Orange 21;4;;;;4
Equipe Quality Products (incl. Health2Work);1;;;;1
Equrion Services;1;;;;1
Erik Bos Schapenservice;1;;;;1
Escape Mobility Company (vh H. van Leeuwen, van Leeuwen Companies, CURA Safety Solutions);1;;;;1
Escubelle Strandpaviljoen;1;;;;1
Ese International;1;;;;1
Espero;1;;;;1
Essent Energie;;6;;;6
Euregio Kantoormeubelhandel;1;;2;;2
Euro-Index;1;;;;1
Euromate (vh Plymovent, Lucom);2;;;;2
Eurosafe Solutions;1;;;;1
Evides Waterbedrijf;1;4;;;4
EW Timmerwerken;1;;;;1
Expedio Arbori;1;;;;1
Exploitatiemij. Vilsteren;3;;;;3
Fabory Nederland;1;;;;1
Facility Service;3;;;;3
Falco;2;;;;2
Fenoprint;1;;;;1
Fietsspecialist Quist;1;;;;1
Figi - Hotel Theater Figi & Slot Zeist;2;;;;2
Fire Safety 4 You;1;;;;1
Firma Marnix Breda;1;;;;1
First Light;1;;;;1
First Service Business Events;1;;;;1
Fitland Groep;2;;;;2
Fjord;1;;;;1
Flash Services Nederland;1;;;;1
Fletcher Hotel Restaurant;1;;;;1
Fleurop;1;;;;1
Flexposure;1;;;;1
Flora Nova;1;;;;1
Florapro;1;;;;1
Flower Fashion;1;;;;1
Fons van der Heijden Bouwservice;2;;1;;2
Fonville Schoonhouden;1;;;;1
ForFarmers Hendrix B.V.;1;;;;1
Formabouw;5;;;;5
Fort Bronsbergen;1;;;;1
Frama Nederland;1;;;;1
Frans Beekwilder;1;;;;1
Fresh Air Solutions;1;;;;1
Friesland Non-Ferro Metaal;1;;;;1
Frige Elektro Groothandel;1;;;;1
Frits Folkers B.V.;2;;;;2
Fudura;;1;;;1
Fuhler Wegenbouw;1;;;;1
Funea Broadband Services;2;;;;2
G&S Project;1;;;;1
G. Bakker & Zn.;1;;;;1
G. van Dam Installatiebedrijf;1;;;;1
G. van Verseveld Grond- en Straatwerk;1;;;;1
G.A. en A. van der Gaag;1;;;;1
G.B. van Hoek Aannemingsbedrijf;2;;1;;2
G.C.S. Brabant;1;;;;1
G2 Solutions;1;;;;1
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);1;;;;1
Garsthagen;1;;;;1
Gas en Sanitair Installatie Bureau P.H. Frauenfelder B.V.;1;;;;1
Gebr. Stoop Waarland;1;;;;1
Gebr. Van der Steen;2;;;;2
Gebr. van der Tol;2;;;;2
Gebr. van der Winkel;1;;;;1
Geerlofs Koeltechniek;1;;;;1
Geerlofs Service B.V.;1;;;;1
Gelling Transport V.O.F.;1;;;;1
Gemaco (vh Jos Premiums & Gifts);1;;;;1
Generatoren Nederland;1;;;;1
Genpower Aggregaten;1;1;;;1
George van Erp's Agenturen en Commissiehandel B.V.;1;;;;1
Gerard Meijer;1;;;;1
Gerco Beveiligingen;1;;;;1
Germa Zonwering;1;;;;1
Gerrit Smit Systeemplafonds B.V.;1;;;;1
Gerritse Ijzerwaren (inc Isero);2;;;;2
Getinge;1;;;;1
Geurts Schildersbedrijf;2;;;;2
Geuzinge;1;;;;1
Gevaco;1;;;;1
Gevelbeheer Nederland;1;;;;1
Gevelmeesters;1;;;;1
Geven Wegenbouwbedrijf;1;;;;1
GGN (incl. van Mastrigt & Partners, Tijhuis & Partners);;1;;;1
Gispen International;1;;;;1
Gjaltema Montage Bedrijf;1;;;;1
Glas & Isolatiebedrijf De Jonge & Zn.;1;;;;1
Glas Compleet;2;;;;2
Glas Interieur en Design;1;;;;1
Glas Ockels;1;;;;1
Glasbeek Finish;1;;;;1
Glashandel J. Snel;1;;;;1
Glashandel Markendaal 24U Serv.;1;;;;1
Glashandel Markenstein;1;;;;1
Glaspunt;1;;;;1
Glasreparatiebedrijf Jo Koolen;1;;;;1
Glasservice Noord;1;;;;1
Glaszettersbedrijf Frans van Spaendonk B.V.;1;;;;1
GMB (incl. Beton en Industriebouw, Services, Civiel, Infra, LBS Infra, Rioleringstechnieken, Watertechnologie);3;;;;3
GNS Branddeuren en Rolluiken;1;;;;1
Golden Tulip;1;;;;1
GOM Schoonhouden;2;;;;2
Gouweloos Elektrotechniek;4;;;;4
Govers Water Services;;1;;;1
GR. Cocensus;1;;;;1
Graaf, E. van Der;1;;;;1
Graafstra Staalconstructie;1;;;;1
Grassair Compressoren;1;;;;1
Graydon Nederland;1;;;;1
GRB;1;;;;1
Green Care & Van der Vleuten v.o.f.;1;;;;1
Green Fox;1;;;;1
Green-Core Plantscaping;1;;;;1
Groen Compleet;2;;;;2
Groenhart;1;;;;1
Groenmaat Bedrijfsgroen;2;;;;2
Groenrijk;1;;;;1
Grontmij;3;;;;3
Grootgroener B.V.;2;;;;2
Groothandelsgebouwen;4;;;;4
GSA Facilitaire Diensten;1;;;;1
Gulf Oil Nederland;;1;;;1
Gullimex;1;;;;1
Gunnebo;1;;;;1
Gunters en Meuser;2;;;;2
H&F Schilderwerken B.V.;1;;;;1
H. Bomhof Hoveniersbedrijf;1;;;;1
H.P. Meijnaert;3;;;;3
H.R. Techniek;1;;;;1
Haagse Beek organisatieadvies;1;;;;1
Haarlemse Race Club Excelsior;1;;;;1
Habeco;2;;;;2
Habelco;2;;;;2
Habo;1;;;;1
Hacousto Videotechniek, Protec Brandbeveiliging;1;;;;1
Hafele Nederland;1;;;;1
Hagemeijer Ned;1;;1;;1
Hagisto Systemen;;;1;;1
Hakado Automatencatering;1;;;;1
Hakvoort Horeca;1;;;;1
Halin Communication Technology;1;;;;1
Hamann Telecom Services;1;;;;1
Hamersluitwerk.nl;1;;;;1
Hampshire Hotel;2;;;;2
Handelsondernemin Willem Ox;1;;;;1
Hans Klaassen Sierbestratingen;1;;;;1
Hans Van Diest Montagebedrijf;1;;;;1
Hanselman Taxaties;1;;;;1
Hansen Evenementen;1;;;;1
Haperen Dakbeddinken, Van;2;;;;2
Happy Sunlight;1;;;;1
Harolds Grafik;1;;;;1
Hartman Schilders;1;;;;1
Havia Sanitaire Handelsonderneming;1;;;;1
HCI Vastgoed Management;4;;;;4
HCT Haagsche City Tax (incl. DirectPay Services);;1;;;1
Heden Kunst van Nu;1;;;;1
Heemskerk, Metaalbewerking;1;;;;1
Heerlickheijd van Ermelo;1;;;;1
Heffiq (vh Barloworld Intern Transport);1;;;;1
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);6;;;;6
Heilijgers Bouw, Beheer en Onderhoud;1;;;;1
Hekeltje 'T;1;;;;1
Hellebrekers Technieken;1;;;;1
Heman Verhuurservice;1;;;;1
Hennekens Glasbedrijf Beek;1;;;;1
Henry Schein Dental;1;;;;1
Heras Security Systems;4;;1;;4
Herena;1;;;;1
Herman Vaessen BV;1;;;;1
Hermeta Projectbouw;1;;;;1
Hertek;1;;;;1
Het Cabinett;1;;;;1
Het Gevangenismuseum;1;;;;1
Het Kookplein Kookschool en Lunchrestaurant;1;;;;1
Het Muntgebouw Utrecht;1;;;;1
Het NIC - Nederlands Inkoop Centrum;1;;;;1
Het Verenigingsgebouw;1;;;;1
Hettema;1;;;;1
HIIL The Hague Institute for the Internationalisation of Law;1;;;;1
Hill's Hairstyling Service;1;;;;1
Hilman Meubelen;2;;;;2
Hilmar Productions B.V.;1;;;;1
Hinke Fongers Beheer;4;;;;4
HMS Host Marriott Services Horeca Exploitatie Maatschappij Schiphol;1;;;;1
Hoefakker Hoveniersbedrijf, Aannemingsbedrijf;3;;;;3
Hoek Hoveniers;1;;;;1
Hoekstra Vastgoed Beheer;4;;;;4
Hoff Schilderwerken;1;;;;1
Hofman Interieur & Montagebedrijf;1;;;;1
Hofstra Vastgoed;2;;;;2
Hoge Noorden Het;1;;;;1
Hogenboom Vakantieparken;1;;;;1
Hogeschool Rotterdam;1;;;;1
Holland Herstel Groep/Ureco;1;;;;1
Holland Mast;1;;;;1
Holland Project Groep;2;;;;2
Holland Project Plant;1;;;;1
Hollander Techniek;2;;1;;2
Holtrop & Jansma;1;;;;1
Homespring;1;;;;1
Homij;2;;;;2
Hommema van 1825;1;;;;1
Honeywell;5;;;;5
Hoogeboom Zeilmakerij;1;;;;1
Hoogendoorn Maritieme Betimmeringen en Interieurbouw;1;;;;1
Hoogvliet en Zn Aannemersbedrijf;4;;;;4
Hoornveste;3;;;;3
Horeca Baarle-Nassau B.V.;1;;;;1
Horeca IJsseldelta Stadion;1;;;;1
Horecahandel en -verhuur Van der Most B.V.;1;;;;1
Horequip;3;;;;3
Horticoop;1;;;;1
Hotel Contact/Worldmeetings;2;;;1;2
Hotel Hengelo;1;;;;1
Hotel Merlinde;1;;;;1
Hotel New York Rotterdam;1;;;;1
HOTEL ORION;1;;;;1
